,Gate-Error Probability
Seed 57,0.0029379739979921845
Seed 37,0.002736049958217913
Seed 43,5.000491631450081e-06
Seed 30,0.0023322407014170635
Seed 14,0.006572434396833779
Seed 41,0.001322637178247839
Seed 4,0.020612274018796048
Seed 66,0.0021303416305692552
Seed 54,0.0
Seed 39,0.004755153171201638
Seed 100,0.0025341191696483566
Seed 59,0.019697138227700778
Seed 70,0.036530642146577766
Seed 73,0.002534142493909609
Seed 11,0.04040832307257386
Seed 72,0.001726426125468626
Seed 58,0.042040946374812954
Seed 74,0.045306220983234696
Seed 65,0.0017264407975231438
Seed 28,0.0
Seed 23,0.049387919066869776
Seed 38,0.017274098104572935
Seed 52,0.023469411730796905
Seed 35,0.034081655629981875
Seed 89,0.0
Seed 78,0.00011115204528945701
Seed 13,0.0
Seed 50,0.047755202246603144
Seed 96,0.015254906963060266
Seed 21,0.0019284046657980568
Seed 90,0.0
Seed 94,0.0
Seed 10,0.003543722324466219
Seed 51,0.0009187540582527756
Seed 62,0.033673502106005726
Seed 61,0.000312937395576532
Seed 24,0.0017264646165144838
Seed 80,0.001120717970106861
Seed 15,0.002332221125173585
Seed 44,0.0015244652570512137
Seed 3,0.003341824338703058
Seed 99,0.001928387961498058
Seed 2,0.00536091142706269
Seed 16,0.0023321808351934713
Seed 40,0.0001111464323419146
Seed 88,0.003139834767590938
Seed 42,0.0
Seed 5,0.06734703211299589
Seed 29,0.006774343218547595
Seed 68,0.0027360787492185603
Seed 64,0.0005150645207524086
Seed 7,0.019697128214731636
Seed 25,0.0
Seed 83,0.006976267194305915
Seed 82,0.036530644679296224
Seed 6,0.004755174760835012
Seed 63,0.0011207478403812156
Seed 31,0.02714291112259461
Seed 20,0.0019283491683449493
Seed 87,0.037755130731243286
Seed 26,0.006774368375639654
Seed 33,0.002332151065287582
Seed 45,0.0
Seed 69,0.0013226173125126508
Seed 32,0.0009188308224297298
Seed 17,0.008187770717770645
Seed 93,0.0021303029505024946
Seed 55,0.0023322463702578067
Seed 46,0.0015245507148795188
Seed 36,0.0029378705428721634
Seed 22,0.003341727934386276
Seed 95,0.03448982925593411
Seed 75,0.0001110214756468896
Seed 97,0.0015245522552839088
Seed 81,0.0019283711892503345
Seed 92,0.01081271814984979
Seed 34,0.0027360631063172544
Seed 18,0.005360933428091521
Seed 8,0.04122466216213075
Seed 47,0.00011103376828310043
Seed 85,0.0025341297022868792
Seed 1,0.0015246149645377356
Seed 79,0.028367383641976184
Seed 84,0.01727409949522251
Seed 48,0.0021303308252682866
Seed 60,0.0019283692713568776
Seed 49,0.0019283906177060437
Seed 67,0.0009188533205314602
Seed 86,0.0005150426301898767
Seed 98,0.023877580529893885
Seed 91,0.0025341256321458677
Seed 71,0.0
Seed 12,0.003139890034999122
Seed 53,0.002736043714248167
Seed 56,0.05918379897090072
Seed 77,0.0013226781970753748
Seed 9,0.016870267337281863
Seed 27,0.0065724381566225985
Seed 76,0.0021303207742376373
Seed 19,0.008187773933946003
