Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.6983031853593366,1.3587203609396637e-17,
1,0.7944427547249738,0.3186628585394396,Y5Z2,0.7853988899626269,nan
2,0.8672210210219327,0.5598926719322043,Y4Z5,0.7853982151678305,nan
3,0.9338074746199206,0.7805991904193021,Y3Z1,0.785398192518387,nan
4,0.9748020472818114,0.9164792218698076,Y0Z2,0.785413347945393,nan
5,0.9746688358447925,0.9160376811224267,Y0Z5,1.6034472222022095e-05,nan
6,0.9929145285403669,0.9765145963901793,X1X3,3.1942677643861286,10.658924093670214
7,0.9871573707302019,0.9574320024389574,standard_x,-5.461212073816893e-07,-0.00010668991357490508
8,0.9821852330262139,0.9409514250423745,X1X3,-0.8172251080410339,5.114252653086664
9,0.9766793034188215,0.9227015485431802,standard_x,2.944124140593533e-07,0.0001053983585824122
10,0.972409772457447,0.908549821530551,X1X3,0.11091123991464734,0.07700470611280183
11,0.9669375031939151,0.8904115151316265,Y1Y3,0.9395596886387919,1.8693272109335217
12,0.9643386705651562,0.8817974612117854,X1X3,-1.0936524244553525,3.443238460020444
