Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.6923977809218809,1.0567032396402804e-17,
1,0.7695032582265914,0.2506661932927364,Y1Z2,0.7853981475839377,nan
2,0.8413325567229216,0.484179783381917,Y4Z0,0.7853981331786435,nan
3,0.9085793294672728,0.702795802947345,Y5Z3,0.7854358858088397,nan
4,0.9085793302746542,0.7027958055721033,Y3Z5,-3.773885738015187e-05,nan
5,0.9551284506685669,0.8541247541519283,Y3Y5,0.2161331374446208,2.2598770241101573
6,0.9702141392731551,0.9031676012737724,X0X4,0.6368043575902138,0.05019363836500788
7,0.999999479982648,0.9999983094486331,Y1Y2,0.7801973204000813,1.4406776700937707
8,0.9999999983119862,0.9999999945123483,X3X5,0.0018062639973321166,0.10000282572718994
9,0.9999999999998942,0.9999999999996562,Y0Y4,-0.0001667530421279003,0.09999956061936793
10,0.9999999999999987,0.9999999999999953,standard_x,-7.054296696675964e-09,0.09999989679804497
11,0.9999999999999989,0.9999999999999964,standard_x,5.110358027012806e-09,0.09999999999967508
12,0.9999999999999992,0.9999999999999972,standard_x,-2.749185784564365e-09,-0.09999999986253867
