,Y1Z3,Y3Z1,Y6Z3,Y3Z6,Y0Z4,Y4Z0,Y2Z4,Y4Z2,Y1Z4,Y4Z1,Y2Z0,Y0Z2,Y5Z0,Y0Z5,Y7Z4,Y4Z7,Y2Z3,Y3Z2,Y6Z0,Y0Z6,Y7Z0,Y0Z7,Y5Z4,Y4Z5,Y7Z6,Y6Z7,Y7Z1,Y1Z7,Y3Z4,Y4Z3,Y3Z0,Y0Z3,Y5Z1,Y1Z5,Y6Z2,Y2Z6,Y7Z2,Y2Z7,Y5Z2,Y2Z5,Y7Z3,Y3Z7,Y1Z0,Y0Z1,Y5Z3,Y3Z5,standard_x,Y5Z6,Y6Z5,Y6Z1,Y1Z6,Y6Z4,Y4Z6,Y5Z7,Y7Z5,X3X4,X0X3,X0X1,X4X6,X0X4,Y1Z2,Y2Z1,Y3Y4,X1X2,X3X7,Y0Y4,X2X4,Y0Y3,X4X5,X0X7,X0X6,X1X4,X0X2,X3X5,X2X3,X4X7,X2X7,Y1Y2,X1X6,X2X6,Y0Y1,Y4Y6,Y3Y7,X4,X2X5,Y0Y2,X1X7,Y2Y7,X0,X1X5,Y0Y7,X0X5,Y2Y4,X5X7,X1X3,X5X6,Y4Y5,Y2Y5,Y2Y6,Y1Y6,Y4Y7,X3,X6X7,X3X6,Y5Y7,Y3Y5,Y1Y4,Y2Y3,Y0Y6,Y1Y7,X2,X1,Y0Y5,Y1Y5,Y5Y6,X6,X7,Y6Y7,Y1Y3,Y3Y6,X5,X2Y7,X2Y6,X2Y0,X1Y7,X1Y6,X3Y7,X1Y5,Y7,Y6,Y2,X7Y0,X6Y4,X6Y2,X6Y1,X6Y0,X5Y4,X5Y2,X3Y4,X2Y4,X1Y3,X0Y7,X0Y6,X0Y3,X0Y2,Y1,X7Y4,X7Y2,X6Y7,X6Y3,X5Y7,X5Y1,X4Y7,X4Y2,X4Y5,X2Y5,X0Y5,standard_y,Y5,X7Y1,X7Y5,X6Y5,X4Z6,X6Z7,X4Z1,X2Z4,X2Z1,X1Z7,X0Z7,X0Z6,X0Z4,X7Z0,X3Z0,X7Z6,X7Z1,X4Z0,X3Z6,X3Z1,X1Z6,X1Z3,X1Z0,X6Z1,X5Z6,X5Z1,X4Z3,X1Z5,X1Z4,X0Z1,X5Z4,X7Z3,X3Z5,X7Z5,X6Z5,X5Z0,X6Z4,X5Z3,X5Z2,X1Z2,Y4,Y3,Y0,X7Z4,X7Z2,X7Y6,X7Y3,X6Z3,X6Z2,X6Z0,X5Z7,X5Y6,X5Y3,X5Y0,X4Z7,X4Z5,X4Z2,X4Y6,X4Y3,X4Y1,X4Y0,X3Z7,X3Z4,X3Z2,X3Y6,X3Y5,X3Y2,X3Y1,X3Y0,X2Z7,X2Z6,X2Z5,X2Z3,X2Z0,X2Y3,X2Y1,X1Y4,X1Y2,X1Y0,X0Z5,X0Z3,X0Z2,X0Y4,X0Y1
0,0.8880615566478598,0.8879870471020089,0.8627141811961166,0.862596083305573,0.8417317710755976,0.8416977277122606,0.8217858182314921,0.821652125507258,0.8148940905196719,0.8147407143877636,0.8058884260838541,0.8057899092866403,0.7962051935075782,0.7960100660225778,0.7481695187357216,0.7479886911251974,0.672506147276783,0.6724668935383546,0.5742399548042427,0.574124666436925,0.5577929526092182,0.5576806917393616,0.5447238322362425,0.5445683077035619,0.5317772587403189,0.5317769970634345,0.4377938223429293,0.4377704058874019,0.41196671264819745,0.41192373410430616,0.37193193890693643,0.3719081789446007,0.3680603945960558,0.36802457838198616,0.3054936004826293,0.3054696102616237,0.2522581120275714,0.2522381782073548,0.24222622705181668,0.24219647107839715,0.2344039517128384,0.2343717475843794,0.19448472868644986,0.19445598741976966,0.18772877801059976,0.18769476022151171,0.16210408845455215,0.1092931515812771,0.10928830794829118,0.07082393276769558,0.07082017939748429,0.06533881298203721,0.0653230527787658,0.06430067824293317,0.06429786021685949,0.05122854557186181,0.04916190751487845,0.04558365714580601,0.04541821656585325,0.044706304827926216,0.041580526422558495,0.041579464653439965,0.03846909617561973,0.038159997936191514,0.03742082828489164,0.03725168752018406,0.03723037323453658,0.03674253298080408,0.03661838860537063,0.036554821717294794,0.0362163175518607,0.03575568173530509,0.035052305350195184,0.03489628032009315,0.034741000452234994,0.03427812560984639,0.033358441861143465,0.03290146690808664,0.03286324773919774,0.032798078338785425,0.03255573904020691,0.03210038470212975,0.0309024495837152,0.030794251661874814,0.030537914653899954,0.029185013054632454,0.02909763991935181,0.02836857947383309,0.028099124589750557,0.02730151012046516,0.02724315716654337,0.02718091774890094,0.02660409426717679,0.026362559013376904,0.02631281159458343,0.026240355716014192,0.02603878227998673,0.025612601685613752,0.025207958103483738,0.02433888417196139,0.024002660523541136,0.023841962214634756,0.023743642733716173,0.02367006238465961,0.023523073394888037,0.022395824361549355,0.021931014102303616,0.02087152618618033,0.020392026435832628,0.01996618480439355,0.019951882809026315,0.01825005407354905,0.017879220436791278,0.016230779828274422,0.01578213367783857,0.014717857255656672,0.014685047452186507,0.013732753550362372,0.013380115376122435,0.0130836041753429,0.011763908397873488,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,7.632783294297951e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,2.6020852139652106e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.3010426069826053e-18,1.0842021724855044e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,2.710505431213761e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0003610210892692075,0.00036136960621755657,0.7918946908662765,0.00035226020125516603,0.8417608079829786,0.8417908864906365,0.8217998542272111,0.8217431671271886,0.0003308822888285506,0.4028186390026933,0.8059022699103595,0.8058178851133401,0.7962243263644679,0.7960377524160251,0.7481961549426263,0.7480719146354589,0.6309329297353266,0.0002745944329339834,0.5742543488751859,0.5741453057077585,0.5578133384121005,0.5577007822056101,0.5447376367154426,0.5446294509383991,0.5317967500425567,0.5317904234053539,0.20339031800914203,0.0001769506796266701,0.00016509973319901673,0.4028185003653196,0.00015115408819321084,0.17745590647870263,0.180331988118669,0.00014867847432080753,0.3055015357125632,0.3054755111342029,0.2522675708452069,0.25224308012018387,0.24223258338580694,0.2422011823968335,0.20339021629386095,9.38366694315947e-05,7.849627373190574e-05,0.17745579633795316,0.1803319030276575,7.504473819893294e-05,0.10398009306058606,0.10929603985888453,0.10929118176933128,0.7918945639481745,2.857481525229311e-05,0.06534053445466406,0.06533046142528035,0.06430238431738497,0.06430029111741373,0.00036715630241981986,0.0002959174756856875,0.0003791438167307078,0.036810397382696036,0.035894763737879545,1.6776549904894017e-05,0.6309328090550588,0.0004380653568812503,0.0003745787958848784,0.00031522102963379387,0.029002205640209666,0.02943514574675262,0.00033350425162737246,0.02804523692251691,0.03242563711973956,0.032879412597887736,0.00030479882404266717,0.032393818891405954,0.00030984830768044876,0.0002918212153127789,0.025096890666201938,0.03016377088415819,0.00033966910072721294,0.0003783057605087534,0.03039922640939398,0.0003625011301817054,0.01700014297502038,0.0003166268779879062,0.023674742966031753,0.02805080029506815,0.02572523112695807,0.0003486213892883378,0.02180076088550699,0.026128214201665834,0.00035231964540204,0.022619985405756403,0.023886014774946146,0.01490739660067933,0.022513856312583853,0.01275306931835455,0.023180395287027554,0.019617889031090387,0.020064382500597625,0.023066354966145675,0.0002581794158506974,0.016320199906596625,0.0002925800605398703,0.02007862609924494,0.00028161063117182884,0.019793033599155428,0.0002609803942788269,0.00036206527271048506,0.00022600627179125764,0.01615692869379876,0.00027723417384146836,0.0190111123231482,0.0003616145674463786,0.014125376835964537,0.0002274619835937623,0.008933367063275598,0.01322279988067336,0.0124042687411186,0.005667970791195645,0.012752929841848105,0.00011713680338953813,0.010193149575934566,0.0,0.0,0.0,6.776263578034403e-21,0.0,1.3552527156068805e-20,3.3881317890172014e-21,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,2.710505431213761e-20,1.1102230246251565e-16,0.0,2.7755575615628914e-17,0.0,2.710505431213761e-20,0.0,0.0,1.3877787807814457e-17,4.163336342344337e-17,1.3877787807814457e-17,0.0,2.7755575615628914e-17,1.3552527156068805e-20,0.0,5.551115123125783e-17,1.3877787807814457e-17,2.0816681711721685e-17,6.938893903907228e-18,1.80424794028744e-16,1.3877787807814457e-17,1.0164395367051604e-20,2.0816681711721685e-17,3.469446951953614e-17,1.734723475976807e-18,0.0,0.0,0.0,8.673617379884035e-19,0.0,1.734723475976807e-18,1.734723475976807e-18,0.0,2.168404344971009e-19,6.776263578034403e-21,0.0,2.168404344971009e-19,0.0,1.3552527156068805e-20,1.3552527156068805e-20,0.0,0.0,1.3552527156068805e-20,0.0,4.336808689942018e-19,4.336808689942018e-19,1.3010426069826053e-18,6.776263578034403e-21,0.0,4.336808689942018e-19,3.2526065174565133e-19,6.505213034913027e-19,1.3552527156068805e-20,5.421010862427522e-20,4.336808689942018e-19,2.168404344971009e-19,5.421010862427522e-20,2.168404344971009e-19,1.8973538018496328e-19,2.117582368135751e-21,0.0,1.3552527156068805e-20,1.1102230246251565e-16,0.0,0.0,6.938893903907228e-17,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,8.673617379884035e-19,8.673617379884035e-19,5.551115123125783e-17,2.710505431213761e-20,2.710505431213761e-20,0.0,2.710505431213761e-20,1.3552527156068805e-20,1.0164395367051604e-20,0.0,6.776263578034403e-21,0.0,5.551115123125783e-17,0.0,0.0,1.734723475976807e-18,4.336808689942018e-19,0.0,8.673617379884035e-19,1.3552527156068805e-20,1.3552527156068805e-20,0.0,0.0,1.3552527156068805e-20,8.673617379884035e-19,4.336808689942018e-19,8.673617379884035e-19,0.0,0.0
2,2.7263037221018402e-05,2.6950287836790523e-05,0.79189415198054,2.638510017599538e-05,0.00013698235133519738,0.00013637476309132188,0.01589873218706551,0.00013299394562262776,1.9109949632143825e-05,6.331725938984043e-05,0.015898650305631513,0.00013081131164708573,0.2514861306562839,0.0001300658749688359,0.1903826839057309,0.00012065588580345525,0.6310505230697327,2.0560709505785083e-05,0.5089062289672923,9.482182119654156e-05,0.1903825891968261,8.86972796705472e-05,0.2514860151832196,8.71559956236707e-05,0.5318596277208962,0.5317884860023614,0.2034148114422116,1.3154360552866995e-05,1.457191151637644e-06,6.3315112342066e-05,1.4451156208389843e-06,3.3094717569621085e-05,0.18035475120018285,1.1036319218459257e-05,0.30549992114589486,0.3055316985496424,0.2522969460577082,0.25228943826994704,0.24226238550159512,0.24224567773141759,0.20341480970010992,6.71286828017153e-06,1.9108467459072855e-05,3.3093337654228325e-05,0.18035474951145178,5.349763111263842e-06,0.026490408116610756,0.10930943364543307,0.10929052684409013,0.7918941482613324,2.113804451517955e-06,0.5089061592473776,1.036311292283715e-05,0.0643102741042072,0.06430775255620244,5.0557536506402236e-05,2.5826935576605415e-05,5.056860158931074e-05,0.0006082672625472463,0.007065950245411527,1.240927616342442e-06,0.6310505204017702,7.369809245107506e-05,5.446908468812287e-05,5.9965194941188605e-05,0.007065819838835606,0.000595919211304745,7.370405262005095e-05,0.0006315426636314208,0.0005564292304775691,0.0005145253809459101,2.5850951379764924e-05,0.0005254587016866774,5.869635724996898e-05,5.3704857516520736e-05,0.0005641149459833844,0.009337484302766798,4.510728383071155e-05,5.6259083080015874e-05,0.017427195800560395,7.370559935661685e-05,0.0001914699328972228,4.314684565086435e-05,0.0005980122057722146,0.0068656379537059,0.00032977360888416737,4.831031639422071e-05,0.0010258453638277,0.0005213135073924044,4.943376942323905e-05,0.00040033584315289725,0.0004880623891542445,0.0003246991682277308,0.006054263092176182,0.014649105531865957,0.014593019801992683,0.00035980569768718503,0.001360764025543138,0.013455025312385517,6.394675677414517e-05,0.0003608748108320038,5.515311271578902e-05,0.011618312256668425,5.218849751473943e-05,0.0022414871420947443,3.9527354175129155e-05,7.372376074617299e-05,1.5533372015448508e-05,8.873867243599613e-05,3.329620238872492e-05,0.006284929385713798,5.289134862273888e-05,0.00030818034181989663,3.081642119243535e-05,0.001968106351262694,0.013055153278235528,0.00435634212007836,0.0034901618131670145,0.014649104782172424,2.6949508672515783e-05,0.0017827020807569794,0.0,0.0,6.776263578034403e-21,0.0,0.0,8.470329472543003e-22,1.0587911840678754e-22,2.7755575615628914e-17,0.0,0.0,0.0,1.3552527156068805e-20,0.0,8.470329472543003e-22,2.0328790734103208e-20,1.3552527156068805e-20,0.0,1.0587911840678754e-22,0.0,2.7755575615628914e-17,3.3881317890172014e-21,1.3552527156068805e-20,1.0587911840678754e-22,0.0,8.470329472543003e-22,4.235164736271502e-21,2.7755575615628914e-17,5.551115123125783e-17,1.6940658945086007e-21,2.7755575615628914e-17,8.470329472543003e-22,0.0,3.3881317890172014e-21,3.3881317890172014e-21,1.3877787807814457e-17,2.964615315390051e-21,2.775642264857617e-17,0.0,1.0587911840678754e-21,3.469446951953614e-18,0.0,5.421010862427522e-20,8.673617379884035e-19,2.710505431213761e-20,1.5585406229479126e-19,2.168404344971009e-19,0.0,0.0,2.710505431213761e-20,0.0,3.2526065174565133e-19,4.235164736271502e-21,2.168404344971009e-19,3.2526065174565133e-19,2.710505431213761e-20,1.6940658945086007e-21,0.0,3.3881317890172014e-21,0.0,8.470329472543003e-22,8.673617379884035e-19,1.6263032587282567e-19,8.131516293641283e-20,0.0,1.6940658945086007e-21,0.0,3.3881317890172014e-20,5.421010862427522e-20,1.0842021724855044e-19,8.470329472543003e-22,8.131516293641283e-20,1.0842021724855044e-19,1.3552527156068805e-19,4.336808689942018e-19,0.0,2.710505431213761e-20,0.0,0.0,1.6940658945086007e-21,0.0,1.0842021724855044e-19,1.0842021724855044e-19,8.326672684688674e-17,8.470329472543003e-22,1.734723475976807e-18,2.168404344971009e-19,4.336808689942018e-19,0.0,0.0,0.0,6.776263578034403e-21,5.421010862427522e-20,1.3552527156068805e-20,2.710505431213761e-20,0.0,1.0587911840678754e-22,0.0,4.163336342344337e-17,3.3881317890172014e-21,1.2705494208814505e-21,0.0,1.6940658945086007e-21,4.235164736271502e-22,1.2705494208814505e-21,0.0,5.293955920339377e-23,4.336808689942018e-19,2.168404344971009e-19,0.0,4.336808689942018e-19,5.827586677109586e-19,0.0,0.0,1.0587911840678754e-22,0.0,1.0587911840678754e-22,1.3552527156068805e-20,2.0328790734103208e-20,2.710505431213761e-20,1.3877787807814457e-17,1.0587911840678754e-22
3,7.200761960065671e-05,1.7708810998343785e-05,0.006891758587156556,1.670452084215249e-05,0.00022973369057265242,0.0002832979571111712,0.015896331790285996,0.0002779980674137962,5.2711708285495715e-05,0.00011513046116828848,0.015876530967381647,0.00021535794661826859,0.2514933847524955,0.00019345126353442814,0.19034341885234718,0.0002659804253477346,0.32551800000610476,9.418272878505152e-06,0.004441285494341222,5.534007195338323e-05,0.19032546143676568,0.00019170068076536433,0.25146874208432657,0.00021501061001804025,0.7352259754536259,0.004642140747853891,0.7352128127961235,5.037736422465385e-05,4.792969957941853e-06,0.00011142242716591659,4.370659405272597e-06,5.5916341729269195e-05,0.2896562187404723,4.379532056891536e-05,0.0026712274945078374,0.32547488021769055,0.2522776033012424,0.25230333715195086,0.24226433684034737,0.24225550289424058,0.7352123402555255,9.776751622049626e-06,4.7524229342094836e-05,5.877170311277781e-05,0.28965423253572065,6.0203530028452825e-06,0.0015048244033991215,0.2896534186591483,0.0009562874923965883,0.00689211206452001,7.247726552591017e-05,0.004441841937451709,0.00011077892067002514,0.06431585299551884,0.0643069485019168,1.87540391871602e-05,9.767877437235394e-06,0.0010774166893185214,3.482615433708022e-05,0.0017466327866480292,5.320930697263299e-06,0.32551543749667233,2.696663819548376e-05,0.0020474738082808938,0.0002475859699983436,0.0017482369139161901,0.009196663978384863,2.675821562966355e-05,0.009817227301582413,0.009768653837279869,1.499794567769095e-05,0.0009517852099422103,0.00923366628484449,0.00024813777351655295,0.0002500213084130285,0.008658793194865854,0.010494812526146223,0.0012017162064747846,0.0002490008040886345,0.004824293254300229,0.002921356803177272,0.0003975193729876136,0.0001334756887168535,0.009251650490005942,0.004381491525909382,0.007096215988634445,0.0013228340755747385,0.005852068257546845,0.009182513522084922,0.001788334944938952,0.0061581604144120795,0.008612913031952477,0.007040645923092562,0.011021858810416913,0.003334173854021763,0.004363837234717024,0.005676338593742358,0.003527174769494471,0.0032047253938995474,0.00024601323141709545,0.005494032408187499,0.00024946037069986687,0.003005661577066502,0.001152038507725545,0.0058624847011583756,5.892455124076356e-05,0.00292131679779275,4.7880000742760436e-05,0.0004132866007154063,0.0001954720562062276,0.0035613904719775744,0.002018612322946688,0.004801602296615144,0.000989260235757876,0.0006429931805848224,0.004499049833363135,0.008693927924615605,0.0010835311531396919,0.003334178364761066,0.0011531885209043816,0.0024430440723819846,2.7755575615628914e-17,4.336808689942018e-19,0.0,1.6940658945086007e-21,1.6940658945086007e-21,0.0,8.470329472543003e-22,5.551115123125783e-17,0.0,2.7755575615628914e-17,3.3881317890172014e-20,3.3881317890172014e-21,4.336808689942018e-19,0.0,3.3881317890172014e-21,0.0,2.7755575615628914e-17,8.470329472543003e-22,0.0,0.0,6.776263578034403e-21,3.3881317890172014e-21,2.117582368135751e-22,0.0,3.3881317890172014e-21,1.3552527156068805e-20,1.3877787807814457e-17,4.336808689942018e-19,8.470329472543003e-22,2.7755575615628914e-17,3.3881317890172014e-21,1.3552527156068805e-20,0.0,2.710505431213761e-20,0.0,0.0,6.930423574434685e-18,2.0816681711721685e-17,3.3881317890172014e-21,0.0,1.0842021724855044e-19,0.0,0.0,0.0,6.505213034913027e-19,0.0,0.0,0.0,8.673617379884035e-19,8.673617379884035e-19,1.3010426069826053e-18,2.964615315390051e-21,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,1.3552527156068805e-20,1.3552527156068805e-20,0.0,1.0842021724855044e-19,0.0,2.168404344971009e-19,5.421010862427522e-20,5.421010862427522e-20,4.336808689942018e-19,5.421010862427522e-20,2.168404344971009e-19,8.673617379884035e-19,1.6263032587282567e-19,0.0,5.929230630780102e-21,8.673617379884035e-19,5.421010862427522e-20,5.421010862427522e-20,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,1.6940658945086007e-21,1.3552527156068805e-20,4.336808689942018e-19,2.168404344971009e-19,3.2526065174565133e-19,8.470329472543003e-22,2.168404344971009e-19,0.0,2.168404344971009e-19,0.0,4.336808689942018e-19,1.6940658945086007e-21,0.0,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,6.776263578034403e-21,0.0,0.0,0.0,0.0,6.3527471044072525e-21,6.776263578034403e-21,0.0,1.6940658945086007e-21,4.235164736271502e-22,2.168404344971009e-19,0.0,0.0,0.0,1.0842021724855044e-19,0.0,5.421010862427522e-20,8.470329472543003e-22,0.0,0.0,3.3881317890172014e-21,0.0,0.0,4.336808689942018e-19,8.673617379884035e-19,2.7755575615628914e-17,1.3552527156068805e-20
4,5.16635847583365e-06,1.759544004033462e-06,9.817060733311657e-06,1.7304568735890103e-06,7.588714384643895e-06,7.654119931137119e-06,0.015898925821157067,6.718394856852671e-06,5.652541706894209e-07,1.0145915894590894e-05,0.0158982689951314,6.719971041949926e-06,0.25148087034656924,7.010019614741562e-06,6.171545938664121e-05,9.374772826193464e-06,0.5778135091284436,1.3433180971068691e-06,6.352406355951303e-06,1.3889777225813608e-05,6.163949741692882e-05,1.3484948239450053e-05,0.25148036752569847,3.5325832821062696e-06,0.00020784011230752373,1.1023311134342563e-05,0.00020792296218291752,5.389787262228785e-06,3.9011117361526817e-07,9.59502658632323e-06,3.847809927253454e-07,1.389329007042361e-05,0.22534968089922772,8.18963444453823e-06,4.441220429544694e-06,0.5778127621014557,8.209747356233385e-05,0.5778127161632864,0.24225738136455932,0.24224581759134467,0.00020789063372987068,1.7562389169336803e-06,1.034893824797792e-06,1.4209001310459881e-05,0.2253494161439464,2.187564718330632e-07,0.01162592050084789,0.22534933884131012,1.5656551120281472e-06,9.824443748803659e-06,5.1713492967938054e-06,6.353148775340273e-06,9.594085658159395e-06,0.22534684793391904,2.131000972093602e-05,1.009540578375911e-06,5.276062669057666e-07,0.0007410694827041209,2.0359257861518687e-07,0.0010692573074567982,1.2028207540679158e-06,0.5778131274356223,1.4550491006921943e-06,0.000899313771495722,5.513862248277537e-07,0.0010692867002862001,0.0004201132239219778,1.4501432886257399e-06,0.0004437315040758013,0.00013354570554866718,9.798134902660688e-08,0.0008165146719415667,0.00037561646383469597,8.451515108942854e-05,8.443571113022761e-05,0.00011970935323921156,0.0022025224721942205,0.0005357988396940195,5.51668032701636e-07,0.00045459283266940237,0.0013285410511194166,2.1784528959314072e-07,6.119135694032875e-07,0.00042227931680087987,0.005769334751023478,0.0005665141247735094,0.00037990246616942424,0.00015891580937461974,0.000373715531130692,0.0008161818535887342,0.00018400389121601645,0.00035235873400705765,0.0005644699008882255,0.002916631645345798,0.0007208811523610115,0.0004546396516473092,7.852561387549899e-05,0.003600432122066308,0.0003027801734795236,6.07091881012081e-07,0.00018403393648593812,8.445319926317715e-05,0.0006660475606490119,0.0003798891397035608,0.0012482539992523002,2.347135670568681e-05,0.00132862295400126,5.38337565943547e-06,2.1636765042075078e-07,0.00037982205869578633,0.004931905839542134,0.0008806603882524305,4.5482827287127335e-05,0.0005040647545995127,4.0721176729833925e-05,0.0004546282501573413,0.0028528871996653694,0.0006660845168753615,0.000720882365253292,0.000379889305326826,0.0025346472763505493,6.776263578034403e-21,8.470329472543003e-22,1.6940658945086007e-21,0.0,1.3234889800848443e-23,0.0,0.0,6.776263578034403e-21,8.470329472543003e-22,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,1.0842021724855044e-19,4.235164736271502e-22,2.6469779601696886e-23,0.0,1.6940658945086007e-21,0.0,2.117582368135751e-22,6.776263578034403e-21,0.0,8.470329472543003e-22,2.710505431213761e-20,8.470329472543003e-22,0.0,0.0,1.6940658945086007e-21,1.3877787807814457e-17,8.470329472543003e-22,6.564505341220828e-21,0.0,6.352747104407253e-22,0.0,3.1763735522036263e-22,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,6.505213034913027e-19,4.336808689942018e-19,0.0,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-20,6.776263578034403e-21,6.776263578034403e-21,0.0,1.6263032587282567e-19,4.0657581468206416e-20,5.421010862427522e-20,2.168404344971009e-19,2.168404344971009e-19,2.710505431213761e-20,0.0,2.710505431213761e-20,5.421010862427522e-20,2.168404344971009e-19,1.0842021724855044e-19,2.541098841762901e-21,4.0657581468206416e-20,3.3881317890172014e-21,2.168404344971009e-19,1.3552527156068805e-20,0.0,0.0,6.776263578034403e-21,0.0,2.117582368135751e-22,8.470329472543003e-22,2.168404344971009e-19,5.421010862427522e-20,5.4183638844673525e-20,0.0,5.421010862427522e-20,0.0,0.0,2.168404344971009e-19,8.470329472543003e-22,0.0,8.470329472543003e-22,5.421010862427522e-20,0.0,5.421010862427522e-20,1.3234889800848443e-23,1.0587911840678754e-22,6.776263578034403e-21,0.0,6.776263578034403e-21,0.0,3.3881317890172014e-21,8.470329472543003e-22,5.293955920339377e-23,2.6469779601696886e-23,0.0,1.0587911840678754e-22,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,0.0,0.0,0.0,7.940933880509066e-23,3.3881317890172014e-21,0.0,0.0,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,0.0
