,Y7Z5,Y5Z7,Y5Z3,Y3Z5,Y6Z1,Y1Z6,Y0Z3,Y3Z0,Y3Z1,Y1Z3,Y2Z3,Y3Z2,Y4Z1,Y1Z4,Y0Z1,Y1Z0,Y6Z2,Y2Z6,Y2Z1,Y1Z2,Y2Z5,Y5Z2,Y7Z0,Y0Z7,Y7Z6,Y6Z7,Y6Z5,Y5Z6,Y4Z2,Y2Z4,Y4Z6,Y6Z4,Y4Z0,Y0Z4,Y4Z7,Y7Z4,Y7Z3,Y3Z7,Y7Z2,Y2Z7,Y6Z3,Y3Z6,standard_x,Y5Z1,Y1Z5,Y7Z1,Y1Z7,Y4Z5,Y5Z4,Y0Z6,Y6Z0,Y4Z3,Y3Z4,X1X5,X3X6,X1X3,X1X7,X1X2,X3X7,X3X4,Y3Y6,X0X5,X0X2,X2X3,X2X5,X5X6,X2X7,X0X6,X3X5,X1X6,Y1Y2,X0X1,X4X5,Y1Y5,X0X3,Y3Y7,X1,X6X7,Y0Z2,Y2Z0,Y3Y4,X2X6,Y1Y7,X2X4,X1X4,Y1Y3,Y0Y2,X3,X4X6,X0X7,Y2Y5,Y0Y5,Y2Y7,X0X4,X4X7,Y2Y3,Y4Y6,Y2Y6,Y0Y6,Y5Y6,X5,X2,Y1Y6,Y0Y1,X5X7,X6,Y2Y4,Y1Y4,Y3Y5,Y6Y7,Y0Y4,Y4Y5,Y0Y3,X0,X7,Y5Y7,Y4Y7,X4,Y0Z5,Y5Z0,Y0Y7,standard_y,Y1,X7Y1,X3Y4,X2Y5,Y6,X5Y1,X0Y6,X6Y1,Y7,Y3,X7Y4,X7Y0,X6Y7,X6Y5,X6Y4,X6Y0,X4Y3,X4Y0,X3Y6,X3Y2,X3Y1,X3Y0,X2Y3,X2Y0,X1Y7,X1Y6,X1Y5,X1Y3,X0Y5,X0Y2,Y2,X7Y6,X7Y3,X6Y3,X6Y2,X5Y4,X4Y6,X4Y2,X4Y1,X3Y7,X2Y6,X2Y1,X1Y2,X0Y3,X5Y7,X2Y7,X3Z0,X1Z0,X5Z3,X3Z7,X3Z5,X1Z6,X0Z7,X2Z3,X2Z1,X7Z5,X6Z1,X5Z2,X5Z1,X5Z0,X3Z6,X3Z1,X1Z4,X1Z3,X0Z6,X0Z3,X7Z4,X6Z0,X2Z4,X4Z0,X1Z5,X7Z3,X6Z2,X4Z6,X2Z5,X4Z5,X0Z5,X7Z2,X5Z4,X4Z2,X0Z4,X6Z3,X4Z3,X3Z4,X0Z2,Y5,Y4,Y0,X7Z6,X7Z1,X7Z0,X7Y5,X7Y2,X6Z7,X6Z5,X6Z4,X5Z7,X5Z6,X5Y6,X5Y3,X5Y2,X5Y0,X4Z7,X4Z1,X4Y7,X4Y5,X3Z2,X3Y5,X2Z7,X2Z6,X2Z0,X2Y4,X1Z7,X1Z2,X1Y4,X1Y0,X0Z1,X0Y7,X0Y4,X0Y1
0,0.943395138231591,0.9433028443993032,0.8849627179086837,0.884871439296337,0.863587145993741,0.8634386406363024,0.8375887399519961,0.8374305206870589,0.8210703719539652,0.8210473389387516,0.8194241112843295,0.8193374229645325,0.8170055226025189,0.8167726565802437,0.7913751985677719,0.7912035126240105,0.7593053113715419,0.7592763605924988,0.6314044667532632,0.6313199577824402,0.5807057008336087,0.5807041633914609,0.5021249300082324,0.5021188690037468,0.4940303258803855,0.49400213615672284,0.4794411194929456,0.47942156979115536,0.4603609825380085,0.46029137326099157,0.3943696810341081,0.3943250849800459,0.3174242377121923,0.3174026229115634,0.29387597286451916,0.29385950867423116,0.28481505544208585,0.28475781552138124,0.2084037568249868,0.20838391930186292,0.17226358161353889,0.1722387894980439,0.1709371261272553,0.10258686910503131,0.10257340992068248,0.09577663092674629,0.09575469611446005,0.08425387031093898,0.08424090748109309,0.06966246164854858,0.06965932746318215,0.062194298277519496,0.062178315203513065,0.05369808248497346,0.048727688506411126,0.047295016500556036,0.047206778424959045,0.045757325147040055,0.043899182960734154,0.04171109755344614,0.03958768667938321,0.039451377176944934,0.039257818044622625,0.038434499891250216,0.038246679823681136,0.037854453487095166,0.037604281989397956,0.03664041609333775,0.03637773001045306,0.03627797587296358,0.036179029417927666,0.03567170644456391,0.034775660415167525,0.03352375385808472,0.032297586882291146,0.032167180441044836,0.03133139903144884,0.03105210721760205,0.031025884983625532,0.031023306165663244,0.03080531721197107,0.030743221412902273,0.030527395019757958,0.03050244469238403,0.03031108176799189,0.029959571919270463,0.02993723791345329,0.029462103119072963,0.029088943759266177,0.027893410329575784,0.027800371997995628,0.02748873430655442,0.02735742828436523,0.027187382240056665,0.02667096062617149,0.02554909408275899,0.02547411582351752,0.025036559633579376,0.024608410970386168,0.023645758075174404,0.022588198922534285,0.02241173340845257,0.02189769439187386,0.021526977859646537,0.020851044094292913,0.019870645720381053,0.019729177001321922,0.01940921839093624,0.01853738679127316,0.017867071828309267,0.017781934806711204,0.017528374610610013,0.01721666375948816,0.016872090728658112,0.01606758223308126,0.013015247422735944,0.012513939004712198,0.01233337296362623,0.012015108428349214,0.012014077944931513,0.009198621915422669,1.942890293094024e-16,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,2.6020852139652106e-18,2.168404344971009e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.3010426069826053e-18,1.0842021724855044e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,6.505213034913027e-19,6.505213034913027e-19,5.421010862427522e-19,4.87890977618477e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.2526065174565133e-19,2.710505431213761e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,8.131516293641283e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0012610964607249094,0.0012580460672103702,0.0011825075977872088,0.6001562704561427,0.8636723182931765,0.8635031320402006,0.8376143104020661,0.8375417354409209,0.8211797233292559,0.8211097206467738,0.8194898318125727,0.8194466140294974,0.8170272133997691,0.8168348189342666,0.7914003711471924,0.7912643418384437,0.7593826007471864,0.7593386165280687,0.6314582334181071,0.6313711043174333,0.37234517012047463,0.0007741970043555792,0.0006650750613787439,0.49011709142954796,0.0006542771209981208,0.014556198177970062,0.014554421200307296,0.0006335600310936938,0.4603770757827569,0.4603321813052051,0.3943839542980667,0.39436833774245583,0.31743607043665756,0.31741587856308373,0.20962630317644676,0.000388287997183783,0.00037630859409923417,0.6001537426089766,0.0002752002773385859,0.37234317676243217,0.17228294018943516,0.17226387572250934,0.10482359086188701,0.0001353686120334238,0.006822041234162413,0.00012641148499359682,0.006820473980282293,0.20962523138682426,0.00010678943926801734,0.06966568028159857,0.06966735317218675,0.06219677438898518,0.06218742924062405,0.0015435134034948743,0.03506123951678917,0.03786117238040593,0.0016007635821546733,0.03893004133719133,0.0017600017694562099,0.032602772324796664,0.025139719053277783,0.0017633596333458984,0.03335950704194365,0.027764812024019418,0.0014511899052369953,0.001532331568324209,0.0016629727518369666,0.028978872585270384,0.0013595025489560057,0.02834517438736354,0.031283982144122605,0.032200590124395106,0.0015806612246471769,0.0015852266021704855,0.02460631666638176,0.0018413983042612136,0.02814872694380856,0.0015736261069077087,0.031027315620835053,0.031026263463184572,0.02260488015741742,0.021256626412755067,0.0015895339250263534,0.0249264004919377,0.026837996172912635,0.02497104009234011,0.021667999300182685,0.021914199769310853,0.02163511455787086,0.0013407240328883068,0.0011978958283887585,0.0013734796863350543,0.0015354685172757213,0.02431919819145361,0.0015163928533994861,0.01655235794978273,0.01983541748842544,0.015467842410213265,0.018028652526796203,0.001346919008072971,0.0015068372247062846,0.017999061924653864,0.01805038517428048,0.01855266449925478,0.00714825888270367,0.013687978618504619,0.014371144333067881,0.016874751162036808,0.0012805232922561438,0.00132674269386168,0.015487572536282558,0.0010776456531882916,0.007312931130731145,0.01538134228321331,0.0015628240265283398,0.007146448225591871,0.0008820283277469799,0.010761942573630418,0.4901159719901037,5.832835004503527e-06,0.0009072588574449653,8.318541168395033e-17,0.0,5.421010862427522e-20,2.7755575615628914e-17,0.0,1.3877787807814457e-17,5.421010862427522e-20,0.0,1.3877787807814457e-17,2.710505431213761e-20,0.0,5.421010862427522e-20,2.710505431213761e-20,5.421010862427522e-20,0.0,5.551115123125783e-17,8.326672684688674e-17,1.1102230246251565e-16,2.7755575615628914e-17,0.0,0.0,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,2.710505431213761e-20,1.3552527156068805e-20,1.1102230246251565e-16,2.7755575615628914e-17,2.710505431213761e-20,0.0,0.0,0.0,2.710505431213761e-20,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,0.0,0.0,8.673617379884035e-19,5.421010862427522e-20,2.168404344971009e-19,5.421010862427522e-20,1.3552527156068805e-20,0.0,8.673617379884035e-19,0.0,8.673617379884035e-19,1.734723475976807e-18,4.336808689942018e-19,8.673617379884035e-19,4.0657581468206416e-20,5.421010862427522e-19,6.505213034913027e-19,0.0,1.734723475976807e-18,2.710505431213761e-20,2.168404344971009e-19,8.673617379884035e-19,0.0,0.0,0.0,1.3552527156068805e-20,2.710505431213761e-20,1.0842021724855044e-19,6.505213034913027e-19,2.710505431213761e-19,2.710505431213761e-20,2.710505431213761e-19,0.0,1.0842021724855044e-19,4.163336342344337e-17,8.326672684688674e-17,0.0,2.710505431213761e-20,4.0657581468206416e-20,3.469446951953614e-18,5.421010862427522e-20,0.0,8.673617379884035e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,0.0,5.421010862427522e-20,2.710505431213761e-20,5.421010862427522e-20,8.673617379884035e-19,4.336808689942018e-19,0.0,1.0842021724855044e-19,0.0,0.0,0.0,8.673617379884035e-19,7.589415207398531e-19,2.7755575615628914e-17,3.469446951953614e-18,8.673617379884035e-19,4.163336342344337e-17,2.7755575615628914e-17,4.336808689942018e-19,5.421010862427522e-20,6.938893903907228e-17,0.0
2,8.826142560332815e-06,1.1875860506274496e-05,9.9029538980648e-06,0.6001426532729743,0.0008804524136148972,0.0008797488082329863,0.8376003335932821,0.8375303532789005,0.6488812858931748,0.0008368126838623577,0.8195724012864282,0.8194350461821867,0.42263865408850376,0.0008323478264416417,0.7217107112922043,0.0008064400403698758,0.0007739597255902496,0.12787718131829454,0.127876284939531,0.000643028900461925,0.37237673316238373,7.941561507853049e-06,9.653339440957452e-06,0.49010576882256607,3.361786606357334e-06,9.680458133351299e-06,9.447962554803285e-06,2.276247206641875e-06,0.46040833034250195,0.4603745723119049,0.4226378680618937,0.0004018456298970581,0.31745691692357647,0.3174069586636188,0.20964130150376492,6.402929979777207e-06,6.228916719481234e-06,0.6001418883924555,4.679286018145808e-06,0.37237624112515155,0.0001755372839794094,0.6488806473578247,0.051507869654251824,2.3488512451419544e-06,1.8053216112169418e-05,3.2881075558623476e-06,1.78493735015859e-05,0.20964100808283137,5.497876274016032e-06,0.7217101494712073,7.098228665257808e-05,0.062200724806019556,0.06218574008337293,0.0002049718239752895,8.886729926046693e-05,8.466810744192308e-05,0.00021266070443048463,9.145215262017365e-05,0.0010687198094614394,0.026904686875247906,0.00014248170286796798,0.0010817939271690735,0.0262164135867395,0.018424051804249962,0.0008491100799974392,0.00021273350705013766,0.0010017685924454056,8.004286278371026e-05,0.0007819709964485353,0.01141315806941045,5.281647312569902e-05,7.964720746860027e-05,0.0009492972473964332,0.0006425936100088327,0.023324133714246346,0.0012767933313586385,7.657451715793533e-05,0.00020525315563724218,0.031026351200123044,0.031028959315624445,0.015801165431900077,6.754155644272497e-05,0.000642670618329534,0.011572222097985141,7.053001469833622e-05,0.00015809334223812515,0.011140751662858203,0.021528097831408223,7.498284933048173e-05,0.0007690967647940919,0.0005506453579500056,0.0009743042137642687,0.0008032856855581674,0.0193031019791216,0.0009018180669471652,0.0037604565491440806,0.00013549667753432279,7.351183007642332e-05,0.000222462619178575,0.0006425853224408034,0.0009050735442120423,0.010367745233796317,0.011413087217412632,0.00020645716262256616,0.007900058094519703,6.153903505585796e-05,0.0014696374948708793,0.00012238255503257384,0.0008697165119997939,0.0006426608372147621,0.0096975772834427,0.0006244179488613,0.004287992705862827,0.01586917425365137,0.0009461681483195399,0.007900054408734234,0.0004822447013416944,0.005455980475713705,0.4901054233574552,8.169380989164085e-06,0.0006419382499472535,5.548468145165613e-17,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,1.3552527156068805e-20,6.938893903907228e-17,6.352747104407253e-22,0.0,0.0,1.0587911840678754e-22,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.6940658945086007e-21,2.7755575615628914e-17,1.6940658945086007e-21,5.421010862427522e-20,3.3881317890172014e-21,0.0,2.7755575615628914e-17,0.0,4.235164736271502e-22,1.0842021724855044e-19,2.710505431213761e-20,0.0,4.0657581468206416e-20,0.0,0.0,1.6940658945086007e-21,1.3552527156068805e-20,0.0,5.421010862427522e-20,5.551115123125783e-17,6.938893903907228e-18,1.4823076576950256e-21,8.673617379884035e-19,2.710505431213761e-20,5.421010862427522e-20,1.734723475976807e-18,1.734723475976807e-18,2.710505431213761e-20,1.734723475976807e-18,4.336808689942018e-19,1.3010426069826053e-18,2.0328790734103208e-20,2.710505431213761e-20,5.421010862427522e-20,2.710505431213761e-20,0.0,4.336808689942018e-19,4.336808689942018e-19,0.0,0.0,4.336808689942018e-19,8.673617379884035e-19,3.049318610115481e-20,2.0328790734103208e-20,2.168404344971009e-19,4.336808689942018e-19,6.776263578034403e-21,3.3881317890172014e-21,0.0,4.336808689942018e-19,8.673617379884035e-19,4.336808689942018e-19,0.0,1.1858461261560205e-20,0.0,2.168404344971009e-19,0.0,0.0,0.0,3.2526065174565133e-19,5.421010862427522e-20,0.0,5.551115123125783e-17,2.7755575615628914e-17,5.421010862427522e-20,5.421010862427522e-20,8.131516293641283e-20,1.3877787807814457e-17,4.235164736271502e-22,2.710505431213761e-20,6.776263578034403e-21,1.3552527156068805e-20,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,4.336808689942018e-19,2.117582368135751e-22,0.0,0.0,0.0,0.0,1.3010426069826053e-18,1.3010426069826053e-18,4.163336342344337e-17,1.3552527156068805e-20,0.0,2.710505431213761e-20,5.421010862427522e-20,4.336808689942018e-19,2.117582368135751e-22,0.0,0.0
3,4.388149291092865e-05,5.368954050038114e-05,4.8719417903964925e-05,6.66135994904488e-05,2.1412909144495084e-05,2.2831380903490354e-05,9.44946157926436e-05,9.116957695362067e-05,6.86329445557736e-05,2.646273579741391e-06,0.7885340190529115,9.223966809867611e-05,0.4226407566987423,2.1133199870073355e-05,8.018476037507729e-05,2.640319502626209e-06,2.010585345683731e-05,0.12787165127020333,0.127871444726401,1.957059190561683e-05,0.37237106603731873,3.363521768222341e-05,8.702318133356038e-06,5.646945271403811e-05,1.972600937055939e-05,5.6655566740076705e-06,5.491921033959275e-06,1.975670178276444e-05,0.46041064460463543,0.4603707172055187,0.4226403840707406,1.2193607145354266e-05,0.25525615712096184,3.3827511886610166e-05,0.20964360951342076,1.6574327309708295e-05,8.84268098930413e-06,6.652452580132868e-05,1.1864456687140561e-05,0.37237070696302677,3.917269331377538e-06,6.862404296873386e-05,0.016735833812760857,1.958041156764042e-05,5.892132270235828e-06,1.9662788377644454e-05,6.044280497206932e-06,0.20964348120024168,8.594346132659724e-06,8.017073162584319e-05,3.932225916102482e-06,0.2552560258647063,3.399292309079865e-06,0.00017652944514153193,2.983055480511965e-05,3.225918153494218e-05,0.0001831403229107316,0.0007890036140481465,0.0004328145793828438,0.0006799167142616882,5.689483175293363e-05,0.00043285980267315837,0.0006364107780382738,0.0006252110661138606,0.000726467200502963,0.00018308506609678255,0.0006189320191354087,3.2268973754993654e-05,9.262495347520599e-05,0.002057229976663313,0.000664270029997155,2.9842389410149996e-05,0.0008131207317902988,0.0005547943983629483,0.019645189505234414,0.0005557552589328831,0.0007427660460146176,0.00017659642857095536,3.275027480955799e-06,0.7885338090586986,0.00040867327695562653,0.0006753669975270837,0.0005548640452410258,0.011137341591712903,0.0006627698636673041,5.685461982028658e-05,0.00041949605463307367,0.0006380479720869262,0.0008018645767403144,9.270724669310554e-05,0.00045950647925833835,0.0005557610601647992,0.000678360524615902,0.0005817079188484396,0.0005328397236746137,8.185441973351961e-05,0.0007140927948921804,0.00061146545678614,5.6915078464666045e-05,0.0005548049272419017,0.0007750927293212564,0.010500876487645486,0.0020572436113129554,5.6870485384458174e-05,0.01435475085655221,0.0007221805572919387,0.006973839735431834,0.0005391731390589438,0.0005558508904627525,0.0005548934000946055,0.0002989264983645895,0.0003841156137300964,0.01964512436836018,0.0006226422520487771,0.0005713133877573674,0.014354761279760282,0.00026134047866080483,0.005092807587207597,5.628749057962842e-05,4.882689756821441e-05,0.0005558917932169062,9.713816190759679e-17,1.6940658945086007e-21,8.470329472543003e-22,1.6940658945086007e-21,6.776263578034403e-21,1.2705494208814505e-21,0.0,5.293955920339377e-23,1.734723475976807e-18,0.0,6.776263578034403e-21,8.470329472543003e-22,0.0,1.0587911840678754e-21,8.470329472543003e-22,0.0,5.293955920339377e-23,2.0328790734103208e-20,6.776263578034403e-21,0.0,0.0,5.293955920339377e-23,0.0,6.776263578034403e-21,6.776263578034403e-21,8.470329472543003e-22,5.204170427930421e-18,1.6940658945086007e-21,0.0,8.470329472543003e-22,0.0,8.326672684688674e-17,1.0587911840678754e-22,1.2705494208814505e-21,0.0,8.470329472543003e-22,3.3881317890172014e-21,8.470329472543003e-22,5.551115123125783e-17,0.0,0.0,1.2705494208814505e-21,8.470329472543003e-22,1.6940658945086007e-21,0.0,8.326672684688674e-17,1.6940658945086007e-21,2.710505431213761e-20,1.0164395367051604e-20,0.0,0.0,5.421010862427522e-20,2.710505431213761e-20,5.421010862427522e-20,1.734723475976807e-18,4.336808689942018e-19,0.0,0.0,0.0,2.710505431213761e-20,5.421010862427522e-20,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,6.437450399132683e-20,2.710505431213761e-20,0.0,2.0328790734103208e-20,2.371692252312041e-20,1.0842021724855044e-18,7.589415207398531e-19,0.0,4.0657581468206416e-20,2.710505431213761e-20,9.75781955236954e-19,0.0,8.673617379884035e-19,0.0,3.3881317890172014e-21,5.421010862427522e-20,1.0842021724855044e-19,3.3881317890172014e-20,3.049318610115481e-20,4.336808689942018e-19,2.0328790734103208e-20,5.082197683525802e-21,0.0,1.3877787807814457e-17,0.0,0.0,0.0,2.0328790734103208e-20,8.326672684688674e-17,0.0,5.421010862427522e-20,5.421010862427522e-20,4.0657581468206416e-20,0.0,2.710505431213761e-20,0.0,0.0,1.6940658945086007e-21,1.6940658945086007e-21,8.673617379884035e-19,9.75781955236954e-19,2.541098841762901e-21,3.3881317890172014e-21,2.710505431213761e-20,0.0,8.673617379884035e-19,4.336808689942018e-19,0.0,2.7755575615628914e-17,5.421010862427522e-20,1.3552527156068805e-20,8.470329472543003e-22,3.1763735522036263e-22,2.710505431213761e-20,4.235164736271502e-22,0.0,5.293955920339377e-23
4,3.218260277357389e-05,3.2044499746094625e-05,9.543676377140738e-06,1.173313794639444e-06,1.7301916488340483e-05,3.122303407494817e-05,3.5428779474903474e-05,4.081380197753432e-06,4.070590227288511e-06,1.4132416288221745e-05,0.005073912838653081,4.810314366058595e-06,0.4225578265322574,3.3344428046815886e-05,2.8939172472938128e-05,1.4127821105697807e-05,8.269574501299237e-06,0.0008441914043958911,0.000844914855805482,7.971557727435064e-06,0.0024301315486030496,9.527000098800985e-06,1.4586799321233774e-05,1.661204901106451e-05,1.3505771180811765e-05,1.1112087238846137e-06,1.110899499778648e-06,1.270097651515358e-05,0.7155780999568456,0.002998031857032877,0.42255717646527424,1.9598990024062342e-05,0.7155802871590049,9.909521322123699e-06,0.20958477233383566,9.774728779142792e-06,1.459068493163276e-05,1.1734109231685638e-06,1.4632807554069942e-05,0.0024301316859767787,1.2080820463019032e-05,4.125581046986111e-06,0.01772911391642349,1.2712267099909901e-05,6.392839165674838e-07,1.3516625660831782e-05,6.395567435553835e-07,0.20958477202370965,2.6496209534568664e-06,2.900033414432074e-05,1.2092640449309202e-05,0.7155801763734719,3.7504486297156656e-06,7.635267845012092e-06,5.580076355805353e-07,5.598045504783434e-07,7.905608343198094e-06,0.0006027096425490299,1.3545755340884278e-07,2.679992349102508e-05,9.245587450894955e-07,1.090139728720368e-05,2.4600939506169393e-05,0.0006381331900246663,6.332167326221558e-06,7.928564494649422e-06,2.2562374529048027e-06,1.4404838378272736e-05,3.698392935387592e-08,0.0032656666320400084,0.0012716715899038491,1.8281108227674405e-05,2.889821604064369e-05,2.4086684303093763e-05,0.008509454561855312,1.6654899423895246e-07,0.000980271915499151,7.632622566833302e-06,3.533644753179145e-05,0.005073917357775459,1.069223909951222e-05,0.0005614677680971055,2.4082590580661832e-05,0.006211182972281836,0.0008101591258636125,9.383888513809072e-07,2.8293503785491963e-05,2.7055019407949664e-05,0.0009700204733270666,1.1728803156012423e-06,1.0118620367636392e-05,2.3742211036829793e-05,9.845727902400401e-06,0.0008268449218768166,2.159720453348702e-05,0.0006382103567059744,0.000944267633739813,0.0012729882216696246,0.00011856664976486716,2.410453507520526e-05,2.682425850452776e-05,0.009334863025919914,0.0032656776392555494,0.00011857601180124432,0.013593517132178884,0.0008008103611589182,1.8311656283984752e-05,0.0005723543386995198,1.60364506428505e-07,2.4102766663818985e-05,0.00022624511407520916,1.035305046925299e-05,0.008509453633555857,0.0009594443852240999,2.2966994667110243e-05,0.01359351712900453,5.39938353630768e-06,0.011112041318622054,1.6612367916028182e-05,9.55121548260589e-06,2.3755557481199586e-05,1.4310515764742997e-17,3.3881317890172014e-21,0.0,2.117582368135751e-22,0.0,2.117582368135751e-21,0.0,1.0587911840678754e-22,3.469446951953614e-18,4.235164736271502e-22,1.0587911840678754e-22,4.235164736271502e-22,6.617444900424221e-23,3.3087224502121107e-23,0.0,8.470329472543003e-22,1.0587911840678754e-22,4.235164736271502e-22,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,3.469446951953614e-18,2.6469779601696886e-23,5.293955920339377e-23,1.0587911840678754e-22,0.0,4.336808689942018e-19,0.0,0.0,0.0,2.541098841762901e-21,1.6940658945086007e-21,2.541098841762901e-21,0.0,0.0,9.926167350636332e-24,3.3881317890172014e-21,3.3881317890172014e-21,0.0,0.0,2.7755575615628914e-17,3.970466940254533e-23,2.541098841762901e-21,2.710505431213761e-20,1.6940658945086007e-21,0.0,0.0,0.0,5.421010862427522e-20,0.0,4.336808689942018e-19,4.235164736271502e-22,8.131516293641283e-20,3.3881317890172014e-21,1.6940658945086007e-21,1.6940658945086007e-21,0.0,0.0,1.0842021724855044e-19,1.3552527156068805e-20,5.421010862427522e-20,0.0,2.117582368135751e-22,6.098637220230962e-20,0.0,8.673617379884035e-19,1.0842021724855044e-19,4.235164736271502e-22,6.098637220230962e-20,2.168404344971009e-19,1.734723475976807e-18,1.734723475976807e-18,5.421010862427522e-20,8.470329472543003e-22,8.470329472543003e-22,4.336808689942018e-19,0.0,0.0,8.673617379884035e-19,7.940933880509066e-23,2.710505431213761e-20,0.0,1.3877787807814457e-17,0.0,1.6940658945086007e-21,1.6940658945086007e-21,8.470329472543003e-22,1.3877787807814457e-17,1.3234889800848443e-23,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,1.6940658945086007e-21,2.117582368135751e-22,0.0,0.0,1.0587911840678754e-22,1.734723475976807e-18,2.168404344971009e-19,4.235164736271502e-22,0.0,8.470329472543003e-22,1.3234889800848443e-23,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,0.0,4.0657581468206416e-20,1.6940658945086007e-21,2.117582368135751e-22,5.421010862427522e-20,5.293955920339377e-23,8.470329472543003e-22,2.117582368135751e-22
