,Y5Z2,Y2Z5,Y0Z3,Y3Z0,Y3Z2,Y2Z3,Y5Z7,Y7Z5,Y1Z7,Y7Z1,Y1Z3,Y3Z1,Y2Z7,Y7Z2,Y6Z5,Y5Z6,Y4Z7,Y7Z4,Y6Z3,Y3Z6,Y0Z7,Y7Z0,Y4Z0,Y0Z4,Y4Z2,Y2Z4,Y1Z5,Y5Z1,Y6Z0,Y0Z6,Y1Z2,Y2Z1,Y6Z7,Y7Z6,Y0Z5,Y5Z0,Y4Z6,Y6Z4,Y6Z1,Y1Z6,Y4Z3,Y3Z4,Y0Z2,Y2Z0,Y5Z3,Y3Z5,Y1Z0,Y0Z1,standard_x,Y4Z1,Y1Z4,Y3Z7,Y7Z3,Y6Z2,Y2Z6,X3X7,X3X5,Y3Y7,X2X7,X0X2,X1X2,X0X5,X2X6,X0X7,Y3Y5,X6X7,Y0Y2,X1X5,X2X3,X3X4,X5X7,X4X5,Y2Y6,Y1Y2,Y2Y7,X0X1,X2X4,X2X5,Y4Z5,Y5Z4,X3X6,X4X7,X1X3,Y4Y5,X1X7,Y0Y1,Y5Y7,Y1Y5,X1X4,X0X3,X7,X0X6,X5X6,X1X6,X2,Y6Y7,Y3Y4,X3,X5,Y0Y5,Y0Y6,X4X6,X0X4,Y1Y6,Y0Y7,Y1Y4,Y2Y5,Y4Y7,Y1Y7,Y2Y4,Y2Y3,X0,Y3Y6,Y0Y4,X1,Y1Y3,Y0Y3,Y5Y6,Y4Y6,X6,X4,X3Y5,X2Y7,X2Y4,Y6,Y4,Y0,X6Y5,X6Y4,X6Y2,X6Y1,X4Y2,X2Y1,X2Y0,X1Y5,X0Y7,standard_y,X7Y2,X5Y7,X7Y6,X7Y4,X7Y0,X6Y3,X5Y3,X4Y6,X4Y3,X1Y6,Y3,X4Y7,X3Y7,X2Z3,X7Z5,X3Z6,X2Z6,X1Z3,X0Z7,X0Z1,X7Z0,X3Z5,X7Z2,X6Z3,X6Z1,X4Z2,X3Z2,X3Z0,X2Z4,X1Z6,X1Z0,X0Z6,X6Z4,X7Z3,X7Z4,X6Z0,X4Z6,X4Z1,X3Z4,X3Z1,X2Z0,X1Z4,X0Z2,X4Z5,X6Z2,X5Z4,Y7,Y5,Y2,Y1,X7Z6,X7Z1,X7Y5,X7Y3,X7Y1,X6Z7,X6Z5,X6Y7,X6Y0,X5Z7,X5Z6,X5Z3,X5Z2,X5Z1,X5Z0,X5Y6,X5Y4,X5Y2,X5Y1,X5Y0,X4Z7,X4Z3,X4Z0,X4Y5,X4Y1,X4Y0,X3Z7,X3Y6,X3Y4,X3Y2,X3Y1,X3Y0,X2Z7,X2Z5,X2Z1,X2Y6,X2Y5,X2Y3,X1Z7,X1Z5,X1Z2,X1Y7,X1Y4,X1Y3,X1Y2,X1Y0,X0Z5,X0Z4,X0Z3,X0Y6,X0Y5,X0Y4,X0Y3,X0Y2,X0Y1
0,0.892258271233664,0.8922272837136513,0.8389727250202019,0.8388743797971779,0.8360118041019458,0.8360066414291312,0.8122504845619418,0.8122121010025801,0.7547377385127215,0.7546222511997801,0.7097835147536652,0.7096881785516287,0.6739610975292899,0.6739526549276813,0.6536448650077891,0.6535450879096678,0.5954287092674648,0.5953055566912238,0.5562934424752599,0.5561926429488668,0.5431976572041615,0.5431238240081913,0.5404760328258744,0.5404377038705573,0.5139062411036025,0.5138063858237092,0.3636096499600354,0.36357119186517894,0.33538066013562523,0.33535920131268326,0.32770531554233684,0.3276592747954794,0.3243196014678142,0.3242547702342602,0.28079879155018983,0.28077389263848224,0.27875552526019365,0.2787535922110994,0.2760591718477716,0.2760462283143631,0.25036145596013915,0.25031435451194983,0.18913230244752116,0.18910896365359803,0.18739920873667926,0.18739385752839732,0.1459238935059695,0.145921398554392,0.1440647327690862,0.12241777749131263,0.12241118881990426,0.08144031743750439,0.0814387942951483,0.06957275052690265,0.06955971430738062,0.0475247384360383,0.043808822474784105,0.04073161605359689,0.03898617678251762,0.03829872832513026,0.03572773053995802,0.035125297941363556,0.0346540009502032,0.03394989752635798,0.03353162459680181,0.03348352555713811,0.033342401090818596,0.03291812119666522,0.0328475188283023,0.03262528709402789,0.03256233822654453,0.03195911654819568,0.031283463375487444,0.030728701500243795,0.029431885296105867,0.029227221474760527,0.029009695462419355,0.029001036395608547,0.02842428692423097,0.028419750871695595,0.02815300870616118,0.02803564839436302,0.02739061397888607,0.02735422772997735,0.02731996992163571,0.026568728934138204,0.025454214360358947,0.025270491093551214,0.02462818558688326,0.024528085368864444,0.024457979960571564,0.024279585534717995,0.023894670578225953,0.02386572098621296,0.023623182248078863,0.023594261053122317,0.023578868536260872,0.023211634229019312,0.021308631744326977,0.021099156741733197,0.020613088238820874,0.020249554555934062,0.020225372600537316,0.019665529807712974,0.019293444698468193,0.01923520207914388,0.018734254794730038,0.017326664579213197,0.016317235391580642,0.015956634171789517,0.015616758662104668,0.015398676588821485,0.015085213366022796,0.01500267858961538,0.014259101857641628,0.014206970502346575,0.013611079589916083,0.012647114019888876,0.012036876219740863,0.011133875564752791,0.010671650575873623,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.734723475976807e-18,1.3010426069826053e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,5.963111948670274e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.2526065174565133e-19,2.710505431213761e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,1.3552527156068805e-19,8.131516293641283e-20,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.7370228025376112e-05,2.7847278074310248e-05,0.8389292991279933,0.8388163078366064,0.6485287975092722,3.525372667377564e-05,2.0146279216184607e-05,0.13827852074981484,0.7547224198721775,0.7546972407074942,0.7097660143081455,0.7096323759407919,3.7933791851056633e-06,0.13827295675137233,0.5840577969773824,9.663010789878889e-06,0.5953968611203848,0.5953577407197735,0.5562790897274387,0.5561440404280071,0.5431597542667426,0.5431707502156511,0.540445461953833,0.5403990117237998,0.4854507495298741,2.2885532023836365e-05,0.03591798536077633,7.576312050254641e-07,0.3353693105992784,0.33533305720896533,0.035910983727210966,3.6807779731844266e-06,0.32430997391058514,0.32428148045682403,0.0916721475566577,6.003645855906225e-08,0.2787369682775305,0.2787431431862417,0.2760497101688285,0.27603466643346575,0.2503445629347053,0.25028932980331575,0.0916663382303062,6.898657806966058e-06,3.929008453425406e-07,0.6485200664372889,0.14591730237957348,0.14590948020212827,0.10515545761445277,0.12240927096394202,0.12240531174152972,0.0814325795008691,0.08144519809065698,0.5840533010470847,3.4528871772025884e-05,0.0406558430557625,0.004847905244701764,0.030997792566444853,0.00397289988680179,0.0037865694248563186,0.003759121567575195,0.004531372450555626,0.004552033294254309,0.026358098283762607,0.003968224361883703,0.025211665790732744,0.0029867830626282045,0.004558199116100042,0.003470189400128774,0.035769355957946496,0.00434447800799851,0.004615877507320497,0.0037381524379282638,0.003487278009564925,0.004564531539802607,0.031243238599185326,0.003701916706589808,0.011620358011193287,0.4854443163903387,1.0158184436445335e-07,0.02873663206168671,0.020191999174730683,0.026811361603585295,0.002998768402035939,0.016723309967016597,0.028281802454260697,0.004299154353036824,0.0034179325793427633,0.026676188410746517,0.024910932216663906,0.01616894795119205,0.026229471169044546,0.0037650052702508686,0.024149062168521376,0.003731647335814202,0.015374724060768069,0.0259663334241804,0.024657173134123,0.00458658200786455,0.002809867034431276,0.021085506680549863,0.022354290799994937,0.022904417015045933,0.01756746112399199,0.014866797710091702,0.018982013304262857,0.011619938610036629,0.011283298600671073,0.007229915958469769,0.00206612409875481,0.0027225388882912292,0.01736480915244589,0.005407688968139833,0.014879090973077345,0.014401955885353881,0.008873889776300022,0.010325544949795295,0.002616308728919101,0.007060844017915447,0.011602330793312538,0.012642011354346672,3.3881317890172014e-21,1.6940658945086007e-21,4.235164736271502e-22,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17,8.470329472543003e-22,5.551115123125783e-17,0.0,5.551115123125783e-17,1.6940658945086007e-21,0.0,6.776263578034403e-21,0.0,4.163336342344337e-17,1.1102569059430467e-16,3.3881317890172014e-21,3.3881317890172014e-21,4.85722573273506e-17,5.551115123125783e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,4.163336342344337e-17,5.551115123125783e-17,2.7755575615628914e-17,1.3877787807814457e-17,2.7755575615628914e-17,1.0842021724855044e-19,1.0842021724855044e-19,0.0,1.0842021724855044e-19,0.0,1.734723475976807e-18,0.0,4.336808689942018e-19,6.505213034913027e-19,3.5236570605778894e-19,8.673617379884035e-19,2.168404344971009e-19,8.673617379884035e-19,8.673617379884035e-19,1.3010426069826053e-18,5.421010862427522e-20,0.0,1.734723475976807e-18,8.673617379884035e-19,2.168404344971009e-19,1.3552527156068805e-19,2.168404344971009e-19,2.168404344971009e-19,4.336808689942018e-19,3.2526065174565133e-19,2.168404344971009e-19,8.673617379884035e-19,2.710505431213761e-19,2.168404344971009e-19,1.6263032587282567e-19,0.0,4.336808689942018e-19,5.421010862427522e-20,0.0,3.3881317890172014e-21,0.0,0.0,8.673617379884035e-19,4.336808689942018e-19,3.3881317890172014e-21,1.1102230246251565e-16,2.7755575615628914e-17,8.673617379884035e-19,0.0,6.938893903907228e-18,5.551115123125783e-17,4.336808689942018e-19,0.0,5.421010862427522e-20,0.0,2.168404344971009e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.673617379884035e-19,3.3881317890172014e-21,0.0,5.551115123125783e-17,3.469446951953614e-18,0.0,0.0,3.3881317890172014e-21,5.551115123125783e-17,0.0,4.336808689942018e-19,4.336808689942018e-19,1.0842021724855044e-19,0.0,1.3877787807814457e-17,0.0,0.0,2.0328790734103208e-19,0.0,2.7755575615628914e-17,0.0,5.551115123125783e-17,6.776263578034403e-21,5.551115123125783e-17,1.0842021724855044e-19,4.336808689942018e-19,0.0,2.7755575615628914e-17,3.3881317890172014e-21,0.0,2.7755575615628914e-17,1.3552527156068805e-20,5.551115123125783e-17
2,2.0855315291143823e-05,1.972370294537829e-05,0.0047835230286995805,0.0047873569436935135,0.0036924216257741716,1.4250489904043616e-05,1.9445900850458047e-05,0.13825447464636687,0.7547587065843806,0.7547246175199868,0.5638535282410261,0.004044644312167852,1.616295838216742e-05,0.13825444590433167,0.5840889993837561,1.6252876785881704e-05,0.5954409182232527,0.5953818562819002,0.2209093190079478,0.0031768806872268284,0.0031052110458000158,0.4617475938931548,0.29011771547512566,0.0030894925217160637,0.48548670591379767,1.097592951743785e-05,0.03590401313456025,9.469375913075296e-06,0.2208921258959562,0.001919325464013758,0.035903970574280686,8.295960481082578e-06,0.3243308574204238,0.32429318985993827,0.0005242777374446523,1.1227255022272602e-06,0.27875829456338025,0.2787630193738486,0.27606813360058047,0.2760485394121053,0.290102783464899,0.0014462415207302706,0.0005242844187578948,1.4330411397029986e-05,1.1932616955806245e-06,0.0036924259421052355,0.5638362903095134,0.0008356211187439001,0.047785150942841956,0.12241868634033351,0.12241207231356799,0.00048589796215353957,0.46173513466439836,0.5840889749944854,4.1763904587568505e-06,0.0023031322992506462,5.143093846013621e-05,0.00250488060434697,0.00029978740040727806,5.191203835449718e-05,0.0002828456744176,1.601034183560863e-05,0.00034600636280394725,0.0020145526441708505,8.150275578981803e-05,0.019694043302847804,8.195994923156305e-05,0.0003390694147037891,1.6506414126535874e-05,0.0021604591489159768,0.00032207227916507535,0.0003437217845834045,0.00026963113830088875,0.00026484219422505775,0.00031873583686905355,0.002597976878329937,0.00027853053013189957,0.01335871986535916,0.48548667182730465,7.551122239660333e-07,0.0017732898337930983,0.014839089790593916,0.0017719224447335917,0.00019434684926226522,0.012704628536744634,0.0022033271985337976,0.0002975854256441568,0.0002594684011920533,0.02016503653654929,0.01376926383439946,0.014439475874304086,0.00260602124934692,0.0002762899317868426,0.017675979574972196,0.00028095035609143604,0.008185219914111506,0.0022531171606471907,0.001933789728927663,0.000341611243111229,8.207980151894506e-05,0.001991054356679691,0.014689126471998009,0.0022064592704797836,0.010398434955722118,0.0018791711408163683,0.008672644395054614,0.013358726205360143,0.005222243771260002,0.001778808311007028,0.00012063564058644173,8.211149775360044e-05,0.0025259095241037307,0.0017427561265607617,0.0018686878690263899,0.01173639836006337,0.0014423805549759103,0.013780669463466472,0.00018085446528463177,0.002766794034879845,0.007743074206482937,0.008783941649757508,3.1763735522036263e-22,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,5.551115123125783e-17,3.3881317890172014e-21,0.0,0.0,0.0,2.117582368135751e-22,1.6940658945086007e-21,2.710505431213761e-19,1.3867284599268503e-16,4.235164736271502e-22,2.541098841762901e-21,1.3877787807814457e-17,2.7755575615628914e-17,2.168404344971009e-19,2.168404344971009e-19,2.117582368135751e-22,0.0,0.0,8.326672684688674e-17,1.0842021724855044e-19,5.551115123125783e-17,1.6263032587282567e-19,2.0328790734103208e-20,4.87890977618477e-19,1.6263032587282567e-19,1.3552527156068805e-20,8.673617379884035e-19,2.168404344971009e-19,1.6263032587282567e-19,3.2526065174565133e-19,5.421010862427522e-20,2.710505431213761e-19,0.0,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,8.673617379884035e-19,0.0,1.0842021724855044e-19,2.168404344971009e-19,7.589415207398531e-19,1.0842021724855044e-18,4.336808689942018e-19,0.0,2.168404344971009e-19,1.6263032587282567e-19,0.0,2.0328790734103208e-20,0.0,1.3552527156068805e-20,4.336808689942018e-19,4.336808689942018e-19,8.470329472543003e-22,0.0,1.6940658945086007e-21,1.6940658945086007e-21,1.6653345369377348e-16,0.0,0.0,8.470329472543003e-22,2.168404344971009e-19,4.163336342344337e-17,0.0,0.0,0.0,0.0,2.710505431213761e-20,1.3552527156068805e-20,1.0164395367051604e-20,2.710505431213761e-20,0.0,5.082197683525802e-21,0.0,0.0,1.3877787807814457e-17,3.3881317890172014e-21,2.117582368135751e-22,0.0,2.168404344971009e-19,0.0,1.6940658945086007e-21,0.0,0.0,1.0842021724855044e-19,0.0,2.168404344971009e-19,5.293955920339377e-23,4.336808689942018e-19,0.0,2.710505431213761e-20,0.0,1.3552527156068805e-20,1.6940658945086007e-21,0.0,0.0,8.673617379884035e-19,0.0,1.0842021724855044e-19,5.551115123125783e-17,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,2.7755575615628914e-17,2.117582368135751e-22,0.0
3,7.350154607859849e-06,6.186999639639123e-06,0.0002939791290113775,0.000271107610111181,0.00020103994821477875,4.831585588119548e-06,6.5140179502466584e-06,2.6796678074261215e-05,0.00015683569623122363,0.0001514026663881167,0.00012237116929369595,0.00017980196574297487,5.766866388078237e-06,2.6785200810113738e-05,0.5841124681082837,6.797217595144251e-06,0.473011317037183,0.00011860837662915229,0.22091964945158749,0.00018491458297072473,0.0001551846131745624,8.364895883605132e-05,0.29010252990091956,0.00020100057387891296,0.4854904371924055,3.662492849090681e-06,7.460821743716701e-06,6.643960872679211e-06,0.22091700632293668,0.00012786439587608565,7.487313744806134e-06,5.894669370343443e-06,0.048260157255004196,7.089452260972286e-05,3.667852229288654e-05,3.4271942361067763e-07,0.2787602793486179,0.2787739330806819,0.0482586945958829,6.326769349895934e-05,0.29010048683482725,0.00010072231418356849,3.66646280964273e-05,4.7194431989574465e-06,2.5506298478903203e-07,0.00020103069984967896,0.0001229247385241133,0.00015573133793552837,0.013683244569336723,0.47301006951454705,2.8379277922051354e-05,0.00017997070354518584,8.379856611707576e-05,0.5841124362023116,3.5342713176029276e-06,0.00033788756625758513,7.629149425646915e-05,0.0004301748511528192,0.00010054713425306849,7.625768175030444e-05,9.149190358698427e-05,2.5800332964159164e-05,0.00039853454050334095,6.041749280418219e-05,0.0001181431618559224,0.0011091197288945385,0.00011816156799176477,0.00010053904101031168,2.577471482059559e-05,0.0013980617254406255,9.149716716095273e-05,0.00038501162195927097,0.00030481738640594834,0.0001453486589594893,0.000145339786481566,0.00033796227594737305,0.00030252340766502724,0.013864987504156493,0.48549037613160867,3.6578226196946635e-07,0.0009719332450191804,0.00101373127694908,6.066406390554716e-05,0.0002418614208401204,0.015596679480412812,0.00043039942252415996,0.00014535090235085708,0.00014536260780595174,0.0020800057520793886,0.02117380814051124,0.001138879318807724,0.002612429876832213,0.00028903841775209434,0.001984312313945945,0.0003058768303053426,0.00117370236076459,0.002214862583438325,0.0011103178826086853,0.0003817746116931651,0.00011818283570364118,0.0018520863517039487,0.011597412955511907,0.0021848464852668678,0.0012519727999998525,0.00043088238733392047,0.0010645883362922573,0.013864988600808377,0.0002944949453446944,0.015596787253963528,0.00013673133134298448,0.00011812878582069038,0.0024774959734932427,0.0015138915517587887,0.0017643714401665163,0.0019568781321300088,0.0004310874679700163,0.02117409312946733,0.00017831356525201413,0.0075727408412087655,0.005513134910510746,0.007974514621991665,2.117582368135751e-22,2.6469779601696886e-22,2.117582368135751e-22,3.122502256758253e-17,2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,8.470329472543003e-22,0.0,4.235164736271502e-22,0.0,0.0,0.0,4.235164736271502e-22,5.898356279852683e-17,4.235164736271502e-22,0.0,1.6940658945086007e-21,1.6940658945086007e-21,0.0,0.0,1.5881867761018131e-22,2.42861286636753e-17,1.3552527156068805e-20,1.3552527156068805e-20,0.0,0.0,8.470329472543003e-22,2.710505431213761e-20,4.743384504624082e-20,5.421010862427522e-20,6.776263578034403e-21,0.0,0.0,0.0,1.5754812818929986e-19,1.0842021724855044e-19,3.3881317890172014e-21,1.0842021724855044e-19,4.336808689942018e-19,4.336808689942018e-19,0.0,5.421010862427522e-20,2.0328790734103208e-20,5.421010862427522e-20,2.168404344971009e-19,5.421010862427522e-20,0.0,1.6940658945086007e-21,5.421010862427522e-20,3.2526065174565133e-19,0.0,0.0,5.421010862427522e-20,0.0,1.3552527156068805e-20,5.421010862427522e-20,2.710505431213761e-20,4.336808689942018e-19,3.2526065174565133e-19,8.470329472543003e-22,3.3881317890172014e-21,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,4.336808689942018e-19,1.0842021724855044e-19,6.776263578034403e-21,1.3552527156068805e-20,5.421010862427522e-20,2.710505431213761e-20,3.3881317890172014e-21,2.710505431213761e-20,0.0,6.776263578034403e-21,2.117582368135751e-22,8.470329472543003e-22,2.7755575615628914e-17,0.0,0.0,0.0,6.505213034913027e-19,0.0,1.6940658945086007e-21,1.3552527156068805e-20,0.0,0.0,1.1858461261560205e-20,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-17,9.26442286059391e-23,2.168404344971009e-19,3.049318610115481e-20,1.6940658945086007e-20,4.163336342344337e-17,1.3552527156068805e-20,0.0,8.470329472543003e-22,0.0,1.3552527156068805e-20,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,1.0587911840678754e-22,0.0
4,1.298297297215533e-05,0.00035708191418820873,8.568727995059556e-05,8.992155052359223e-05,0.00013105751710953376,0.00028107474590970626,7.196850716065921e-06,1.5702230276724623e-05,3.9096664211352416e-05,4.707574469042175e-05,2.5619957664895433e-05,7.040857304682049e-05,0.0001579982684211587,1.5736160975227668e-05,0.00010016525571986189,1.3550561817847265e-05,0.47297999040506583,3.6476531266913445e-05,3.3920286338049924e-05,0.00013119773955726978,3.945357132732104e-05,3.394593182453929e-05,0.2900855362847927,5.429526819953789e-05,0.7642505760398415,0.00022271353662232642,1.593824655373087e-05,7.257888995613611e-06,3.390879786635896e-05,2.788910407900723e-05,1.5799074967573926e-05,0.00015782529434641812,8.32965532807097e-06,1.5992172912791587e-05,2.7808039512755835e-05,8.97871806610416e-07,0.764249738219877,4.3122544843692554e-05,8.207607522980342e-06,1.6216196902900226e-05,0.2900855124478676,2.4828106285600614e-05,2.7725494141488025e-05,0.0002810253146027363,9.018341054969414e-07,0.00013112847917504718,2.562330596624568e-05,3.947210652099372e-05,0.012960315431008488,0.4729799127556444,4.687090445591977e-06,7.041151921471719e-05,3.3946805757060456e-05,9.998436665756202e-05,0.00035807124014205973,2.6477254272771293e-05,4.8867886029546674e-08,3.372676038010046e-05,0.000181659870928519,0.00013417601540150173,0.00016970179811586617,7.057682481247057e-08,0.0006176813285330787,4.757948242314507e-06,3.6762789519681486e-09,9.666947516542065e-05,0.0002856226776014217,1.103395240841853e-07,3.093062605855723e-05,0.00012304835201761455,5.7335101755283344e-08,0.0006178094942834293,0.0006172336724690989,0.00035153737731845243,0.00035143799260165757,2.6488520499838225e-05,0.0006828822842887673,5.623053184408558e-05,0.764250293380493,1.1246035212671099e-06,1.5263311935614118e-05,0.00021832998568629817,4.7750247448081795e-06,0.0003165583146494447,0.017694858708642736,3.37265499572461e-05,1.7310328514325001e-07,1.9040859195066996e-07,0.0007637863086131704,0.027685946416064564,0.0002669471285411244,3.186390127744507e-05,0.0006029791779684471,8.411256272992586e-05,0.0006966359344647833,0.00031213407292277366,3.053861394283246e-05,0.00014722752001729148,0.0006180900995777525,4.7969116105196385e-08,6.97530525750989e-05,0.0006314564086813894,0.0001107973748977749,0.00031213820929893116,3.376407846404803e-05,0.00012054190404561826,5.611216869640009e-05,0.00018088976627318558,0.017694858454777113,8.181601182542069e-05,0.00028573699461399173,0.00013288875051727946,6.960822008068314e-05,6.132675123339269e-06,0.0007141269150357487,3.379484350226371e-05,0.027685970392853095,0.0006028972015846603,0.00046134080297833115,0.0013643135132520574,0.011248011157790755,1.0587911840678754e-22,1.2705494208814505e-21,0.0,1.6940658945086007e-21,5.551115123125783e-17,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,8.470329472543003e-22,0.0,1.3234889800848443e-23,1.3234889800848443e-23,5.5505645517100674e-17,8.470329472543003e-22,6.617444900424221e-23,6.352747104407253e-22,3.3881317890172014e-21,2.6469779601696886e-23,1.3234889800848443e-23,5.293955920339377e-23,3.3881317890172014e-21,0.0,8.470329472543003e-22,0.0,4.235164736271502e-21,5.293955920339377e-23,8.131516293641283e-20,0.0,2.710505431213761e-20,1.6263032587282567e-19,0.0,1.3552527156068805e-20,1.3552527156068805e-20,6.776263578034403e-21,2.710505431213761e-20,1.3552527156068805e-20,2.710505431213761e-20,1.0842021724855044e-19,0.0,0.0,2.541098841762901e-21,0.0,0.0,5.421010862427522e-20,3.3881317890172014e-21,2.0328790734103208e-20,2.0328790734103208e-20,2.0328790734103208e-20,8.131516293641283e-20,8.673617379884035e-19,0.0,6.776263578034403e-21,2.710505431213761e-20,1.6263032587282567e-19,0.0,0.0,8.673617379884035e-19,1.3552527156068805e-20,4.235164736271502e-22,3.3881317890172014e-21,4.235164736271502e-22,0.0,0.0,1.3552527156068805e-20,0.0,0.0,1.0587911840678754e-22,5.551115123125783e-17,0.0,1.3552527156068805e-20,8.470329472543003e-22,0.0,0.0,1.3552527156068805e-20,4.0657581468206416e-20,2.710505431213761e-20,0.0,2.710505431213761e-20,0.0,0.0,6.776263578034403e-21,1.3234889800848443e-23,2.6469779601696886e-23,8.673617379884035e-19,0.0,1.734723475976807e-18,0.0,0.0,0.0,2.710505431213761e-20,1.0587911840678754e-22,6.776263578034403e-21,0.0,2.6469779601696886e-23,0.0,1.6263032587282567e-19,5.421010862427522e-20,1.6263032587282567e-19,4.235164736271502e-22,6.776263578034403e-21,4.235164736271502e-22,1.0842021724855044e-19,0.0,0.0,1.3877787807814457e-17,0.0,0.0,1.6940658945086007e-21,0.0,3.3881317890172014e-21,0.0,0.0,1.0587911840678754e-22,5.293955920339377e-23,6.776263578034403e-21,1.1102230246251565e-16,0.0,0.0
