,Graph Seed,Approximation Ratio,Error
0,1,0.9650976225050719,0.0006162743533916267
1,2,0.9597225758368902,0.0004176416135704746
2,3,0.9453892626962577,0.0006394818040230369
3,4,0.9708019594717198,0.0005524130057371485
4,5,0.9548816917267335,0.0005985888398620159
5,6,0.9640306908797491,0.0004998670873349138
6,7,0.9477061967780115,0.0008861972409385743
7,8,0.9571679052536012,0.000570327613346568
8,9,0.9524540436755664,0.0007140177213032727
9,10,0.9498838044771825,0.000518305728327484
10,11,0.9618003471974736,0.0008528737475399283
11,12,0.947450957213488,0.0006477909887560277
12,13,0.9845699344758335,0.00035015718928469016
13,14,0.959284153835229,0.00046789111481293754
14,15,0.9610136417698358,0.0005014779831972679
15,16,0.9631381867631568,0.0004896412438264174
16,17,0.9634178495076485,0.0003617689562005835
17,18,0.9598265064972584,0.0006916042111622187
18,19,0.9597925540978173,0.0007647368022312165
19,20,0.9722673611423046,0.0002528568194961674
20,21,0.9675712222313639,0.0002675666886107404
21,22,0.9657745148510508,0.0005679144888077412
22,23,0.9498500650557308,0.0007334772713772746
23,24,0.9724023782849516,0.0005923119467277733
24,25,0.9725303376957481,0.000511930179909329
25,26,0.9484037906754503,0.0008736062905127715
26,27,0.9571532083206028,0.0008995968415982876
27,28,0.9568582598039842,0.0006815631616642312
28,29,0.9612143459823382,0.0006305418227668193
29,30,0.9603132475172883,0.0006662094822436615
30,31,0.9633281561949756,0.0006234915604563579
31,32,0.9831684055034348,0.0005010819720730548
32,33,0.9759422174583972,0.00032577178555757606
33,34,0.9559062464556098,0.0006327369687847367
34,35,0.9446901407637557,0.0004407559403188052
35,36,0.9500749108726857,0.0008815340736963785
36,37,0.9613661505193962,0.000601674216186327
37,38,0.9548634926780524,0.0006134808894958574
38,39,0.9462268002648351,0.0006496765990316243
39,40,0.9996780325484055,8.11452260231673e-05
40,41,0.9735472057065846,0.0003964773452091344
41,42,0.9527160541773892,0.0006827020992980833
42,43,0.9999755056320493,2.449314320172765e-05
43,44,0.9647076459854832,0.0006109821619498802
44,45,0.9810990873263942,0.0003439852466278822
45,46,0.9728837206403439,0.0004195176817206984
46,47,0.9991527486958275,0.00028449651210182077
47,48,0.9625096856609616,0.0003544200571997564
48,49,0.9683214391658747,0.00043756908402543696
49,50,0.94096162819493,0.00043158607347108037
50,51,0.9749591011737,0.00044039879467503844
51,52,0.9581141074918192,0.0003801328385150811
52,53,0.9614888496945477,0.0005894618987180332
53,54,0.9683479627115861,0.00037687392420542444
54,55,0.9578600882614458,0.000785050381276309
55,56,0.959193191464871,0.00038590988994944577
56,57,0.9555970496463444,0.000548489041301328
57,58,0.9625819228890127,0.0004001419135407816
58,59,0.9631575113138697,0.0005738330368810725
59,60,0.9719396235539227,0.0002508134898109658
60,61,0.998588744935832,0.00024039198586711316
61,62,0.9666600660179858,0.000539003659045636
62,63,0.978325615265836,0.0004197999822069948
63,64,0.9875005206131896,0.00039491054821170113
64,65,0.9652928190733886,0.0005363240332072559
65,66,0.9585353079427037,0.000736814202548696
66,67,0.9780047104142618,0.0004664998873686983
67,68,0.9527028021670949,0.0005617446676017068
68,69,0.9811278068037099,0.0003195882105006098
69,70,0.9666866790351222,0.00030907218639698793
70,71,0.9541053244281031,0.0005562398544883354
71,72,0.9538715842457043,0.0005248132925699656
72,73,0.9591178676626537,0.0005888739741242812
73,74,0.9387208524212128,0.0002921122891921071
74,75,0.9990656874262358,0.0001527863707676713
75,76,0.9640486483034009,0.0006297060947736293
76,77,0.9714015972336225,0.0004987869528315499
77,78,0.9996031278944228,9.156726165948724e-05
78,79,0.9680908351784632,0.000512202481217688
79,80,0.9813909954205811,0.00024434284516893385
80,81,0.9727313895598976,0.00039519692234688133
81,82,0.9438695873303786,0.000674179414446304
82,83,0.9616159145493224,0.0004370769749997697
83,84,0.9635821512827957,0.0003725480898187432
84,85,0.9634138236518099,0.0005538473357886421
85,86,0.9857025347961338,0.0004084134079424317
86,87,0.9540511511338805,0.0005545331267582911
87,88,0.9734471945903757,0.0005415349536430216
88,89,0.9683820388486678,0.0006304482315062035
89,90,0.9637233410877616,0.0005954015899932886
90,91,0.965682071552128,0.0003608520179541903
91,92,0.9545913900806743,0.0007527623080215541
92,93,0.9684194295900564,0.0005785191311975716
93,94,0.96516628458946,0.0005809809588184335
94,95,0.9604612614804957,0.0004896766490328986
95,96,0.9656009797447028,0.0005397572053830193
96,97,0.9744519817636458,0.00043505763582108267
97,98,0.9643750238081024,0.00032758628699939044
98,99,0.9703025744567781,0.0004188424376076656
99,100,0.9668662617142709,0.00037495397350099843
