,Gate-Error Probability
Seed 78,0.0
Seed 53,0.0
Seed 8,0.0
Seed 14,0.010812682414278848
Seed 18,0.0013226800149801704
Seed 77,0.0029379961916672402
Seed 38,5.0013209218538955e-06
Seed 19,0.00011115035686532511
Seed 81,0.0015246105325581504
Seed 29,0.0007170266085955962
Seed 10,0.0001112325951422264
Seed 71,0.040408317036703834
Seed 65,0.001120972212434364
Seed 59,0.0005152032786091372
Seed 75,0.0029379917378732803
Seed 26,0.0
Seed 7,0.0019284583585180643
Seed 24,0.0017264717676291432
Seed 15,0.0009190806878492692
Seed 94,0.0005149574786811745
Seed 28,0.001524631174719847
Seed 42,0.02102045570360685
Seed 67,0.0013225356445156257
Seed 56,0.0
Seed 99,5.000470863357199e-06
Seed 80,0.0035435925005175774
Seed 17,0.0019284536342173764
Seed 84,0.00657242520046673
Seed 41,0.0005152243888480079
Seed 91,0.0
Seed 82,0.02714287941942186
Seed 16,0.00011121809765781225
Seed 100,0.0
Seed 21,0.0015246163250224212
Seed 76,0.0
Seed 87,0.001928446533251335
Seed 85,0.0
Seed 20,0.013033797031333647
Seed 40,0.0
Seed 22,0.0017264936278139687
Seed 47,0.0
Seed 39,0.00011120511697695476
Seed 74,0.0
Seed 9,0.0007167238779262346
Seed 35,0.002332159768199067
Seed 92,0.0
Seed 44,0.0005152074128207836
Seed 69,0.001726463655540982
Seed 70,0.0013227358788661736
Seed 32,0.0007172455552347893
Seed 43,0.0005149902509237102
Seed 83,0.0005152447304221669
Seed 25,5.000494334638767e-06
Seed 1,0.033673508820143354
Seed 36,0.002130328712112271
Seed 61,0.0
Seed 45,0.0
Seed 51,0.002534145167431996
Seed 5,0.0011208410137940293
Seed 48,0.0007171359994125489
Seed 98,0.0
Seed 72,0.00031316164898638184
Seed 68,0.02551023127140329
Seed 27,0.0019283960534468448
Seed 95,0.0009187636569351367
Seed 86,0.001726544088107286
Seed 3,0.0007171993402077428
Seed 96,0.002332287282589061
Seed 73,5.0005758774076216e-06
Seed 37,0.0005151077924723524
Seed 4,0.0007172385821497129
Seed 31,0.004553191801821701
Seed 30,0.0
Seed 97,0.01929329128758451
Seed 49,0.0019283848723693057
Seed 33,0.0
Seed 79,0.0007171168015583485
Seed 63,0.0011208823891271592
Seed 57,0.0009190695144785592
Seed 11,0.0
Seed 62,0.00172647092283366
Seed 66,0.0005153154128700071
Seed 6,0.0
Seed 23,0.002130205478199996
Seed 34,0.0
Seed 60,0.01646642131852737
Seed 88,0.00011118565560901159
Seed 90,0.0013228532368736643
Seed 55,0.0
Seed 58,0.0015245943426625908
Seed 52,0.0015245656808756014
Seed 2,0.005966653821750521
Seed 46,0.001524571773034767
Seed 89,0.0005149936031950181
Seed 64,0.006774343063857153
Seed 93,0.0005151268805188899
Seed 54,0.0005150750958029176
Seed 12,0.0007167322246649212
Seed 50,0.0
Seed 13,0.004351410389211427
