,Y3Z0,Y0Z3,Y5Z3,Y3Z5,Y4Z3,Y3Z4,Y5Z1,Y1Z5,Y3Z1,Y1Z3,Y4Z0,Y0Z4,Y5Z4,Y4Z5,Y4Z2,Y2Z4,Y2Z1,Y1Z2,Y1Z4,Y4Z1,Y0Z5,Y5Z0,Y2Z5,Y5Z2,Y2Z0,Y0Z2,Y1Z0,Y0Z1,Y2Z3,Y3Z2,X0Y3,standard_y,Y4,Y5,Y2,X5Y3,X4Y2,X3Y5,X3Y4,X3Y2,X2Y5,X2Y3,X0Y5,X0Y2,X5Y1,X1Y2,X1Y0,X5Y4,X5Y0,X3Y0,X2Y0,X1Y4,X0Y4,X3Y1,Y1,Y0,X4Y1,X4Y0,X2Y1,X1Y5,X0Y1,standard_x,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y3,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y3,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8391074673326993,0.8391074673326993,0.836244497423913,0.836244497423913,0.7548561847919819,0.7548561847919819,0.7098995812847562,0.7098995812847562,0.5433071159217955,0.5433071159217955,0.5405467681749742,0.5405467681749742,0.5139749394051585,0.5139749394051585,0.36368262779173954,0.36368262779173954,0.33543290678194465,0.3354329067819445,0.3277719011964086,0.32777190119640853,0.28086145039006233,0.28086145039006216,0.27610317904813664,0.2761031790481366,0.18917532172147417,0.18917532172147417,0.14595480067964695,0.14595480067964695,0.1224371932122491,0.12243719321224905,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,3.469446951953614e-17,3.469446951953614e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.6926739999206624e-05,3.704716875978339e-05,0.556296040053422,3.6800748812662484e-05,0.2160665656504908,3.3219079984131075e-05,0.7098995812847564,0.7098995812847563,2.3909405398496258e-05,0.39782676879926127,0.21185561447884282,2.3865509631072968e-05,0.5139749394051587,0.5139749394051585,0.36368262779173954,0.36368262779173954,0.33543290678194465,0.3354329067819445,0.32777190119640853,0.3277719011964086,1.2400225186641825e-05,0.5526646768632826,0.2761031790481367,0.27610317904813664,0.06713613365583172,8.35221987867615e-06,0.3955861931786504,6.444004305273943e-06,0.0661231785117548,5.3881136517031235e-06,2.7755575615628914e-17,2.776192836273332e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,3.3881317890172014e-21,0.0,0.0,3.3881317890172014e-21,8.470329472543003e-22,5.551115123125783e-17,1.6940658945086007e-21,3.3881317890172014e-21,1.6940658945086007e-21,0.0,0.0,1.9256764660234484e-21,2.7755575615628914e-17,1.6940658945086007e-21,0.0,0.0,2.0816681711721685e-17,8.470329472543003e-22,0.0,2.7755575615628914e-17,4.235164736271502e-22,4.163336342344337e-17,4.235164736271502e-22,0.0,0.0,6.551270451419979e-22,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.116569276105776e-06,3.1267333083269007e-06,7.734981723899991e-05,1.094572430000453e-06,0.2160665651291046,2.8036475481254945e-06,9.870752071484406e-05,9.902943443859942e-05,1.0779163176668365e-06,5.549596160274677e-05,0.2118556152069417,2.0142182623325677e-06,7.14653076515835e-05,0.18726852534041832,0.3636826277917395,0.36368262779173943,0.06022725550606279,4.679215473066614e-05,4.572346125574737e-05,0.18453226142179127,5.044653103049183e-07,7.684489688067678e-05,0.05823933699436462,3.839058506839194e-05,0.06713613353773454,7.049165959876573e-07,5.5183406311071854e-05,4.992953085591459e-07,0.06612317869422446,4.547498496597541e-07,0.0,1.3867094016855371e-17,0.0,0.0,1.3877787807814457e-17,2.5849394142282115e-26,1.3877787807814457e-17,0.0,2.117582368135751e-22,2.6469779601696886e-23,0.0,1.0587911840678754e-22,2.5849394142282115e-26,2.6469779601696886e-23,0.0,2.117582368135751e-21,2.8272774843121063e-27,0.0,0.0,0.0,0.0,3.3881317890172014e-21,5.293955920339377e-23,3.2311742677852644e-27,1.0164395367051604e-20,0.0,6.776263578034403e-21,1.0587911840678754e-22,3.3881317890172014e-21,6.938893903907228e-18,2.8272774843121063e-27,0.0,0.0,0.0,0.0,5.293955920339377e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,3.1763735522036263e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.3017321762407267e-06,3.3125000781391774e-06,3.811413688763087e-05,1.1596036032760755e-06,0.0014824186797183858,2.490028830018375e-06,4.863814926334087e-05,4.879677231083045e-05,1.1419579509842726e-06,2.734564544221146e-05,0.0014535276256033923,1.3895356764390593e-06,1.6359515567175764e-05,0.0012848371813257722,0.0024952029047356737,0.0025033404818196854,0.0004145628914337876,6.003696996959312e-07,4.511038758444948e-07,0.00126606389458483,5.34436807297804e-07,3.786533728672126e-05,0.0004008794618095663,1.618227272922946e-05,0.00046211885868346675,1.3801034472587741e-06,2.719163376383677e-05,5.289596556476086e-07,0.0004551463758841871,2.478725988262544e-06,0.0,3.0053787759766644e-19,2.168404344971009e-19,3.3881317890172014e-21,8.131516293641283e-20,0.0,0.0,0.0,0.0,5.169878828456423e-25,0.0,0.0,2.5849394142282115e-26,0.0,6.938893903907228e-18,3.308722450212111e-24,4.049814672178369e-27,2.6469779601696886e-23,3.2311742677852644e-27,0.0,0.0,6.617444900424222e-24,4.1359030627651384e-25,6.462348535570529e-27,8.470329472543003e-22,5.293955920339377e-23,1.3234889800848443e-23,0.0,1.9852334701272664e-23,6.938893903907228e-18,2.0017345469983175e-28,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9387045606711586e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.5003150783749364e-07,3.5301291757971163e-07,3.7431301047364635e-07,1.221669165169276e-07,2.5405126126552855e-09,2.633359387892455e-07,4.786055956154498e-07,4.816764710346923e-07,1.2032477707981533e-07,2.689940210847775e-07,2.4914003421099435e-09,1.4747474797771663e-07,1.608518672820424e-07,2.2017262075861743e-09,4.280053712075762e-09,4.0728070690520005e-06,6.735893153478285e-07,6.605002347658121e-09,3.7053113019926672e-09,2.1696635849027602e-09,5.656288660496955e-08,3.718810747638222e-07,6.513967747285233e-07,1.5741974963030089e-07,7.508813966582801e-07,1.4549776787563953e-07,2.674814416143974e-07,5.598368024644938e-08,7.395572568807828e-07,2.609722199627014e-07,0.0,1.675040740419881e-23,2.0679515313825692e-25,0.0,5.293955920339377e-23,1.262177448353619e-29,2.7755575615628914e-17,0.0,1.4791141972893971e-31,7.573064690121713e-29,4.0389678347315804e-28,0.0,1.262177448353619e-29,5.048709793414476e-29,6.938893903907228e-18,2.524354896707238e-29,1.4128622072024762e-30,1.9721522630525295e-31,6.310887241768095e-30,1.3877787807814457e-17,1.5146129380243427e-28,4.930380657631324e-32,4.930380657631324e-32,1.8932661725304283e-29,3.970466940254533e-23,3.308722450212111e-24,9.860761315262648e-32,9.860761315262648e-32,2.0194839173657902e-28,1.3877787807814457e-17,1.11596084697574e-29,1.398569329928022e-07,7.217355931086914e-16,4.3656785959920374e-14,5.475067455202515e-16,2.6469779601696886e-23,5.863071486035253e-13,0.013972660353724036,3.9035412770521867e-13,0.008507377809716915,9.142066718166545e-16,4.036996425908617e-14,4.389106696287167e-13,5.0538902278468664e-14,7.208494035111232e-16,0.010483416963923554,2.7446989119127296e-13,3.7320705403666e-14,3.308722450212111e-24,6.617444900424222e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,5.911106210089866e-08,0.0,1.9387045606711586e-26,1.2924697071141057e-26,0.0,1.9387045606711586e-26,7.888609052210118e-31,3.944304526105059e-31,9.378221734885683e-16,2.5521290302840406e-10,3.308722450212111e-24,1.6543612251060553e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,5.7809076218274e-14,6.26618311849083e-16,5.014704997874347e-08,0.0,3.308722450212111e-24,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,0.0,1.0047441800988532e-12,0.013972660353724038,7.205251521053909e-13,1.5797259955426811e-07,3.308722450212111e-24,9.04728794979874e-26,1.6543612251060553e-24,4.911384887033602e-25,1.6543612251060553e-24,1.262177448353619e-29,0.008507377809739373,9.730711025999418e-16,6.631267804398752e-14,7.477924856056215e-13,4.517851229640012e-08,3.308722450212111e-24,2.481541837659083e-24,2.481541837659083e-24,0.0,0.0,6.004793511017627e-14,7.410309023516176e-16,0.010483416963933881,5.503595992650951e-13,4.884503896182978e-14,3.577164495406099e-08
5,6.795401755972896e-06,2.474209088011922e-06,5.3780188160914055e-06,7.089365320041729e-06,1.3643422489698448e-06,9.090836703739472e-06,2.315678540102145e-06,5.227829111486259e-06,7.162823827946586e-06,7.427057679847882e-06,1.3689421290141797e-06,3.584245382520269e-06,5.087944452018698e-06,1.146638466803313e-06,2.0220630774224893e-06,4.764149540288014e-06,1.4733165282168808e-06,6.331286571682694e-06,6.324477254923658e-06,1.1314629969741579e-06,1.9784947501317712e-06,5.455913001978993e-06,1.3190723217540508e-06,5.072272385907738e-06,1.6591518180070525e-06,3.621623982441678e-06,7.466352619040076e-06,1.9441074222261415e-06,1.6012969898650496e-06,8.990515094572383e-06,6.938893903907228e-18,1.6940658945086007e-21,1.0587911840678754e-22,0.0,3.1763735522036263e-22,6.462348535570529e-27,0.0,0.0,0.0,6.462348535570529e-27,0.0,6.462348535570529e-27,3.2311742677852644e-27,3.2311742677852644e-27,0.0,8.077935669463161e-28,3.2895499747716192e-28,0.0,6.462348535570529e-27,6.938893903907228e-18,0.0,0.0,6.462348535570529e-27,3.2311742677852644e-27,2.117582368135751e-22,2.117582368135751e-22,3.2311742677852644e-27,1.2924697071141057e-26,3.2311742677852644e-27,0.0,2.0944257033617863e-27,1.2466310449672855e-05,6.747638281918471e-11,2.9030803390628177e-11,8.790922430205701e-12,1.2705494208814505e-21,4.108318456078055e-12,0.00042801445798802733,4.7115675123722935e-11,0.027539094604926168,5.1518022607201004e-11,4.374057876518063e-12,2.7689293260340873e-11,1.0075997324269978e-10,1.3118511349611617e-11,0.03781348760945072,5.970102426469847e-12,1.6066251494488476e-11,0.0,4.235164736271502e-22,2.117582368135751e-22,1.0587911840678754e-22,2.117582368135751e-22,3.2311742677852644e-27,1.5214540720110483e-06,6.352747104407253e-22,0.0,1.0587911840678754e-22,0.0,0.0,4.0389678347315804e-28,6.462348535570529e-27,6.73147586311784e-11,3.2624265982972616e-06,2.117582368135751e-22,0.0,2.117582368135751e-22,0.0,0.0,4.69560491223424e-11,7.71387544518255e-12,2.473447489922716e-06,8.470329472543003e-22,4.235164736271502e-22,0.0,0.0,8.470329472543003e-22,1.734723475976807e-18,6.835218794386498e-11,0.00042801445819015454,1.3999735281936149e-11,8.017588039382936e-06,5.293955920339377e-23,2.3161057151484775e-23,1.0587911840678754e-22,2.6469779601696886e-23,0.0,8.077935669463161e-28,0.027539094590896616,4.556718398918868e-11,8.655601198096388e-11,8.837718387311356e-12,1.1231094140173709e-06,0.0,2.117582368135751e-22,5.293955920339377e-23,2.117582368135751e-22,1.0587911840678754e-22,9.483106806877386e-12,3.6045299367183265e-11,0.03781348771227802,5.832190910442749e-12,2.4512709422201697e-11,8.888070199363823e-07
6,3.115233947268408e-05,8.763314726515087e-06,1.4997504248233061e-07,6.21134418041405e-05,4.70445608790267e-05,2.8061712886525335e-05,6.096672212619627e-08,8.317298426005094e-08,6.399392934125582e-05,1.1917298453625844e-07,4.521663906591234e-05,4.450143431669516e-06,1.8582192867931615e-07,6.381511683244676e-05,6.020680435989622e-05,8.088366108606492e-05,5.6884118747891883e-05,1.1335443507656253e-07,1.1522131437593993e-07,6.254111082332707e-05,6.052018407195536e-06,1.5009620383853953e-07,5.135124943910306e-05,1.8648773433088782e-07,7.465717262173647e-05,5.752547236794056e-06,1.2035593585818718e-07,6.797671673907376e-06,7.291534988535497e-05,2.812004780831504e-05,0.0,7.6497663048904e-21,0.0,1.3234889800848443e-23,6.776263578034403e-21,1.6155871338926322e-27,1.734723475976807e-18,1.6155871338926322e-27,6.203854594147708e-25,3.308722450212111e-24,1.6155871338926322e-27,3.308722450212111e-24,0.0,2.0679515313825692e-25,0.0,8.077935669463161e-28,1.1966033856071223e-27,0.0,0.0,0.0,0.0,1.6155871338926322e-27,8.271806125530277e-25,3.2311742677852644e-27,1.3234889800848443e-23,8.470329472543003e-22,0.0,0.0,1.6155871338926322e-27,0.0,1.226777315231826e-27,7.481201729562256e-05,1.3888980496089145e-11,7.450983630564561e-11,7.779114674648497e-09,0.0,1.069141273863178e-12,0.009022197722313635,5.491872289202846e-09,0.0693965073422932,9.76708100189037e-11,1.4258677829351747e-11,1.0674447070344243e-12,1.1515782913888839e-11,3.899464327272165e-08,0.006486095878769936,9.521886288577973e-10,7.272695153656867e-12,0.0,1.2407709188295415e-24,3.308722450212111e-24,0.0,0.0,1.6155871338926322e-27,4.813887853765134e-09,3.3881317890172014e-21,0.0,1.6940658945086007e-21,6.776263578034403e-21,0.0,0.0,3.101927297073854e-25,4.6064011992396596e-12,3.3035258558756373e-05,1.3552527156068805e-20,1.3552527156068805e-20,0.0,1.3552527156068805e-20,3.3881317890172014e-21,5.039702649022588e-11,2.947139302633047e-09,0.00017098142754690907,1.3552527156068805e-20,0.0,0.0,0.0,3.3881317890172014e-21,5.204170427930421e-18,1.4913733825432696e-11,0.008840855857471595,1.5811611462080912e-08,8.074056296396845e-05,1.9852334701272664e-23,1.9852334701272664e-23,0.0,1.9852334701272664e-23,1.9852334701272664e-23,3.2311742677852644e-27,0.06939650734223318,9.030075130570722e-11,2.078491763265419e-11,4.517290700678799e-12,1.7376603364999795e-07,0.0,3.3881317890172014e-21,0.0,3.3881317890172014e-21,0.0,1.3965675614280504e-11,3.842946751524153e-08,0.00022050412301581021,6.175101479641947e-09,2.3726047628517712e-12,1.743745912564209e-05
7,2.9859103708192384e-05,2.258856841787366e-06,7.428299721960057e-09,3.1792072531947845e-06,0.0001359037249524751,2.8881788318048206e-05,7.993566348177478e-09,4.525660248476373e-09,5.176341020508493e-06,5.185371487614e-09,0.00013083043452393687,7.725122911662071e-06,8.744235382156928e-09,0.00012935880494570134,0.00013537323525093694,0.0003334821652214844,0.00031714053566192377,5.206622407522754e-09,5.550338442496082e-09,0.000121396332233178,3.3957359206643637e-06,7.600229859749475e-09,0.00029572002455810085,7.985067222743083e-09,0.0003266706527565764,6.425931725130531e-06,5.174061792915807e-09,3.326672550513531e-06,0.0003165212323777688,2.7262364285883242e-05,4.336808689942018e-19,1.0100847216492218e-19,4.743384504624082e-20,0.0,5.421010862427522e-20,0.0,1.734723475976807e-18,2.0194839173657902e-28,0.0,6.617444900424222e-24,2.0194839173657902e-28,6.617444900424222e-24,2.0194839173657902e-28,0.0,2.168404344971009e-19,1.2116903504194741e-27,1.5320233447216033e-28,2.0194839173657902e-28,1.0097419586828951e-28,0.0,0.0,1.6155871338926322e-27,0.0,2.0194839173657902e-28,2.0679515313825692e-25,2.117582368135751e-22,1.6155871338926322e-27,0.0,4.0389678347315804e-28,8.673617379884035e-19,3.960636412033463e-29,0.000595270005330304,1.5838491736863603e-12,1.3673473738451838e-11,2.4312811520845142e-08,8.470329472543003e-22,3.3618350166891032e-12,0.004656908429816796,1.2091250468024273e-07,0.00017222422743828005,5.1029504428259765e-12,2.5665216685979306e-12,1.697877824905131e-13,3.7700583817555906e-12,5.031743675834391e-08,0.0036710680541246566,1.168565001223431e-08,2.3008305611669854e-12,7.754818242684634e-26,2.5849394142282115e-26,5.169878828456423e-26,0.0,0.0,0.0,8.585077716834628e-10,0.0,0.0,1.0164395367051604e-20,6.776263578034403e-21,6.776263578034403e-21,0.0,1.6543612251060553e-24,2.4962490212636735e-12,5.309199346643376e-05,1.3552527156068805e-20,1.3552527156068805e-20,0.0,0.0,0.0,1.0655415580901196e-11,6.253552670392557e-09,0.00020349128034028365,2.710505431213761e-20,1.0842021724855044e-19,0.0,2.710505431213761e-20,2.710505431213761e-20,1.734723475976807e-18,2.3474255416254374e-12,0.004891477791597524,8.211680694558917e-08,0.00029872650301237267,1.0339757656912846e-25,0.0,1.0339757656912846e-25,0.0,1.0339757656912846e-25,4.0389678347315804e-28,0.0022741731280050744,5.659467331886107e-12,1.1955548221633e-12,2.244861282415378e-12,3.480942816485687e-09,0.0,0.0,6.776263578034403e-21,0.0,0.0,1.882351486337956e-12,4.759196846792484e-08,0.0007922266407620552,5.146523328006001e-09,2.244228661740641e-12,3.995588906062566e-05
8,1.3059905566580998e-06,3.097268736122885e-07,6.99446141210524e-08,1.3320253389379148e-06,6.366790573011923e-07,1.2962923043674124e-06,5.494606562166413e-08,4.018885206438415e-08,1.3696605963758787e-06,3.9005361633451436e-08,6.085966225651e-07,2.3702222409626443e-07,5.4325962491467264e-08,1.298410700463749e-06,6.741850338634e-07,6.163734211863719e-06,4.885067827752432e-06,3.4448750321864314e-08,3.5560238304487644e-08,1.2366340835117672e-06,2.7444454472196904e-07,7.200487874048267e-08,4.497779860800111e-06,5.1324434724772314e-08,4.900654531658374e-06,2.2943539219043056e-07,3.94569015524222e-08,2.742094365572463e-07,4.666299108803156e-06,1.277586700522324e-06,0.0,4.830734777309682e-22,0.0,6.617444900424222e-24,4.235164736271502e-22,5.048709793414476e-29,0.0,0.0,3.0292258760486853e-28,1.6155871338926322e-27,1.0097419586828951e-28,8.077935669463161e-28,2.524354896707238e-29,0.0,5.421010862427522e-20,1.262177448353619e-29,1.1419994198238554e-29,0.0,0.0,0.0,6.058451752097371e-28,2.0194839173657902e-28,1.6155871338926322e-27,0.0,0.0,5.293955920339377e-23,0.0,1.6155871338926322e-27,5.048709793414476e-29,2.168404344971009e-19,1.5592328829759061e-30,4.6911552369505775e-06,9.078371528229284e-13,7.167688348050191e-14,8.957618164887035e-12,0.0,3.50365022304825e-12,0.0002546000648825148,5.947457750783439e-12,0.0005863673281946615,3.754299720131856e-12,6.591621723676108e-13,5.578655834765296e-12,4.278322310724225e-14,5.776325050947246e-12,0.0045017192394219765,1.0297731419584516e-11,3.950455686505851e-13,0.0,3.308722450212111e-24,0.0,1.3234889800848443e-23,1.3234889800848443e-23,1.0097419586828951e-28,6.463579286231391e-08,0.0,8.470329472543003e-22,0.0,2.117582368135751e-22,0.0,0.0,5.048709793414476e-29,8.303036238834232e-13,2.7747890150128518e-06,2.117582368135751e-22,1.0587911840678754e-22,2.117582368135751e-22,0.0,0.0,4.291114869223119e-14,3.2189835585450767e-12,1.2932078796065523e-06,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,0.0,2.700376548123331e-12,0.00022356088815249847,2.967829973997444e-13,7.975812207944164e-07,0.0,8.271806125530277e-25,1.0339757656912846e-24,0.0,1.2407709188295415e-24,6.310887241768095e-30,0.0035076696044834214,3.652242274923193e-12,8.481707868557063e-13,7.135829678066673e-13,5.0675325169686195e-09,1.3234889800848443e-23,0.0,1.3234889800848443e-23,0.0,0.0,1.6906258041742475e-13,2.462470476392738e-12,0.003410027395142016,3.464547964407345e-12,4.0065430945492787e-13,1.1485461811789768e-07
9,1.8653154530248987e-06,2.7946157493967885e-07,1.241257983664139e-08,1.909760539884067e-06,1.7051312198603121e-06,1.8700548579852612e-06,3.7529091006317295e-08,8.897811219176466e-08,2.0601426623481788e-06,8.584026853123664e-08,1.7118631740448658e-06,3.23442056810534e-07,2.1072781216753315e-08,1.6388745115873996e-06,7.146980566740742e-07,8.96226423841547e-06,6.30803807102135e-06,8.339145703535416e-08,7.994503667971148e-08,1.6201597891576823e-06,3.086915003578571e-07,1.4744052378116219e-08,5.984319755284765e-06,1.811535987411053e-08,7.211809127000592e-06,3.2874965670902634e-07,8.452134196132531e-08,2.8727975977484445e-07,7.230290481677757e-06,1.8063316604476565e-06,5.421010862427522e-20,7.940933880509066e-22,1.0587911840678754e-22,3.308722450212111e-24,4.235164736271502e-22,6.310887241768095e-30,4.336808689942018e-19,1.262177448353619e-29,0.0,6.462348535570529e-27,0.0,8.077935669463161e-28,0.0,0.0,0.0,2.524354896707238e-29,1.2849804588951638e-30,5.048709793414476e-29,0.0,1.0842021724855044e-19,0.0,1.5146129380243427e-28,0.0,1.1832913578315177e-30,3.308722450212111e-24,5.293955920339377e-23,1.5146129380243427e-28,1.6155871338926322e-27,1.0097419586828951e-28,4.336808689942018e-19,3.848778400863452e-30,1.4842699959587383e-05,5.432709152524725e-13,1.2100853937183634e-14,3.636242835107227e-12,2.117582368135751e-22,3.9565985377884274e-12,0.00017522653123586184,4.075424905803907e-12,0.003793379474642164,1.456366582085249e-14,1.7113351186056405e-13,2.675491050045501e-12,3.316743118808056e-14,3.360836481566915e-12,6.861893771928547e-06,1.7751335588426437e-11,1.1708308959455216e-14,0.0,1.6543612251060553e-24,0.0,3.308722450212111e-24,1.6543612251060553e-24,2.0194839173657902e-28,2.245541009959907e-08,2.117582368135751e-22,5.293955920339377e-23,0.0,0.0,1.0587911840678754e-22,0.0,0.0,4.3802215288126113e-13,1.9133247714451066e-06,1.0587911840678754e-22,2.117582368135751e-22,0.0,1.0587911840678754e-22,1.0587911840678754e-22,8.0211911613392e-14,6.293901033423826e-12,9.591420121180207e-07,0.0,2.541098841762901e-21,8.470329472543003e-22,0.0,0.0,0.0,1.432190544941795e-12,0.000111418493322012,3.4499968078801004e-11,1.3770780321991746e-05,2.0679515313825692e-25,8.271806125530277e-25,2.0679515313825692e-24,4.1359030627651384e-25,1.2407709188295415e-24,0.0,0.004724327596587456,1.157263847860839e-13,4.8827099771593375e-14,6.526038794320242e-14,7.263431221490881e-09,0.0,0.0,1.3234889800848443e-23,0.0,6.617444900424222e-24,2.6523481869997772e-14,3.3165489241566823e-12,0.007536621627093686,4.799069806702844e-12,1.1031361101011272e-14,8.801803694746081e-08
