,Y1Z2,Y2Z1,Y4Z0,Y0Z4,Y5Z0,Y0Z5,Y5Z3,Y3Z5,Y5Z4,Y4Z5,Y5Z2,Y2Z5,Y0Z2,Y2Z0,Y4Z3,Y3Z4,Y1Z0,Y0Z1,Y1Z3,Y3Z1,Y4Z1,Y1Z4,Y2Z3,Y3Z2,Y1Z5,Y5Z1,Y2Z4,Y4Z2,Y3Z0,Y0Z3,X3Y2,standard_y,Y0,Y3,X0Y3,Y1,X5Y2,X4Y5,X3Y0,X1Y0,X0Y1,Y4,X5Y3,X4Y0,X3Y1,X2Y5,X2Y4,X1Y5,X1Y2,X5Y1,X2Y1,X1Y3,X0Y5,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4Y2,X4Y1,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y3,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y4,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9990197882001745,0.9990197882001743,0.9828577872722257,0.9828577872722255,0.822158506189751,0.822158506189751,0.8155616406881284,0.8155616406881283,0.7606720263516178,0.7606720263516178,0.6917380282784458,0.6917380282784457,0.6200294852155448,0.6200294852155447,0.3656696970091611,0.3656696970091611,0.3237533458207657,0.32375334582076565,0.2633503011371503,0.2633503011371502,0.19948865109855254,0.19948865109855252,0.1938023753818376,0.19380237538183753,0.054737974662062885,0.054737974662062816,0.024185723159746937,0.02418572315974693,0.008479999489567805,0.008479999489567805,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002926512450183413,0.00293605665222225,0.9828577872722257,0.9828577872722257,0.822158506189751,0.8221585061897512,0.8155616406881283,0.8155616406881283,0.7606720263516178,0.7606720263516178,0.6371782252825084,0.0020329747853954257,0.29732995392472256,0.001822227863895198,0.3656696970091611,0.365669697009161,0.0009483978280750149,0.2942579484202363,0.000771454123472273,0.07017875092438462,0.17538165227266017,0.0005843788361409627,0.0005695730556863642,0.06869072264873247,0.0001603485398772237,0.6347484519124182,7.108032714738601e-05,0.17465359398812924,0.008479999489567763,0.00847999948956786,0.0,5.553825628556996e-17,5.551115123125783e-17,0.0,6.938893903907228e-18,2.710505431213761e-20,2.168404344971009e-19,0.0,5.551115123125783e-17,1.3552527156068805e-19,1.3552527156068805e-19,5.551115123125783e-17,6.938893903907228e-18,2.7755575615628914e-17,5.421010862427522e-20,3.2526065174565133e-19,0.0,1.0842021724855044e-19,2.7755575615628914e-17,8.131516293641283e-20,1.3877787807814457e-17,9.486769009248164e-20,1.1102230246251565e-16,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00010416269084818235,0.00010450239545675203,0.0022918016810178693,0.002299275907985606,0.06396126142278794,0.0019233395413938426,0.8155616406881283,0.8155616406881283,0.05881165723351553,0.0017737148255539598,0.6371779899533396,7.235920833346254e-05,0.0006955639038750519,6.233642624852655e-05,0.0008526588863163524,0.357217286474948,1.3024114969488434e-05,0.0006883868137481329,2.7458190844792643e-05,0.0701779177303876,0.00040895003570576424,1.2846622421220767e-05,2.0272683996678373e-05,0.06869185484275,5.7072490452387795e-06,0.6347514258283546,6.211718485261446e-05,0.00040725461101591724,0.35600002233649886,1.983792444704223e-05,0.0,4.168799704854127e-17,5.421010862427522e-20,4.163336342344337e-17,4.0657581468206416e-20,4.235164736271502e-22,6.776263578034403e-21,1.0842021724855044e-19,1.0842021724855044e-19,1.6543612251060553e-24,1.6543612251060553e-24,0.0,0.0,5.551115123125783e-17,1.6940658945086007e-21,4.235164736271502e-22,1.9852334701272664e-23,2.117582368135751e-21,0.0,4.235164736271502e-22,2.7755575615628914e-17,5.082197683525802e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,1.9852334701272664e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.303217655524533e-05,2.3107291132811405e-05,0.0004323736667601839,0.00043378376212183984,1.2336206705871354e-06,0.00035912874270685875,1.5730227165353596e-05,1.578152797775011e-05,1.1343774646329116e-06,0.00017429027958977517,1.2289634556385746e-05,1.1531805092707418e-05,0.0001312258021175816,1.3783662943186617e-05,0.00017267958224422204,6.9123337432442606e-06,2.8798454888101538e-06,0.00012987176705895438,4.813612549283761e-06,1.357977988376737e-06,7.715293508939468e-05,2.840630540457291e-06,1.1465222830831484e-05,1.3292219698880866e-06,4.7897737832989465e-06,1.224283203146337e-05,1.3735224064476418e-05,7.683307503069147e-05,6.8887981137551394e-06,0.00035793703462204873,0.0,8.004461351553138e-20,0.0,2.117582368135751e-22,5.169878828456423e-26,2.117582368135751e-22,0.0,8.271806125530277e-25,2.0679515313825692e-25,1.4509991946273203e-25,8.613098907565095e-26,8.131516293641283e-20,5.551115123125783e-17,5.551115123125783e-17,4.8467614016778965e-27,6.462348535570529e-27,4.1359030627651384e-25,8.885729236409477e-27,1.3877787807814457e-17,1.6155871338926322e-27,2.7755575615628914e-17,1.9387045606711586e-26,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,8.271806125530277e-25,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924697071141057e-26,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.870666447948392e-07,2.856490598698413e-07,1.8388842738940613e-09,7.020494288817104e-07,5.954984991117654e-08,5.794364645411606e-07,7.36680521861005e-07,7.422656323038105e-07,5.0446158111371324e-08,7.352198738281337e-10,5.740470318033696e-07,1.4147627347289087e-07,2.1049794666884368e-07,1.6930787307460098e-07,7.284632290794973e-10,3.233838935101031e-07,3.572326583102629e-08,2.0833472115259996e-07,5.942058934653747e-08,6.3447458517746e-08,3.250479646672882e-10,3.4758226075395434e-08,1.406616234651141e-07,6.210528365467321e-08,5.912640213917691e-08,5.718625548542828e-07,1.6812038573675743e-07,3.237005142124183e-10,3.2118568092171217e-07,5.775139727622007e-07,0.0,2.4763719588306266e-23,0.0,2.6469779601696886e-23,0.0,1.6543612251060553e-24,0.0,0.0,1.262177448353619e-29,2.603857284811543e-30,2.1262266586035084e-31,5.169878828456423e-26,5.551115123125783e-17,2.7755575615628914e-17,4.733165431326071e-30,3.1554436208840472e-30,3.697785493223493e-32,3.1554436208840472e-30,6.938893903907228e-17,0.0,2.7755575615628914e-17,3.1554436208840472e-30,2.524354896707238e-29,3.717051339677603e-07,0.0,3.3587074477901214e-16,0.0674426254580153,2.1801430203825825e-16,1.3146152757238371e-14,1.0782562769646877e-16,3.209757679082285e-14,0.0,4.7636060898228255e-14,2.802111880890637e-17,1.0184984268767685e-14,0.07166950700058944,1.2275159559363126e-13,0.03949108055067568,1.3193483325992538e-13,3.097033153589087e-14,2.6554789422570074e-14,3.308722450212111e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,3.308722450212111e-24,0.0,2.524354896707238e-29,9.842323351265259e-08,6.462348535570529e-27,0.0,1.2924697071141057e-26,0.0,1.9387045606711586e-26,4.930380657631324e-32,0.0,6.162975822039155e-33,4.880614142714365e-16,2.1703255197007033e-10,4.963083675318166e-24,6.617444900424222e-24,0.0,0.0,9.926167350636332e-24,5.551115123125783e-17,1.9721522630525295e-31,0.06744262545803295,3.8397702251766607e-16,7.285876863328681e-08,3.308722450212111e-24,0.0,4.963083675318166e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,6.310887241768095e-30,5.432256371634495e-14,1.504678387642695e-16,7.070783102945925e-14,4.6201607292558546e-08,2.274746684520826e-24,6.617444900424222e-24,5.169878828456423e-25,4.1359030627651384e-25,1.6543612251060553e-24,0.0,5.835039450618211e-14,1.2275468037327132e-16,4.8545201589663844e-14,0.07166950700059196,3.051386580412401e-08,3.308722450212111e-24,3.308722450212111e-24,9.926167350636332e-24,1.3234889800848443e-23,0.0,2.7755575615628914e-17,2.524354896707238e-29,1.767003058736089e-13,0.03949108055067568,1.660880161553626e-13,6.185857841996543e-14,6.411206131893494e-14,1.2392469127710835e-07
5,6.868181853789949e-07,4.1963711638132247e-07,2.8511202318854655e-05,0.00011908215164692651,2.5659564332650962e-06,0.00031307515299077376,3.687413773048466e-06,3.077996173626903e-06,2.569633473925377e-06,0.00013137909845160303,3.0942917337014497e-06,2.031061560171007e-07,0.0002408741375751721,1.4964441692460948e-08,0.00013605241726964175,1.77640288447189e-06,2.955439268680537e-07,0.00023889901171985037,4.73121717279448e-07,2.628208674906292e-06,7.687643444253433e-05,2.9512165613457266e-07,1.9498614425226803e-07,2.593711868764771e-06,4.650248306107393e-07,3.044981604249998e-06,1.2347441751241511e-08,7.781855997046916e-05,1.842977568337046e-06,0.000316005263436677,0.0,5.462039020810152e-20,5.421010862427522e-20,2.117582368135751e-22,2.5849394142282115e-25,3.970466940254533e-23,0.0,2.0679515313825692e-25,0.0,1.539856486991415e-27,4.3166468733693766e-27,0.0,0.0,1.734723475976807e-18,2.0194839173657902e-28,1.6155871338926322e-27,0.0,4.0389678347315804e-28,2.0816681711721685e-17,8.077935669463161e-28,0.0,8.077935669463161e-28,0.0,0.0006720405376836371,2.117582368135751e-22,1.9501057208198307e-09,0.0933832917215385,2.1618657349059804e-09,1.6497336785672e-11,1.6542634883252234e-10,1.0485323625224814e-11,5.293955920339377e-23,5.014536933868822e-13,1.2969766369053576e-10,5.820534301933416e-12,0.0005139745892065356,1.1748388543259103e-09,0.027330117786870663,3.1538970271048937e-09,2.2374208808927433e-10,1.8090563579616842e-10,0.0,2.117582368135751e-22,0.0,8.470329472543003e-22,8.470329472543003e-22,1.0339757656912846e-25,1.0339757656912846e-25,5.0470376009942694e-06,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,0.0,5.421010862427522e-20,0.0,1.2924697071141057e-26,1.550963648536927e-25,1.0373438186043167e-09,0.000419663709910776,2.117582368135751e-22,2.117582368135751e-22,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.09338329171121518,2.670645879428814e-09,8.051286032420888e-06,5.293955920339377e-23,5.293955920339377e-23,0.0,0.0,5.293955920339377e-23,8.077935669463161e-28,2.5849394142282115e-26,8.709090230121213e-12,3.185814589906815e-10,4.488143452619342e-12,1.2492573528016188e-06,3.970466940254533e-23,0.0,5.293955920339377e-23,5.293955920339377e-23,1.0587911840678754e-22,2.5849394142282115e-26,1.5968594969014907e-12,3.889721454727306e-10,1.335397269586389e-11,0.0005139745892563964,2.107844952497266e-06,0.0,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,0.0,1.734723475976807e-18,0.0,2.0436730671526827e-09,0.027330001319182576,1.0438339279905244e-09,4.330323595149715e-10,1.5533000020490615e-10,0.0002688322537115752
6,4.7845158232138275e-06,1.3656957902342614e-06,1.4108046582286478e-05,7.012372521487111e-06,1.70920510931755e-05,1.0359262876837206e-06,9.866734379305905e-05,6.564796840440013e-05,1.942421205609576e-05,1.0723770134184298e-05,9.657833859309476e-05,9.719342479992539e-07,2.6918752302617177e-06,1.165739108434296e-06,1.0024485995208545e-05,1.2566163977576287e-05,5.341543757537089e-07,2.3315258758013355e-06,4.62308999235395e-06,4.973413695359167e-05,1.0298332616004735e-05,5.809253651223245e-07,9.484016037958739e-07,4.829693492041012e-05,4.540540269569936e-06,9.487078678880131e-05,1.142401021000041e-06,1.0186618501434964e-05,1.1000228501531381e-05,1.2947089037748228e-06,0.0,1.4902485915755347e-20,4.235164736271502e-22,6.776263578034403e-21,1.0339757656912846e-25,7.940933880509066e-23,2.5849394142282115e-26,1.0339757656912846e-25,2.0679515313825692e-25,8.835242138475332e-28,5.36425415550288e-28,8.470329472543003e-22,0.0,1.734723475976807e-18,1.2924697071141057e-26,2.5849394142282115e-26,1.6155871338926322e-27,5.169878828456423e-26,2.168404344971009e-19,1.2924697071141057e-26,1.5178830414797062e-18,3.2311742677852644e-27,4.1359030627651384e-25,0.00019246712261076406,6.776263578034403e-21,1.108909740562155e-09,0.00015661364126087242,5.997239963950091e-10,3.7942499547590186e-10,4.8945376249700704e-11,9.60266832544204e-11,0.0,5.154016887857743e-10,5.978888803881326e-11,3.5837024219053893e-10,0.011744892258241501,1.2975763656473007e-09,0.05879678280068507,7.703866041705965e-10,2.487411785487462e-11,5.380557182464178e-11,6.776263578034403e-21,0.0,2.710505431213761e-20,1.3552527156068805e-20,6.776263578034403e-21,0.0,1.0339757656912846e-25,0.0001878473190030829,4.235164736271502e-22,4.235164736271502e-22,0.0,0.0,4.235164736271502e-22,1.0339757656912846e-25,1.6155871338926322e-27,1.6155871338926322e-27,1.1913437490625704e-09,6.130314202206957e-06,1.6940658945086007e-21,3.3881317890172014e-21,1.6940658945086007e-21,1.6940658945086007e-21,3.3881317890172014e-21,0.0,2.5849394142282115e-26,0.0017581006785810926,1.790687044635512e-09,1.0578460845189803e-05,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,2.4993157551160353e-10,3.668195527183588e-11,1.3750186442846462e-10,5.968625179633968e-07,5.293955920339377e-23,2.117582368135751e-22,2.117582368135751e-22,1.0587911840678754e-22,2.117582368135751e-22,4.0389678347315804e-28,6.990503461601179e-10,5.236929344515457e-11,5.207038880623057e-10,0.011592431585918384,2.7396221406534176e-06,8.470329472543003e-22,0.0,8.470329472543003e-22,0.0,8.470329472543003e-22,0.0,0.0,1.8006074448013337e-09,0.058796782735952215,5.526193553523978e-10,2.9024725041403072e-12,6.633236070190052e-12,1.121070987335403e-05
7,9.760375779261302e-05,7.125365319518658e-07,1.3504174255433574e-05,7.278126635723591e-06,3.180574323336206e-05,3.3755449381926673e-06,3.65982740490398e-05,4.7492889349508037e-07,3.2682133285048623e-05,1.4392464963285901e-05,3.649943951149636e-05,2.266197578175893e-06,1.914654102053768e-06,4.644179928148295e-06,1.3643617069718297e-05,9.942301134568189e-07,9.568419062837361e-05,2.357836527998378e-06,9.085683946453228e-05,9.571780188067777e-07,1.4353699309129077e-05,9.696629697415683e-05,2.631289511904104e-07,6.470629352434703e-07,9.07269505463641e-05,3.578107527981411e-05,4.8581316035032855e-06,1.4183472204220103e-05,1.0375661966865052e-06,2.8595254570959894e-06,7.754818242684634e-26,1.4505439221729893e-20,0.0,1.0587911840678754e-22,3.2311742677852644e-27,1.0164395367051604e-20,2.0679515313825692e-25,6.462348535570529e-27,8.077935669463161e-28,2.1305555328209087e-26,6.15942594796566e-27,8.470329472543003e-22,4.336808689942018e-19,8.673617379884035e-19,1.0339757656912846e-25,2.0679515313825692e-25,2.5849394142282115e-26,3.101927297073854e-25,1.0842021724855044e-19,1.0339757656912846e-25,1.0842021724855044e-19,1.0339757656912846e-25,5.169878828456423e-26,0.00011004685967221058,3.3881317890172014e-21,1.830529799576772e-10,0.002664552386515945,1.0104048855940018e-10,3.284447939504322e-10,4.987597735883524e-10,6.0829608801132e-10,2.117582368135751e-22,6.809965866183267e-09,1.3332088051446926e-09,8.158334276700891e-10,0.006578494850553411,3.830458394560028e-10,0.00033920775714273534,1.526355718575748e-11,3.9887536107072025e-10,8.828903178147898e-10,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,5.72524889832987e-06,0.0,0.0,8.470329472543003e-22,1.6940658945086007e-21,1.6940658945086007e-21,3.2311742677852644e-27,0.0,2.0679515313825692e-25,7.498008656561237e-11,9.821393615296157e-06,4.235164736271502e-22,0.0,2.117582368135751e-22,4.235164736271502e-22,4.235164736271502e-22,2.168404344971009e-19,8.077935669463161e-28,0.003105759631719887,6.202468890265352e-11,2.1425029472732833e-06,6.776263578034403e-21,0.0,2.0328790734103208e-20,6.776263578034403e-21,1.3552527156068805e-20,5.169878828456423e-26,2.5849394142282115e-26,9.689673471678424e-10,1.3184597573220908e-10,7.304066203787109e-10,9.666739231373205e-05,1.3552527156068805e-20,1.3552527156068805e-20,2.0328790734103208e-20,1.3552527156068805e-20,0.0,7.754818242684634e-26,5.0335825950477705e-09,1.5777739050796612e-09,4.5467855616694226e-10,0.006501313926258223,0.00019951624056758178,4.235164736271502e-22,1.0587911840678754e-22,0.0,4.235164736271502e-22,4.235164736271502e-22,0.0,0.0,3.641816073712026e-10,0.0012367384909833996,1.9224327767050343e-11,1.4441030102856937e-09,1.5279867966621432e-09,5.2443696486678534e-06
8,3.3608337812841676e-07,7.927738379753556e-08,2.8874520829759785e-05,4.5357632393255825e-07,4.542162470842206e-06,3.1275542816000974e-06,5.206171654334618e-06,2.3584181346407584e-07,4.6735989474668466e-06,1.9416141210598653e-05,5.181537978946021e-06,7.569215254359119e-08,4.966504470438153e-06,1.0293676308458294e-07,1.7349352391542385e-05,1.2274384118152346e-08,3.242056019799188e-07,4.2778982968600755e-06,3.156774160831342e-07,1.6231184917197105e-07,1.884118653741951e-05,3.2740218078996045e-07,7.735226039409426e-08,1.9134390260500386e-07,3.067061018041034e-07,5.042392896454404e-06,1.0081127449361076e-07,1.8646515747625228e-05,1.3733466589270145e-08,3.593214209168221e-06,0.0,3.3087224502121107e-23,0.0,0.0,0.0,2.6469779601696886e-23,2.524354896707238e-29,1.6155871338926322e-27,6.462348535570529e-27,3.6287601640166543e-29,3.1712208389884675e-28,0.0,4.336808689942018e-19,0.0,0.0,0.0,2.0194839173657902e-28,1.0097419586828951e-28,2.710505431213761e-20,0.0,5.421010862427522e-20,5.048709793414476e-29,3.2311742677852644e-27,4.605983280563272e-05,0.0,3.6262762137289115e-11,0.0026800012805759683,3.834501421701783e-11,2.0629149686329005e-13,1.0141719456567531e-12,3.493246402156463e-13,6.617444900424222e-24,1.4827585288335164e-12,5.55848069405945e-12,2.2049508556319114e-13,1.9768706032014256e-05,2.702401661733783e-10,0.00041832430587282796,2.3391036572164442e-11,3.6238775176195653e-12,2.5762050226588542e-12,4.235164736271502e-22,0.0,0.0,0.0,0.0,3.2311742677852644e-27,3.2311742677852644e-27,2.390257633604139e-06,3.3881317890172014e-21,0.0,6.776263578034403e-21,3.3881317890172014e-21,1.6940658945086007e-21,6.462348535570529e-27,0.0,0.0,4.4739167760202463e-11,4.0857949298899124e-05,1.0587911840678754e-22,0.0,5.293955920339377e-23,0.0,0.0,2.168404344971009e-19,1.6155871338926322e-27,0.0037587690807294287,5.265367518780788e-12,5.44454471809849e-07,2.6469779601696886e-23,0.0,1.3234889800848443e-23,1.3234889800848443e-23,2.6469779601696886e-23,7.573064690121713e-29,0.0,6.704678178070388e-13,1.0176319712632909e-13,3.560972024640159e-13,1.904202157506698e-07,0.0,0.0,2.6469779601696886e-23,2.6469779601696886e-23,0.0,4.0389678347315804e-28,8.812839286358763e-13,3.520125140218275e-12,8.913705581274532e-14,3.0052988641023515e-05,3.5905120019762527e-07,7.940933880509066e-23,8.470329472543003e-22,1.0587911840678754e-22,0.0,0.0,8.673617379884035e-19,8.077935669463161e-28,1.2637139597708327e-10,0.0036466448255738602,8.774220047787357e-12,3.3001233340737313e-12,2.1235221289844957e-12,2.4358023857665615e-06
9,6.142786967544878e-08,2.1536723444675003e-08,1.2506571637141516e-06,7.985121958856954e-07,3.4226172602005674e-07,4.0015901953555775e-07,3.567807517876162e-07,3.474354615494164e-07,3.4673337003901426e-07,1.1700941383050536e-06,3.5809965408616286e-07,2.0027222249038667e-08,7.018503719429425e-07,2.146056041290631e-08,1.1138115287099266e-06,2.8054363778887557e-07,5.728289731216049e-08,6.462273947660135e-07,5.628701831577892e-08,3.246181636686026e-07,1.2162763103521454e-06,5.8139016768350065e-08,1.9385039595603536e-08,3.1199301034813847e-07,5.366891901891023e-08,3.664173528100632e-07,2.0609723895346375e-08,1.1877964666549242e-06,3.0213449629722796e-07,4.960054412065169e-07,7.888609052210118e-31,7.279189390466644e-23,0.0,0.0,1.0097419586828951e-28,1.6543612251060553e-24,1.9721522630525295e-31,0.0,0.0,1.713307278526885e-30,1.4421363423571622e-30,1.0587911840678754e-22,8.673617379884035e-19,0.0,1.5777218104420236e-30,3.944304526105059e-31,6.310887241768095e-30,1.5777218104420236e-30,0.0,7.888609052210118e-31,5.421010862427522e-20,2.3665827156630354e-30,2.68212707775144e-29,2.5351309354234e-06,2.6469779601696886e-23,1.3951788768059027e-13,0.0006987635439895982,1.8995744269698734e-13,3.378114959164228e-14,6.92294424514831e-14,3.454739585256069e-14,4.963083675318166e-24,5.1950328942515055e-14,6.733014125329987e-14,3.192107072430241e-14,0.0006432471416918347,1.4567833378188766e-12,0.0005241090612110371,9.522251762630706e-14,1.1011854758222123e-14,7.680346258112528e-14,1.3234889800848443e-23,2.6469779601696886e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,2.524354896707238e-29,5.048709793414476e-29,1.7235554340499506e-07,1.0587911840678754e-22,1.0587911840678754e-22,1.0587911840678754e-22,3.1763735522036263e-22,3.1763735522036263e-22,1.0097419586828951e-28,0.0,6.310887241768095e-30,2.2632303975168737e-14,1.644104675103544e-06,0.0,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,4.336808689942018e-19,0.0,1.5491379537384774e-05,1.0552322978974138e-12,3.0972081072725854e-07,1.6543612251060553e-24,0.0,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,3.1554436208840472e-30,6.310887241768095e-30,4.021905954131301e-14,5.1674608303122535e-14,3.0656862982107665e-14,3.071958568433797e-08,0.0,3.308722450212111e-24,1.6543612251060553e-24,9.926167350636332e-24,3.308722450212111e-24,6.310887241768095e-30,5.738459335388692e-14,1.2219554591488568e-13,3.4611623990850427e-14,0.0007565050588512392,6.231050908934268e-08,0.0,0.0,0.0,0.0,5.293955920339377e-23,1.0842021724855044e-19,0.0,1.2627167595199702e-12,0.0032373588852574924,1.4264101393779132e-14,7.2317974742489e-14,1.488811121947492e-14,7.852519164025975e-07
