,Y2Z5,Y5Z2,Y5Z1,Y1Z5,Y0Z4,Y4Z0,Y2Z3,Y3Z2,Y5Z0,Y0Z5,Y1Z4,Y4Z1,Y2Z1,Y1Z2,Y3Z1,Y1Z3,Y1Z0,Y0Z1,Y2Z0,Y0Z2,Y2Z4,Y4Z2,Y4Z3,Y3Z4,Y5Z4,Y4Z5,Y3Z5,Y5Z3,Y0Z3,Y3Z0,standard_y,Y1,X4Y2,X4Y0,X3Y5,X3Y2,X3Y1,X2Y1,X1Y2,Y5,Y2,X5Y2,X4Y3,X4Y1,X3Y0,X2Y5,X1Y5,X1Y4,X5Y0,X0Y1,X5Y1,X1Y0,X1Y3,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2Y3,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0Y3,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8973235316000621,0.897323531600062,0.882481253497545,0.8824812534975449,0.7676272579584664,0.7676272579584663,0.6920224414883533,0.6920224414883531,0.6734553564483234,0.6734553564483232,0.672731114024884,0.6727311140248838,0.670857540712527,0.670857540712527,0.472665488047444,0.4726654880474439,0.45084513414500915,0.45084513414500904,0.4366195682760844,0.4366195682760844,0.3456424258652264,0.34564242586522625,0.3169943908371815,0.3169943908371815,0.2511840930177276,0.2511840930177276,0.08378401217902962,0.08378401217902959,0.04163444585203002,0.04163444585202998,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,6.938893903907228e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00038476781376043506,0.00038602265269076013,0.0003796376027468551,0.21380452274005812,0.7676272579584665,0.7676272579584664,0.0002967357396833634,0.6085107926603253,0.0002897160433332441,0.23825514212337806,0.672731114024884,0.672731114024884,0.0002876603367621338,0.2087549607982404,0.472665488047444,0.4726654880474439,0.45084513414500904,0.4508451341450091,0.00018722027319516507,0.23464653329100482,0.00014820973245388054,0.09527487695315036,0.3169943908371815,0.3169943908371815,0.00010805773668670739,0.09333472552781269,0.6059888169282714,3.604332829292061e-05,0.04163444585203008,0.04163444585202994,5.55653613398821e-17,2.7755575615628914e-17,0.0,0.0,2.710505431213761e-20,0.0,2.7755575615628914e-17,2.0328790734103208e-20,6.776263578034403e-21,2.710505431213761e-20,2.710505431213761e-20,1.3877787807814457e-17,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.0,1.3552527156068805e-20,5.551115123125783e-17,2.710505431213761e-20,2.5167042928819772e-17,1.3552527156068805e-20,2.6847556296172304e-17,3.469446951953614e-18,0.0,0.0,5.551115123125783e-17,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,4.052250380066715e-05,4.0654659385164614e-05,3.998220654122576e-05,0.21380446155155916,1.6631292644133056e-06,1.66855320912103e-06,3.125124999826408e-05,0.6085107850184375,1.916866008506008e-05,5.161997947857566e-07,0.22335153642775904,1.4622821786801627e-06,3.0295457865408894e-05,0.20875504128880648,0.47266548804744396,0.4726654880474439,0.21969914139709001,9.76794047555144e-07,4.159204074971852e-06,5.083816584443476e-07,4.04436897869537e-06,2.0709421377817096e-07,6.890349484350428e-07,0.2754952855491607,1.9032481479820325e-05,2.0287712140218915e-07,0.6059888800472079,3.7959669585251485e-06,9.020454209546696e-08,0.27432949534746154,1.387439967602544e-17,1.3877787807814457e-17,6.462348535570529e-27,2.7755575615628914e-17,0.0,1.6940658945086007e-21,6.938893903907228e-18,1.2705494208814505e-21,8.470329472543003e-22,3.3881317890172014e-21,0.0,4.163336342344337e-17,1.0587911840678754e-22,5.293955920339377e-23,0.0,1.3877787807814457e-17,8.470329472543003e-22,1.5881867761018131e-22,0.0,2.1726415776588118e-23,8.470329472543003e-22,2.2786240936421684e-23,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924697071141057e-26,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.8917583201673863e-08,4.749804147406198e-06,5.150588756390076e-06,0.6833988845856358,1.8910350248125412e-07,1.8972022360055753e-07,1.458937791471657e-08,0.0021980293572948896,2.469345582696564e-06,6.888361286715758e-08,0.2233515364267113,1.6626649985735497e-07,1.4143174558533602e-08,0.6798809488900059,0.001707336409856449,0.6807405665405377,0.21969914139865365,1.1106483395364913e-07,1.9416887349157124e-09,6.802789651056234e-08,1.8880789555838286e-09,5.4543124872084516e-08,5.487501392009216e-08,0.0009951289943015752,2.451802779205114e-06,5.476877496718669e-08,0.0021889198729853503,4.731152519369041e-06,6.787302106239294e-08,0.0009909179907345196,2.764673022754551e-17,2.7755575615628914e-17,1.9721522630525295e-31,1.3877787807814457e-17,0.0,0.0,5.421010862427522e-20,8.271806125530277e-25,5.169878828456423e-25,4.235164736271502e-22,1.6543612251060553e-24,5.421010862427522e-20,0.0,6.617444900424222e-24,0.0,0.0,1.0587911840678754e-22,1.3234889800848443e-23,5.048709793414476e-29,2.219393892523278e-24,5.293955920339377e-23,8.459996783079801e-25,1.6263032587282567e-19,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1763735522036263e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,5.169878828456423e-26,1.9721522630525295e-31,0.0,0.0,0.0,0.0,0.0,0.0
4,1.384381140753043e-11,3.026670107765925e-11,3.282060237077631e-11,0.00021100648397340228,1.3878139952606773e-08,1.3923400573870366e-08,4.1899687127802654e-11,0.000543682793744198,1.5735173844963963e-11,3.069141370528379e-09,6.896179515357529e-05,8.19574954858978e-09,1.3535159907929189e-11,0.00020992029274576987,0.0005429647757617845,0.0002101851844945344,6.78340853478938e-05,3.1120714342291287e-09,5.5763961265595446e-12,3.1055315669133514e-09,5.4224325378372415e-12,8.12004105636259e-09,8.056322533872432e-09,0.0001389304309407541,1.5623387522062177e-11,8.143017354170668e-09,0.000543183335997409,3.0148083265239165e-11,3.0905501042790176e-09,0.00013834253073524445,1.0503022511094856e-19,3.3881317890172014e-21,0.0,2.7755575615628914e-17,0.0,0.0,4.963083675318166e-24,3.944304526105059e-31,0.0,0.0,8.077935669463161e-28,0.0,8.077935669463161e-28,1.0097419586828951e-28,0.0,3.308722450212111e-24,3.308722450212111e-24,2.0194839173657902e-28,4.81482486096809e-35,4.9053531980040117e-29,0.0,5.257374673239111e-29,4.963083675318166e-24,0.0,0.0,1.6543612251060553e-24,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,4.81482486096809e-35,7.888609052210118e-31,0.0,0.0,0.0,0.0,0.0,0.0,9.62964972193618e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62964972193618e-35,6.617444900424222e-24,4.81482486096809e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81482486096809e-35,2.7755575615628914e-17,8.077935669463161e-28,2.407412430484045e-35,0.0,0.0,0.0,0.0,0.0,0.0
5,4.99226110958066e-16,6.97542818296313e-17,7.570389753369877e-17,2.180230453478043e-08,1.9821138343084416e-08,1.9833358785907865e-08,1.517577283015763e-15,8.314500283999625e-09,3.607485690297695e-17,4.362517480618479e-09,7.111413811558403e-09,1.1655613626011453e-08,4.882286093673918e-16,2.169006634449597e-08,8.303459108361261e-09,2.1744934276909046e-08,6.9958244580868325e-09,4.423321386087741e-09,2.0101521605935035e-16,4.414118534860887e-09,1.9548178374999167e-16,1.1548570917311468e-08,1.1368918203923132e-08,2.101435262042661e-09,3.581944523255013e-17,1.1581097077708127e-08,8.306821187733982e-09,6.920945198389741e-17,4.371642255305132e-09,2.0925451565501578e-09,1.6543612189430795e-24,0.0,1.4693679385278594e-39,2.7755575615628914e-17,4.591774807899561e-41,0.0,1.5407439555097887e-33,2.204051907791789e-39,2.938735877055719e-39,6.162975822039155e-33,0.0,3.944304526105059e-31,0.0,3.697785493223493e-32,0.0,3.944304526105059e-31,0.0,0.0,9.183549615799121e-41,1.725155509266789e-33,5.169878828456423e-26,6.85125127433262e-33,6.162975822039155e-33,1.0450837609436713e-09,5.039388521819483e-25,2.481541837659083e-24,1.2286126575798204e-25,3.424049008122928e-17,8.271806125530277e-25,1.3674131416618322e-15,5.2237639094107756e-24,1.3775254605186882e-10,2.1337041175579872e-10,8.242315441563399e-17,3.2314496595425168e-18,1.5305685886614098e-23,4.047086283211451e-25,0.008032598765380213,1.8837032577365018e-17,3.924497414417222e-24,1.1647708193950334e-16,0.0,3.851859888774472e-34,0.0,0.0,0.0,0.0,9.183549615799121e-41,2.2958874039497803e-41,1.4055677179316113e-17,0.0,2.0679515313825692e-25,0.0,0.0,0.0,1.8367099231598242e-40,6.550038106856095e-25,2.0641806073618326e-09,0.0,5.169878828456423e-26,0.0,0.0,2.5849394142282115e-26,1.232595164407831e-32,1.6993920723232204e-25,4.686226259270506e-17,9.610643507810712e-10,0.0,1.232595164407831e-32,1.232595164407831e-32,2.465190328815662e-32,2.1570415377137042e-32,5.877471754111438e-39,1.0339757656912846e-25,1.4693679385278594e-39,1.3674131416618322e-15,9.047769703854956e-24,1.377525460479677e-10,1.1939892816996445e-16,5.169878828456423e-26,1.550963648536927e-25,1.0339757656912846e-25,5.169878828456423e-26,1.0339757656912846e-25,2.1337041175579887e-10,1.0854766223266853e-16,1.3584813733174265e-17,1.633736748687077e-23,1.6636749733029106e-09,0.0,1.0339757656912846e-25,1.0339757656912846e-25,0.0,1.0339757656912846e-25,0.0,2.7755575615628914e-17,0.0,0.0,5.463919099593207e-25,0.008032598765380226,3.7971345499723004e-17,7.346863441063305e-24,1.3089641615855748e-16,1.6056423723225696e-09
6,8.373488470076519e-13,6.638852048348865e-13,5.521263480120363e-13,1.2194239813176096e-07,6.16077856775754e-06,1.472347077665154e-05,1.3343038686185804e-13,1.5905018350556505e-09,4.626717304548491e-13,5.953768200912754e-06,1.2535068143247184e-07,1.4644647152600345e-05,8.556301181312941e-13,1.1838972833173591e-07,9.904091143097157e-10,1.2003961783063078e-07,1.213235481633329e-07,5.718553905286088e-06,1.3815012928514898e-13,5.695829902454936e-06,1.3539423398491564e-13,1.4591473307482684e-05,1.4550882841471241e-05,7.069543029429528e-08,4.64615467270711e-13,1.4423327238318824e-05,1.8164987667744094e-09,6.614545364337274e-13,5.71882119626754e-06,7.197530009486675e-08,8.66885332442671e-22,2.6469779601696886e-23,1.5407439555097887e-33,2.168404344971009e-19,1.2037062152420224e-35,0.0,5.048709793414476e-29,3.76158192263132e-37,3.009265538105056e-36,0.0,5.048709793414476e-29,1.262177448353619e-29,3.2311742677852644e-27,4.0389678347315804e-28,0.0,0.0,0.0,6.058451752097371e-28,3.851859888774472e-34,1.2609941569957874e-27,5.293955920339377e-23,1.2428503561757041e-27,0.0,5.141738726732891e-05,1.6980242352449903e-17,8.470329472543003e-22,1.4807694894420285e-18,2.747107298924838e-11,6.617444900424222e-24,1.2889881191347604e-13,1.1722351978007444e-17,5.933726015971456e-08,6.483194656780272e-07,1.2240782752551008e-11,1.1465953703420528e-13,7.648311882649041e-19,3.0610460257021437e-18,4.86638281706815e-05,1.5687962911339684e-10,1.5185528126987662e-17,2.6296762009195858e-11,0.0,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,1.5407439555097887e-33,2.407412430484045e-35,3.041999138868105e-13,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,0.0,4.124766522194415e-18,7.466624708783208e-05,0.0,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,0.0,3.2311742677852644e-27,9.291760491036497e-19,3.075209699033194e-11,3.037727725897377e-10,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,1.3234889800848443e-23,0.0,1.2889881191300333e-13,1.5469568021199583e-17,5.933726012062905e-08,5.119182191283629e-13,1.3234889800848443e-23,0.0,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.483194656779946e-07,1.4962172048781095e-11,1.227403107984209e-12,1.2142078583237873e-18,1.4274060798599706e-07,0.0,1.6940658945086007e-21,0.0,0.0,3.3881317890172014e-21,0.0,6.505213034913027e-19,3.2311742677852644e-27,6.162975822039155e-33,3.633090425052285e-17,4.8663942244061846e-05,1.5801566080728722e-10,8.015375863926542e-17,2.5456466577282432e-11,2.3391296447998274e-05
7,5.698806835531851e-14,2.5333234023590825e-14,2.0672414674189026e-14,2.838445117612755e-08,1.1823924689801557e-09,1.2002380881666418e-09,1.0684212487392028e-14,7.816696259514409e-11,1.6790919172586328e-14,1.165735178382448e-09,2.8868251701665472e-08,1.1832734074930797e-09,5.99228448507442e-14,2.667011511118312e-08,6.100455903066648e-11,2.7347525948063833e-08,2.781336841960607e-08,1.0617356206945195e-09,1.1259095892166655e-14,1.0537328195119444e-09,1.0874302762744788e-14,1.1589352702890032e-09,1.2111578971541417e-09,2.1662901684903744e-09,1.671402476559691e-14,1.192762464785443e-09,8.030464877274465e-11,2.5199798512067787e-14,1.0486089753519941e-09,2.2375025168213375e-09,1.137376497704034e-24,8.271806125530277e-25,4.70197740328915e-38,2.168404344971009e-19,4.70197740328915e-38,4.963083675318166e-24,1.9721522630525295e-31,1.88079096131566e-37,1.88079096131566e-37,3.1554436208840472e-30,0.0,1.5777218104420236e-30,1.232595164407831e-32,2.465190328815662e-32,0.0,0.0,6.617444900424222e-24,3.697785493223493e-32,1.7632415262334313e-38,7.2222372914521344e-34,6.617444900424222e-24,9.461130851802296e-32,3.944304526105059e-31,2.5288402204438976e-08,1.982155490751365e-22,1.0339757656912846e-25,2.0125273378778543e-21,2.0007775698001582e-16,2.0679515313825692e-25,1.3592192926516335e-14,1.3190544320358893e-22,1.011471893869646e-08,1.292693831324878e-07,7.610204912175161e-16,1.3321082571123464e-15,1.3176846805248816e-20,5.6371693445227e-23,4.2077318084469826e-05,1.2208057626232506e-15,5.139347786937586e-22,1.055041420765337e-15,0.0,1.5777218104420236e-30,0.0,1.5777218104420236e-30,1.5777218104420236e-30,1.5777218104420236e-30,0.0,4.70197740328915e-38,1.8441181470322453e-14,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,4.9129977533075017e-23,2.060028673853073e-08,6.462348535570529e-27,2.5849394142282115e-26,0.0,0.0,0.0,0.0,1.2633179209076816e-21,2.2649689788271873e-16,6.602595219776246e-11,0.0,3.1554436208840472e-30,3.1554436208840472e-30,0.0,0.0,1.1754943508222875e-38,3.308722450212111e-24,0.0,1.359219292651467e-14,3.4170751197146354e-22,1.011471893174687e-08,3.098169476002578e-14,3.308722450212111e-24,3.308722450212111e-24,0.0,3.308722450212111e-24,1.6543612251060553e-24,1.2926938313248747e-07,9.744919040060615e-16,9.460500227309642e-15,2.1079508029524286e-20,3.9887922361970955e-08,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,3.573288928312973e-22,4.20773180844907e-05,1.2291635153141313e-15,1.6304878241781604e-21,1.0032300137276343e-15,5.934753169314273e-09
8,3.822343314772456e-15,8.84147874741727e-16,1.1466756317631703e-15,1.7764145853000793e-09,4.659411777377627e-08,1.853396242035391e-07,1.7357259681110533e-16,4.699407366778269e-09,1.2004420506313637e-15,3.432708490680894e-08,1.6220977383907535e-09,1.8255152191476182e-07,3.7434211598861115e-15,1.5243775176171125e-09,4.539129946597869e-09,9.123386414114527e-10,1.5454479290266598e-09,4.4019378048643474e-08,6.379267089436741e-17,4.642334170000356e-08,4.6328359636180905e-17,1.834732251896224e-07,1.814729947041313e-07,1.4114091660845678e-08,1.2090689798532643e-15,1.8241734296343754e-07,4.709922937806579e-09,8.499787960658801e-16,4.2158243418045786e-08,1.501576207195968e-08,1.8353069841020302e-23,1.550963648536927e-25,0.0,0.0,5.877471754111438e-39,0.0,0.0,0.0,4.70197740328915e-38,0.0,0.0,0.0,3.944304526105059e-31,1.9721522630525295e-31,0.0,1.5777218104420236e-30,4.1359030627651384e-25,4.930380657631324e-32,0.0,8.464462105581902e-32,4.1359030627651384e-25,6.596310059526283e-32,0.0,6.45329402948472e-08,2.419750096205451e-23,1.3234889800848443e-23,1.0334180657987837e-23,3.2259383878740356e-15,1.6543612251060553e-24,1.169452592277405e-14,6.389584998428503e-22,1.5591868750195137e-09,1.191818901166801e-08,4.893475943513767e-15,4.614348255867076e-15,6.325379801586201e-22,1.0802673603028348e-22,5.390530373112462e-05,8.583967033121117e-15,1.8487923953848583e-21,1.9601523194246093e-14,3.308722450212111e-24,9.860761315262648e-32,0.0,0.0,9.860761315262648e-32,9.860761315262648e-32,0.0,0.0,1.1905543685589535e-15,6.617444900424222e-24,0.0,0.0,6.617444900424222e-24,6.617444900424222e-24,2.350988701644575e-38,2.3015131981673243e-24,1.1794828747147842e-07,0.0,5.169878828456423e-26,2.5849394142282115e-26,0.0,0.0,1.9721522630525295e-31,5.378247509272431e-23,3.924906724537941e-15,3.9401397837380496e-10,0.0,3.944304526105059e-31,3.944304526105059e-31,0.0,3.944304526105059e-31,0.0,1.0339757656912846e-25,0.0,1.169452592277403e-14,1.6640881585281819e-22,1.5591868758501486e-09,8.295678057558856e-15,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,2.481541837659083e-24,8.271806125530277e-25,1.1918189011668023e-08,3.991530820392743e-15,3.973216954396619e-15,3.1549090467487083e-22,2.3268913109413287e-08,0.0,0.0,1.6543612251060553e-24,3.308722450212111e-24,0.0,2.938735877055719e-39,8.673617379884035e-19,0.0,1.88079096131566e-37,4.5771712175185034e-23,5.399268869492079e-05,8.857373585804371e-15,6.291935640149896e-22,2.0537182680195637e-14,3.054043855935931e-08
9,3.811085979114953e-15,1.870313642955003e-16,7.047134248667091e-17,1.0999171522517912e-08,1.0024936924445177e-08,5.3581590549123073e-08,1.9238488449066944e-15,3.208773499769505e-07,5.3260946403572733e-17,1.0411057511128011e-08,1.0686651219298884e-08,5.344681599509806e-08,3.615054237676702e-15,9.214187626695627e-09,3.211406491489942e-07,9.769230707680328e-09,1.0500736501948443e-08,1.0273377289532732e-08,4.5613398703308626e-15,1.0813947275908308e-08,4.592733756761718e-15,5.333697326510696e-08,5.226595989453283e-08,3.3371026824849083e-07,6.042352870916863e-17,5.23279108709768e-08,3.130393998691869e-07,1.8282428764324555e-16,9.259628860339423e-09,3.2634256965341275e-07,2.895132183378642e-23,8.271806125530277e-25,2.350988701644575e-38,8.673617379884035e-19,1.1754943508222875e-38,1.0339757656912846e-25,0.0,2.350988701644575e-38,2.350988701644575e-38,0.0,3.944304526105059e-31,1.5777218104420236e-30,1.5777218104420236e-30,0.0,0.0,0.0,0.0,2.465190328815662e-32,7.346839692639297e-40,2.311115933264683e-33,0.0,3.009265538105056e-33,0.0,1.526671008172912e-07,5.467599349526207e-25,3.308722450212111e-24,5.668200168777389e-23,2.9632140885524186e-14,2.6469779601696886e-23,4.550750737464015e-15,1.9419576536031684e-22,5.118227682350112e-10,1.017225146402444e-09,4.9768904149161984e-17,1.0478005279654797e-14,3.326098989327322e-24,1.17812354427776e-24,0.006053486412686156,1.0408570804137331e-14,7.843173647105514e-23,2.6036079612988445e-16,0.0,0.0,2.465190328815662e-32,2.465190328815662e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,1.1754943508222875e-38,4.818345870568508e-16,0.0,3.308722450212111e-24,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,4.5917748078995606e-40,3.2320228944265483e-24,4.792556869505731e-08,1.3234889800848443e-23,2.6469779601696886e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,3.1554436208840472e-30,3.63369213055619e-23,2.5448912193422606e-14,1.36396759619326e-07,2.465190328815662e-32,4.930380657631324e-32,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,2.350988701644575e-38,1.0339757656912846e-25,0.0,4.550750737464016e-15,1.928469198704156e-23,5.11822768945325e-10,6.009488615239609e-16,8.271806125530277e-25,4.1359030627651384e-25,0.0,4.1359030627651384e-25,8.271806125530277e-25,1.0172251464024425e-09,3.344407139197281e-16,2.366828359527373e-15,5.38285872069355e-23,9.606056541799021e-09,1.6543612251060553e-24,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,0.0,4.336808689942018e-19,0.0,0.0,7.458158847625844e-24,2.9752135776865065e-05,6.088759865578864e-15,1.6810243797966363e-22,3.4717746674504647e-16,2.2049169872509665e-08
