,Y4Z1,Y1Z4,Y5Z1,Y1Z5,Y4Z3,Y3Z4,Y5Z4,Y4Z5,Y0Z3,Y3Z0,Y5Z0,Y0Z5,Y4Z0,Y0Z4,Y1Z3,Y3Z1,Y1Z2,Y2Z1,Y2Z4,Y4Z2,Y3Z2,Y2Z3,Y0Z1,Y1Z0,Y2Z0,Y0Z2,Y5Z2,Y2Z5,Y5Z3,Y3Z5,X5Y4,X2Y3,X0Y4,X2Y0,X1Y0,Y5,Y2,Y0,X5Y2,X4Y5,X4Y3,X3Y5,X2Y5,X2Y4,X0Y5,X0Y3,X0Y2,X0Y1,Y1,X5Y1,X5Y0,X3Y2,X3Y0,X1Y4,X1Y3,standard_y,X4Y1,X3Y1,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y1,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8883693290473247,0.8883693290473245,0.817919070323204,0.817919070323204,0.731548198639735,0.731548198639735,0.6790579977254159,0.6790579977254159,0.6594800023332608,0.6594800023332605,0.6344092107298325,0.6344092107298325,0.5861294218137865,0.5861294218137865,0.4512648401879546,0.45126484018795443,0.35484694544207973,0.3548469454420797,0.27283011652347666,0.27283011652347655,0.26472725338019576,0.26472725338019576,0.20367044742105156,0.20367044742105145,0.09269342184833153,0.09269342184833151,0.0742798637363195,0.07427986373631945,0.0410435868652253,0.04104358686522523,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,6.938893903907228e-17,5.898059818321144e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.204170427930421e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0002953871725371396,0.0002963505153905754,0.1410685154600001,0.00027284906188510406,0.00024324337514281482,0.2817503043588703,0.1362022281107197,0.0002257901250957715,0.6594800023332608,0.6594800023332608,0.6344092107298325,0.6344092107298325,0.00019489091641206323,0.38312105462286117,0.0001505371286408087,0.27790528344955595,0.0001183731492388452,0.08290372944158272,0.08086331278372565,9.071735602271668e-05,0.26472725338019576,0.26472725338019565,0.38055361842483654,6.794228491407357e-05,0.09269342184833149,0.09269342184833154,0.0742798637363195,0.07427986373631945,0.041043586865225225,0.04104358686522523,0.0,0.0,2.710505431213761e-20,0.0,9.317362419797304e-21,0.0,6.938893903907228e-18,5.551115123125783e-17,0.0,2.710505431213761e-20,1.3552527156068805e-20,1.3877787807814457e-17,2.7755575615628914e-17,0.0,1.3877787807814457e-17,0.0,6.938893903907228e-18,8.046812998915853e-21,1.0164395367051604e-20,3.3881317890172014e-21,0.0,6.938893903907228e-18,0.0,1.3877787807814457e-17,0.0,1.1797136076178993e-16,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0328790734103208e-20,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.8123913416652875e-05,4.828085939257695e-05,0.1410684787990112,4.445204751849126e-05,7.98070442308512e-06,6.645902949393507e-05,0.1362022722685413,3.6785295505944605e-05,0.00015606493095889854,0.00015555761267158915,0.5934990448762562,0.00015013196658267665,7.748668368475207e-06,9.066500729517095e-05,1.3492176286649096e-05,6.555208411628189e-05,1.928512716343657e-05,0.0829037147120281,0.08086333194120549,1.4779498206124664e-05,6.244365166378481e-05,0.1723351514471245,9.005743754778924e-05,1.3376469522508694e-05,0.17117327862568144,2.1935756095593618e-05,0.0742798637363195,0.07427986373631945,0.5913033402008296,9.68132826718683e-06,3.3881317890172014e-21,6.776263578034403e-21,0.0,0.0,1.4217166778255163e-25,1.3877787807814457e-17,1.3877787807814457e-17,1.3552527156068805e-20,1.3877787807814457e-17,3.3881317890172014e-21,4.1359030627651384e-25,3.3881317890172014e-21,1.3877787807814457e-17,0.0,1.0164395367051604e-20,6.938893903907228e-18,0.0,1.550963648536927e-25,2.117582368135751e-21,8.470329472543003e-22,0.0,3.3881317890172014e-21,6.938893903907228e-18,1.0408340855860843e-17,8.271806125530277e-25,2.7733129242526675e-17,3.469446951953614e-18,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.2652517316004074e-05,1.2693780827989565e-05,0.0009014056666562769,1.5192502803971408e-05,1.1706697186703783e-05,2.465573757532871e-07,0.0008703113757209495,1.1702000462767834e-05,3.7117070197583137e-09,5.413061627662185e-07,0.0037923667232918484,3.5706027666253783e-09,1.1677027782613975e-05,2.1562944455946528e-09,1.5158330449762873e-05,2.4319268655755875e-07,5.070356669960382e-06,0.08290371433817356,0.08086333242744645,3.885757489334491e-06,2.316606642874493e-07,0.24613135984826895,2.1418445628958553e-09,1.5165776542733065e-05,0.24521016775278534,5.217001627685537e-10,0.0004746367941446482,0.24489321298030847,0.0037783366318530206,5.39300862517191e-07,0.0,2.6469779601696886e-23,1.262177448353619e-29,0.0,2.9582283945787943e-31,0.0,6.938893903907228e-18,0.0,1.0842021724855044e-19,0.0,8.077935669463161e-28,1.0339757656912846e-25,0.0,1.6940658945086007e-21,5.293955920339377e-23,5.421010862427522e-20,0.0,6.902532920683853e-31,4.235164736271502e-22,8.271806125530277e-25,0.0,0.0,5.421010862427522e-20,2.7755575615628914e-17,0.0,6.938417447874398e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.2705494208814505e-21,1.5777218104420236e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.3357718278860414e-05,3.346650742916388e-05,0.0003429589814409207,2.6816669904573297e-05,2.0653260751454513e-05,9.60320149350874e-11,0.00033112849412799295,2.070683669910103e-05,5.419537850162959e-10,2.1083393217887042e-10,0.0016223001347206024,6.062912874660139e-10,2.0608234059098095e-05,3.661405710588417e-10,2.6640427097565894e-05,9.472149667530689e-11,2.6467039759919948e-05,7.2117403423071e-05,7.034248810492896e-05,2.051961212688588e-05,9.022987157925464e-11,0.00021410920138629317,3.6368696863070275e-10,2.6703373158647982e-05,0.00021330786603793007,5.396168010308712e-10,0.0016134607361451795,0.0002130336255883317,0.0016175472067692712,2.100570671454096e-10,6.617444900424222e-24,1.3234889800848443e-23,3.1554436208840472e-30,0.0,1.8388779109009328e-30,0.0,0.0,2.5849394142282115e-26,2.6469779601696886e-23,0.0,7.888609052210118e-31,1.262177448353619e-29,5.293955920339377e-23,0.0,0.0,1.3234889800848443e-23,0.0,1.5719440206088619e-30,8.470329472543003e-22,4.1359030627651384e-25,1.3234889800848443e-23,1.3234889800848443e-23,0.0,1.3877787807814457e-17,7.888609052210118e-31,7.623277138243096e-21,0.0,7.888609052210118e-31,0.0,0.0,6.776263578034403e-21,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.963083675318166e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.3917360718800393e-05,1.3920300919062696e-05,5.148924693284524e-08,1.1127901763114408e-05,8.540888913765332e-06,5.5309432889892336e-14,4.973252452735332e-08,8.603596315584724e-06,8.875644680844721e-14,1.218286854135141e-13,2.4463733472211726e-07,9.937400999033113e-14,8.522070902395277e-06,5.985779749371648e-14,1.1008314893355306e-05,5.4559603392088835e-14,1.0937086822344528e-05,4.490291936607359e-07,4.379990645267906e-07,8.485767022865735e-06,5.196394854094783e-14,1.332559385674827e-06,5.945763425522757e-14,1.1034320699551936e-05,1.3275634890460687e-06,8.837422968193017e-14,2.433036103210618e-07,1.3241543304902863e-06,2.4392030937348503e-07,1.2093382737629374e-13,4.0389678347315804e-28,0.0,1.925929944387236e-34,0.0,2.359217162100331e-35,6.617444900424222e-24,5.293955920339377e-23,6.310887241768095e-30,3.7865323450608567e-29,0.0,1.925929944387236e-34,0.0,7.573064690121713e-29,0.0,0.0,4.0389678347315804e-28,1.2037062152420224e-35,2.359217162100331e-35,8.470329472543003e-22,7.573064690121713e-29,0.0,1.6543612251060553e-24,0.0,6.938893903907228e-18,3.851859888774472e-34,8.007108361067744e-22,0.0,0.0,3.7542860071845955e-06,9.33668355254569e-13,0.0,5.818128138802377e-21,2.5923674129362396e-19,9.466330862652142e-30,3.5281497752205534e-14,8.769224596674098e-12,1.7777680737572115e-09,7.786277649834172e-13,0.0026514733357929886,2.2761387341834093e-19,8.533231219992328e-12,2.286204039451215e-09,4.2838608130962016e-19,9.210498006932358e-13,3.2536872910990747e-20,5.388594834276326e-19,0.0,1.2407709188295415e-24,4.1359030627651384e-25,0.0,1.2407709188295415e-24,0.0,1.7193230668739382e-08,1.0587911840678754e-22,2.117582368135751e-22,1.0587911840678754e-22,0.0,0.0,0.0,0.0,1.106422742971694e-12,1.7258046003378654e-06,0.0,0.0,1.9721522630525295e-31,7.888609052210118e-31,1.9721522630525295e-30,0.0,7.361355589067058e-21,4.764161620057625e-19,1.0533318650675067e-14,3.308722450212111e-24,3.308722450212111e-24,1.6543612251060553e-24,0.0,1.6543612251060553e-24,6.462348535570529e-27,8.206917951988796e-14,1.4059303541177217e-11,1.7777680737813743e-09,3.680237259548517e-08,1.0587911840678754e-22,2.117582368135751e-22,4.235164736271502e-22,2.117582368135751e-22,0.0,2.0194839173657902e-28,1.6155871338926322e-27,9.876358245272861e-13,0.002651473355816574,7.113755560088195e-19,1.7514133939955775e-11,2.048090545581287e-06,0.0,0.0,0.0,3.944304526105059e-31,0.0,2.286204033250455e-09,5.488054968615875e-19,9.210498006932374e-13,9.108647468162415e-20,6.254365856785493e-19,1.3725507467875832e-14
6,1.5937803120282067e-06,1.0010753673744933e-05,3.464826664366565e-07,9.966112840883646e-06,1.3047231020224702e-06,6.065621652453868e-13,3.3616960883775924e-07,1.2517815672244525e-06,1.3131984647498452e-13,1.5543716514581685e-12,3.845138055348641e-07,3.471255173647553e-13,1.349410561455341e-06,3.3152693957725636e-13,1.0005289732852144e-05,6.889097763241881e-13,9.917520946925534e-06,1.2959400141389327e-06,1.4259693810450844e-06,1.3550510942133733e-06,4.5303690537822856e-13,1.361224677333668e-06,3.255227607294734e-13,1.0042114263967203e-05,1.3182666743356455e-06,1.2556646821675782e-13,3.804733290115814e-07,1.3225477649856114e-06,3.78881564203678e-07,1.499030971479937e-12,1.6155871338926322e-27,6.617444900424222e-24,9.62964972193618e-35,0.0,9.422762716191457e-35,0.0,1.0587911840678754e-22,0.0,0.0,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.554418083483553e-35,4.235164736271502e-22,2.0194839173657902e-28,0.0,1.3234889800848443e-23,5.048709793414476e-29,4.336808689942018e-19,1.5407439555097887e-33,3.176373047332647e-22,2.168404344971009e-19,7.703719777548943e-34,1.4495638478160358e-05,1.1157711717258034e-11,0.0,2.426087795276737e-18,5.411725904802359e-17,5.048709793414476e-29,1.0389516699616729e-11,1.0797625999309124e-11,3.761304078898274e-08,1.403439817254128e-12,3.0725614336595267e-06,2.98198485700963e-17,2.1176878974595972e-10,5.971956756654047e-08,1.4717106945017744e-19,2.4736027008492857e-12,1.6603223480475326e-18,1.316051623510083e-18,0.0,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,5.924528482462204e-08,2.117582368135751e-22,1.0587911840678754e-22,1.0587911840678754e-22,0.0,0.0,6.462348535570529e-27,9.62964972193618e-35,1.2285812629759996e-11,1.8333063639807168e-06,0.0,0.0,2.0194839173657902e-28,0.0,0.0,0.0,2.050599325877117e-18,5.558960789176697e-17,1.1050127749376013e-12,2.117582368135751e-22,2.117582368135751e-22,0.0,0.0,0.0,9.693522803355793e-27,1.1759581051673369e-11,2.2666722868595467e-12,3.761304078909909e-08,1.2840456913546279e-06,0.0,1.2705494208814505e-21,0.0,4.235164736271502e-22,0.0,0.0,3.2311742677852644e-27,8.377821284716361e-13,3.0725614330277244e-06,4.060690296443845e-17,2.2480168944838269e-10,1.1437532543952713e-05,2.524354896707238e-29,2.524354896707238e-29,0.0,2.524354896707238e-29,2.524354896707238e-29,5.971956801909088e-08,2.4186361446367446e-18,2.47360270084858e-12,1.1543351995073471e-18,1.124496538875406e-18,2.687096974276884e-13
7,1.2759653450096707e-08,8.849317868776387e-08,5.644920605840154e-09,8.809148533303369e-08,9.580048513748686e-09,1.8837707996420127e-10,5.30031597201944e-09,8.794825863964948e-09,1.5727758713151767e-09,2.638998696116862e-10,6.246614690880491e-09,1.571009874601284e-09,1.0610718758836003e-08,1.5653674467160789e-09,8.81227929899234e-08,2.477968567645402e-10,8.669883308090944e-08,1.943456346925119e-08,2.260763611934586e-08,1.0667740917229826e-08,2.6326234533687156e-10,2.145209125883292e-08,1.5278810275872404e-09,8.875216055666886e-08,2.0365216510091824e-08,1.5444455746809538e-09,6.137274912470938e-09,2.0413642806917426e-08,6.0861108193062975e-09,2.4727793603518914e-10,3.944304526105059e-31,1.6543612251060553e-24,0.0,7.888609052210118e-31,3.7435263294026897e-32,8.271806125530277e-25,0.0,0.0,9.860761315262648e-32,3.944304526105059e-31,1.232595164407831e-32,0.0,1.9721522630525295e-31,0.0,1.6543612251060553e-24,1.5777218104420236e-29,7.888609052210118e-31,3.7916745780123706e-32,3.308722450212111e-24,0.0,3.308722450212111e-24,0.0,1.262177448353619e-29,2.168404344971009e-19,1.8488927466117464e-32,4.110053668622856e-24,2.168404344971009e-19,1.771855548836257e-32,4.745143203706556e-08,4.772100832844578e-16,0.0,1.0438828052929827e-15,2.539115812830701e-16,2.5849394142282115e-26,2.996740344136095e-15,9.377316320245646e-16,5.226754217567363e-09,5.386239821063735e-16,2.175748310280606e-05,3.9867957593705906e-16,2.2394788451373957e-14,5.0535188255238686e-09,3.601019182102808e-17,8.447029952103757e-14,2.031155293183335e-14,7.054014009783669e-16,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,0.0,0.0,7.295678327799506e-09,4.1359030627651384e-25,8.271806125530277e-25,0.0,1.6543612251060553e-24,1.6543612251060553e-24,3.944304526105059e-31,1.232595164407831e-32,6.949698406912445e-16,9.259908774186126e-09,4.1359030627651384e-25,6.203854594147708e-25,0.0,4.1359030627651384e-25,4.1359030627651384e-25,2.465190328815662e-32,1.0509779194304873e-15,3.0681975235051063e-16,3.924464750372484e-09,0.0,1.6543612251060553e-24,3.308722450212111e-24,0.0,0.0,7.888609052210118e-31,2.8726798197762834e-15,1.5087283345295804e-15,5.226754566350053e-09,1.7171309117957968e-08,0.0,0.0,3.308722450212111e-24,1.6543612251060553e-24,4.963083675318166e-24,1.232595164407831e-32,2.9582283945787943e-31,6.291697372554119e-17,2.175748310355788e-05,6.469457341281903e-17,1.8325838175325303e-14,4.212634947100606e-08,1.6543612251060553e-24,0.0,1.6543612251060553e-24,8.271806125530277e-25,8.271806125530277e-25,5.053518844762669e-09,1.9263887302418744e-16,8.447454326184307e-14,1.9279857310757707e-14,7.024509101729972e-16,9.885992247912611e-09
8,1.8311371627240183e-08,1.1538846767782225e-07,5.672796087233857e-09,1.1468741394904628e-07,1.3369228244467951e-08,2.7540845128830132e-09,4.515231293769573e-09,1.1987069657307218e-08,2.4225397739829007e-08,4.2510646326984755e-09,5.696904028668324e-09,2.417417510987416e-08,1.5195378579598612e-08,2.4083106635816863e-08,1.1451343802880665e-07,4.003644297096033e-09,1.1217504199929885e-07,1.7706411373523956e-09,2.2707588101482117e-09,1.535664457552494e-08,4.235369220998655e-09,2.18541010891686e-09,2.3343637764097537e-08,1.1581515042774801e-07,2.0858169032861925e-09,2.3632569519767192e-08,5.6008165457918165e-09,2.0806741118764802e-09,5.488709397715743e-09,3.911245590061419e-09,1.9721522630525295e-31,0.0,1.5407439555097887e-32,1.262177448353619e-29,1.980818947802272e-31,0.0,0.0,0.0,3.944304526105059e-31,1.9721522630525295e-31,1.9721522630525295e-31,2.9582283945787943e-31,3.697785493223493e-32,7.395570986446986e-32,8.271806125530277e-25,4.733165431326071e-30,0.0,1.9726337455386263e-31,6.617444900424222e-24,1.8488927466117464e-32,8.271806125530277e-25,8.271806125530277e-25,4.733165431326071e-30,0.0,0.0,6.617444900424222e-24,6.505213034913027e-19,1.8488927466117464e-32,1.7933192618084228e-07,2.080922880725692e-15,0.0,1.645392856509814e-16,2.0395291514954866e-15,0.0,3.048640938867539e-16,6.123686793677861e-16,3.2050375956362434e-09,2.9088834370005562e-15,3.569345900366781e-05,4.227675257606678e-15,9.785140229334354e-15,1.8602285436500302e-09,5.775940346021712e-16,3.715384895687269e-14,1.4435789970264102e-13,5.808801624425865e-15,0.0,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,9.860761315262648e-32,3.966311952084817e-08,3.101927297073854e-25,3.101927297073854e-25,4.1359030627651384e-25,1.2407709188295415e-24,4.1359030627651384e-25,0.0,0.0,3.1377778485577783e-15,3.66031995949407e-09,6.617444900424222e-24,1.6543612251060553e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,3.944304526105059e-31,1.7673460510674575e-16,2.6450068224017337e-15,3.078809650516426e-08,8.271806125530277e-25,0.0,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,6.902532920683853e-31,3.8848725370568256e-16,1.6676859210292482e-16,3.2050376645276594e-09,9.18004776890042e-09,4.963083675318166e-24,3.308722450212111e-24,3.308722450212111e-24,4.963083675318166e-24,4.963083675318166e-24,1.078520768856852e-31,9.860761315262648e-32,2.478519037618503e-16,2.319886903292363e-05,6.649814839698551e-16,3.177996742862004e-15,2.172128398934292e-08,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,6.617444900424222e-24,6.617444900424222e-24,1.8602289982063556e-09,2.248834123554035e-15,3.767903183655242e-14,1.4478627101782702e-13,5.783935189602608e-15,7.431905843709242e-08
9,4.663284169861468e-08,2.7312393367341277e-07,1.4267268954766126e-08,2.7111517753304073e-07,3.263437383994314e-08,9.04211327644994e-09,9.957707081489749e-09,2.8362654356011722e-08,8.312594571544496e-08,1.5309539711871613e-08,1.3937094533718651e-08,8.286218735415261e-08,3.8511471096286213e-08,8.253385590516211e-08,2.6964012982891556e-07,1.4456152528139537e-08,2.631272042835181e-07,1.986473506688981e-09,2.8843219745219728e-09,3.9087478773706044e-08,1.523027477243762e-08,2.8685453674176855e-09,7.946453316036098e-08,2.738263858219682e-07,2.8451052251517306e-09,8.056427167415867e-08,1.3685382690304352e-08,2.8058296782929675e-09,1.3277228911579614e-08,1.3832547839427627e-08,3.1554436208840472e-30,3.308722450212111e-24,1.9721522630525295e-31,5.048709793414476e-29,2.4368791586331695e-30,8.271806125530277e-25,6.203854594147708e-25,1.3234889800848443e-23,7.888609052210118e-31,0.0,3.1554436208840472e-30,1.5777218104420236e-30,1.3312027775604574e-30,1.9721522630525295e-31,3.308722450212111e-24,6.310887241768095e-30,5.048709793414476e-29,2.442079169483015e-30,1.3234889800848443e-23,1.9721522630525295e-31,0.0,3.308722450212111e-24,6.310887241768095e-30,1.0842021724855044e-19,1.9721522630525295e-31,3.5361971186641933e-23,7.589415207398531e-19,1.9721522630525295e-31,4.499028934457014e-07,6.3256000707836324e-15,9.926167350636332e-24,2.416174233108434e-15,1.0034544225883007e-14,8.271806125530277e-25,1.291659281177794e-15,2.179699772699192e-15,5.171842183162526e-09,1.8892243132049054e-14,2.9806220822619988e-05,2.3973925285832883e-14,4.254703634872582e-14,7.255534639738701e-10,2.7482454922634633e-15,6.898151488233054e-14,2.7973745679776893e-13,2.4834234452223912e-14,0.0,6.617444900424222e-24,0.0,0.0,0.0,1.5777218104420236e-30,9.558598552822685e-08,2.0679515313825692e-25,4.1359030627651384e-25,8.271806125530277e-25,0.0,0.0,4.930380657631324e-32,0.0,1.2588275500594436e-14,1.0081188567181895e-08,0.0,6.617444900424222e-24,1.3234889800848443e-23,6.617444900424222e-24,6.617444900424222e-24,0.0,2.4486191088262157e-15,1.3441808504372501e-14,7.185052573285777e-08,3.308722450212111e-24,0.0,3.308722450212111e-24,0.0,0.0,1.5777218104420236e-30,5.442673989944326e-16,4.786487876411565e-16,5.171841279191998e-09,1.88179900049311e-08,9.926167350636332e-24,1.3234889800848443e-23,1.3234889800848443e-23,1.9852334701272664e-23,9.926167350636332e-24,1.4791141972893971e-31,0.0,3.629821859509546e-15,4.313665380958034e-05,3.815271515801315e-15,9.489344258892504e-15,9.079791289741409e-08,1.3234889800848443e-23,1.3234889800848443e-23,3.970466940254533e-23,0.0,1.3234889800848443e-23,7.255577849533138e-10,1.2464344815601078e-14,7.333617957326139e-14,2.868870930347333e-13,2.4738692250986882e-14,1.627692907150897e-07
