,Y3Z1,Y1Z3,Y5Z0,Y0Z5,Y2Z1,Y1Z2,Y5Z4,Y4Z5,Y1Z0,Y0Z1,Y2Z5,Y5Z2,Y1Z5,Y5Z1,Y3Z0,Y0Z3,Y0Z4,Y4Z0,Y4Z2,Y2Z4,Y3Z5,Y5Z3,Y4Z1,Y1Z4,Y3Z2,Y2Z3,Y3Z4,Y4Z3,Y0Z2,Y2Z0,standard_y,Y3,X0Y3,X4Y5,X3Y5,Y1,Y0,X5Y1,X4Y3,X4Y0,X3Y2,X2Y3,X0Y1,X4Y1,X2Y5,X1Y5,X1Y4,X1Y0,X0Y5,Y4,X0Y4,X3Y4,X2Y4,X1Y2,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y1,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y1,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y3,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8921795677048455,0.8921795677048454,0.7364712141640124,0.7364712141640124,0.6766994874229113,0.6766994874229113,0.6498844377795232,0.6498844377795232,0.6394267984578839,0.6394267984578839,0.5053552881033625,0.5053552881033623,0.4219218196852704,0.42192181968527037,0.27502931836911926,0.27502931836911926,0.22321073814882275,0.22321073814882272,0.21863797480360336,0.21863797480360336,0.19883765068664852,0.1988376506866485,0.08693883262941612,0.0869388326294161,0.0297972194380704,0.02979721943807035,0.02653596968386364,0.026535969683863625,0.025010755222666905,0.025010755222666853,2.0122792321330962e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,3.8163916471489756e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.000331464585211441,0.00033254558692383024,0.7364712141640124,0.7364712141640124,0.6469991314904565,0.0002522288520852493,0.6498844377795231,0.6498844377795232,0.00023833605664722943,0.36529153344094567,0.5053552881033623,0.5053552881033623,0.00015726457345818312,0.22373054178967705,0.00010217951882570371,0.36231885924926355,0.22321073814882272,0.2232107381488227,0.21863797480360336,0.21863797480360336,7.387261689798213e-05,0.22171260388881878,0.06048912492223895,3.24050518188804e-05,1.1070330838109648e-05,0.6447024827083572,9.858703900911438e-06,0.06012024596781368,0.025010755222666957,0.025010755222666936,6.245004513516506e-17,0.0,2.710505431213761e-20,2.7755575615628914e-17,1.3552527156068805e-20,0.0,0.0,1.3552527156068805e-20,0.0,1.1102230246251565e-16,2.710505431213761e-20,0.0,8.470329472543003e-21,6.776263578034403e-21,0.0,1.3552527156068805e-20,1.0164395367051604e-20,5.929230630780102e-21,0.0,6.938893903907228e-18,1.0408340855860843e-17,1.0164395367051604e-20,6.938893903907228e-18,5.505714157152952e-21,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,4.282911482511539e-05,4.296879293412525e-05,3.063677416963687e-05,3.0736689535612824e-05,0.6469991294617579,3.2590928111596404e-05,2.7034814631843352e-05,0.42739928813370853,1.0541442544887456e-05,1.5245472819415247e-05,0.48042583504649455,2.102248606502432e-05,1.037527957395953e-05,9.307059851204465e-06,3.68861246687122e-06,1.5121410604468423e-05,9.315719375784646e-06,0.42456112798541357,0.2186379748036033,0.21863797480360336,3.614665805304327e-06,9.223116566318766e-06,0.06048912311557775,4.187113034652906e-06,1.4304166772898699e-06,0.6447025287804133,1.2738602560801552e-06,0.06012025188691199,1.04382602272235e-06,0.47870178043059736,8.326587981393949e-17,0.0,2.0679515313825692e-25,2.541098841762901e-21,1.550963648536927e-25,8.470329472543003e-22,8.470329472543003e-22,1.0339757656912846e-25,0.0,0.0,0.0,3.3881317890172014e-21,6.462348535570529e-26,1.6940658945086007e-21,8.470329472543003e-22,1.0339757656912846e-25,8.470329472543003e-22,1.9387045606711586e-26,2.7755575615628914e-17,2.7755575615628914e-17,4.235164736271502e-22,8.470329472543003e-22,1.3877787807814457e-17,1.6940658945086007e-21,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2705494208814505e-21,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.859437080690817e-06,3.4234198722286874e-09,5.318797033613433e-07,5.336143166376063e-07,0.00036305817707701145,2.596592162192403e-09,4.6934671082520743e-07,0.4273992879400028,8.398603117634541e-10,2.4661122848912274e-07,0.00026958695916485143,2.03914741207387e-07,8.266217396277626e-10,2.022030217557805e-07,5.220155748265189e-07,2.445161231423967e-07,1.6172858247917104e-07,0.4245611285493939,0.15834549249608318,0.00012268688003055342,5.115505831331463e-07,2.0247780685381983e-07,0.15743809349789956,3.335966637944362e-10,5.8390749350350154e-06,0.0003617694591663624,1.8027778772968166e-07,0.15709855136011944,2.4569190349347355e-07,0.00026861952052319345,2.7700544943836986e-17,8.470329472543003e-22,0.0,3.970466940254533e-23,0.0,0.0,2.6469779601696886e-23,9.860761315262648e-32,0.0,2.6469779601696886e-23,2.0679515313825692e-25,0.0,1.1093356479670479e-31,1.2924697071141057e-25,2.5849394142282115e-26,0.0,1.550963648536927e-25,6.162975822039155e-32,5.551115123125783e-17,2.7755575615628914e-17,2.6469779601696886e-23,1.0587911840678754e-22,6.776263578034403e-21,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3087224502121107e-23,4.0389678347315804e-28,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.352747104407253e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.6540036175694357e-06,1.1719210102384046e-10,4.681759281213954e-11,2.983918945600305e-08,1.9929725431440462e-05,8.888775036276688e-11,4.131325759615045e-11,0.00046800612130831374,4.009619406219236e-11,1.9759534516328004e-08,8.08583363768733e-06,1.7949164201485354e-11,3.9680006725443435e-11,1.779850099378494e-11,4.372273896767e-07,1.9591665815564767e-08,2.9658047757591567e-08,0.0004648983108710298,0.00017338974912438403,8.015822041001022e-06,4.3106558000130757e-07,1.7822688357851468e-11,0.00017239618707172325,3.9625133217426425e-11,3.6413061947590775e-06,1.9858982515765563e-05,4.3039391240595026e-07,0.00017202438521080282,1.9685877877355998e-08,8.054548509026513e-06,1.376098151719357e-20,2.117582368135751e-22,0.0,0.0,6.162975822039155e-33,4.8467614016778965e-27,3.308722450212111e-24,1.88079096131566e-37,0.0,1.6155871338926322e-27,0.0,1.2924697071141057e-26,5.900981641127883e-35,0.0,4.930380657631324e-32,0.0,3.1554436208840472e-30,1.515917514820422e-34,5.421010862427522e-20,1.3552527156068805e-20,0.0,5.169878828456423e-26,4.1359030627651384e-25,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,9.860761315262648e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0
5,1.523908314679802e-08,3.4058964929372405e-14,6.920776195115571e-11,4.786031115864637e-08,1.3961530383339757e-06,2.5744851567057153e-14,6.917864110045503e-11,1.5661479115145553e-06,1.1559736654875847e-14,3.1601276868398534e-08,5.659801669301559e-07,1.3878160928643534e-11,1.1440121673242917e-14,1.3761935286897597e-11,1.808550013151639e-09,3.133371076207863e-08,4.7282991394174175e-08,1.491525165826865e-06,2.890465116502307e-07,5.562434729970903e-07,1.7830603381146446e-09,1.3780641392735283e-11,2.8739064975724296e-07,1.1408494070077066e-14,1.5186156516548714e-08,1.391199226740491e-06,1.777508837544338e-09,2.867707980570367e-07,3.148349984038443e-08,5.637915720399813e-07,1.0753348002632405e-22,1.6543612251060553e-24,0.0,1.6543612251060553e-24,1.4444474582904269e-34,3.944304526105059e-31,0.0,2.2958874039497803e-40,0.0,1.6155871338926322e-27,0.0,0.0,1.222789631343653e-37,6.018531076210112e-36,0.0,2.7550648847397363e-40,3.009265538105056e-36,1.2305956485170822e-38,0.0,0.0,8.077935669463161e-28,7.888609052210118e-31,3.0292258760486853e-28,1.2407709188295415e-24,3.2235214363898324e-08,0.0,2.5772086895732776e-09,6.141604147747563e-20,1.8121027014637534e-15,1.0400127813387193e-17,3.8845763746348893e-13,4.411259306925492e-15,1.0587911840678754e-22,5.797762825974033e-25,1.4673101844196414e-20,9.935507168357483e-08,1.8839717684853e-09,1.0508302928032207e-07,9.854648782436903e-12,2.0324024467127503e-16,1.546890729536394e-14,3.098325404691874e-22,4.0389678347315804e-28,8.077935669463161e-28,0.0,8.077935669463161e-28,8.077935669463161e-28,1.6543612251060553e-24,0.0,0.0,0.0,1.0065088686044425e-11,3.308722450212111e-24,0.0,0.0,0.0,3.308722450212111e-24,2.0194839173657902e-28,2.577208690067287e-09,1.4006570701522664e-07,0.0,5.169878828456423e-26,1.0339757656912846e-25,0.0,1.0339757656912846e-25,2.6469779601696886e-23,0.0,2.456710409220224e-19,5.570197580577662e-15,1.3369084452177393e-09,6.617444900424222e-24,0.0,0.0,1.3234889800848443e-23,2.6469779601696886e-23,8.271806125530277e-25,6.310887241768095e-30,2.6572658797428532e-17,5.70440443167601e-13,5.1037314835664854e-15,1.0561950810652169e-07,0.0,1.9721522630525295e-31,9.860761315262648e-32,9.860761315262648e-32,1.9721522630525295e-31,0.0,7.640514701014644e-25,2.187505523824109e-20,9.935507168357486e-08,1.8839717684888737e-09,5.184592953682749e-15,4.1359030627651384e-25,4.1359030627651384e-25,2.0679515313825692e-25,0.0,4.1359030627651384e-25,1.262177448353619e-29,1.0508302928068418e-07,9.850648914795873e-12,2.328577486003969e-16,1.8114458320825306e-14,6.110061219261421e-22,3.5579632633033595e-09
6,9.012520710886935e-09,8.198908873950356e-16,5.78776425407115e-15,1.0716548376930178e-08,5.6146559811874775e-08,6.197477397700847e-16,5.608966596505525e-15,4.263181598814235e-08,2.819501400538551e-16,7.105137219699133e-09,2.3085514626695696e-08,1.2261671494318143e-15,2.6478735831609647e-16,1.1768409897648524e-15,1.0936735595747148e-09,6.806248737868037e-09,1.0270843475853193e-08,5.799251469373861e-09,1.0892408954266832e-08,2.172608967408072e-08,1.003899974164856e-09,1.2012899226694436e-15,1.061349673282225e-08,2.623543654897746e-16,8.8879662429462e-09,5.515750707300901e-08,9.935385534933928e-10,1.0599902352140317e-08,6.964147180307214e-09,2.255614359371423e-08,1.2407711653485744e-24,0.0,0.0,0.0,2.938735877055719e-39,4.930380657631324e-32,4.1359030627651384e-25,8.758115402030107e-47,9.860761315262648e-32,1.9721522630525295e-31,4.930380657631324e-32,1.4791141972893971e-31,2.381983181597897e-40,0.0,2.350988701644575e-38,1.7516230804060213e-46,1.1020259538958945e-39,6.184546694389721e-40,0.0,8.271806125530277e-25,2.465190328815662e-32,3.0814879110195774e-33,4.930380657631324e-32,4.1359030627651384e-25,6.529859284152518e-08,1.9721522630525295e-31,5.857108771104487e-10,2.1065122933727304e-24,4.030818360108818e-16,2.0204099975159808e-22,8.710306300831074e-15,1.0505525777861782e-16,0.0,3.4813760221555196e-30,3.4840682162236605e-23,3.981724590854182e-09,1.1178349767468466e-09,8.340946066494686e-08,4.1739820642775214e-15,2.6782608392923516e-17,1.4077571894116612e-16,1.668416536170459e-24,1.9721522630525295e-31,3.944304526105059e-31,0.0,3.944304526105059e-31,1.9721522630525295e-31,4.1359030627651384e-25,2.938735877055719e-39,2.350988701644575e-38,0.0,4.5642191137364815e-15,0.0,0.0,0.0,0.0,0.0,0.0,5.418727192185185e-10,6.103690388326544e-08,2.5849394142282115e-26,5.169878828456423e-26,5.169878828456423e-26,5.169878828456423e-26,5.169878828456423e-26,8.271806125530277e-25,0.0,4.983903489497081e-23,6.757728123772227e-16,7.924763329430525e-10,0.0,2.0679515313825692e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,2.0679515313825692e-25,4.930380657631324e-32,4.235166369291023e-22,7.803752985730876e-15,1.2173563785909834e-16,4.280938622934561e-09,1.232595164407831e-32,3.0814879110195774e-32,1.5407439555097887e-33,3.0814879110195774e-33,1.8488927466117464e-32,0.0,5.471144504591972e-30,6.973791815562337e-23,3.981724590854182e-09,1.1178349767468501e-09,1.253995763613783e-16,5.169878828456423e-26,0.0,0.0,0.0,5.169878828456423e-26,0.0,8.340946066494693e-08,4.470268594202377e-15,3.075100479907488e-17,1.6438715231893536e-16,3.283554407699017e-24,8.117215587983333e-10
7,8.822870769011075e-09,1.5329161851354365e-16,5.123285059976411e-15,1.0707277824684847e-08,1.0766930514596451e-08,1.146472377208244e-16,4.860320599348144e-15,6.572897818067654e-08,5.270207115231525e-17,7.05715824253325e-09,4.488148858238291e-09,1.2373068718253718e-15,4.600618606819779e-17,1.15349635492312e-15,1.0801667405762222e-09,6.5332468668661116e-09,9.71709034322878e-09,2.941886031734398e-08,1.5349536345295075e-08,3.892870040885488e-09,9.0085515118356e-10,1.1943456803457599e-15,1.4387039445797317e-08,4.837246100516336e-17,8.610334554154305e-09,1.042775654567396e-08,9.64531047353622e-10,1.4525971294675698e-08,6.8065450571234676e-09,4.174839135076589e-09,1.9413373839423337e-31,1.6543612251060553e-24,0.0,8.271806125530277e-25,7.346839692639297e-39,3.0814879110195774e-33,8.271806125530277e-25,0.0,1.9721522630525295e-31,9.860761315262648e-32,1.232595164407831e-32,1.232595164407831e-32,5.022253696140144e-41,0.0,5.877471754111438e-39,2.1895288505075267e-47,3.6734198463196485e-40,3.3362113838645245e-41,0.0,1.6543612251060553e-24,1.232595164407831e-31,0.0,0.0,6.203854594147708e-25,5.559158744294289e-08,1.9721522630525295e-31,1.1364184666761977e-09,1.4333962019479069e-24,1.7545801407045242e-16,1.8169848216634916e-23,5.122311209397255e-16,3.9742962433968893e-17,8.271806125530277e-25,6.478692578307848e-31,1.7164258867804345e-23,1.5276271271321978e-09,2.184936768227646e-09,2.999374445899713e-08,2.1690342150652412e-16,5.1637434856128995e-17,5.382985318838763e-17,6.205377230542103e-25,0.0,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,8.271806125530277e-25,0.0,0.0,0.0,1.150453530618486e-15,4.963083675318166e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,1.6543612251060553e-24,1.9721522630525295e-31,1.0520521249720293e-09,5.718208788780746e-08,5.169878828456423e-26,5.169878828456423e-26,2.0679515313825692e-25,1.0339757656912846e-25,5.169878828456423e-26,1.0339757656912846e-25,0.0,1.7750182047520778e-23,3.920113941208343e-16,1.5637052575636319e-09,1.0339757656912846e-25,2.0679515313825692e-25,1.0339757656912846e-25,2.0679515313825692e-25,0.0,4.1359030627651384e-25,2.465190328815662e-32,2.6843341918112436e-23,3.123540347149122e-16,4.6134767740306693e-17,1.6580555684098409e-09,1.5407439555097887e-33,1.5407439555097887e-33,1.5407439555097887e-33,7.703719777548943e-34,1.5407439555097887e-33,2.0679515313825692e-25,5.256699208496812e-31,2.6887593878441285e-24,1.5276271271321978e-09,2.184936768227646e-09,4.8027335159594474e-17,0.0,1.0339757656912846e-25,0.0,0.0,1.0339757656912846e-25,0.0,3.076719751844768e-08,1.0799908029947233e-15,5.953537360232637e-17,6.28680975094347e-17,1.2385559910900082e-24,1.6312592786827104e-09
8,6.339670702431483e-09,1.2308515400647971e-16,5.489683803645783e-15,1.208934715585047e-08,1.2228354540503712e-08,9.030217771580648e-17,5.277994719037633e-15,5.848797931936539e-08,4.1388603623356046e-17,7.886386717139071e-09,5.137741849284e-09,1.109417628709772e-15,3.3879801025153627e-17,9.868572549599153e-16,7.650719319917306e-10,7.057706141002539e-09,1.0325734985880124e-08,2.2312808356472414e-08,1.308911129949006e-08,4.064043538437988e-09,5.861426437633732e-10,1.0519128022639545e-15,1.1823145088994065e-08,3.7851042402854034e-17,6.1220537686879696e-09,1.1675087176206269e-08,6.800502459091812e-10,1.2022720542956894e-08,7.48547985146234e-09,4.568541199651799e-09,3.308722846183307e-24,0.0,1.232595164407831e-32,4.1359030627651384e-25,2.938735877055719e-39,1.5407439555097887e-33,8.271806125530277e-25,5.473822126268817e-48,0.0,1.9721522630525295e-31,0.0,1.232595164407831e-32,4.304788882405838e-41,3.6734198463196485e-40,2.938735877055719e-39,1.0947644252537633e-47,7.346839692639297e-40,6.528929804982188e-41,6.617444900424222e-24,8.271806125530277e-25,7.395570986446986e-32,1.232595164407831e-32,4.930380657631324e-32,0.0,4.9688315752918705e-08,3.944304526105059e-31,1.868944195370491e-09,2.7586022129042124e-24,1.1755927571695834e-16,2.7023853557162436e-23,4.643262541356837e-16,4.924312678719164e-17,1.6543612251060553e-24,6.686784230523862e-31,1.403422953666338e-23,2.6154322904518362e-09,2.3567742067136655e-09,2.3862104147075253e-08,1.069831900952688e-15,6.18415543978129e-17,1.0339644072034661e-16,8.456305597717097e-25,9.860761315262648e-32,1.9721522630525295e-31,1.9721522630525295e-31,0.0,0.0,1.2407709188295415e-24,0.0,5.877471754111438e-39,0.0,2.1209002998346103e-15,1.6543612251060553e-24,0.0,0.0,3.308722450212111e-24,1.6543612251060553e-24,0.0,1.731998199071439e-09,5.147145276323411e-08,2.0679515313825692e-25,1.550963648536927e-25,0.0,2.0679515313825692e-25,1.0339757656912846e-25,6.203854594147708e-25,1.232595164407831e-32,2.3199049076128877e-23,1.8709628783007484e-16,1.707584435119872e-09,0.0,2.0679515313825692e-25,6.203854594147708e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,0.0,5.253476234506484e-23,1.7715343839176207e-16,5.736617398939353e-17,2.8657608009011542e-09,6.162975822039155e-33,1.5407439555097887e-33,2.311115933264683e-33,0.0,6.162975822039155e-33,8.271806125530277e-25,6.438510887400156e-31,4.0831566821708176e-25,2.6154322904518362e-09,2.356774206713666e-09,6.028342504050694e-17,0.0,0.0,4.1359030627651384e-25,0.0,4.1359030627651384e-25,0.0,2.4593484067876465e-08,2.0479226473490825e-15,7.176061139622753e-17,1.2097414255757444e-16,1.730370065063463e-24,2.790206165088745e-09
9,3.830431163487339e-09,4.45255010711051e-16,9.782043820024221e-11,6.98569713908741e-10,1.6191173406665635e-09,3.877920218610305e-16,7.427221028172706e-11,5.1649334253865925e-06,3.9500692207247934e-16,6.985418364546574e-10,1.6185864306056595e-09,7.604847284887744e-11,3.8233051274043854e-16,7.230221581994502e-11,3.59068394822468e-09,6.700649430852554e-10,6.950959825213157e-10,0.0003426899531224699,0.00043381198031353346,1.2743994578783141e-09,3.593849048832629e-09,7.378487199336005e-11,0.0005376274371154796,3.592253196118456e-16,3.670687166939531e-09,1.518830198967421e-09,3.3446094718400505e-09,0.0005136341915173619,6.771999733129791e-10,1.5478820066483617e-09,5.421000522671098e-20,0.0,0.0,1.0339757656912846e-25,4.81482486096809e-35,1.232595164407831e-32,0.0,1.4349296274686127e-42,4.0389678347315804e-28,0.0,1.232595164407831e-32,2.465190328815662e-32,1.8833451360525541e-41,4.81482486096809e-35,1.925929944387236e-34,5.739718509874451e-42,0.0,2.6904930515036488e-42,2.168404344971009e-19,5.421010862427522e-20,1.2924697071141057e-26,3.2311742677852644e-27,2.5849394142282115e-26,1.550963648536927e-25,0.0006410485925742958,0.0,4.049280980771518e-09,1.6929067055256186e-18,4.4523001669637724e-11,7.476187773130002e-18,2.2530272418137368e-10,1.0761607062390811e-16,1.0339757656912846e-25,4.333847984851961e-27,1.5327901066284576e-18,3.847517235810058e-08,2.4982227552189895e-09,0.00033806343015188074,5.5302742010065565e-11,2.4786401955854347e-17,1.8778556641825195e-18,8.325009418163045e-25,0.0,0.0,6.462348535570529e-27,6.462348535570529e-27,6.462348535570529e-27,0.0,2.407412430484045e-35,1.925929944387236e-34,6.776263578034403e-20,6.175257617767039e-11,1.3552527156068805e-20,1.0842021724855044e-19,0.0,5.421010862427522e-20,1.0842021724855044e-19,0.0,3.5550568210217416e-09,0.0006410524820641109,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,4.1359030627651384e-25,3.101927297073854e-25,0.0,2.4179063242781557e-18,6.964649822942005e-12,7.62538086901359e-09,1.6543612251060553e-24,2.481541837659083e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.0339757656912846e-25,0.0,5.058554547787318e-18,3.4182830026880457e-10,1.4752757811601083e-16,1.6280550234802358e-08,3.697785493223493e-32,0.0,0.0,2.465190328815662e-32,1.232595164407831e-32,3.101927297073854e-25,2.588016062431013e-26,5.31471665511531e-19,3.847517235810059e-08,2.4982227552189812e-09,2.482107573948274e-16,0.0,0.0,4.1359030627651384e-25,0.0,0.0,2.465190328815662e-32,0.0026637660265284545,3.14357268157019e-11,2.2678556007913395e-17,5.591787220037792e-19,1.333082109560799e-24,4.8274323750136965e-09
