,Y4Z0,Y0Z4,Y2Z4,Y4Z2,Y1Z0,Y0Z1,Y5Z3,Y3Z5,Y5Z1,Y1Z5,Y4Z5,Y5Z4,Y3Z1,Y1Z3,Y4Z3,Y3Z4,Y4Z1,Y1Z4,Y5Z2,Y2Z5,Y3Z2,Y2Z3,Y5Z0,Y0Z5,Y2Z0,Y0Z2,Y2Z1,Y1Z2,Y3Z0,Y0Z3,Y1,standard_y,X2Y0,X2Y1,Y0,Y4,X5Y4,X5Y1,X5Y0,X4Y1,X3Y5,X3Y4,X3Y1,X2Y5,X2Y3,X0Y5,Y2,X1Y3,X1Y4,X0Y4,X5Y2,X0Y1,X4Y2,X3Y2,X0Y2,X1Y5,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y3,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y2,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9986306536729145,0.9986306536729144,0.9594850618366995,0.9594850618366993,0.9582093798172732,0.9582093798172727,0.9320876043438782,0.9320876043438782,0.8895509397958029,0.8895509397958029,0.6852603683853775,0.6852603683853774,0.6514212405579194,0.6514212405579194,0.6011422885889965,0.6011422885889965,0.3456448375625668,0.3456448375625667,0.3194518385537368,0.3194518385537368,0.23174148998607608,0.23174148998607602,0.18425364570285307,0.18425364570285296,0.1403685900763948,0.1403685900763948,0.12059206321532505,0.12059206321532501,0.023616147138825705,0.023616147138825545,3.3306690738754696e-16,3.191891195797325e-16,1.6653345369377348e-16,1.3877787807814457e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0029100327290581115,0.0029195231859683556,0.8195733640688043,0.0027959615726973865,0.6136895978506128,0.0028013505204349228,0.9320876043438779,0.9320876043438779,0.8895509397958027,0.8895509397958027,0.001996864498995253,0.5016064585172209,0.6514212405579194,0.6514212405579192,0.001751742476741402,0.5776030107553214,0.0010072170188624011,0.6094456215949446,0.31945183855373677,0.3194518385537368,0.23174148998607597,0.23174148998607597,0.4987762365640513,0.000538670417085824,0.815993398823296,0.0004103712937335377,0.12059206321532495,0.12059206321532495,0.5755694552155881,6.90424321358998e-05,1.1102230246251565e-16,5.551115123125783e-17,0.0,5.551115123125783e-17,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,2.7755575615628914e-17,2.168404344971009e-19,3.2526065174565133e-19,5.551115123125783e-17,1.0842021724855044e-19,5.551115123125783e-17,5.551115123125783e-17,0.0,2.168404344971009e-19,0.0,0.0,2.168404344971009e-19,5.551115123125783e-17,2.7755575615628914e-17,9.147955830346444e-20,8.131516293641283e-20,0.0,2.710505431213761e-20,2.7755575615628914e-17,0.0,1.1102230246251565e-16,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.371692252312041e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00023593888683234187,0.00023670835166226422,0.8195727700822845,0.00022669025488993114,0.6136881352130374,0.00022712717861168033,0.0009014608604324002,0.0009044007845668526,0.0008603218751645676,0.24024757163565874,2.0335693483698574e-05,0.00048512380673746596,0.0006320713614240269,0.2352376299215762,1.9347574059710422e-05,0.0005604457384476394,8.166288298272924e-05,0.6094496763728323,0.0003089552182727245,0.08846377641818717,0.00022485781849618388,0.08667176064763533,0.0004823901394056121,3.809457658634453e-05,0.815997458999385,3.3271978443616114e-05,0.12059206321532503,0.12059206321532506,0.0005584751530474123,3.7934385647574496e-05,1.1102230246251565e-16,1.9427547678224633e-16,1.3552527156068805e-20,5.551115123125783e-17,1.3552527156068805e-20,0.0,1.9852334701272664e-23,2.710505431213761e-20,0.0,2.710505431213761e-20,2.7755575615628914e-17,6.617444900424222e-24,2.710505431213761e-20,5.421010862427522e-20,1.0842021724855044e-19,1.3234889800848443e-23,8.326672684688674e-17,5.421010862427522e-20,1.3552527156068805e-20,0.0,5.421010862427522e-20,1.735424925136252e-21,0.0,0.0,1.6940658945086007e-21,1.3552527156068805e-20,0.0,5.421010862427522e-20,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,2.9364911745632482e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0
3,6.929598053566226e-11,6.905770068131119e-06,7.071789151377318e-06,6.657962873939047e-11,0.7334974488711281,7.705871887504667e-06,9.154083318493737e-05,9.183937427150121e-05,8.736328410533129e-05,0.24024726913610342,5.972636679181511e-12,1.7991413296464558e-05,6.418508178972901e-05,0.23523804300108125,5.682464401054252e-12,3.4152241293750586e-05,2.398464121624484e-11,0.729649759296542,1.7729289224675482e-05,7.633201579870045e-07,3.389301398692441e-05,7.478597277046864e-07,1.7815473445214278e-05,1.2924560968284875e-06,7.040939384725735e-06,6.875994503863956e-06,1.040544146418906e-06,0.7280606359619981,3.402611945354216e-05,1.287021984776796e-06,0.0,6.352740642058717e-21,0.0,0.0,0.0,6.462348535570529e-27,5.9164567891575885e-31,3.3881317890172014e-21,1.0339757656912846e-25,3.2311742677852644e-27,1.3877787807814457e-17,1.9721522630525295e-31,3.3881317890172014e-21,1.0339757656912846e-25,0.0,5.169878828456423e-26,4.235164736271502e-22,5.082197683525802e-21,0.0,4.235164736271502e-22,2.5849394142282115e-26,5.51458453831159e-23,2.117582368135751e-22,2.5849394142282115e-26,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,3.944304526105059e-31,7.888609052210118e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,8.130341277118803e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.4858535490384784e-13,7.109251444421621e-12,1.2638898825360878e-06,2.1904336340805838e-13,3.594729919267669e-05,7.94748692066401e-12,1.7977101783789365e-05,1.80781123959957e-05,2.0702238947707323e-05,1.1716494366451673e-05,1.9465910813922454e-14,2.063636145098844e-05,1.933474574480257e-05,1.1475009628273542e-05,1.852785083649495e-14,1.9299128604649695e-05,1.475995953490707e-13,3.575954514994833e-05,2.0530131991468534e-05,1.1797800441033126e-07,1.920770877152872e-05,1.1559198133486516e-07,2.06575707527807e-05,1.32098574476034e-12,1.2596069003913701e-06,7.07868500308844e-12,1.2565593854724694e-06,3.568154587191336e-05,1.9315335902230747e-05,1.3154321759694292e-12,3.3881317890172014e-21,1.5881851605146792e-21,7.703719777548943e-34,1.6155871338926322e-27,1.6155871338926322e-27,0.0,1.925929944387236e-34,0.0,2.465190328815662e-32,3.851859888774472e-34,1.3877787807814457e-17,3.851859888774472e-34,1.0339757656912846e-25,0.0,0.0,2.465190328815662e-32,1.0587911840678754e-22,2.5849394142282115e-26,3.851859888774472e-34,0.0,3.2311742677852644e-27,3.778959280370735e-26,0.0,3.2311742677852644e-27,0.0,1.9387045606711586e-26,4.545139389275639e-06,0.0,3.6425241518065226e-19,0.000578980654690227,4.0539704258672405e-19,1.6940658945086007e-21,7.923949697509245e-12,6.836161896293575e-09,7.59295772807896e-12,9.128118716776665e-11,2.4455305124884007e-18,1.1112498698227014e-10,6.309613978672679e-12,3.8561457320821155e-17,7.005167297443853e-12,3.626669111422485e-17,2.437169855340257e-18,6.973958171169514e-09,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,3.947601945543782e-06,9.860761315262648e-31,5.9164567891575885e-31,0.0,3.1554436208840472e-30,3.1554436208840472e-30,5.7777898331617076e-34,3.851859888774472e-34,0.0,1.4314704205852305e-18,3.1240998935650184e-14,0.0,0.0,2.117582368135751e-22,4.235164736271502e-22,4.235164736271502e-22,1.232595164407831e-32,0.0005789807374193668,1.4162083131265136e-18,3.659429563213229e-06,4.963083675318166e-24,0.0,1.6543612251060553e-24,0.0,0.0,6.617444900424222e-24,9.775809384652334e-12,6.836161896301228e-09,8.824392864024113e-12,1.2020087359115453e-07,5.293955920339377e-23,1.0587911840678754e-22,0.0,1.0587911840678754e-22,4.235164736271502e-22,1.6155871338926322e-27,1.1940198661425235e-26,1.799244756107864e-10,3.272372651046192e-18,2.2430146484651773e-10,7.405670735311499e-12,2.9416926864694694e-06,0.0,1.0097419586828951e-28,2.524354896707238e-29,0.0,0.0,6.162975822039155e-33,5.631987417181736e-17,7.005167297444139e-12,5.1091270789093756e-17,3.2434800370048274e-18,6.973958198848468e-09,1.4093382527717364e-12
5,6.485092020292917e-13,1.1877491024001653e-15,4.909326531578573e-07,5.311400984074143e-13,2.6906561318634194e-08,6.557495857983939e-16,2.0929824822672586e-07,7.562127363253945e-08,2.083263655716364e-07,2.701126454349539e-08,3.066325754285362e-13,2.202304723469904e-07,1.1723543737611368e-07,2.6864943451317307e-08,3.059249127877743e-13,1.3431373999165795e-07,6.469396036336962e-13,2.6516996852385213e-08,1.9095865497382555e-07,4.204846277722552e-07,1.0737294531761749e-07,4.2009447172212446e-07,1.9890872796140004e-07,1.3423690087996566e-15,4.6059512927882656e-07,8.117942786860367e-16,4.5630012148644556e-07,2.658791987187916e-08,1.1265880432563176e-07,1.285900215061162e-15,1.6543612251060553e-24,6.12113147432185e-23,0.0,0.0,9.860761315262648e-32,5.048709793414476e-29,7.222237291452134e-35,3.1554436208840472e-30,3.009265538105056e-36,3.009265538105056e-36,2.168404344971009e-19,0.0,4.733165431326071e-30,2.0194839173657902e-28,2.0194839173657902e-28,3.009265538105056e-36,5.293955920339377e-23,1.5777218104420236e-30,1.504632769052528e-36,6.310887241768095e-30,2.0194839173657902e-28,1.1890721305449773e-24,0.0,4.0389678347315804e-28,3.009265538105056e-36,1.5777218104420236e-30,6.47167391203892e-07,1.3234889800848443e-23,1.581229026380257e-18,3.8074030488924985e-05,1.2378645335709698e-18,6.617444900424222e-24,2.8093366360375284e-12,4.1758410285871275e-07,2.7713666106920802e-12,1.1399080224810935e-14,2.676712603734595e-20,2.7720928213059615e-15,7.678049598828304e-14,5.407231982757226e-21,5.978972889619737e-14,1.7188418220619434e-21,4.942344242704478e-21,4.112458159527776e-07,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,0.0,1.692027966820723e-07,1.0097419586828951e-28,0.0,0.0,0.0,0.0,1.4444474582904269e-34,0.0,0.0,1.7764139834896814e-18,7.889346447519479e-13,0.0,0.0,0.0,1.3234889800848443e-23,1.3234889800848443e-23,7.52316384526264e-37,3.807403049169855e-05,1.859837570516988e-18,6.28220814302236e-08,0.0,2.6469779601696886e-23,5.293955920339377e-23,2.6469779601696886e-23,2.6469779601696886e-23,0.0,1.9661107132825314e-12,4.175841028597405e-07,1.6454697278152427e-12,4.419230132362666e-07,0.0,0.0,1.6543612251060553e-24,2.481541837659083e-24,1.6543612251060553e-24,0.0,1.3958672836832342e-24,8.410149289273977e-14,4.196010537370898e-21,8.350785766357805e-14,5.430703372453304e-14,2.677973382562194e-08,1.5777218104420236e-30,0.0,0.0,3.1554436208840472e-30,1.5777218104420236e-30,0.0,5.403053734635933e-20,5.978972889619457e-14,5.856545536650118e-20,3.8823596170142913e-20,4.112458159527773e-07,2.2615596073045364e-14
6,1.483350625792235e-15,1.6323494272427904e-16,1.2729167892275404e-08,1.1953656844653893e-15,3.3512886632046245e-08,1.0424273698347833e-16,1.4419309503122103e-07,3.013346681539362e-08,1.8422808403556664e-07,3.3524783201654475e-08,7.106926946782248e-16,2.075182389725147e-07,1.1289239428412672e-07,3.327491394271271e-08,7.06167233808352e-16,1.4117750378303793e-07,1.4731109949197032e-15,3.246394886868154e-08,1.5619161884743165e-07,9.938120273003882e-09,9.41280985349283e-08,1.0088494060680694e-08,1.6935832012596404e-07,1.518706848519327e-16,1.1401487644753602e-08,7.398475092307928e-17,1.128241584127413e-08,3.2924947028866e-08,1.0349815349673002e-07,1.369414996501034e-16,1.6543612251060553e-24,1.571643163234455e-23,2.938735877055719e-39,0.0,6.162975822039155e-33,0.0,1.410593220986745e-37,0.0,1.88079096131566e-37,1.7632415262334313e-38,2.168404344971009e-19,0.0,4.733165431326071e-30,0.0,0.0,0.0,8.271806125530277e-25,4.733165431326071e-30,1.1754943508222875e-38,0.0,3.1554436208840472e-30,5.169878828456423e-25,0.0,3.1554436208840472e-30,2.350988701644575e-38,1.5777218104420236e-30,2.487759530469967e-07,1.3234889800848443e-23,3.042234525857334e-21,1.4338475398271094e-07,2.3943216835262933e-21,0.0,5.782909164113018e-14,3.782900765341646e-08,5.707015019423345e-14,1.1822489335036497e-14,7.746231889117398e-23,3.1519705738654497e-15,2.38886822855604e-15,5.157942127084848e-22,1.85870781908911e-15,1.7334664204239455e-22,1.393993818185719e-23,3.7599005800852376e-08,1.3234889800848443e-23,0.0,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,0.0,1.4391796860542503e-07,1.9721522630525295e-31,0.0,3.944304526105059e-31,0.0,0.0,9.4039548065783e-38,2.82118644197349e-37,0.0,3.418654120176228e-21,1.8142285684488208e-15,3.308722450212111e-24,1.3234889800848443e-23,0.0,0.0,0.0,0.0,9.934165975253252e-10,3.5837233416117366e-21,6.057155746660655e-08,8.271806125530277e-25,1.6543612251060553e-24,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,0.0,4.088975923357816e-14,3.782900765341652e-08,3.437457545858207e-14,1.0937666132476391e-08,3.308722450212111e-24,6.617444900424222e-24,4.963083675318166e-24,1.6543612251060553e-24,3.308722450212111e-24,1.4791141972893971e-31,4.911384887033602e-25,8.768926285381934e-14,1.1913084954287854e-23,8.732236788207527e-14,1.69728825791958e-15,3.3348765289597e-08,0.0,1.9721522630525295e-31,1.9721522630525295e-31,0.0,3.944304526105059e-31,0.0,5.229356392552269e-21,1.8587078190891096e-15,5.6811429921524514e-21,1.1291852133756526e-22,3.7599005800852324e-08,2.6328796899187713e-15
7,6.158808086776258e-08,2.0722659553686935e-08,2.8899677343507826e-08,6.145062124384426e-08,4.361507996199298e-08,2.076039190664533e-08,5.266599622018018e-08,9.608129781341473e-10,8.844256584191662e-08,4.344524535269034e-08,6.074467105651116e-08,1.0163741207584219e-07,5.889881772178911e-08,4.319062214702905e-08,6.069323663520907e-08,7.345367859020802e-08,6.060002906843367e-08,4.082128432125337e-08,7.182950173707349e-08,2.0765989563248113e-08,4.6715733655318584e-08,2.155120191239577e-08,8.241763396764358e-08,1.8888772655207796e-08,2.466358561275009e-08,2.012869418482402e-08,2.4381800079139514e-08,4.266215764139357e-08,5.425021027588036e-08,1.9432085355814634e-08,1.6543612251060553e-24,1.3234889800848443e-23,0.0,2.9582283945787943e-31,1.6543612251060553e-24,6.617444900424222e-24,6.310887241768095e-30,1.5777218104420236e-30,4.930380657631324e-31,2.3665827156630354e-30,0.0,3.1554436208840472e-30,1.5777218104420236e-30,0.0,6.310887241768095e-30,1.262177448353619e-29,0.0,0.0,1.5777218104420236e-30,1.5777218104420236e-30,0.0,3.580140934631677e-24,6.617444900424222e-24,0.0,5.9164567891575885e-31,0.0,5.808532478677835e-07,0.0,5.514790341593936e-16,0.0003749081433458895,2.5253912184427795e-15,6.617444900424222e-24,5.155123012333324e-14,8.990977872822255e-08,4.8384300271216425e-14,2.3711184484999298e-14,1.3289445938653899e-14,1.344698406554872e-14,6.180023387125265e-16,2.79193314235181e-14,2.020142184354849e-15,1.7096341980947406e-14,4.162216301003778e-15,9.404084962369102e-08,0.0,3.308722450212111e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,2.168404344971009e-19,6.06110381055373e-08,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.262177448353619e-29,0.0,1.5777218104420236e-30,8.335991828786694e-14,2.091946833625106e-07,1.6543612251060553e-24,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.00037504425993644937,9.104047134223845e-14,2.2646865251166545e-08,1.0339757656912846e-24,8.271806125530277e-25,6.203854594147708e-25,6.203854594147708e-25,6.203854594147708e-25,1.3234889800848443e-23,4.44102115622481e-14,8.990976746119371e-08,3.862682161024646e-14,2.808724170317988e-09,1.9852334701272664e-23,6.617444900424222e-24,6.617444900424222e-24,1.9852334701272664e-23,0.0,8.874685183736383e-31,3.554291854801162e-24,4.175670386876172e-14,1.3189541097393036e-14,5.538031683479429e-14,9.821706701785372e-15,1.599405903347004e-07,1.3234889800848443e-23,1.3234889800848443e-23,2.6469779601696886e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.262177448353619e-29,8.343849926857394e-14,9.749473937489122e-16,7.76602668766749e-14,1.0266514749935597e-14,9.404085020179849e-08,1.2565134664355067e-07
8,1.0209521451642905e-07,1.1312822609895976e-07,5.366361231419709e-08,1.0102883478868713e-07,2.9510488693087595e-07,1.1314646347603958e-07,8.810815586650818e-08,3.75450635180777e-08,8.333810186879184e-08,2.9298896447541003e-07,9.670784280538739e-08,7.978045080156255e-08,5.146874669100329e-08,2.921058273920135e-07,9.684910514333161e-08,4.703162416320921e-08,1.0153807899484902e-07,2.947054074772914e-07,7.108313672999563e-08,4.1550712710905965e-08,4.1621004651584244e-08,4.6058592394076485e-08,7.972354367172046e-08,1.02803787665715e-07,5.731650199526333e-08,1.0933702196685771e-07,5.651809985064515e-08,2.835512478183117e-07,5.074405899743634e-08,1.0508211200151089e-07,0.0,1.9852334701272664e-23,0.0,1.8341016046388524e-29,1.3234889800848443e-23,6.617444900424222e-24,3.1554436208840472e-30,2.8398992587956425e-29,0.0,7.888609052210118e-31,5.421010862427522e-19,3.1554436208840472e-30,1.5777218104420236e-29,1.262177448353619e-29,2.524354896707238e-29,7.888609052210118e-31,6.617444900424222e-24,3.155443620884047e-29,7.888609052210118e-31,0.0,2.524354896707238e-29,4.948031420385644e-27,1.0339757656912846e-25,1.262177448353619e-29,2.3789086673071137e-30,1.5777218104420236e-30,3.6422768730190774e-07,1.3234889800848443e-23,7.580829864083778e-14,5.009795231027369e-06,8.930562985357197e-14,6.617444900424222e-24,4.2867606069078025e-14,5.648256032293913e-09,1.3490554814887433e-13,1.972047428405122e-13,7.169722787270453e-15,2.893244342497988e-13,2.387795613576434e-13,9.895981106249705e-15,1.6969233887061676e-13,3.749888188708493e-14,5.399170342440543e-14,1.6428415472968107e-10,8.271806125530277e-24,8.271806125530277e-24,3.308722450212111e-24,4.963083675318166e-24,4.963083675318166e-24,3.7947076036992655e-19,1.5655820094518322e-08,0.0,2.6469779601696886e-23,0.0,2.6469779601696886e-23,2.6469779601696886e-23,6.310887241768095e-30,0.0,0.0,4.220536428242021e-14,1.572218375921189e-07,0.0,4.963083675318166e-24,3.308722450212111e-24,2.481541837659083e-24,4.1359030627651384e-24,1.262177448353619e-29,6.653194622700459e-05,4.447072636378953e-14,7.817771340685301e-09,0.0,0.0,2.6469779601696886e-23,3.970466940254533e-23,3.970466940254533e-23,1.0339757656912846e-25,9.135696232003835e-14,5.6483053100954135e-09,1.8822480183454405e-13,1.3712828091014693e-07,3.970466940254533e-23,2.6469779601696886e-23,2.6469779601696886e-23,1.3234889800848443e-23,0.0,1.262177448353619e-29,4.94744593768255e-27,5.772250579134828e-14,1.0373007198436666e-14,1.705733435178605e-14,5.418612659530582e-14,3.3359773838703346e-07,8.271806125530277e-25,3.308722450212111e-24,1.6543612251060553e-24,8.271806125530277e-25,1.6543612251060553e-24,6.7053176943786e-30,7.994229218256745e-16,1.6420466129175924e-13,9.484622646657115e-15,2.398794206394612e-14,1.6429127138243804e-10,1.2937199202301363e-08
9,6.327962191449128e-08,7.445952274640065e-09,1.2807263675606397e-08,6.388783234533721e-08,1.034067440274706e-07,7.133556724189888e-09,1.3687243068543887e-07,6.916916184639026e-08,1.322928489318266e-07,1.0469661597755488e-07,6.254656559685051e-08,1.348069376878668e-07,6.00918892092417e-08,1.0511107397033217e-07,6.158251847399151e-08,6.544859525272054e-08,6.434505453091278e-08,9.799436175492368e-08,1.2294572960195724e-07,9.407881667470567e-09,4.282496276109864e-08,9.782974844494393e-09,1.3994042112641195e-07,2.0791274296508665e-09,1.3526360123834186e-08,5.551674053720096e-09,1.3229406721689233e-08,1.004489450654309e-07,5.922138178634156e-08,5.1842511039016605e-09,3.308722450212111e-24,4.508134338414001e-23,3.944304526105059e-31,9.860761315262648e-32,4.1359030627651384e-25,6.617444900424222e-24,6.310887241768095e-30,2.3665827156630354e-30,1.262177448353619e-29,3.944304526105059e-31,1.5287250632045613e-17,2.524354896707238e-29,6.310887241768095e-30,7.888609052210118e-31,1.5777218104420236e-30,1.262177448353619e-29,2.481541837659083e-24,6.310887241768095e-30,3.944304526105059e-31,1.9721522630525295e-31,3.1554436208840472e-30,3.6476897442540476e-27,8.271806125530277e-25,0.0,1.9721522630525295e-31,9.466330862652142e-30,1.2098017747243148e-07,3.970466940254533e-23,5.989776471833155e-14,0.00012348635586849018,4.9624964480646055e-14,6.617444900424222e-24,2.5972532498588163e-14,1.128218975568118e-10,2.7918256378422762e-14,4.1370277420719475e-14,6.674202927428117e-15,2.2735372981589905e-14,9.005980807131297e-16,2.088106001140484e-14,3.4062279358886882e-15,2.1363987969512853e-15,5.24422014950101e-16,8.49752477593806e-09,6.617444900424222e-24,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,1.5287250632045613e-17,7.732425909822466e-08,6.617444900424222e-24,1.9852334701272664e-23,0.0,1.9852334701272664e-23,1.9852334701272664e-23,0.0,6.310887241768095e-30,2.9582283945787943e-31,2.067035226220243e-15,1.0612382116333897e-07,1.3234889800848443e-23,1.6543612251060553e-23,6.617444900424222e-24,1.6543612251060553e-23,1.6543612251060553e-23,1.5777218104420236e-30,0.00010384212150898575,2.9603024037187557e-15,4.6529926742456264e-08,1.2407709188295415e-24,8.271806125530277e-25,1.6543612251060553e-24,2.481541837659083e-24,2.481541837659083e-24,0.0,2.513482643721983e-14,1.128203562533166e-10,2.681253159627383e-14,9.504125764584458e-09,0.0,1.6543612251060553e-24,8.271806125530277e-25,1.6543612251060553e-24,0.0,7.395570986446986e-31,2.8398992587956425e-27,4.261290120790295e-14,8.143783154674721e-15,8.532290367889036e-14,1.350962457194334e-15,1.4025477302903548e-08,1.3234889800848443e-23,1.9852334701272664e-23,6.617444900424222e-24,6.617444900424222e-24,1.9852334701272664e-23,1.8932661725304283e-29,5.0436432663896045e-14,5.049091069871678e-15,7.409774348307746e-14,1.369708693776396e-15,8.497526342675127e-09,7.97202097276015e-08
