,Y4Z3,Y3Z4,Y4Z0,Y0Z4,Y4Z1,Y1Z4,Y3Z2,Y2Z3,Y4Z2,Y2Z4,Y5Z3,Y3Z5,Y5Z4,Y4Z5,Y5Z0,Y0Z5,Y2Z5,Y5Z2,Y0Z2,Y2Z0,Y1Z5,Y5Z1,Y3Z0,Y0Z3,Y0Z1,Y1Z0,Y2Z1,Y1Z2,Y3Z1,Y1Z3,standard_y,X2Y4,Y4,X3Y2,X2Y5,X1Y4,X0Y1,Y2,X5Y2,X4Y5,X3Y5,X0Y3,Y0,X5Y0,Y5,X5Y1,X4Y0,X3Y0,X1Y3,X1Y2,Y3,X5Y3,X4Y1,X3Y1,X2Y3,X4Y3,X1Y0,X0Y2,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y1,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8557982138654457,0.8557982138654456,0.7521114614185342,0.752111461418534,0.7359343862230145,0.7359343862230144,0.7337448898359851,0.733744889835985,0.6304437186278284,0.6304437186278284,0.6025572291460339,0.6025572291460339,0.5733566684364415,0.5733566684364415,0.5112851098756519,0.5112851098756519,0.5042791382906526,0.5042791382906525,0.41324281642825944,0.41324281642825933,0.15434974770859614,0.1543497477085961,0.11050473394613869,0.11050473394613868,0.06688397634275173,0.0668839763427517,0.04967399448053067,0.04967399448053067,0.044807484435657095,0.044807484435657075,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8.799485739189092e-05,8.828183402760428e-05,7.733358134904465e-05,0.6419659443924488,7.567022262524223e-05,0.6912725571450922,7.569114253057761e-05,0.10535054993416673,6.482346447499296e-05,0.10091599213012337,0.0310643669844288,6.215817751632619e-05,0.027241832388366215,5.895366157154288e-05,0.5112851098756518,0.5112851098756519,0.5042791382906524,0.5042791382906524,0.41324281642825933,0.4132428164282592,0.1543497477085961,0.15434974770859608,1.1399370112533815e-05,0.6391618443161726,0.0668839763427517,0.06688397634275167,0.049673994480530656,0.049673994480530656,4.622219163412611e-06,0.6887346053296379,6.244750403632329e-17,1.3552527156068805e-20,6.776263578034403e-21,1.6940658945086007e-21,1.3877787807814457e-17,0.0,1.8431436932253575e-18,4.163336342344337e-17,2.7755575615628914e-17,0.0,1.6940658945086007e-21,0.0,5.551115123125783e-17,6.938893903907228e-18,2.7755575615628914e-17,1.734723475976807e-17,2.964615315390051e-21,0.0,1.6940658945086007e-21,0.0,4.235164736271502e-21,1.6940658945086007e-21,2.117582368135751e-22,0.0,0.0,1.1102230246251565e-16,7.359022245745361e-18,1.734723475976807e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0408340855860843e-17,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0
2,1.7618008919575828e-09,6.596288701293266e-06,1.5483447173765884e-09,0.5752993885091482,1.5150415565996418e-09,0.00017499635142073877,5.966928879102827e-06,0.15470211515725768,1.2978717270171299e-09,0.15042851425850018,0.18441225220329793,4.900090183534142e-06,0.18108983554788124,1.1803486774045958e-09,0.511285109875652,0.5112851098756521,0.5042791382906526,0.5042791382906526,0.41324281642825944,0.41324281642825933,3.90737957434553e-05,0.18150302770837246,8.98641881387659e-07,0.5727120051053638,0.5729951162964233,1.6931746691680713e-05,0.15026194088822442,1.2575022265395549e-05,6.572480863758823e-06,0.000174353867376985,6.938724497317778e-17,0.0,0.0,0.0,2.7755575615628914e-17,4.235164736271502e-22,1.6543612251060553e-24,5.551115123125783e-17,0.0,0.0,2.117582368135751e-22,0.0,0.0,5.551115123125783e-17,1.3877787807814457e-17,5.929230630780102e-21,3.877409121342317e-26,0.0,6.462348535570529e-26,6.776263578034403e-21,0.0,0.0,2.117582368135751e-22,6.462348535570529e-27,4.235164736271502e-22,0.0,1.1795595535006175e-21,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0328790734103208e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0
3,3.287332308051289e-16,2.9282536442437174e-07,2.8890458828625597e-16,0.00037378264211327793,2.8269057416303836e-16,8.811357080205999e-07,3.0650771318470673e-07,0.5652625663184532,2.4216900328086573e-16,0.5623279216307141,0.6923786058132724,2.517066093772018e-07,0.6907128141300353,2.2024045734312113e-16,0.6917862456155894,0.00033219138378225534,0.5042791382906524,0.5042791382906526,0.0002684914940330775,0.5631823043891999,2.177421786926168e-07,0.689469377281505,2.9157377569568287e-07,0.00037210157132583767,0.00037228552868170527,8.776587535425761e-07,0.5608223937446091,7.007542249421762e-08,2.9175198931141734e-07,8.77861126091511e-07,1.1099517093842391e-16,2.465190328815662e-32,0.0,0.0,0.0,2.5849394142282115e-26,4.613258573732477e-27,1.6653345369377348e-16,5.551115123125783e-17,6.162975822039155e-33,6.617444900424222e-24,0.0,2.710505431213761e-20,0.0,5.551115123125783e-17,0.0,0.0,0.0,2.524354896707238e-29,2.6469779601696886e-23,0.0,2.6469779601696886e-23,6.462348535570529e-27,5.048709793414476e-29,5.293955920339377e-23,5.169878828456423e-26,1.8307883888369242e-26,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0588085132779723e-20,8.172120075393699e-12,2.8010094554885194e-20,6.677912810486166e-05,2.740762879137574e-20,9.884764174213392e-09,8.553965002195683e-12,0.06262278345744456,2.3478951028067337e-20,0.06132206408569406,0.0001697664534829025,7.024585140330158e-12,0.00016935801301257045,1.0415067292175988e-20,0.00016962119397074198,6.670944089583053e-05,0.0591460052972733,0.0001236457437174515,2.547481354445482e-05,0.06380500630258659,9.842297214438428e-09,0.0001690531308445301,8.137193205253724e-12,6.672175048257718e-05,6.653528755169445e-05,9.847115760312638e-09,0.06144514957283199,6.311630143108233e-10,8.142164506632098e-12,9.861624783082785e-09,6.776262770240833e-21,3.009265538105056e-36,3.009265538105056e-36,4.0389678347315804e-28,1.3552527156068805e-20,0.0,1.3268224906431917e-29,0.0,1.3552527156068805e-20,2.7550648847397363e-40,3.308722450212111e-24,4.930380657631324e-32,6.776263578034403e-21,0.0,0.0,1.0097419586828951e-28,2.465190328815662e-32,0.0,1.2037062152420224e-35,1.9387045606711586e-26,8.077935669463161e-28,3.308722450212111e-24,1.0097419586828951e-28,6.018531076210112e-36,8.077935669463161e-28,2.465190328815662e-32,1.3941698533859829e-29,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.346839692639297e-40,0.0,0.0,0.0,0.0,0.0,0.0,7.52316384526264e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048709793414476e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0
5,2.946524871234073e-21,6.049927940592119e-12,1.2812499700737416e-21,1.1431166427523732e-07,7.66292609470194e-21,1.030808334102357e-08,6.04778123514819e-12,0.00010780649743970555,1.2351200317316294e-21,0.00010556895037800327,6.109239941050645e-05,2.5058459368088243e-12,6.005466260330819e-05,2.898845790662698e-21,5.987718578853153e-05,1.1419170701231304e-07,0.00010185464112050241,5.8654385846764585e-05,4.3166966908322055e-08,0.00010983138708995651,1.0262365580007485e-08,6.01765986104735e-05,6.0472847395643564e-12,1.1421290935466583e-07,1.1389490564835993e-07,1.0273180305805966e-08,0.00010578087676126928,1.0243766479912229e-08,6.0290588996692654e-12,1.0283354837567811e-08,1.3538879483755247e-20,1.4693679385278594e-39,7.52316384526264e-37,1.9721522630525295e-31,2.6469779601696886e-23,9.466330862652142e-30,9.750467031313694e-33,1.3552527156068805e-20,2.6469779601696886e-23,4.591774807899561e-41,0.0,0.0,1.3234889800848443e-23,0.0,0.0,1.0097419586828951e-28,0.0,0.0,6.018531076210112e-36,3.7865323450608567e-29,8.077935669463161e-28,0.0,3.1554436208840472e-30,3.009265538105056e-36,0.0,1.232595164407831e-32,9.01270326685061e-33,3.3881317890172014e-21,2.4399985053725525e-06,4.1449394135148e-25,1.4022205663760146e-09,2.5271479210634853e-17,4.270182401265885e-08,1.4790245637398208e-24,6.20906796335935e-16,1.8841067803836314e-14,1.4066441422299817e-14,1.221655909139533e-20,3.724266608706389e-14,4.1359030627651384e-25,7.023160016939697e-13,2.7922977940579986e-20,1.048075464309888e-19,3.3095620318799678e-06,2.6182224308271565e-16,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,1.2710030920425261e-06,4.70197740328915e-38,4.70197740328915e-38,0.0,9.4039548065783e-38,4.70197740328915e-38,5.510129769479473e-40,5.519777610916154e-25,6.706537719300375e-22,0.0,1.0097419586828951e-28,0.0,1.0097419586828951e-28,1.0097419586828951e-28,1.232595164407831e-32,1.4022207965189183e-09,2.5271479210634856e-17,1.031240131698541e-12,2.6469779601696886e-23,2.117582368135751e-22,1.0587911840678754e-22,0.0,0.0,0.0,6.776263578034403e-21,4.3613728755235515e-08,2.5370914116610136e-24,8.377919209024888e-16,1.1841381843391709e-06,2.5849394142282115e-26,7.754818242684634e-26,2.5849394142282115e-26,2.5849394142282115e-26,2.5849394142282115e-26,2.524354896707238e-29,1.817713256576828e-13,1.4066441422299819e-14,1.6388567182503888e-20,1.3089893257659635e-12,8.550576829905654e-10,0.0,0.0,8.271806125530277e-25,1.6543612251060553e-24,8.271806125530277e-25,8.077935669463161e-28,1.2037062152420224e-35,2.6615820072075034e-12,2.79229780376486e-20,1.106081918948016e-19,3.309580866312393e-06,2.919733235092199e-16,1.428874456628618e-08
6,5.2530850109567755e-22,3.0377833367795565e-14,2.2810850005232997e-22,4.715918946195732e-12,1.293562590898388e-21,1.0870812200474348e-07,3.029870642589064e-14,1.6162844420258485e-09,1.9685546287573334e-22,1.9956842899652557e-09,1.4576658152819058e-07,1.2927971540452299e-14,1.2475893991122156e-07,4.533793249838363e-22,1.3637127395539716e-07,4.6928842558459484e-12,1.1296039969248357e-08,1.2558475537630776e-07,2.3168081033018956e-12,1.840442927353139e-08,1.0606090542292135e-07,1.3726280233290968e-07,3.028598176233938e-14,4.628273885837291e-12,4.658654652367579e-12,1.0724984776008384e-07,1.2069862315399149e-08,1.0603069582428299e-07,3.0089892648406766e-14,1.0619888903052656e-07,3.1554438089631434e-30,3.587324068671532e-43,1.88079096131566e-37,0.0,0.0,4.930380657631324e-32,6.042040963226558e-36,3.308722450212111e-24,2.0194839173657902e-28,1.1210387714598537e-44,0.0,0.0,0.0,0.0,0.0,0.0,1.504632769052528e-36,1.1479437019748901e-41,1.88079096131566e-37,1.9721522630525295e-31,3.1554436208840472e-30,3.308722450212111e-24,9.860761315262648e-32,0.0,1.504632769052528e-36,0.0,1.8267182211778348e-35,0.0,6.297193882719748e-07,2.8849818416840036e-30,9.355112885937128e-12,4.177579477903872e-24,4.034415160486697e-11,1.0103044695517001e-25,5.461804062211726e-19,1.810515681596887e-16,3.279981255052571e-17,2.600073639257042e-24,8.293763659080663e-14,3.308722450212111e-24,1.1655144144575098e-17,4.8483587545927543e-20,1.0963256946355823e-24,1.003502141502886e-10,1.8606020610451558e-18,6.462348535570529e-27,5.169878828456423e-26,5.169878828456423e-26,0.0,0.0,0.0,1.5122074103176607e-09,0.0,0.0,0.0,3.6734198463196485e-40,3.6734198463196485e-40,0.0,3.1515907279301657e-30,6.1577049734610246e-24,1.1555579666323415e-33,3.851859888774472e-34,1.5407439555097887e-33,1.5407439555097887e-33,1.5407439555097887e-33,0.0,9.355112885916161e-12,4.177579477903975e-24,2.0581765489560264e-17,0.0,5.293955920339377e-23,5.293955920339377e-23,0.0,2.6469779601696886e-23,1.5777218104420236e-30,5.293955920339377e-23,3.993751160074721e-11,1.0519861317912343e-25,4.151645335547627e-19,6.311460286271811e-07,0.0,6.462348535570529e-27,6.462348535570529e-27,0.0,6.462348535570529e-27,1.3805065841367707e-30,2.589951253057574e-16,3.27998125505262e-17,4.439115389560646e-24,3.90809167551222e-13,6.506623548815206e-11,0.0,1.6155871338926322e-27,1.6155871338926322e-27,1.6155871338926322e-27,1.6155871338926322e-27,4.81482486096809e-35,1.504632769052528e-36,8.838432819456814e-18,4.8483587545891275e-20,1.0835390315345171e-24,1.0035004365942115e-10,3.1121175289792627e-18,2.050079904145129e-11
7,6.000398263285815e-24,7.19720004677055e-15,2.5613554981100547e-24,1.8823782203031827e-13,1.4185430182720152e-23,3.054175413637089e-08,7.161376703693935e-15,2.005779873102902e-08,2.061281421197418e-24,6.041113181888319e-09,2.457015815281964e-08,3.036591268521772e-15,1.8405549613815483e-08,4.5603410108883e-24,2.2065629903495354e-08,1.8674235906838799e-13,4.77543512790829e-08,1.95381878358827e-08,1.272368394571362e-13,2.514326080223465e-10,2.9198677515493838e-08,2.2241154145698498e-08,7.156064786347706e-15,1.823299412462753e-13,1.850791794902536e-13,2.9823934256740585e-08,1.7015853053284594e-08,2.9317244188390373e-08,7.085209508041258e-15,2.921284933673908e-08,1.654361225106057e-24,0.0,1.4693679385278594e-39,0.0,1.0097419586828951e-28,3.0814879110195774e-33,5.106053586384311e-38,1.6543612251060553e-24,1.0097419586828951e-28,4.3790577010150533e-47,3.308722450212111e-24,0.0,0.0,7.52316384526264e-37,0.0,9.860761315262648e-32,0.0,0.0,0.0,7.888609052210118e-31,0.0,0.0,6.162975822039155e-33,5.877471754111438e-39,0.0,2.938735877055719e-39,3.500769113542625e-37,8.271806125530277e-25,6.130919827203347e-09,2.7847592305862294e-31,4.454527086495362e-09,4.864103879159716e-24,5.6269126614596946e-12,9.479610992209821e-28,1.5991620809546576e-19,1.6044143866780744e-18,1.2246545642330952e-17,4.3654725842803326e-23,2.0822782071809397e-13,0.0,4.152991718029825e-20,1.8718875663350645e-20,5.75841800284293e-27,5.984822149042272e-10,1.1938766552709168e-20,2.5849394142282115e-26,1.0339757656912846e-25,0.0,1.0339757656912846e-25,1.0339757656912846e-25,0.0,1.1538668438236654e-09,4.591774807899561e-41,0.0,0.0,1.8367099231598242e-40,2.2958874039497803e-40,2.2420775429197073e-44,3.6844945552012918e-31,1.4336986647226595e-24,1.4791141972893971e-31,0.0,1.9721522630525295e-31,9.860761315262648e-32,2.9582283945787943e-31,2.938735877055719e-39,4.454527086495461e-09,4.864103879159729e-24,1.23354314317631e-15,1.3234889800848443e-23,6.617444900424222e-24,2.6469779601696886e-23,1.9852334701272664e-23,0.0,1.5777218104420236e-30,1.6543612251060553e-24,5.679980620189845e-12,1.0467840006708397e-27,9.325685006112449e-20,2.43896354100634e-09,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,2.0679515313825692e-25,1.8488927466117464e-32,2.1868852988867802e-16,1.2246545642330958e-17,5.878107015590062e-23,1.1663584801454042e-13,2.5376235079480746e-09,2.524354896707238e-29,5.048709793414476e-29,0.0,0.0,5.048709793414476e-29,3.291384182302405e-37,0.0,3.0459635699445686e-20,1.871887566335064e-20,5.8318276547793576e-27,5.984821932127994e-10,1.9609739710454287e-20,4.647008821223366e-13
8,4.558668544374222e-24,4.470158290896604e-15,1.940197504262624e-24,2.494788273044326e-13,1.0478012873431901e-23,3.2540187590175793e-08,4.436652504827943e-15,3.737507416375193e-08,1.4071611019711358e-24,1.1344884574355379e-08,2.4275249780883367e-08,1.8071705976001483e-15,1.6065401727050006e-08,3.0616232823966846e-24,2.105836847571742e-08,2.466265452293428e-13,7.088560071303384e-08,1.7605959981441428e-08,1.882017975003896e-13,2.0292254639698455e-08,3.047326577106187e-08,2.1247705820747028e-08,4.43035313247052e-15,2.3865228746186306e-13,2.4424190997778664e-13,3.144011093678748e-08,4.6885358917250405e-08,3.064229685588891e-08,4.371556327315187e-15,3.0463705453827815e-08,3.3086972066631436e-24,4.484155085839415e-44,0.0,7.52316384526264e-37,0.0,1.5407439555097887e-33,4.261167021730792e-38,0.0,2.0194839173657902e-28,2.1895288505075267e-47,1.6543612251060553e-24,1.793662034335766e-43,2.524354896707238e-29,7.52316384526264e-37,0.0,9.860761315262648e-32,0.0,1.793662034335766e-43,5.877471754111438e-39,3.1554436208840472e-30,0.0,1.6543612251060553e-24,1.5407439555097887e-33,0.0,7.52316384526264e-37,2.938735877055719e-39,2.571393892423754e-38,2.481541837659083e-24,1.8763066237601786e-08,3.7405540683536135e-31,6.025137850630644e-09,9.640653361269639e-24,4.994366844200949e-12,6.416235361816673e-28,1.0254707195317686e-19,1.1296565861703887e-18,1.6804103474989262e-17,5.87189353324452e-23,2.1621192229749812e-13,3.308722450212111e-24,3.7079521421039525e-20,1.4673336641101503e-20,2.8871786949422652e-27,1.1699482723720318e-09,1.0352137617674085e-20,1.0339757656912846e-25,0.0,0.0,2.0679515313825692e-25,2.0679515313825692e-25,8.758115402030107e-47,2.14807382323475e-09,9.183549615799121e-41,0.0,0.0,0.0,9.183549615799121e-41,2.2420775429197073e-44,4.9909049041099054e-31,2.131790237884211e-24,0.0,9.860761315262648e-32,0.0,0.0,0.0,0.0,6.025137850630758e-09,9.640653361269649e-24,1.5735852024963309e-15,0.0,1.3234889800848443e-23,0.0,2.6469779601696886e-23,0.0,1.5777218104420236e-30,0.0,5.042195341574144e-12,7.130555295829127e-28,6.090035016455084e-20,1.5522634376993065e-08,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,4.1359030627651384e-25,4.1359030627651384e-25,6.162975822039155e-32,4.325584370962358e-16,1.6804103474989272e-17,7.983585761055149e-23,1.230802929549448e-13,5.388932989538082e-09,2.524354896707238e-29,0.0,2.524354896707238e-29,5.048709793414476e-29,2.524354896707238e-29,1.88079096131566e-37,1.88079096131566e-37,2.6386224695233616e-20,1.4673336641101497e-20,2.931490665119412e-27,1.1699482345124736e-09,1.837954212908026e-20,4.2887927980949937e-13
9,3.870316033196235e-24,1.05531656068275e-15,1.6383626642986884e-24,3.0579011582073804e-13,8.755638570636718e-24,2.679815989336474e-08,1.0442855079666012e-15,1.2904907394143342e-08,1.0739462797035251e-24,2.0514073008658934e-08,6.349978752088047e-09,3.8976972830897634e-16,3.745037697956298e-09,2.3049841524032825e-24,5.345142011475711e-09,3.009216554991559e-13,4.356461017406695e-08,4.233366087241222e-09,2.3965706145276787e-13,5.433067649105375e-09,2.4569008407534758e-08,5.39769646764339e-09,1.0416371277475803e-15,2.8879258533864764e-13,2.979931457958814e-13,2.5606555926328803e-08,4.0512613405372643e-08,2.4743171865837724e-08,1.024375938803153e-15,2.4544491533030034e-08,2.89513224254321e-24,2.2420775429197073e-44,0.0,1.88079096131566e-37,5.048709793414476e-29,4.622231866529366e-33,4.995850990994722e-38,3.308722450212111e-24,0.0,1.3684555315672042e-48,0.0,0.0,0.0,0.0,4.1359030627651384e-25,4.930380657631324e-32,1.88079096131566e-37,8.96831017167883e-44,0.0,3.1554436208840472e-30,9.860761315262648e-32,1.6543612251060553e-24,0.0,3.6734198463196485e-40,0.0,7.346839692639297e-40,4.555040609436364e-38,4.1359030627651384e-25,1.3174690533520064e-08,1.1339839404346664e-31,8.960289213343004e-09,2.9600464953933165e-24,1.1580559402956191e-12,4.653524221985022e-28,2.5436740542241194e-20,1.627182665819409e-19,2.625486778220357e-17,1.762621793987961e-23,1.6825847791032074e-13,8.271806125530277e-25,8.734210397699636e-21,1.3069330788385313e-20,4.4463982920346355e-28,1.7146715837451759e-09,5.908417058935422e-21,2.5849394142282115e-26,0.0,0.0,0.0,0.0,1.0947644252537633e-47,8.524864889981636e-10,0.0,0.0,2.7550648847397363e-40,0.0,0.0,6.726232628759122e-44,1.5327579775806232e-31,2.7503431316022345e-24,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,0.0,0.0,3.6734198463196485e-40,8.960289213343017e-09,2.9600464953933194e-24,5.85986387896265e-16,0.0,0.0,5.293955920339377e-23,2.6469779601696886e-23,0.0,7.888609052210118e-31,0.0,1.1688112180599765e-12,5.221354693041085e-28,1.5886712982981102e-20,1.9002532811091233e-08,4.1359030627651384e-25,0.0,4.1359030627651384e-25,6.203854594147708e-25,0.0,9.244463733058732e-33,1.353645608639878e-16,2.6254867782203578e-17,2.4384306414893972e-23,1.0396697674950735e-13,6.6799426409579365e-09,2.524354896707238e-29,0.0,5.048709793414476e-29,0.0,0.0,0.0,9.4039548065783e-38,5.953015775325583e-21,1.306933078838531e-20,4.547354845243596e-28,1.7146715308983796e-09,1.2437157733869527e-20,3.8553962501164553e-13
