,Y5Z2,Y2Z5,Y2Z0,Y0Z2,Y5Z4,Y4Z5,Y2Z1,Y1Z2,Y4Z3,Y3Z4,Y3Z1,Y1Z3,Y5Z1,Y1Z5,Y5Z0,Y0Z5,Y5Z3,Y3Z5,Y1Z0,Y0Z1,Y3Z0,Y0Z3,Y3Z2,Y2Z3,Y4Z1,Y1Z4,Y4Z0,Y0Z4,Y4Z2,Y2Z4,standard_y,X1Y5,Y5,Y3,X5Y3,X5Y0,X4Y5,X4Y3,X2Y3,X2Y0,X1Y2,X0Y3,X0Y2,X0Y4,X4Y1,X3Y5,X3Y0,X0Y5,X5Y4,X2Y4,X1Y4,X3Y1,X2Y1,X1Y3,X1Y0,Y4,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y2,X5Y1,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3Y2,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9796207979853099,0.9796207979853099,0.8311602774491932,0.8311602774491931,0.7759995593130693,0.7759995593130693,0.728181383141638,0.7281813831416379,0.7048751023416617,0.7048751023416615,0.6784899127202755,0.6784899127202754,0.49701684646407485,0.4970168464640748,0.4733305296443464,0.4733305296443464,0.36096984151020983,0.36096984151020983,0.35639820676272216,0.35639820676272216,0.3523786471647909,0.35237864716479084,0.19592491833566011,0.19592491833566,0.06465340992924462,0.06465340992924462,0.05872481295432743,0.058724812954327285,0.03453679871361848,0.03453679871361843,1.0408340855860843e-16,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0021777390380080305,0.0021848412737648978,0.00185373083444081,0.35936957073752374,0.0017250802935876832,0.7415751145494914,0.0016240577414720412,0.23278141513813344,0.7048751023416615,0.7048751023416617,0.6784899127202753,0.6784899127202753,0.0011048897607303456,0.22879564153413645,0.001052234062820467,0.35512584519178636,0.0008024514353074642,0.16568229951822827,0.35639820676272216,0.35639820676272205,0.35237864716479084,0.35237864716479084,0.16387062824711301,0.0004369699469622592,0.0646534099292446,0.06465340992924459,0.05872481295432733,0.05872481295432725,0.738938304976283,7.702717566675791e-05,8.337514706413529e-17,0.0,2.168404344971009e-19,5.551115123125783e-17,1.0842021724855044e-19,5.421010862427522e-20,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,1.0842021724855044e-19,6.938893903907228e-18,1.3877787807814457e-17,1.0842021724855044e-19,0.0,0.0,0.0,0.0,1.214306433183765e-17,2.7755575615628914e-17,8.131516293641283e-20,1.3877787807814457e-17,5.692061405548898e-19,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56396163381034e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,5.805528429364216e-09,0.0004893480278940216,0.00043030919246384556,0.4177120942379952,4.5988075304658265e-09,8.488735759033076e-06,0.0003769948485850713,0.2970139978865707,8.068635291417859e-06,0.5397318422156153,0.6784899127202756,0.6784899127202756,2.9454717967849693e-09,0.29324059134666985,2.805099536451e-09,0.41366171157538556,2.1392161960351476e-09,0.5369019337717085,0.35639820676272227,0.35639820676272227,0.35237864716479084,0.35237864716479095,0.53642832488463,0.00010143445936962058,7.400811623684674e-07,0.29270701071816657,6.722171015986992e-07,0.41269819815098807,8.458574223015565e-06,0.00048764125202361544,1.1104977809374222e-16,2.0679515313825692e-25,0.0,1.1102230246251565e-16,0.0,4.1359030627651384e-25,0.0,8.470329472543003e-22,0.0,1.3552527156068805e-20,1.3552527156068805e-20,5.551115123125783e-17,0.0,2.117582368135751e-22,4.235164736271502e-22,2.0679515313825692e-25,2.7755575615628914e-17,0.0,0.0,2.0679515313825692e-25,2.117582368135751e-22,4.163336342344337e-17,1.3552527156068805e-20,2.7755575615628914e-17,9.334422192750597e-18,3.705769144237564e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0740920401666363e-17,0.0,0.0,0.0,0.0,0.0,0.0
3,1.856721158948035e-11,0.00013436396636878765,0.00011815322953963726,0.4177120430099803,1.4707882926053197e-11,9.887419711268295e-08,7.575340592955267e-05,0.0010743310616570783,8.53888348283145e-08,0.0019459214168355465,0.0024461925164049507,0.002454170256462402,2.6008471871518775e-12,0.0010606827669984611,8.97125511853417e-12,0.4136618142365155,2.547879049657677e-12,0.0019357186114652176,0.0012891302613281615,0.005167330067123387,0.001270447789237491,0.0028586965879657603,0.0019340111513000365,7.532551979658932e-05,8.505464128816578e-08,0.001058752748033733,7.829779189153744e-09,0.412698300497891,9.852289811423382e-08,0.00013389532409796584,1.1289255121207263e-17,0.0,2.0194839173657902e-28,0.0,3.1554436208840472e-30,2.524354896707238e-29,0.0,2.5849394142282115e-26,2.6469779601696886e-23,2.117582368135751e-22,3.970466940254533e-23,2.168404344971009e-19,6.776263578034403e-21,1.3234889800848443e-23,6.462348535570529e-27,0.0,0.0,2.0194839173657902e-28,0.0,8.077935669463161e-28,1.6155871338926322e-27,1.3010426069826053e-18,6.617444900424222e-24,1.951563910473908e-18,1.9480930606236355e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1275702593849246e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.5777218104420236e-30,0.0,0.0,0.0,0.0,0.0,0.0,2.4233807008389483e-27,5.169878828456423e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99083558486932e-20,0.0,0.0,0.0,0.0,0.0,0.0
4,1.8390148916168114e-14,7.843949525780893e-09,6.897593111185582e-09,0.0006093548129037295,2.8101458346299576e-14,5.108668216398214e-09,4.4223499617917935e-09,2.052453352663524e-05,4.090108516213787e-09,6.703126129651394e-05,0.00023839138106169532,0.00023916884418338048,4.969196262264351e-15,2.1447552045305607e-05,1.821905434122004e-14,0.0006034463914725322,4.868193930920294e-15,6.563710077930228e-05,2.1273506596826267e-05,7.53473768626963e-06,6.405406012774447e-05,4.1736004395784e-06,6.506954256991788e-05,4.397420196454589e-09,4.074132441574549e-09,2.122990442131407e-05,5.078930067791375e-09,0.0006020408256858379,5.093056294056852e-09,7.816590953260978e-09,2.5411402008724148e-20,5.7777898331617076e-34,7.888609052210118e-31,2.710505431213761e-20,0.0,1.4444474582904269e-34,0.0,2.0194839173657902e-28,2.0194839173657902e-28,0.0,1.0097419586828951e-28,0.0,0.0,4.0389678347315804e-28,3.7865323450608567e-29,3.851859888774472e-34,1.3234889800848443e-23,3.0814879110195774e-33,0.0,0.0,5.048709793414476e-29,0.0,5.048709793414476e-29,6.938893903907228e-18,1.769752642878164e-24,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,5.929230630780102e-21,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-21,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,5.7777898331617076e-34,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,1.1044052673094165e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048709793414476e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.756712613082391e-24,0.0,0.0,0.0,0.0,0.0,0.0
5,4.518977683962348e-16,1.699624882860104e-11,1.6991136644560453e-11,2.298941755039509e-06,6.908532106661426e-16,5.19744112697383e-08,4.961436921097203e-12,4.734873890047438e-07,4.152546524318787e-08,1.5863125901788664e-06,5.632593787790365e-06,5.653863607853315e-06,1.2144571032590764e-16,4.951680916560534e-07,4.4360804886506856e-16,3.4219758914676167e-06,1.1898610307102917e-16,1.553779549155008e-06,5.085931976688643e-07,4.7165632435687095e-09,1.492960032390956e-06,2.616810828468035e-09,1.5404706273126208e-06,4.93355009845753e-12,4.136341710025776e-08,4.900782991511193e-07,5.152825080864334e-08,3.4105061690457635e-06,5.1815442419777174e-08,1.6938922297297966e-11,6.452089553572525e-23,0.0,3.697785493223493e-32,0.0,0.0,1.2037062152420224e-35,8.271806125530277e-25,0.0,0.0,1.2407709188295415e-24,1.8488927466117464e-32,0.0,4.1359030627651384e-25,0.0,6.310887241768095e-30,3.76158192263132e-37,0.0,6.018531076210112e-36,8.271806125530277e-25,0.0,1.262177448353619e-29,3.469446951953614e-17,6.162975822039155e-33,6.938893903907228e-18,1.0766965280135285e-27,9.926167350636332e-24,4.776417326899294e-07,1.2027828287719822e-09,1.1892245658987022e-21,4.9388026962378757e-14,5.297047821296765e-15,1.4801808076939504e-19,8.074153360549622e-18,8.077935669463161e-28,7.216115867875778e-22,6.267898660061654e-14,0.006556744724757313,2.4543690372574397e-17,0.0,2.53068334667515e-19,3.636402949688706e-14,8.153181817275978e-13,7.590878261407428e-10,5.587459554183711e-12,7.444625512977249e-23,6.162975822039155e-33,0.0,3.0814879110195774e-33,0.0,6.162975822039155e-33,0.0,1.88079096131566e-37,7.906837489000367e-17,4.1359030627651384e-25,0.0,4.1359030627651384e-25,0.0,0.0,2.407412430484045e-35,1.1832913578315177e-30,1.2027828287719836e-09,6.863408652885073e-09,5.293955920339377e-23,1.3234889800848443e-23,2.6469779601696886e-23,5.293955920339377e-23,5.293955920339377e-23,2.524354896707238e-29,6.162975822039155e-33,1.5460801486676681e-21,7.444413362627187e-14,4.163829751382743e-07,0.0,0.0,0.0,6.058451752097371e-28,6.058451752097371e-28,0.0,5.297047821299205e-15,2.960340508651939e-19,3.3332882833724675e-17,3.333264320933006e-12,0.0,1.3234889800848443e-23,3.308722450212111e-24,2.6469779601696886e-23,2.6469779601696886e-23,1.189206655526433e-21,8.782753434573248e-14,0.006556744724851427,3.4364066712681047e-17,3.893393915391757e-07,0.0,2.0679515313825692e-24,2.6469779601696886e-23,1.0339757656912846e-24,2.6469779601696886e-23,8.449686371048563e-28,2.5288595960021776e-19,3.2034225258892644e-14,2.9684946543196913e-12,7.590878233206866e-10,5.670666769489632e-12,3.3494737582565815e-07
6,3.704635343830584e-14,4.255350119356882e-10,4.093023893503906e-10,4.893959503971741e-06,5.03030620659916e-14,2.6605081944386952e-08,4.044694859760233e-10,1.945328259943389e-05,2.6575506545008405e-08,9.561571659968815e-06,9.321807603308295e-06,2.0007749883777422e-05,5.07425634512565e-14,1.9975764055675903e-05,3.649647501344529e-14,4.730174138002725e-06,5.0117061416190617e-14,9.26251294355076e-06,1.9843307846371875e-05,4.963479788381179e-06,9.399718830467676e-06,4.852317478496502e-06,9.61276655501834e-06,4.1021936641431653e-10,2.631070176839661e-08,1.9618767399022286e-05,2.669973609376678e-08,4.9315106639547336e-06,2.6369797215596387e-08,4.1213390228435243e-10,4.2183626616334545e-22,3.851859888774472e-34,3.1554436208840472e-30,0.0,1.5407439555097887e-33,6.162975822039155e-33,0.0,0.0,3.1554436208840472e-30,3.308722450212111e-24,0.0,0.0,6.617444900424222e-24,0.0,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,3.2526065174565133e-19,6.310887241768095e-30,1.0842021724855044e-19,1.911804403803122e-27,1.6543612251060553e-24,7.129194099431108e-05,2.3489222959042833e-07,1.1362477722592277e-18,8.297469498222899e-13,1.9092250303264424e-13,9.361939363663336e-17,1.635525901556523e-14,2.5849394142282115e-26,1.311194374114736e-19,1.2373720939138195e-12,8.883059615105674e-06,2.8600014423920935e-14,8.470329472543003e-22,7.797450963395926e-17,2.111116249727584e-13,4.5319444163277444e-10,2.5904081850744446e-09,1.8688157986062936e-10,4.235164736271502e-22,0.0,0.0,6.310887241768095e-30,1.262177448353619e-29,1.262177448353619e-29,0.0,8.425943506694157e-35,1.8294733986663004e-13,6.617444900424222e-24,0.0,1.3234889800848443e-23,6.617444900424222e-24,6.617444900424222e-24,6.162975822039155e-33,1.0097419586828951e-28,2.348922295904289e-07,6.691332566520517e-08,3.3881317890172014e-21,1.6940658945086007e-21,1.6940658945086007e-21,0.0,0.0,4.0389678347315804e-28,1.5777218104420236e-30,3.8878419966633e-18,2.53655198665966e-13,2.2274673995567108e-05,2.0679515313825692e-25,0.0,1.0339757656912846e-25,0.0,0.0,2.524354896707238e-29,1.909225028295202e-13,8.915291925691908e-17,7.707225654022995e-15,1.2892228637956896e-09,5.082197683525802e-21,0.0,8.470329472543003e-21,0.0,0.0,2.6960981952047916e-18,5.053843559153783e-13,8.88305962485426e-06,3.755501710367132e-15,4.7680866762979774e-05,1.0587911840678754e-22,0.0,1.0587911840678754e-22,0.0,2.117582368135751e-22,8.337076476828263e-27,7.643059776097665e-17,5.184469371348611e-13,6.151938228915708e-10,2.5904163221775174e-09,3.005321042548529e-11,1.4046029672405338e-06
7,1.521769456035724e-08,1.2289470936158443e-08,1.2413069227257503e-08,7.088119803461327e-08,1.5242597158134755e-08,1.246981992365056e-07,1.1197197338413986e-08,4.8371241377301566e-08,1.2445115500731721e-07,2.582651526018142e-08,2.4850317484295044e-08,5.017478530084695e-08,1.5149931386977548e-08,4.994349521709324e-08,1.4981762717166413e-08,8.171265827426727e-08,1.4568130040159253e-08,2.38876554799544e-08,4.9075624403508094e-08,8.885508919677289e-08,2.491327440255247e-08,8.496670372445193e-08,2.502920834741912e-08,1.1898653546203783e-08,1.2278670602579866e-07,4.786898992513181e-08,1.24401395283554e-07,8.855857712777896e-08,1.224826337313929e-07,1.1963495074756547e-08,3.0605682664462024e-23,2.1693674893577825e-30,3.308722450212111e-24,3.308722450212111e-24,3.944304526105059e-31,0.0,0.0,1.5777218104420236e-30,4.930380657631324e-31,1.3234889800848443e-23,3.944304526105059e-30,3.1554436208840472e-30,0.0,1.873544649899903e-30,0.0,1.9721522630525295e-31,1.5777218104420236e-30,1.5777218104420236e-30,0.0,1.9721522630525295e-31,6.310887241768095e-30,1.0842021724855044e-19,3.1554436208840472e-30,0.0,3.875356234095996e-30,2.6469779601696886e-23,1.6969546065033807e-08,1.2512040919967292e-06,1.984820887295847e-15,5.042625859384165e-15,1.1919348045428637e-14,1.0177706766984213e-14,1.2828080474784187e-15,8.271806125530277e-25,3.055423189391538e-16,2.9650598920530624e-14,2.5664118173805045e-05,1.0301902231956347e-15,1.6543612251060553e-24,7.685060642035813e-17,2.4782212072347013e-14,2.0640967261354954e-14,3.476519842882472e-08,2.2331353637302664e-14,0.0,0.0,1.3234889800848443e-23,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,1.5777218104420236e-30,2.7610131682735413e-30,1.0539742882838125e-07,1.3234889800848443e-23,1.3234889800848443e-23,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,3.944304526105059e-31,1.5777218104420236e-30,1.2512040917747926e-06,7.077688857261558e-08,0.0,3.308722450212111e-24,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,1.5777218104420236e-30,9.860761315262648e-32,3.338847315323569e-15,2.9714884658527783e-15,1.976579691876059e-08,0.0,0.0,1.9852334701272664e-23,1.9852334701272664e-23,1.9852334701272664e-23,1.5777218104420236e-30,1.2000688245997198e-14,9.005472338725654e-15,2.239828717346587e-15,9.505851652349571e-08,6.617444900424222e-24,0.0,0.0,1.3234889800848443e-23,6.617444900424222e-24,5.075792904438263e-15,4.276049323143338e-14,2.566411817415179e-05,4.581662481322465e-15,1.2623212939352905e-07,1.3234889800848443e-23,0.0,9.926167350636332e-24,0.0,1.3234889800848443e-23,9.976317111925882e-32,1.17857821317661e-14,8.184931647529646e-15,2.5299237245851097e-14,3.476520899915793e-08,3.748357307630088e-15,3.3288415598062075e-08
8,4.0548501765293544e-08,1.7241001811901004e-08,1.6645790439634275e-08,2.1764220564331906e-08,4.071630578559369e-08,1.4390861047387354e-08,1.8388830046831772e-08,1.9144289237911025e-09,1.3816591499780808e-08,2.645333692393247e-08,2.6626374800294936e-08,3.1515872061526457e-09,3.891173835918976e-08,2.172375280520566e-09,4.187222867283222e-08,5.392573455697867e-08,3.8782346252440006e-08,2.709188357811798e-08,1.5982262933129138e-09,4.386491211999172e-08,2.7472608086918648e-08,4.290573905163725e-08,2.7740715243516684e-08,1.8395501790269542e-08,1.3607086713480228e-08,2.367576402711384e-09,1.5045861407109968e-08,4.846848848418279e-08,1.4581154330881456e-08,1.546506267488035e-08,1.2872998282856493e-23,2.9582283945787943e-31,3.308722450212111e-24,1.6543612251060553e-24,0.0,1.5777218104420236e-30,1.3234889800848443e-23,1.4791141972893971e-31,1.1832913578315177e-30,5.790264287871194e-24,0.0,7.888609052210118e-31,6.2038545941477076e-24,1.5777218104420236e-30,2.9582283945787943e-31,0.0,7.888609052210118e-31,2.3665827156630354e-30,0.0,5.9164567891575885e-31,2.9582283945787943e-31,3.7947076036992655e-18,1.9721522630525295e-31,3.496552006265752e-18,2.686672272420194e-31,1.6543612251060553e-24,7.69385933990204e-08,4.6457191705221356e-08,4.398159090492702e-15,2.33176327962844e-15,1.5431984793075357e-15,1.060670018706588e-14,4.018266217851617e-15,3.308722450212111e-24,1.1007411724778188e-15,1.462698557480287e-15,3.252568745980977e-08,4.453096310705275e-15,2.946830932220161e-24,1.1798953226277678e-14,2.3565366031034356e-15,2.8582735249297874e-15,3.1529600776299946e-09,1.718013069166794e-15,3.308722450212111e-24,0.0,0.0,1.3234889800848443e-23,6.617444900424222e-24,6.617444900424222e-24,4.930380657631324e-31,2.465190328815662e-32,7.258312760114648e-08,2.481541837659083e-24,2.481541837659083e-24,1.6543612251060553e-24,2.481541837659083e-24,2.481541837659083e-24,1.1832913578315177e-30,0.0,4.6457190565391314e-08,9.483162570779149e-09,4.963083675318166e-24,1.6543612251060553e-24,0.0,0.0,0.0,9.860761315262648e-32,0.0,2.9948474739262016e-15,2.647427649394868e-15,2.5588319730262255e-08,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,6.617444900424222e-24,0.0,3.944304526105059e-31,2.9108654834360927e-15,3.4463896186142842e-15,3.739254044346297e-15,3.1560386906759414e-08,1.6543612251060553e-24,3.308722450212111e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,2.2400198456221467e-16,1.1209273814439992e-15,3.42804975005735e-08,4.052950772210038e-15,4.550576790578595e-08,3.308722450212111e-24,3.308722450212111e-24,6.617444900424222e-24,6.617444900424222e-24,3.308722450212111e-24,6.896755130850692e-31,9.584661126997577e-15,1.9419367172902738e-15,7.118770260778681e-15,3.152962743117698e-09,1.9477777807617248e-15,3.440600395638357e-08
9,7.304147453206935e-09,5.700132349038072e-09,5.421660934035465e-09,7.976766011438142e-08,7.330062005977245e-09,4.2467360542761515e-08,6.673175592898358e-09,1.0173984944751875e-08,4.280122941531465e-08,4.194900340084905e-09,4.704667141402197e-09,1.0783501409120062e-08,6.907776481873771e-09,1.001492739235132e-08,7.639346140653592e-09,5.3308080811551004e-08,6.754836060100093e-09,4.3052112703700164e-09,9.807160961507478e-09,3.665332387279991e-08,4.3731595520688996e-09,3.8080946545958975e-08,4.367163916065555e-09,6.52263176855569e-09,4.268833403730497e-08,9.967707358503346e-09,4.21149313633157e-08,5.41178967590896e-08,4.172971037750503e-08,4.9912262060327746e-09,1.613002194478404e-23,1.232595164407831e-31,4.1359030627651384e-25,8.271806125530277e-25,9.860761315262648e-32,3.944304526105059e-31,0.0,5.9164567891575885e-31,1.9721522630525295e-31,1.6543612251060553e-24,4.930380657631324e-32,0.0,2.481541837659083e-24,7.888609052210118e-31,3.944304526105059e-31,1.9721522630525295e-31,7.888609052210118e-31,0.0,0.0,1.9721522630525295e-31,1.9721522630525295e-31,1.2739375526704677e-18,1.4791141972893971e-31,1.1587410718438829e-18,1.810759333712879e-30,3.308722450212111e-24,8.498837017040613e-08,2.1610316579971355e-08,7.435264222124709e-16,2.1044744525010433e-15,5.960545569750376e-16,1.4784520914137523e-15,1.2075565102678308e-15,1.6543612251060553e-24,6.893888829250059e-17,5.839045168107262e-16,0.0002514884947226606,3.1866442889505636e-16,2.481541837659083e-24,1.1263030522887243e-15,9.797281132068342e-15,5.464053275765584e-15,1.1039455026945987e-09,4.0063204059143094e-15,9.926167350636332e-24,2.481541837659083e-24,1.6543612251060553e-24,3.308722450212111e-24,2.481541837659083e-24,4.1359030627651384e-24,4.930380657631324e-32,3.697785493223493e-32,1.2099028692835688e-08,4.963083675318166e-24,3.308722450212111e-24,0.0,0.0,3.308722450212111e-24,3.944304526105059e-31,3.944304526105059e-31,2.161031616334484e-08,2.612414066277685e-08,1.6543612251060553e-24,0.0,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,9.860761315262648e-32,6.545408709278156e-16,1.597384577573375e-15,2.393799188527127e-08,3.101927297073854e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,7.237830359838992e-25,4.930380657631324e-32,4.8055967347482e-16,1.6823994850526785e-15,1.1863151496149631e-15,2.95087273262524e-09,0.0,3.308722450212111e-24,1.6543612251060553e-24,6.617444900424222e-24,1.6543612251060553e-24,2.292614187382406e-16,9.768235451123012e-16,0.00025148996673342614,1.9119506197131263e-16,4.242516738326308e-08,1.3234889800848443e-23,0.0,6.617444900424222e-24,1.3234889800848443e-23,6.617444900424222e-24,1.1012467422006215e-30,2.4380276198910602e-15,1.4147564786807855e-15,1.567696328353239e-15,1.1039464989012357e-09,4.2987209886348695e-15,1.1607923281595318e-07
