,Y5Z1,Y1Z5,Y0Z1,Y1Z0,Y5Z0,Y0Z5,Y1Z3,Y3Z1,Y0Z3,Y3Z0,Y4Z3,Y3Z4,Y4Z0,Y0Z4,Y2Z3,Y3Z2,Y2Z1,Y1Z2,Y5Z4,Y4Z5,Y5Z2,Y2Z5,Y4Z2,Y2Z4,Y1Z4,Y4Z1,Y2Z0,Y0Z2,Y5Z3,Y3Z5,X3Y0,X0Y5,Y0,X5Y0,X3Y5,X2Y5,X3Y4,standard_y,Y3,X5Y3,X5Y1,X4Y5,X4Y3,X4Y1,X4Y0,X3Y1,X2Y1,X1Y3,X2Y4,X0Y4,X5Y4,X4Y2,X3Y2,X1Y5,X1Y0,X0Y2,X0Y1,X1Y2,standard_x,Y5,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y3,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y4,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.994780181338859,0.9947801813388589,0.9783548583709969,0.9783548583709967,0.9417232451664075,0.9417232451664073,0.9192429940422667,0.9192429940422664,0.725661721174325,0.7256617211743246,0.630795873709999,0.6307958737099989,0.48386174332444243,0.48386174332444243,0.4129795419466491,0.41297954194664904,0.40685448820929193,0.4068544882092919,0.38718400476828096,0.38718400476828096,0.34609910428201995,0.34609910428201995,0.1831484806929179,0.1831484806929179,0.15914779888391,0.15914779888390995,0.05452265501045739,0.05452265501045739,0.034194212735707996,0.034194212735707954,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,8.673617379884035e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002750346627274039,0.002759316301702005,0.039696471998206286,0.002713755822838279,0.002603655963152647,0.03344753602868183,0.0025497916286112317,0.8851600671159853,0.7256617211743253,0.7256617211743251,0.6307958737099991,0.630795873709999,0.48386174332444254,0.4838617433244426,0.4129795419466492,0.4129795419466491,0.06188177099339377,0.0011285309486419215,0.0010704779222839743,0.22855415585894973,0.0009568872822571539,0.05943126714210083,0.18314848069291798,0.18314848069291795,0.00044144337018187747,0.22677610711559504,0.0545226550104574,0.05452265501045739,9.453941627925339e-05,0.8820570849794036,2.0816681711721685e-17,0.0,2.0816681711721685e-17,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.7755575615628914e-17,2.8102520310824275e-16,2.220446049250313e-16,0.0,0.0,0.0,1.1102230246251565e-16,1.0842021724855044e-19,1.3877787807814457e-17,1.0842021724855044e-19,2.168404344971009e-19,1.0842021724855044e-19,0.0,1.3877787807814457e-17,1.0842021724855044e-19,0.0,6.938893903907228e-18,0.0,8.300922883092143e-20,6.938893903907228e-18,2.541098841762901e-20,2.710505431213761e-20,0.0,2.168404344971009e-19,0.0,6.938893903907228e-17,0.0,0.0,0.0,0.0,0.0,1.0408340855860843e-17,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6263032587282567e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00021712185139996293,6.74359371485506e-08,0.6836099043985104,6.632246799417205e-08,0.00021283366964943454,0.6875002773635983,6.231528726984569e-08,0.0002637793957752748,0.6860978669832261,0.0002162486149387902,0.8568362624460168,0.00018797840649241302,0.4838617433244423,0.48386174332444243,0.3513002459503473,0.00012306871278740765,0.3497566034477961,2.7580579318096165e-08,8.75053185608006e-05,0.8552550046227315,7.821994710739913e-05,0.3508661255191151,0.18314848069291795,0.18314848069291786,1.0788595474852254e-08,0.8555229073221975,0.054522655010457374,0.054522655010457374,0.00021636588454456747,0.0002628557832115441,1.6940658945086007e-21,1.3552527156068805e-20,5.551115123125783e-17,0.0,6.617444900424222e-24,2.710505431213761e-20,0.0,1.6650634863946134e-16,0.0,6.617444900424222e-24,1.6940658945086007e-21,0.0,0.0,9.926167350636332e-24,0.0,6.776263578034403e-21,3.308722450212111e-24,1.0164395367051604e-20,1.1102230246251565e-16,0.0,2.0328790734103208e-20,0.0,1.6940658945086007e-21,8.470329472543003e-22,0.0,0.0,5.169878828456423e-26,6.203854594147708e-25,0.0,2.710505431213761e-20,0.0,1.6653345369377348e-16,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.00026687674011089877,1.6379339899700112e-08,0.20288885434695741,1.610889226423267e-08,0.00018680690490608791,0.20834190358478316,1.2523702712851493e-08,7.808552621232565e-09,0.20380901352659853,6.401518528157667e-09,9.136104423895837e-05,5.564647211247126e-09,5.159225335862363e-05,0.20000583400782485,0.1687471242242085,3.643152328943707e-09,0.16779692499555426,6.698975388843735e-09,0.00026609442088641007,9.119244282155826e-05,6.86546740706914e-05,0.16949794267091806,1.952839410951358e-05,0.16700979549561246,1.2465983367427881e-08,9.122100817823976e-05,0.05452265501045744,0.054522655010457416,0.0002664620827739288,7.781211349057e-09,0.0,0.0,1.3877787807814457e-17,1.3552527156068805e-20,1.0097419586828951e-28,0.0,0.0,2.7769125661243145e-17,8.271806125530277e-25,1.0097419586828951e-28,4.235164736271502e-22,0.0,0.0,2.0194839173657902e-28,0.0,2.0679515313825692e-25,1.6543612251060553e-24,4.1359030627651384e-25,6.776263578034403e-21,6.776263578034403e-21,8.271806125530277e-25,0.0,1.0339757656912846e-25,4.235164736271502e-22,4.713475463131754e-25,0.0,2.77275141854323e-25,1.0339757656912846e-25,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.573064690121713e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0537655075896007e-06,2.348786376215657e-09,0.0009951046969092462,1.577985727980422e-09,7.376090057886068e-07,0.0010218501044091527,9.106769382471334e-08,5.165874652940922e-08,0.0009996181677390283,5.1618270746185125e-08,1.6202803084420333e-05,2.028894063592535e-08,1.5813219478172587e-05,0.000980964814491551,0.1147551391781548,1.3283088491253064e-08,0.11362876033420174,4.871244984397606e-08,1.0506763754604953e-06,1.6000660508808193e-05,2.7108369420007413e-07,0.11515311602712039,7.85715257164653e-06,0.11319332411064517,9.064798089527583e-08,1.6079411090791067e-05,0.11442219202062284,0.0002674162024314348,1.0521280894095008e-06,5.1634683768488496e-08,1.2116903504194741e-27,6.776263578034403e-21,0.0,6.776263578034403e-21,1.5777218104420236e-30,1.0587911840678754e-22,1.0842021724855044e-19,2.0816689156347198e-17,6.617444900424222e-24,1.5777218104420236e-30,9.926167350636332e-23,3.2311742677852644e-27,3.2526065174565133e-19,3.470987982972452e-29,1.3234889800848443e-23,4.1359030627651384e-25,1.0856745539758488e-24,0.0,0.0,1.3234889800848443e-23,0.0,1.6940658945086007e-21,8.271806125530277e-25,6.617444900424222e-24,3.0970679138976923e-26,0.0,1.220210048195861e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0
5,1.1230781242569412e-09,6.793173307096423e-09,0.0009105354664202634,6.883393831835736e-09,7.861260152045196e-10,0.0009428403603768177,1.3389136228544112e-08,1.1720811226869624e-08,0.0009172471998177068,1.171344522397281e-08,2.0927533169685114e-05,3.6666589366704153e-09,1.9895865343107912e-05,0.0008950368933377438,4.831001812724747e-05,1.1701709627019413e-08,4.783587369857863e-05,6.81757799892621e-09,1.1197859477599805e-09,2.02989590156663e-05,2.8891450976883463e-10,4.847760862354237e-05,2.010624433382274e-05,4.765252022047241e-05,1.3327428265974938e-08,2.0557900880688943e-05,4.8169267150787826e-05,0.0009376086171400866,1.121333152749252e-09,1.1724240595172956e-08,2.0194839173657902e-28,0.0,5.421010862427522e-20,0.0,0.0,0.0,1.3552527156068805e-20,4.9125119206182053e-20,1.6543612251060553e-24,0.0,1.2116903504194741e-27,6.310887241768095e-30,6.776263578034403e-21,2.524354896707238e-29,0.0,8.271806125530277e-25,1.2937318845624594e-28,2.481541837659083e-24,1.6543612251060553e-24,0.0,3.1554436208840472e-30,2.481541837659083e-24,2.524354896707238e-29,4.4428646182047385e-27,1.3842251696733935e-27,2.6469779601696886e-23,6.725532255074889e-28,0.0,0.0,1.0339757656912846e-25,0.0,5.082197683525802e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048709793414476e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.7858636430385877e-16,5.949742458906741e-14,2.7480962082942044e-07,6.106053197731367e-14,1.2382930594999064e-16,2.8443061149903227e-07,1.187093912989847e-13,8.651422078991358e-12,2.768335365032418e-07,8.63783411544887e-12,7.83497111666114e-07,2.608345572283745e-12,7.307481836122327e-07,2.701724798047354e-07,9.370272478921662e-06,8.637134410250602e-12,9.278543147379508e-06,5.97143481958094e-14,1.780590318584106e-16,7.602851539765699e-07,4.515430234057499e-17,9.4027411312104e-06,7.531158739839596e-07,9.24303005394295e-06,1.18163884551182e-13,7.698600002912641e-07,9.284212813393723e-06,2.828525923058572e-07,1.7830692231269372e-16,8.653975863466306e-12,9.62964972193618e-35,0.0,0.0,0.0,0.0,0.0,0.0,5.2938748254383204e-23,8.077935669463161e-28,0.0,2.7733391199176196e-32,0.0,1.0587911840678754e-22,2.407412430484045e-35,0.0,0.0,7.52316384526264e-35,1.262177448353619e-29,1.2924697071141057e-26,0.0,2.350988701644575e-38,1.2924697071141057e-26,3.0814879110195774e-33,9.244463733058732e-33,2.6099074036250115e-37,1.6155871338926322e-27,2.1581829473201274e-36,3.851859888774472e-34,1.0291558335045438e-07,0.0,7.158252282760742e-24,5.293955920339377e-23,2.308118750291671e-28,2.7556435004073653e-07,3.545610505198026e-13,7.3039916815823e-12,2.122350601459289e-17,0.0,1.3332161981433483e-16,8.537747901172726e-20,4.094967783234931e-14,4.660965971979138e-19,3.1554436208840472e-30,5.231884854731089e-13,6.250041521692075e-13,6.807113582290319e-19,1.1169881082154187e-12,4.0635214665424924e-20,0.0,3.0814879110195774e-33,7.703719777548943e-34,6.162975822039155e-33,0.0,2.0194839173657902e-28,3.798002079830937e-17,3.308722450212111e-24,0.0,1.6543612251060553e-24,0.0,0.0,1.2958414555316358e-22,1.7469421746451624e-08,0.0,1.0097419586828951e-28,2.0194839173657902e-28,2.0194839173657902e-28,2.0194839173657902e-28,2.377815869042721e-28,2.755643500459505e-07,1.9525046449808024e-12,6.617444900424222e-24,1.9852334701272664e-23,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,1.4791141972893971e-31,0.0,3.545610523381691e-13,7.631763743162393e-12,1.0803331430934658e-16,1.1500478633301628e-07,3.944304526105059e-31,3.944304526105059e-31,0.0,1.1832913578315177e-30,7.888609052210118e-31,2.407412430484045e-35,1.3332161981433946e-16,9.147087575156033e-20,4.0949677832447483e-14,9.319936626415643e-19,1.156518998491538e-14,8.271806125530277e-25,4.1359030627651384e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,0.0,5.231883289633369e-13,6.287571695441467e-13,1.8812184180843834e-18,1.1790133310362965e-12,5.1000594380630685e-20,5.3821596653647015e-09
7,2.6171554872654664e-19,2.898156074968009e-16,1.785942048561792e-08,3.1808006849114764e-16,1.839912906412968e-19,2.308104518509355e-08,6.099206242097857e-16,1.0903693432732207e-15,2.0680428232071385e-08,1.0890041114597936e-15,3.219907892154501e-09,3.438071674911586e-16,2.8408700054280422e-09,1.651693475391089e-08,7.1599967391239215e-09,1.0716854746423408e-15,6.735884988358266e-09,2.944146644555574e-16,2.59104442177216e-19,3.018448545107985e-09,6.765780409214015e-20,3.1460737074242107e-09,2.903975141248746e-09,6.553803445400313e-09,5.87790806109421e-16,2.9726736598943587e-09,6.8609124977832614e-09,2.2590579992460277e-08,2.582289540572053e-19,1.0798710604195828e-15,7.346839692639297e-40,9.860761315262648e-32,0.0,0.0,1.0691058840368783e-50,1.2116903504194741e-27,0.0,6.203854470888191e-25,0.0,0.0,5.266214691683848e-36,1.793662034335766e-43,0.0,1.8367099231598242e-40,1.9721522630525295e-31,1.232595164407831e-32,9.183549615799121e-40,0.0,4.930380657631324e-32,0.0,0.0,2.465190328815662e-32,1.8367099231598242e-40,7.52316384526264e-37,2.258893124491605e-40,0.0,4.520252534280422e-40,1.4693679385278594e-39,4.3512584983172986e-08,0.0,3.757088478157471e-26,2.0679515313825692e-25,6.612918108619847e-33,2.294026609130897e-13,3.6095605191300335e-17,8.507829609661949e-15,4.512847502784005e-22,4.1359030627651384e-25,5.385231365211746e-18,4.99998549718837e-29,8.905424776080398e-22,7.661603086688362e-22,1.232595164407831e-32,1.4294757016635477e-14,7.114684184841809e-21,1.822347033239342e-28,1.966405358198504e-14,6.412840931973027e-28,3.851859888774472e-34,0.0,0.0,3.851859888774472e-34,3.851859888774472e-34,4.0389678347315804e-28,6.0950830862168114e-18,3.944304526105059e-31,3.944304526105059e-31,0.0,0.0,0.0,4.7889554430364764e-26,4.010841194119987e-15,7.52316384526264e-37,0.0,3.76158192263132e-37,0.0,0.0,6.636090172928149e-33,2.294026609130897e-13,6.47051136854954e-21,0.0,0.0,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,3.566036391959673e-17,8.02680331230304e-15,1.068196932691747e-21,4.3512573229783045e-08,4.70197740328915e-38,7.052966104933725e-38,7.052966104933725e-38,9.4039548065783e-38,4.70197740328915e-38,5.510129769479473e-40,5.3852313652117426e-18,5.305168273370854e-29,8.905424776080409e-22,3.940732983913626e-22,1.5128987792628026e-21,0.0,0.0,3.1554436208840472e-30,0.0,1.5777218104420236e-30,0.0,1.4294275944821286e-14,7.200031875760806e-21,4.3325323701664625e-28,1.8039956964309843e-14,7.308611818156828e-28,1.5770334203895176e-14
8,2.182773842610454e-14,7.972338969113662e-16,1.5321066747461164e-08,9.20173297538907e-16,2.182475899441269e-14,2.5107060230486665e-08,4.6340834430450656e-17,2.1070764729179482e-14,2.0755421912061756e-08,2.105349140873989e-14,3.174804474244564e-09,2.1661910113637233e-14,2.6398158785590894e-09,1.3047082750390783e-08,7.190021525881188e-09,2.0717227992091435e-14,6.509537840346954e-09,8.848948504347006e-16,2.148026708054246e-14,2.964274611503093e-09,2.1797748319414887e-14,3.352832552102283e-09,2.648781125881397e-09,6.1973387450108656e-09,8.666332418069274e-17,2.744080167417446e-09,6.849491543898138e-09,2.0692672016921005e-08,2.13537590599198e-14,2.055012898879675e-14,1.88079096131566e-37,0.0,0.0,0.0,3.587324068671532e-43,4.0389678347315804e-28,3.308722450212111e-24,4.1359030627651384e-25,1.5777218104420236e-30,1.793662034335766e-43,3.009265538105056e-36,0.0,6.617444900424222e-24,1.7632415262334313e-38,9.860761315262648e-32,2.465190328815662e-32,3.76158192263132e-37,1.232595164407831e-32,0.0,1.9721522630525295e-31,5.877471754111438e-39,0.0,0.0,3.009265538105056e-36,1.4214188681949785e-38,9.860761315262648e-32,5.1742665535501005e-39,0.0,4.166857511213197e-08,1.5777218104420236e-30,9.254924587898046e-23,4.1359030627651384e-25,1.3850404345489568e-27,2.0829337152259335e-11,1.4249787136082277e-15,8.091171220617903e-15,6.210312647281892e-21,0.0,5.226725846064008e-18,1.2962201488627019e-21,7.986397444752562e-19,1.0934538941109942e-21,0.0,1.3952281082876887e-14,5.2448420123983515e-18,2.4443832788413953e-21,1.845188683379405e-14,4.8265831973781106e-21,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,8.077935669463161e-28,8.131914386582173e-14,4.0389678347315804e-28,0.0,1.6155871338926322e-27,1.6155871338926322e-27,1.6155871338926322e-27,1.1096867451998329e-21,1.7540759589432106e-11,0.0,0.0,0.0,6.310887241768095e-30,6.310887241768095e-30,1.3808222884575342e-27,2.0829337151047225e-11,8.223446320756801e-14,0.0,0.0,6.617444900424222e-24,3.308722450212111e-24,9.926167350636332e-24,1.128474576789396e-36,0.0,1.4836486100383836e-15,7.640333346894565e-15,1.97449847520475e-21,4.102429091847031e-08,7.888609052210118e-31,1.1832913578315177e-30,1.1832913578315177e-30,7.888609052210118e-31,3.944304526105059e-31,5.877471754111438e-39,5.226725845449025e-18,1.3817787943264522e-21,7.986397450271742e-19,1.7411533131852776e-21,1.1411053596764886e-14,2.5849394142282115e-26,0.0,0.0,2.5849394142282115e-26,0.0,3.76158192263132e-37,1.3951820880517433e-14,8.4409373549221e-18,8.228075838432801e-21,1.7167920928313167e-14,5.805353194195489e-21,6.619999179117665e-10
9,1.4659528783873941e-09,3.174211313802222e-11,1.2722371065527301e-08,6.089514788807725e-11,1.4649645528856058e-09,2.696984496723622e-08,4.581791504423053e-11,1.4945040603880131e-09,2.0719366779217973e-08,1.4924561637870019e-09,3.138400909068021e-09,1.4846307445501616e-09,2.460262933127032e-09,9.60618136172138e-09,6.251232035551143e-09,1.4664400075144798e-09,5.030967709262635e-09,5.575780502090159e-11,1.4373559533467778e-09,2.924194039795623e-09,1.4603179184609672e-09,2.617852467973753e-09,2.417911246034135e-09,4.683598737831731e-09,6.236658119099622e-11,2.5395986217959206e-09,5.1034548838018685e-09,1.865207607438501e-08,1.4181656036241468e-09,1.431075687387932e-09,2.3881531310401725e-32,4.930380657631324e-32,0.0,9.860761315262648e-32,0.0,1.2116903504194741e-27,6.617444900424222e-24,1.1632227364026952e-25,1.0339757656912846e-25,0.0,1.5407439555097887e-33,1.5407439555097887e-33,0.0,3.851859888774472e-34,9.860761315262648e-32,4.930380657631324e-32,9.860761315262648e-32,4.930380657631324e-32,3.697785493223493e-32,1.9721522630525295e-31,3.0814879110195774e-33,4.930380657631324e-32,3.944304526105059e-31,1.5407439555097887e-33,1.340148195530667e-32,1.7256332301709633e-31,1.186054992070075e-32,9.860761315262648e-32,8.127873541544577e-09,4.1359030627651384e-25,1.0671311244238382e-17,2.0679515313825692e-25,1.4995226675421784e-17,7.635082890102261e-09,8.88643004487741e-13,7.615463289736026e-15,4.4351207786101766e-16,4.1359030627651384e-25,2.1587661843866833e-18,1.922907403107864e-16,2.776609171427038e-17,2.3831551916006113e-17,1.2924697071141057e-26,1.2555159908664472e-14,1.5727875321669252e-16,3.9714199049417537e-16,1.7184726878378446e-14,7.374998549911666e-16,1.6543612251060553e-24,1.6543612251060553e-24,8.271806125530277e-25,0.0,0.0,0.0,1.2582780986740782e-08,1.0339757656912846e-25,1.0339757656912846e-25,0.0,1.0339757656912846e-25,1.0339757656912846e-25,1.6755726631433122e-16,7.507617829974153e-10,0.0,1.6543612251060553e-24,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,1.4987500433578055e-17,7.6350827091783e-09,1.2795773627917592e-08,6.617444900424222e-24,4.963083675318166e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,4.437342591868191e-31,1.9721522630525295e-31,8.762684960669186e-13,7.185063066588394e-15,5.113200301474261e-16,3.8113120333113366e-08,2.0679515313825692e-25,2.5849394142282115e-25,1.0339757656912846e-25,1.550963648536927e-25,5.169878828456423e-26,1.5407439555097887e-33,7.946625030257027e-18,2.0439288726357476e-16,2.1728259405457892e-17,9.762018438730829e-17,1.6616537327591418e-09,1.0339757656912846e-25,1.0339757656912846e-25,2.0679515313825692e-25,1.0339757656912846e-25,0.0,2.465190328815662e-32,1.4175338831609397e-14,2.0064142881918976e-16,1.2698970904182226e-15,1.626856866807949e-14,8.849035714069032e-16,2.194276661153856e-09
