,Y4Z2,Y2Z4,Y4Z1,Y1Z4,Y3Z4,Y4Z3,Y4Z5,Y5Z4,Y5Z0,Y0Z5,Y4Z0,Y0Z4,Y0Z2,Y2Z0,Y5Z3,Y3Z5,Y5Z2,Y2Z5,Y3Z0,Y0Z3,Y5Z1,Y1Z5,Y1Z0,Y0Z1,Y3Z2,Y2Z3,Y1Z2,Y2Z1,Y3Z1,Y1Z3,standard_y,X1Y3,Y4,Y2,X3Y2,Y5,X4Y5,X3Y4,X2Y4,X1Y5,X1Y2,X0Y5,X0Y4,X5Y2,X3Y0,X1Y0,X0Y1,Y3,X5Y0,X2Y5,X2Y3,X2Y0,Y1,Y0,X5Y3,X4Y2,X4Y0,X3Y1,X2Y1,X0Y2,X4Y1,X0Y3,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y1,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y4,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9956448355104628,0.9956448355104627,0.83746908209646,0.8374690820964599,0.8364614512743889,0.8364614512743886,0.639068140544162,0.6390681405441619,0.6257203041080541,0.6257203041080539,0.6039200385961945,0.6039200385961945,0.5442292252959519,0.5442292252959517,0.47635320869933495,0.47635320869933495,0.47026350752244794,0.4702635075224479,0.36995516654807925,0.36995516654807925,0.25935401432800764,0.25935401432800764,0.23796462709189137,0.23796462709189137,0.23433096104669637,0.23433096104669637,0.0655288592398131,0.06552885923981301,0.013167991554874164,0.013167991554874123,1.5265566588595902e-16,1.249000902703301e-16,1.1102230246251565e-16,6.938893903907228e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,3.122502256758253e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002785692696921454,0.00279477764508761,0.002343136249682386,0.7721534940073221,0.6028931470827181,0.002340317021658371,0.0017880346369057597,0.1703351592743202,0.6257203041080541,0.6257203041080541,0.001689694538695031,0.06146206942245239,0.05772528661411691,0.001527652852114343,0.47635320869933506,0.47635320869933506,0.16672471282662982,0.0013200308897804909,0.36995516654807925,0.3699551665480793,0.25935401432800764,0.25935401432800764,0.2379646270918914,0.23796462709189137,0.5994081309759332,0.0006577676176559852,0.7692145841553844,0.0001839396784674002,0.013167991554874137,0.013167991554874137,3.7947076036992655e-19,1.3877787807814457e-17,2.168404344971009e-19,1.6263032587282567e-19,1.6263032587282567e-19,0.0,1.0842021724855044e-19,0.0,0.0,2.7755575615628914e-17,1.6263032587282567e-19,2.7755575615628914e-17,2.168404344971009e-19,5.421010862427522e-20,0.0,2.981555974335137e-19,3.984442983884229e-18,2.7755575615628914e-17,0.0,5.421010862427522e-20,5.421010862427522e-20,1.0842021724855044e-19,2.7755575615628914e-17,0.0,1.3877787807814457e-17,5.551115123125783e-17,0.0,6.938893903907228e-18,5.421010862427522e-20,4.0657581468206416e-20,1.0842021724855044e-19,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.780220124370124e-08,0.00044105774543783723,2.338533091861244e-08,4.547988300383809e-05,0.5897670666434061,2.3357194022922284e-08,1.7845219919957348e-08,0.08817756977464442,0.6257203041080541,0.6257203041080539,1.6863750857055105e-08,0.17573108480262462,0.17869242703833782,0.00025801250701117725,0.47635320869933495,0.47635320869933495,0.09094341715562959,0.00022294625296124995,0.36995516654807925,0.36995516654807925,0.08957434982558168,1.5275970566028058e-05,1.4016134080786492e-05,0.17670442113114815,0.5863288027626488,0.000111093480320022,4.530698389428072e-05,0.0004394223574624651,0.5877644463646368,7.755956734549009e-07,1.2487340707813038e-16,3.3881317890172014e-21,1.6543612251060553e-24,2.710505431213761e-20,2.710505431213761e-20,2.7755575615628914e-17,4.1359030627651384e-25,0.0,0.0,1.6940658945086007e-21,0.0,1.3877787807814457e-17,1.6543612251060553e-24,2.710505431213761e-20,2.7755575615628914e-17,3.970466940254533e-23,4.301339185275744e-22,5.551115123125783e-17,0.0,2.710505431213761e-20,5.421010862427522e-20,1.3552527156068805e-20,4.235164736271502e-22,4.163336342344337e-17,0.0,0.0,4.1359030627651384e-25,0.0,1.0339757656912846e-24,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.8121600906130165e-10,0.00014248351495349564,3.2065311826455405e-10,1.93037691699679e-06,0.5897670431114084,3.2026731301389903e-10,1.4209634417080948e-11,0.0001521364894959223,0.0010795811145254746,0.0010831019402351679,1.266185762250722e-11,0.0003041850124477201,0.0003093108434500312,1.1562369084261528e-05,0.0008218718884126341,0.10760120314661124,0.00015690837307709882,1.1057066343424907e-05,0.10484885551313636,0.0006403806238306975,0.00015454641032291853,5.5408050627806234e-08,5.1364638539174046e-08,0.0003058698254598663,0.5863288853406009,3.5888701037631956e-05,1.9230385042635907e-06,0.00014195520385373275,0.5877644239792374,3.291987355334131e-08,5.5456919615937625e-17,3.970466940254533e-23,0.0,0.0,1.3552527156068805e-20,0.0,1.262177448353619e-29,2.5849394142282115e-26,0.0,2.0679515313825692e-25,8.885729236409477e-27,0.0,5.048709793414476e-29,0.0,1.0842021724855044e-19,2.6581457062327214e-26,1.199068575935938e-26,5.551115123125783e-17,0.0,1.3234889800848443e-23,0.0,0.0,2.150669592637872e-23,5.421010862427522e-20,0.0,2.117582368135751e-22,2.524354896707238e-29,2.481541837659083e-23,7.674038885990003e-27,2.6469779601696886e-23,8.470329472543003e-22,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,4.8467614016778965e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.964615315390051e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.282975987294819e-14,7.848963982930149e-06,1.0791526095555217e-14,1.184933108008932e-07,0.004307441176176149,1.0778541885697767e-14,4.782112062347173e-16,2.378297269243126e-06,2.6433911622218675e-06,2.652012023998259e-06,4.261449591049073e-16,2.3076621726271868e-06,2.3151325474437246e-06,8.504329649109302e-07,2.383671854638244e-06,0.00078587550968575,2.3834611643333717e-06,8.132837621548106e-07,0.0007657826065631369,2.31036012168639e-06,2.3776778598459983e-06,3.4598964076481414e-09,3.207521751820983e-09,2.3067071424870102e-06,0.004282330228346462,7.805964813217282e-06,1.1804172623478584e-07,7.818658118595863e-06,0.004292814783934871,1.1809150268126237e-07,4.334666292147617e-19,1.9387045606711586e-26,7.888609052210118e-31,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,1.262177448353619e-29,1.262177448353619e-29,0.0,0.0,0.0,0.0,4.301095085364947e-30,6.76982431045342e-30,4.336808689942018e-19,1.734723475976807e-18,0.0,0.0,1.0223637331664313e-27,2.481541837659083e-24,2.117582368135751e-22,0.0,5.169878828456423e-26,2.256949153578792e-36,2.0194839173657902e-26,1.735493991486226e-29,3.2311742677852644e-27,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.009265538105056e-36,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.668755392258512e-16,3.1849142296987984e-06,1.4799190026661915e-15,4.1282940109484455e-08,7.2632047244971905e-06,1.4799131181679035e-15,3.1971800569299e-17,1.0948041353140914e-06,1.221042119555853e-06,1.225408388367205e-06,2.851685981541058e-17,1.0629716684017324e-06,1.0664277531896169e-06,3.4302183679674624e-07,1.0997213552748144e-06,1.2638858384728305e-06,1.0971993580017572e-06,3.281129327205991e-07,1.23168405585832e-06,1.0654413354746621e-06,1.0945274507277585e-06,1.1983570220478005e-09,1.1110498091028097e-09,1.0625376884189433e-06,7.221827025136931e-06,3.150546285816184e-06,4.112577978828573e-08,3.172631154594158e-06,7.260431950459972e-06,4.100577008382556e-08,3.181026441177085e-22,0.0,1.9721522630525295e-31,0.0,6.462348535570529e-27,2.117582368135751e-22,0.0,0.0,0.0,3.1554436208840472e-30,4.733165431326071e-30,3.469446951953614e-18,1.88079096131566e-37,1.2116903504194741e-27,4.0389678347315804e-28,1.2366877655396538e-31,9.088222666320318e-31,0.0,3.469446951953614e-18,4.0389678347315804e-28,3.2311742677852644e-27,1.5146129380243427e-28,4.652890945610781e-25,1.0587911840678754e-22,1.6155871338926322e-27,2.5849394142282115e-26,9.4039548065783e-38,0.0,2.7610131682735413e-30,0.0,5.048709793414476e-29,0.0,9.614858659474463e-07,7.168155147885785e-22,2.289729381614225e-12,3.1233366108429546e-14,4.955039432404544e-13,3.766236373173668e-11,9.621635662582597e-12,1.7241937369232542e-15,8.308054074568e-12,3.780498904650118e-11,3.1233999146101876e-14,5.128454481682538e-05,6.77703149332518e-22,2.2348110918538575e-12,5.284749343785625e-13,1.4950408834243625e-15,1.3234889800848443e-23,2.6469779601696886e-23,0.0,0.0,0.0,3.76158192263132e-37,3.1554436208840472e-30,1.394665830597923e-07,0.0,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,0.0,9.231927357379312e-22,3.4206893643533094e-16,3.970466940254533e-23,0.0,5.293955920339377e-23,0.0,1.3234889800848443e-23,8.077935669463161e-28,2.5231583054141138e-12,3.123336610891374e-14,4.6319636277567794e-07,2.6469779601696886e-23,1.3234889800848443e-23,0.0,1.3234889800848443e-23,1.3234889800848443e-23,1.0633721484875331e-12,3.766236373254509e-11,1.003942862789544e-11,2.2612610475399107e-07,0.0,4.52364397489937e-26,1.9387045606711586e-26,5.816113682013476e-26,0.0,2.524354896707238e-28,1.1972698918019345e-14,8.308054074577172e-12,3.7802646769307946e-11,3.158189408768901e-14,3.1445608967551227e-09,0.0,0.0,1.3234889800848443e-23,1.3234889800848443e-23,0.0,5.12845450560344e-05,9.175076657267346e-22,2.5218268432275017e-12,9.902474999331609e-13,1.2139648443246755e-14,1.3584137659680903e-07
6,1.9618456828237087e-22,2.5495956794795523e-08,6.987906104579795e-23,1.647605936591747e-08,2.299318200310395e-10,1.4554035654833125e-22,1.3453791707383208e-22,3.823366049746292e-08,3.8535096992094815e-08,1.8675033640391925e-09,1.3330473888404367e-22,2.9856370382400795e-09,2.8443277663146664e-09,2.1114708388786773e-08,3.85540416809333e-08,3.414411856623623e-10,3.873613789226541e-08,2.1800593062089504e-08,3.5226050360910516e-10,2.958907856388974e-09,3.865400982249562e-08,3.8213992749102047e-08,3.821758857077251e-08,2.820561371315828e-09,1.381252210250703e-10,2.4199672381546788e-08,1.6332016926681006e-08,2.471702567511114e-08,2.05051894488819e-10,1.607067269231657e-08,1.6802106192483492e-24,9.860761315262648e-32,1.1754943508222875e-38,1.6543612251060553e-24,0.0,3.308722450212111e-24,1.401298464324817e-45,0.0,0.0,7.888609052210118e-31,0.0,0.0,0.0,9.860761315262648e-32,2.465190328815662e-32,1.718314696382292e-30,1.782255570535948e-30,2.5849394142282115e-26,0.0,4.930380657631324e-32,0.0,4.930380657631324e-32,3.308722450212111e-24,0.0,1.9721522630525295e-31,0.0,0.0,0.0,3.944304526105059e-31,0.0,4.930380657631324e-32,2.465190328815662e-32,9.519271221425183e-08,7.648972514224226e-30,9.256570549722931e-16,1.916096147375861e-15,3.6870398556506226e-15,1.4965339744036728e-15,4.64674966577099e-16,1.0070174189699189e-14,3.0405003828056103e-16,2.125621315886098e-15,7.009247339473047e-17,3.721352158116899e-06,1.5029712918302975e-30,8.925332713674215e-16,2.295990514499016e-16,3.82992544709251e-15,0.0,1.3234889800848443e-23,1.3234889800848443e-23,2.6469779601696886e-23,2.6469779601696886e-23,0.0,0.0,1.35360409280511e-07,2.350988701644575e-38,4.70197740328915e-38,7.052966104933725e-38,2.350988701644575e-38,2.350988701644575e-38,0.0,5.243107499051567e-31,3.1430110151800074e-22,0.0,1.6543612251060553e-24,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,0.0,7.335927923716078e-16,1.9160961473758605e-15,1.0389540608525524e-08,8.271806125530277e-25,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.3348348265008711e-15,1.49653397440366e-15,8.042351301283949e-16,9.341104816122353e-09,2.481541837659083e-24,1.6543612251060553e-23,0.0,1.3234889800848443e-23,0.0,4.930380657631324e-32,6.704224387942403e-15,3.040500382805586e-16,4.7415062140660675e-15,8.40135205156381e-16,2.7663915008174624e-08,0.0,4.1359030627651384e-25,8.271806125530277e-25,0.0,0.0,3.721352157807316e-06,2.0111509961852074e-29,9.133569387497165e-16,1.822400348841085e-16,3.1290821302271694e-15,7.22686336656365e-09
7,1.219523726763641e-21,6.056967634240818e-09,1.0627392704632e-21,2.7478262556586347e-10,3.715343608970972e-09,1.0552946480826602e-21,1.0655363235491351e-21,1.514894599510636e-07,1.5219653136357033e-07,3.1331941918447417e-09,1.0632730673717116e-21,2.6483014219790277e-08,2.3210331804680284e-08,4.885114717246551e-09,1.5268631947063378e-07,3.0148170183957586e-09,1.5205142348961603e-07,4.965974636505621e-09,3.5309028884609363e-09,2.4004448560106788e-08,1.504829455298359e-07,9.575724251260286e-10,9.49667493301073e-10,2.395069068480581e-08,3.4362894886967905e-09,5.865998052725313e-09,2.618252830444381e-10,5.932346799183605e-09,5.526387076150841e-10,2.622501884302727e-10,1.2511106764864638e-23,6.310887241768095e-30,9.4039548065783e-38,4.1359030627651384e-25,6.162975822039155e-33,1.3234889800848443e-23,1.1210387714598537e-44,3.0814879110195774e-33,3.1554436208840472e-30,9.860761315262648e-32,1.5407439555097887e-33,1.0842021724855044e-19,5.605193857299268e-45,1.9721522630525295e-31,1.9721522630525295e-31,1.3481509610710651e-33,3.0237100126879603e-32,4.1359030627651384e-25,3.2526065174565133e-19,4.930380657631324e-32,0.0,9.860761315262648e-32,1.0339757656912846e-25,0.0,2.465190328815662e-32,0.0,0.0,3.1554436208840472e-30,0.0,0.0,4.81482486096809e-35,0.0,2.6900526558352754e-07,2.869857275219479e-28,5.415955066255689e-15,1.1033241590535269e-16,9.755563644699646e-16,5.3479250290427705e-14,4.3713115444751106e-17,6.119122883741775e-16,5.206627449308331e-17,1.3155309613416434e-13,1.1916227436413998e-16,9.369098432063801e-09,2.677882980703254e-28,9.798330451282866e-17,3.6182427786031045e-15,1.5159537621069552e-15,2.6469779601696886e-23,2.6469779601696886e-23,0.0,2.6469779601696886e-23,2.6469779601696886e-23,4.484155085839415e-44,2.9582283945787943e-31,2.5801430550286167e-07,0.0,1.88079096131566e-37,9.4039548065783e-38,1.88079096131566e-37,0.0,0.0,3.0159833061379243e-28,1.848540837433008e-21,1.0339757656912846e-25,8.271806125530277e-25,2.0679515313825692e-25,1.0339757656912846e-25,1.0339757656912846e-25,0.0,7.153972635911448e-15,1.1033241590535832e-16,1.2097160660554514e-09,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.341286021795658e-15,5.347925029042771e-14,6.613717415992145e-17,2.7724108228424084e-09,0.0,3.101927297073854e-25,1.0339757656912846e-25,2.0679515313825692e-25,5.169878828456423e-26,0.0,3.7668361051678054e-16,5.206627449307411e-17,1.3150227061806386e-13,1.1098149235722989e-16,7.870936519650836e-10,0.0,4.1359030627651384e-25,8.271806125530277e-25,1.6543612251060553e-24,4.1359030627651384e-25,2.652948119640865e-08,1.488359837331379e-28,7.866715039551517e-16,4.659730576418526e-15,1.0817564257640214e-15,6.221739539801101e-09
8,1.0351233589317534e-08,3.1662551265578614e-08,1.0348565173659973e-08,2.0236254571694976e-09,1.0979608398952674e-08,1.0312966835972381e-08,9.229692735493245e-09,1.854469770826e-10,2.4883793296316027e-12,4.551136090196194e-11,9.93585916725275e-09,4.5705800421403475e-11,1.2958525348596544e-10,2.3166461207913364e-08,1.0631455003590484e-11,2.7548191566591076e-08,1.2188422385148921e-11,2.402499759386624e-08,2.6815325177997962e-08,1.5725989603934678e-10,6.268593194787084e-12,5.7851238164487114e-09,5.7729454590449865e-09,1.732541903380877e-10,1.0070248445417579e-08,2.9296984579732807e-08,1.972432145764945e-09,2.9557337211485402e-08,1.450536892763857e-08,1.954792894854184e-09,1.819555009546577e-24,1.0097419586828951e-28,0.0,1.6543612251060553e-24,0.0,4.160136869773528e-26,0.0,1.9721522630525295e-31,2.524354896707238e-29,9.860761315262648e-32,3.944304526105059e-31,0.0,1.232595164407831e-32,7.395570986446986e-32,3.0814879110195774e-32,5.650196974346053e-32,7.426867348043278e-32,8.271806125530277e-25,0.0,7.395570986446986e-32,3.944304526105059e-31,0.0,6.203854594147708e-25,0.0,4.930380657631324e-32,5.048709793414476e-29,0.0,5.048709793414476e-29,1.9721522630525295e-31,1.4791141972893971e-31,7.888609052210118e-31,4.930380657631324e-32,5.685008931259546e-08,1.4478162174407568e-16,1.0275323587030564e-15,1.4738065551249652e-16,1.0826437942669687e-16,4.447898374003764e-14,3.540422320746411e-15,6.832535966908356e-17,3.319961321054545e-15,1.8069876288938868e-13,2.4348645909528535e-15,1.7394225487884956e-05,1.1451481101384663e-16,5.449711674750904e-16,1.346770692061748e-15,3.362048690369682e-16,0.0,8.271806125530277e-25,0.0,0.0,0.0,4.930380657631324e-32,1.232595164407831e-31,1.1077232202950676e-08,3.308722450212111e-24,9.926167350636332e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,1.9721522630525295e-31,9.673795274907144e-17,3.833762738562736e-08,0.0,3.308722450212111e-24,1.6543612251060553e-24,4.963083675318166e-24,4.963083675318166e-24,9.860761315262648e-32,5.978350035844761e-16,7.585916515058888e-16,2.0445435021625378e-08,0.0,1.6543612251060553e-24,4.963083675318166e-24,4.963083675318166e-24,1.6543612251060553e-24,3.506697046905252e-16,4.3343629269564996e-14,1.0262352685821434e-15,2.5723181110068325e-08,4.1359030627651384e-25,4.1359030627651384e-25,2.0679515313825692e-25,2.0679515313825692e-25,4.1359030627651384e-25,2.3665827156630354e-30,2.1733286847427925e-17,3.3635009140668436e-15,1.809148699941438e-13,2.4900034087598468e-15,1.0617692239662375e-08,1.0339757656912846e-25,4.1359030627651384e-25,0.0,1.0339757656912846e-25,0.0,1.736965018909434e-05,5.0592981879115973e-17,1.2081791841560058e-15,9.366652796296307e-16,4.217933363797538e-16,2.0952835727979945e-09
9,2.953536045512772e-08,4.7486006298342727e-08,2.9239530874866157e-08,4.391926037821934e-09,2.039735822059346e-09,2.88748905362722e-08,2.9955067280141394e-08,8.68584922739131e-08,8.481695153970173e-08,6.075502278510294e-11,2.9743604201626973e-08,1.009260166702743e-08,1.5226994292087605e-08,3.898175625158107e-08,8.475930247307696e-08,2.16299956577662e-08,8.386750221700816e-08,3.890658478882775e-08,2.1414289805179678e-08,1.4489164676276785e-08,8.42191869133204e-08,5.585731237438995e-09,5.4277788255507965e-09,1.4061724021702824e-08,1.595198474971956e-09,4.493083273840259e-08,4.107773215805025e-09,4.484746557228202e-08,1.0931217986299557e-08,3.867180332777352e-09,3.9291079096268815e-24,1.5146129380243427e-28,1.6543612251060553e-24,3.308722450212111e-24,1.9721522630525295e-31,6.617444900424222e-24,2.9582283945787943e-31,4.930380657631324e-32,1.0097419586828951e-28,1.232595164407831e-31,1.4791141972893971e-31,3.5151867311053464e-20,1.9721522630525295e-31,0.0,0.0,1.116016217461641e-31,1.0256178806969652e-31,4.1359030627651384e-24,2.710505431213761e-19,1.1832913578315177e-30,1.1832913578315177e-30,0.0,3.1019272970738538e-24,4.963083675318166e-24,7.888609052210118e-31,1.0097419586828951e-28,5.9164567891575885e-31,1.5146129380243427e-28,2.9582283945787943e-31,3.944304526105059e-31,4.930380657631324e-32,0.0,9.978541090417644e-08,2.728645279222041e-15,1.809929867954128e-15,2.6284883089586245e-15,1.0998297782360337e-15,4.162257608344764e-13,3.6013753157583125e-15,1.1511395928956537e-15,3.4894753645829558e-15,1.118417777593673e-12,1.1941517498780616e-15,7.000466733398202e-06,1.3412131561687497e-15,3.189435680232882e-16,2.655600530000319e-15,2.6061344394981665e-15,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,0.0,9.860761315262648e-32,4.930380657631324e-31,7.606074804834677e-08,0.0,3.308722450212111e-24,1.6543612251060553e-24,4.963083675318166e-24,1.6543612251060553e-24,2.465190328815662e-31,3.037864998084337e-15,1.649886932630003e-08,2.895132143935597e-24,1.2407709188295415e-24,8.271806125530277e-25,4.1359030627651384e-25,2.0679515313825692e-24,0.0,2.2716570702280353e-15,2.5557613376488116e-15,2.8198663981465705e-10,4.1359030627651384e-24,3.308722450212111e-24,3.308722450212111e-24,4.963083675318166e-24,2.481541837659083e-24,5.549566560235138e-15,4.1483897142683137e-13,3.916707167004094e-15,1.6527451811803756e-08,8.271806125530277e-25,8.271806125530277e-25,1.2407709188295415e-24,1.6543612251060553e-24,8.271806125530277e-25,1.4791141972893971e-31,1.8960958697766876e-16,3.9263105464261915e-15,1.1180299611642584e-12,8.898698858462995e-16,1.2043318553365926e-08,1.6543612251060553e-24,2.0679515313825692e-24,2.274746684520826e-24,2.274746684520826e-24,2.0679515313825692e-24,5.622868195832324e-05,7.35807896412416e-16,2.1493462517180424e-15,5.93799237970232e-15,3.396479073561216e-15,3.0236469109064713e-09
