,Y3Z2,Y2Z3,Y4Z0,Y0Z4,Y5Z1,Y1Z5,Y4Z3,Y3Z4,Y4Z2,Y2Z4,Y3Z0,Y0Z3,Y1Z0,Y0Z1,Y5Z4,Y4Z5,Y2Z1,Y1Z2,Y5Z2,Y2Z5,Y3Z1,Y1Z3,Y4Z1,Y1Z4,Y2Z0,Y0Z2,Y3Z5,Y5Z3,Y0Z5,Y5Z0,standard_y,Y1,X4Y5,X2Y1,X3Y1,X5Y3,X4Y3,X4Y2,X4Y0,X2Y5,X2Y4,X2Y3,Y4,Y3,X5Y4,X5Y2,X5Y1,X4Y1,X3Y4,X3Y2,X1Y4,X1Y2,X1Y0,X1Y5,X0Y1,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y3,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0Y3,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9667309481655971,0.966730948165597,0.9464854389516257,0.9464854389516255,0.8769244496546276,0.8769244496546276,0.8718372477591567,0.8718372477591567,0.8038946734021047,0.8038946734021046,0.6419693677311351,0.6419693677311351,0.5807571649339568,0.5807571649339567,0.48964788923772384,0.48964788923772384,0.449399615864453,0.449399615864453,0.41903060141150406,0.41903060141150406,0.3534455518676901,0.3534455518676901,0.28791940067269295,0.28791940067269284,0.20572399898108007,0.20572399898108007,0.10460931071959004,0.10460931071959001,0.041206465604977455,0.04120646560497737,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.0408340855860843e-17,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0017579583959722797,0.0017636916058569583,0.9464854389516257,0.9464854389516255,0.8769244496546276,0.8769244496546276,0.07055711804271891,0.001585398308110269,0.06510705790635654,0.0014666151840517533,0.0011673935153327147,0.43691445439065235,0.5807571649339568,0.5807571649339567,0.4896478892377238,0.48964788923772384,0.0008198789246164774,0.09710359125006829,0.3147615163730302,0.0007644740821725177,0.0006427254414518115,0.09449246092004751,0.28791940067269295,0.28791940067269284,0.0003753202385986968,0.4341574621967127,0.00019022750479368657,0.3130584581601531,0.04120646560497737,0.04120646560497737,1.6263032587282567e-19,1.1102230246251565e-16,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,5.421010862427522e-20,0.0,0.0,0.0,5.421010862427522e-20,1.3877787807814457e-17,5.551115123125783e-17,1.0842021724855044e-19,0.0,0.0,0.0,1.1102230246251565e-16,5.421010862427522e-20,2.7755575615628914e-17,2.7755575615628914e-17,2.710505431213761e-20,1.4062440990315894e-17,8.673617379884035e-18,1.1243515341853583e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,1.6263032587282567e-19,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,5.194136796856443e-05,5.2110763765952705e-05,0.0012131442951858404,0.0012171007089898517,0.8769244496546276,0.8769244496546276,9.043387823322415e-05,1.24626950795341e-05,8.345190061263775e-05,3.227991033211095e-05,1.2198232980823098e-05,0.0005618348210620287,0.2937739374723825,0.000746804893242717,0.44857540692506415,0.00062759924139614,2.4224482792507955e-05,0.09710300547135925,0.3147613430000547,2.2587468335729287e-05,1.899023249565741e-05,0.09449320572706366,0.0003690366106279374,0.29094942572379096,3.2102954667168945e-05,0.0005582913674665958,5.6205407630059356e-06,0.3130591526354505,5.2988050781145905e-05,0.44684932794307036,5.553486815378095e-17,1.1102230246251565e-16,0.0,3.3881317890172014e-21,8.470329472543003e-22,0.0,3.308722450212111e-24,0.0,5.551115123125783e-17,0.0,1.6543612251060553e-24,2.7755575615628914e-17,2.710505431213761e-20,1.6940658945086007e-21,0.0,0.0,5.551115123125783e-17,5.421010862427522e-20,1.6543612251060553e-24,0.0,0.0,1.6940658945086007e-21,6.686928071878676e-21,5.551115123125783e-17,8.063356611166914e-21,0.0,1.6653345369377348e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.702204402546287e-06,4.717539648717203e-06,7.976136369930074e-05,8.002148853491924e-05,0.00020261550996231354,0.0002032762976391816,5.945813175799366e-06,1.1282337928177161e-06,5.486764889048563e-06,2.9222698520893436e-06,1.104298323378381e-06,3.693930857952065e-05,6.809848938740031e-05,4.5628138834964186e-05,0.00010364442229398803,1.7078753482389734e-05,1.5484455154968544e-07,2.250905348395727e-05,7.272636773105688e-05,1.4106853568733961e-07,1.2119999662613972e-06,2.190408666450501e-05,1.6865745741121103e-05,6.744391600993952e-05,2.9062542607022192e-06,3.6706335002325526e-05,1.2047574054489415e-06,7.233307271398663e-05,4.5457201688620193e-05,0.00010324570822397048,1.683477982667922e-20,2.0328790734103208e-20,1.6543612251060553e-24,2.5849394142282115e-26,0.0,0.0,1.9387045606711586e-26,3.2311742677852644e-27,5.551115123125783e-17,1.0339757656912846e-25,0.0,6.938893903907228e-17,3.3881317890172014e-21,0.0,1.2407709188295415e-24,5.169878828456423e-26,5.551115123125783e-17,8.271806125530277e-25,1.2924697071141057e-26,5.551115123125783e-17,0.0,2.5849394142282115e-26,8.66383844098891e-25,5.551115123125783e-17,5.892601635383705e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5.6095433176700135e-08,5.607225084921179e-08,2.317342139886872e-08,2.3098523368711706e-08,9.19007974766207e-09,3.3833577397336364e-07,1.7112031015576764e-09,1.3339337183189896e-08,1.5808776364983408e-09,3.453215306561233e-08,1.3059493912743674e-08,1.058693342420124e-08,1.1256670245049148e-07,1.3093721265601914e-08,4.6741746422521975e-09,4.941987638018914e-09,1.900654205004774e-09,3.717776596568319e-08,3.2764516591024856e-09,1.5779955413390686e-09,1.4351493052654444e-08,3.6181702270248115e-08,4.8198222331540846e-09,1.1148831387605628e-07,3.4343527359389976e-08,1.052033965243896e-08,1.4180611681810626e-08,3.258748618305955e-09,1.2995846557794173e-08,4.656200672849335e-09,4.963083675318166e-24,6.617444900424222e-24,2.465190328815662e-32,9.860761315262648e-31,1.9721522630525295e-31,1.232595164407831e-32,2.465190328815662e-32,6.162975822039155e-33,0.0,4.930380657631324e-32,4.930380657631324e-32,2.7755575615628914e-17,1.6543612251060553e-24,1.6543612251060553e-24,0.0,2.465190328815662e-32,2.7755575615628914e-17,5.9164567891575885e-31,9.860761315262648e-32,2.7755575615628914e-17,3.944304526105059e-31,1.5777218104420236e-30,9.453908614510844e-32,2.7755575615628914e-17,1.7234665589835277e-31,1.522984004632285e-08,0.0,1.3951520123669408e-17,9.94686478039392e-17,3.7646678414908894e-16,9.278929980645734e-17,2.932593712730655e-16,0.018326148472488927,0.0,0.0591928942467788,1.8332389858779438e-15,2.0628646880645855e-15,2.3945178941835042e-15,4.292126408710982e-17,0.06808299130046895,3.2738835453962303e-16,3.9604577185135036e-16,5.06953371156577e-16,1.6543612251060553e-24,1.0339757656912846e-25,5.169878828456423e-26,0.0,0.0,1.0339757656912846e-25,0.0,1.1263340403431993e-09,0.0,2.5849394142282115e-26,1.2924697071141057e-26,2.0679515313825692e-25,5.169878828456423e-26,4.7990758556684277e-17,2.327643390652284e-09,0.0,4.1359030627651384e-25,6.203854594147708e-25,8.271806125530277e-25,4.1359030627651384e-25,4.930380657631324e-32,0.0,1.3785129873331934e-16,4.226918000659386e-16,6.13705012120233e-09,0.0,2.0679515313825692e-25,2.0679515313825692e-25,8.271806125530277e-25,2.0679515313825692e-25,9.860761315262648e-32,1.5138141638775917e-16,3.813160287075657e-16,0.01832614847248906,7.568754149539826e-09,1.6543612251060553e-24,1.6543612251060553e-24,7.237830359838992e-25,1.0339757656912846e-25,0.0,0.0,0.0591928942467788,2.1305681760428956e-15,4.628902553946413e-15,5.511818091516795e-15,3.352489529457581e-08,2.0679515313825692e-25,4.1359030627651384e-25,1.0339757656912846e-25,2.0679515313825692e-25,2.0679515313825692e-25,1.232595164407831e-32,0.0,2.465190328815662e-32,1.5407439555097887e-32,6.527762106483379e-17,0.06808299130046895,4.2371393541110817e-16,4.515967092118186e-16,1.85497363471863e-15,3.3879416272017193e-09
5,1.0519025246763579e-07,2.2095660750461905e-07,7.023654084801569e-06,1.6315992731901182e-05,8.893179162272911e-05,0.0001061763816348445,2.605768072562808e-06,2.5751856643988896e-07,2.4049841209535667e-06,1.1755082769903167e-07,2.6796972987497964e-07,9.598572082112868e-06,7.836126264331727e-05,1.2465269488059296e-05,0.00010543337605566766,5.015194250637421e-06,2.8803911541087593e-07,1.2378594572879645e-05,0.0001132886248185439,2.830337041128965e-07,4.040116744442124e-07,1.3462269020668165e-05,4.875269411631453e-06,7.662827551056629e-05,1.1128623111048229e-07,9.464334117689417e-06,3.9690623250874113e-07,0.00011317786421430745,1.2189326631179258e-05,0.00010420831725542397,8.205631676526035e-22,0.0,5.169878828456423e-26,2.5849394142282115e-26,5.169878828456423e-26,0.0,0.0,8.077935669463161e-28,6.938893903907228e-18,3.2311742677852644e-27,8.077935669463161e-28,1.3877787807814457e-17,8.470329472543003e-22,0.0,5.169878828456423e-26,2.5849394142282115e-26,6.938893903907228e-18,0.0,2.4233807008389483e-27,0.0,1.0339757656912846e-25,2.5849394142282115e-26,2.916576538783125e-26,6.938893903907228e-18,3.061095856619614e-26,0.0005381034944521006,0.0,1.8083666525189856e-09,3.472617239071132e-10,1.5240211628143218e-11,2.028232082349378e-10,2.246497366855779e-11,0.0460105314320836,2.6469779601696886e-23,0.09802092601185194,4.053629244350965e-09,2.2345844359363421e-10,2.6557391740650235e-10,3.86450381939909e-09,0.0004988555206225943,1.3173628545808586e-12,1.3413170649056302e-11,4.1494745792904317e-10,0.0,0.0,3.3881317890172014e-21,3.3881317890172014e-21,0.0,0.0,0.0,0.00024223276636345953,1.0587911840678754e-22,1.0587911840678754e-22,0.0,0.0,2.117582368135751e-22,7.391104564214336e-10,1.919176700184689e-06,1.0587911840678754e-22,1.0587911840678754e-22,5.293955920339377e-23,1.0587911840678754e-22,1.0587911840678754e-22,6.462348535570529e-27,1.0097419586828951e-28,8.91723310786354e-11,5.655887828102959e-12,1.6595594210272036e-06,0.0,2.117582368135751e-22,1.0587911840678754e-22,2.117582368135751e-22,0.0,2.0194839173657902e-28,2.888758406521074e-10,5.805218345594046e-12,0.04601053143147052,1.0589937664971573e-06,1.3552527156068805e-20,0.0,6.776263578034403e-21,0.0,1.3552527156068805e-20,5.169878828456423e-26,0.09802091588527248,3.662145731364357e-09,1.3235075725973803e-10,1.322623964238388e-10,0.00030036990708174564,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,2.117582368135751e-22,0.0,2.0679515313825692e-25,6.938893903907228e-18,0.0,0.0,2.9311417619778553e-09,0.0004988555218025904,8.99346356783308e-12,8.61252451171831e-14,4.213640230151603e-10,5.2985554804442085e-06
6,8.763315703654895e-06,4.530655493490164e-06,1.4366496664321572e-05,4.2694811552515085e-06,6.627237307653098e-06,7.269077388025284e-06,8.592454148825819e-07,3.5150612098002363e-06,6.441634905518366e-07,4.193305185474455e-06,3.252605505332039e-06,1.728723745612469e-06,6.9409728042487864e-06,3.0597071750835733e-06,5.941805015304155e-06,1.4094947017270839e-05,4.375216206792424e-06,1.150382944421083e-06,2.3335083641107755e-07,4.294631889448426e-06,3.558741107263685e-06,9.8884591217957e-07,1.368790027120403e-05,6.707549746070612e-06,4.02656563863485e-06,1.7116128620952765e-06,3.3416932364497492e-06,1.648784986073944e-07,3.0692418410854527e-06,5.87063414876146e-06,1.2705494208814505e-21,2.117582368135751e-22,0.0,2.0194839173657902e-27,9.693522803355793e-27,0.0,6.462348535570529e-27,4.8467614016778965e-27,1.734723475976807e-18,0.0,0.0,1.3877787807814457e-17,0.0,4.235164736271502e-22,0.0,6.462348535570529e-27,0.0,1.6155871338926322e-27,0.0,6.938893903907228e-18,1.6155871338926322e-27,3.2311742677852644e-27,2.540132114811658e-27,0.0,9.624103043696344e-28,1.7870259289653787e-06,4.235164736271502e-22,8.644697531647883e-11,5.3842656039902986e-11,4.273389496161859e-11,9.545906696276344e-11,8.192223497710273e-11,0.10499335337273677,4.235164736271502e-22,7.464076011580625e-05,2.5644096661555586e-10,6.936479119239214e-11,8.468612394627677e-11,1.4838974439238917e-10,0.05124252584044578,1.1383418330052893e-10,5.015026509803675e-11,6.270391135868404e-11,2.117582368135751e-22,8.470329472543003e-22,1.0587911840678754e-22,1.0587911840678754e-22,1.6940658945086007e-21,1.6940658945086007e-21,8.70902439363997e-28,1.2160915315942537e-05,0.0,0.0,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,6.608087127395117e-11,2.952676217447271e-06,1.0587911840678754e-22,1.5881867761018131e-22,0.0,0.0,0.0,0.0,6.462348535570529e-27,9.999050103258022e-11,1.1240845851259346e-10,1.133042019866863e-06,4.235164736271502e-22,8.470329472543003e-22,8.470329472543003e-22,4.235164736271502e-22,4.235164736271502e-22,0.0,5.733945899034017e-11,1.6039145841625794e-10,0.10499335343500818,4.439002343242805e-06,2.117582368135751e-22,6.352747104407253e-22,1.5881867761018131e-22,5.293955920339377e-23,2.117582368135751e-22,0.0,0.0013747048043426242,2.5718371001434266e-10,4.202539707105706e-11,3.5380624695430874e-11,7.3873206754051224e-06,8.470329472543003e-22,0.0,0.0,8.470329472543003e-22,8.470329472543003e-22,0.0,1.734723475976807e-18,3.2311742677852644e-27,6.462348535570529e-27,1.8312027838822244e-10,0.049599569911055436,9.270301388081392e-11,7.818742646093775e-11,1.02415437177893e-11,1.1502573521559067e-05
7,6.894830846661467e-06,0.00015852324855938,2.168422289616293e-05,2.1360755061132036e-05,8.176001468107378e-05,3.413825571424899e-05,2.3000047606774578e-05,4.089154400162291e-05,2.279792609625767e-05,0.00016206051380468538,3.715087927424225e-05,1.349060438948055e-05,3.212922095553183e-05,2.175848535519711e-05,7.801898140035528e-05,2.1479340871119832e-05,0.00015701262237298338,2.2169399469916294e-05,0.0001157765236330421,0.00015087805261689615,3.461365512999812e-05,2.223935637094452e-05,2.2295364761012725e-05,2.6136186408872935e-05,0.00016203053713682592,1.3635342259520271e-05,3.827957587603996e-05,0.00011820966768360608,2.087219642157202e-05,7.71921493135839e-05,3.3881317890172014e-20,1.6940658945086007e-21,2.5849394142282115e-26,2.0679515313825692e-25,0.0,2.5849394142282115e-26,0.0,0.0,4.336808689942018e-19,0.0,0.0,3.469446951953614e-18,1.6940658945086007e-21,3.3881317890172014e-21,1.2924697071141057e-26,0.0,8.131516293641283e-20,2.5849394142282115e-26,2.0679515313825692e-25,0.0,1.2924697071141057e-26,1.0339757656912846e-25,8.002205022561944e-26,2.710505431213761e-20,9.860130226538471e-26,0.0002891739934064763,1.3552527156068805e-20,2.189762100576435e-09,8.615203136152944e-09,9.54744891098407e-09,3.0233308682356047e-08,1.3561049506208427e-09,0.00012357920453145757,1.3552527156068805e-20,0.014018005997752193,1.2020455955895511e-08,1.3747806326145251e-08,2.9319736525787194e-08,2.1960853107803444e-09,0.004367662879373789,3.3553644421920886e-10,1.6579707458735107e-09,1.497663034677327e-09,0.0,0.0,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,8.271806125530277e-25,0.00011150874863065453,0.0,3.3881317890172014e-21,3.3881317890172014e-21,0.0,0.0,2.2215408319430373e-09,3.0013766712637788e-05,8.470329472543003e-22,4.235164736271502e-22,8.470329472543003e-22,2.117582368135751e-22,4.235164736271502e-22,4.1359030627651384e-25,1.0339757656912846e-25,1.5202277635444203e-09,9.812971566390599e-09,3.222358244830617e-06,3.3881317890172014e-21,3.3881317890172014e-21,3.3881317890172014e-21,3.3881317890172014e-21,3.3881317890172014e-21,4.1359030627651384e-25,2.0331589225708867e-08,1.0117846022079572e-09,2.002905480349999e-05,4.9726268289161427e-05,0.0,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,1.3552527156068805e-20,2.0679515313825692e-25,0.011713114064642483,1.1449700987590918e-08,1.1514421257334117e-08,2.0409858178386307e-08,0.00013565402617054452,1.6940658945086007e-21,0.0,0.0,0.0,1.6940658945086007e-21,0.0,4.336808689942018e-19,0.0,4.1359030627651384e-25,1.439286044221912e-09,0.005944469851560561,5.101003278177222e-10,2.224691358119403e-09,2.3402841771467833e-09,1.9076358783922986e-05
8,2.2899894835560356e-07,2.7379988093946637e-06,8.076860173237022e-07,4.536474534987239e-06,2.4096246455320215e-06,9.140962289915298e-07,7.370353718697529e-07,2.092270650522174e-07,8.127906944132012e-07,2.7411282287624857e-06,2.411989049381024e-07,4.4966511885823115e-06,1.1162419683353041e-06,4.549989045966176e-06,3.0259177912902684e-06,8.217038720308256e-07,2.643557501564856e-06,1.154440706993022e-06,2.852463130931584e-06,2.5064148745131578e-06,2.1368530295906706e-07,1.1000068682867924e-06,7.898517783948286e-07,1.0806848496975482e-06,2.7067238684264858e-06,4.399943027336255e-06,2.2302480677445767e-07,2.881707016714807e-06,4.308960947125128e-06,2.9599998394627337e-06,7.940933880509066e-23,5.293955920339377e-23,8.077935669463161e-28,8.077935669463161e-28,4.0389678347315804e-28,1.6155871338926322e-27,4.0389678347315804e-28,0.0,6.776263578034403e-21,4.0389678347315804e-28,4.0389678347315804e-28,0.0,5.293955920339377e-23,2.6469779601696886e-23,4.0389678347315804e-28,0.0,5.421010862427522e-20,1.6155871338926322e-27,8.077935669463161e-28,5.421010862427522e-20,3.2311742677852644e-27,8.077935669463161e-28,2.524354896707238e-28,0.0,2.461246024289557e-28,1.7948082154103957e-07,2.117582368135751e-22,9.25181566964987e-12,8.62918082725851e-12,1.3391567991854272e-11,1.401503710859897e-11,1.4380808182127031e-12,0.00018460810264351777,0.0,4.045521024294889e-05,4.277730762550153e-11,2.2662971891614084e-11,1.0470069997643723e-11,4.6224570708233745e-12,0.006562334000979943,9.34033878036e-13,3.989296611355023e-12,6.1499908190462575e-12,4.235164736271502e-22,0.0,2.117582368135751e-22,0.0,0.0,2.117582368135751e-22,1.6155871338926322e-27,2.0508301155053907e-07,5.293955920339377e-23,5.293955920339377e-23,1.0587911840678754e-22,5.293955920339377e-23,5.293955920339377e-23,1.2424173104445377e-13,8.32131854541106e-07,2.6469779601696886e-23,1.3234889800848443e-23,0.0,1.3234889800848443e-23,1.3234889800848443e-23,0.0,5.048709793414476e-29,7.241539894982613e-13,1.3290980874480713e-11,1.969226569159144e-07,2.117582368135751e-22,0.0,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,0.0,1.6419894808049835e-11,4.84261420177816e-13,0.00016180724360277953,2.3511111814133818e-06,5.293955920339377e-23,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,4.0389678347315804e-28,0.000732006229017237,5.1405766132926366e-11,1.5029639936595014e-11,1.1976454391536807e-11,1.6757048769217312e-07,0.0,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,8.077935669463161e-28,0.0,0.0,8.077935669463161e-28,4.437899425928351e-12,0.0062692600053575465,1.375220977929137e-12,3.726289998192551e-12,1.589985007414835e-11,2.4341860582548218e-06
9,6.579776134487658e-07,7.5491261606485734e-06,4.0808137796613185e-06,1.7609293002069442e-05,2.3763182054530573e-07,1.0231097898161758e-07,3.6729148194521145e-06,6.843716629186348e-07,4.220944016069661e-06,7.542885625025316e-06,7.843641171652055e-07,1.7187675466508386e-05,1.4645627502007605e-07,1.7579099521653738e-05,2.5743624981964504e-07,4.1101667294874835e-06,7.2567270523929045e-06,1.3869636675780532e-07,2.168336905928235e-07,6.83256503920798e-06,6.966465388660891e-07,1.3096809326459613e-07,3.986652083113952e-06,1.397406407667616e-07,7.423295629654327e-06,1.680235749574643e-05,7.30275475347147e-07,2.2213925121910697e-07,1.643964107910922e-05,2.4188875475881286e-07,7.940933880509066e-22,0.0,0.0,2.0194839173657902e-28,4.0389678347315804e-28,8.077935669463161e-28,0.0,1.2924697071141057e-26,6.776263578034403e-21,4.0389678347315804e-28,6.462348535570529e-27,0.0,8.470329472543003e-22,5.293955920339377e-23,2.0194839173657902e-28,1.6155871338926322e-27,1.6263032587282567e-19,8.077935669463161e-28,0.0,4.336808689942018e-19,0.0,4.0389678347315804e-28,3.1160005756229966e-29,5.421010862427522e-20,8.480254731125877e-29,2.359891227872693e-05,0.0,7.85199237638331e-12,1.9382055814402436e-12,1.2460566959976976e-10,1.7979535096857046e-12,2.452028772628529e-12,5.745899415481723e-05,0.0,2.826264328605285e-05,5.516757358124293e-12,6.837074588677855e-12,6.534390525802503e-12,1.175125818660429e-12,7.979517504663378e-05,1.7877525857783562e-11,4.327172924866103e-11,7.057734920439024e-13,0.0,5.293955920339377e-23,2.6469779601696886e-23,0.0,2.6469779601696886e-23,0.0,0.0,1.273873021299666e-07,4.235164736271502e-22,2.117582368135751e-22,8.470329472543003e-22,2.117582368135751e-22,2.117582368135751e-22,2.683231519845315e-12,3.6651310059863872e-06,0.0,1.0587911840678754e-22,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,2.0194839173657902e-27,8.077935669463161e-28,8.242190550815808e-13,1.2244358817491266e-10,8.380838116036273e-07,0.0,8.470329472543003e-22,1.6940658945086007e-21,0.0,0.0,1.2924697071141057e-26,4.632897391328019e-12,1.1486762924862265e-11,0.0001665193304687477,1.0754778845734018e-05,0.0,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,0.0,6.058451752097371e-28,0.0007190164813835712,1.397131600612709e-11,2.1203166167109064e-12,9.770027740680409e-12,1.3692345895738186e-08,0.0,1.6940658945086007e-21,0.0,3.3881317890172014e-21,1.6940658945086007e-21,1.5146129380243427e-28,5.421010862427522e-20,0.0,0.0,8.098781299577137e-12,0.0005736629329319333,2.2748135765841488e-11,4.2118302408322246e-11,9.7368465098037e-12,1.720626860255722e-05
