,Y5Z1,Y1Z5,Y0Z5,Y5Z0,Y3Z2,Y2Z3,Y5Z4,Y4Z5,Y1Z3,Y3Z1,Y3Z0,Y0Z3,Y2Z5,Y5Z2,Y1Z0,Y0Z1,Y3Z5,Y5Z3,Y4Z0,Y0Z4,Y4Z3,Y3Z4,Y2Z1,Y1Z2,Y4Z1,Y1Z4,Y2Z0,Y0Z2,Y4Z2,Y2Z4,X2Y3,X1Y0,X0Y1,X5Y3,X2Y1,X2Y4,standard_y,X4Y1,X1Y5,Y1,X5Y1,X5Y0,X4Y5,X3Y1,X3Y0,X2Y5,X1Y3,X0Y5,X5Y2,X3Y2,Y4,X3Y4,X0Y2,X5Y4,X1Y4,X1Y2,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.966087146154121,0.966087146154121,0.938325274775271,0.9383252747752708,0.8736083929044367,0.8736083929044367,0.8503102698071712,0.850310269807171,0.761985007195604,0.7619850071956038,0.7115468422680244,0.7115468422680244,0.6493164540857067,0.6493164540857066,0.5481578284163298,0.5481578284163298,0.5116004016739405,0.5116004016739404,0.30225005591781573,0.3022500559178156,0.2180493456293846,0.21804934562938455,0.19271834726532977,0.19271834726532977,0.16564154740156092,0.1656415474015609,0.13189146337587565,0.13189146337587565,0.1075195632359407,0.10751956323594068,1.6653345369377348e-16,1.3877787807814457e-16,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,9.71445146547012e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0017385355836056337,0.0017442054500914567,0.3919502265249504,0.0016885763211811713,0.8736083929044367,0.8736083929044368,0.0015301876927459293,0.6852074403624946,0.001375712747788204,0.2520484895378081,0.7115468422680244,0.7115468422680247,0.45722488697258834,0.0011684864713732007,0.0009896621393216758,0.3871157200085812,0.2479063927019191,0.000920657630564508,0.3022500559178157,0.3022500559178156,0.21804934562938466,0.2180493456293846,0.4544863272638363,0.00034794003105303843,0.6819032482932628,0.0002990546876537101,0.1318914633758756,0.13189146337587568,0.10751956323594072,0.10751956323594067,0.0,1.528629771997995e-20,1.181875659215766e-20,0.0,0.0,5.551115123125783e-17,1.1129335300563703e-16,5.421010862427522e-20,0.0,1.6263032587282567e-19,1.3877787807814457e-17,0.0,2.168404344971009e-19,5.421010862427522e-20,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,2.710505431213761e-20,2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,2.710505431213761e-20,1.3552527156068805e-19,2.0328790734103208e-20,0.0,1.0842021724855044e-19,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00016379549112037294,0.00016432967550773314,0.39194934394833447,0.00015908859757042608,0.00017947208005743298,0.0001788886724480798,0.00014416607114814395,0.6852071736667568,9.69377904207868e-05,5.178008730915545e-05,0.00014617853133893803,0.5800841195698262,9.362581472138518e-05,2.3631067718519802e-05,9.324065476833159e-05,0.38711723078504473,5.0929565816140326e-05,2.2991237483385798e-05,0.3022500559178156,0.30225005591781556,0.1108792971324986,4.479555133984225e-05,9.306531783521932e-05,9.640989712623022e-05,0.6819046173587422,2.8175327498617693e-05,2.700739711543254e-05,0.5773423476500599,0.10982096757086637,2.2016766420396325e-05,0.0,1.86645550404348e-21,1.5481460645754181e-21,3.308722450212111e-24,1.6543612251060553e-24,0.0,5.547049364978962e-17,3.3881317890172014e-21,8.326672684688674e-17,1.3552527156068805e-20,8.326672684688674e-17,0.0,1.3552527156068805e-20,8.271806125530277e-25,1.3552527156068805e-20,3.308722450212111e-24,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,6.776263578034403e-21,8.271806125530277e-25,0.0,1.3552527156068805e-20,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.8506339786075715e-09,1.3454827353371259e-05,0.09068181416403906,4.711244196685527e-09,2.784374145874735e-05,2.7753230162312288e-05,4.26932901809634e-09,0.00020480937948071597,9.572991605515253e-06,1.4937873279731063e-05,2.2678498138085294e-05,0.5800841168624298,1.1120708046717959e-05,6.998095649973663e-10,9.207884847710258e-06,0.08682904877285544,1.4828439695246332e-05,6.808617743136282e-10,9.034296340324825e-05,0.08842515791265201,3.314197594837405e-05,1.482534614744122e-05,1.1044818952320971e-05,9.520860376004413e-06,0.00020382224512874092,1.339302887722141e-05,4.189994245986219e-06,0.5773423622563081,3.282564176344386e-05,1.1062386417001534e-05,0.0,4.5328462345739995e-22,5.950537118541901e-22,2.524354896707238e-29,2.5849394142282115e-26,4.1359030627651384e-25,6.924918273867839e-18,1.0339757656912846e-25,6.776263578034403e-21,4.235164736271502e-22,6.776263578034403e-21,0.0,1.6940658945086007e-21,2.5849394142282115e-26,0.0,1.262177448353619e-29,1.2924697071141057e-26,0.0,3.1554436208840472e-30,0.0,1.3552527156068805e-20,0.0,1.6940658945086007e-21,0.0,5.169878828456423e-26,6.462348535570529e-27,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0
4,2.0344947238759477e-11,1.9473252087301364e-06,0.00020193558261957068,2.260674557378151e-11,8.269079234405692e-09,3.1340713318415294e-06,1.7906787855177516e-11,5.93536654549472e-06,5.717750437093604e-08,4.436273784574521e-09,6.735096944460177e-09,0.0012917655293341215,1.4782749650437505e-06,2.2567198861775513e-11,4.833483026412661e-08,0.0001933560178405859,4.403774023877356e-09,2.2551752027979202e-11,1.6608065488346784e-06,0.00019691039658695258,1.6491647765876231e-06,4.402855309714377e-09,1.4681870332356925e-06,5.395049814125043e-08,5.906759437873346e-06,1.9383812014452037e-06,3.1202576660460667e-06,0.001285660029380431,1.6498490743083886e-06,1.4705223814552772e-06,1.0842021724855044e-19,8.20088295414136e-26,6.336088035090401e-26,1.2037062152420224e-35,1.0097419586828951e-28,3.2311742677852644e-27,2.7906177119808084e-20,1.3883951931889808e-28,0.0,4.632211430296955e-23,0.0,3.1554436208840472e-30,0.0,0.0,0.0,0.0,7.888609052210118e-31,0.0,1.5407439555097887e-33,2.168404344971009e-19,8.470329472543003e-22,6.310887241768095e-30,0.0,0.0,2.0194839173657902e-28,1.2116903504194741e-27,0.0,1.6155871338926322e-27,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2037062152420224e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.4565998083114992e-12,5.959647951532567e-07,3.2016255057893237e-07,2.7347301411997677e-12,2.626910526742516e-09,1.1164460588626857e-06,2.1575560687115073e-12,2.40574928548963e-06,1.8682312142117916e-08,7.60980832960319e-10,2.6251474816951227e-09,3.0072787735174075e-06,5.240354379407651e-07,2.7233216126752604e-12,1.3350759426225579e-08,3.066530118937585e-07,7.554313036575341e-10,2.7214176488184813e-12,6.715022271619534e-07,3.1221318574061334e-07,6.621344506808292e-07,7.552733885967144e-10,5.204668299523174e-07,1.7697661973093696e-08,2.3941867529263357e-06,5.932363012274806e-07,1.1066561308223909e-06,3.0414465632403768e-06,6.62421747353689e-07,5.2128991973036e-07,4.235164736271502e-22,2.5645201656974336e-29,2.9180631255885985e-29,3.76158192263132e-37,3.7865323450608567e-29,0.0,9.822769774067204e-24,9.466330862652142e-30,0.0,9.512577044359818e-24,0.0,0.0,5.293955920339377e-23,4.930380657631324e-32,5.293955920339377e-23,0.0,9.860761315262648e-32,7.703719777548943e-34,9.62964972193618e-35,2.117582368135751e-22,0.0,0.0,0.0,5.293955920339377e-23,0.0,5.048709793414476e-29,2.7257790683774822e-08,0.0,1.0478070505253587e-07,2.9067119625060633e-21,5.635575487836806e-16,3.101927297073854e-25,2.5619272568753542e-20,2.6699560340048755e-13,3.5802881976074045e-07,5.293955920339377e-23,5.840501102798928e-07,4.2799384346679613e-13,3.474936972089585e-16,1.3324917997866262e-13,3.2302798509167222e-18,1.3580849621704302e-12,1.2905023722600752e-07,4.516268353706408e-10,6.911601926425966e-13,5.293955920339377e-23,2.524354896707238e-29,5.048709793414476e-29,0.0,0.0,0.0,7.308595901206015e-13,0.0,6.617444900424222e-24,1.3234889800848443e-23,2.6469779601696886e-23,2.6469779601696886e-23,1.1832913578315177e-30,2.0194839173657902e-28,0.0,1.0478070505385833e-07,1.7827011626417993e-07,7.754818242684634e-26,0.0,2.5849394142282115e-26,2.5849394142282115e-26,2.5849394142282115e-26,0.0,3.1027502302999916e-21,1.892010968274756e-15,4.575017119826077e-10,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,1.9852334701272664e-23,6.617444900424222e-24,5.169878828456423e-26,9.622667861313954e-19,6.560685166628382e-13,3.5802881994670516e-07,1.0169468587241295e-07,4.1359030627651384e-25,2.0679515313825692e-25,1.6543612251060553e-24,1.6543612251060553e-24,4.963083675318166e-24,5.840501102801025e-07,4.438491237312377e-13,4.691909110100071e-16,1.7212162194949256e-13,4.820800234200117e-08,2.6469779601696886e-23,0.0,3.308722450212111e-24,1.6543612251060553e-23,0.0,0.0,5.293955920339377e-23,3.766232949665943e-18,1.8045101939894371e-12,1.2905023722020958e-07,4.515748299976675e-10,7.016775268002591e-13,2.585563579067938e-07
6,9.564540132889593e-17,1.1913571321247362e-08,1.3891700279290599e-09,1.0626908661267502e-16,3.575030986587887e-14,3.773676883764881e-08,8.41830394265737e-17,4.608237019988366e-09,5.226537900148811e-10,1.0670450314223722e-14,3.577967086502455e-14,6.991694489952055e-09,1.8092590762781356e-08,1.0571874031650707e-16,1.5070175003394359e-10,9.387848440898473e-10,9.980494348690547e-15,1.0350705478771821e-16,1.2977655647290257e-09,9.003633209787637e-10,1.2304400163020542e-09,1.0505079045499462e-14,1.7085321343434412e-08,2.5209114108743466e-10,4.456553058326857e-09,1.138257025742868e-08,3.675802061573481e-08,6.8510599264927484e-09,1.2725616649060175e-09,1.686981783985448e-08,0.0,1.7134159941219208e-33,1.0934764365455702e-33,0.0,6.162975822039155e-33,0.0,3.521976007581412e-24,9.62964972193618e-35,0.0,1.0985992510469899e-25,0.0,0.0,8.271806125530277e-25,3.5264830524668625e-38,0.0,7.346839692639297e-40,2.350988701644575e-38,0.0,1.8367099231598242e-40,8.271806125530277e-25,0.0,1.1754943508222875e-38,0.0,8.271806125530277e-25,7.703719777548943e-34,0.0,7.269811676740855e-09,0.0,1.1071626233919002e-11,1.5615726246923674e-31,2.4820844734457234e-24,3.944304526105059e-30,1.2134637950199515e-26,1.0377485840597744e-18,5.775318045645691e-09,3.308722450212111e-24,2.4466637959296738e-12,3.5413340662670104e-19,1.0787848516851391e-23,3.510615359250822e-18,2.6506191253204457e-24,7.299662861418253e-17,3.153826812904454e-11,4.743671064451437e-16,3.6810909380618045e-16,1.0339757656912846e-25,0.0,0.0,1.8055593228630336e-35,0.0,6.018531076210112e-36,2.5753613342492774e-19,0.0,2.0194839173657902e-28,8.077935669463161e-28,0.0,4.0389678347315804e-28,4.1142302278780063e-38,2.465190328815662e-32,3.0814879110195774e-33,1.1071626233919002e-11,1.0805613659829635e-11,4.930380657631324e-32,4.930380657631324e-32,9.860761315262648e-32,0.0,4.930380657631324e-32,0.0,1.4566777096428858e-31,5.289339053393657e-24,7.835072760033914e-16,1.6155871338926322e-27,1.9387045606711586e-26,4.8467614016778965e-27,6.462348535570529e-27,6.462348535570529e-27,7.888609052210118e-31,1.6474664003977344e-26,1.1520714433396476e-18,5.775318045645677e-09,1.0150505150145564e-10,4.0389678347315804e-28,2.0194839173657902e-27,4.0389678347315804e-28,0.0,3.2311742677852644e-27,2.4466637959296794e-12,4.0941524425975866e-19,1.2874686297121595e-23,3.6809139965600036e-18,4.9376789482222745e-11,4.1359030627651384e-25,4.1359030627651384e-25,2.0679515313825692e-25,0.0,0.0,6.162975822039155e-33,3.308722450212111e-24,1.219120467914696e-24,7.499483079908171e-17,3.1538268128724836e-11,6.054373362350392e-16,3.3470729687391636e-16,7.431498347619551e-09
7,9.105312697973903e-17,1.1904507351693077e-08,1.3537075061706515e-09,1.0126875666349034e-16,3.455076506862596e-14,3.726383412949199e-08,7.998103455238731e-17,4.556590479954215e-09,6.465185442234109e-10,1.0230715412967811e-14,3.456310864858181e-14,6.480310412943362e-09,1.8095241267749178e-08,1.0094036225755102e-16,6.891367151800686e-11,6.202663451856046e-10,9.00155732161332e-15,9.673881937831294e-17,1.2788500733934742e-09,5.295649704225788e-10,1.1735022708759546e-09,9.990504157952238e-15,1.6239662172658336e-08,1.1326702743362931e-10,4.2794906068727665e-09,1.090871765399075e-08,3.5813158243998536e-08,6.121699985516511e-09,1.255452839427156e-09,1.5802382489121426e-08,0.0,6.812136699809009e-34,4.16398302627656e-34,3.503246160812043e-46,6.162975822039155e-33,0.0,3.1600915893376094e-24,7.2222372914521344e-34,2.0679515313825692e-25,2.003328046026864e-25,2.0679515313825692e-25,3.4438311059246704e-41,8.271806125530277e-25,1.1754943508222875e-38,0.0,7.346839692639297e-40,2.350988701644575e-38,9.183549615799121e-41,1.8367099231598242e-40,0.0,0.0,5.877471754111438e-39,1.5777218104420236e-30,8.271806125530277e-25,1.5407439555097887e-33,2.465190328815662e-32,1.2509229098871651e-08,0.0,1.9622270455184794e-09,1.5594453363415827e-30,1.7145637813595973e-23,3.1554436208840472e-30,2.4265564477582165e-26,1.676351872837951e-17,6.670911349774754e-09,3.308722450212111e-24,1.0671627793147878e-09,1.5703465104728335e-17,1.018161934337125e-22,8.767923574633908e-17,2.7284407345074086e-24,7.611717927466338e-17,4.2233984877237055e-09,6.799522758439728e-15,3.878396060011835e-16,5.169878828456423e-26,0.0,0.0,0.0,1.5407439555097887e-33,1.5407439555097887e-33,2.704388699631688e-17,5.169878828456423e-26,0.0,1.2924697071141057e-26,2.5849394142282115e-26,1.2924697071141057e-26,5.877471754111438e-39,1.232595164407831e-32,1.5407439555097887e-33,1.9622270455184794e-09,3.333246684464283e-10,7.888609052210118e-31,7.888609052210118e-31,3.944304526105059e-31,1.1832913578315177e-30,3.944304526105059e-31,1.7516230804060213e-46,1.6449868769202447e-30,5.249320898327577e-23,6.869787472513688e-15,0.0,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,7.888609052210118e-31,1.1826267776483531e-24,4.075226298315982e-17,6.6709113497746476e-09,3.3882446014560088e-09,1.2116903504194741e-26,1.0501316370302109e-26,5.169878828456423e-26,7.754818242684634e-26,0.0,1.0671627793147882e-09,1.6319199598756386e-17,1.3546140852556473e-22,1.1303745555772616e-16,9.665196898164914e-10,0.0,0.0,2.0679515313825692e-25,0.0,0.0,3.0814879110195774e-33,1.6543612251060553e-24,1.469079980732218e-24,8.029686611228645e-17,4.2233984877239735e-09,6.921543780785264e-15,3.5547590692028984e-16,7.821133296409138e-09
8,9.256374446376412e-17,1.1967073784749894e-08,1.8362918676778471e-09,1.0259742411192882e-16,3.475091048519737e-14,3.712477294735568e-08,8.147039448808736e-17,4.529431538193342e-09,7.770218437520538e-10,1.073384098439034e-14,3.471001583264372e-14,7.076609847620006e-09,1.839144239655306e-08,1.0244947771521525e-16,7.715034908702216e-12,6.308827146201729e-10,8.893637985843238e-15,9.614095892559158e-17,1.2779048560420934e-09,4.825787099214128e-10,1.1349454626298356e-09,1.0396246200993265e-14,1.571481535082929e-08,1.6157622838350636e-11,4.134928971374394e-09,1.0528351411027111e-08,3.522396804985304e-08,6.569650205498775e-09,1.2557117222947885e-09,1.506636915777107e-08,0.0,4.852088031889156e-34,2.6108905026113828e-34,1.7516230804060213e-46,2.465190328815662e-32,0.0,4.7255929829335313e-26,9.62964972193618e-35,4.1359030627651384e-25,4.725592366635949e-26,4.1359030627651384e-25,0.0,8.271806125530277e-25,3.5264830524668625e-38,0.0,0.0,4.70197740328915e-38,9.183549615799121e-41,3.6734198463196485e-40,0.0,0.0,0.0,0.0,8.271806125530277e-25,3.0814879110195774e-33,0.0,6.9019040094520485e-09,6.162975822039155e-33,2.003780877432764e-11,1.4398703913591584e-31,1.9492953108433188e-24,0.0,2.109532481084943e-26,1.913097046195416e-18,5.575481973237471e-09,0.0,4.798556786241818e-12,6.594531135662579e-19,9.633872478391314e-24,6.558082179097196e-18,2.5228275050509934e-24,6.870628662111502e-17,6.976363202288694e-11,2.2953121180061104e-16,3.553678028708173e-16,0.0,2.407412430484045e-35,1.2037062152420224e-35,4.81482486096809e-35,0.0,2.407412430484045e-35,4.73692606922921e-19,1.6155871338926322e-27,8.077935669463161e-28,0.0,1.6155871338926322e-27,2.4233807008389483e-27,0.0,0.0,3.0814879110195774e-33,2.003780877432764e-11,2.04459083500674e-11,4.930380657631324e-32,9.860761315262648e-32,7.395570986446986e-32,0.0,2.465190328815662e-32,1.7516230804060213e-46,1.3284038253027323e-31,4.5608230722296395e-24,7.211391715179704e-16,4.8467614016778965e-27,1.2924697071141057e-26,3.2311742677852644e-27,2.5849394142282115e-26,3.2311742677852644e-26,0.0,2.8726246523727715e-26,2.138292896171512e-18,5.575481973237463e-09,1.9370090799981504e-10,1.6155871338926322e-27,4.0389678347315804e-28,8.077935669463161e-28,6.462348535570529e-27,6.462348535570529e-27,4.798556786241827e-12,7.60813511073841e-19,1.1437433341480019e-23,6.853641763290037e-18,9.380199804009947e-11,4.1359030627651384e-25,4.1359030627651384e-25,0.0,2.0679515313825692e-25,0.0,0.0,3.308722450212111e-24,1.1594528728887648e-24,7.025178621599603e-17,6.976363202257516e-11,3.565650140573895e-16,3.2306745168582544e-16,7.209852102229166e-09
9,3.211227448305142e-17,1.1789029177766214e-08,1.9341964391314348e-09,3.562635879070736e-17,2.1237105743778682e-14,5.128163308073801e-09,2.821151470956432e-17,1.6544309450669305e-09,8.819999454313794e-10,6.549047408491478e-15,2.1141805009492536e-14,6.707139605323192e-09,2.7224026231613264e-09,3.5644661578504635e-17,8.484811025253129e-11,4.552977530427967e-10,5.0897176888731065e-15,3.273557153404528e-17,4.652136014771584e-10,2.7074150242123236e-10,3.9960405232779873e-10,6.291190362119606e-15,2.2192046771168534e-09,1.4303199725357424e-10,1.4662886327559042e-09,9.943196765594966e-09,6.840813770786939e-09,6.04662811475931e-09,4.5747501477277646e-10,2.0959987255181375e-09,1.6543612251060553e-24,3.285800584135999e-34,2.5635768549907857e-34,4.3790577010150533e-47,0.0,0.0,3.004976230192433e-25,1.8356519782440842e-34,1.0339757656912846e-25,8.724170523020214e-26,2.0679515313825692e-25,0.0,8.271806125530277e-25,1.1754943508222875e-38,8.271806125530277e-25,2.2958874039497803e-41,1.1754943508222875e-38,2.2958874039497803e-41,1.7219155529623352e-41,8.271806125530277e-25,1.0339757656912846e-25,4.408103815583578e-39,3.944304526105059e-31,8.271806125530277e-25,5.7777898331617076e-34,9.244463733058732e-33,7.919524957999155e-09,6.162975822039155e-33,1.8233393634314658e-09,3.955328788183111e-31,5.1753121782196435e-24,1.5777218104420236e-30,2.706657977210497e-26,1.4374086685187279e-19,4.365063754571807e-09,4.1359030627651384e-25,3.7394846344983874e-10,5.484358729719201e-18,7.634952528712567e-23,1.0692620670229062e-18,8.389836052373692e-25,2.2983522454236743e-17,1.6939877836045135e-10,4.743165016150928e-15,3.1612157548248504e-16,1.2924697071141057e-25,3.851859888774472e-34,0.0,7.703719777548943e-34,0.0,0.0,9.524619396918099e-18,0.0,3.2311742677852644e-27,1.2924697071141057e-26,0.0,0.0,0.0,7.703719777548943e-34,7.703719777548943e-34,1.8233393634314658e-09,1.1955998739029328e-10,7.888609052210118e-31,0.0,5.9164567891575885e-31,3.944304526105059e-31,0.0,8.758115402030107e-47,4.081115691616179e-31,1.2523626268897519e-23,4.577459503531089e-15,0.0,0.0,0.0,5.169878828456423e-26,2.5849394142282115e-26,7.888609052210118e-31,4.1734911947585087e-26,7.384487008088641e-20,4.365063754571835e-09,3.1880287268045995e-10,1.1107161545511846e-27,5.351632381019344e-27,5.169878828456423e-26,5.169878828456423e-26,0.0,3.739484634498388e-10,5.71074505878401e-18,9.300554446672689e-23,2.8566112342099057e-19,9.604570528073233e-10,4.1359030627651384e-25,0.0,0.0,0.0,8.271806125530277e-25,3.0814879110195774e-33,0.0,3.285071593973648e-25,2.2715944071589834e-17,1.6939877836023618e-10,4.722244037788499e-15,2.8444806111496715e-16,6.759820432917542e-09
