,Y5Z3,Y3Z5,Y5Z0,Y0Z5,Y2Z1,Y1Z2,Y5Z1,Y1Z5,Y1Z3,Y3Z1,Y0Z3,Y3Z0,Y2Z4,Y4Z2,Y3Z4,Y4Z3,Y4Z1,Y1Z4,Y5Z2,Y2Z5,Y2Z3,Y3Z2,Y5Z4,Y4Z5,Y2Z0,Y0Z2,Y0Z4,Y4Z0,Y0Z1,Y1Z0,standard_y,Y5,X4Y5,X4Y3,X4Y2,X0Y2,Y0,X0Y1,Y1,X5Y3,X5Y2,X3Y4,X2Y4,X0Y5,X5Y0,X2Y0,X4Y0,X3Y1,Y4,X3Y0,X1Y3,X1Y2,X5Y1,X1Y4,X4Y1,X2Y1,X1Y0,standard_x,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y2,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9639469891153336,0.9639469891153336,0.9492090229614166,0.9492090229614164,0.8443280218706307,0.8443280218706306,0.8270063195791476,0.8270063195791475,0.7423665407308786,0.7423665407308785,0.6838115504274314,0.6838115504274312,0.6032954889560167,0.6032954889560166,0.4904333667289672,0.4904333667289671,0.465445648566438,0.465445648566438,0.3705706730496452,0.3705706730496452,0.24367290875238423,0.24367290875238418,0.21663900752727772,0.21663900752727772,0.17237430786719643,0.17237430786719632,0.16135967077501234,0.16135967077501226,0.08352052115358558,0.08352052115358555,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,4.85722573273506e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.42861286636753e-17,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001675001170241904,0.0016804638326621767,0.001649391763465861,0.26762136577464596,0.8443280218706307,0.8443280218706308,0.0014370464026904933,0.087054104741115,0.08195018730371786,0.0012941791782779375,0.2623104531222499,0.0011920993496795469,0.6032954889560167,0.6032954889560167,0.0008549801435399963,0.27449891299900725,0.465445648566438,0.46544564856643805,0.0006439216243469381,0.1276902378001843,0.12569259364100765,0.0004247987853914847,0.0003764424758059163,0.2721993708623124,0.17237430786719632,0.17237430786719635,0.16135967077501234,0.1613596707750123,0.08352052115358569,0.08352052115358563,6.245004513516506e-17,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,5.551115123125783e-17,1.3877787807814457e-17,9.283481101907132e-18,2.0816681711721685e-17,6.938893903907228e-18,0.0,0.0,5.551115123125783e-17,1.0842021724855044e-19,5.421010862427522e-20,2.7755575615628914e-17,0.0,1.3552527156068805e-20,5.551115123125783e-17,1.3552527156068805e-20,1.0842021724855044e-19,6.938893903907228e-18,1.3552527156068805e-20,0.0,3.469446951953614e-18,1.3877787807814457e-17,2.350008208862331e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6263032587282567e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00020412917460160856,0.00020479489877588868,0.00020100820539865834,0.2676203454313639,4.657360027798096e-05,4.642220406755954e-05,9.691168588327258e-05,4.786281975645173e-06,4.505791002206664e-06,0.00010611800447319356,0.2623118694759943,0.00014527885748166774,3.327811256328499e-05,0.13936285934884313,0.00010419478750356878,0.2744985897430521,0.13588871449734943,2.5590780265989377e-05,9.608729957943062e-05,7.043444025027739e-06,6.933303426017808e-06,0.00010543702241511135,4.587632130439051e-05,0.27220010265806927,9.508262079249703e-06,0.08912528593673638,0.16135967077501234,0.1613596707750124,0.08829345148070775,4.5920620616506636e-06,3.466355281696136e-17,0.0,0.0,1.3552527156068805e-20,3.3881317890172014e-21,0.0,6.938893903907228e-18,3.73472046567692e-22,4.235164736271502e-22,1.3877787807814457e-17,8.271806125530277e-25,5.082197683525802e-21,6.776263578034403e-21,0.0,1.6940658945086007e-21,8.470329472543003e-22,1.3877787807814457e-17,5.169878828456423e-26,2.7755575615628914e-17,1.6940658945086007e-21,0.0,1.3877787807814457e-17,3.618915179919496e-25,4.235164736271502e-22,6.352747104407253e-22,1.0408340855860843e-17,6.948317145445432e-23,0.0,0.0,0.0,0.0,3.3881317890172014e-20,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.470804953505861e-05,1.1112008826501107e-08,5.673341073801379e-05,0.4279326442198085,2.3134500520614015e-05,2.305929749383686e-05,2.7352766343738717e-05,1.5006685639304882e-05,1.4908545748421417e-05,5.757878778953751e-09,0.4231470270998555,7.88271561591397e-09,1.9963018104479367e-05,2.670430792927622e-05,5.6535265543026405e-09,5.2598624978657504e-05,2.6038602574972874e-05,1.4942592159183762e-05,2.7120088129157514e-05,1.9921628348196894e-05,1.9920478541961265e-05,5.720929245413729e-09,4.44786712417502e-05,5.215819833631998e-05,4.72303821713636e-06,0.08912528584133576,0.42281886114749034,3.091927341555805e-05,0.08829345167760069,2.281014598868685e-06,2.776256363744376e-17,6.776263578034403e-21,0.0,3.3881317890172014e-21,4.1359030627651384e-25,0.0,2.7755575615628914e-17,1.7381455738697273e-22,2.117582368135751e-22,1.6940658945086007e-21,0.0,0.0,2.0679515313825692e-25,0.0,8.470329472543003e-22,2.117582368135751e-22,0.0,9.466330862652142e-30,0.0,0.0,1.8932661725304283e-29,0.0,6.462348535570529e-26,7.754818242684634e-26,1.2924697071141057e-26,2.7755575615628914e-17,1.822503456065931e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.4029363518317197e-09,9.700263523684144e-14,1.7802915926789449e-09,0.00046113849210379395,1.2467358574158646e-05,1.242683109011561e-05,8.583284402320298e-10,6.861957832382107e-06,6.813052462563486e-06,1.715953276344737e-13,0.00045598153326493026,9.516216437083572e-14,8.237683919879012e-06,2.7418395177868493e-08,1.6848544034079532e-13,8.554513488136293e-08,2.6734888567600217e-08,6.835370216875287e-06,8.510270100871111e-10,8.198911576873753e-06,8.206538951179032e-06,1.7049416398711554e-13,1.3957385132380285e-09,8.519579227776016e-08,8.155730816668537e-06,9.604104821525012e-05,0.0004556279049571176,8.512489227592302e-08,9.514466715159116e-05,6.83166746362136e-06,2.2453093944715952e-20,1.0339757656912846e-25,3.697785493223493e-32,0.0,0.0,0.0,2.0328790734103208e-20,5.559142242137731e-26,4.235164736271502e-22,1.6155871338926322e-27,1.5777218104420236e-30,0.0,0.0,0.0,5.293955920339377e-23,4.1359030627651384e-25,0.0,3.851859888774472e-34,6.617444900424222e-24,1.8488927466117464e-32,9.62964972193618e-35,6.938893903907228e-18,1.9721522630525295e-31,5.048709793414476e-29,2.5637979419682884e-29,1.0408340855860843e-17,3.3204259906019696e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8467614016778965e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5777218104420236e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.888609052210118e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.026343482631916e-10,8.283748494767941e-15,6.031000454152749e-10,2.4833185501903556e-06,1.6939777271836854e-08,1.6908367572898016e-08,1.5869037953387518e-10,9.295617469806781e-09,9.229664327598561e-09,1.4566393124608678e-14,2.5229526489500648e-06,7.97644989218133e-15,1.1158690325770057e-08,5.944507461910576e-09,1.4301140189822832e-14,1.855689709209027e-08,5.797140502030823e-09,9.259859512719374e-09,1.57348869322629e-10,1.1106301727382286e-08,1.1116602642453962e-08,1.4473255410049275e-14,6.001948067138152e-10,1.8480994404974443e-08,1.0989938041925905e-08,1.4410535660606152e-07,2.5130716992938633e-06,1.845022445066447e-08,1.4276076774292513e-07,9.213822198835523e-09,2.813706710159589e-23,1.2924697071141057e-26,1.5407439555097887e-33,0.0,4.930380657631324e-32,1.5777218104420236e-30,2.6469779601696886e-23,1.4860475450891912e-30,4.1359030627651384e-25,7.888609052210118e-31,0.0,0.0,2.465190328815662e-32,0.0,0.0,7.888609052210118e-31,0.0,2.350988701644575e-38,1.2407709188295415e-24,0.0,2.350988701644575e-38,1.0408340855860843e-17,4.81482486096809e-34,2.465190328815662e-32,2.311115933264683e-33,6.938893903907228e-18,2.5422275265911513e-32,3.746628867444979e-07,3.6156726069199255e-18,1.0600674052961553e-15,3.132140168922148e-08,1.5777218104420236e-30,5.427931297396356e-19,7.110884459386327e-17,1.1491164819282364e-22,0.0,1.322550776012327e-18,8.753250812284701e-17,7.538690308701356e-23,0.0010788349566512633,2.3603654879374703e-08,1.7005419992456848e-14,6.545210819895082e-18,5.419609860863278e-16,1.197726455954022e-14,6.462348535570529e-27,9.693522803355793e-27,0.0,6.462348535570529e-27,9.693522803355793e-27,7.703719777548943e-34,1.1106612474804341e-10,5.169878828456423e-26,5.169878828456423e-26,5.169878828456423e-26,0.0,1.0339757656912846e-25,6.608807381015315e-18,8.971207386094505e-10,0.0,0.0,0.0,9.860761315262648e-32,4.930380657631324e-32,0.0,4.70197740328915e-38,1.0600674095777819e-15,3.13214016892215e-08,1.6906297139420926e-15,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,3.120549301234894e-18,9.663543807222536e-17,1.1691658336104614e-22,2.067798721329841e-09,1.550963648536927e-25,0.0,5.169878828456423e-26,1.550963648536927e-25,1.0339757656912846e-25,7.703719777548943e-34,2.7802814990509953e-18,1.0901458275694029e-16,1.0947337323555052e-22,0.0010788349566512845,1.8752817479878318e-09,0.0,0.0,0.0,0.0,0.0,7.888609052210118e-31,7.703719777548943e-34,2.360365487641902e-08,2.3269032392797686e-14,6.542853938402029e-18,9.830883607928099e-15,1.3963524206252957e-14,3.7172799144790803e-07
6,4.2940840483201985e-13,8.299729894817937e-13,4.539608717605485e-13,1.982200413487215e-08,2.9252190943797937e-07,1.5028422741489008e-07,4.751392442344337e-13,1.4866955072815211e-07,1.4856419856547314e-07,1.7730141583129775e-13,1.752848176332614e-08,8.410046196629043e-13,2.905332330646652e-07,1.7969630018431288e-06,1.7894094348610205e-13,1.815530588697673e-06,1.767408345377909e-06,1.4822450173453274e-07,4.4321289935525623e-13,2.820147413275934e-07,2.8607379116752486e-07,1.784415560058429e-13,4.679689108368754e-13,1.7989397925586394e-06,2.9051661243251284e-07,1.814945746223309e-08,1.7053037750523935e-08,1.800542558857067e-06,1.814876618770297e-08,1.492628363127422e-07,1.9025141466945153e-22,5.048709793414476e-29,1.5407439555097887e-33,3.877409121342317e-26,6.310887241768095e-30,4.930380657631324e-32,1.6543612251060553e-24,4.252453317207017e-30,6.617444900424222e-24,2.0194839173657902e-28,0.0,6.462348535570529e-26,5.048709793414476e-29,6.617444900424222e-24,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,1.8055593228630336e-35,8.131516293641283e-20,1.925929944387236e-34,0.0,0.0,2.710505431213761e-20,3.2910290889689086e-30,3.767127596227871e-07,2.7444904188366468e-17,1.3807012225776747e-12,3.831537316908806e-10,7.573064690121713e-29,1.4880129546162146e-18,9.757258412684377e-13,3.3900776956599354e-19,2.6469779601696886e-23,7.238340387232109e-18,8.051584019843258e-13,4.3108958219894346e-19,2.1603291458670573e-06,8.460149140628093e-08,6.564350705865623e-13,2.082063976989518e-17,5.789602761269771e-14,3.5498057169755875e-13,0.0,1.262177448353619e-29,1.262177448353619e-29,1.262177448353619e-29,1.262177448353619e-29,3.0814879110195774e-33,1.4575483540271897e-13,6.617444900424222e-24,6.617444900424222e-24,0.0,1.3234889800848443e-23,1.3234889800848443e-23,1.264740866397451e-17,1.245884079179428e-07,0.0,0.0,1.262177448353619e-29,5.048709793414476e-29,0.0,4.0389678347315804e-28,2.407412430484045e-35,1.3807012225765634e-12,3.8315373121100217e-10,2.203675473461385e-13,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,1.0587911840678754e-22,1.0587911840678754e-22,0.0,0.0,1.6513260912305664e-18,3.0670171729188993e-13,4.020271509286285e-19,7.983797413517574e-07,5.293955920339377e-23,0.0,0.0,7.940933880509066e-23,7.940933880509066e-23,5.7777898331617076e-34,7.311481730136426e-18,1.1639199987088237e-13,3.363298711862121e-19,2.160329166916834e-06,5.507237622564484e-07,2.5849394142282115e-26,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,2.524354896707238e-29,3.0814879110195774e-33,8.46014914035638e-08,7.687754565716037e-13,2.0880242820988552e-17,5.450885559870096e-14,2.471845235524962e-13,4.468738731918077e-09
7,7.468802586637627e-15,2.5958077154523797e-15,8.132416006776624e-15,5.561957039344931e-10,1.4286388436370717e-08,3.0584767704064603e-09,8.668051484717558e-15,2.9274259147536708e-09,2.9219505745260015e-09,5.91445117226593e-16,6.976710155507354e-10,2.681965761746783e-15,1.4141513838530062e-08,1.9029976181942175e-08,5.876574833502458e-16,1.9205226743709832e-08,1.8336591140565206e-08,3.141492917798473e-09,7.931597404525377e-15,1.3540619348585143e-08,1.3742059071282578e-08,5.943994464145417e-16,8.429500152200878e-15,1.883692644506338e-08,1.4082683395070878e-08,6.962078624370031e-10,6.859079322722036e-10,1.896995500590766e-08,6.939409048780938e-10,2.9744412421759806e-09,2.5849285673907647e-25,7.888609052210118e-31,1.88079096131566e-37,6.462348535570529e-27,9.244463733058732e-33,0.0,5.169878828456423e-26,1.0111132208032988e-32,2.0679515313825692e-25,0.0,0.0,3.2311742677852644e-27,0.0,0.0,0.0,0.0,4.930380657631324e-32,2.938735877055719e-39,0.0,3.76158192263132e-37,7.346839692639297e-40,1.0842021724855044e-19,1.88079096131566e-37,0.0,0.0,1.8973538018496328e-19,1.5311143057878525e-32,1.5112423015086086e-08,5.692975653492361e-21,7.041009736476345e-19,1.05702602603881e-10,2.9582283945787943e-31,1.4852579722299566e-21,7.408437872219121e-16,7.990003843936887e-23,0.0,9.21388641466371e-21,5.735066081030646e-16,9.17187624793163e-23,3.2562897272951564e-06,2.4158227977221398e-08,3.1398861279624217e-16,4.311801008101197e-21,1.0949327818951484e-16,6.024920842340009e-16,0.0,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,0.0,1.8694583144668544e-15,0.0,2.0679515313825692e-25,2.0679515313825692e-25,0.0,0.0,2.405978976148811e-21,2.6665401255482187e-09,1.9721522630525295e-31,4.930380657631324e-32,0.0,1.4791141972893971e-31,1.9721522630525295e-31,0.0,0.0,7.041009737271294e-19,1.0570260260386366e-10,5.22332316598976e-16,3.308722450212111e-24,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,9.4039548065783e-38,0.0,1.7110093318939116e-21,2.194153995358951e-16,9.139655385351373e-23,5.6199296925641206e-08,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,3.76158192263132e-37,9.336569895946567e-21,1.1933163382872411e-16,7.251954374446042e-23,3.256289727497339e-06,3.855144203273789e-08,6.462348535570529e-27,0.0,0.0,1.2924697071141057e-26,0.0,1.232595164407831e-32,3.76158192263132e-37,2.4158227977224227e-08,3.8308667627441355e-16,4.307498194533408e-21,1.2782865110827379e-16,1.0455119401135265e-15,1.311095948569832e-10
8,3.064037797448537e-16,5.3205518500834504e-17,3.4524383879169945e-16,1.0358158613840436e-09,3.456583456642225e-09,1.7181515111382663e-09,3.7107531250483006e-16,1.7754236939457307e-09,1.7764552614271271e-09,1.2554889091686926e-17,1.2133607330490615e-09,5.590303568099505e-17,3.3922478267714593e-09,1.1096648487175649e-08,1.2306421099975741e-17,1.1186520899863698e-08,1.0479229710253151e-08,1.4609937531583562e-09,3.333887791660482e-16,3.320265248822197e-09,3.278890062668737e-09,1.2583311946212701e-17,3.5678530246982793e-16,1.0858714898490913e-08,3.347390395056329e-09,1.2085644470816665e-09,1.1808700117305753e-09,1.100210206268884e-08,1.203223249353554e-09,1.7614072999116017e-09,5.169880369200378e-26,2.465190328815662e-32,0.0,1.0097419586828951e-28,2.311115933264683e-33,3.0814879110195774e-33,0.0,1.4444474582904269e-33,5.169878828456423e-26,1.232595164407831e-32,0.0,1.0097419586828951e-28,6.162975822039155e-33,0.0,0.0,3.851859888774472e-34,0.0,1.1479437019748901e-41,0.0,0.0,4.304788882405838e-42,2.710505431213761e-20,2.938735877055719e-39,4.622231866529366e-33,3.0814879110195774e-33,8.131516293641283e-20,4.237045877651919e-33,5.906442542621475e-09,1.529639001401554e-22,2.0899867503782414e-16,3.5110422883340344e-12,9.244463733058732e-33,2.235008621740276e-23,1.883680884770054e-16,7.144324406964614e-25,0.0,1.6747573022283838e-22,1.3841494141929775e-16,7.7375479275713945e-25,5.486180365449785e-06,8.279706883576672e-10,4.177789253128535e-16,1.1541364181773967e-22,8.29861401391101e-17,4.956518803002582e-16,0.0,1.232595164407831e-32,0.0,6.162975822039155e-33,6.162975822039155e-33,1.1754943508222875e-38,4.897668645327548e-17,4.1359030627651384e-25,2.0679515313825692e-25,0.0,2.0679515313825692e-25,2.0679515313825692e-25,5.900500143596962e-23,2.3596668530746153e-09,0.0,2.311115933264683e-33,1.5407439555097887e-33,7.703719777548943e-34,1.5407439555097887e-33,1.232595164407831e-32,1.1479437019748901e-41,2.089986750378242e-16,3.5110422883338034e-12,7.643457357503675e-18,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,0.0,0.0,0.0,2.6236076008186253e-23,5.1945287087559615e-17,7.980241863040334e-25,2.3691419524777027e-08,0.0,4.1359030627651384e-25,1.6543612251060553e-24,8.271806125530277e-25,1.6543612251060553e-24,2.938735877055719e-39,1.6983444173108485e-22,3.368013944463725e-17,6.20873138603991e-25,5.486180365503318e-06,1.5769313190852125e-08,6.462348535570529e-27,2.5849394142282115e-26,0.0,2.5849394142282115e-26,0.0,6.162975822039155e-33,5.877471754111438e-39,8.27970688357972e-10,4.542800956306525e-16,1.159020204939921e-22,1.00528044404664e-16,7.190089430868385e-16,3.440031031044162e-10
9,6.226857930397848e-16,2.685731460833147e-16,7.222833660152219e-16,7.650205029685856e-10,1.2627418093594674e-09,6.224275854304885e-09,7.812612562824985e-16,6.298188963993523e-09,6.2975184673364275e-09,6.426664901215938e-17,8.960672307501163e-10,2.8592564734445683e-16,1.1698569091936023e-09,1.8812456586242047e-08,6.219591074944058e-17,1.894407104150088e-08,1.742524447928845e-08,5.431217159974458e-09,6.901244629786848e-16,1.5479044700835147e-09,1.206844216540005e-09,6.422130325094852e-17,7.430238583365555e-16,1.8193787228322968e-08,1.0841535330937267e-09,8.868481459023529e-10,8.685323781098646e-10,1.8545880267675323e-08,8.820293808509264e-10,6.2977384366176956e-09,5.169879752902796e-25,9.860761315262648e-32,2.350988701644575e-38,6.058451752097371e-28,4.622231866529366e-33,3.0814879110195774e-33,0.0,7.607423280329582e-33,4.1359030627651384e-25,6.162975822039155e-33,1.1754943508222875e-38,0.0,1.232595164407831e-32,4.1359030627651384e-25,0.0,0.0,0.0,4.591774807899561e-41,0.0,2.350988701644575e-38,9.183549615799121e-41,2.710505431213761e-20,0.0,0.0,1.232595164407831e-32,0.0,9.62964972193618e-34,1.7764756881406245e-08,5.899435510470226e-22,3.459873397192882e-16,9.959812967065754e-12,6.162975822039155e-33,5.851735931504186e-23,4.573553504809039e-16,4.935883776564209e-24,1.0339757656912846e-25,4.906998553723422e-22,3.2194019375569747e-16,5.243887650138991e-24,8.101001830998402e-06,2.4186969955453026e-09,6.235507998397706e-16,4.435677442267217e-22,8.211615361700625e-17,3.98213366166437e-16,0.0,0.0,0.0,3.0814879110195774e-33,3.0814879110195774e-33,0.0,3.8206827918031865e-17,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,2.0589748614109052e-22,5.412360627717252e-09,6.162975822039155e-33,0.0,6.162975822039155e-33,6.162975822039155e-33,0.0,0.0,2.2958874039497803e-41,3.4598733971928923e-16,9.959812967063502e-12,2.447705942031661e-17,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,0.0,2.2958874039497803e-41,6.91632222191184e-23,1.1636769412561003e-16,5.42720625652082e-24,3.231992783097305e-08,8.271806125530277e-25,8.271806125530277e-25,0.0,2.481541837659083e-24,8.271806125530277e-25,0.0,4.973609030819416e-22,8.139060642029228e-17,4.286652552061712e-24,8.10100183113054e-06,2.0355741513852035e-08,2.5849394142282115e-26,2.5849394142282115e-26,0.0,0.0,2.5849394142282115e-26,9.244463733058732e-33,2.350988701644575e-38,2.4186969955459238e-09,6.36257769903971e-16,4.4729111122548025e-22,1.0637714729675519e-16,6.125488909496395e-16,3.8820999925186233e-10
