,Y3Z1,Y1Z3,Y2Z0,Y0Z2,Y3Z5,Y5Z3,Y4Z0,Y0Z4,Y5Z1,Y1Z5,Y2Z5,Y5Z2,Y3Z2,Y2Z3,Y4Z2,Y2Z4,Y2Z1,Y1Z2,Y0Z1,Y1Z0,Y1Z4,Y4Z1,Y4Z3,Y3Z4,Y3Z0,Y0Z3,Y4Z5,Y5Z4,Y5Z0,Y0Z5,Y2,Y5,Y4,X4Y5,X5Y4,standard_y,X0Y1,Y3,X4Y3,X4Y2,X4Y1,X2Y3,X1Y4,X1Y2,X0Y3,X3Y0,X2Y4,X0Y2,X3Y1,X2Y1,Y1,X5Y2,X3Y4,X3Y2,X2Y0,X0Y4,Y0,X5Y1,X1Y0,X1Y5,X1Y3,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9991285391625793,0.9991285391625792,0.9622950358343829,0.9622950358343827,0.8305212736329719,0.8305212736329717,0.7048169228716079,0.7048169228716079,0.641868435072107,0.6418684350721069,0.49498269388917776,0.4949826938891777,0.4591337627723968,0.4591337627723967,0.45313243113814283,0.45313243113814283,0.24744098492908512,0.24744098492908506,0.2267058593810488,0.22670585938104873,0.2093976318889128,0.20939763188891275,0.19223084224268217,0.19223084224268217,0.12633089865085975,0.12633089865085956,0.08956562344058969,0.0895656234405896,0.08518526805075272,0.08518526805075266,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,9.71445146547012e-17,6.938893903907228e-17,5.898059818321144e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,4.163336342344337e-17,3.469446951953614e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.0408340855860843e-17,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0029311245570290507,0.0029406838004799127,0.9622950358343829,0.9622950358343828,0.0024364846011915645,0.19074212325349937,0.7048169228716079,0.7048169228716079,0.18594948801564914,0.0018891784540935796,0.4949826938891777,0.4949826938891777,0.0013469520629961068,0.21249819938127001,0.45313243113814283,0.45313243113814283,0.21019829534500287,0.000728280363771444,0.10078616838324728,0.0006672517319087868,0.0006163093133849345,0.017792501917164777,0.016485199396461925,0.0005639439974241568,0.00037061457543535205,0.09963703212075045,0.08956562344058963,0.0895656234405896,0.08518526805075265,0.08518526805075266,8.326672684688674e-17,1.3877787807814457e-17,2.7755575615628914e-17,0.0,2.7755575615628914e-17,6.228741480929223e-17,8.809142651444724e-20,2.168404344971009e-19,2.168404344971009e-19,2.7755575615628914e-17,2.710505431213761e-20,0.0,2.168404344971009e-19,1.0842021724855044e-19,2.168404344971009e-19,5.421010862427522e-20,5.551115123125783e-17,8.326672684688674e-17,1.0408340855860843e-17,1.0842021724855044e-19,5.421010862427522e-20,2.7755575615628914e-17,1.6263032587282567e-19,1.0842021724855044e-19,6.938893903907228e-18,1.0408340855860843e-17,6.938893903907228e-18,0.0,2.0328790734103208e-20,1.3552527156068805e-20,1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00015658919318050312,0.0001570998757496886,0.001625598476839758,0.001630900022813366,0.00013016408906348827,0.1907393600326987,0.2531581322312478,0.0011945254758524869,0.18595306338021506,0.00010092540393450488,0.000836170907346104,0.41007445845005863,5.222317602171163e-05,0.00035896996737419903,0.2493923433686761,0.0007654735423488532,0.0003550898935427889,3.3762536346863876e-06,0.00017081172741160707,3.133797183841784e-06,3.292503483045269e-05,0.017791674370220875,0.016486100845825136,3.0127527451492467e-05,5.192477004987318e-05,0.0001688667441915705,0.08956562344058965,0.08956562344058963,0.4081876833144028,0.0001443722044007777,5.421010862427522e-20,0.0,2.7755575615628914e-17,0.0,6.938893903907228e-18,2.769903616639969e-17,6.307252170716836e-24,1.3552527156068805e-20,1.3552527156068805e-20,0.0,2.964615315390051e-21,2.6469779601696886e-23,3.3881317890172014e-21,2.6469779601696886e-23,2.6469779601696886e-23,0.0,0.0,5.551115123125783e-17,1.3877787807814457e-17,0.0,2.329340604949326e-21,5.421010862427522e-20,6.776263578034403e-21,2.6469779601696886e-23,5.551115123125783e-17,5.082197683525802e-21,1.3552527156068805e-20,1.0587911840678754e-21,2.9985297205047253e-24,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0
3,0.00025976571979853427,0.0002606128908100107,2.9282189137545603e-06,0.001456515183182739,0.0001295778991694528,0.00034963245506287974,0.34214210303714415,0.0011700387146804394,0.0003408589347986933,0.0001618424471662271,1.5062092521039756e-06,0.0007516819155556958,0.00012859385435194225,6.466188848801628e-07,0.3386667069547085,1.378860854398774e-06,6.396295937417763e-07,0.0001612797022610366,0.00016731023610703702,0.00016113920021401353,5.461932077436142e-05,0.017791678519847406,0.01648609632562456,4.997853744073999e-05,0.00012838894022287008,0.00016540511074557447,0.33814689074768556,0.0001641771605640003,0.0007482234474560482,0.001450859695086654,0.0,8.131516293641283e-20,1.3877787807814457e-17,0.0,5.421010862427522e-20,1.3816801435612147e-17,1.278817995832713e-23,2.710505431213761e-20,0.0,3.1763735522036263e-22,0.0,0.0,3.3881317890172014e-21,0.0,2.6469779601696886e-23,0.0,1.0587911840678754e-22,5.421010862427522e-20,1.3877787807814457e-17,0.0,6.776263578034403e-21,5.421010862427522e-20,6.776263578034403e-21,2.5849394142282115e-26,1.0842021724855044e-19,8.470329472543003e-21,0.0,1.075334796318936e-23,4.2207213872945016e-24,1.9852334701272664e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0007095111284843379,0.0007118250491234364,3.259165933376276e-11,1.1220234165986563e-07,0.0002187407401118187,2.2272585799632853e-07,0.0007978817666350628,9.013370174168299e-08,2.1713650254601558e-07,0.0002943146303764092,3.1592525847276954e-11,5.82748689601568e-07,0.00021561349627810105,1.3562743036013482e-11,0.0007897804901188909,3.229774452986103e-11,1.341613376487228e-11,0.0002922965712215523,1.2888714596464199e-08,0.00029142959573941576,0.00028951231510387975,4.149066668395724e-05,3.844581637985192e-05,0.0002130267163493452,0.0002146117327308943,1.274194375000816e-08,0.0007885688886776608,5.796748980244082e-07,5.808853464256987e-07,1.1176689802834032e-07,8.077935669463161e-28,5.293955920339377e-23,2.710505431213761e-20,5.169878828456423e-26,1.0339757656912846e-25,1.3604640342453213e-20,7.131302583197947e-28,0.0,2.117582368135751e-22,6.310887241768095e-30,5.293955920339377e-23,0.0,5.293955920339377e-23,7.888609052210118e-31,6.462348535570529e-27,0.0,9.466330862652142e-30,5.169878828456423e-26,6.938893903907228e-18,3.944304526105059e-31,4.0657581468206416e-20,8.470329472543003e-22,0.0,7.888609052210118e-31,0.0,8.470329472543003e-22,8.271806125530277e-25,6.462348535570529e-27,5.869125134844328e-28,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.823190137345779e-06,1.8270830491129451e-06,2.305598912074939e-17,2.8311223294071482e-11,5.580858354117999e-07,5.410646589523599e-10,3.1050911222240223e-06,2.8297488948300094e-11,5.27630523170002e-10,7.503693314157664e-07,2.2281824207762e-17,1.4179871623255583e-09,5.501958329482163e-07,9.546412226353313e-18,4.742063683275526e-06,2.2645939226483826e-17,9.443460248537015e-18,7.452516582191742e-07,1.7616446313759148e-12,7.430484689545237e-07,7.333372761865586e-07,2.1911736825351934e-08,2.030510760850184e-08,5.396127774228534e-07,5.476497379256682e-07,1.741596995129403e-12,4.725940236999702e-06,1.4075637193192929e-09,1.4134476621791563e-09,2.8209570279446435e-11,2.311115933264683e-33,1.550963648536927e-25,1.0587911840678754e-22,7.888609052210118e-31,0.0,1.3250338853047403e-22,1.1529248592864996e-34,1.0587911840678754e-22,4.0389678347315804e-28,0.0,6.058451752097371e-28,0.0,2.0194839173657902e-28,0.0,6.162975822039155e-33,1.5407439555097887e-33,0.0,0.0,6.938893903907228e-18,1.997422041436309e-39,7.940933880509066e-23,4.1359030627651384e-25,2.0194839173657902e-28,2.938735877055719e-39,1.9721522630525295e-31,0.0,6.058451752097371e-28,0.0,1.6304576843645457e-33,9.860761315262648e-32,1.3877787807814457e-17,8.087751953114523e-07,1.5439865884427147e-15,9.334241385603917e-16,3.9713642802387467e-13,4.2523060044022436e-10,1.6165764190918283e-20,1.0253257662228586e-23,9.813771448739354e-16,3.3305381056078093e-13,0.0011626905166269006,1.294258929499411e-23,9.76977497920961e-21,4.27248972513561e-10,3.542718700960597e-19,1.2146875041787664e-16,1.0757211151729316e-18,9.693522803355793e-27,6.462348535570529e-27,0.0,6.462348535570529e-27,6.462348535570529e-27,3.944304526105059e-31,4.137740114894452e-36,8.194657987991649e-11,1.3234889800848443e-23,0.0,0.0,2.6469779601696886e-23,0.0,0.0,1.6119635539760838e-15,3.9306829722508363e-07,1.3234889800848443e-23,0.0,2.6469779601696886e-23,0.0,2.6469779601696886e-23,1.9721522630525295e-31,1.0005813702397273e-15,8.960315379203665e-13,2.007697393095206e-07,9.62964972193618e-35,9.62964972193618e-35,1.925929944387236e-34,1.925929944387236e-34,2.8888949165808538e-34,4.1359030627651384e-25,4.2523060044022436e-10,1.615793398510193e-20,1.8632219362637612e-23,2.510172330572142e-18,1.3234889800848443e-23,1.9852334701272664e-23,6.617444900424222e-24,0.0,1.9852334701272664e-23,1.0346196704403172e-15,8.152953662003942e-13,0.001162690516716097,1.7584514091433893e-23,2.150236404998066e-07,5.048709793414476e-29,5.048709793414476e-29,0.0,0.0,0.0,0.0,1.624256860415064e-20,4.2724896572883296e-10,1.1827080395428209e-17,1.2146875041801494e-16,1.1749818879054668e-17,4.535145588829435e-12
6,1.7929060986110018e-07,2.3342571287681087e-06,9.324851227788809e-16,2.7926252582371236e-13,1.355873500930194e-07,5.780861352296234e-09,2.6885310271552397e-06,2.7368842932877803e-13,6.3290827780388005e-09,2.3164709384627964e-06,1.3881925179407138e-15,6.286331712354e-09,1.461978380899358e-07,8.70357828772054e-16,1.3008993151604664e-06,9.107334925379701e-16,8.706291266936849e-16,2.300335099309527e-06,3.086226261395107e-13,2.3205226542815845e-06,2.264527264989344e-06,2.504562747459358e-06,2.5443174356616168e-06,1.4249379169656394e-07,1.4018105052598014e-07,3.072062865778412e-13,1.2587226265288916e-06,6.103345230965965e-09,6.1398108022194885e-09,2.7081740630750533e-13,9.860761315262648e-32,0.0,2.117582368135751e-22,0.0,0.0,1.3234892315342578e-22,1.7585395488301421e-34,2.6469779601696886e-23,2.0194839173657902e-28,0.0,2.0194839173657902e-28,9.4039548065783e-38,4.0389678347315804e-28,9.4039548065783e-38,0.0,0.0,0.0,1.5777218104420236e-30,1.0842021724855044e-19,3.5264830524668625e-38,3.1763735522036263e-22,0.0,4.0389678347315804e-28,0.0,1.5777218104420236e-30,2.0679515313825692e-25,2.524354896707238e-29,1.355854680848614e-31,1.7585395488301421e-34,1.5777218104420236e-30,0.0,3.300661259095581e-06,2.5345156368402525e-14,2.4969697482974688e-14,8.520831331998045e-13,2.157693798251258e-08,1.0240418369064847e-18,3.93750509212549e-23,7.333786767503727e-14,1.7034242638057156e-11,7.023659560143083e-07,2.3579797878449974e-21,2.0815430897151606e-19,8.279912000995962e-09,5.519864781967882e-17,1.1177354408524347e-14,4.0365949097623766e-17,0.0,8.271806125530277e-25,1.6543612251060553e-24,0.0,0.0,1.5777218104420236e-30,0.0,1.499877361920128e-08,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,1.2246314212099745e-13,1.1897184719521423e-06,1.3234889800848443e-23,0.0,0.0,1.3234889800848443e-23,1.3234889800848443e-23,0.0,1.8913513709481767e-14,1.7162041037180285e-12,1.7463626125436126e-07,9.860761315262648e-32,0.0,0.0,9.860761315262648e-32,9.860761315262648e-32,0.0,2.1576937982512636e-08,1.028579323803169e-18,5.732007169096201e-22,1.0364499692231212e-15,1.0587911840678754e-22,0.0,1.0587911840678754e-22,2.117582368135751e-22,3.1763735522036263e-22,5.1624027843555686e-14,1.1503268250240138e-11,7.023659560025513e-07,2.1377885797727047e-21,2.2705768769865265e-06,4.0389678347315804e-28,8.077935669463161e-28,2.0194839173657902e-28,0.0,0.0,1.2037062152420224e-35,4.562787648195335e-19,8.279911991348318e-09,5.401553978755511e-17,1.1177354408517192e-14,4.06971009819996e-17,3.3988285220721768e-12
7,7.605942752923607e-09,3.499281015781286e-08,1.1178303012944556e-08,2.0962658684143013e-08,5.308511893662129e-09,1.7457644071118937e-09,1.6384703966541294e-08,2.0950393080732658e-08,1.6207486475915638e-09,3.439645068728302e-08,1.1159733214653782e-08,1.4734303944431728e-09,7.172417549316293e-09,1.1113713529985427e-08,4.799131325525417e-08,1.0127968953496692e-08,1.0811999730547674e-08,3.398921380919546e-08,2.0670391436735483e-08,3.4539328492441286e-08,3.320209295227707e-08,1.609218967235946e-08,1.7264674659422665e-08,7.083171740302524e-09,7.105785964790037e-09,2.0344583966809478e-08,4.902682461850667e-08,1.3028491105223834e-09,1.3163578537615773e-09,2.0082863904617064e-08,2.481541837659083e-24,1.0339757656912846e-25,3.308722450212111e-24,1.232595164407831e-31,9.860761315262648e-32,3.412120026781239e-24,9.721372135537621e-31,8.271806125530277e-25,5.9164567891575885e-31,7.888609052210118e-31,1.9721522630525295e-31,0.0,3.944304526105059e-31,1.1832913578315177e-30,7.888609052210118e-31,3.944304526105059e-31,0.0,7.888609052210118e-31,1.0842021724855044e-19,1.3805065841367707e-30,3.308722450212111e-24,0.0,0.0,1.9721522630525295e-31,3.944304526105059e-31,0.0,4.963083675318166e-24,6.409494854920721e-31,1.0114261844192617e-30,0.0,5.421010862427522e-20,3.165445191978742e-07,2.3259253217127113e-15,2.513752925051147e-15,5.60604784584713e-17,2.9619576625538063e-09,9.794526003980382e-15,4.856658020852428e-16,1.8421221690912185e-15,5.9547870236674495e-15,8.63276163571335e-06,1.9925905891956847e-15,6.236686492539828e-15,1.12656154382351e-09,2.546061218890333e-15,1.1407190671660924e-15,1.4244615245498872e-15,6.617444900424222e-24,3.308722450212111e-24,9.926167350636332e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,3.944304526105059e-30,2.986400663873196e-08,6.617444900424222e-24,0.0,3.308722450212111e-24,9.926167350636332e-24,9.926167350636332e-24,0.0,5.035012631039525e-16,5.406416119410074e-08,3.308722450212111e-24,6.617444900424222e-24,3.308722450212111e-24,6.617444900424222e-24,6.617444900424222e-24,1.5777218104420236e-30,1.99895883237424e-15,9.71678404670227e-16,5.3483653086474946e-08,0.0,2.6469779601696886e-23,1.9852334701272664e-23,1.3234889800848443e-23,1.3234889800848443e-23,2.5849394142282115e-26,2.961958930493054e-09,1.532664914348186e-14,4.3445665146757023e-16,8.970703188406458e-08,6.617444900424222e-24,3.308722450212111e-24,6.617444900424222e-24,3.308722450212111e-24,9.926167350636332e-24,3.637734844520852e-16,3.148346269854775e-15,8.632761637358757e-06,1.594395111968464e-15,7.416392128761293e-08,6.617444900424222e-24,1.3234889800848443e-23,0.0,1.3234889800848443e-23,0.0,0.0,3.9991874191245015e-15,1.1265705590194322e-09,2.3217380439332393e-15,9.538701244149833e-16,2.204530180420169e-15,1.2339006749509052e-07
8,1.4693513611727607e-08,1.207083880145235e-07,5.107608700691344e-08,9.512837188145017e-08,9.096024681442902e-09,1.2622526069511546e-09,1.731034823455776e-08,9.49132266421208e-08,6.718489418518493e-10,1.1989823455316117e-07,5.087588438498483e-08,1.2854900841638682e-09,1.6454399792941186e-08,5.069126181901717e-08,5.26366266266502e-08,4.491060782024935e-08,4.8873663865589454e-08,1.1647350417026205e-07,9.33821425151991e-08,1.2010201393651133e-07,1.1246724416589393e-07,1.5215849407425283e-08,1.4615371390655752e-08,1.6475405691978517e-08,1.693436286020113e-08,9.119604767148515e-08,5.185388178079837e-08,1.7081196008222229e-09,1.7649988435998522e-09,8.941952272964527e-08,3.308722450212111e-24,2.5849394142282115e-25,6.617444900424222e-24,0.0,4.930380657631324e-31,9.667673409213511e-24,4.0304778540542354e-30,0.0,1.5777218104420236e-30,1.5777218104420236e-30,5.127595883936577e-30,3.1554436208840472e-30,5.127595883936577e-30,0.0,3.1554436208840472e-30,6.310887241768095e-30,0.0,0.0,5.421010862427522e-20,4.733165431326071e-30,6.617444900424222e-24,5.169878828456423e-26,1.3805065841367707e-30,1.5777218104420236e-30,7.888609052210118e-31,1.8740810753154533e-25,6.617444900424222e-24,1.1832913578315177e-30,1.817969533942179e-30,7.888609052210118e-31,1.0842021724855044e-19,8.834361664818459e-07,6.568955321327796e-15,1.938844663493553e-14,2.6255198834124365e-15,2.6159249336264218e-08,6.132972040851763e-15,4.2901501234737566e-15,1.1909508452243601e-14,1.2394373345109859e-14,1.3390002964808783e-05,3.825080155707989e-14,2.969569029483007e-14,9.882072932201672e-09,2.166871754614639e-14,5.590757663711976e-15,2.872706874061823e-14,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,3.1554436208840472e-30,6.310887241768095e-30,6.29754396999728e-08,6.617444900424222e-24,5.790264287871194e-24,6.617444900424222e-24,4.963083675318166e-24,4.963083675318166e-24,1.9387045606711586e-25,2.987653352702847e-16,9.118780444260692e-09,6.617444900424222e-24,6.617444900424222e-24,0.0,1.3234889800848443e-23,1.3234889800848443e-23,3.1554436208840472e-30,1.788802768457771e-14,5.848286544126963e-15,1.1340166433136691e-07,1.3234889800848443e-23,2.6469779601696886e-23,3.970466940254533e-23,5.293955920339377e-23,5.293955920339377e-23,1.0339757656912846e-25,2.6159240508579294e-08,1.6182840559046646e-14,7.875932558874965e-16,2.009351088489216e-07,0.0,6.617444900424222e-24,2.6469779601696886e-23,1.9852334701272664e-23,0.0,8.77874629232369e-15,1.5920777810696617e-15,8.932274456562485e-06,3.697301519714413e-14,2.43669204409542e-07,0.0,2.6469779601696886e-23,5.293955920339377e-23,0.0,5.293955920339377e-23,0.0,1.3545045441329092e-14,9.88205081238116e-09,1.4986286928761506e-14,3.4671083704036605e-15,2.8405388775706826e-14,2.7157352963630336e-07
9,2.371525898498748e-09,7.3429164535966845e-09,3.846310631960608e-09,7.0875666529355585e-09,1.383219139862093e-09,1.8768076856972205e-08,3.4971069214918443e-09,7.0592611101449e-09,2.0785521340700528e-08,7.1084020592088825e-09,3.8220079958572085e-09,1.933814810023959e-08,2.3018940453175115e-09,3.8102271387866514e-09,4.485103047720826e-08,3.287199935807847e-09,3.642016417015093e-09,6.93930321489383e-09,6.92568856089907e-09,7.159396231235229e-09,6.679724115454825e-09,2.8923165772803884e-09,1.4812084252327672e-09,2.2493492402652336e-09,2.2912117225821417e-09,6.712545798743741e-09,4.546823613404424e-08,1.6560094035512496e-08,1.6915020787280275e-08,6.537833135570848e-09,1.2407709188295415e-24,1.6543612251060553e-24,4.1359030627651384e-25,7.888609052210118e-31,7.888609052210118e-31,6.203854594147708e-25,4.5436148043463715e-33,2.0679515313825692e-25,2.465190328815662e-32,9.860761315262648e-32,0.0,6.162975822039155e-33,1.9721522630525295e-31,6.162975822039155e-33,6.162975822039155e-33,1.232595164407831e-32,0.0,0.0,5.421010862427522e-20,9.244463733058732e-33,1.2407709188295415e-24,4.1359030627651384e-25,4.930380657631324e-32,0.0,3.944304526105059e-31,4.1359030627651384e-25,1.2407709188295415e-24,1.232595164407831e-31,4.980710623756131e-33,1.9721522630525295e-31,1.6263032587282567e-19,9.41398353090327e-08,1.0795036657985078e-14,2.3265413319636e-15,8.45786447968045e-17,1.1841265368052346e-07,1.4431280165558094e-15,2.0804150130755993e-17,8.084130470200524e-16,9.729614250413628e-16,1.0833898625582691e-05,2.783593114785339e-17,1.318817232392324e-15,4.445686392269266e-08,9.480397296244575e-17,1.7425329304384664e-15,2.3329921055399974e-17,0.0,0.0,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,1.9721522630525295e-31,4.930380657631324e-31,7.486974939084988e-08,3.308722450212111e-24,0.0,8.271806125530277e-25,3.308722450212111e-24,3.308722450212111e-24,0.0,1.6442555720116525e-15,5.595332575247211e-08,4.1359030627651384e-25,4.1359030627651384e-25,8.271806125530277e-25,4.1359030627651384e-25,4.1359030627651384e-25,0.0,1.824743697985339e-15,7.776846454332938e-17,6.2007064047518146e-09,0.0,0.0,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,4.1359030627651384e-25,1.1841265497187706e-07,1.6318164189551297e-15,1.3427652293843136e-17,9.777407895962247e-09,1.6543612251060553e-24,2.0679515313825692e-25,0.0,4.1359030627651384e-25,4.1359030627651384e-25,9.449199654710584e-18,6.590981232548018e-17,1.5557292819510644e-05,1.8710971116069205e-17,7.911677652411649e-09,3.308722450212111e-24,8.271806125530277e-25,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.9721522630525295e-31,8.129947737548852e-16,4.445686365941824e-08,7.92144013016452e-17,1.7337789545807868e-15,4.4534556289803985e-17,1.279344788116358e-08
10,2.42315157858164e-09,3.802276617234156e-07,6.602452828219503e-08,1.1989444674383932e-07,3.6112347870768734e-10,3.1273488004643124e-10,1.1985587157716525e-07,1.1919779773222992e-07,4.633799090435184e-09,3.726969608039009e-07,6.543852561709309e-08,5.48666344967987e-09,7.531087124541484e-09,6.527664294955132e-08,6.283284618129802e-08,5.4955341804337104e-08,6.1885812040018e-08,3.577540679311227e-07,1.1660426241693936e-07,3.7472761730541425e-07,3.40328255241074e-07,1.0778669202194785e-07,1.1125103862604634e-07,8.053683954113667e-09,8.894872080124705e-09,1.1220023214738099e-07,5.286893135165139e-08,5.857160073337653e-09,6.122589227456213e-09,1.085545635001089e-07,0.0,4.1359030627651384e-25,6.617444900424222e-24,0.0,0.0,3.226004388956808e-23,7.065274000984575e-31,4.1359030627651384e-25,0.0,1.7749370367472766e-30,3.1554436208840472e-30,0.0,4.733165431326071e-30,1.5777218104420236e-30,1.5777218104420236e-30,0.0,1.5777218104420236e-30,1.5777218104420236e-30,3.2526065174565133e-19,1.5777218104420236e-30,2.6469779601696886e-23,0.0,9.466330862652142e-30,5.9164567891575885e-31,7.888609052210118e-31,0.0,1.3234889800848443e-23,1.873544649899903e-30,8.606017956494363e-31,3.1554436208840472e-30,5.421010862427522e-20,5.906044074380317e-07,3.417297681963347e-15,1.0868372740888854e-14,7.193347400829904e-15,5.131545349758155e-09,7.202250659426832e-15,2.8709809127597106e-15,2.5320854042745397e-14,2.2696875333690777e-14,1.784716260866443e-05,5.1635835691317175e-14,2.0363351946067306e-14,1.9164772085263978e-09,1.3968453198321607e-14,4.206044954576278e-15,4.400639974156541e-14,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,2.3665827156630354e-30,3.944304526105059e-31,3.949019671467947e-08,1.3234889800848443e-23,1.3234889800848443e-23,0.0,6.617444900424222e-24,6.617444900424222e-24,1.2924697071141057e-26,1.9488331728165884e-15,6.463118335627746e-08,3.308722450212111e-24,1.3234889800848443e-23,0.0,6.617444900424222e-24,6.617444900424222e-24,1.5777218104420236e-30,1.101683971340595e-14,3.3895425410590692e-15,6.462058363567462e-08,1.3234889800848443e-23,2.6469779601696886e-23,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,0.0,5.131551917279946e-09,1.0918114402418904e-14,1.1631494042663638e-15,1.2034452588920755e-07,6.617444900424222e-24,0.0,6.617444900424222e-24,1.9852334701272664e-23,1.9852334701272664e-23,1.4193128256025967e-14,2.1565719974406614e-15,1.2626170030718543e-05,4.827236127908179e-14,1.51887067110342e-07,0.0,0.0,0.0,0.0,0.0,3.1554436208840472e-30,8.675788372980825e-15,1.9164709358186998e-09,6.983806863283031e-15,2.0928107851503877e-15,4.571284237219444e-14,1.496308507318506e-07
