,Y0Z3,Y3Z0,Y5Z0,Y0Z5,Y1Z0,Y0Z1,Y4Z3,Y3Z4,Y0Z4,Y4Z0,Y5Z3,Y3Z5,Y2Z0,Y0Z2,Y1Z3,Y3Z1,Y4Z2,Y2Z4,Y4Z5,Y5Z4,Y2Z5,Y5Z2,Y4Z1,Y1Z4,Y2Z1,Y1Z2,Y2Z3,Y3Z2,Y1Z5,Y5Z1,standard_y,X4Y0,X1Y3,Y3,X3Y5,X2Y3,Y1,Y0,X5Y0,X3Y1,X2Y1,X0Y3,X3Y2,Y5,X5Y4,X5Y3,X4Y5,X4Y1,X1Y2,X0Y4,Y2,X1Y0,X0Y1,X0Y5,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y2,X5Y1,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y4,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1Y4,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9971021841193886,0.9971021841193884,0.9355556060695938,0.9355556060695935,0.7601614783097745,0.7601614783097745,0.5680101195136193,0.5680101195136193,0.5392210616440858,0.5392210616440857,0.5291685805367903,0.5291685805367901,0.5138166023032497,0.5138166023032495,0.4939738141647467,0.4939738141647466,0.2766402721949226,0.2766402721949226,0.19478727600848722,0.1947872760084872,0.19380153749016393,0.19380153749016388,0.13950047497386378,0.13950047497386375,0.12832266797844005,0.12832266797844005,0.08480848096926208,0.08480848096926207,0.01286457181823452,0.0128645718182345,1.249000902703301e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,5.204170427930421e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0028459511203367894,0.002855232588619437,0.4081093496033761,0.0026702835152072266,0.2677954372095311,0.0021696697141860228,0.030544100492977493,0.001626514342994078,0.0015390566874051025,0.026940313372695382,0.4033420035890247,0.0015152904086320048,0.4292841537620919,0.0014665467173397416,0.26371351042583513,0.0014145091191164728,0.2766402721949226,0.2766402721949226,0.19478727600848722,0.19478727600848722,0.193801537490164,0.19380153749016393,0.13950047497386375,0.13950047497386375,0.12832266797844,0.12832266797844008,0.427335764481075,0.00024285167810419195,0.012864571818234527,0.012864571818234527,1.3552527156068805e-17,0.0,1.0842021724855044e-19,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,1.3877787807814457e-17,0.0,5.421010862427522e-20,0.0,1.3877787807814457e-17,2.168404344971009e-19,0.0,1.3877787807814457e-17,5.551115123125783e-17,5.421010862427522e-20,0.0,8.131516293641283e-20,2.710505431213761e-20,2.0328790734103208e-20,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.534404628801831e-06,0.0028992995073608375,0.21493842081469888,3.31624192310259e-06,0.139890452495889,2.694526489226117e-06,0.3053877035887446,0.0018046094729495194,1.911364197748161e-06,0.3026806056540653,0.2107986038767946,0.0016812070778627125,0.0004789546329650112,1.8213136090356721e-06,0.13622376596381602,0.0015693907446473468,0.303492459799351,0.000308648977986378,0.19478727600848725,0.19478727600848722,0.00021622537457735222,0.21298141927035408,0.1395004749738638,0.13950047497386378,0.00014317026226797416,0.1386025475428257,0.000476780174566228,0.002888123744679049,0.01286457181823452,0.012864571818234527,2.7701577265241452e-17,2.117582368135751e-22,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,1.3877787807814457e-17,2.117582368135751e-22,0.0,2.168404344971009e-19,4.0657581468206416e-20,5.421010862427522e-20,1.5881867761018131e-22,1.3877787807814457e-17,1.3877787807814457e-17,1.0842021724855044e-19,6.938893903907228e-18,1.3877787807814457e-17,2.710505431213761e-20,1.0587911840678754e-22,5.421010862427522e-20,1.3234889800848443e-22,7.940933880509066e-23,1.9852334701272664e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.1998085084535854e-09,1.633113905945291e-07,0.4084584514043811,2.4421316190408683e-09,0.2784827957583661,1.9842907997272536e-09,0.0003653909995347038,1.0164982915954758e-07,1.1867692411785698e-09,0.00036215698674880374,0.40495615323149126,9.469883363033669e-08,1.2328852210710987e-05,1.3412433881375034e-09,0.27527376205198517,8.84004564252052e-08,0.0003631281619700117,1.2301895141902845e-05,0.00023306041713305856,0.4049040821896206,3.393345570803157e-06,0.4058727520917729,0.00016691048591003388,0.27528440590248227,2.246850890129723e-06,0.27674461744201084,1.2310474371536148e-05,1.626820044245958e-07,0.01286457181823454,0.012864571818234541,4.164606250700244e-17,2.0194839173657902e-28,6.617444900424222e-24,6.617444900424222e-24,0.0,4.0389678347315804e-28,2.7755575615628914e-17,2.0679515313825692e-25,0.0,9.926167350636332e-24,0.0,4.1359030627651384e-25,1.0097419586828951e-28,1.3877787807814457e-17,0.0,1.3234889800848443e-23,2.0328790734103208e-20,0.0,4.235164736271502e-22,0.0,8.470329472543003e-22,4.937638177959357e-26,3.322051044066725e-26,2.908056841006738e-26,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,6.203854594147708e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2705494208814505e-21,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.5671629048962357e-16,1.1156470493034597e-12,0.0007728458810502566,3.1898601148359977e-16,0.2656601616453764,2.5918382240069006e-16,9.62034335363057e-07,1.645449870029502e-12,1.5501350544198643e-16,9.580393697053162e-07,0.0007662191942112702,1.1020629773003234e-12,6.128896122093837e-08,1.7519034415424904e-16,0.262492821883886,1.430976527321942e-12,9.583875311668204e-07,6.12547002457107e-08,9.573626778468669e-07,0.0007661206921260635,6.093864905208176e-08,0.0007679534699883727,2.689953601245705e-07,0.26254501054894147,1.539221310142005e-08,0.26396366578490726,6.123838388091713e-08,1.1104257751175327e-12,0.2647125589278861,2.434110006601937e-05,2.7755681494848294e-17,4.70197740328915e-38,1.5146129380243427e-28,1.0097419586828951e-28,0.0,0.0,2.7755575615628914e-17,0.0,1.262177448353619e-29,5.048709793414476e-29,0.0,0.0,0.0,0.0,1.550963648536927e-25,3.944304526105059e-31,1.0339757656912846e-25,6.617444900424221e-23,0.0,3.5264830524668625e-38,0.0,3.544914803887756e-33,4.074545538594246e-33,1.262177448353619e-29,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,8.131516293641283e-20,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,3.1554436208840472e-30,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,1.5881867761018131e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9.86550327329047e-24,7.66896703824496e-16,8.870807647521576e-06,2.0216838613302426e-23,1.785631797669947e-05,1.6377128288477895e-23,3.732166208375027e-08,4.073726019856114e-15,9.759469233909382e-24,3.722676014584417e-08,8.793592823905575e-06,7.888631772130905e-16,4.552680043774179e-08,1.1034616337776314e-23,1.7644355757820212e-05,7.872501789098695e-16,3.721083517213142e-08,4.559156505195866e-08,3.7179682869294367e-08,8.793355148321273e-06,4.522996149156863e-08,8.81389623847577e-06,3.7158661271660086e-08,1.7647861481704467e-05,4.5280135558694606e-08,1.774240243937543e-05,4.552610254707429e-08,7.683394902109793e-16,1.7792664617871854e-05,8.840102375850561e-06,1.7039920618099332e-21,1.7516230804060213e-46,3.009265538105056e-35,4.930380657631324e-32,0.0,2.204051907791789e-38,8.470329472543003e-22,0.0,4.81482486096809e-35,0.0,3.0292258760486853e-28,1.8367099231598242e-40,1.1754943508222875e-38,8.470329472543003e-22,0.0,6.018531076210112e-36,5.048709793414476e-29,2.524354896707238e-29,6.058451752097371e-28,2.1895288505075267e-47,6.617444900424222e-24,3.902641239124801e-36,3.9026412503351884e-36,0.0,1.2352570624890067e-07,2.2881068739622192e-14,3.308722450212111e-24,1.3369254595841796e-20,3.8785156341248196e-11,1.8067138486644835e-13,5.34175448373956e-17,2.6247886134827292e-23,3.4629169957018984e-11,4.813442080571223e-14,3.054824795043573e-20,3.209337159982538e-13,6.59979915491771e-20,2.51555519261115e-31,4.467508234040219e-25,2.5159325209629527e-17,3.2888410932296625e-20,2.6469779601696886e-23,2.6469779601696886e-23,7.940933880509066e-23,2.6469779601696886e-23,2.6469779601696886e-23,0.0,6.462348535570529e-26,3.538809117207231e-07,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,3.167078726762161e-14,2.3877974291195497e-09,4.930380657631324e-32,6.162975822039155e-33,4.930380657631324e-32,2.465190328815662e-32,2.465190328815662e-32,4.1359030627651384e-25,0.0,1.718069860874474e-20,3.8785156341249e-11,2.4239709302499934e-16,2.0679515313825692e-25,2.0679515313825692e-25,1.0339757656912846e-25,2.0679515313825692e-25,2.0679515313825692e-25,1.0097419586828951e-28,0.0,1.232595164407831e-32,1.8122665058048325e-13,1.0063667962842126e-16,3.760206216228841e-23,1.7576642575332395e-09,1.3234889800848443e-22,2.6469779601696886e-23,1.3234889800848443e-23,0.0,2.6469779601696886e-23,7.754818242684634e-26,2.0194839173657902e-28,3.7185694480976845e-11,1.0546349000570939e-13,4.214815591452856e-20,3.337671253974938e-13,4.815520798986737e-07,1.8367099231598242e-40,1.8367099231598242e-40,0.0,3.6734198463196485e-40,0.0,0.0,6.599799159177434e-20,4.02796745835639e-31,4.467508234040629e-25,2.5159325209629805e-17,3.28884110778762e-20,4.224717971656415e-24
6,1.1427319937721483e-30,1.37963662671424e-17,8.850549987889407e-09,7.4397426751848455e-31,2.4018425052194822e-08,1.673808546207618e-30,1.036989484666385e-08,8.277713107837623e-17,1.1658064908663556e-30,1.0262686390479811e-08,8.462326386978147e-09,1.6481310826552457e-17,1.5087223877313538e-08,6.459431962222281e-31,2.310530396171583e-08,1.5052077331344042e-17,1.02508645628601e-08,1.5190495258859864e-08,1.0186767208819495e-08,8.770889454307813e-09,1.4503985440992518e-08,8.681602332219119e-09,1.0207250400682423e-08,2.4208112821933095e-08,1.4843204007219028e-08,2.3619383892276154e-08,1.4875075678780963e-08,1.3901143382987553e-17,2.3511796422273274e-08,8.759009833368839e-09,4.1359030627651384e-24,5.22024357439882e-54,0.0,0.0,1.8367099231598242e-40,2.2958874039497803e-41,1.6543612251060553e-24,0.0,5.877471754111438e-39,1.4693679385278594e-39,2.465190328815662e-32,4.3790577010150533e-47,0.0,8.271806125530277e-25,2.465190328815662e-32,9.183549615799121e-41,6.162975822039155e-33,1.5407439555097887e-32,6.162975822039155e-33,5.22024357439882e-54,1.6543612251060553e-24,3.0133522176840866e-40,3.0133522176840866e-40,0.0,2.4326384547988265e-07,6.389452679867344e-18,0.0,2.684922482555e-25,2.512423951151642e-12,5.899540187407842e-17,4.9983578226624e-18,1.750827332511647e-25,8.86810649821388e-15,2.275968873313178e-15,3.0558538763062074e-22,3.309552854051923e-14,7.368858059088404e-22,2.2273789578966253e-37,6.430961301462396e-30,4.2184714133926065e-22,7.756925897522989e-25,5.169878828456423e-26,0.0,0.0,5.169878828456423e-26,5.169878828456423e-26,0.0,6.162975822039155e-33,3.5302242524907337e-10,1.0339757656912846e-25,1.0339757656912846e-25,5.169878828456423e-26,0.0,0.0,0.0,6.162975822039155e-33,8.695198020945087e-18,6.58309064427437e-10,3.851859888774472e-34,3.851859888774472e-34,3.851859888774472e-34,3.851859888774472e-34,3.851859888774472e-34,0.0,8.758115402030107e-47,3.441690288875024e-25,2.5124239511516452e-12,4.8447119152518106e-18,1.0339757656912846e-25,0.0,1.550963648536927e-25,1.0339757656912846e-25,1.0339757656912846e-25,4.930380657631324e-32,2.465190328815662e-32,0.0,5.917995733973084e-17,9.140377786474624e-18,2.496976982732688e-25,5.824057618150706e-10,6.617444900424222e-24,2.6469779601696886e-23,1.3234889800848443e-23,1.3234889800848443e-23,5.293955920339377e-23,2.465190328815662e-32,4.930380657631324e-32,6.318726189476748e-15,2.6685462206975095e-15,2.908795098741134e-22,2.927641885327332e-14,2.4283491975686593e-07,0.0,0.0,0.0,0.0,2.802596928649634e-45,0.0,7.368858059088406e-22,4.994852525732743e-37,6.4309613014624e-30,4.2184714133926116e-22,7.756925897469463e-25,2.1605131474377861e-29
7,4.282899316186551e-08,1.5992204887061114e-09,8.57957077835898e-09,4.280038298734087e-08,9.176830433779842e-09,4.284116193935804e-08,8.708348581666147e-09,1.5283630593315465e-09,4.048863231844564e-08,8.616188059392828e-09,7.746166195580068e-09,1.1072133565607865e-09,1.2793466918074478e-08,4.2681312118047776e-08,1.3281836359740117e-08,1.430766392391645e-09,8.603640583156568e-09,1.2963293338223584e-08,8.518500952021405e-09,8.485558688028576e-09,1.1967860336775813e-08,8.283609636443926e-09,8.561422780883226e-09,1.1314987072304077e-08,1.2532977528034903e-08,9.364845050189685e-09,1.244827445093908e-08,1.5550931210203216e-09,8.859514397837342e-09,8.460802354754576e-09,4.652890945610781e-24,1.1832913578315177e-30,1.5777218104420236e-30,1.0339757656912846e-25,1.9721522630525295e-31,3.944304526105059e-31,2.895132143935597e-24,0.0,1.9721522630525295e-31,3.1554436208840472e-30,3.1554436208840472e-30,1.1832913578315177e-30,0.0,8.271806125530277e-25,9.860761315262648e-32,1.9721522630525295e-31,0.0,0.0,3.944304526105059e-30,1.5777218104420236e-30,1.6543612251060553e-24,7.1490519535654195e-31,6.877881017395697e-30,3.944304526105059e-31,4.112832749697804e-08,5.790724124394421e-16,8.271806125530277e-25,1.6886828472259161e-15,2.0063827548797235e-11,1.5031210688166488e-16,2.7235188057529106e-17,7.964043373122165e-16,7.418086370072815e-15,1.84231325474321e-15,4.597484982301392e-15,2.7892596679744435e-14,6.098459945658746e-16,4.695599636269502e-15,1.168638108136865e-15,2.0913166758210177e-15,2.1385828583162954e-14,0.0,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,1.5777218104420236e-30,2.3344840038181016e-08,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,2.5849394142282115e-26,9.860761315262648e-32,6.585442037932804e-16,3.604990980287032e-08,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,0.0,0.0,2.5849394142282115e-26,1.9721522630525295e-31,1.7483471121306021e-15,2.0063712162752274e-11,2.858690909172604e-08,3.308722450212111e-24,6.617444900424222e-24,0.0,0.0,0.0,1.9721522630525295e-31,4.930380657631324e-32,3.944304526105059e-31,2.2596194948582635e-16,6.315083965881979e-16,9.86101262134689e-16,2.5290156762736563e-08,0.0,1.9852334701272664e-23,6.617444900424222e-24,0.0,6.617444900424222e-24,7.888609052210118e-31,0.0,4.832456122519063e-15,2.937275058254667e-15,3.505226391437935e-15,2.5410105577934957e-14,2.294833358330262e-07,3.970466940254533e-23,1.3234889800848443e-23,2.6469779601696886e-23,1.3234889800848443e-23,1.3234889800848443e-23,7.888609052210118e-31,1.2749906145630514e-15,4.472006162892255e-15,6.964387005634159e-16,4.839531204723641e-15,1.6877695714766266e-14,1.5733984763449028e-07
8,1.5244477103742148e-09,5.7219322566199016e-11,1.0641874356520356e-08,1.5197381348799453e-09,4.301133411535397e-09,1.526463799386336e-09,1.139649068595693e-08,5.5542936142394785e-11,1.4179675001599133e-09,1.1087506040312011e-08,9.479921552211357e-09,3.746479485115919e-11,7.079134197984254e-09,1.5168263274122252e-09,8.674943914838135e-09,5.072183335072089e-11,1.1064016037869362e-08,7.197695949008793e-09,1.0877065120805609e-08,1.053095186731011e-08,6.374480733582097e-09,1.0178968041808935e-08,1.098969957414687e-08,6.4744745780183036e-09,6.890941627317194e-09,4.583893845244094e-09,6.785895944648199e-09,5.517025073011158e-11,4.096278938397124e-09,1.0459318651021943e-08,4.1359030627651384e-25,3.0814879110195774e-33,7.087422195345028e-32,0.0,7.703719777548943e-34,3.851859888774472e-34,2.0679515313825692e-25,2.0679515313825692e-25,1.5407439555097887e-33,1.0477058897466563e-31,5.9164567891575885e-31,0.0,7.703719777548943e-34,8.271806125530277e-25,3.697785493223493e-32,2.311115933264683e-33,1.232595164407831e-32,3.4512664603419266e-31,4.930380657631324e-31,0.0,0.0,1.338521311349129e-31,1.2884471327950608e-31,0.0,2.376587504792413e-08,2.0156984196452826e-17,1.6543612251060553e-24,5.1497548757317495e-17,2.6731447554418575e-10,1.0985270539049812e-16,2.6069890021583363e-17,1.8337374022036114e-17,2.275639315435569e-16,5.702380235017041e-15,1.1235312262364946e-16,6.383109849017116e-15,2.95358121236885e-17,2.94440727877777e-17,1.4873161808916583e-18,8.56931619018814e-18,2.4211421888960475e-16,2.5849394142282115e-26,5.169878828456423e-26,5.169878828456423e-26,0.0,0.0,2.465190328815662e-32,1.8488927466117464e-32,4.709572654220241e-10,6.203854594147708e-25,2.0679515313825692e-25,4.1359030627651384e-25,2.0679515313825692e-25,2.0679515313825692e-25,4.1359030627651384e-25,0.0,5.118272287870168e-17,3.484966835623201e-09,1.0339757656912846e-25,0.0,0.0,0.0,0.0,8.271806125530277e-25,1.925929944387236e-34,5.45511893753392e-17,2.673144806770018e-10,1.0260793704391307e-09,1.0339757656912846e-25,1.0339757656912846e-25,4.1359030627651384e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.465190328815662e-32,2.465190328815662e-32,1.5407439555097887e-33,1.0816675411676883e-16,3.316650855443583e-17,2.1794380173687486e-17,1.6956913928072195e-09,8.271806125530277e-25,8.271806125530277e-25,1.6543612251060553e-24,2.0679515313825692e-24,0.0,1.0014835710813626e-32,1.4791141972893971e-31,4.1678929218757937e-16,5.145055442209529e-15,1.044453179151506e-16,6.583259370941935e-15,1.2415946289687388e-08,0.0,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,0.0,9.803427535357983e-17,1.1432930868960057e-16,8.869942322014896e-19,8.523911865106512e-17,2.8637573685578725e-16,5.614148424789213e-09
9,1.5047822339552055e-09,5.2633607342479397e-11,1.0568637868801231e-08,1.4943591168945528e-09,4.364453170576859e-09,1.5094854022636551e-09,1.1147271754284207e-08,5.3770372085710155e-11,1.3890835505810663e-09,1.0754223625690822e-08,9.07575662385076e-09,3.633947628677762e-11,7.048538539084227e-09,1.4950000833762639e-09,8.466986779831876e-09,4.67897368152228e-11,1.0729289179423868e-08,7.196648583697419e-09,1.0494179895398557e-08,1.0443907668875774e-08,6.135699303359702e-09,9.982170948896876e-09,1.0642444006621079e-08,6.512523369528401e-09,6.8238482107813646e-09,4.5809354043936086e-09,6.66128444940081e-09,5.040776485678553e-11,4.080836513863964e-09,1.0351553512244586e-08,1.4507972462355837e-24,0.0,7.703719777548943e-32,3.2311742677852644e-27,0.0,3.851859888774472e-34,2.0679515313825692e-25,0.0,1.5407439555097887e-33,1.355854680848614e-31,9.860761315262648e-32,1.5407439555097887e-33,1.1555579666323415e-33,8.271806125530277e-25,2.465190328815662e-32,0.0,1.232595164407831e-32,3.944304526105059e-31,0.0,0.0,8.271806125530277e-25,1.2480026039629288e-31,1.1170393677445968e-31,0.0,2.3839167962147447e-08,2.0935081090167005e-17,0.0,5.011315630681455e-17,2.0079020037015903e-10,1.0742233093375387e-16,2.558335396001332e-17,1.805995974678183e-17,2.248443556491236e-16,5.561790310905953e-15,1.1126170535274655e-16,6.349911419120884e-15,2.886556567552111e-17,2.869087766321195e-17,1.4436075436736743e-18,8.447248210188007e-18,2.3818331716799966e-16,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,9.244463733058732e-33,4.4532921236593544e-10,0.0,4.1359030627651384e-25,0.0,0.0,0.0,8.271806125530277e-25,6.162975822039155e-33,4.823271416823242e-17,3.376696601449388e-09,5.169878828456423e-26,2.0679515313825692e-25,1.0339757656912846e-25,0.0,0.0,6.203854594147708e-25,1.925929944387236e-34,5.2878012724927795e-17,2.0079020480016078e-10,1.0229978859723294e-09,0.0,0.0,1.0339757656912846e-25,2.0679515313825692e-25,2.0679515313825692e-25,0.0,0.0,0.0,1.0512812722477046e-16,3.184617396601459e-17,2.1562265691840386e-17,1.6811121660714709e-09,4.1359030627651384e-25,8.271806125530277e-25,8.271806125530277e-25,2.0679515313825692e-24,1.2407709188295415e-24,3.851859888774472e-33,9.860761315262648e-32,4.1050764294160677e-16,5.032347883305908e-15,1.031135403779065e-16,6.544048616064103e-15,1.2639664519702787e-08,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,0.0,7.703719777548943e-34,9.599788202805922e-17,1.116691835821589e-16,8.531364822464679e-19,8.388727423130044e-17,2.8217317662322565e-16,5.564026001317407e-09
