,Y3Z1,Y1Z3,Y5Z4,Y4Z5,Y2Z1,Y1Z2,Y0Z2,Y2Z0,Y3Z0,Y0Z3,Y3Z4,Y4Z3,Y4Z1,Y1Z4,Y5Z1,Y1Z5,Y0Z4,Y4Z0,Y2Z5,Y5Z2,Y3Z2,Y2Z3,Y5Z0,Y0Z5,Y0Z1,Y1Z0,Y3Z5,Y5Z3,Y2Z4,Y4Z2,standard_y,Y3,Y2,X3Y5,X3Y2,X0Y2,Y4,X5Y3,X4Y2,X1Y3,X1Y2,X0Y5,X1Y5,Y1,X5Y1,X4Y0,X1Y4,X5Y0,X3Y1,X3Y0,X2Y1,X2Y0,X4Y1,X1Y0,X0Y1,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y3,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y4,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8078543019534278,0.8078543019534277,0.7937510218569651,0.793751021856965,0.7926333582002464,0.7926333582002464,0.6897669242175675,0.6897669242175674,0.6349999404047207,0.6349999404047206,0.5853624971821242,0.5853624971821241,0.5124562396375931,0.5124562396375931,0.5050841534700117,0.5050841534700117,0.4791004720574512,0.47910047205745115,0.3710466916321079,0.3710466916321078,0.2360563634962105,0.2360563634962105,0.21601434789390284,0.21601434789390284,0.16494947983319797,0.16494947983319794,0.0692647631833114,0.06926476318331129,0.003180630610297202,0.0031806306102971915,1.942890293094024e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,3.469446951953614e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.0614131023365602e-06,2.068135965631732e-06,0.793751021856965,0.793751021856965,0.5573443401250853,2.0291698041213037e-06,0.6897669242175674,0.6897669242175672,1.6203382144131838e-06,0.470586659749464,1.493677657456162e-06,0.07457209253050653,0.07100342711363689,1.3119063393537497e-06,0.43604454837217443,1.2930335345570868e-06,0.47910047205745115,0.47910047205745104,0.3710466916321077,0.3710466916321078,6.023483187802134e-07,0.5540003915191959,0.2160143478939028,0.21601434789390273,0.4679862743347297,4.222765799852722e-07,1.7674386335637574e-07,0.4341775196475464,0.0031806306102972765,0.0031806306102972175,2.6469779601696886e-23,0.0,5.551115123125783e-17,1.0587911840678754e-22,2.117582368135751e-22,1.1102230246251565e-16,5.551115123125783e-17,0.0,5.551115123125783e-17,8.326672684688674e-17,2.6469779601696886e-22,5.551115123125783e-17,1.0587911840678754e-22,2.6469779601696886e-23,6.617444900424221e-23,5.551115123125783e-17,1.0587911840678754e-22,5.551115123125783e-17,0.0,0.0,7.940933880509066e-23,2.7755575615628914e-17,6.617444900424221e-23,5.955700410381799e-23,7.279189390466644e-23,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0
2,7.362587428234186e-07,7.38659895155412e-07,0.005153949113568989,0.005170757629669684,0.5573443401244127,7.247426569978569e-07,0.6897669242175674,0.6897669242175674,5.787234860108201e-07,0.47058665974899405,4.7056544856498274e-07,0.0004857873637792743,0.0004625398927112413,8.251659917260294e-09,0.002831305222512605,5.207588977190644e-09,0.2637928878562328,0.0031210195049245905,0.3678764675260874,0.0024092640069377034,2.1513602267504815e-07,0.5540003915214549,0.0014026148328494204,0.2615185856083573,0.46798627433653917,1.508212126678182e-07,4.686134336029106e-07,0.0028191823139847422,0.3666520568017528,2.0719683556285986e-05,2.7647221572829367e-17,5.293955920339377e-23,0.0,4.1359030627651384e-25,0.0,1.1102230246251565e-16,1.0842021724855044e-19,0.0,4.336808689942018e-19,2.7755575615628914e-17,2.6469779601696886e-23,0.0,1.550963648536927e-25,1.3234889800848443e-23,2.0679515313825692e-25,2.168404344971009e-19,0.0,0.0,0.0,2.6469779601696886e-23,2.6469779601696886e-23,0.0,2.0679515313825692e-25,5.977672395402739e-24,1.2788987751894076e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0
3,3.9041738219679877e-08,3.916906460009307e-08,0.00027266536382312674,0.0002735546042981358,0.00014216122203893392,3.045944417424445e-08,0.0001765118932599034,0.0001759381082921457,1.9317108860037475e-08,0.00012042349283326398,2.495269666931674e-08,2.5700173860166628e-05,2.4470285862391566e-05,4.3704592104763994e-10,0.00014978783289850447,2.7666787503695614e-10,6.750363967071736e-05,0.00016402233029444766,9.383383822461156e-05,5.3497148909082174e-05,1.918026608127892e-08,0.00014130828466154004,5.2841594883050715e-05,6.692539550826038e-05,0.00011975805218051065,3.030851747802841e-08,2.4849854011716392e-08,0.00014914648057020566,9.352354224671357e-05,0.00016348202461834583,4.06526183845311e-20,3.308722450212111e-24,1.3552527156068805e-20,8.077935669463161e-28,8.077935669463161e-28,0.0,1.3552527156068805e-20,8.077935669463161e-28,3.308722450212111e-24,5.551115123125783e-17,8.077935669463161e-28,0.0,5.048709793414476e-28,1.6543612251060553e-24,0.0,0.0,4.0389678347315804e-28,0.0,5.551115123125783e-17,4.0389678347315804e-28,4.0389678347315804e-28,2.220446049250313e-16,4.0389678347315804e-28,2.253676998603278e-28,6.887741778710959e-29,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0
4,1.950976464672154e-08,1.958182660012402e-08,8.243216662719087e-09,4.3674142898698367e-07,7.520953122888488e-09,1.5188033163572442e-08,9.375573389436646e-09,9.323413136700061e-09,9.605171680154795e-09,6.380038580714289e-09,1.24262120834006e-08,4.0769439464404544e-08,3.882988946764943e-08,2.560663637081312e-10,4.508367415676613e-09,9.784422569704037e-11,3.580358493340459e-09,2.608063367359409e-07,4.955614032177226e-09,1.6074845432596333e-09,9.53733366954541e-09,7.475998105730416e-09,1.5878181762404407e-09,3.5194077279940733e-09,6.344857474204408e-09,1.511297448002125e-08,1.2324078536607121e-08,4.489077309427322e-09,4.922894481886612e-09,2.5994724992755785e-07,2.1093105620102206e-23,0.0,0.0,1.232595164407831e-32,2.465190328815662e-32,0.0,1.9852334701272664e-23,1.232595164407831e-32,3.944304526105059e-31,5.551115123125783e-17,4.930380657631324e-32,0.0,1.5407439555097887e-32,8.271806125530277e-25,6.162975822039155e-33,0.0,0.0,0.0,5.551115123125783e-17,6.162975822039155e-33,4.622231866529366e-33,0.0,7.888609052210118e-31,2.639125876918134e-33,4.661352318524732e-33,4.39594080610015e-08,0.0,0.06506439648217324,4.080087348001015e-17,1.7552165827536894e-15,1.110433837623313e-17,8.746241603892562e-16,5.818829024539742e-17,2.826561167671012e-17,1.5345445096963634e-15,0.13017337828058967,2.0035929979786586e-17,1.221187467987941e-17,3.141783397556391e-16,2.854503875844856e-17,0.1438504967239716,7.016547714805515e-17,4.1359030627651384e-25,2.0679515313825692e-25,0.0,2.5849394142282115e-26,5.169878828456423e-26,5.169878828456423e-26,5.551115123125783e-17,1.8488927466117464e-32,8.80698859791549e-10,1.6543612251060553e-24,0.0,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,5.551115123125783e-17,1.5777218104420236e-30,0.06506439648217324,4.772336515733147e-08,0.0,4.1359030627651384e-25,0.0,2.0679515313825692e-25,2.0679515313825692e-25,0.0,5.20402459431958e-17,2.5890640503105856e-15,2.6227953708233048e-09,0.0,1.0339757656912846e-25,1.0339757656912846e-25,2.0679515313825692e-25,2.0679515313825692e-25,0.0,1.9721522630525295e-31,2.465190328815662e-32,2.3392804186432535e-17,1.3410930889846134e-15,8.417626829838386e-17,1.2535460616081786e-09,4.4832542965520543e-26,6.462348535570529e-27,0.0,1.0339757656912846e-25,1.0339757656912846e-25,4.988457522882476e-17,3.3572224715335844e-15,0.1301733782805897,4.479660457441615e-17,2.562195927608482e-09,0.0,5.169878828456423e-26,2.0679515313825692e-25,5.169878828456423e-26,0.0,4.930380657631324e-32,2.465190328815662e-32,2.6757258425301576e-17,1.0413798650500118e-15,5.1283436181763164e-17,0.1438504967239716,7.371219391869045e-17,1.0481870002851864e-09
5,4.041190878720694e-08,4.879718153786046e-08,3.532371623813138e-07,7.763916905909209e-07,4.284720366473658e-07,4.43518140954893e-08,4.733959066296741e-07,5.565659765342404e-07,2.953800879206774e-08,3.533439101564257e-07,4.190976288542499e-09,3.7908503554449335e-07,3.9571216714435004e-07,2.0102337131075776e-08,1.7359818579031454e-08,1.855939716328101e-08,1.5642235639431826e-07,4.925295224676199e-07,2.4207730055287075e-07,9.62841640262071e-08,2.9055186807526058e-08,4.1923844352883714e-07,9.237815440601324e-08,1.4461292321721505e-07,3.480282191028736e-07,4.3752460875338626e-08,4.988154070750447e-09,1.4667764482898387e-08,2.3548415548121863e-07,4.867414602016669e-07,3.8050308177439273e-23,0.0,1.0587911840678754e-22,3.1554436208840472e-30,6.310887241768095e-30,2.7755575615628914e-17,7.940933880509066e-23,1.5777218104420236e-30,0.0,6.938893903907228e-18,7.888609052210118e-31,1.5777218104420236e-30,3.944304526105059e-31,1.6543612251060553e-24,1.1832913578315177e-30,0.0,1.5777218104420236e-30,1.262177448353619e-29,1.3877787807814457e-17,0.0,1.5777218104420236e-30,1.3877787807814457e-17,1.5777218104420236e-30,9.40624184838726e-31,9.32920465061177e-31,6.197735847388005e-07,9.926167350636332e-24,0.05369055964158652,1.8595859598050092e-14,2.871726867775255e-14,7.510233577617263e-14,5.07002350678622e-13,2.550374212963224e-14,1.5404998666335173e-14,3.955541181404481e-14,0.15922851892064083,6.75299039863237e-15,2.0709033817251015e-13,4.127977093274053e-14,3.5520200995329057e-15,0.000727928578694162,4.660095854270577e-14,0.0,2.6469779601696886e-23,2.6469779601696886e-23,0.0,2.6469779601696886e-23,2.6469779601696886e-23,6.938893903907228e-18,0.0,3.990859302427298e-07,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,1.5777218104420236e-30,0.053690559641543754,5.738599692542036e-07,3.308722450212111e-24,0.0,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,5.9164567891575885e-31,2.71447182475078e-14,7.256510104633179e-14,4.487524239249232e-08,2.6469779601696886e-23,5.293955920339377e-23,1.0587911840678754e-22,5.293955920339377e-23,5.293955920339377e-23,0.0,1.262177448353619e-28,1.262177448353619e-29,1.1349268400909116e-13,7.026756076563307e-13,3.955027208506534e-14,9.204119573595119e-07,8.271806125530277e-25,0.0,1.6543612251060553e-24,3.308722450212111e-24,6.617444900424222e-24,3.905461483567857e-14,4.916106116499038e-14,0.15922851892064016,8.221992331638609e-15,3.7578778213338996e-08,1.3234889800848443e-23,1.3234889800848443e-23,5.293955920339377e-23,0.0,5.293955920339377e-23,0.0,1.5777218104420236e-30,3.146235733981121e-13,3.341941052007708e-13,6.8697164381530705e-15,0.0007279285786975578,4.0677553047663994e-14,7.547615474820533e-07
6,1.8186369134361475e-07,2.051343625174234e-07,0.0001270112464352072,0.00012779271447955,5.488507373478857e-05,2.0105643532119684e-07,6.771373721469674e-05,5.735286527705448e-05,1.6068674130455374e-07,6.547142007881914e-05,3.825737829516797e-08,9.034700766054321e-05,9.446436198221365e-05,3.4501466628397864e-08,2.0561603025000175e-05,2.6955131097407744e-08,1.7695761982195927e-05,9.269673927092401e-05,1.5195540960444557e-05,1.1290198321760519e-05,1.5702378733191392e-07,5.381895457375799e-05,1.3843362278995497e-05,1.555496879864886e-05,6.386615873782729e-05,1.9825974123253245e-07,3.247942571122171e-08,1.736563981111455e-05,1.441991264576929e-05,9.093234938413969e-05,5.075580238625378e-21,1.3234889800848443e-23,6.776263578034403e-21,8.077935669463161e-28,8.077935669463161e-28,6.938893903907228e-18,6.776263578034403e-21,0.0,8.271806125530277e-25,1.734723475976807e-18,0.0,2.0679515313825692e-25,0.0,6.617444900424222e-24,3.2311742677852644e-27,8.271806125530277e-25,1.6155871338926322e-27,4.1359030627651384e-25,0.0,4.0389678347315804e-28,2.0194839173657902e-28,0.0,8.077935669463161e-28,2.208810534618833e-29,3.4394335467636115e-28,4.301273038037077e-05,1.6940658945086007e-21,0.09941155265104656,1.9723029624750855e-11,2.4464359338130756e-11,6.844167783571472e-09,1.413860660351326e-08,3.244541786473055e-11,1.520904000292122e-12,3.9240684309394635e-11,3.597684860196456e-05,9.967755963052177e-12,1.0572903244460012e-08,3.3841765931633687e-09,7.648230109582022e-12,0.025583207547565295,3.94301876502383e-11,6.776263578034403e-21,0.0,0.0,3.3881317890172014e-21,3.3881317890172014e-21,3.3881317890172014e-21,0.0,8.271806125530277e-25,5.8727311510788785e-05,1.3552527156068805e-20,0.0,8.470329472543003e-22,2.541098841762901e-21,2.541098841762901e-21,3.469446951953614e-18,0.0,0.09941155768963111,9.019335715484959e-06,6.617444900424222e-24,1.6543612251060553e-24,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,2.0194839173657902e-27,1.228422465119029e-11,1.1242566932904082e-11,1.480120883256477e-07,1.0164395367051604e-20,0.0,0.0,3.3881317890172014e-21,3.3881317890172014e-21,8.271806125530277e-25,2.0679515313825692e-25,4.0389678347315804e-28,4.342114111871978e-09,1.204914680720102e-08,3.518309866482878e-11,5.3364728866461705e-05,1.6543612251060553e-24,4.963083675318166e-24,1.3234889800848443e-23,2.6469779601696886e-23,1.3234889800848443e-23,3.8756121758805844e-11,3.306305655224312e-11,0.0010619808780782877,3.739561830651776e-12,3.2080143865295545e-07,0.0,6.776263578034403e-21,6.776263578034403e-21,3.3881317890172014e-21,0.0,2.0679515313825692e-25,0.0,7.602231700746931e-09,1.217786971155542e-09,3.4831951234371456e-12,0.02579756621593357,4.2987823483381824e-11,3.8887163782234284e-05
7,4.9417545052212434e-05,2.563926732060502e-05,2.5782408816449614e-05,2.7609659550716565e-05,4.743002142421818e-06,2.5884995884924942e-05,1.1686116658124183e-05,4.645838634903679e-06,4.9895664159574027e-05,1.1698975594422299e-05,1.6644226011468874e-05,2.1966491067139622e-05,2.2365230404926705e-05,2.354227373510629e-05,1.5782400288238068e-05,2.265204010911738e-05,8.188452287756345e-06,2.2658528297345268e-05,1.3883682704023146e-06,1.7341567873301865e-05,4.885035978300419e-05,4.798692249680879e-06,1.7122132200041668e-05,7.735242069727747e-06,1.1547453304840845e-05,2.571296228366413e-05,1.885315155255254e-05,1.6079186090199056e-05,1.2498833591811134e-06,2.26114470012738e-05,3.8116482626443515e-21,3.3881317890172014e-21,4.235164736271502e-22,1.550963648536927e-25,2.5849394142282115e-26,8.673617379884035e-19,1.6940658945086007e-21,4.1359030627651384e-25,0.0,6.505213034913027e-19,2.5849394142282115e-26,1.0339757656912846e-25,2.0679515313825692e-25,8.470329472543003e-22,4.1359030627651384e-25,5.169878828456423e-26,5.169878828456423e-26,2.5849394142282115e-26,8.673617379884035e-19,5.169878828456423e-26,2.5849394142282115e-26,1.734723475976807e-18,9.693522803355793e-27,8.077935669463161e-27,1.6155871338926322e-27,6.38633937235788e-05,1.6940658945086007e-21,0.0003949655915214448,4.276448384869487e-10,3.7251092894513176e-09,3.737871585967928e-10,1.005417006187402e-09,2.5718587408378872e-09,2.6760772646097526e-09,1.2829947992723358e-11,0.004482819417624409,7.480832244567179e-10,1.0288600786036298e-10,1.35774702165835e-10,2.439419148163609e-10,0.009862289908315561,2.4023372513845256e-09,0.0,0.0,1.6940658945086007e-21,8.470329472543003e-22,0.0,0.0,0.0,0.0,1.1875669627626688e-05,8.470329472543003e-22,8.470329472543003e-22,0.0,8.470329472543003e-22,8.470329472543003e-22,1.734723475976807e-18,0.0,0.0002766477014506396,1.0733249886774393e-05,0.0,3.3881317890172014e-21,6.776263578034403e-21,3.3881317890172014e-21,3.3881317890172014e-21,8.271806125530277e-25,1.8135350813797658e-10,4.377235898792474e-09,3.3605290159308175e-05,1.6940658945086007e-21,0.0,3.3881317890172014e-21,1.6940658945086007e-21,1.6940658945086007e-21,5.169878828456423e-26,0.0,5.169878828456423e-26,6.070577133068639e-10,9.325790889481344e-10,2.6049636735269055e-09,2.1855896670275756e-05,1.3552527156068805e-20,6.776263578034403e-21,0.0,3.3881317890172014e-21,6.776263578034403e-21,3.3532415260058736e-10,3.239210014230567e-11,0.0013923426600500966,6.835231680744232e-10,9.120729207934389e-05,8.470329472543003e-22,0.0,1.6940658945086007e-21,1.6940658945086007e-21,1.6940658945086007e-21,5.169878828456423e-26,5.169878828456423e-26,5.321319105300892e-10,1.4561921859877308e-11,1.0160292425991746e-11,0.009428650451488253,2.473400399196473e-09,1.6484372330396413e-05
8,2.3432361178427518e-07,6.174973084041613e-06,1.1796838318195895e-06,7.312409247922006e-07,1.3646229708636872e-05,6.149233017730658e-06,9.717181751575679e-06,1.3698910262566501e-05,2.2189237756154576e-07,9.68948343638368e-06,8.58458027379782e-08,4.734662034351486e-07,4.783435223109539e-07,5.611656572562511e-06,7.940477958901513e-07,5.226291584614525e-06,9.37952794373813e-06,4.736135688959261e-07,1.25375722585252e-05,8.395532271973115e-07,1.0518560894161772e-07,1.3045363174375936e-05,8.250772363756848e-07,8.501586786961173e-06,9.356762671661285e-06,6.071016731537308e-06,4.072329207411181e-07,7.927027667607289e-07,1.193957919409065e-05,4.76250501557839e-07,5.69100261436483e-22,1.3234889800848443e-23,8.470329472543003e-22,0.0,3.2311742677852644e-27,0.0,5.293955920339377e-23,5.048709793414476e-29,0.0,1.0842021724855044e-19,3.2311742677852644e-27,1.6155871338926322e-27,2.0194839173657902e-28,2.117582368135751e-22,2.4233807008389483e-27,4.0389678347315804e-28,2.271919407036514e-28,0.0,0.0,8.204153414298523e-29,0.0,5.421010862427522e-20,4.0389678347315804e-28,0.0,3.0292258760486853e-28,1.575599818062012e-05,0.0,0.0029134997835894415,3.4027580110878884e-12,1.5159216855685705e-11,1.274067537411085e-11,2.009715945733142e-11,1.1703616911584323e-10,1.057902893932247e-12,2.5578638943872637e-12,0.013344244793230136,2.6672837863829948e-11,2.6885334964174532e-11,2.7503967012461157e-11,3.285524794370044e-11,5.5687231508908056e-05,9.669240269648473e-11,0.0,1.3234889800848443e-23,0.0,5.293955920339377e-23,2.6469779601696886e-23,2.6469779601696886e-23,1.734723475976807e-18,0.0,4.212188260394193e-07,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.002420824853051953,7.898410798234272e-07,0.0,0.0,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,8.077935669463161e-28,9.755716704772997e-12,1.548206843262446e-11,4.302910765449009e-06,1.0587911840678754e-22,0.0,0.0,0.0,0.0,6.058451752097371e-28,0.0,0.0,9.99255264821387e-12,1.702385243099589e-11,8.907064244993757e-11,2.119194490310456e-06,1.0587911840678754e-22,5.293955920339377e-23,1.0587911840678754e-22,1.0587911840678754e-22,1.0587911840678754e-22,6.7202954519084056e-12,1.197822962833846e-13,0.011313703225199588,2.0782824057148422e-11,2.1601347977096567e-06,0.0,4.235164736271502e-22,8.470329472543003e-22,8.470329472543003e-22,0.0,8.077935669463161e-28,4.0389678347315804e-28,7.229775480503531e-12,1.7115727972798447e-11,1.1195010173786557e-11,0.0007786235926937293,9.356818006962828e-11,8.384818033013848e-06
9,2.588816911581229e-06,1.6988969766457836e-06,5.8025548743793925e-06,5.460626360362777e-06,5.202473865372517e-07,1.671909892632012e-06,1.3003361994920641e-08,5.226203136260173e-07,2.5874170304288246e-06,1.492344311498559e-08,7.818040993098595e-07,4.107068440018006e-06,4.33384911332909e-06,1.6208912796856484e-06,3.967882889148498e-06,1.4915469564780905e-06,5.6146101604633056e-08,4.402759565412521e-06,5.469743683439138e-07,4.464636383888398e-06,2.536034435710408e-06,4.876212395413282e-07,4.3651468302903356e-06,5.142977438399813e-08,1.976237078622336e-08,1.6477073604043828e-06,9.429632413244589e-07,4.122018097402348e-06,5.335103695977286e-07,4.3497855343792316e-06,8.999725064576941e-22,0.0,5.293955920339377e-23,2.4233807008389483e-27,8.077935669463161e-28,2.168404344971009e-19,4.235164736271502e-22,3.2311742677852644e-27,0.0,1.0842021724855044e-19,3.7865323450608567e-29,0.0,1.6155871338926322e-27,0.0,1.6155871338926322e-27,4.0389678347315804e-28,8.077935669463161e-28,0.0,4.336808689942018e-19,2.0194839173657902e-28,2.524354896707238e-29,0.0,1.2116903504194741e-27,2.540132114811658e-28,1.4988357199199224e-28,1.382722745431745e-05,4.235164736271502e-22,1.158578971327745e-05,1.8168990328595148e-11,4.5269623678712806e-11,2.1786610886592857e-12,2.3031526489843178e-12,3.537890697272904e-13,1.8442188258408728e-11,4.992562535473019e-13,1.98590236615054e-05,3.6573060216344024e-12,7.554672270928907e-12,8.66604922525197e-12,2.2024010340030663e-12,0.0010235821896480996,4.134966896741074e-12,0.0,2.6469779601696886e-23,2.6469779601696886e-23,0.0,0.0,0.0,0.0,2.0194839173657902e-28,4.6727074644690404e-07,1.0587911840678754e-22,0.0,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,1.734723475976807e-18,0.0,0.000828204749800604,6.191358301295836e-07,0.0,2.117582368135751e-22,0.0,4.235164736271502e-22,4.235164736271502e-22,0.0,3.801020617053625e-11,4.101496571715406e-11,4.364637803304002e-06,1.0587911840678754e-22,1.0587911840678754e-22,0.0,0.0,0.0,4.0389678347315804e-28,0.0,8.077935669463161e-28,9.526070024774956e-12,1.1173419493533415e-12,1.0000500819868703e-12,1.212173403431579e-06,2.117582368135751e-22,6.352747104407253e-22,4.235164736271502e-22,2.117582368135751e-22,6.352747104407253e-22,7.020938510454009e-11,1.4148170001297024e-11,0.000515344087851029,3.7283686738594155e-12,7.248557106624414e-06,1.0587911840678754e-22,1.0587911840678754e-22,0.0,1.0587911840678754e-22,2.117582368135751e-22,0.0,0.0,1.4223893916956764e-12,6.930260297416564e-12,2.462625071042119e-12,0.0019497083476916711,4.100565423894442e-12,1.1537242246401372e-06
