,Y5Z2,Y2Z5,Y5Z4,Y4Z5,Y5Z3,Y3Z5,Y5Z0,Y0Z5,Y4Z3,Y3Z4,Y3Z0,Y0Z3,Y2Z0,Y0Z2,Y4Z1,Y1Z4,Y2Z1,Y1Z2,Y1Z0,Y0Z1,Y4Z0,Y0Z4,Y4Z2,Y2Z4,Y3Z2,Y2Z3,Y3Z1,Y1Z3,Y5Z1,Y1Z5,X0Y2,Y0,X4Y2,X0Y4,standard_y,X5Y0,X4Y0,X3Y4,X2Y0,X1Y3,X1Y2,X5Y1,X4Y1,Y4,Y3,Y1,X5Y3,X5Y2,X4Y3,X3Y5,X3Y0,X2Y4,X2Y1,X0Y3,Y5,X1Y4,X0Y5,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y2,X3Y1,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9655730932373157,0.9655730932373155,0.9174037785508573,0.9174037785508573,0.5466877744282466,0.5466877744282466,0.512444364924409,0.5124443649244088,0.4815527776171085,0.4815527776171084,0.4536708635895742,0.4536708635895742,0.4301862459900981,0.430186245990098,0.4185326073961467,0.4185326073961466,0.3924154014554718,0.3924154014554718,0.35184625582788254,0.35184625582788254,0.3434697408782532,0.3434697408782532,0.26380664067454207,0.26380664067454207,0.10245584696998081,0.10245584696998078,0.04090872254284264,0.04090872254284261,0.023659862260269657,0.023659862260269636,1.3877787807814457e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,5.204170427930421e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0017231305728233677,0.0017287501991213156,0.0016371691687727418,0.654455112210311,0.0009756013547848016,0.44456514305451933,0.0009144916715852196,0.08365720713373484,0.4815527776171085,0.48155277761710846,0.45367086358957415,0.4536708635895742,0.0007702001677793778,0.08059150390300751,0.4185326073961467,0.4185326073961467,0.0007025757119328571,0.3688324878061745,0.35184625582788265,0.35184625582788254,0.3434697408782532,0.3434697408782532,0.6506134794896477,0.00047231616724799515,0.44245394310590336,0.00018343568922023093,0.04090872254284263,0.0409087225428426,4.222262643294305e-05,0.36747929254025635,5.421010862427522e-20,2.7755575615628914e-17,1.0842021724855044e-19,5.551115123125783e-17,1.3904892862126594e-17,5.421010862427522e-20,0.0,2.7755575615628914e-17,1.0842021724855044e-19,4.163336342344337e-17,1.3552527156068805e-19,1.0842021724855044e-19,4.163336342344337e-17,2.7755575615628914e-17,1.3877787807814457e-17,2.7755575615628914e-17,2.710505431213761e-20,0.0,1.3877787807814457e-17,2.710505431213761e-20,0.0,1.0842021724855044e-19,2.710505431213761e-20,1.0408340855860843e-17,2.710505431213761e-20,1.3877787807814457e-17,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,8.131516293641283e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,4.594306705907325e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.814683386197613e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,9.283973900327963e-09,1.9592123822026578e-05,8.820826507885221e-09,0.00022566791535150242,5.2563965016915114e-09,0.03542239198500747,4.927146523291663e-09,0.2586966876089547,0.00016604818174924672,0.03843296644289833,0.4536708635895741,0.4536708635895742,1.1995408559598282e-05,0.2606480019660916,0.00014431767750316978,0.7848179424614079,1.0942197965216937e-05,0.7846484177375941,0.3518462558278825,0.35184625582788265,0.00011843463190252117,0.2600851669915343,0.0002243439008369582,1.9480687252421337e-05,0.03597226612225331,2.8569015285367548e-06,0.0409087225428426,0.040908722542842585,2.274892965101556e-10,0.7846519830921327,0.0,0.0,8.271806125530277e-25,1.3552527156068805e-20,1.384898930799327e-17,0.0,0.0,1.3552527156068805e-20,0.0,6.938893903907228e-17,8.470329472543003e-22,1.0339757656912846e-25,6.776263578034403e-21,2.710505431213761e-20,1.3877787807814457e-17,0.0,2.0679515313825692e-25,1.3552527156068805e-20,1.3552527156068805e-20,4.1359030627651384e-25,5.551115123125783e-17,8.271806125530277e-25,8.470329472543003e-22,6.938893903907228e-18,6.203854594147708e-25,6.776263578034403e-21,2.1971985020939798e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2694166310760975e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3180591848830827e-17,0.0,0.0,0.0,0.0,0.0,0.0
3,1.1285552331096148e-09,1.215609713108687e-05,1.0446922153454741e-09,4.3053652726846094e-07,6.389649349481152e-10,0.005219976508852198,5.989414719231649e-10,0.0908589256494538,3.167920766565266e-07,0.0023419989716520206,0.45367086358957415,0.4536708635895741,4.786690328172985e-06,0.08777131547708208,2.753339197867069e-07,0.0048992143959849105,1.2114634836665168e-05,0.004898156157220819,0.0021963949911316567,0.09261163291189488,2.2595341058964167e-07,0.09061047316515572,4.2801052992763157e-07,1.2125777279282518e-05,0.004537986793447427,1.140028107191663e-06,0.002601464887901403,0.00025537208879849,1.0410952548781936e-09,0.004898178414350531,0.0,2.7755575615628914e-17,0.0,0.0,1.3550780047217517e-17,1.6155871338926322e-27,0.0,2.6469779601696886e-23,1.2705494208814505e-21,1.0842021724855044e-19,0.0,1.0097419586828951e-28,1.5352472168984194e-21,5.293955920339377e-23,4.163336342344337e-17,3.2526065174565133e-19,0.0,1.3552527156068805e-20,1.3234889800848443e-23,0.0,1.3877787807814457e-17,2.0194839173657902e-28,1.6543612251060553e-24,1.0842021724855044e-18,1.0339757656912846e-25,1.0852609636695723e-21,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.352747104407253e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,6.17986635638367e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.082443125832244e-20,0.0,0.0,0.0,0.0,0.0,0.0
4,3.0351062524050867e-09,2.2563699526985908e-05,2.809566173120855e-09,2.976333424968666e-07,1.1290399638653111e-10,3.172159529701423e-05,1.0202017397413906e-10,0.0005539135527470992,6.330815730839886e-08,1.4234288053899214e-05,0.002756613754443335,0.0027656038677824363,6.775681309061559e-06,0.0005350911964578112,1.9034053942837494e-07,0.00233754909214527,2.248683493741224e-05,0.0023370441766043925,0.0009265134175155031,0.0005645419392461271,6.20815364229072e-08,0.000552399074440742,2.958871002643901e-07,2.2507421531997567e-05,2.7577648641747936e-05,6.739717088691117e-06,1.5803586978177975e-05,0.0009226890813378813,2.7999372646080742e-09,0.002337054796065173,1.3234889800848443e-23,5.421010862427522e-20,0.0,1.0339757656912846e-25,5.589093962898297e-20,2.145701662201152e-28,0.0,1.0339757656912846e-25,6.617444900424222e-24,0.0,1.6543612251060553e-24,1.0097419586828951e-28,3.3881317890172014e-21,1.3234889800848443e-23,1.0842021724855044e-19,1.0842021724855044e-19,8.077935669463161e-28,1.3552527156068805e-20,5.169878828456423e-26,0.0,6.938893903907228e-18,4.0389678347315804e-28,0.0,6.938893903907228e-18,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768094e-29,1.696725958724555e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3998860249443147e-22,0.0,0.0,0.0,0.0,0.0,0.0
5,1.6020230123257534e-11,2.9301279635458213e-06,1.4809696196733106e-11,1.0913240152853646e-11,6.171926029771842e-13,5.79912487005137e-09,5.048383024415015e-13,1.0066435900494697e-06,2.330083348501589e-12,2.6113871762921173e-09,5.055113116509657e-07,5.036014775729679e-06,8.711572641180567e-07,9.72589094040406e-07,6.961440626505346e-12,2.0905405630298914e-06,2.9201169742883196e-06,2.0900876049273173e-06,8.246347920091176e-07,1.0258892285011302e-06,2.2414451001435077e-12,1.0038915799616544e-06,1.0849520787127585e-11,2.922801760620856e-06,5.040953305304569e-09,8.619940575271962e-07,2.8981525711790914e-09,8.178815691291691e-07,1.4759032143882477e-11,2.0900971728369067e-06,0.0,0.0,1.5407439555097887e-33,0.0,4.764560328305439e-22,1.925929944387236e-33,0.0,1.5407439555097887e-33,0.0,5.048709793414476e-29,1.0097419586828951e-28,3.851859888774472e-34,4.235164736271502e-22,0.0,2.6469779601696886e-23,2.6469779601696886e-23,1.5407439555097887e-33,4.235164736271502e-22,7.703719777548943e-34,1.5407439555097887e-33,0.0,0.0,2.0194839173657902e-28,6.938893903907228e-18,0.0,1.0587911840678754e-22,0.0,2.7881570931244817e-07,4.743359637409956e-13,2.6799644911148793e-18,1.721535948067766e-18,7.316540715925803e-07,9.011793454828875e-18,1.8608315001562132e-13,4.235164736271502e-22,6.703546822511706e-18,7.729109794582687e-07,1.1202787038336036e-13,2.50364250871959e-13,2.4190930869143246e-17,1.554865978166183e-17,0.0009895606307871482,3.666655453655791e-12,1.3236336996114073e-12,4.0389678347315804e-28,0.0,0.0,0.0,1.0097419586828951e-28,0.0,2.912267756673648e-12,1.0097419586828951e-28,5.048709793414476e-29,0.0,0.0,0.0,2.0194839173657902e-28,4.743359637656052e-13,1.045704112447989e-12,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,2.481541837659083e-24,2.0194839173657902e-28,5.048709793414476e-29,4.47001707212056e-18,2.0932832882520197e-18,2.3101808573225036e-08,2.6469779601696886e-23,7.940933880509066e-23,5.293955920339377e-23,2.6469779601696886e-23,2.6469779601696886e-23,0.0,5.048709793414476e-29,7.316540715941341e-07,1.0005934869325638e-17,4.79211351830579e-13,3.5104589854526015e-07,1.3234889800848443e-23,6.617444900424222e-24,6.617444900424222e-24,1.9852334701272664e-23,0.0,3.851859888774472e-34,5.471890528234794e-28,9.844908782817237e-18,7.729109794585371e-07,2.826686381895381e-13,6.171640359718106e-13,1.9090711824306149e-07,1.3234889800848443e-23,0.0,6.617444900424222e-24,0.0,5.293955920339377e-23,6.101654212609865e-29,4.489724480427208e-17,2.171468434693745e-17,0.0009895606307879748,5.021233903418625e-12,2.6511921111407045e-12,2.4003945687451753e-07
6,3.112873117349807e-15,1.022141392118026e-06,3.041296083442834e-13,2.680445093779462e-13,3.6383499798254853e-13,2.3318787263567736e-07,3.262768145173962e-13,1.6713665366226582e-08,2.8581871240527677e-13,2.429011016330361e-07,2.3205260795979796e-07,1.3463880311539934e-08,9.56294798772363e-07,1.5945658904570657e-08,3.007897668419674e-13,1.5723587243146267e-08,1.004578209746335e-06,1.5595251601119178e-08,1.5734733432458785e-08,1.7016238983698075e-08,2.8348367233436284e-13,1.6265331687896953e-08,2.6689185468856457e-13,9.82226283538263e-07,2.386748404014412e-07,9.681734262299748e-07,2.3620807475621876e-07,1.5654674722051286e-08,3.335597978927075e-13,1.5439281496841552e-08,0.0,1.6543612251060553e-24,0.0,0.0,2.3988235239682906e-22,0.0,0.0,9.62964972193618e-35,0.0,1.262177448353619e-29,3.1554436208840472e-30,1.8055593228630336e-35,1.0587911840678754e-22,2.524354896707238e-29,2.6469779601696886e-23,0.0,3.0814879110195774e-33,2.117582368135751e-22,2.407412430484045e-35,1.5407439555097887e-33,1.0842021724855044e-19,4.81482486096809e-35,6.310887241768095e-30,2.168404344971009e-19,0.0,5.293955920339377e-23,0.0,1.7009823465524883e-06,1.7458200688848884e-14,4.2903367115684435e-18,2.8580643367691658e-19,2.392839942704893e-06,3.596814831990361e-19,9.659220933403652e-13,2.117582368135751e-22,2.857630120057036e-19,9.822340515033498e-07,2.4909708722044677e-14,2.0779918254363873e-14,1.5322601426927584e-18,9.789738113869282e-19,4.206911680095227e-06,4.724339536891665e-13,3.612815641386771e-15,0.0,8.077935669463161e-28,0.0,0.0,0.0,1.5777218104420236e-30,8.499930833432768e-12,1.262177448353619e-29,0.0,6.310887241768095e-30,0.0,0.0,1.5777218104420236e-30,1.7458200687055115e-14,2.142289830564183e-14,2.117582368135751e-22,2.117582368135751e-22,1.0587911840678754e-22,2.117582368135751e-22,2.117582368135751e-22,0.0,1.262177448353619e-29,7.682281771399698e-18,1.0884963499004812e-19,1.1622703397130804e-06,0.0,0.0,5.293955920339377e-23,1.0587911840678754e-22,1.0587911840678754e-22,2.117582368135751e-22,1.0097419586828951e-28,2.392839942699675e-06,4.1030323644073944e-19,2.0846963259890577e-12,6.906479639864001e-07,3.308722450212111e-24,0.0,9.926167350636332e-24,0.0,3.308722450212111e-24,1.2037062152420224e-35,5.238529448733282e-32,8.3561194091401e-21,9.822340515033572e-07,2.4859400213487365e-14,8.470639808398413e-14,8.03680711923041e-08,6.617444900424222e-24,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,1.4482993181792014e-31,9.740982919699868e-19,1.0368505347290955e-18,4.206911677503523e-06,4.5122500202187017e-13,5.063035069931227e-16,7.157640730842005e-08
7,1.6705945011825908e-15,2.282050369430472e-07,1.3197205195455076e-15,1.5222275775020756e-16,1.0971257422697707e-15,2.817352265658961e-08,1.217799541743752e-15,2.588690230097666e-09,1.6119239641611357e-16,2.9729714364231463e-08,2.862217010146454e-08,1.9810366377065325e-09,2.0786681358687085e-07,2.356890771484669e-09,1.7073334656790178e-16,2.5622603402401616e-09,2.203264482415432e-07,2.550985587726283e-09,2.567061073838415e-09,2.4795037874781646e-09,1.6026538888500736e-16,2.4344904587722906e-09,1.4977521889634135e-16,2.10385840088589e-07,2.788259617891541e-08,2.1066762303534298e-07,2.779438746361642e-08,2.528090746583746e-09,1.1939758347736392e-15,2.479232140081224e-09,0.0,0.0,0.0,0.0,2.6469779909845677e-23,9.4039548065783e-38,3.6734198463196485e-40,4.408103815583578e-39,0.0,7.888609052210118e-31,1.4791141972893971e-31,0.0,2.0679515313825692e-25,1.232595164407831e-32,0.0,0.0,0.0,3.308722450212111e-24,2.938735877055719e-39,3.76158192263132e-37,2.168404344971009e-19,1.1754943508222875e-38,9.860761315262648e-32,2.168404344971009e-19,2.9582283945787943e-31,2.0679515313825692e-25,0.0,6.487904070574251e-08,3.21424468290213e-16,1.0565291025683107e-21,2.00380955797038e-23,1.3587886811566613e-08,3.0309412683960755e-23,3.6736354755732575e-14,2.6469779601696886e-23,2.498523246254859e-23,5.936583039977397e-09,9.76676057007156e-16,2.524562612812561e-16,3.777714504482455e-22,8.790974618559166e-23,7.577947545874407e-06,1.442457920170207e-14,6.887906467354255e-17,0.0,0.0,7.888609052210118e-31,7.888609052210118e-31,7.888609052210118e-31,0.0,9.424851534677088e-15,3.0814879110195774e-33,0.0,3.0814879110195774e-33,0.0,0.0,4.930380657631324e-32,3.214244682902119e-16,6.290213737556794e-18,0.0,2.6469779601696886e-23,2.6469779601696886e-23,0.0,0.0,1.262177448353619e-29,9.860761315262648e-32,3.007005313042484e-24,1.6188872073369553e-23,1.9403754976742806e-07,1.3234889800848443e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,1.6543612251060553e-24,3.1554436208840472e-30,1.3587886811565475e-08,3.701014065198708e-23,8.027443342024124e-14,1.2594812651231352e-07,4.1359030627651384e-25,0.0,1.6543612251060553e-24,4.1359030627651384e-25,8.271806125530277e-25,1.4693679385278594e-39,1.0381966106462443e-32,2.8383359774042864e-24,5.936583039977397e-09,9.598205246710379e-19,1.710689742985498e-15,8.246404714173721e-09,0.0,1.6543612251060553e-24,0.0,0.0,0.0,1.1188449270674598e-32,4.341905314915655e-22,9.267518579029643e-23,8.85595790183501e-06,1.3772743474081065e-14,1.2261294377580521e-16,1.1456777844984431e-08
8,9.047760454669139e-15,1.4291955060929162e-07,8.034868665186092e-15,1.2375656758926584e-14,6.80454960106168e-15,1.4555169823970754e-07,7.485768969788678e-15,8.901812348188344e-09,1.3023956445733291e-14,1.417734950746385e-07,1.2462389563418284e-07,4.965050310446927e-09,1.2718630746895885e-07,7.1662446153522435e-09,1.39055473114411e-14,6.103981644924289e-08,1.3591809630496923e-07,6.090279913494533e-08,6.122526139101792e-08,7.199167615920607e-09,1.2993295417063648e-14,8.295141586261967e-09,1.1989564631144707e-14,1.2672240578135798e-07,1.212039363116614e-07,1.2902684020391065e-07,1.2284956149020948e-07,5.96844237243408e-08,7.361198434076792e-15,5.8179442295432906e-08,0.0,0.0,0.0,1.504632769052528e-36,3.639594774119412e-23,1.504632769052528e-36,0.0,2.256949153578792e-36,0.0,5.048709793414476e-29,7.888609052210118e-31,4.70197740328915e-38,1.6543612251060553e-24,0.0,1.3234889800848443e-23,9.926167350636332e-24,1.2037062152420224e-35,6.617444900424222e-24,1.504632769052528e-36,0.0,0.0,3.76158192263132e-37,0.0,1.0842021724855044e-19,7.888609052210118e-31,4.1359030627651384e-24,1.504632769052528e-36,1.059279107713952e-06,2.6736319813697075e-15,5.3630238788196337e-20,9.453022865390857e-21,6.58134669148558e-08,7.7769851683963985e-22,1.7498383050010273e-13,1.3234889800848443e-23,7.426921179079376e-22,2.982419399777039e-08,1.867822930110018e-13,4.604056937329011e-16,8.418519768917366e-21,4.616451464070191e-20,1.4194807984511095e-05,5.2841474838542915e-14,2.173519016020967e-14,0.0,0.0,0.0,1.5777218104420236e-30,1.5777218104420236e-30,0.0,2.4637625827305222e-14,1.9721522630525295e-31,4.930380657631324e-32,9.860761315262648e-32,1.9721522630525295e-31,0.0,0.0,2.6736319813695016e-15,2.008502747533769e-15,1.0587911840678754e-22,2.117582368135751e-22,1.0587911840678754e-22,1.0587911840678754e-22,1.0587911840678754e-22,0.0,2.524354896707238e-29,2.556292876550252e-20,1.1829388090523872e-20,1.3445823991221155e-06,1.3234889800848443e-23,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,6.617444900424222e-24,2.524354896707238e-29,6.58134669148541e-08,1.1394509168426082e-21,3.4191508161861515e-13,6.295086595517583e-08,0.0,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,1.3234889800848443e-23,9.4039548065783e-38,4.388038785291878e-30,2.6034212914026533e-22,2.982419399777101e-08,5.052104869414458e-14,1.6115293795259615e-14,1.409468570285621e-07,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,4.4866463984445046e-30,1.3194541160861259e-20,4.915746357541438e-20,1.1021653534328266e-05,5.039229043458642e-14,3.281377121582593e-14,8.140554177829705e-08
9,1.7127824823233726e-15,5.571607027998235e-08,1.5738064277646471e-15,4.214013330840392e-15,1.3171530555603884e-15,5.156041150419178e-09,1.46217069561149e-15,2.2733372640303354e-10,4.410597433840937e-15,3.7206203843106615e-09,1.8023871533906356e-09,9.79052872034539e-11,4.859907307975179e-08,1.595221866192867e-10,4.75551230678362e-15,7.674860818967698e-08,5.2311647719065237e-08,7.669763598704293e-08,7.707038833279813e-08,1.1880379110183138e-10,4.4215113540016556e-15,2.1822596737130477e-10,4.004680895617335e-15,4.7631087534084114e-08,2.1679127593801746e-09,4.933117389899266e-08,2.3489100720105973e-09,7.438190148883354e-08,1.4369380215803404e-15,7.205281516923372e-08,2.465190328815662e-32,1.2924697071141057e-26,0.0,0.0,1.3454609158019775e-23,0.0,0.0,0.0,0.0,7.888609052210118e-31,0.0,0.0,0.0,3.944304526105059e-31,2.0679515313825692e-25,9.926167350636332e-24,4.70197740328915e-38,0.0,1.7632415262334313e-38,2.350988701644575e-38,0.0,4.70197740328915e-38,7.888609052210118e-31,3.2526065174565133e-19,9.860761315262648e-32,6.203854594147708e-25,1.1754943508222875e-38,1.0593865064415206e-07,7.200317601719873e-16,5.153232189443564e-22,2.112952895631406e-22,2.3676234209106608e-08,2.1032177485880913e-24,4.336774078126495e-15,3.308722450212111e-24,3.1904237171790103e-23,1.0890833981096608e-08,1.1906116605630113e-14,6.688171538968661e-16,4.371182984402404e-23,6.056430778817778e-22,1.3844466754420987e-05,8.562048103856982e-16,2.897455921736885e-16,0.0,0.0,0.0,0.0,0.0,0.0,2.9090884433198738e-15,3.697785493223493e-32,9.860761315262648e-32,9.860761315262648e-32,1.9721522630525295e-31,1.9721522630525295e-31,0.0,7.2003176017198e-16,1.2168848276691439e-15,6.617444900424222e-24,0.0,6.617444900424222e-24,0.0,0.0,0.0,3.944304526105059e-31,2.8878592048573694e-22,1.7506320042185459e-22,5.179663541740575e-08,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,0.0,2.3676234209106545e-08,5.385938469562297e-23,3.491778865132574e-15,1.8754218685308146e-08,0.0,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,6.617444900424222e-24,0.0,3.0814879110195774e-33,5.1122744212298396e-23,1.089083398109683e-08,4.479602382997856e-15,5.2355851770994464e-15,1.3491499462351598e-07,0.0,0.0,4.1359030627651384e-25,0.0,4.1359030627651384e-25,7.087422195345028e-32,1.1985042610217816e-22,6.956008391248012e-22,1.814074798721521e-05,7.715962330443847e-16,3.77148937624239e-15,4.066068626760438e-09
