,Y2Z3,Y3Z2,Y2Z0,Y0Z2,Y0Z5,Y5Z0,Y1Z2,Y2Z1,Y0Z4,Y4Z0,Y1Z5,Y5Z1,Y5Z4,Y4Z5,Y4Z2,Y2Z4,Y2Z5,Y5Z2,Y5Z3,Y3Z5,Y4Z3,Y3Z4,Y4Z1,Y1Z4,Y3Z1,Y1Z3,Y0Z3,Y3Z0,Y0Z1,Y1Z0,X3Y2,X5Y2,X3Y4,Y4,X2Y4,X0Y4,X3Y0,Y2,Y1,X5Y4,X5Y0,X4Y5,X2Y5,X1Y5,X0Y2,standard_y,Y3,Y0,X4Y3,X4Y1,X4Y0,X1Y4,X1Y3,X1Y2,X1Y0,X0Y1,X3Y1,X5Y1,X2Y0,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y3,X2Y1,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9656464075038401,0.96564640750384,0.9506335645634441,0.9506335645634438,0.8412423959349363,0.8412423959349362,0.747136951862047,0.7471369518620468,0.7393703706762795,0.7393703706762794,0.7218626135761532,0.721862613576153,0.7190958853986502,0.7190958853986501,0.6626277675625856,0.6626277675625856,0.5405812068681398,0.5405812068681397,0.40573974935886215,0.40573974935886215,0.3879011757932824,0.3879011757932824,0.35162393686161975,0.35162393686161975,0.30193759566924927,0.30193759566924927,0.14997105299598543,0.14997105299598537,0.09033985426934965,0.09033985426934957,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.0408340855860843e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0017253280478379427,0.0017309548407363653,0.0016985044830200432,0.8011502607221832,0.8412423959349364,0.8412423959349362,0.4461813444106921,0.0013349154810774874,0.7393703706762795,0.7393703706762795,0.7218626135761532,0.7218626135761531,0.7190958853986502,0.7190958853986502,0.2759881583638578,0.0011839222553597327,0.0009658607033547915,0.13616104029431883,0.13308333138131695,0.0007273026418100033,0.27257153499621756,0.0006953263769730743,0.35162393686161986,0.35162393686161975,0.0005412336635466726,0.44276945115809685,0.7975707768072766,0.00026882833937607605,0.09033985426934954,0.09033985426934957,5.551115123125783e-17,1.0842021724855044e-19,0.0,2.7755575615628914e-17,5.421010862427522e-20,2.7755575615628914e-17,1.3552527156068805e-20,2.168404344971009e-19,2.7755575615628914e-17,5.551115123125783e-17,2.0816681711721685e-17,0.0,1.0842021724855044e-19,2.7755575615628914e-17,1.0842021724855044e-19,1.0424603888448125e-16,5.421010862427522e-20,6.938893903907228e-18,5.421010862427522e-20,6.938893903907228e-18,2.0816681711721685e-17,5.551115123125783e-17,5.421010862427522e-20,5.421010862427522e-20,4.395762183070917e-17,1.2746151790282712e-17,8.809142651444724e-20,6.938893903907228e-18,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,4.743384504624082e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00022071113807805735,0.00022143094082275656,9.412448377495787e-05,3.607951623183284e-05,3.7885062411674116e-05,3.800861653832349e-05,0.4461808688095733,0.00017076793913820606,3.329729073780528e-05,0.02261204186337175,0.6318164260146661,3.2614855605648814e-05,3.2489850600108625e-05,0.01787102265967981,0.27598754735603404,0.00015145225784965097,9.301652998603236e-05,6.151934925605607e-06,6.0129466834310785e-06,5.876172917649776e-05,0.2725725787433766,8.894904142416998e-05,0.35162393686161975,0.35162393686161986,6.92368607797436e-05,0.4427706280210493,3.5918393476485976e-05,5.8347496510302005e-05,4.068424313603615e-06,0.6291762089501282,5.551115123125783e-17,8.271806125530277e-25,0.0,2.7755575615628914e-17,0.0,3.3881317890172014e-21,2.0679515313825692e-25,1.3552527156068805e-20,1.1102230246251565e-16,0.0,1.1102230246251565e-16,6.776263578034403e-21,8.271806125530277e-25,0.0,8.271806125530277e-25,8.325402135267793e-17,0.0,8.470329472543003e-22,6.776263578034403e-21,1.1102230246251565e-16,4.235164736271502e-22,1.1275702593849246e-17,5.082197683525802e-21,1.0164395367051604e-20,1.9899897586494463e-21,1.6094866768750536e-21,1.3552527156068805e-20,6.352747104407253e-22,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.0328790734103208e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0
3,9.671404551545356e-05,9.702945794103025e-05,0.00011558820455006544,1.418135145154364e-06,1.3297108183716459e-06,1.9304998641507626e-09,0.0005746821138748219,0.00011545594260080051,1.3087774824211026e-06,0.3719533630052598,0.0008137812035769584,1.6565447535434002e-09,1.650195610422822e-09,0.368351648195612,0.2759875391426565,6.636529849213614e-05,0.0001153451629667001,3.1246359037626217e-10,3.0540426911316503e-10,4.491479755343049e-06,0.2725725927737851,3.897683513285457e-05,0.3694368522917843,0.00045289254727390673,4.673851202391079e-06,0.0005702897434599436,1.411802123582073e-06,4.574691249854549e-06,1.3243490094183635e-06,0.0008103805981780877,0.0,0.0,3.3881317890172014e-21,5.551115123125783e-17,6.776263578034403e-21,0.0,0.0,6.776263578034403e-21,8.131516293641283e-20,5.169878828456423e-26,0.0,0.0,0.0,0.0,3.2311742677852644e-27,5.542316558046421e-17,0.0,1.0587911840678754e-22,0.0,8.131516293641283e-20,0.0,6.776263578034403e-21,1.6543612251060553e-24,3.308722450212111e-24,8.342992933617421e-27,2.10657416130219e-26,3.308722450212111e-24,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7865323450608567e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,3.2311742677852644e-27,0.0,0.0,0.0,0.0,0.0,0.0
4,0.00015929333546028457,0.0001598128370181808,8.142841216486987e-05,2.0801579532848578e-10,1.9504546569628696e-10,9.347874073200254e-12,0.00023156564198687909,8.191773038637267e-05,1.9197492524244457e-10,0.0006696586270045653,0.0005092158296062927,5.4206274150754346e-11,8.966802860959227e-12,0.0006631741654691456,0.0004968830390082882,8.045373459538684e-05,8.138227780965783e-05,1.022458792057889e-11,9.993588717418569e-12,5.638244186857373e-05,0.000490734814297509,5.668668794319184e-05,0.0006651275286754001,0.0005079683725948616,5.587479242025205e-05,0.00022979575087464792,2.0708684859609705e-10,5.645339370269236e-05,1.9425915005633335e-10,0.0005084368626103672,5.551115123125783e-17,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24,3.308722450212111e-24,3.1554436208840472e-30,1.3552527156068805e-20,2.710505431213761e-20,0.0,0.0,1.262177448353619e-29,0.0,0.0,1.5777218104420236e-30,6.776260346860135e-21,6.776263578034403e-21,0.0,6.617444900424222e-24,0.0,3.308722450212111e-24,4.1359030627651384e-24,1.6543612251060553e-24,8.271806125530277e-25,8.296906200420212e-31,1.5122401923328576e-30,0.0,0.0,0.0,0.0,3.2311742677852644e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944304526105059e-31,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,9.926167350636332e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,1.1832913578315177e-30,0.0,0.0,0.0,0.0,0.0,0.0
5,8.029451684605232e-07,8.072307512996368e-07,4.093807597722172e-07,1.9523889396473675e-11,3.674424651161328e-11,9.150625758694524e-16,1.1161274386970469e-07,4.118086504356201e-07,3.6726945204665434e-11,2.0091331699342175e-06,2.470486786972077e-07,5.237250426725552e-15,8.428284006314806e-16,4.287452015362872e-06,1.4231447582036444e-06,3.9979178518356186e-07,4.091439453057251e-07,9.828638096359104e-16,9.607551314418093e-16,2.814222950919534e-07,1.4056257763479409e-06,2.8410625578835843e-07,2.3919103968915927e-06,2.4621178566232603e-07,2.788924698165097e-07,1.1076353322094759e-07,1.9436953184247678e-11,2.817745511988822e-07,3.6728252537791835e-11,2.4666797023195004e-07,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,3.0814879110195774e-33,0.0,0.0,1.925929944387236e-34,0.0,0.0,0.0,4.1359030627651384e-25,7.703719777548943e-34,3.970434628511855e-22,2.6469779601696886e-23,3.2311742677852644e-27,2.524354896707238e-28,6.462348535570529e-27,8.271806125530277e-25,6.462348535570529e-27,6.310887241768095e-30,6.310887241768095e-30,7.168311488108162e-35,2.4049145049885475e-35,6.310887241768095e-30,4.1359030627651384e-25,0.0,1.9767623320426665e-07,0.0,1.0825354868965769e-19,8.637120120082872e-22,7.730384987894831e-13,1.1704975836966245e-21,7.289479629825955e-13,0.06980466204923243,7.01834829877367e-10,1.0225997994819104e-11,5.6671531834330604e-14,2.2627090328529704e-14,1.9519471620552064e-11,1.1944849657805755e-09,6.809166918324904e-18,3.417104989674021e-18,1.8198925486347127e-19,2.465190328815662e-32,0.0,1.232595164407831e-32,2.465190328815662e-32,3.697785493223493e-32,0.0,4.0961577001481886e-16,2.6469779601696886e-23,1.3234889800848443e-23,1.3234889800848443e-23,5.293955920339377e-23,5.293955920339377e-23,1.0097419586828951e-28,1.6703968520477856e-19,4.145606529521804e-07,1.3234889800848443e-23,1.3234889800848443e-23,3.308722450212111e-24,1.3234889800848443e-23,1.3234889800848443e-23,3.76158192263132e-37,1.1630013531630056e-21,9.961186629981352e-13,8.817492682170207e-08,6.617444900424222e-24,1.9852334701272664e-23,6.617444900424222e-24,0.0,0.0,0.0,2.524354896707238e-29,1.3788373996221484e-21,8.798124026327098e-13,0.06980466204923402,9.927996884055978e-08,8.271806125530277e-25,8.271806125530277e-25,2.481541837659083e-24,3.308722450212111e-24,2.481541837659083e-24,7.018348298774015e-10,1.0148036341972478e-11,6.015666712318002e-14,4.339304768732002e-14,2.943667897630248e-08,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,1.9519471620552077e-11,1.1944849626434814e-09,8.91835832087025e-18,7.070436626765843e-18,1.907076767865442e-19,7.155300266343587e-12
6,3.302831873702769e-05,3.756938611267596e-05,3.308887352216523e-05,1.9442812477346353e-10,1.1335498071716746e-10,8.941017508827632e-12,1.0837449925858572e-05,3.288521533856569e-05,3.088592963412609e-10,7.740902782581524e-06,1.0886291731529114e-05,5.2686755906568815e-12,8.809764465647777e-12,7.518324797801496e-06,6.6017763816117355e-06,3.278035666340538e-05,3.1890577880676343e-05,4.182663447160213e-12,4.1184305479792185e-12,3.7051035463930425e-05,8.132429151339456e-06,3.724217896511247e-05,1.0621077482878395e-05,1.0915193269649094e-05,3.716671110919673e-05,1.0705989878836604e-05,1.948832523768265e-10,3.725809664819608e-05,1.1111807328613516e-10,1.0879401607490762e-05,2.168404344971009e-19,7.888609052210118e-31,0.0,8.470329472543003e-22,1.6543612251060553e-24,5.293955920339377e-23,0.0,0.0,4.235164736271502e-22,1.9721522630525295e-31,0.0,0.0,3.944304526105059e-31,0.0,7.888609052210118e-31,2.1175827720325343e-21,3.3881317890172014e-21,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,5.169878828456423e-26,1.09392820841195e-31,2.172448977268802e-31,0.0,0.0,3.944304526105059e-31,0.00021569447411662446,4.0389678347315804e-28,3.5038593822949883e-15,6.579531254806806e-16,4.461352781248263e-09,2.332568718760998e-15,9.895807701273603e-09,0.0007155011031131551,8.88389670010615e-07,1.1679541229573381e-08,3.1425817014083753e-09,6.35080111216473e-10,8.563820509055749e-09,7.710841244402766e-07,2.2194680721435946e-13,3.249231991507759e-14,5.290129447232173e-16,4.8467614016778965e-27,3.2311742677852644e-27,1.6155871338926322e-27,0.0,3.2311742677852644e-27,0.0,3.973718690373711e-11,8.470329472543003e-22,8.470329472543003e-22,4.235164736271502e-22,8.470329472543003e-22,4.235164736271502e-22,1.6543612251060553e-24,1.6418256176197283e-15,9.838935973592084e-06,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,1.9721522630525295e-31,5.287795196054685e-16,5.635198517983639e-09,9.8396289954716e-05,1.3552527156068805e-20,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,2.168404344971009e-19,5.169878828456423e-26,3.3601117251951494e-15,1.2202359319026473e-09,0.0007155011441678119,8.214432579358832e-05,8.470329472543003e-22,8.470329472543003e-22,0.0,8.470329472543003e-22,2.541098841762901e-21,8.883896701667472e-07,1.4433008215705225e-08,3.1499768878247622e-09,6.237516958667307e-10,2.531485210568628e-05,6.462348535570529e-27,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,8.563820509068908e-09,7.710841385796716e-07,2.2727648144748402e-13,4.129634772621459e-14,8.143421813191105e-15,3.055185486220168e-11
7,2.2923946507624003e-07,2.723324760381678e-07,2.27924761055631e-07,1.008628796515668e-11,1.037653084928275e-11,6.286310569185483e-14,1.0027738765166702e-06,2.266646266673322e-07,1.0333094991525211e-11,1.4869250658082355e-06,1.0080174565459423e-06,6.08442947420537e-14,6.408320733482496e-14,9.866392737012911e-08,1.2801990985906517e-06,2.2393700241412823e-07,2.1783746502115487e-07,2.545075691624119e-14,2.1266696560237023e-14,2.634793254745526e-07,1.3435019172901257e-06,2.6514864531859797e-07,9.390683880632837e-07,1.0052432162540715e-06,2.6579409284870205e-07,9.79817019031135e-07,1.0011538216855512e-11,2.673500543625851e-07,1.0296295483588284e-11,1.0059792438102984e-06,4.336808689942018e-19,4.81482486096809e-35,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,4.81482486096809e-35,0.0,4.81482486096809e-35,2.647058739526383e-23,2.6469779601696886e-23,8.077935669463161e-28,5.048709793414476e-29,0.0,0.0,7.754818242684634e-26,2.0194839173657902e-28,5.048709793414476e-29,3.4550129959368674e-34,3.407052826423318e-34,0.0,1.6543612251060553e-24,9.62964972193618e-35,2.3691890259629168e-07,0.0,3.1878959671069884e-18,2.729881872727742e-20,1.2035019098083395e-12,4.0208902607273644e-20,5.250087095844059e-12,1.5738308408672614e-05,4.404060715677861e-08,1.757922365223387e-09,3.1723259065081744e-12,7.751316986426438e-13,9.283454154381147e-10,3.7261820567986905e-08,1.3587970812979288e-16,2.7110741195601453e-17,2.6765646907039598e-17,0.0,1.262177448353619e-29,1.262177448353619e-29,2.524354896707238e-29,1.262177448353619e-29,0.0,2.9774285097150185e-13,0.0,2.117582368135751e-22,0.0,2.117582368135751e-22,0.0,0.0,2.6363665076042516e-17,1.3924962467639896e-06,1.0587911840678754e-22,0.0,2.117582368135751e-22,0.0,0.0,1.2037062152420224e-35,2.080899564247182e-20,1.539176441304298e-12,1.1215312554254311e-06,5.293955920339377e-23,0.0,1.0587911840678754e-22,1.0587911840678754e-22,1.0587911840678754e-22,8.673617379884035e-19,5.048709793414476e-29,1.2072625196871313e-19,3.659209132983513e-12,1.573830841288634e-05,9.610897736312323e-07,4.235164736271502e-22,2.117582368135751e-22,1.0587911840678754e-22,0.0,0.0,4.4040607156911326e-08,1.7430333653182879e-09,3.178482455916999e-12,8.16187403269962e-13,3.7120397370624134e-06,0.0,0.0,0.0,4.0389678347315804e-28,0.0,0.0,1.5407439555097887e-33,9.283454154381176e-10,3.726182054640422e-08,1.3988840770884238e-16,2.3700996648204414e-17,2.5944018958915423e-17,3.856388319702815e-12
8,5.089625384082369e-09,5.948106470650485e-09,5.047308727963487e-09,5.372785674548238e-14,5.414190616943014e-14,3.429798826588289e-18,5.30890813615376e-10,5.01999418624727e-09,5.5990926400966563e-14,5.270972545348342e-08,5.334670241830653e-10,3.3326497717739595e-18,3.5552944601392516e-18,6.734539376615758e-09,4.882987222318409e-08,4.836566736244343e-09,4.687901258258147e-09,1.4426139835812377e-18,1.1116477286343897e-18,5.692509418480719e-09,4.365943785485153e-08,5.733040968444385e-09,6.89286816819858e-08,5.282492998497285e-10,5.745831361669946e-09,5.10832786665688e-10,5.277675535805118e-14,5.807805501882821e-09,5.3680489172202465e-14,5.319611271781834e-10,2.168404344971009e-19,0.0,1.9721522630525295e-31,6.617444900424222e-24,0.0,0.0,0.0,4.1359030627651384e-25,2.5849394142282115e-26,5.877471754111438e-39,0.0,2.938735877055719e-39,4.591774807899561e-41,2.0679515313825692e-25,5.877471754111438e-39,7.418779273893402e-24,4.1359030627651384e-25,3.1554436208840472e-30,2.711709361697228e-31,2.3665827156630354e-30,0.0,1.5777218104420236e-30,9.244463733058732e-33,0.0,1.089111587248677e-39,1.070457502091585e-39,9.244463733058732e-33,0.0,1.1754943508222875e-38,1.3071424757424126e-07,3.851859888774472e-34,7.322403393389524e-24,3.3360539843879244e-26,5.411433829928885e-16,5.0976630973124683e-26,9.979273880652795e-16,3.090438041859235e-08,4.543666474091514e-09,4.77450026411631e-14,3.706035928582325e-17,9.131902116402857e-18,2.540610368908368e-14,3.826439780632509e-09,1.5973761338416202e-20,3.1596634824016635e-21,7.18556402707205e-23,7.703719777548943e-34,7.703719777548943e-34,7.703719777548943e-34,0.0,1.5407439555097887e-33,2.2958874039497803e-41,1.6524030894970786e-17,6.617444900424222e-24,0.0,0.0,6.617444900424222e-24,6.617444900424222e-24,3.944304526105059e-31,7.422867119995669e-23,8.70177901819053e-08,0.0,1.6543612251060553e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,2.2958874039497803e-41,2.53066901965961e-26,7.997325370996793e-16,2.437503262313064e-08,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,4.336808689942018e-19,3.0814879110195774e-33,1.4881783365536412e-25,1.0979767516001763e-15,3.09043804165491e-08,2.128515699611639e-08,4.1359030627651384e-25,1.0339757656912846e-25,1.0339757656912846e-25,2.0679515313825692e-25,2.0679515313825692e-25,4.543666474091514e-09,4.773140894844054e-14,3.71315086303573e-17,9.633939566705669e-18,1.963711624196564e-09,1.5777218104420236e-30,1.5777218104420236e-30,0.0,1.5777218104420236e-30,1.5777218104420236e-30,0.0,0.0,2.540610368908368e-14,3.8264397806358675e-09,1.6441581029672974e-20,2.8087312560328307e-21,7.856423533815742e-23,2.0619238542808515e-14
9,2.4090054600086773e-09,9.404605690296151e-10,2.5117612014865134e-09,1.2779463344369245e-09,1.2747988473554453e-09,1.6406110704092181e-10,1.6991290970809775e-09,2.4917053207918767e-09,1.2720193362038542e-09,3.7986974388781485e-08,1.6386671402483e-09,1.623101729889091e-10,9.865918612355083e-11,7.59772749074545e-09,4.080441031272184e-08,1.7971948689518142e-09,1.6996720221080643e-09,1.2788797200047858e-10,1.5853511410394407e-10,1.1695369962206998e-09,3.052951179542876e-08,1.1661251379231991e-09,6.093905089476419e-08,1.6660117061615551e-09,1.0268999270172425e-09,1.1464472761257066e-09,1.2174714881243148e-09,1.1022516077690946e-09,1.259929572760433e-09,1.7850885012757936e-09,4.336808689942018e-19,6.162975822039155e-33,9.860761315262648e-32,6.617444900424222e-24,1.9721522630525295e-31,1.6543612251060553e-24,0.0,2.0679515313825692e-25,5.169878828456423e-25,0.0,1.5146129380243427e-28,0.0,1.232595164407831e-32,1.6543612251060553e-24,1.232595164407831e-32,7.018110509629594e-24,2.0679515313825692e-25,1.0339757656912846e-25,1.9721522630525295e-31,1.0097419586828951e-28,0.0,5.048709793414476e-29,9.860761315262648e-32,0.0,9.003722490010328e-33,1.5888922041194696e-33,5.9164567891575885e-31,0.0,1.5407439555097887e-33,1.1765675107645812e-07,1.2924697071141057e-26,2.2194777927265964e-16,1.3032180713620768e-18,9.137635585240707e-16,1.9201253290613645e-17,4.681006394446975e-15,4.896897471009213e-05,1.1791012206985626e-08,2.1975195045333074e-12,6.286931780923138e-16,1.6743454777285738e-16,1.0955240243980303e-12,9.31613036852466e-09,3.98518324752963e-17,9.260577656625009e-18,2.7193810264873877e-16,1.0339757656912846e-25,1.0339757656912846e-25,0.0,0.0,0.0,4.622231866529366e-33,1.8419799790760916e-09,3.308722450212111e-24,0.0,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,0.0,2.748048508014153e-16,8.428795412898806e-08,1.6543612251060553e-24,0.0,0.0,6.617444900424222e-24,6.617444900424222e-24,6.162975822039155e-33,6.315451501817662e-19,3.0906468319207475e-16,3.0182439920211687e-08,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,9.860761315262648e-32,1.929821137694923e-17,1.998693645169734e-15,4.89689747101191e-05,2.769042212213646e-08,0.0,0.0,9.926167350636332e-24,3.308722450212111e-24,9.926167350636332e-24,1.1791012206107849e-08,2.1981506998523183e-12,6.309058657806709e-16,3.0916313660353625e-16,9.864634352467674e-08,0.0,0.0,8.271806125530277e-25,0.0,8.271806125530277e-25,2.0194839173657902e-28,0.0,1.0955223214246575e-12,9.316129596179968e-09,2.816769583992262e-17,4.163271274594966e-19,3.0603188201720714e-16,5.562704555782439e-09
