,Y3Z0,Y0Z3,Y5Z3,Y3Z5,Y2Z4,Y4Z2,Y1Z2,Y2Z1,Y1Z5,Y5Z1,Y2Z0,Y0Z2,Y1Z0,Y0Z1,Y5Z4,Y4Z5,Y5Z2,Y2Z5,Y4Z1,Y1Z4,Y3Z1,Y1Z3,Y4Z0,Y0Z4,Y3Z2,Y2Z3,Y4Z3,Y3Z4,Y0Z5,Y5Z0,X4Y2,standard_y,Y2,X3Y0,X4Y3,X1Y3,Y4,Y1,X5Y2,X3Y2,X2Y4,X2Y0,X0Y5,X0Y3,X0Y2,X1Y5,X1Y4,Y3,X5Y3,X4Y1,X3Y4,X2Y3,X2Y1,X1Y0,X0Y4,X0Y1,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y1,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y1,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.957047002658068,0.9570470026580677,0.9178123670634983,0.9178123670634983,0.9096814486371708,0.9096814486371707,0.824257429983942,0.8242574299839419,0.8148658231116959,0.8148658231116958,0.7013695409686749,0.7013695409686747,0.6484972199788832,0.648497219978883,0.572998513685429,0.572998513685429,0.4911694960396129,0.49116949603961274,0.37237471963578334,0.37237471963578334,0.3330666516193206,0.3330666516193206,0.19640310908816033,0.19640310908816033,0.1833347696649939,0.1833347696649939,0.07133721358879229,0.07133721358879225,0.06536923538449993,0.0653692353844999,1.6653345369377348e-16,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0014807225994313668,0.0014855516633403747,0.852655705115934,0.0014200196125937498,0.9096814486371707,0.9096814486371707,0.8242574299839419,0.8242574299839418,0.8148658231116959,0.8148658231116958,0.518630955454654,0.0010886828811004024,0.31651366383171997,0.0010066131769240092,0.572998513685429,0.572998513685429,0.4911694960396128,0.4911694960396128,0.3723747196357832,0.3723747196357834,0.0005153135810466188,0.31332172798406777,0.1252978761334504,0.00030486168869532486,0.00028365162416321807,0.5157539960581289,0.12442721457128118,0.00011037140709705209,0.00010146771902218413,0.8494585085886249,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,2.7755575615628914e-17,5.421010862427522e-20,1.0842021724855044e-19,5.551115123125783e-17,2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,1.0842021724855044e-19,1.0842021724855044e-19,2.7755575615628914e-17,1.0842021724855044e-19,2.7755575615628914e-17,1.3877787807814457e-17,0.0,0.0,5.551115123125783e-17,0.0,5.421010862427522e-20,2.7755575615628914e-17,6.437450399132683e-20,0.0,3.7269449679189215e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.30865054185952e-05,7.332486161420402e-05,0.8526556268127812,7.0090286425155e-05,0.0005372413212952512,0.0005354949177610506,0.4530932488445975,0.00048679144928745607,0.8148658231116958,0.8148658231116956,0.0003062938814541348,3.873729298111286e-05,0.31651326486470244,4.968509256084734e-05,0.08342574146158449,0.00033730246167256535,0.07996627905846793,0.00029007577259882334,0.00021920285410502113,0.44920316391990645,2.5435195524065545e-05,0.3133225047925546,7.375805037812988e-05,3.851368733203514e-05,8.570591899644411e-06,0.00030459542742103276,7.324571377839204e-05,8.507367674480634e-06,5.008312157169239e-06,0.8494596079987906,0.0,1.6940658945086007e-20,0.0,0.0,1.6543612251060553e-24,3.3881317890172014e-21,1.3552527156068805e-20,0.0,2.710505431213761e-20,3.308722450212111e-24,2.7755575615628914e-17,3.308722450212111e-24,6.776263578034403e-21,0.0,0.0,5.551115123125783e-17,3.3881317890172014e-21,0.0,1.6940658945086007e-21,1.3552527156068805e-20,0.0,1.6543612251060553e-24,4.743384504624082e-20,2.1535647247818076e-21,3.308722450212111e-24,1.9815111573707778e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,1.3877787807814457e-17,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.206914336088879e-10,2.3100399029622498e-06,7.591328957288546e-05,2.1164407443797923e-10,2.4581669209377418e-05,2.4501761889738817e-05,0.453093184251495,2.227331723384219e-05,1.1271698150635685,7.254880312936263e-05,2.720095781993003e-05,1.3095416445710766e-06,1.126089946485137,1.6796398818756602e-06,7.427519157668752e-06,1.8773884614063816e-05,7.119534140173458e-06,2.716408947798795e-05,1.0029705154417498e-05,0.4492033068977779,7.680391519855874e-11,1.1255394525857856,1.8708045793007598e-05,1.301982899960933e-06,2.5879688648754445e-11,2.716624908144517e-05,1.8734609726033193e-05,2.56887874654237e-11,2.3014317193468626e-06,7.562874317919933e-05,2.7755575615628914e-17,6.882155621138261e-21,0.0,1.6940658945086007e-21,3.944304526105059e-31,0.0,0.0,0.0,0.0,3.944304526105059e-31,2.7755575615628914e-17,0.0,1.2924697071141057e-26,3.3881317890172014e-21,3.2311742677852644e-27,6.776263578034403e-21,8.470329472543003e-22,1.2924697071141057e-26,0.0,1.6940658945086007e-21,0.0,3.944304526105059e-31,0.0,4.288931980958428e-23,3.2311742677852644e-27,8.218542237209754e-25,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7.11184742581027e-12,2.1016928636955324e-06,1.638547469844815e-08,4.353325429638203e-12,1.741596589700832e-06,1.7359352038043176e-06,0.0015978590421066065,3.4024015015889713e-07,0.003975028859650608,1.5659268420159187e-08,3.6446946047157303e-07,6.917354661690374e-07,0.003971220648281398,2.0989507827163062e-06,1.603190003430422e-09,6.218342629598979e-07,1.5367131035636299e-09,3.516478938237167e-07,6.151877984637908e-07,0.0015841411685479714,4.323051252470336e-12,0.003969279300081691,6.21766962018176e-07,6.877427324010415e-07,8.339807034915643e-13,3.569139441324106e-07,6.213540746170848e-07,8.278288564723006e-13,2.100020511370813e-06,1.6324056891933772e-08,2.7755575615628914e-17,2.1649798293519428e-19,1.3234889800848443e-22,0.0,7.703719777548943e-34,7.888609052210118e-31,2.117582368135751e-22,2.168404344971009e-19,3.1554436208840472e-30,1.5407439555097887e-33,1.3877787807814457e-17,0.0,1.5777218104420236e-30,0.0,0.0,2.117582368135751e-22,2.0679515313825692e-25,1.2116903504194741e-27,0.0,8.271806125530277e-25,3.851859888774472e-34,0.0,0.0,8.098643268225212e-28,7.573064690121713e-29,1.1926995102024098e-25,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.888609052210118e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1554436208840472e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.1153888115126952e-12,6.788844163253322e-07,7.576170841382643e-09,6.800673944000915e-13,1.0341545805967324e-06,1.0298516131895567e-06,5.166551243622119e-06,1.9693447490054146e-07,1.9289153270435376e-06,7.572515669834944e-09,2.1759823897822104e-07,2.1899275919400224e-07,1.8465396723167795e-06,6.776366870309197e-07,3.702278981968654e-10,3.675833226944141e-07,3.5496242479284133e-10,2.1010644569280936e-07,3.5982240045823304e-07,5.1224668681974436e-06,6.707158489113561e-13,3.74116128216649e-06,3.6753490943213554e-07,2.177322516913528e-07,1.296096075187882e-13,2.131886525867547e-07,3.672959822077175e-07,1.2865379534327379e-13,6.783344321331599e-07,7.573559892689837e-09,1.3877787807814457e-17,2.7296960214249913e-23,2.6469779601696886e-23,0.0,4.81482486096809e-35,3.0814879110195774e-33,5.293955920339377e-23,5.293955920339377e-23,9.860761315262648e-32,4.81482486096809e-35,1.3877787807814457e-17,1.0097419586828951e-28,0.0,0.0,2.524354896707238e-29,2.117582368135751e-22,2.0194839173657902e-28,0.0,0.0,1.0097419586828951e-28,7.222237291452134e-35,9.62964972193618e-35,6.058451752097371e-28,4.5126685431101944e-26,0.0,4.5140524008124345e-26,7.615560677429992e-08,8.271806125530277e-25,8.80079090680379e-16,1.510644678416286e-10,1.2532938301138622e-19,1.0596001776225453e-15,0.0025003615433632186,1.448586726549196e-19,4.263798794224812e-07,2.164981483188864e-12,1.8398170227762913e-17,9.572199072558997e-13,7.550447095182037e-17,4.3576867332259294e-14,3.9539329810705765e-07,9.760854331835096e-14,1.4888631653806908e-10,5.293955920339377e-23,1.2924697071141057e-26,0.0,1.2924697071141057e-26,1.0339757656912846e-25,1.0339757656912846e-25,2.9582283945787943e-31,1.0587911840678754e-22,0.0,1.2787358008506183e-09,1.3234889800848443e-23,1.9852334701272664e-23,6.617444900424222e-24,0.0,0.0,7.888609052210118e-31,0.0,2.025390700488229e-15,1.0641628764837479e-07,0.0,3.1554436208840472e-30,7.888609052210118e-30,1.262177448353619e-29,1.262177448353619e-29,1.0339757656912846e-25,2.465190328815662e-32,1.5106446784163802e-10,2.9258219792552926e-19,1.4944306974772449e-13,1.3234889800848443e-23,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,7.888609052210118e-31,2.0937588875351924e-15,0.0025003615433820485,3.5988267727282414e-19,9.988335457716476e-08,5.293955920339377e-23,6.617444900424222e-24,2.6469779601696886e-23,0.0,3.970466940254533e-23,7.068193710780266e-28,4.263798794299743e-07,2.321526207533605e-12,5.127265801702588e-17,1.5475827880588245e-12,3.9812927312322375e-07,1.3234889800848443e-23,0.0,6.617444900424222e-24,0.0,0.0,7.940518017509056e-17,1.8726456970065374e-13,3.9539329810706814e-07,1.772489289072713e-13,1.4860651084112833e-10,1.1695261048116513e-07
6,4.634904768534582e-13,4.855054459654296e-08,7.746286664794014e-09,2.8764691034560837e-13,1.8719052835279823e-06,5.817312007864596e-06,3.6482992704982667e-06,1.8706229414656128e-06,3.919508969182382e-06,7.742153974093648e-09,1.872973182296418e-06,4.409341571051261e-08,2.325438400896549e-06,4.6798154625013716e-08,7.652662518021874e-09,5.830777886144452e-06,7.503035881625355e-09,1.805074098284626e-06,5.806971246200907e-06,3.6045104960938935e-06,3.0110735527514564e-13,2.9555676065375323e-06,5.850988294730851e-06,4.515690735643616e-08,7.163435114987877e-13,1.8638814852461928e-06,5.774758744156264e-06,7.163905390801701e-13,4.7546148988646105e-08,7.743772615813654e-09,5.421010862427522e-20,4.1689902872672595e-22,1.0587911840678754e-22,0.0,3.0814879110195774e-33,1.0881504185787883e-32,4.235164736271502e-22,1.0587911840678754e-22,6.310887241768095e-30,7.703719777548943e-34,5.421010862427522e-20,5.048709793414476e-29,0.0,2.117582368135751e-22,3.7865323450608567e-29,4.235164736271502e-22,5.048709793414476e-29,0.0,5.169878828456423e-26,5.048709793414476e-28,3.0814879110195774e-33,1.5407439555097887e-33,0.0,9.591618768510353e-27,0.0,9.596632349341582e-27,8.640823629257415e-06,0.0,7.59725958837339e-15,2.5193399176739015e-10,3.1709745553938446e-17,4.28947845710622e-14,7.607923647026059e-06,3.1178722481286704e-18,5.833524666394486e-06,4.701913471171106e-12,1.0317896584386339e-15,3.712092975307845e-12,5.790826831358019e-17,3.5018753066445877e-12,8.922319919909028e-07,1.7547912691545581e-12,3.2120449869464057e-10,6.617444900424222e-24,0.0,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,1.5777218104420236e-30,8.470329472543003e-22,2.465190328815662e-32,1.68067495430812e-09,0.0,0.0,4.235164736271502e-22,0.0,0.0,3.1554436208840472e-30,4.0389678347315804e-28,4.772999116288224e-15,5.289252802661355e-06,0.0,0.0,2.0194839173657902e-28,4.0389678347315804e-28,2.0194839173657902e-28,0.0,2.465190328815662e-32,2.5193399176397255e-10,2.006044888811148e-17,2.4502554676398926e-12,0.0,2.117582368135751e-22,2.117582368135751e-22,1.0587911840678754e-22,1.0587911840678754e-22,6.310887241768095e-30,2.9465702885972564e-14,7.60792364662432e-06,8.899940673867462e-19,1.6937177282352167e-06,2.6469779601696886e-23,2.6469779601696886e-23,5.293955920339377e-23,0.0,5.293955920339377e-23,2.0194839173657902e-28,5.833524658493605e-06,9.481306187652851e-12,6.45610819955425e-16,3.056107523952913e-12,9.21674906148926e-07,0.0,5.293955920339377e-23,5.293955920339377e-23,1.0587911840678754e-22,0.0,5.5459755343103736e-17,4.058204019447579e-12,8.922319919909136e-07,2.3118419715942566e-12,3.139274029623284e-10,7.378613174216934e-07
7,3.16956505611069e-08,6.252622638615265e-09,3.506999263433635e-08,3.167836004002713e-08,5.402933552138538e-09,1.4244371042412221e-08,3.928436966235343e-07,5.577432561463331e-09,7.534401028548255e-07,3.5073977369711554e-08,5.174567264449229e-09,5.86988412866314e-09,7.797575696974243e-07,6.743739176932213e-09,3.4609926808456387e-08,1.4255083585889438e-08,3.295889515373242e-08,4.35745509531764e-09,1.4018617581200374e-08,4.164308831562657e-07,3.09551201107645e-08,1.4183620156234635e-07,1.4251685328552675e-08,6.412619588818797e-09,3.0742783707114486e-08,5.372765705480506e-09,1.394236793704625e-08,3.025118223394443e-08,6.115921226098901e-09,3.4957052236190846e-08,1.6263032587282567e-19,2.895132143935597e-23,0.0,0.0,0.0,0.0,8.271806125530277e-25,2.6469779601696886e-23,3.1554436208840472e-30,1.5777218104420236e-30,5.421010862427522e-20,1.5777218104420236e-30,1.262177448353619e-29,2.5849394142282115e-26,3.1554436208840472e-30,1.0339757656912846e-25,1.8932661725304283e-29,3.308722450212111e-24,1.9387045606711586e-26,2.68212707775144e-29,1.5777218104420236e-30,0.0,5.048709793414476e-29,1.0173224189440033e-27,0.0,1.0022108022283633e-27,1.3847726983921846e-07,6.617444900424222e-24,2.3084277244791076e-15,5.771679882990629e-12,5.969830621277474e-15,8.436880764072636e-15,4.037207857829058e-06,3.314661584332064e-15,2.5027187566589407e-09,5.917077883619466e-14,4.5249981343394497e-14,2.3528576251253714e-13,5.023325451483809e-13,2.416622776526988e-15,3.182589156835167e-10,8.573424788034476e-15,1.4464340713849879e-11,0.0,3.970466940254533e-23,3.970466940254533e-23,3.970466940254533e-23,2.6469779601696886e-23,2.6469779601696886e-23,0.0,1.0339757656912846e-25,3.7865323450608567e-29,1.9718060473631072e-07,3.970466940254533e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,0.0,3.944304526105059e-31,1.6786390902567801e-15,1.4393834951965047e-07,2.6469779601696886e-23,1.3234889800848443e-23,2.6469779601696886e-23,3.970466940254533e-23,3.970466940254533e-23,1.9387045606711586e-26,6.310887241768095e-30,5.771572950462516e-12,5.55608397543375e-15,1.8920693425329782e-07,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,4.733165431326071e-30,6.789029761209981e-15,4.0372078581065605e-06,1.7972823821876914e-15,8.555671524275755e-08,0.0,2.6469779601696886e-23,5.293955920339377e-23,9.926167350636332e-24,2.6469779601696886e-23,2.524354896707238e-29,2.502750570575234e-09,8.254854956718126e-14,2.121570575471296e-14,1.2414904307628839e-13,4.6314832850588237e-07,2.481541837659083e-24,1.6543612251060553e-24,3.308722450212111e-24,8.271806125530277e-25,1.6543612251060553e-24,5.020495851761787e-13,2.4284883427634922e-15,3.182587872381787e-10,8.392602203745981e-15,1.3948505891535245e-11,1.425700540691574e-08
8,7.489933773353607e-11,5.5458194840503754e-09,1.798259033089436e-10,1.0804152937602455e-12,2.3653491292910665e-08,6.715417073963874e-08,3.6423500005394356e-07,2.2688795984368586e-08,6.719256263234118e-07,2.1356661245603238e-10,2.240048273317268e-08,4.805283225175513e-09,7.263248259594841e-07,6.017385832738013e-09,3.1695595193749363e-10,6.654167400261428e-08,1.3969751597711807e-10,2.0257008172580253e-08,6.577833325188262e-08,3.969615727973168e-07,6.181892133627915e-12,1.341641067880008e-07,6.69229991597948e-08,5.5747603528644065e-09,1.322169149445094e-10,2.2100620065532403e-08,6.468589941710359e-08,2.7776738182912892e-11,5.280862824333162e-09,2.11848774541547e-10,1.0842021724855044e-19,1.4407806060054494e-23,6.617444900424222e-24,0.0,1.5777218104420236e-30,1.262177448353619e-29,6.617444900424222e-24,2.6469779601696886e-23,0.0,3.1554436208840472e-30,1.6263032587282567e-19,3.1554436208840472e-30,1.262177448353619e-29,1.6543612251060553e-24,6.310887241768095e-30,6.617444900424222e-24,6.310887241768095e-30,1.735140581800687e-24,3.877409121342317e-26,2.524354896707238e-29,1.5777218104420236e-30,3.944304526105059e-30,1.0097419586828951e-28,9.949803989939469e-27,0.0,9.93294208809037e-27,2.3803192171294522e-07,2.908056841006738e-24,5.118952923996467e-15,3.0112200443986295e-11,1.0115334462091746e-14,5.319447816462318e-15,1.272143992606266e-05,2.369277052026876e-15,8.591160043056163e-08,1.7991598829299727e-13,4.6548750014241526e-14,3.0218965672164557e-13,6.077972498526596e-13,1.594496958918228e-14,1.1636034387453184e-08,2.7824989445115365e-15,4.3590244558794586e-11,0.0,1.3234889800848443e-23,2.6469779601696886e-23,1.3234889800848443e-23,0.0,0.0,3.1554436208840472e-30,3.308722450212111e-24,1.8932661725304283e-29,2.386084911442235e-07,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,1.9721522630525295e-30,3.1554436208840472e-30,8.914097832778519e-15,9.039279101013998e-08,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.2924697071141057e-26,1.5777218104420236e-29,3.0112254925157955e-11,1.3319036146153658e-14,2.299069154471669e-07,1.9852334701272664e-23,6.617444900424222e-24,6.617444900424222e-24,0.0,0.0,1.5777218104420236e-30,9.913600513563863e-15,2.4538376689848807e-06,6.707429915683315e-15,7.742577487295077e-08,5.293955920339377e-23,3.970466940254533e-23,1.0587911840678754e-22,6.617444900424222e-24,3.970466940254533e-23,1.0097419586828951e-28,8.591163909560707e-08,1.1771363972836342e-13,2.640586858721619e-14,7.359598496606485e-14,3.645467147521069e-07,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,0.0,6.072854966868971e-13,1.5692390344881165e-14,1.1636034145068848e-08,3.0954655424145894e-15,4.294624885948669e-11,3.375533600942905e-08
9,1.8263719647479944e-07,1.512521272556524e-06,1.867445532921464e-07,1.820981830026995e-07,9.942874471153004e-08,1.2299749795403325e-07,2.6137064577092214e-07,9.474540419921236e-08,2.645817213335356e-07,1.8675063668568345e-07,9.467025276342865e-08,1.5150296822947247e-06,2.3833822402596687e-07,1.49676275408904e-06,1.7995413044209857e-07,1.224188985608544e-07,1.7982305231879158e-07,8.897654997880837e-08,1.1981305391260806e-07,3.106785914872921e-07,1.8064394424801704e-07,2.7636392337381497e-07,1.2034286921799418e-07,1.4659883066206123e-06,1.7293344161200115e-07,9.777464043382119e-08,1.1199166212812316e-07,1.690268771767914e-07,1.4332578093562774e-06,1.862725942623883e-07,2.0599841277224584e-18,1.5881867761018131e-22,6.617444900424222e-24,0.0,3.1554436208840472e-30,4.417621069237666e-29,0.0,1.522012327097571e-22,1.1832913578315177e-30,3.254051234036674e-30,1.6263032587282567e-18,0.0,0.0,1.0587911840678754e-22,2.0194839173657902e-28,2.6469779601696886e-23,2.524354896707238e-29,1.3234889800848443e-23,4.0389678347315804e-28,2.524354896707238e-29,0.0,2.3665827156630354e-30,2.524354896707238e-29,1.2296369360132522e-28,1.0097419586828951e-28,1.0575173472553426e-27,2.6611094704774484e-06,0.0,1.52821252269966e-14,1.6968521493181e-11,3.0260250583485467e-16,3.304843971714882e-14,2.7784278917343666e-06,3.853383661363592e-15,4.5174783912189275e-08,2.5366468284850566e-13,2.611467247810342e-13,9.450214635400279e-14,8.01043527649137e-13,3.114518058116937e-13,2.8095974089041544e-06,3.474507771990494e-13,2.7412229186987218e-11,3.1763735522036263e-22,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,7.888609052210118e-30,0.0,2.524354896707238e-29,7.694657996896444e-08,3.308722450212111e-24,1.3234889800848443e-23,6.617444900424222e-24,0.0,0.0,1.5777218104420236e-30,5.048709793414476e-29,1.5446410354051436e-14,6.186003467493538e-08,3.308722450212111e-24,6.617444900424222e-24,8.271806125530277e-24,0.0,0.0,3.0292258760486853e-28,2.524354896707238e-29,1.696900887412216e-11,2.288105511891209e-15,2.2603230062107276e-08,2.6469779601696886e-23,1.9852334701272664e-23,1.9852334701272664e-23,1.3234889800848443e-23,1.3234889800848443e-23,3.1554436208840472e-30,5.913147240637649e-14,0.0004240135743508192,1.4486913958739975e-14,1.1318748753532342e-07,6.617444900424221e-23,6.617444900424221e-23,6.617444900424221e-23,5.293955920339377e-23,7.940933880509066e-23,4.1020767071492614e-29,4.51747326560207e-08,2.450882408157439e-13,1.6839652335528265e-13,1.6759634431891843e-13,3.57611292333444e-07,2.117582368135751e-22,0.0,2.117582368135751e-22,0.0,2.117582368135751e-22,6.405061564443133e-13,3.655143716163156e-13,2.8095972582226377e-06,5.375456600443518e-13,2.6202056701807492e-11,2.9704984056402093e-06
