,Y2Z5,Y5Z2,Y2Z1,Y1Z2,Y3Z5,Y5Z3,Y2Z0,Y0Z2,Y5Z0,Y0Z5,Y4Z3,Y3Z4,Y4Z1,Y1Z4,Y4Z0,Y0Z4,Y3Z1,Y1Z3,Y5Z4,Y4Z5,Y2Z3,Y3Z2,Y4Z2,Y2Z4,Y0Z3,Y3Z0,Y0Z1,Y1Z0,Y1Z5,Y5Z1,standard_y,Y2,X1Y4,X5Y4,X4Y5,X2Y5,X0Y3,X0Y5,Y5,Y4,X3Y4,X2Y4,X1Y5,X1Y2,X0Y4,X0Y1,X5Y1,X3Y1,Y1,X4Y0,X2Y1,X2Y0,X1Y3,X1Y0,X4Y1,standard_x,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y2,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8522886331908531,0.852288633190853,0.7929512716552943,0.7929512716552942,0.7553168382549661,0.755316838254966,0.6962243226370528,0.6962243226370528,0.671646764117767,0.671646764117767,0.5469839042910056,0.5469839042910056,0.4982722297980512,0.4982722297980512,0.46253225482908755,0.46253225482908755,0.45318922846621235,0.45318922846621235,0.43406813885223416,0.43406813885223416,0.4323888389514403,0.4323888389514402,0.3723746808209262,0.37237468082092606,0.14393322139536102,0.14393322139536097,0.03855183933738006,0.038551839337380045,0.019157108024347794,0.019157108024347752,1.249000902703301e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.336808689942018e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.42861286636753e-17,2.2551405187698492e-17,1.734723475976807e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.0408340855860843e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.470178125418088e-05,7.494540533064987e-05,6.950095323769724e-05,0.773856437472318,0.3243335618724391,6.641825831250669e-05,6.102298567418176e-05,0.026760874706320194,5.906078881677811e-05,0.022314348280467446,0.5469839042910056,0.5469839042910057,0.4982722297980513,0.4982722297980512,0.46253225482908766,0.4625322548290876,0.4531892284662124,0.45318922846621235,3.816947843784834e-05,0.06290393310795936,3.789821335897924e-05,0.3204726975475978,0.06028243657708146,3.263806516712183e-05,0.14393322139536102,0.14393322139536102,0.03855183933738007,0.038551839337380024,0.7712165239557096,1.6845669060170177e-06,1.734892882566258e-17,0.0,4.163336342344337e-17,3.3881317890172014e-21,1.6940658945086007e-21,0.0,2.7755575615628914e-17,1.2705494208814505e-21,1.6940658945086007e-21,2.7755575615628914e-17,5.551115123125783e-17,0.0,1.6940658945086007e-21,5.082197683525802e-21,2.7755575615628914e-17,2.02678043619009e-17,2.117582368135751e-22,8.673617379884035e-18,6.938893903907228e-18,6.938893903907228e-18,3.1763735522036263e-22,3.5998900258307764e-21,2.0816681711721685e-17,3.4626706883755798e-18,2.0816681711721685e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.082197683525802e-21,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0
2,2.4271257885854027e-12,2.632649335237601e-06,2.2581463668078867e-12,6.974595118220824e-07,0.774581224579229,2.386580858702568e-06,1.9826898334531568e-12,0.011665647241898369,2.1222078336771975e-06,0.015987255805015373,0.5469839042910055,0.5469839042910055,0.5583587086899413,4.4908162464564865e-07,0.46253225482908755,0.46253225482908755,0.7726201723868464,4.084493231220222e-07,1.3715286871543265e-06,0.5579419722891982,1.2313458855337182e-12,0.7721887524561596,0.5569349408417068,1.0604390997180055e-12,0.14393322139536102,0.14393322139536094,0.011877958442866836,3.474591118538866e-08,6.950802195871753e-07,2.6236985212577267e-06,1.613290748167326e-16,4.0389678347315804e-28,1.3234889800848443e-23,1.0587911840678754e-22,0.0,5.293955920339377e-23,5.551115123125783e-17,2.117582368135751e-22,2.117582368135751e-22,1.1102230246251565e-16,1.6653345369377348e-16,0.0,3.0292258760486853e-28,0.0,5.551115123125783e-17,1.7850622242379693e-23,2.208810534618833e-29,9.926167350636332e-24,3.308722450212111e-24,8.673617379884035e-19,1.0587911840678754e-22,3.7865323450608567e-29,1.9852334701272664e-23,2.5703991300231778e-24,2.6469779601696886e-23,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.204170427930421e-18,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3010426069826053e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0
3,1.6408077921103776e-14,6.206562427101811e-14,3.0882128829813816e-14,5.021698803613763e-07,6.058004428347953e-07,5.626447430118245e-14,2.7115019542178653e-14,0.13133333130131228,5.003178823544353e-14,0.12747808370032032,0.009144373121539054,4.277964413905675e-07,0.016691704180891026,2.0440851857529058e-07,0.4625322548290876,0.46253225482908755,6.042667027352307e-07,5.012651776252401e-07,3.2334266109856765e-14,0.012736141624044378,1.624543692256192e-14,6.039292889473025e-07,0.013501403841669812,1.4502433223286813e-14,0.12799793516282718,1.1257025924853818e-07,0.13065617513847827,1.581529913979017e-08,5.01689281168312e-07,6.185460571647304e-14,5.551115453997712e-17,3.1554436208840472e-30,6.617444900424222e-24,1.5777218104420236e-30,0.0,2.524354896707238e-29,0.0,0.0,6.310887241768095e-30,2.7755575615628914e-17,0.0,1.5777218104420236e-30,1.504632769052528e-36,3.308722450212111e-24,0.0,1.0851794648717321e-23,1.222514124855179e-36,2.3665827156630354e-30,3.308722450212111e-24,0.0,6.617444900424222e-24,9.860761315262648e-31,1.5777218104420236e-30,6.471641317034032e-24,1.4889251025954498e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1554436208840472e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,1.504632769052528e-36,9.926167350636332e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.946396494235581e-14,1.8841897410631653e-14,5.5454999995496736e-14,1.4576466535948835e-06,2.972837794269543e-07,1.708078288235157e-14,2.2733340964436578e-14,0.0006112455216721571,5.404632959017298e-15,0.0005933026064373778,4.2420971786189324e-05,1.5487076387644937e-07,7.743322617430987e-05,5.475785651428713e-07,0.0021456985046331275,0.0021526962469599594,2.9653112884912034e-07,1.4550205763103814e-06,5.323080539543403e-15,5.9083274196012605e-05,2.9171910705338806e-14,2.9636555015519465e-07,6.263334444271435e-05,2.2489602508480958e-14,0.0005957220750918356,1.540059049213216e-07,0.0006080939327496536,5.454936856021079e-07,1.456251620095499e-06,1.877783634615585e-14,2.168404344971009e-19,0.0,2.0679515313825692e-25,3.0814879110195774e-33,6.162975822039155e-33,2.524354896707238e-29,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,1.128474576789396e-36,3.308722450212111e-24,2.7755575615628914e-17,6.691593979818084e-26,7.52316384526264e-37,1.8932661725304283e-29,0.0,1.3877787807814457e-17,1.6543612251060553e-24,3.0814879110195774e-33,1.262177448353619e-29,2.605136718592198e-26,1.4863401631812216e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9387045606711586e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.52316384526264e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0
5,5.724611747154901e-14,1.1212313731949085e-14,1.0823695221812842e-13,1.5215283140961994e-06,9.563462099408883e-08,1.0151615919936054e-14,4.4300401851142876e-14,1.0112479816723521e-06,3.2141433823361283e-15,9.8176650240488e-07,1.1762900106889436e-09,4.965928725464835e-08,2.140320874056684e-09,5.643102895602754e-07,5.949989353520283e-08,3.5687121521834896e-06,9.539255773976853e-08,1.5187679835560676e-06,3.118741443957372e-15,1.6345461239637601e-09,5.668285918714319e-14,9.533914980751348e-08,1.7327591588268822e-09,4.336348191623025e-14,9.85768890336026e-07,4.910889120865053e-08,1.0060345200803e-06,5.600371277194719e-07,1.5200621139864749e-06,1.1174205198758688e-14,8.602678370551488e-23,0.0,1.262177448353619e-29,4.70197740328915e-38,0.0,0.0,5.048709793414476e-29,0.0,0.0,0.0,7.888609052210118e-31,7.52316384526264e-37,1.88079096131566e-37,0.0,2.7755575615628914e-17,5.855789995909391e-29,0.0,3.1554436208840472e-30,2.6469779601696886e-23,2.7755575615628914e-17,0.0,1.2037062152420224e-35,9.466330862652142e-30,1.8429647342429225e-28,2.3665827156630354e-30,4.065912697344421e-07,2.1409662028702037e-22,1.2366834418496312e-08,1.5899237097650959e-15,6.617444900424222e-24,1.1097150634841462e-14,2.350995760823918e-21,2.9424045169314223e-21,3.0728747235248667e-21,1.961521622330162e-14,1.93571329612888e-15,1.4528953903586686e-08,1.7790691991506597e-20,0.002587230698570454,5.0519361510607346e-14,8.942513785649023e-20,8.373756979011971e-13,1.0587911840678754e-22,4.930380657631324e-32,9.860761315262648e-32,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,1.798008047061575e-15,0.0,0.0,0.0,0.0,2.0679515313825692e-25,7.888609052210118e-31,1.504632769052528e-36,3.9021899544638976e-22,2.803137544731406e-09,1.6543612251060553e-24,8.271806125530277e-25,8.271806125530277e-25,2.481541837659083e-24,8.271806125530277e-25,0.0,0.0,1.9721522630525295e-30,1.2366834418496372e-08,1.8272689963645254e-15,9.474071788351169e-09,7.888609052210118e-31,0.0,7.888609052210118e-31,1.5777218104420236e-30,3.944304526105059e-31,0.0,1.1097150634841683e-14,3.102685749910366e-21,4.053511688904897e-21,1.2555561526856569e-14,0.0,0.0,1.3234889800848443e-23,2.6469779601696886e-23,1.3234889800848443e-23,4.065671128458896e-21,3.139366261685009e-14,1.68106478157617e-14,1.4528953903586964e-08,2.1428376111953056e-07,1.3234889800848443e-23,0.0,1.3234889800848443e-23,0.0,0.0,0.0,2.2056658255917178e-20,0.00258723069857047,1.0673360305523102e-13,1.5195912173381453e-19,1.9220548139867596e-12,1.8003028492825936e-07
6,3.648369767014705e-11,2.9309242967193806e-11,1.6580099664443317e-11,1.9730170815386917e-07,8.543213051865716e-08,2.6906142128701668e-11,1.601657276624422e-11,3.508348727395354e-08,2.623168123125757e-11,2.51748888459966e-08,3.914551717914987e-07,1.5025095974611177e-07,3.915893601929262e-07,8.323490471474487e-07,3.5564632712670906e-08,1.0206142955158061e-07,1.0061797877118364e-07,2.188565586709129e-07,2.6395074385919555e-11,3.8915328582994434e-07,3.667710325060245e-11,9.538013560821032e-08,3.911230425068515e-07,1.6008533023012754e-11,3.075423044565095e-08,1.5093385882482018e-07,3.342043946480257e-08,8.061940219595562e-07,1.9598173258140775e-07,2.926594721170733e-11,5.955861969095189e-23,1.6155871338926322e-27,1.0097419586828951e-27,2.465190328815662e-32,0.0,8.077935669463161e-28,2.5849394142282115e-26,9.860761315262648e-32,0.0,2.6469779601696886e-23,5.169878828456423e-26,0.0,2.465190328815662e-32,0.0,1.734723475976807e-18,1.7552155141167513e-27,3.389636702121535e-32,8.077935669463161e-28,0.0,8.673617379884035e-19,5.293955920339377e-23,0.0,4.0389678347315804e-28,1.1493703389070142e-27,8.077935669463161e-28,1.1951890837728506e-05,2.393987609069416e-16,4.226865066940102e-07,6.786861320518222e-13,3.3087224502121107e-23,1.2240495887679583e-10,5.955931522537153e-16,1.8763044291306118e-16,2.209221659953692e-16,2.962086182812518e-10,7.352854057526605e-11,5.331570565385227e-07,1.9324338677516658e-15,7.140218260701077e-06,9.620334850049076e-12,5.937525246037155e-17,1.378717357181527e-10,0.0,0.0,0.0,8.077935669463161e-28,8.077935669463161e-28,8.077935669463161e-28,2.6469779601696886e-23,0.0,1.9721522630525295e-31,1.3868630771847086e-11,0.0,1.6940658945086007e-21,3.3881317890172014e-21,8.470329472543003e-22,0.0,0.0,4.930380657631324e-32,6.315838175944101e-16,2.2292691410720856e-06,8.470329472543003e-22,8.470329472543003e-22,2.117582368135751e-22,8.470329472543003e-22,8.470329472543003e-22,2.6469779601696886e-23,4.930380657631324e-32,0.0,4.2268650673688305e-07,4.158279183994464e-12,3.3806715525229427e-06,1.0602290566170399e-27,0.0,4.0389678347315804e-28,0.0,0.0,1.232595164407831e-32,1.2240495887567963e-10,2.718966097465996e-16,3.069607927899294e-16,1.4540081673399024e-11,0.0,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,2.6092108836025095e-16,8.353503723262092e-11,1.4093936919613158e-10,5.331570565394031e-07,2.4536406011165045e-08,8.470329472543003e-22,0.0,8.470329472543003e-22,4.235164736271502e-22,0.0,1.232595164407831e-32,2.5312636240128165e-15,7.140218260743335e-06,1.79323572665272e-13,7.365756207877794e-16,7.303357716568764e-10,6.3665149588570874e-06
7,2.0615183664591366e-08,1.5700378810839292e-08,2.0628556927715892e-08,2.48063413969972e-08,1.2861922272148664e-09,1.57075701239162e-08,2.0446525841101723e-08,4.253340334120747e-10,1.442757767483245e-08,6.24739106421648e-11,8.97950021977281e-09,6.751973437028986e-09,1.0136919508042306e-08,2.0756000906482207e-08,1.2036352562172279e-08,9.451540087767852e-10,1.6008914494093443e-09,2.475729534801633e-08,1.5074244363483786e-08,1.064857654377944e-08,1.9566628080293727e-08,1.3474058222791454e-09,9.777688782615507e-09,1.952092449455744e-08,7.154490626281793e-11,7.107077501371553e-09,3.295052002258552e-10,2.0521221145154967e-08,2.395208918021177e-08,1.5516809982405152e-08,9.564275832644382e-25,3.308722450212111e-24,0.0,7.888609052210118e-31,1.9721522630525295e-31,2.3665827156630354e-30,6.409494854920721e-31,3.944304526105059e-31,1.6543612251060553e-24,8.271806125530277e-25,3.1554436208840472e-30,6.310887241768095e-30,0.0,1.5881867761018131e-22,0.0,4.1850457691534635e-31,1.5777218104420236e-30,9.860761315262648e-32,3.308722450212111e-24,8.673617379884035e-19,2.6469779601696886e-23,7.888609052210118e-31,1.5777218104420236e-30,4.997788205684877e-31,8.874685183736383e-31,2.9371797208047407e-07,7.037994324894989e-16,2.870911741739622e-07,1.8201436522172416e-14,2.0679515313825692e-25,9.113308932332309e-15,8.920949411202804e-15,4.6531431450403904e-15,1.338695734622476e-14,2.6101672575493003e-15,2.448367454433484e-15,2.437201279598634e-07,1.4100372663816793e-15,0.0002777148637228442,4.298481890990718e-16,5.536062940667795e-16,2.1432828069441623e-14,7.754818242684634e-26,1.3234889800848443e-23,1.9852334701272664e-23,1.3234889800848443e-23,6.617444900424222e-24,6.617444900424222e-24,5.293955920339377e-23,7.888609052210118e-31,1.1832913578315177e-30,1.136506701256002e-07,1.9852334701272664e-23,0.0,0.0,0.0,0.0,3.1554436208840472e-30,0.0,1.7391229897152116e-15,1.0878754614759413e-07,0.0,3.308722450212111e-24,0.0,4.1359030627651384e-24,1.6543612251060553e-24,5.293955920339377e-23,1.1832913578315177e-30,2.070759876205156e-30,2.870911745849104e-07,1.85046809121584e-14,3.3689118147565575e-09,0.0,2.6469779601696886e-23,1.3234889800848443e-23,0.0,0.0,0.0,8.97174539193001e-15,7.990276428984618e-15,4.141485418936967e-15,1.310361555798448e-07,2.6469779601696886e-23,6.617444900424222e-24,1.3234889800848443e-23,6.617444900424222e-24,0.0,1.3552025137030962e-14,6.27078723457806e-15,4.692953661264843e-15,2.437201278800639e-07,1.4417826678313095e-07,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,3.944304526105059e-31,9.900321498923545e-16,0.00027771486372296287,9.858566538312777e-16,5.773833918180059e-16,1.967844885243187e-14,1.7009337554248778e-08
8,2.067969029800337e-07,1.63051449902153e-07,2.0670997214512314e-07,2.778840603623389e-07,3.423962725749341e-09,1.6306343969557884e-07,2.050953881013891e-07,3.58985815554911e-08,1.5384055784127618e-07,2.3352801148606954e-08,4.530485171012275e-08,3.9680609701112025e-09,4.6428792574930864e-08,2.7202818996395407e-07,8.691624788768933e-08,3.8863122868833876e-08,6.668899534529502e-10,2.751395828473229e-07,1.5808739444456353e-07,5.07746735684207e-08,1.9570584234794975e-07,4.724807588844028e-10,4.6498861901563867e-08,1.9430017128892894e-07,3.681992545848805e-08,8.656516869947133e-10,3.688348021860091e-08,2.699406775885288e-07,2.644699804826392e-07,1.6055000508480582e-07,4.9941029482889046e-23,1.3234889800848443e-23,1.5777218104420236e-30,3.1554436208840472e-30,3.1554436208840472e-30,0.0,1.5777218104420236e-30,3.1554436208840472e-30,2.6469779601696886e-23,9.926167350636332e-24,0.0,3.1554436208840472e-30,1.5777218104420236e-30,8.271806125530277e-24,0.0,7.195274272230713e-30,4.733165431326071e-30,3.1554436208840472e-30,2.6469779601696886e-23,0.0,4.963083675318166e-24,3.1554436208840472e-30,7.888609052210118e-31,5.327892598152849e-30,1.9721522630525295e-30,6.718311602006413e-07,6.94587860831636e-15,2.510643191127601e-08,4.3279217855000734e-14,2.9985297205047253e-24,9.406232331532972e-15,1.0471187091015945e-13,3.0053402205845884e-14,4.1852112766262796e-14,3.997418321830114e-14,2.1961499109862693e-14,1.4342166290853444e-08,3.6720483708385356e-14,0.0005604839704188653,2.282321440289251e-15,1.4865486587198964e-14,5.055578570327856e-16,3.308722450212111e-24,6.617444900424222e-24,6.617444900424222e-24,1.9852334701272664e-23,6.617444900424222e-24,6.617444900424222e-24,0.0,7.888609052210118e-31,6.310887241768095e-30,1.0851581959897606e-07,2.6469779601696886e-23,5.293955920339377e-23,2.6469779601696886e-23,2.6469779601696886e-23,0.0,6.310887241768095e-30,1.5777218104420236e-30,1.6905566838111748e-14,1.899983673294749e-07,1.3234889800848443e-23,9.926167350636332e-24,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,2.6469779601696886e-23,0.0,1.5777218104420236e-30,2.5106411885459995e-08,4.0339766858087955e-14,5.7357238350662646e-08,6.617444900424222e-24,6.617444900424222e-24,1.9852334701272664e-23,6.617444900424222e-24,6.617444900424222e-24,0.0,7.201030320057351e-15,3.757950434709914e-14,4.618491170758296e-15,1.014169584970721e-07,9.926167350636332e-24,6.617444900424222e-24,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,3.9248960387702657e-14,4.2479728564184873e-14,1.2094754368454761e-14,1.4342168622040023e-08,1.0345534209063098e-07,1.3234889800848443e-23,0.0,6.617444900424222e-24,0.0,0.0,1.5284180038657104e-30,2.3498916004378762e-14,3.146121835610283e-05,4.786129472421447e-15,5.478728189278606e-15,2.146360926479704e-14,1.1108743433382459e-07
9,7.283961908593492e-08,2.556485918390445e-07,7.331692907523675e-08,5.831365824325769e-07,2.0944793629637962e-07,2.5547129769252624e-07,7.041847155819532e-08,2.711213425682737e-07,2.540990974923087e-07,2.9543288098845273e-07,1.499939170965596e-06,1.6070422199633033e-07,1.4437737613669606e-06,5.374736181814016e-07,1.5313633206127053e-06,2.6249927691635174e-07,1.761613491091117e-07,5.843672713385691e-07,2.532224310281405e-07,1.4829852720985044e-06,6.186898210384616e-08,1.6484985065603311e-07,1.386029913126517e-06,7.213653661100911e-08,2.456552913236055e-07,1.740878337787772e-07,2.4653323994362945e-07,5.065376232505165e-07,5.38862109480771e-07,2.51627997889002e-07,1.522012327097571e-22,6.617444900424222e-24,6.563322731438818e-28,2.524354896707238e-29,1.0097419586828951e-28,0.0,0.0,1.262177448353619e-29,0.0,1.0587911840678754e-22,1.0097419586828951e-28,2.0194839173657902e-28,6.310887241768095e-30,1.0587911840678754e-22,6.911788849595091e-19,4.4033537802096455e-28,9.466330862652142e-30,2.7767903863779616e-28,7.940933880509066e-23,7.860465750519907e-19,1.5881867761018131e-22,3.155443620884047e-29,2.0194839173657902e-28,3.99012625134192e-28,1.0097419586828951e-28,3.690025667808783e-06,3.378229225423493e-13,1.8780782047666436e-06,1.6665068671276023e-12,1.3234889800848443e-23,2.7755251931558823e-13,3.411563972130544e-13,8.981737072443247e-13,3.71040343889458e-14,2.973655903120797e-12,5.247391386173296e-13,3.288825116203253e-07,4.448605609644724e-13,4.91909829239519e-06,1.3800177245064025e-12,8.977851117397213e-14,1.8069202198694974e-11,5.293955920339377e-23,0.0,1.3234889800848443e-23,1.3234889800848443e-23,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,2.0194839173657902e-28,2.524354896707238e-29,5.8815669421894464e-08,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,5.048709793414476e-29,2.0190097461959285e-13,1.758439311053953e-06,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,0.0,0.0,6.617444900424222e-24,5.048709793414476e-29,5.048709793414476e-29,1.8780780929573823e-06,1.279017213559397e-12,1.5057783910884025e-07,7.940933880509066e-23,7.940933880509066e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,0.0,2.669602123793624e-13,1.2569087927358803e-12,9.984986498510025e-13,3.1030097234132013e-07,5.293955920339377e-23,1.5881867761018131e-22,5.293955920339377e-23,0.0,1.5881867761018131e-22,6.167469669876763e-14,1.4184378629133311e-12,5.182428976111242e-13,3.2888252493612844e-07,1.1695599441264554e-06,0.0,5.293955920339377e-23,1.0587911840678754e-22,5.293955920339377e-23,5.293955920339377e-23,2.524354896707238e-29,2.8204601202314493e-13,0.00014188500027583674,1.3943172205618546e-12,1.459238741268254e-13,1.867208443276604e-11,5.434876099740004e-07
