,Y0Z4,Y4Z0,Y4Z5,Y5Z4,Y5Z1,Y1Z5,Y0Z2,Y2Z0,Y0Z3,Y3Z0,Y4Z2,Y2Z4,Y3Z5,Y5Z3,Y4Z3,Y3Z4,Y1Z0,Y0Z1,Y2Z1,Y1Z2,Y1Z4,Y4Z1,Y5Z2,Y2Z5,Y5Z0,Y0Z5,Y1Z3,Y3Z1,Y3Z2,Y2Z3,Y4,Y5,X0Y5,X0Y1,Y2,X5Y4,X3Y2,X4Y5,X4Y0,X3Y0,X2Y5,X2Y3,X2Y0,X1Y3,X0Y4,X4Y1,standard_y,Y3,Y1,X5Y1,X5Y0,X4Y3,X3Y4,X3Y1,X2Y4,X2Y1,X1Y4,X1Y2,X1Y5,X1Y0,X0Y2,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8493361613899302,0.8493361613899301,0.8376565105032983,0.8376565105032981,0.734023602212773,0.734023602212773,0.685257992964537,0.6852579929645369,0.6840819180161108,0.6840819180161106,0.5313147518470183,0.5313147518470183,0.4315803283922126,0.4315803283922125,0.29465675376336253,0.29465675376336253,0.2590084917154736,0.2590084917154736,0.23055860896546818,0.2305586089654681,0.22516293556211264,0.22516293556211253,0.21390753049174072,0.21390753049174072,0.1857241738737354,0.1857241738737354,0.14715991816841778,0.14715991816841775,0.13021302275975688,0.13021302275975688,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,9.020562075079397e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.465792461108534e-05,6.486879277119222e-05,6.39767492112372e-05,0.6525360683807427,0.7340236022127731,0.7340236022127732,5.216704723337826e-05,0.1556703807723619,5.207751546867878e-05,0.39038300207340526,4.057962924531412e-05,0.15171567967802746,0.4315803283922127,0.4315803283922127,2.250466748905152e-05,0.38720142586856166,0.034577491100505425,1.9717695174504036e-05,0.23055860896546815,0.23055860896546815,0.03300359978864907,1.7197016294266024e-05,0.21390753049174066,0.21390753049174074,0.6492093748232165,1.4138735848868403e-05,0.1471599181684178,0.1471599181684178,0.1302130227597569,0.130213022759757,1.6940658945086007e-21,0.0,3.3881317890172014e-21,3.1763735522036263e-21,1.3877787807814457e-17,5.082197683525802e-21,1.3877787807814457e-17,0.0,6.938893903907228e-18,1.6940658945086007e-21,5.551115123125783e-17,8.326672684688674e-17,1.6940658945086007e-21,2.7755575615628914e-17,0.0,3.3881317890172014e-21,4.162997529165435e-17,2.7755575615628914e-17,0.0,5.204170427930421e-18,3.3881317890172014e-21,3.3881317890172014e-21,0.0,1.214306433183765e-17,0.0,3.469446951953614e-18,6.776263578034403e-21,1.3877787807814457e-17,2.7755575615628914e-17,8.470329472543003e-22,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.082197683525802e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0
2,4.930624607711712e-06,4.946704798120846e-06,3.5715488260496153e-06,3.129817090046157e-05,3.520663037513757e-05,3.5092184629292495e-05,3.978106757179388e-06,0.15567037923672913,3.971279326128138e-06,0.3903830012217735,3.0944840826898442e-06,0.15171568165859478,0.2848987812679419,2.0700273197047228e-05,1.7161402562380282e-06,0.3872014278457298,1.6530799217104398e-06,4.289399774645158e-07,0.017346425209345602,1.102254103178519e-05,1.5778354265354603e-06,3.5514268226921717e-06,1.0259838154765722e-05,0.015901604269877447,3.113860986459949e-05,4.205473740848295e-07,7.03541821111734e-06,0.28301747704133673,0.13021302275975694,0.13021302275975694,4.235164736271502e-22,0.0,0.0,2.4233807008389483e-27,6.938893903907228e-18,1.9387045606711586e-26,6.938893903907228e-18,1.2924697071141057e-26,0.0,0.0,0.0,5.551115123125783e-17,1.5881867761018131e-22,3.3881317890172014e-21,5.551115123125783e-17,6.462348535570529e-27,6.939476239058466e-18,0.0,4.235164736271502e-22,0.0,0.0,4.235164736271502e-22,8.470329472543003e-22,7.940933880509066e-22,4.235164736271502e-22,5.293955920339377e-22,3.877409121342317e-26,2.117582368135751e-22,2.7755575615628914e-17,8.885729236409477e-27,7.279189390466644e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-22,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8.52899861988401e-10,1.8064997057529394e-07,1.993726845100985e-07,1.2177668336526437e-05,8.26652015506779e-06,8.239648283076366e-06,6.881332435786585e-10,0.025881261425754268,6.869522339775189e-10,0.0012057683601478398,1.7274175127753953e-07,0.022348467703604557,0.0008799613073176748,1.2147972768739344e-05,1.794391414637195e-07,0.001195941496579303,1.258395770997496e-06,7.419807340684602e-11,0.017346424977615446,2.58809368088973e-06,1.2707108018156034e-06,1.9824942491401752e-07,2.4090109729444093e-06,0.01590160451964596,1.2155951680154544e-05,7.274632064765559e-11,1.2650371315068292e-06,0.0008741505615904952,0.00040218642316274515,0.024950575777970743,1.3234889800848443e-23,8.470329472543003e-22,1.5777218104420236e-30,7.395570986446986e-32,0.0,1.0097419586828951e-28,4.0657581468206416e-20,2.0194839173657902e-28,2.168404344971009e-19,1.3234889800848443e-23,8.470329472543003e-22,0.0,4.52364397489937e-26,8.271806125530277e-25,0.0,1.262177448353619e-28,1.1779051922755114e-21,0.0,3.1763735522036263e-22,5.551115123125783e-17,1.9721522630525295e-31,0.0,5.169878828456423e-26,1.0339757656912846e-25,1.3234889800848443e-23,0.0,1.0097419586828951e-28,1.3234889800848443e-23,5.551115123125783e-17,2.465190328815662e-31,3.2311742677852644e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0853167673381549e-14,1.666113525859609e-07,3.938650312521713e-06,3.5135485604370684e-06,1.9703813448765392e-06,2.0110307614257357e-06,8.734196779739013e-15,7.614718442319895e-06,8.719064481308374e-15,1.7809944833261741e-06,1.4413533284806143e-07,6.5809922150579925e-06,1.9473782474763368e-06,3.5063361489196093e-06,1.5385582230286866e-07,1.7621951452953853e-06,9.3279120979167e-07,9.373474187738102e-16,5.105479208218068e-06,9.338422568605582e-07,9.3374665840874e-07,3.916543602183452e-06,3.502492365941528e-06,4.680634981508439e-06,3.510168239419535e-06,9.190250312817917e-16,9.323646343961946e-07,1.9345351985708e-06,1.7694402262909634e-06,7.3413061301863e-06,0.0,0.0,3.009265538105056e-36,5.64237288394698e-37,8.470329472543003e-22,4.0389678347315804e-28,1.2924697071141057e-26,8.077935669463161e-28,0.0,0.0,0.0,5.169878828456423e-26,0.0,2.0194839173657902e-28,1.0339757656912846e-25,4.0389678347315804e-28,6.08804930937636e-22,2.117582368135751e-22,2.6469779601696886e-23,5.551115123125783e-17,7.52316384526264e-37,3.2311742677852644e-27,0.0,8.077935669463161e-28,2.0679515313825692e-25,6.462348535570529e-27,1.0097419586828951e-28,2.4233807008389483e-27,5.551115123125783e-17,8.46355932592047e-37,8.077935669463161e-28,1.024023329885577e-06,5.483308605636058e-13,4.3155251687707887e-13,3.0884003726068634e-12,2.3158443586562558e-11,1.1279605389956291e-10,2.3124270584292037e-11,0.090244896363091,2.1614953209056524e-12,1.001480736939105e-12,2.506148631212719e-11,9.410295516230921e-21,1.3022729355380704e-10,1.3998847968084746e-10,1.8028944051778212e-12,4.115945028305919e-21,9.860761315262648e-32,5.293955920339377e-23,5.293955920339377e-23,0.0,5.293955920339377e-23,5.293955920339377e-23,8.077935669463161e-28,0.0,6.078205021520149e-07,2.6469779601696886e-23,6.617444900424222e-24,0.0,0.0,2.6469779601696886e-23,1.0339757656912846e-25,1.424062954239154e-12,2.440228306817828e-07,6.617444900424222e-24,6.617444900424222e-24,1.3234889800848443e-23,1.9852334701272664e-23,1.9852334701272664e-23,0.0,2.592962293621625e-12,3.809981831316459e-12,1.0255043266703419e-07,0.0,0.0,3.308722450212111e-24,0.0,0.0,1.4267200201427656e-10,1.877529076492626e-10,5.252330075540536e-11,9.437294929785871e-08,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,1.9852334701272664e-23,1.3234889800848443e-23,0.09024489636410551,2.218282712057453e-12,1.5648634059063517e-12,4.855237020183104e-11,1.8035748257252509e-07,1.9721522630525295e-31,1.232595164407831e-32,4.930380657631324e-32,1.232595164407831e-32,0.0,0.0,1.1244687206495017e-20,1.3022729356513076e-10,1.3998847968978204e-10,1.8028948951048395e-12,8.33839152115863e-21,2.151570215936461e-15
5,9.666448297561299e-18,1.448574450933754e-08,1.4877754108208244e-08,8.381569043349933e-06,8.457877603963344e-06,5.260167518571098e-06,7.371227456397563e-18,5.2173399222661375e-06,7.30867090705669e-18,6.272567096843748e-07,1.4286926112985452e-08,1.1214661882388901e-06,6.313532904106064e-07,8.362046620044673e-06,1.4209539593061928e-08,6.106472278933932e-07,5.087071455753919e-06,8.874507707057898e-18,3.0805589240942285e-06,4.9886591336464675e-06,4.979448059485313e-06,1.435057952049426e-08,8.379146948607209e-06,6.704472931242755e-06,8.425362816578316e-06,8.902713080534113e-18,4.988106447467729e-06,6.139744473226166e-07,6.193034985997131e-07,4.093324456506071e-06,8.271806125530277e-25,1.6940658945086007e-21,2.350988701644575e-38,3.6734198463196485e-40,8.470329472543003e-22,5.048709793414476e-29,4.0389678347315804e-28,1.262177448353619e-29,2.5849394142282115e-26,0.0,1.0339757656912846e-25,2.5849394142282115e-26,9.860761315262648e-32,2.0194839173657902e-28,0.0,3.7865323450608567e-29,3.0183820552052276e-21,5.293955920339377e-23,4.235164736271502e-22,1.0842021724855044e-19,2.0571151139390031e-38,7.888609052210118e-31,0.0,2.0194839173657902e-28,5.048709793414476e-29,1.0339757656912846e-25,1.262177448353619e-29,5.169878828456423e-26,8.131516293641283e-20,1.974463167396811e-39,0.0,3.7355302226787315e-05,1.3829329200525743e-12,3.77311965316394e-11,2.727447172038002e-15,1.0491339638119611e-08,5.9483908697153325e-12,9.784387525172012e-11,0.0005911642677084899,8.541424381894364e-14,3.5192185475155684e-11,4.318739720510559e-09,3.7714566223572833e-22,1.520924662617562e-10,8.033261024296837e-12,3.230584003948687e-14,7.505802666246504e-23,7.703719777548943e-34,0.0,0.0,0.0,3.3881317890172014e-21,3.3881317890172014e-21,1.6155871338926322e-27,0.0,5.1181721355331706e-05,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,5.543929919632187e-13,1.6225577422296656e-09,2.6469779601696886e-23,2.6469779601696886e-23,0.0,2.6469779601696886e-23,2.6469779601696886e-23,1.6155871338926322e-27,2.589555706467623e-12,7.648748057515097e-15,3.3078563210013607e-07,5.293955920339377e-23,2.6469779601696886e-23,1.0587911840678754e-22,1.0587911840678754e-22,5.293955920339377e-23,6.100490493872621e-09,6.237752350007057e-12,1.93911897706406e-10,1.1585869863020145e-06,0.0,0.0,4.235164736271502e-22,8.470329472543003e-22,8.470329472543003e-22,0.0005911639846616916,2.9797815130249357e-13,2.964099727829087e-11,9.012630792929704e-09,1.5314169189200935e-05,1.925929944387236e-34,2.8888949165808538e-34,0.0,7.703719777548943e-34,5.7777898331617076e-34,2.0194839173657902e-28,5.68211139552465e-22,1.5209246626175609e-10,8.033261024293983e-12,3.230583839268166e-14,2.4322018383308764e-22,3.3787458791882175e-18
6,9.411391020292922e-20,1.2991674557869553e-08,1.3647879184385017e-08,8.874520912181188e-07,8.902793073772934e-07,2.940754615665889e-07,7.9846306082399e-20,5.126417367069368e-06,7.85476068953834e-20,9.092764757931307e-09,1.256480642655819e-08,9.895584093409981e-07,9.224376636366186e-09,8.829588750597507e-07,1.2497946255445147e-08,8.596017625251222e-09,2.774987971370532e-07,8.828647296357091e-20,2.8165765882159566e-06,2.669454535276207e-07,2.62150594680814e-07,1.2697076556251093e-08,8.831799365603502e-07,7.513633942119511e-06,8.910855015295128e-07,8.788375133269431e-20,2.6658435393632484e-07,8.802614278220057e-09,8.886714054399401e-09,3.7027925106107617e-06,0.0,0.0,2.8698592549372254e-42,1.883345136052554e-42,6.352747104407253e-22,1.5777218104420236e-30,3.7865323450608567e-29,3.944304526105059e-31,1.0097419586828951e-28,0.0,6.462348535570529e-27,2.0194839173657902e-28,0.0,3.944304526105059e-31,1.0097419586828951e-28,7.888609052210118e-31,6.609173094298691e-22,8.271806125530277e-25,2.6469779601696886e-23,6.776263578034403e-21,0.0,6.162975822039155e-33,1.232595164407831e-32,3.2047474274603605e-31,2.524354896707238e-29,6.462348535570529e-27,2.3665827156630354e-30,0.0,6.776263578034403e-21,1.2555634240350361e-42,3.0814879110195774e-33,2.0185070477260572e-06,5.801430610126424e-14,2.4169894090468436e-14,3.8478422618630585e-17,3.341702425327431e-10,4.0708857947176e-12,9.441896992766286e-13,5.259341636900639e-06,2.538133408270133e-15,2.529127522695531e-14,1.4564464332906594e-10,1.758935775849832e-25,1.3266207452011875e-12,5.267349187115255e-12,4.072082056476314e-16,3.556418821613992e-26,0.0,2.117582368135751e-22,2.117582368135751e-22,0.0,0.0,0.0,0.0,1.2924697071141057e-26,2.331129777724025e-06,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,2.3856251751607396e-14,5.124633726030418e-10,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,1.78345881637775e-16,9.051747491559983e-17,4.149184666515778e-09,5.293955920339377e-23,1.3234889800848443e-23,0.0,2.6469779601696886e-23,2.6469779601696886e-23,1.9050003780574857e-10,4.065186979907226e-12,1.7778381748571972e-12,4.185182347188947e-07,2.6469779601696886e-23,5.293955920339377e-23,2.6469779601696886e-23,7.940933880509066e-23,2.6469779601696886e-23,1.2936495398262029e-05,1.2083811485088392e-14,2.1233437939425707e-14,2.9956800580845266e-10,7.27504243422901e-07,6.018531076210112e-36,0.0,3.009265538105056e-36,1.2037062152420224e-35,0.0,3.7865323450608567e-29,2.672883427409394e-25,1.3266207452011867e-12,5.267349187115255e-12,4.072081995165316e-16,1.3138874891849563e-25,4.8833925190653473e-20
7,5.15268042959354e-22,2.2263082016258465e-08,2.368336359266961e-08,4.85222965908999e-08,4.916842001207678e-08,6.28127258945251e-09,3.5204208294944636e-22,1.5290027542800608e-08,3.483445638757853e-22,1.6640641057991162e-08,2.12400907182738e-08,2.2686835109526054e-09,1.6916009360807293e-08,4.789039909695681e-08,2.1033549425049497e-08,1.5379384601775687e-08,6.218943979539725e-09,4.591613853992228e-22,6.166784131891232e-09,5.975922527033186e-09,5.738784859985162e-09,2.1199785016678117e-08,4.788567095766371e-08,1.9981066574296315e-08,4.876821406915444e-08,4.650237349894741e-22,5.90220596938325e-09,1.560711584952991e-08,1.6126042619788657e-08,1.1191783803221358e-08,1.6543612251060553e-24,3.308722450212111e-24,0.0,1.0400262039910752e-46,8.271806125530277e-25,2.465190328815662e-32,4.930380657631324e-32,9.860761315262648e-32,3.944304526105059e-31,0.0,0.0,3.944304526105059e-31,0.0,2.465190328815662e-32,3.944304526105059e-31,2.465190328815662e-32,8.271806125530747e-25,3.308722450212111e-24,0.0,1.3552527156068805e-20,3.503246160812043e-46,0.0,4.930380657631324e-32,3.0814879110195774e-32,0.0,6.77927340424307e-32,6.162975822039155e-33,1.9721522630525295e-31,1.3552527156068805e-20,2.025314186719462e-46,6.162975822039155e-33,2.181955579466429e-08,1.316397665492105e-16,6.294834748021003e-16,9.87867258018184e-17,8.311171877124948e-16,1.1566517013309458e-14,3.9009530575830405e-15,8.27176892118203e-06,3.713245603490606e-16,4.014850908981471e-17,2.9844127989583806e-16,2.173398883739768e-29,5.967145150429617e-15,1.6394088918025323e-14,1.3827120461142238e-15,1.021343883292824e-29,4.70197740328915e-38,4.1359030627651384e-25,0.0,0.0,4.1359030627651384e-25,4.1359030627651384e-25,2.465190328815662e-32,9.860761315262648e-32,6.44132945351855e-09,2.0679515313825692e-25,0.0,0.0,0.0,0.0,1.5777218104420236e-30,2.0816918587073923e-16,3.729740631794105e-09,0.0,1.6543612251060553e-24,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,1.3864836409180982e-16,3.2503540783579244e-16,9.731050944469499e-09,6.203854594147708e-25,1.0339757656912846e-25,5.169878828456423e-26,2.0679515313825692e-25,3.101927297073854e-25,2.8079668652531844e-15,1.2630750448044948e-14,7.664332415595072e-15,2.9586935934105694e-09,0.0,5.169878828456423e-26,1.0339757656912846e-25,1.0339757656912846e-25,0.0,2.569459108675695e-06,4.17015338092938e-16,9.577371669892952e-17,2.2967319056743175e-16,1.0412588285285542e-09,0.0,4.70197740328915e-38,4.70197740328915e-38,4.70197740328915e-38,2.350988701644575e-38,3.944304526105059e-31,1.385619906050766e-29,5.967145150429604e-15,1.6394088918025316e-14,1.3827120461140514e-15,1.3777708679925398e-29,1.2518642690832029e-22
8,1.0764581203787337e-22,1.1733690772917304e-08,1.259302709040528e-08,2.6919338752908436e-08,2.7378192886426048e-08,3.5240889126512436e-09,6.66080658546605e-23,5.859877222068227e-09,6.58632086099469e-23,2.3572912765830076e-08,1.1018645754011008e-08,1.1173115649004236e-09,2.403442473083971e-08,2.648143295300492e-08,1.0884134077249663e-08,2.1246333580254915e-08,3.6352302405663e-09,9.425051946820026e-23,2.0896991422598626e-09,3.4487841823976204e-09,3.2709517521596663e-09,1.0859931153344628e-08,2.648876884884283e-08,7.532227156195872e-09,2.7114968085793262e-08,9.636597276609824e-23,3.39673430671702e-09,2.155014852356238e-08,2.2636827864377317e-08,4.229336813439376e-09,0.0,0.0,4.3790577010150533e-47,4.7895943604852146e-48,0.0,0.0,2.465190328815662e-32,2.465190328815662e-32,0.0,9.860761315262648e-32,0.0,0.0,2.465190328815662e-32,1.5407439555097887e-33,0.0,9.244463733058732e-33,2.0679515313825692e-25,0.0,2.0679515313825692e-25,4.743384504624082e-20,3.28429327576129e-47,2.465190328815662e-32,1.232595164407831e-32,0.0,0.0,6.933347799794049e-33,9.244463733058732e-33,0.0,6.776263578034403e-21,2.7369110631344083e-47,0.0,1.6356219539637327e-08,4.7841477381020446e-17,5.436558265605552e-16,6.734007689300808e-17,1.7651990155526454e-16,1.701026781629685e-15,1.727550831101169e-15,2.493009770550089e-06,9.102709906845137e-17,1.667513795151821e-17,1.6023081229395695e-17,2.794799685082292e-30,2.629150950155951e-15,2.490052904685392e-15,1.047787155312229e-15,1.1738173824887496e-30,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,3.0814879110195774e-33,3.228267893348004e-09,2.0679515313825692e-25,0.0,2.0679515313825692e-25,0.0,0.0,3.944304526105059e-31,5.671896721271599e-17,2.3400384771929245e-09,1.6543612251060553e-24,8.271806125530277e-25,0.0,1.6543612251060553e-24,1.6543612251060553e-24,0.0,7.31191260959126e-17,2.458524223075352e-16,1.4626863418215039e-08,1.0339757656912846e-25,0.0,7.754818242684634e-26,1.0339757656912846e-25,5.169878828456423e-26,3.8314803608640315e-16,1.9090304972387305e-15,3.387768338358377e-15,1.127576110221845e-09,3.877409121342317e-26,1.2924697071141057e-26,1.2924697071141057e-26,2.5849394142282115e-26,1.2924697071141057e-26,9.98616838272154e-06,1.0223404248183372e-16,6.056089248215856e-17,3.326127037353946e-17,2.8644940495461934e-10,1.4693679385278594e-39,4.408103815583578e-39,1.1754943508222875e-38,0.0,4.408103815583578e-39,0.0,1.7814179634724443e-30,2.6291509501559495e-15,2.4900529046853894e-15,1.0477871553122159e-15,1.9489947623750383e-30,1.9053100484753427e-23
9,6.477420209741275e-22,9.266538805370103e-09,1.0027353396283947e-08,8.454784053808158e-09,8.673021292038998e-09,1.1465943126054306e-09,4.602849292004573e-22,5.6656132640680895e-08,4.540903666085884e-22,2.0426436290424166e-08,8.541147485101838e-09,1.2888019547622658e-08,2.0873165279101843e-08,8.292409891461864e-09,8.431795579246287e-09,1.7884474120933725e-08,1.1721107539955039e-09,5.794397790847602e-22,1.8410235670831347e-08,1.0969217246990974e-09,1.0269180864606885e-09,8.331507819331689e-09,8.2975512428219e-09,7.14260033288874e-08,8.537443021710098e-09,5.98754631817626e-22,1.0774957851996318e-09,1.817916860766128e-08,1.9423358963254708e-08,4.0450436520382594e-08,0.0,1.6543612251060553e-24,8.758115402030107e-47,6.842277657836021e-47,6.617444900424222e-24,1.5407439555097887e-33,2.9582283945787943e-31,1.232595164407831e-32,0.0,3.944304526105059e-31,0.0,1.5777218104420236e-30,3.0814879110195774e-33,7.703719777548943e-34,7.888609052210118e-31,1.5407439555097887e-33,5.118180040171859e-24,0.0,1.550963648536927e-25,6.776263578034403e-21,0.0,2.465190328815662e-32,3.697785493223493e-32,0.0,0.0,3.0814879110195774e-33,3.0814879110195774e-33,9.860761315262648e-32,6.776263578034403e-21,3.28429327576129e-47,6.162975822039155e-33,7.626614894325333e-09,1.5359266407522415e-17,1.4309801959611994e-16,4.6823501789920735e-17,4.932564040916698e-16,1.0918652697155073e-14,1.164432170265576e-14,1.3726820014681182e-05,3.463592749193952e-17,1.0814504512807238e-17,4.904048660015476e-17,4.86192860563916e-30,1.7546098465191295e-14,1.6066660275540175e-14,7.08015590386358e-16,1.997410080568282e-30,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,6.162975822039155e-33,8.011868568650901e-32,1.5673083452433313e-09,0.0,1.0339757656912846e-25,0.0,2.0679515313825692e-25,2.0679515313825692e-25,7.888609052210118e-31,1.8535985781631827e-17,2.0450207714166245e-09,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,3.6892280780399006e-17,1.6595839901966271e-16,1.2396964778183678e-08,4.1359030627651384e-25,8.271806125530277e-25,0.0,0.0,2.0679515313825692e-25,1.4276283177278571e-15,1.2422193544159369e-14,2.254383641914794e-14,8.287106898913958e-09,9.693522803355793e-27,6.462348535570529e-27,3.2311742677852644e-27,0.0,3.2311742677852644e-27,2.4577816385836e-06,3.771098225126355e-17,2.150501956945054e-17,7.150958074215793e-17,9.557210160415783e-11,0.0,2.938735877055719e-39,0.0,0.0,0.0,7.888609052210118e-31,3.075770947858591e-30,1.754609846519129e-14,1.6066660275540168e-14,7.080155903858952e-16,2.9255781665496203e-30,1.846053872891497e-22
