,Y2Z3,Y3Z2,Y0Z5,Y5Z0,Y0Z1,Y1Z0,Y3Z1,Y1Z3,Y1Z5,Y5Z1,Y3Z0,Y0Z3,Y3Z4,Y4Z3,Y4Z1,Y1Z4,Y5Z2,Y2Z5,Y3Z5,Y5Z3,Y5Z4,Y4Z5,Y4Z2,Y2Z4,Y4Z0,Y0Z4,Y2Z1,Y1Z2,Y2Z0,Y0Z2,standard_y,Y0,X3Y1,X5Y1,X3Y0,X2Y3,X2Y1,X0Y3,Y5,X5Y4,X5Y0,X4Y5,X4Y1,X2Y4,X1Y5,X0Y5,X0Y4,X1Y4,X3Y2,X0Y2,X1Y2,X5Y2,X1Y0,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y3,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9998162341661195,0.9998162341661194,0.9863394516628234,0.9863394516628232,0.9652421415521231,0.9652421415521228,0.8794912681346713,0.8794912681346712,0.8573423824815248,0.8573423824815247,0.7359916197968756,0.7359916197968754,0.7081943329851277,0.7081943329851276,0.6813506644014146,0.6813506644014145,0.3380777572567,0.3380777572567,0.28058168584313725,0.28058168584313714,0.2633142571474607,0.2633142571474607,0.23971518216378862,0.23971518216378862,0.15801272476474815,0.15801272476474812,0.016880654207976242,0.016880654207976242,0.011654693792141124,0.011654693792141124,2.220446049250313e-16,1.6653345369377348e-16,1.6653345369377348e-16,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.0408340855860843e-17,8.673617379884035e-18,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0029604059533232347,0.002970060691861498,0.9863394516628232,0.9863394516628232,0.9652421415521228,0.9652421415521228,0.002612622555084658,0.8626655618944998,0.8573423824815247,0.8573423824815247,0.0021863415543770604,0.7243748630260948,0.002103766751049497,0.46925944416481125,0.6813506644014146,0.6813506644014143,0.05840938870864352,0.001001031360631629,0.0008334978043979964,0.05639559950693495,0.2633142571474607,0.2633142571474607,0.46617391792401053,0.0007097846865544437,0.1580127247647482,0.15801272476474815,4.9982774339489905e-05,0.8597477949096726,3.450896645541085e-05,0.7219412105702965,1.1084611960948676e-16,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,1.0842021724855044e-19,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1.1102230246251565e-16,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,1.3552527156068805e-20,2.710505431213761e-20,7.115076756936123e-20,1.866860615748478e-17,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,4.0657581468206416e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,6.776263578034403e-20,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02678043619009e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,9.955948797818668e-05,9.988418021316672e-05,0.0024277522939159593,0.0024198604303935574,0.0023758238802949073,0.11068929966682847,8.78634106151893e-05,0.8626654877387216,0.10475914431263111,0.0021033822617242243,4.558781271012347e-05,0.0017829588060224346,7.075041189026831e-05,0.4692583911093047,0.6813506644014145,0.6813506644014145,0.00014329710282821946,3.250826236155631e-05,4.5257371944852105e-05,0.0001383631906210036,0.0006460085831053559,0.10581565943330395,0.4661770289824564,2.3870307343758554e-05,0.10444478503779173,0.000388928734796939,1.680938188690882e-06,0.8597516584660585,3.2394950129513995e-05,0.0017769767562440344,6.954140496957806e-18,0.0,0.0,2.168404344971009e-19,1.3234889800848443e-23,0.0,1.6940658945086007e-21,0.0,0.0,1.0842021724855044e-19,0.0,2.168404344971009e-19,3.469446951953614e-18,0.0,1.0842021724855044e-19,6.938893903907228e-18,0.0,6.938893903907228e-18,5.551115123125783e-17,2.0679515313825692e-24,5.082197683525802e-21,1.6543612251060553e-24,1.2970192004831474e-20,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1633468134945781e-20,0.0,0.0,0.0,0.0,0.0,0.0
3,1.322351967909242e-05,1.7635758827577752e-09,0.00033211339266730696,0.0003310337958832935,8.189604573297107e-05,1.4419286273366115e-05,1.5513346718879324e-09,0.00011238038479969504,1.3647461860423679e-05,0.00030660636755828466,8.049064466986825e-10,8.004667247415756e-05,1.2491840032984262e-09,0.2098774107183492,0.21361769074085415,8.87603027414338e-05,0.0003054751808798647,4.391662989686472e-06,7.990774285141996e-10,0.00030573254125143166,8.837314365431154e-05,0.10581519126687197,0.21075111004003405,3.224729616009657e-06,0.1044455651958231,5.320495090990782e-05,1.3179060075067446e-05,0.00011200079761593151,4.376369153324444e-06,7.981193756411238e-05,2.795219065696848e-20,0.0,4.235164736271502e-22,4.963083675318166e-24,0.0,6.776263578034403e-21,2.5849394142282115e-26,0.0,2.710505431213761e-20,6.776263578034403e-21,0.0,2.710505431213761e-20,4.235164736271502e-22,1.0587911840678754e-22,4.963083675318166e-24,0.0,0.0,8.470329472543003e-22,0.0,4.1359030627651384e-25,2.5849394142282115e-26,0.0,5.587911999351142e-25,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.101927297073854e-25,8.470329472543003e-22,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.921126845716497e-25,0.0,0.0,0.0,0.0,0.0,0.0
4,8.239224521313043e-05,1.990471622832092e-09,0.0005463159749692909,0.000544540072573741,4.74822550470721e-05,2.0945993900674914e-08,3.456367812369162e-10,1.6324782326865532e-07,1.9824780517461212e-08,0.0003594622915495915,9.084630561173855e-10,4.4723673308502104e-05,3.3529628707739443e-10,0.0013504177286972887,0.0013744838145147106,1.289364353077343e-07,0.00035854201749344864,2.202675088569491e-05,9.018839009847771e-10,0.0003584958884410316,0.00035733673306000873,0.0006808485341041089,0.0013560393903770576,8.205832602201549e-05,0.0006720356651015731,4.67552171677029e-05,8.222165922292942e-05,1.626964207850342e-07,2.195004110350247e-05,4.4620190856280774e-05,1.0503704854320856e-19,3.3881317890172014e-21,0.0,9.693522803355793e-27,5.048709793414476e-29,8.470329472543003e-22,1.0097419586828951e-28,1.262177448353619e-29,0.0,5.293955920339377e-23,5.551115123125783e-17,0.0,2.117582368135751e-22,4.963083675318166e-24,3.2311742677852644e-27,5.551115123125783e-17,5.293955920339377e-23,2.117582368135751e-22,1.6940658945086007e-21,0.0,6.058451752097371e-28,0.0,4.310730416580219e-27,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.963083675318166e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048709793414476e-29,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,6.203854594147708e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.921308757221282e-27,0.0,0.0,0.0,0.0,0.0,0.0
5,1.08603712979342e-05,3.6578981622089083e-13,1.2231575590959886e-06,1.2115690143753364e-06,1.058729063171099e-07,1.3652186319839549e-11,6.371163887337871e-14,1.9424960770045175e-10,1.2933370842896402e-11,7.963969404631809e-07,1.6561955867636497e-13,9.982610687113557e-08,6.002233889432962e-14,1.3790810387324878e-05,9.278914878813066e-06,1.9399518298648146e-10,7.943526761653869e-07,2.8648063360213996e-06,1.6442515648087666e-13,7.942538211733537e-07,7.871105526259382e-07,2.331210708733378e-06,8.409026977076758e-06,1.079480352271763e-05,2.3010620979849646e-06,1.0267712522797318e-07,1.0837749236835569e-05,1.9415823026665207e-10,2.8548306991902705e-06,9.95944892381119e-08,8.470329472543003e-22,0.0,4.1359030627651384e-25,1.232595164407831e-32,2.407412430484045e-35,3.308722450212111e-24,4.930380657631324e-32,0.0,0.0,8.077935669463161e-28,5.551115123125783e-17,0.0,2.481541837659083e-24,3.308722450212111e-24,1.232595164407831e-32,0.0,2.4233807008389483e-27,4.1359030627651384e-25,3.308722450212111e-24,8.077935669463161e-28,2.465190328815662e-32,0.0,2.7521085164474183e-33,2.572380534812648e-06,3.0593630960133095e-12,0.0,1.0508584032314096e-19,2.2854420102158396e-17,0.0,8.150504764216669e-13,2.6913943289801585e-09,3.1435031775859642e-09,8.470329472543003e-22,3.912384702438975e-17,8.256175806679149e-10,2.9085609340247423e-09,4.497777416490602e-17,0.0,0.03235935051104391,6.0616537750661505e-12,3.8901400891405867e-20,5.438898887796136e-13,6.803184926765279e-17,0.0,0.0,2.6469779601696886e-23,0.0,0.0,2.407412430484045e-35,1.73120652817811e-07,5.293955920339377e-23,0.0,0.0,2.117582368135751e-22,5.293955920339377e-23,1.232595164407831e-32,1.6543612251060553e-24,3.2311742677852644e-27,5.548011678147464e-12,1.4385417362513963e-06,1.5777218104420236e-30,0.0,2.3665827156630354e-30,0.0,3.1554436208840472e-30,0.0,4.930380657631324e-32,1.3616441065189103e-19,4.943033508650794e-17,4.581855421779845e-14,1.0587911840678754e-22,2.117582368135751e-22,2.117582368135751e-22,1.0587911840678754e-22,3.1763735522036263e-22,4.0389678347315804e-28,2.0194839173657902e-28,2.8366986335426608e-12,2.6825924568777436e-09,3.143503177591476e-09,1.429363217193733e-06,0.0,6.058451752097371e-28,2.0194839173657902e-28,1.0097419586828951e-27,4.8467614016778965e-27,4.1359030627651384e-25,6.737388866005777e-17,8.256176272786215e-10,2.908560934024743e-09,4.694464098799136e-17,3.0434661944529444e-11,0.0,0.0,0.0,0.0,1.3234889800848443e-23,3.1112396730388895e-33,0.032359350511086515,8.168010661601143e-12,1.2470150940541133e-19,2.8713184618564263e-12,7.524684427184559e-17,1.2243424629516882e-07
6,1.4331410196561043e-05,2.4596312149818702e-11,2.0496528800809288e-05,8.115393581105125e-06,1.9891964623732498e-05,5.515377026487054e-09,3.5507731337634903e-12,5.743401151131548e-09,5.7134438060969486e-09,8.234670320518604e-06,2.850208959110859e-11,2.0100511781738435e-05,3.42505419022571e-12,1.5447836750642048e-05,2.939166490726849e-06,5.782507797480275e-09,8.254626113260531e-06,1.4062233087280727e-05,2.8437661665028805e-11,8.199577808475286e-06,7.819305534633995e-06,1.4777679474017959e-05,1.9666760443481342e-05,1.4121488922633617e-05,1.5549149482437634e-05,1.9943904790003515e-05,1.4226277167454907e-05,5.701545399298696e-09,1.395302930355384e-05,1.9836795956212214e-05,3.387926609451197e-21,1.6940658945086007e-21,8.271806125530277e-25,3.1554436208840472e-30,3.0814879110195774e-33,1.0587911840678754e-22,1.7256332301709633e-31,0.0,0.0,0.0,4.336808689942018e-19,4.1359030627651384e-25,2.6469779601696886e-23,1.6543612251060553e-24,0.0,8.673617379884035e-19,5.169878828456423e-26,1.3234889800848443e-23,1.0587911840678754e-22,2.5849394142282115e-26,4.437342591868191e-31,0.0,9.090389337507753e-31,1.3926927365787664e-05,1.3190419730860727e-10,2.541098841762901e-21,6.767677113336557e-16,3.1705224990172e-14,1.6155871338926322e-27,1.0535238533380313e-10,1.616231734336254e-08,1.934678868550958e-06,8.470329472543003e-22,1.0279799271329152e-13,4.842023898786896e-07,1.3570899540186587e-08,1.983295693319955e-14,2.0679515313825692e-25,7.64201373788002e-05,9.088241992809218e-10,3.833776913968183e-16,2.0004106442145747e-10,3.537023561550913e-14,4.235164736271502e-22,0.0,0.0,4.235164736271502e-22,4.235164736271502e-22,1.232595164407831e-32,5.479153277009718e-06,1.2705494208814505e-21,0.0,4.235164736271502e-22,1.6940658945086007e-21,1.6940658945086007e-21,7.888609052210118e-31,1.6543612251060553e-24,5.169878828456423e-26,7.529897143647246e-10,8.699766992279924e-06,0.0,0.0,3.2311742677852644e-27,1.6155871338926322e-27,1.6155871338926322e-27,0.0,1.1832913578315177e-30,1.907727768681012e-16,2.6345757339511562e-14,1.7968936861020355e-11,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,1.5881867761018131e-22,1.5881867761018131e-22,0.0,5.169878828456423e-26,1.0035355630216708e-10,1.6791884146783602e-08,1.9346788685494604e-06,8.779081841569556e-07,8.271806125530277e-25,1.2407709188295415e-24,8.271806125530277e-25,8.271806125530277e-25,1.2407709188295415e-24,0.0,1.0301995802745253e-13,4.842019498019483e-07,1.3570899540134144e-08,3.019133335015788e-14,8.153893269283727e-09,0.0,2.541098841762901e-21,8.470329472543003e-22,8.470329472543003e-22,8.470329472543003e-22,7.291570769450075e-31,7.642014661561714e-05,1.1105150402154006e-09,1.088085337641498e-16,1.1671693994405126e-10,6.158656858196919e-14,1.1592357759006834e-05
7,2.9420846696238113e-07,1.1688560015324026e-14,3.0587434332727723e-07,1.2578917450029385e-07,2.883122115345465e-07,1.4608649733691859e-12,6.442290321401753e-16,1.5297573248596307e-12,1.5196673455390879e-12,1.2747353171342606e-07,1.3399158881192388e-14,2.966436909471598e-07,3.880955258013065e-16,1.1380890611319167e-07,1.1721633996787773e-07,1.5233512344226037e-12,1.2730944964109982e-07,2.8507442303882873e-07,1.3106266223217767e-14,1.251672105922647e-07,1.1870643250322247e-07,9.115362817502641e-08,1.5690726327148498e-07,2.8612384690029046e-07,9.446272052448217e-08,2.905325959408186e-07,2.900456487457589e-07,1.5023978836468434e-12,2.84495499210447e-07,2.8905474741616346e-07,2.646983048322527e-23,2.6469779601696886e-23,2.0194839173657902e-28,0.0,0.0,1.6543612251060553e-24,2.256949153578792e-36,3.76158192263132e-37,0.0,0.0,0.0,0.0,0.0,0.0,2.407412430484045e-35,0.0,6.310887241768095e-30,2.0679515313825692e-25,3.308722450212111e-24,0.0,4.513898307157584e-36,0.0,1.0461899722318359e-36,1.4780956965491945e-08,7.24491811393939e-15,0.0,4.417151442583073e-21,2.458517541254666e-19,3.944304526105059e-31,6.819998176256765e-15,4.783828273708381e-12,4.213588715988049e-08,5.293955920339377e-23,5.930264333405323e-19,9.467499508756455e-09,3.765320821510388e-12,1.7504877293445345e-19,5.048709793414476e-29,6.230811629112442e-05,2.961665981286659e-15,2.287433571773399e-21,3.618662501229841e-14,1.1494359112250319e-19,0.0,0.0,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,1.88079096131566e-37,5.732548169045449e-08,0.0,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,0.0,0.0,3.1554436208840472e-30,8.673335798491579e-16,2.847546091175446e-08,7.888609052210118e-31,0.0,7.888609052210118e-31,1.1832913578315177e-30,1.5777218104420236e-30,0.0,0.0,1.6274401387178122e-21,1.6893677885945484e-19,6.047791978940579e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.283732163556159e-15,4.792191281099586e-12,4.2135887159880435e-08,6.359215891326242e-08,1.0097419586828951e-28,1.0097419586828951e-28,2.0194839173657902e-28,1.0097419586828951e-28,3.0292258760486853e-28,4.0389678347315804e-28,5.430748038609309e-19,9.46749950841552e-09,3.76532082151038e-12,1.8636738931768297e-19,3.009040140204349e-12,1.3234889800848443e-23,2.6469779601696886e-23,0.0,1.3234889800848443e-23,1.3234889800848443e-23,9.697828394283872e-37,9.762135682479906e-06,2.061267845422789e-14,1.1361957720675874e-21,7.799532022824237e-15,3.5728231535854104e-19,1.3460912946204724e-07
8,7.223367623730462e-08,6.183603785656128e-15,1.3901046576049572e-08,1.1984130805862556e-07,1.3968309962512816e-08,3.713157297207557e-12,1.4087824586883453e-15,4.2407469596475395e-12,4.1564799694916e-12,1.199824583331468e-07,7.0762621861001674e-15,1.484774450791193e-08,1.2300065452617984e-15,6.49438380359661e-08,1.0321372985794257e-07,4.217123745169868e-12,1.1854997784988177e-07,6.955048654678337e-08,6.990695818050005e-15,1.1501479237403491e-07,1.133460615897496e-07,4.656648903384942e-08,9.007031045544257e-08,6.953469451760887e-08,4.445477308281471e-08,1.3892509971299056e-08,7.080422491240767e-08,4.139954486346729e-12,6.767906262908661e-08,1.4342148150146982e-08,1.323488999806367e-23,0.0,2.0194839173657902e-28,6.018531076210112e-36,0.0,0.0,7.52316384526264e-37,9.4039548065783e-38,1.3234889800848443e-23,0.0,4.336808689942018e-19,0.0,8.271806125530277e-25,0.0,6.018531076210112e-36,0.0,0.0,1.2407709188295415e-24,1.9852334701272664e-23,1.9721522630525295e-31,3.76158192263132e-37,3.944304526105059e-31,4.502143363649361e-36,1.6195915983989243e-07,8.314432037088684e-15,1.3234889800848443e-23,1.697660567323797e-21,1.0484056158197757e-19,1.9721522630525295e-31,7.108033758201118e-15,1.0793454593667477e-12,9.47498541315306e-08,1.3234889800848443e-23,2.1188907887647348e-20,2.62516656638006e-08,8.797005686635791e-13,8.048235538674235e-20,0.0,2.7346365735743273e-06,8.63916252856015e-15,4.1130772237014354e-22,6.472922422857266e-15,1.2285834085230008e-18,0.0,1.3234889800848443e-23,0.0,1.3234889800848443e-23,1.3234889800848443e-23,0.0,1.603740054886152e-07,3.308722450212111e-24,1.6543612251060553e-24,0.0,0.0,0.0,0.0,2.0194839173657902e-28,0.0,5.65200953720947e-15,2.326799744340143e-08,0.0,3.944304526105059e-31,3.944304526105059e-31,0.0,0.0,0.0,2.256949153578792e-36,1.2485866741150917e-21,7.393388268762919e-20,5.42479066198173e-15,0.0,4.1359030627651384e-25,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,3.944304526105059e-31,7.971012797208668e-15,1.0751539295181505e-12,9.474985413153058e-08,2.486438274082028e-09,4.0389678347315804e-28,2.0194839173657902e-28,0.0,2.0194839173657902e-28,0.0,5.048709793414476e-29,2.5487448348557667e-20,2.6251665663902523e-08,8.797005686635704e-13,8.0850002204842e-20,4.916579444704594e-12,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,4.2905543805013494e-36,8.730855028886427e-06,2.3139377056574442e-14,3.755452226359926e-23,7.237420948890831e-15,1.2170988109124164e-18,1.9191482813806827e-08
9,4.5289200210007126e-09,4.4153474912972237e-16,2.712646135405933e-09,4.470271470181583e-09,2.5624755359226245e-09,3.261115283526e-13,1.8473468759188715e-16,3.66146525957203e-13,3.513775920682899e-13,4.4207764637316475e-09,5.045679118994493e-16,2.635448442638115e-09,1.8484004955170065e-16,3.3803967278225936e-09,9.714731035340585e-09,3.631422977350626e-13,4.4147453993030855e-09,4.4489160289700525e-09,5.063746598211494e-16,4.7029757592997225e-09,5.1414047008441315e-09,2.798165382909448e-09,5.151783373198547e-09,4.423921007625634e-09,3.622680138045077e-09,2.5429332759198296e-09,4.4444289176808245e-09,3.5263957286024335e-13,4.366364374141154e-09,2.5910596932174745e-09,6.204107029637378e-25,2.0679515313825692e-25,0.0,1.1754943508222875e-38,0.0,0.0,1.1754943508222875e-38,0.0,0.0,9.860761315262648e-32,0.0,9.860761315262648e-32,8.271806125530277e-25,3.944304526105059e-31,1.88079096131566e-37,2.168404344971009e-19,0.0,0.0,3.308722450212111e-24,6.162975822039155e-33,3.5264830524668625e-38,6.162975822039155e-33,1.097893356568785e-37,2.8637191349040845e-08,1.0734542105625775e-15,8.271806125530277e-25,1.4037440348360994e-23,6.044941598370292e-22,0.0,9.121919393815273e-17,1.7401574974804686e-14,1.5081162798903364e-08,0.0,6.694189586982802e-22,2.975189870799929e-09,7.995456684658203e-15,8.765653466903764e-22,2.524354896707238e-29,0.00026474932943875644,6.487682020323376e-16,7.878266432231861e-24,7.873165041793404e-17,2.1041983416710556e-20,0.0,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,2.204051907791789e-39,3.602511777050063e-08,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,4.70197740328915e-38,0.0,9.860761315262648e-32,1.4962071350009001e-15,8.616739873453983e-09,2.465190328815662e-32,0.0,2.465190328815662e-32,0.0,0.0,1.4693679385278594e-39,4.70197740328915e-38,8.055892012472504e-24,5.3672646814979905e-22,1.987922973235535e-17,2.0679515313825692e-25,1.0339757656912846e-25,0.0,0.0,0.0,1.232595164407831e-32,6.162975822039155e-33,9.899522050850703e-17,1.7376930988656872e-14,1.5081162798903364e-08,1.4061109817912617e-09,7.573064690121713e-29,0.0,2.524354896707238e-29,0.0,2.524354896707238e-29,3.944304526105059e-31,1.9925585232494777e-21,2.9751898707442983e-09,7.995456684658146e-15,9.685249471606099e-22,7.304057474971507e-13,0.0,2.5849394142282115e-26,2.5849394142282115e-26,2.5849394142282115e-26,2.5849394142282115e-26,1.075393660010077e-37,7.94784221606087e-07,2.9097692414424113e-16,6.626534727546273e-24,7.730542123935582e-17,2.0183368766855887e-20,1.7656714392879606e-10
