,Y2Z1,Y1Z2,Y2Z0,Y0Z2,Y0Z1,Y1Z0,Y3Z0,Y0Z3,Y4Z0,Y0Z4,Y5Z0,Y0Z5,Y4Z2,Y2Z4,Y5Z3,Y3Z5,Y5Z4,Y4Z5,Y3Z1,Y1Z3,Y2Z5,Y5Z2,Y5Z1,Y1Z5,Y3Z2,Y2Z3,Y4Z1,Y1Z4,Y4Z3,Y3Z4,standard_y,Y2,X4Y2,X3Y0,X2Y4,X4Y1,Y1,X5Y2,X5Y0,X4Y5,X3Y2,X3Y1,X2Y1,X2Y0,Y5,Y4,Y3,X5Y3,X4Y3,X3Y5,X3Y4,X2Y5,X2Y3,X1Y4,X1Y2,X0Y5,X0Y4,X1Y0,X5Y4,X0Y1,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y1,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1Y3,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y3,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9968169370978991,0.996816937097899,0.7849113560871109,0.7849113560871109,0.6771258268002704,0.6771258268002702,0.5204661572030815,0.5204661572030815,0.5114917024932601,0.5114917024932601,0.39353466292596484,0.39353466292596484,0.32736701494461073,0.32736701494461073,0.3254997424572813,0.3254997424572813,0.3110650705014215,0.3110650705014215,0.2893649457745707,0.2893649457745707,0.26791084434471335,0.26791084434471324,0.2610785745655583,0.2610785745655582,0.26043719360132905,0.26043719360132905,0.1482597931846947,0.14825979318469468,0.10764393786564574,0.10764393786564574,1.942890293094024e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,9.71445146547012e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00283408775400526,0.0028433305324251238,0.002231611020517472,0.10998939928608206,0.10523084517750936,0.0019314404340279871,0.5204661572030815,0.5204661572030815,0.5114917024932601,0.5114917024932601,0.39353466292596484,0.39353466292596484,0.1795897691644916,0.0009307494822679351,0.3254997424572813,0.32549974245728125,0.3110650705014215,0.3110650705014215,0.02977540809618437,0.0008253874454919824,0.000761707405707926,0.007682013231784357,0.005960289049793496,0.0007447031192963922,0.02798594387471874,0.0007404587879715508,0.17804172652340006,0.00042289770669463997,0.10764393786564572,0.10764393786564573,3.4640259410911867e-17,0.0,2.168404344971009e-19,1.3877787807814457e-17,1.0842021724855044e-19,5.421010862427522e-20,5.421010862427522e-20,2.168404344971009e-19,6.938893903907228e-18,0.0,2.168404344971009e-19,1.6263032587282567e-19,1.0408340855860843e-17,2.168404344971009e-19,1.3877787807814457e-17,4.163336342344337e-17,5.551115123125783e-17,2.7755575615628914e-17,1.3877787807814457e-17,2.7755575615628914e-17,1.3877787807814457e-17,5.421010862427522e-20,2.168404344971009e-19,0.0,3.469446951953614e-18,9.540979117872439e-18,0.0,3.049318610115481e-20,1.3877787807814457e-17,4.404571325722362e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-17,0.0,0.0,0.0,0.0,0.0,1.6263032587282567e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0028186373661294867,0.002827829756373674,0.0014854169227616816,2.389553995283252e-05,2.2861742959279182e-05,0.0011026916694201598,0.0001127053614861759,0.00011307292621012465,0.40419768394024236,0.00011112319741193925,0.06909302600067745,8.549665580809534e-05,0.1795897626275344,0.0009256753837345034,0.06675565308515258,7.04859780594546e-05,0.3110650705014215,0.3110650705014215,6.44777146840323e-06,0.0010937788747959506,0.000757554861437056,0.007682001720507842,0.005960300862313219,0.0007406432760437742,6.0602736897028484e-06,0.0014758082533163886,0.17804174095741568,0.00042059222635410637,0.40218505302025226,2.3309966961423855e-05,3.116403619538022e-17,2.168404344971009e-19,0.0,4.163336342344337e-17,0.0,5.421010862427522e-20,1.6263032587282567e-19,2.168404344971009e-19,3.3881317890172014e-21,0.0,0.0,1.3234889800848443e-23,2.7755575615628914e-17,2.6469779601696886e-23,3.469446951953614e-18,2.7755575615628914e-17,3.3881317890172014e-21,3.3881317890172014e-21,1.6940658945086007e-20,6.776263578034403e-21,3.3881317890172014e-21,1.0842021724855044e-19,1.3234889800848443e-23,5.421010862427522e-20,0.0,1.164670302474663e-21,6.776263578034403e-21,1.3234889800848443e-23,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-20,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0018510131378095015,0.0018570498260739535,0.0003695622441819554,6.872809263701333e-12,6.5756739166590534e-12,0.0004488364450760565,1.3311820201276792e-08,3.252236901647957e-11,0.0007788416691904964,3.196158226069327e-11,0.24096029752946502,2.4590800672290118e-11,0.00034604782146598653,0.00036441223405459124,0.24228976715853057,1.0487134939295021e-08,0.2421967806392995,0.0005993860179804965,9.593014407827366e-10,0.0004438783467602949,0.0004974900347173745,0.007681406172416201,0.00596091199554135,0.00048638411271395674,9.016886577482769e-10,0.0003652218802188387,0.0003430670553004288,0.0004455827631552648,0.0007749635928075438,1.3245998980464444e-08,6.85757915860009e-18,0.0,0.0,2.710505431213761e-20,2.6469779601696886e-22,0.0,0.0,0.0,1.2116903504194741e-27,3.3881317890172014e-21,0.0,3.2311742677852644e-27,5.204170427930421e-18,6.310887241768095e-30,6.938893903907228e-18,8.131516293641283e-20,4.1359030627651384e-25,0.0,0.0,0.0,8.077935669463161e-28,0.0,1.6155871338926322e-27,2.6469779601696886e-22,0.0,2.524354896707238e-28,0.0,2.7610131682735413e-30,0.0,2.7610131682735413e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-27,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0017326702024427544,0.0017383209402271615,0.000808592335615044,4.7190836571273024e-14,4.515074487675806e-14,0.0008724704336996172,8.80055688137618e-12,5.5010269235182426e-14,4.17599050559741e-05,2.1945840995693095e-13,0.0007026652125853006,5.373381590910601e-14,1.0514849295864597e-05,0.0008022703850413546,0.0007065420690757084,6.933136934159766e-12,0.000706268854067606,4.168371334721603e-05,6.342014128778445e-13,0.0008693045088745597,0.0008064413411533954,2.239956006615563e-05,1.7382762975871993e-05,0.000869434019143338,5.961156035704548e-13,0.0008060383364451474,1.0424283057997625e-05,0.0008679561299558707,4.1701078586591925e-05,8.75706678952494e-12,3.218725203668418e-19,3.2526065174565133e-19,6.617444900424222e-24,0.0,3.308722450212111e-24,0.0,2.710505431213761e-20,0.0,1.232595164407831e-32,0.0,0.0,7.888609052210118e-31,0.0,0.0,2.710505431213761e-20,3.3881317890172014e-21,4.0389678347315804e-28,2.0679515313825692e-25,9.860761315262648e-32,1.0339757656912846e-25,2.465190328815662e-32,0.0,0.0,0.0,6.938893903907228e-18,1.771855548836257e-32,0.0,6.722699212126695e-33,0.0,7.721775370777574e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5881867761018131e-22,7.888609052210118e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.8390554255037592e-07,3.053573739250934e-06,8.515274947025748e-08,4.252330138847644e-15,3.896272999081649e-15,1.5211387885003176e-06,1.919783046386269e-15,4.861738648823335e-15,8.61040424050816e-06,1.9444042967718198e-14,3.5791570275715035e-07,4.749530435912892e-15,2.163442934140946e-06,8.449044731596361e-08,3.5988935069416176e-07,1.5114366656355854e-15,3.597504652995778e-07,8.59466487689946e-06,1.420135186160294e-16,1.515620806661379e-06,8.49262015338578e-08,1.2654596508235313e-08,7.564594000997763e-09,1.5158464947308878e-06,1.2548487921998896e-16,8.488377462183624e-08,2.126387621029776e-06,1.5132833816602774e-06,8.598249939975027e-06,1.9103065921457954e-15,2.911675754214505e-22,0.0,2.0194839173657902e-28,0.0,1.0097419586828951e-28,2.4233807008389483e-27,1.5881867761018131e-22,0.0,7.52316384526264e-37,1.0097419586828951e-28,0.0,0.0,3.469446951953614e-18,3.76158192263132e-37,2.6469779601696886e-23,4.235164736271502e-22,1.9721522630525295e-31,5.169878828456423e-26,1.504632769052528e-36,7.754818242684634e-26,7.52316384526264e-37,6.310887241768095e-30,0.0,8.077935669463161e-28,3.469446951953614e-18,7.52316384526264e-37,5.169878828456423e-26,3.5264830524668625e-38,4.0389678347315804e-28,1.1372907844205632e-36,2.591855739321286e-07,1.085235043147293e-13,3.4328849246008775e-11,4.077241988032265e-21,1.176512059789642e-14,3.166331995507242e-13,9.683120580575703e-23,1.92186798131116e-13,5.825038393206406e-12,1.6021211267030059e-21,0.00014406319435852075,3.7352982899529656e-21,3.67307139442838e-11,3.410839180926571e-13,1.1814068872040123e-21,2.011840787877791e-20,0.0,4.1359030627651384e-25,8.271806125530277e-25,0.0,0.0,4.1359030627651384e-25,1.0097419586828951e-28,8.963337496390884e-09,1.5881867761018131e-22,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,1.2924697071141057e-26,3.642579503056072e-13,6.559667377194318e-07,6.162975822039155e-33,6.162975822039155e-33,0.0,0.0,2.465190328815662e-32,3.4328849246095965e-11,4.3222668194228065e-21,1.2962984251625751e-16,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,4.963083675318166e-24,4.963083675318166e-24,3.203383688698126e-14,4.800599555814325e-13,1.406560602711035e-22,2.245878028100198e-08,2.6469779601696886e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,0.0,5.048709793414476e-29,0.0,5.420210194155829e-13,7.517984854188279e-12,2.4072260567699728e-21,0.00014406319436013676,3.832857222647543e-07,1.232595164407831e-32,2.465190328815662e-32,0.0,0.0,0.0,0.0,7.52316384526264e-37,4.2509877149517606e-21,3.673071394665533e-11,3.410839180926571e-13,1.2907244321895341e-21,2.2315243011927816e-20,1.132432448267149e-15
6,1.2443299838524646e-09,2.216133990179179e-07,7.893046431804235e-10,1.8437533002388144e-16,3.2834342458782654e-16,2.0969837524659327e-07,1.1059119579423202e-14,8.737806621217338e-16,3.623746823424928e-08,1.6328284440749234e-15,2.1951663935806418e-07,7.999277725555634e-16,4.452542303440694e-08,3.3545972491265956e-10,2.210081972228733e-07,1.820134332405177e-14,2.264976851443927e-07,3.563713602113103e-08,1.8748873242606286e-14,2.066727206684565e-07,8.856300326972045e-11,2.143737473257951e-07,2.196924166193724e-07,2.0751476092203924e-07,1.8701135547240427e-14,3.705267079072269e-10,4.266492179153738e-08,2.064037216540414e-07,3.580108571632527e-08,1.0979050517787515e-14,2.3264456256471907e-23,1.0339757656912846e-25,0.0,5.048709793414476e-29,0.0,6.310887241768095e-30,1.3234889800848443e-23,1.262177448353619e-29,3.009265538105056e-36,1.262177448353619e-29,1.504632769052528e-36,1.222514124855179e-36,2.0328790734103208e-20,0.0,0.0,9.926167350636332e-24,1.5777218104420236e-30,0.0,6.018531076210112e-36,0.0,1.2037062152420224e-35,1.262177448353619e-29,1.504632769052528e-36,6.310887241768095e-30,0.0,0.0,0.0,3.1591410678348977e-38,5.048709793414476e-29,2.005687236090528e-37,7.148112231506545e-07,7.181556540984239e-13,1.1434923930635107e-11,2.8028445352154847e-19,3.6280387279804647e-13,4.97795017969639e-14,1.7464188398876053e-21,2.0775516990774714e-13,3.443227540994309e-14,3.1603692369717763e-21,5.327762179216103e-08,7.88249872956919e-20,3.044497771121995e-08,1.6257976607155118e-12,1.1947511069972535e-20,1.1463821220188693e-21,4.930380657631324e-32,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,1.4791141972893971e-31,6.747475523451331e-07,1.2924697071141057e-26,2.5849394142282115e-26,0.0,0.0,0.0,0.0,6.988665817712954e-14,2.919465680837616e-10,0.0,1.5777218104420236e-30,3.1554436208840472e-30,1.5777218104420236e-30,1.5777218104420236e-30,1.1434923901798532e-11,3.2165004934183323e-19,2.1509635214703525e-14,2.5849394142282115e-26,1.2924697071141057e-26,6.462348535570529e-27,1.2924697071141057e-26,1.2924697071141057e-26,3.182292897782894e-13,3.925189765269855e-14,4.727701996663903e-21,2.2136270925973816e-10,0.0,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,9.4039548065783e-38,3.7747416825454283e-13,3.617485563774359e-14,9.379328873537467e-22,5.3277621790898774e-08,3.9550382356978134e-08,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,7.52316384526264e-37,3.9660219560697916e-20,3.044497771121033e-08,1.6257976607154989e-12,5.072375294720823e-21,8.425067525275471e-22,6.808350377285503e-16
7,7.364017254333779e-10,1.4203867373283843e-08,3.913189811875586e-10,4.6357269817878033e-10,5.431536716282525e-10,2.112011131444315e-08,8.402659574538588e-10,5.600033201107128e-10,3.9584760760517547e-10,5.585474284338281e-10,1.5356599229559482e-09,4.666314305127045e-10,1.8483453857983615e-10,3.8895927777290405e-10,1.5998294206133182e-09,8.398626614990591e-10,1.662087464360252e-09,4.11113579344116e-10,7.907793672043436e-10,2.0589257194705186e-08,3.0966317272112007e-10,1.484775425171887e-09,1.5514186448603898e-09,2.050811871946122e-08,8.250845990630477e-10,3.876818543045734e-10,2.0314234879057246e-10,2.0561631550883373e-08,3.7851674398829843e-10,7.990118070276287e-10,3.580141088706073e-24,5.169878828456423e-26,4.930380657631324e-32,0.0,4.930380657631324e-32,6.162975822039155e-32,3.308722450212111e-24,7.395570986446986e-32,2.465190328815662e-32,4.930380657631324e-32,1.232595164407831e-32,5.546678239835239e-32,6.776263578034403e-21,9.860761315262648e-32,1.0339757656912846e-25,1.2924697071141057e-26,1.0339757656912846e-25,4.0389678347315804e-28,0.0,4.0389678347315804e-28,1.8488927466117464e-32,4.930380657631324e-32,0.0,4.930380657631324e-32,4.743384504624082e-20,0.0,2.0679515313825692e-25,1.1065069383612291e-32,3.0814879110195774e-33,2.9120662612242627e-32,7.651301566354284e-08,1.3359915229464649e-16,9.14465316580087e-13,4.859982245416325e-17,1.5455310341410495e-16,9.363135155238153e-16,5.043455956515735e-18,5.153339642536446e-16,1.63527184169745e-15,4.1058145743645646e-16,1.6114062698860284e-06,7.581689820594189e-16,2.574565603220198e-09,4.1150199417987734e-16,9.896825194422314e-17,2.8984445371076524e-16,0.0,0.0,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,2.619264724366641e-32,9.742253879001172e-09,1.6543612251060553e-24,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,1.0339757656912846e-25,9.390346442012411e-17,1.46813480001452e-08,0.0,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,9.145510133242885e-13,5.1990056156364686e-17,1.1667256315170848e-08,8.271806125530277e-25,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,3.500604086521988e-16,6.058258857111635e-16,9.321238287863602e-18,8.888564203961564e-09,2.481541837659083e-24,1.6543612251060553e-24,0.0,1.6543612251060553e-24,2.481541837659083e-24,0.0,7.395570986446986e-32,3.8468486610451845e-16,1.4344866384887022e-15,1.9056615981021896e-16,1.6114062701805464e-06,2.265773322378441e-08,1.6543612251060553e-24,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,2.481541837659083e-24,2.465190328815662e-32,0.0,7.112837311635396e-16,2.574565601700342e-09,4.153115259245041e-16,1.0025821886522652e-16,1.9953226435667905e-16,8.875860041479635e-09
8,1.7611478131790973e-09,3.724289373489597e-08,1.3968273156473906e-09,1.3540251941727542e-09,1.6655370523967371e-09,4.06494552660846e-08,2.4751687336528e-09,1.7183710091590357e-09,4.1671673196880274e-09,1.7136111346005268e-09,8.199007298886407e-09,1.3524554725444934e-09,4.233727333198803e-09,1.4145913208514119e-09,8.766110312491758e-09,2.471412927854311e-09,9.141567965561883e-09,4.130887212323786e-09,2.2911742921901955e-09,3.898650364364526e-08,1.0813474888254833e-09,7.741346388547897e-09,8.370695778452747e-09,3.929564096244758e-08,2.427884546073866e-09,1.3855014950743722e-09,4.096816506579672e-09,3.881488723121109e-08,3.99145808143761e-09,2.3083592928012625e-09,3.1019272970738538e-24,1.0339757656912846e-25,4.930380657631324e-32,9.860761315262648e-32,4.930380657631324e-32,4.930380657631324e-32,0.0,9.860761315262648e-32,0.0,9.860761315262648e-32,0.0,0.0,3.3881317890172014e-20,1.4791141972893971e-31,2.481541837659083e-24,4.1359030627651384e-25,2.0679515313825692e-25,0.0,1.9721522630525295e-31,1.2924697071141057e-26,2.9582283945787943e-31,3.944304526105059e-31,0.0,0.0,0.0,0.0,0.0,2.7221816057698337e-32,9.860761315262648e-32,5.299316612603004e-32,6.295874699419451e-08,6.711186162381044e-16,1.98609730412829e-11,2.249390921586963e-16,2.4831826550039062e-15,4.3995472135122527e-16,3.1240677526765205e-17,1.5249326805646061e-15,3.8927608640185257e-16,1.2616071509586858e-15,2.8648935670490783e-06,5.74647526178363e-16,5.8104890347570786e-08,9.779400449518723e-16,4.1924884370714895e-16,5.870713549650742e-16,1.0339757656912846e-25,0.0,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,2.465190328815662e-31,2.8222536150895847e-08,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,6.965458735662118e-16,2.0909627894090382e-08,3.308722450212111e-24,0.0,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.9861697041370392e-11,2.182122658190261e-16,1.704650469101245e-08,8.271806125530277e-25,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,2.77900813000145e-15,3.5859131959827834e-16,3.221441332431257e-17,1.2895560671292233e-08,1.6543612251060553e-24,0.0,1.6543612251060553e-24,2.481541837659083e-24,8.271806125530277e-25,0.0,0.0,3.4230511743335585e-15,2.9579140499657587e-18,7.515180158958405e-16,1.6321438312369467e-06,2.7275592085167778e-08,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,3.308722450212111e-24,9.860761315262648e-32,9.860761315262648e-32,1.8369599754955648e-16,5.810489031354487e-08,9.975379871082288e-16,4.2041315075415954e-16,2.2759193163747005e-16,1.305399780352752e-08
9,9.894552257132224e-10,4.445502994521498e-08,7.16911405786194e-10,6.390247430290551e-10,8.202767555048791e-10,4.5620760191443255e-08,1.1755196594096468e-09,8.466701591032221e-10,1.4271319842916752e-09,8.440981561303839e-10,1.1262598053049383e-10,6.316602007475872e-10,1.3267081537626811e-09,6.851875336790115e-10,1.5584159166764505e-10,1.1723940271501091e-09,1.7612909733614085e-10,1.4213384744116425e-09,1.070642116447214e-09,4.33024604944913e-08,4.3141641947946886e-10,1.2623071513562755e-10,1.295259272632862e-10,4.360253794097197e-08,1.151805695043383e-09,6.634101230856298e-10,1.2794007963802028e-09,4.294872117764697e-08,1.3441151125463564e-09,1.0753458685084695e-09,1.2536956159006826e-24,0.0,4.930380657631324e-32,0.0,0.0,2.465190328815662e-32,1.6543612251060553e-24,9.244463733058732e-33,7.703719777548943e-33,6.162975822039155e-33,3.0814879110195774e-33,3.697785493223493e-32,2.710505431213761e-20,0.0,1.2924697071141057e-26,0.0,4.1359030627651384e-25,1.2924697071141057e-26,3.0814879110195774e-33,6.462348535570529e-27,6.162975822039155e-33,1.8488927466117464e-32,0.0,1.8488927466117464e-32,2.0328790734103208e-20,9.244463733058732e-33,3.308722450212111e-24,7.23728361914266e-33,7.703719777548943e-34,8.459045427613312e-33,1.5023608944096852e-08,4.246903151666114e-18,5.155544908855804e-12,2.2890777689126166e-17,2.0117634852779957e-16,6.580580711783431e-17,4.531647379255673e-18,3.8097724001664924e-16,8.472983487913985e-16,3.747427514757665e-16,2.055383168580226e-06,1.705455665269525e-16,2.602277150482642e-08,4.2895198581332996e-17,6.051323199034505e-17,2.1026858146891735e-16,0.0,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,1.5407439555097887e-32,2.8317764671325185e-09,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,0.0,1.122225364292594e-17,6.57635096486555e-09,4.1359030627651384e-25,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,5.155560537603157e-12,2.3150139968284036e-17,5.273262739439785e-09,0.0,4.1359030627651384e-25,0.0,4.1359030627651384e-25,4.1359030627651384e-25,1.486322925482177e-16,5.705965426740159e-17,5.334436491584824e-18,3.9191817406797965e-09,1.2407709188295415e-24,1.2407709188295415e-24,8.271806125530277e-25,4.1359030627651384e-25,8.271806125530277e-25,6.162975822039155e-33,2.465190328815662e-32,1.852662472315035e-16,6.956040079236005e-16,1.805695132586728e-16,3.427104922353865e-06,7.639194441462199e-09,0.0,8.271806125530277e-25,0.0,4.1359030627651384e-25,0.0,3.0814879110195774e-33,3.0814879110195774e-33,1.6322843071608962e-16,2.602277150806229e-08,4.624877383860985e-17,6.101069887741758e-17,5.13510860532942e-17,4.0622314734414e-09
