,Gate-Error Probability
Seed 23,0.0017265726612255834
Seed 27,0.0009190945468532161
Seed 48,0.001120915085207431
Seed 4,0.0009189354860891093
Seed 26,0.0011209922993340917
Seed 84,0.0011208606333566245
Seed 57,0.0017265642487661035
Seed 78,0.0
Seed 11,0.0013227339095152296
Seed 76,0.0011208674790634055
Seed 98,0.0013226057315739467
Seed 83,0.0011209031230711205
Seed 66,0.001120926267746613
Seed 62,0.0015245737128838492
Seed 60,0.0011207863792406913
Seed 67,0.0005152098055088482
Seed 59,0.00011123339014990892
Seed 13,0.0003134530050802472
Seed 8,0.0009190863863237791
Seed 31,0.0011208929882838455
Seed 51,0.00011129324586778869
Seed 50,0.0023321966504479042
Seed 96,0.0007168998684806203
Seed 82,0.0025341964440768264
Seed 37,0.0009190452201872843
Seed 10,0.001322818294565951
Seed 71,0.00071728426625703
Seed 29,0.0019283730418454157
Seed 41,0.000716996296627641
Seed 69,0.00031348443832455823
Seed 45,0.0
Seed 15,0.0009189646096181284
Seed 97,0.0005152496076463712
Seed 56,0.0011207516602260228
Seed 77,0.0005151620307512839
Seed 43,5.001022149130512e-06
Seed 95,0.0017264744698613325
Seed 64,0.0
Seed 44,0.0009189640727066189
Seed 53,0.0011209130843050164
Seed 93,0.0005153496909934545
Seed 54,0.0
Seed 7,0.002332283633183876
Seed 35,0.0007168801625467544
Seed 20,0.0011207868058401866
Seed 80,0.00031337295471421385
Seed 1,0.0007171627266160086
Seed 73,0.0011209027048083894
Seed 90,0.0003133700530777503
Seed 88,0.0003135711933966406
Seed 91,0.0011208406136762282
Seed 22,0.0013227119021119215
Seed 39,0.0017265641954161077
Seed 25,0.0
Seed 74,0.0033418382946383664
Seed 30,0.000717278319969031
Seed 49,0.000717094082707852
Seed 34,0.0013227720248724355
Seed 52,0.0013226053523812784
Seed 2,0.0007171982274951255
Seed 18,0.0015246591520281117
Seed 63,0.0003134386246834653
Seed 47,0.000111281715433898
Seed 65,0.0009189746607602261
Seed 28,0.0
Seed 19,0.0019284245443143598
Seed 12,0.0
Seed 100,0.001322705886863727
Seed 6,0.000918996293148161
Seed 9,0.0
Seed 16,0.0007171531449213014
Seed 87,0.0019284580178284836
Seed 55,0.0011209369840422556
Seed 85,0.000716931083341624
Seed 94,0.0005155996063873595
Seed 17,0.0005152347994656227
Seed 36,0.000515187531467188
Seed 14,0.0011208866932097053
Seed 86,0.0003134669674977034
Seed 5,0.0033417802615529463
Seed 75,0.00011127166037809917
Seed 81,0.0005152249701087038
Seed 40,5.001630699423946e-06
Seed 46,0.0005152119626893931
Seed 92,0.0015246784540708415
Seed 99,0.0
Seed 24,0.0007170714117521754
Seed 72,0.0007169634129592548
Seed 33,0.0011207881184602307
Seed 79,0.0013226384550971493
Seed 70,0.0013226634154224546
Seed 61,0.0001112069482359726
Seed 32,0.0005151094855611416
Seed 3,0.0015247460759344844
Seed 58,0.0021303034347527573
Seed 38,0.0007168793898472013
Seed 42,0.0
Seed 89,0.0
Seed 68,0.0015246953688654503
Seed 21,0.0007171272599257749
