Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.6903425266196234,-9.887083652820151e-18,
1,0.7845415352521166,0.30420389213981985,Y0Z2,0.7850677038083734,-0.0029556673711966046
2,0.8733535420369211,0.5910111369813149,Y1Z5,0.7849723191228619,-0.006522906988581996
3,0.9576648671632728,0.8632839944905071,Y3Z4,0.7853654799885917,-0.0007218559246881234
4,0.9534188852992457,0.8495721282220268,standard_x,-0.001461508111255363,-0.14278613498069123
5,0.9663494709913079,0.8913298340862051,Y0Y2,1.508135361574555,5.23212586585965
6,0.965992383033237,0.8901766632804988,X3X4,-0.9091794637190393,5.170265242364111
7,0.9702549208506039,0.9039419949252837,X1X5,1.4855707857565115,2.946012791275359
8,0.9660611856298881,0.8903988526431518,X0X2,0.8418772487347334,3.19778601109515
9,0.9627921517907503,0.8798419175772828,X1X5,0.6344488544505433,10.57966403957815
10,0.9593481693707429,0.8687200079963152,Y0Y2,0.10376556268197501,-3.321283520008411
11,0.9549924606504736,0.8546537925979906,X3X4,0.05410512427992648,2.5241423493251856
12,0.9506568579499074,0.8406525070703509,Y3Y4,0.05274426193632781,0.3471780549582334
