,Y1Z5,Y5Z1,Y0Z5,Y5Z0,Y2Z3,Y3Z2,Y4Z5,Y5Z4,Y1Z3,Y3Z1,Y0Z3,Y3Z0,Y2Z5,Y5Z2,Y0Z1,Y1Z0,Y3Z5,Y5Z3,Y4Z0,Y0Z4,Y4Z3,Y3Z4,Y2Z1,Y1Z2,Y4Z1,Y1Z4,Y2Z0,Y0Z2,standard_x,Y4Z2,Y2Z4,X3X5,Y3Y5,X2X5,X0X5,X1X5,X5,X0X1,X1X2,Y0Y1,X0X2,X3X4,X0X3,X1X3,Y1Y2,Y0Y2,X1X4,X4X5,X0X4,Y0Y5,Y1Y4,Y1Y5,Y1Y3,X3,Y0Y3,X2X4,Y0Y4,X2X3,X1,X0,Y3Y4,Y2Y5,Y2Y4,X2,Y4Y5,Y2Y3,X4,X2Y3,X4Y1,X2Y5,X2Y0,X1Y5,Y4,Y0,X5Y1,X4Y3,X3Y0,X0Y5,X0Y4,X1Y0,X5Y2,X4Y2,X3Y4,X3Y2,X2Y4,X2Y1,X1Y4,X0Y2,X0Y1,standard_y,Y2,X1Y2,X5Z4,X2Z1,X1Z0,X0Z1,X1Z4,X5Z3,X5Z2,X4Z1,X4Z0,X3Z5,X3Z2,X3Z0,X2Z0,X1Z5,X1Z3,X0Z5,X0Z4,X0Z3,X2Z5,X2Z3,X1Z2,X4Z3,X4Z5,X3Z4,X2Z4,X4Z2,Y5,Y3,Y1,X5Z1,X5Z0,X5Y4,X5Y3,X5Y0,X4Y5,X4Y0,X3Z1,X3Y5,X3Y1,X1Y3,X0Z2,X0Y3
0,0.965905029332258,0.9657107054486113,0.9381551148995415,0.9379546914229561,0.8735111487112648,0.8733921088127721,0.850256840388838,0.8499610632119303,0.7618144916506595,0.7617824479874723,0.7113911859657929,0.7113524032785651,0.6492219977819949,0.6490302242491379,0.548026633500786,0.5480198078895491,0.5114480902362843,0.5113667019509569,0.3022119720674602,0.30217139610958016,0.21802091596202952,0.21797975928739904,0.1926829035310053,0.19266474845950726,0.16561961770233372,0.1655953184908966,0.131866946205264,0.13185616363112193,0.11205389463749271,0.10750515775889008,0.10749951380298506,0.04854352692276581,0.04311214994865453,0.03627172774048383,0.032545534851830586,0.0323186428618398,0.03219715145174826,0.030733884259094766,0.030550066685873414,0.030477119221865027,0.030114782286945252,0.029647470955080604,0.029422559533509016,0.028766465861880787,0.027655502125921,0.027374339140905993,0.0272461175566462,0.0267467596331998,0.02513845088586649,0.024718355394689,0.023476160601691422,0.023397182300437126,0.02177050445863639,0.021592005866115732,0.021572255602306543,0.021284572327435167,0.021156512089404993,0.0188371639340163,0.01878866839583694,0.017958570976847783,0.017400391746830224,0.016960998981826444,0.016285521078350393,0.01250846822042795,0.012497343017472958,0.01192485571379308,0.009009029726516047,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.8297676701871666e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.721347452938616e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,9.75781955236954e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,4.336808689942018e-19,4.336808689942018e-19,2.710505431213761e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,8.131516293641283e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0018833948747176553,0.0018746868524999014,0.3901358586757071,0.0018233952894871125,0.8735515425018137,0.8735044536259644,0.6846414215028926,0.0016546320494880678,0.0014825367424075534,0.25033542247771073,0.7115074089984685,0.7114459135357605,0.45654670946364073,0.0012622675961944984,0.3901325377250632,0.0010648185501160522,0.2503326726217794,0.0009857040477435266,0.30222778018071383,0.3022220592655369,0.21803243789094068,0.21800946622575423,0.45654464264814276,0.00037380438106986434,0.6846390811867451,0.00032126741911277717,0.13187410291779594,0.13187839246832062,0.033259499202016755,0.10751087132879308,0.1075053393377086,0.0013314945492490593,0.001198330704312872,0.0011579399311207011,0.0010831648442676815,0.00831873252736309,0.001198018681713041,0.0011900244634012423,0.0011219559936429258,0.0011683288573504876,0.01622975501024211,0.018050590204190843,0.01071883690260696,0.0009673839664356004,0.000901008335741558,0.015567973664287756,0.0011296740601468317,0.001126620870840574,0.011209876102667483,0.0009533254304200322,0.0007659373256524988,0.008316383243225044,0.0010280382948499652,0.01315442216350892,0.001492782307590232,0.014994072015921147,0.008019097575992095,0.008134041877835289,0.0010528597796556098,0.0071424326167877,0.002342862859868849,0.0006415827922809298,0.010159040066722445,0.0094174302332312,0.0003870759413183064,0.00010555632891783885,0.005796092649857589,2.7755575615628914e-17,1.6263032587282567e-19,0.0,0.0,4.163336342344337e-17,0.0,2.7755575615628914e-17,1.3877787807814457e-17,5.551115123125783e-17,0.0,2.168404344971009e-19,5.551115123125783e-17,8.205631676526035e-22,2.710505431213761e-20,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.0,0.0,1.0842021724855044e-19,0.0,5.338954545662262e-20,1.1118493278838848e-16,2.7755575615628914e-17,8.131516293641283e-20,5.421010862427522e-20,0.0,0.0,4.336808689942018e-19,3.3881317890172014e-21,5.421010862427522e-20,5.421010862427522e-20,4.336808689942018e-19,4.336808689942018e-19,3.469446951953614e-18,4.336808689942018e-19,1.734723475976807e-18,0.0,5.421010862427522e-20,2.710505431213761e-20,0.0,2.168404344971009e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,1.6940658945086007e-20,2.168404344971009e-19,4.336808689942018e-19,3.2526065174565133e-19,0.0,2.168404344971009e-19,1.0842021724855044e-19,5.551115123125783e-17,5.421010862427522e-20,0.0,1.6263032587282567e-19,0.0,1.0842021724855044e-19,0.0,0.0,5.551115123125783e-17,0.0,3.2526065174565133e-19,1.0842021724855044e-19,5.421010862427522e-20,5.421010862427522e-20,2.7755575615628914e-17
2,8.795219987185968e-05,6.262318026031903e-05,0.39007063933656383,6.565005145448577e-05,0.00035393935386987806,0.0003344916325515154,0.6845877146411203,6.475186593102536e-05,2.5197662237408e-05,0.00015804253249036,0.5795505555075898,0.0002573245569315267,0.0001467124577922889,8.516911722117315e-05,0.3900657061019064,2.9939533341021252e-05,0.0001581328279179644,8.453792326695083e-05,0.30217954924085977,0.30217149101262825,0.11049696249501234,6.65223746064747e-05,0.00014572355756055624,2.1806182542318847e-05,0.684583666779439,6.476902084376007e-06,3.9351227575404014e-05,0.5795182936889982,0.03961766090154627,0.11047112265593068,3.198990140979431e-05,0.0005057626968763395,0.00065896899782398,0.0002536192799886148,0.002363485698858033,0.016517810861103974,0.00276203497159303,0.0035502489476979676,0.0005066678354839085,0.0035853687740080367,0.00786843245288256,0.00531186498197224,0.004845573884236591,0.0002533928744072535,0.0006597350272036875,0.0069185028910848205,0.0033641649357213045,0.002550076932157994,0.01785577897409494,0.002883257401830444,0.0022912342603247757,0.01651744790730464,0.0006596281505657701,0.005393651306778251,0.0032920288389715734,0.007406857019390027,0.012722743603327223,0.011864568818609587,0.003152901922231695,0.010881185565383568,0.004106732894125192,0.0006590341085291413,0.004801428587256856,0.007318899447231181,0.0010603599362026747,0.01186352133350515,0.010108987688328542,5.551115123125783e-17,4.235164736271502e-22,6.776263578034403e-21,1.6940658945086007e-21,4.163336342344337e-17,0.0,0.0,1.3877787807814457e-17,1.3552527156068805e-20,0.0,6.776263578034403e-21,0.0,1.7983423504785667e-21,0.0,3.3881317890172014e-21,2.710505431213761e-20,2.220446049250313e-16,0.0,3.3881317890172014e-21,0.0,2.541098841762901e-21,2.172124589775966e-21,5.082197683525802e-21,2.710505431213761e-20,3.3881317890172014e-21,1.0842021724855044e-19,0.0,1.0842021724855044e-19,8.673617379884035e-19,4.0657581468206416e-20,1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,8.673617379884035e-19,2.168404344971009e-19,2.168404344971009e-19,8.673617379884035e-19,0.0,1.0842021724855044e-19,0.0,4.336808689942018e-19,0.0,8.673617379884035e-19,0.0,5.421010862427522e-20,2.168404344971009e-19,1.734723475976807e-18,0.0,2.710505431213761e-19,4.336808689942018e-19,0.0,2.710505431213761e-20,5.082197683525802e-21,2.168404344971009e-19,2.168404344971009e-19,3.3881317890172014e-21,6.776263578034403e-21,0.0,0.0,5.551115123125783e-17,4.336808689942018e-19,6.776263578034403e-21,3.3881317890172014e-21,3.3881317890172014e-21,8.673617379884035e-19,1.3552527156068805e-20
3,2.3577047856878055e-05,6.20848125435098e-06,0.08789890701867187,5.09304676542779e-06,1.888529856147016e-05,1.742655740740549e-05,0.0032982789106869555,6.40462846810967e-06,1.9424593811616665e-05,8.5006271827232e-06,0.579622268871824,1.4139199129246273e-05,7.948662755727485e-06,1.7062063054809194e-06,0.08789877069762339,1.8176751524235465e-05,8.501523012062145e-06,1.7058921057407145e-06,0.001470768438999992,0.08788330477875553,0.0005389461595929736,8.51643192292667e-06,7.979593523170018e-06,1.942621197338928e-05,0.0032983015839716462,2.395244493733826e-05,2.742368161433092e-06,0.5796222656092881,0.010085943923627931,0.0005389461709035643,7.932411825312175e-06,4.81066787791379e-07,6.154681059472815e-07,2.440277697318166e-07,9.965588524565885e-05,0.003247444309791182,9.930911143736881e-05,0.0005251171884875776,8.48121093337219e-05,0.0005045334723975689,1.1800452472508397e-05,6.390941640773168e-07,4.983555860605299e-05,3.1591268301433536e-05,0.00010894124107983975,2.0770218801549788e-05,9.875740587903672e-05,0.0003150074915807704,0.003838673375678482,4.498434507068323e-05,9.967687070101045e-05,0.0032474447596411984,0.00010897716532470069,5.25512610530248e-05,3.363664151399376e-06,2.502847654223036e-06,0.003447693829474594,0.015736318542678485,0.00050923685772025,0.005836733496674808,5.7937948620776286e-06,6.04021945119781e-07,5.822982947872986e-06,9.059735434112903e-06,0.00031529061603084295,0.015736318483423637,0.0037022754542826415,5.551115123125783e-17,6.352747104407253e-22,0.0,2.117582368135751e-22,0.0,2.168404344971009e-19,6.938893903907228e-18,2.168404344971009e-19,3.308722450212111e-24,4.235164736271502e-22,4.235164736271502e-22,2.168404344971009e-19,2.4637262517247104e-22,5.293955920339377e-23,6.617444900424222e-24,6.617444900424222e-24,5.551115123125783e-17,1.3234889800848443e-23,1.0587911840678754e-22,0.0,8.470329472543003e-22,1.0160714774017601e-22,7.15700488782521e-18,0.0,0.0,0.0,0.0,0.0,8.673617379884035e-19,2.710505431213761e-20,1.6940658945086007e-21,1.6940658945086007e-21,2.168404344971009e-19,2.168404344971009e-19,6.776263578034403e-21,3.3881317890172014e-21,3.3881317890172014e-21,0.0,1.3552527156068805e-20,0.0,0.0,4.336808689942018e-19,0.0,1.6940658945086007e-21,0.0,2.710505431213761e-20,5.421010862427522e-20,2.168404344971009e-19,0.0,0.0,5.421010862427522e-20,4.235164736271502e-22,8.470329472543003e-22,2.541098841762901e-21,0.0,0.0,0.0,5.293955920339377e-23,4.235164736271502e-22,1.6940658945086007e-21,1.0842021724855044e-19,3.3881317890172014e-21,5.293955920339377e-23,1.0587911840678754e-22,0.0,0.0,0.0
4,6.077900675605318e-06,7.602036140225629e-07,0.0002948439283533971,6.708441999947595e-07,2.839563401165371e-05,1.510986617504358e-05,2.78659487760455e-05,7.682369666498583e-07,5.800222719139983e-07,2.452372960391868e-06,0.0019632469217384808,1.4908930001064721e-05,2.555680584217393e-05,6.770006455608931e-07,0.0002948399286157033,6.983339157542164e-07,2.452927657172283e-06,6.775669624505003e-07,9.927733006621324e-06,0.0002947364818567733,9.371182184984727e-06,2.454549115293565e-06,2.5555584864285588e-05,5.592152017721397e-07,2.7866635491430794e-05,6.0845437407523065e-06,2.919937315361751e-05,0.001962933353463162,7.080886003057597e-05,9.173654687967464e-06,2.5459578485240794e-05,2.2500459388599046e-09,2.1749161843662717e-09,2.2286699310517136e-09,7.040138633605523e-08,4.718284322936934e-05,2.119996116612552e-05,4.6885804681334704e-05,1.0249215842046879e-05,5.361054602789214e-05,0.0003683840788779243,1.36132745649287e-07,0.0006920395042939728,1.9336922183209122e-08,2.094187003793011e-05,0.00036682485882031713,2.1203034103375363e-05,7.2740523972753725e-06,0.00011399040040553449,2.543836971649435e-08,2.1203084099812048e-05,4.7182980724741065e-05,7.689193848070505e-08,0.000366311438463841,0.0006912186960762023,6.943818457068998e-05,0.00028578208565226593,0.0017496191002237585,5.582857032933008e-05,0.002048103815063559,9.666263634405385e-07,1.6729153924184337e-09,0.00026637578489963044,0.0013979502208290263,7.274978347643516e-06,0.001749612676933798,0.0002900618272355715,2.168404344971009e-19,4.963083675318166e-24,1.6543612251060553e-24,0.0,1.6940658945086007e-21,5.082197683525802e-21,2.710505431213761e-20,6.776263578034403e-21,5.293955920339377e-23,1.6940658945086007e-21,6.617444900424222e-24,8.470329472543003e-22,1.6537656289596377e-25,3.308722450212111e-24,0.0,1.0587911840678754e-22,4.336808689942018e-19,4.235164736271502e-22,2.6469779601696886e-23,6.617444900424222e-24,0.0,1.5855533842344887e-24,2.3187526931086472e-20,0.0,2.6469779601696886e-23,1.6940658945086007e-21,1.0842021724855044e-19,3.3881317890172014e-21,2.168404344971009e-19,1.6940658945086007e-21,1.6940658945086007e-21,2.541098841762901e-21,2.710505431213761e-20,2.0328790734103208e-20,2.710505431213761e-20,1.3552527156068805e-20,1.3552527156068805e-20,1.0842021724855044e-19,0.0,0.0,0.0,0.0,5.421010862427522e-20,2.168404344971009e-19,1.0842021724855044e-19,0.0,3.3881317890172014e-20,2.710505431213761e-20,0.0,1.0842021724855044e-19,6.776263578034403e-21,0.0,1.2705494208814505e-21,1.0587911840678754e-22,3.3881317890172014e-21,8.470329472543003e-22,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,0.0,1.0842021724855044e-19,8.470329472543003e-22
5,8.670424256616528e-07,1.3672626365056634e-06,7.333069415483482e-06,1.1514165501524708e-06,1.4294890799340638e-07,1.9014291360864255e-07,3.1918167124981894e-06,1.3741458020594308e-06,1.161174788558911e-06,1.0406963205887717e-07,1.7979145383183206e-05,1.935664079679209e-07,9.828800521476418e-08,1.1534517305267478e-06,7.337601068713307e-06,1.1783083804239537e-06,1.0343783630687248e-07,1.1534447180486265e-06,9.62537693029492e-07,7.339289999966859e-06,9.69669046743388e-07,1.0344212809089735e-07,9.967897519799151e-08,1.1613485773586877e-06,3.1910340663355116e-06,8.691802062076752e-07,1.4310470709855607e-07,1.7979183787066304e-05,0.00018288323378469362,9.696950472624474e-07,9.801959855738418e-08,1.885975273160932e-10,1.7619382700063482e-10,6.769276931498251e-11,4.990583314744143e-09,8.112092133281832e-05,2.25994403266068e-05,4.960370773296826e-05,1.0926763069586552e-05,5.681606319420727e-05,4.221210259039498e-06,6.513172691965202e-10,1.6027376088196536e-05,1.1124897648141289e-08,2.233387249132631e-05,4.221263215201172e-06,2.2619970856004552e-05,7.57218672724569e-06,3.060019542376314e-05,1.0613263623876478e-08,2.2619943633211454e-05,8.112103069118317e-05,9.318537851364613e-09,4.2208401197883995e-06,1.6027447990486038e-05,8.073805934703253e-07,7.734046899588737e-05,0.0004139310102050938,5.944553021765079e-05,1.6735306248797387e-05,3.3264457555557825e-10,2.403301235571575e-10,3.0971784733208755e-06,1.1255294815175058e-05,7.572295294689492e-06,0.00041393100978861564,9.95790919266021e-05,0.0,9.926167350636332e-24,1.0339757656912846e-25,1.3234889800848443e-23,1.0587911840678754e-21,2.117582368135751e-22,0.0,4.235164736271502e-22,0.0,0.0,9.926167350636332e-24,2.117582368135751e-22,2.5361489323851748e-23,1.0339757656912846e-25,0.0,8.271806125530277e-25,8.470329472543003e-22,0.0,1.0587911840678754e-22,1.6543612251060553e-23,0.0,2.619841109284826e-23,2.3161057151484775e-22,2.6469779601696886e-23,5.293955920339377e-23,1.6940658945086007e-21,0.0,1.6940658945086007e-21,0.0,3.3881317890172014e-21,0.0,0.0,0.0,6.776263578034403e-21,4.235164736271502e-22,1.0587911840678754e-22,0.0,8.470329472543003e-22,1.6940658945086007e-21,3.3881317890172014e-21,0.0,5.082197683525802e-21,0.0,8.470329472543003e-22,4.235164736271502e-22,1.6940658945086007e-21,3.3881317890172014e-21,6.776263578034403e-21,0.0,0.0,6.776263578034403e-21,1.0587911840678754e-22,6.617444900424222e-24,1.0587911840678754e-22,0.0,0.0,0.0,5.169878828456423e-26,1.3234889800848443e-23,1.0587911840678754e-22,0.0,0.0,1.0339757656912846e-25,9.926167350636332e-24,0.0,2.710505431213761e-20,0.0
6,3.8220374076172025e-07,8.138406416411769e-08,4.943886992076312e-06,8.138507363245762e-08,1.166235803926816e-07,4.733517323803937e-07,2.452455386563695e-07,8.138455034522646e-08,3.822084348104511e-07,4.733519997290578e-07,4.943880520143005e-06,4.733536520619106e-07,1.1662402694119896e-07,8.138493605612016e-08,4.9438867984969415e-06,3.8221106363411123e-07,4.7335193085865996e-07,8.138493519234009e-08,2.452355982095829e-07,4.943886504020284e-06,2.452433479761825e-07,4.733519285272189e-07,1.1662394400292664e-07,3.8220840346811944e-07,2.4524554217632624e-07,3.822038941708445e-07,1.1662341880460264e-07,4.943880409153352e-06,5.713828138598788e-06,2.452433467155915e-07,1.1662406383847587e-07,3.986187104111956e-13,4.240413588391195e-13,2.218335331515143e-13,2.912777972547431e-08,5.231743272510054e-07,1.4707037605679818e-07,2.4028482246828247e-06,8.958273293011496e-08,2.4028481962342398e-06,2.3557299803307897e-07,4.530038492168695e-09,4.7184397954566726e-07,7.288084660034215e-08,8.95824433056541e-08,2.3557274905531046e-07,2.1045877971417376e-08,1.7331698706682765e-06,5.8126885531881605e-09,2.9128241196219168e-08,2.104681626051883e-08,5.231744288892615e-07,7.28796015585466e-08,7.417289807354877e-07,4.7183846243711797e-07,1.868793755305072e-08,5.818387065471548e-09,2.572607211832068e-06,4.6014905715459253e-07,5.060170711750243e-06,4.53011624360329e-09,3.2897044002448415e-13,1.868786747797393e-08,3.0005296026626274e-08,1.7331702174880545e-06,2.5726071864186987e-06,2.550124232374773e-07,3.1763735522036263e-22,6.617444900424222e-24,0.0,1.3234889800848443e-23,3.1763735522036263e-22,2.6469779601696886e-23,4.235164736271502e-22,3.1763735522036263e-22,1.6543612251060553e-24,6.617444900424222e-24,0.0,0.0,4.68360994876982e-23,0.0,0.0,1.6543612251060553e-24,2.117582368135751e-22,3.308722450212111e-24,0.0,6.617444900424222e-24,0.0,4.683613678833899e-23,4.036641389258775e-22,6.617444900424222e-24,3.308722450212111e-24,1.3234889800848443e-23,6.617444900424222e-24,0.0,4.235164736271502e-22,2.6469779601696886e-23,0.0,1.3234889800848443e-23,2.6469779601696886e-23,2.6469779601696886e-23,5.293955920339377e-23,0.0,5.293955920339377e-23,6.617444900424222e-24,2.6469779601696886e-23,1.3234889800848443e-23,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,0.0,5.293955920339377e-23,6.617444900424222e-24,2.6469779601696886e-23,0.0,2.6469779601696886e-23,2.6469779601696886e-23,0.0,0.0,0.0,6.310887241768095e-30,1.3234889800848443e-23,1.3234889800848443e-23,1.0587911840678754e-22,5.293955920339377e-23,6.310887241768095e-30,0.0,0.0,4.235164736271502e-22,1.3234889800848443e-23
7,8.279152479529086e-09,7.785495423291004e-08,3.993247221010399e-06,7.785506661948881e-08,1.637256964460494e-07,1.853238433998358e-07,4.0687275465586884e-08,7.785508448089679e-08,8.279290184238028e-09,1.8532380368070919e-07,3.993247109513023e-06,1.853266336075437e-07,1.6372588723319538e-07,7.785504729936896e-08,3.9932471584092706e-06,8.279678516160147e-09,1.8532380453682545e-07,7.78550471860638e-08,4.068696470447202e-08,3.993247253800984e-06,4.068715776346953e-08,1.8532380879485896e-07,1.6372588529885318e-07,8.279290454026705e-09,4.068723328163038e-08,8.279258807149761e-09,1.6372528335594695e-07,3.993247283589619e-06,1.458765392853568e-07,4.0687170241511785e-08,1.6372585556405575e-07,3.5095989640769555e-13,2.938123619484564e-13,3.089249420357875e-13,1.1504592286862261e-09,1.9305072488621185e-07,2.5920727058583825e-06,1.0198555387002484e-07,3.218039433958397e-09,1.0198473536738418e-07,1.6508542308901188e-07,8.905573202794732e-09,4.334762680889109e-07,2.483957916553649e-09,3.2180728131706587e-09,1.650874979690054e-07,8.232213814983919e-10,6.496982473631529e-08,5.357492853628117e-08,1.1390270063911188e-09,8.231998463223214e-10,1.9305079245467518e-07,2.4840735181867035e-09,8.186774384933179e-07,4.334785393916963e-07,4.372067629319732e-08,5.3573919241675174e-08,2.639204551632232e-08,7.182557248083845e-07,5.513871211596932e-06,8.905436202599676e-09,1.17497530628674e-13,4.372077182947017e-08,1.1188828465880304e-06,6.496959316839816e-08,2.6392071727231153e-08,4.11859035134173e-07,6.617444900424222e-24,4.1359030627651384e-25,7.573064690121713e-29,5.293955920339377e-23,3.308722450212111e-24,0.0,4.235164736271502e-22,6.617444900424222e-24,1.9852334701272664e-23,2.6469779601696886e-23,8.271806125530277e-25,1.6543612251060553e-24,4.029218407574543e-25,2.0194839173657902e-28,6.617444900424222e-24,1.3234889800848443e-23,0.0,6.617444900424222e-24,2.0679515313825692e-25,4.1359030627651384e-25,0.0,4.033409600912079e-25,3.825710333057753e-22,1.3234889800848443e-23,6.203854594147708e-25,6.352747104407253e-22,0.0,0.0,4.235164736271502e-22,0.0,0.0,4.235164736271502e-22,5.293955920339377e-23,5.293955920339377e-23,0.0,5.293955920339377e-23,1.0587911840678754e-22,0.0,2.6469779601696886e-23,2.6469779601696886e-23,8.470329472543003e-22,0.0,0.0,3.1763735522036263e-22,1.0587911840678754e-22,2.6469779601696886e-23,2.6469779601696886e-23,0.0,1.5881867761018131e-22,1.0587911840678754e-22,0.0,1.3234889800848443e-23,3.970466940254533e-23,1.2407709188295415e-24,0.0,0.0,0.0,2.0194839173657902e-28,1.2407709188295415e-24,0.0,3.308722450212111e-24,1.0587911840678754e-22,3.0292258760486853e-28,1.0339757656912846e-24,8.271806125530277e-25,4.235164736271502e-22,0.0
8,1.7653345432051548e-08,5.442231556887867e-09,3.922550463264038e-08,5.442233164658753e-09,4.7369470232465145e-08,5.3201408364305786e-08,7.344341727286545e-10,5.442232754777382e-09,1.7653352607326705e-08,5.3201404261908845e-08,3.9225470131370224e-08,5.320140741478929e-08,4.736947898027092e-08,5.442236769816e-09,3.922550988302421e-08,1.7653365126112174e-08,5.320140582984441e-08,5.442236795359402e-09,7.344336034758454e-10,3.9225504588986687e-08,7.344326509813545e-10,5.3201405838796426e-08,4.736947784691681e-08,1.765335167406619e-08,7.344350462344692e-10,1.7653345587483034e-08,4.7369471619002566e-08,3.922547193440856e-08,2.4581325546195132e-08,7.344328067764609e-10,4.7369478992789694e-08,9.973555655549657e-16,9.150162952271905e-16,5.317945362043445e-16,2.596689495559037e-09,8.187652706501114e-09,8.19087073531516e-09,3.709963044138359e-08,6.7908514027694e-09,3.70996320219701e-08,7.509212100109173e-08,7.728534351680463e-10,1.1666645468812241e-08,4.973761643272257e-09,6.7908527637129105e-09,7.50921216507737e-08,1.8692121184852986e-09,6.678568112241035e-08,1.581998495977911e-08,2.5966937137391565e-09,1.86921291935578e-09,8.187653676769596e-09,4.973751622835422e-09,3.957366024739427e-08,1.1666648638032319e-08,4.634109606920219e-09,1.5819983252647353e-08,1.0585896747212789e-07,2.7499284787272104e-08,2.9209543666041142e-08,7.728535607145655e-10,7.258985721966874e-16,4.634108046851586e-09,2.606385901331301e-09,6.678568118813124e-08,1.0585896744335876e-07,1.861672506292297e-09,1.3234889800848443e-23,1.2407709188295415e-24,1.6023737137301802e-31,3.308722450212111e-24,1.550963648536927e-25,5.169878828456423e-26,0.0,0.0,8.271806125530277e-25,6.617444900424222e-24,0.0,5.169878828456423e-26,7.078331198954402e-24,9.860761315262648e-32,8.271806125530277e-25,0.0,1.3234889800848443e-23,4.1359030627651384e-25,2.0679515313825692e-25,4.1359030627651384e-25,3.308722450212111e-24,7.078327363272324e-24,2.1196503196671334e-24,3.308722450212111e-24,8.271806125530277e-25,1.6543612251060553e-24,2.0679515313825692e-25,3.308722450212111e-24,5.641371777611649e-22,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,1.0339757656912846e-25,1.0339757656912846e-25,0.0,9.926167350636332e-24,6.617444900424222e-24,2.0679515313825692e-25,2.481541837659083e-24,0.0,5.657915389862709e-22,5.69100261436483e-22,5.69100261436483e-22,2.0679515313825692e-25,2.0679515313825692e-25,1.6543612251060553e-24,1.0339757656912846e-25,3.101927297073854e-25,6.617444900424222e-24,2.0679515313825692e-25,1.0339757656912846e-25,4.1359030627651384e-25,3.308722450212111e-24,2.481541837659083e-24,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,7.395570986446986e-32,8.271806125530277e-25,3.308722450212111e-24,1.0339757656912846e-25,6.617444900424222e-24,4.930380657631324e-32,2.0679515313825692e-24,2.0679515313825692e-24,5.67445900211377e-22,3.308722450212111e-24
