,Y1Z0,Y0Z1,Y2Z0,Y0Z2,Y5Z0,Y0Z5,Y2Z1,Y1Z2,Y4Z5,Y5Z4,Y3Z1,Y1Z3,Y3Z2,Y2Z3,Y5Z1,Y1Z5,Y4Z2,Y2Z4,Y4Z3,Y3Z4,Y3Z5,Y5Z3,Y4Z1,Y1Z4,Y5Z2,Y2Z5,standard_x,Y4Z0,Y0Z4,Y3Z0,Y0Z3,X2X5,Y2Y5,X0X3,X0X4,X1X2,X1X5,X1X4,Y1Y2,Y0Y3,X0X1,Y0Y4,X0X2,X0X5,Y1Y5,X2X4,X1X3,X3X5,X2X3,Y0Y1,X0,Y1Y4,X1,X2,X3X4,X4X5,Y0Y2,X5,Y1Y3,Y3Y5,Y2Y3,Y3Y4,Y0Y5,Y2Y4,X3,X4,Y4Y5,X5Y0,X4Y2,X3Y0,X2Y5,X2Y0,X0Y5,standard_y,Y2,X5Y2,X4Y5,X4Y3,X4Y0,X3Y4,X3Y1,X2Y3,X1Y2,X0Y3,Y4,X5Y4,X2Y1,X0Y4,X1Y0,X0Y1,X1Y3,X3Z1,X2Z3,X1Z3,X0Z1,X5Z4,X3Z5,X3Z4,X2Z5,X1Z5,X1Z2,X4Z2,X1Z4,X5Z2,X4Z3,X0Z4,X0Z3,Y5,Y3,Y1,Y0,X5Z3,X5Z1,X5Z0,X5Y3,X5Y1,X4Z5,X4Z1,X4Z0,X4Y1,X3Z2,X3Z0,X3Y5,X3Y2,X2Z4,X2Z1,X2Z0,X2Y4,X1Z0,X1Y5,X1Y4,X0Z5,X0Z2,X0Y2
0,0.955782328433717,0.9557601688702386,0.9476039728456027,0.9475542561853275,0.8353356430897044,0.8352412934403911,0.7357701828703884,0.7357486380180729,0.7229253574376,0.7228581488043402,0.6696438818671409,0.6695227374290103,0.6067184692893552,0.6066264716149723,0.6058057311794638,0.6057513500400147,0.5811235540341964,0.581034381234254,0.43060345786436605,0.4306026752582285,0.393469425275939,0.3934335598229818,0.3080863159503098,0.30803001972709254,0.15834126861953818,0.15833169102264016,0.11133754270802423,0.08485743968504275,0.08483996661447267,0.05654154380506435,0.05653000402568415,0.03887687613917701,0.03792569954854293,0.03673810238663288,0.03653738206461278,0.03453304813269656,0.033991516252627765,0.0332388266188635,0.03174402805528943,0.03160641620542254,0.03058567739129582,0.029469539427497825,0.02894781871160515,0.028922381148890612,0.028026214196662676,0.026433332804580247,0.02629126345228679,0.026180858176032676,0.025946198469085392,0.02535161969396514,0.02520591434400509,0.02470168608664343,0.023660777379888517,0.021709297017269237,0.019372516154039402,0.018704182875810715,0.01838790149302181,0.017677999953403554,0.01743256362030065,0.01720740729769643,0.017179206932792807,0.016964888274007037,0.016257344376505563,0.013658294935275726,0.0116023470383481,0.011481206975109732,0.010381539242797225,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.9081958235744878e-17,8.673617379884035e-18,5.204170427930421e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0015452187973990106,0.0015450727528158667,0.21183415396388847,0.0015317375428863652,0.22953015876372276,0.0013503024926837712,0.21183195416196146,0.0011898002869953311,0.7229301638270504,0.7229673358341266,0.6131019554912462,0.0010827752991839235,0.6067247795631296,0.6067527908224877,0.22952827515216354,0.0009796980030818202,0.5811272955004302,0.5811553506212913,0.43060615566281246,0.43060706378357,0.3934734223119656,0.3934928246199438,0.22322877842245367,0.0004982805183812247,0.1583650979295667,0.1583646003818875,0.03749578047849394,0.22322826152010902,0.00013755813719015006,0.6131010049722294,9.232315832771852e-05,0.014911322039403492,0.014248645199977513,8.760429397399366e-05,6.850037051171358e-05,8.724244123211816e-05,8.719041099832702e-05,7.664112319358214e-05,7.863031817531097e-05,6.786467474059448e-05,0.005253203565681276,5.113470402425803e-05,6.813393251647908e-05,6.911766216901913e-05,6.70407985431576e-05,0.012034676146706013,6.849891385265529e-05,0.015372532870452413,0.011289851599521943,0.00525337981463945,8.303061256918214e-05,4.6824267592505606e-05,9.614171471390183e-05,0.007812413351604306,0.018167845056854162,0.008107130070847887,8.882827004088353e-05,0.007604523768406776,5.759665679965881e-05,0.00535187049850155,0.0036573959958099136,0.015548593134393673,7.369187637619595e-05,0.006602002232246435,0.010883147147400365,0.011016523883799405,0.004225632008637206,0.0,4.163336342344337e-17,1.0842021724855044e-19,1.3877787807814457e-17,0.0,2.168404344971009e-19,5.567378155713065e-17,5.551115123125783e-17,2.7755575615628914e-17,1.3877787807814457e-17,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,2.168404344971009e-19,5.551115123125783e-17,1.3877787807814457e-17,2.168404344971009e-19,5.421010862427522e-20,3.469446951953614e-18,3.4694204821740125e-18,1.0164395367051604e-20,0.0,0.0,0.0,6.776263578034403e-21,4.336808689942018e-19,1.3010426069826053e-18,8.673617379884035e-19,2.710505431213761e-19,6.776263578034403e-21,0.0,8.673617379884035e-19,8.470329472543003e-22,0.0,1.0842021724855044e-19,1.6940658945086007e-21,3.3881317890172014e-21,0.0,5.551115123125783e-17,5.421010862427522e-20,1.0842021724855044e-19,0.0,4.336808689942018e-19,4.336808689942018e-19,5.551115123125783e-17,0.0,2.168404344971009e-19,0.0,0.0,5.421010862427522e-20,4.336808689942018e-19,0.0,4.163336342344337e-17,1.3877787807814457e-17,2.168404344971009e-19,0.0,0.0,1.3877787807814457e-17,3.3881317890172014e-21,0.0,0.0,0.0,6.776263578034403e-21,0.0
2,0.0002290790791441102,0.00022149277252426667,0.21182882504699452,0.0002201774230982654,0.0003665177638374449,0.00016070565197883613,0.21182757479253567,0.00018389222146814212,0.0011488217083158118,0.00116797284250892,0.6130868396096534,0.0001689127739055998,0.6067104793011293,0.6067423345549339,0.0003659888243679357,5.83387340292291e-05,0.0009208769374981075,0.4227636699186153,0.0006726543761481519,0.037116674349655404,0.03711293092696087,0.0006251726697949463,0.00035754893453243436,5.974450134894289e-05,0.0002501334629271345,0.4227570544429479,0.0212380267142014,0.0003572827200673047,0.00016183075917507793,0.6130860844692738,3.088452653457679e-05,0.0028534293489823536,0.002860682504543293,0.0015875445755493057,0.0006048816337047706,0.0017095624760544918,0.0006054920609020306,0.00036612479715781643,0.0018657760651843796,0.00151033347754688,0.008473704724724383,0.0008871738287768369,0.0010955395936458519,0.00036631784739382764,0.0008875500816114884,0.002528132755045541,0.0012185202244527136,0.0026689245549831484,0.008679713392457338,0.008473963371882113,0.001232350934790357,0.0008869934863539781,0.0015767582260649306,0.008143577312494458,0.0027288240178371913,0.005275281786259521,0.0016939006210356857,0.0025981034698281513,0.001003179254644936,0.0023095080716390225,0.0022144712396446964,0.0022343279988127247,0.000887959332937162,0.0017517820874056167,0.010539079404801794,0.0027663756879322842,0.00527262602330918,0.0,2.710505431213761e-20,0.0,0.0,0.0,3.3881317890172014e-21,4.166046847775551e-17,1.3877787807814457e-17,2.710505431213761e-20,5.551115123125783e-17,1.6263032587282567e-19,6.776263578034403e-21,5.421010862427522e-20,1.3552527156068805e-20,5.551115123125783e-17,1.3552527156068805e-20,0.0,0.0,2.7755575615628914e-17,2.710505431213761e-20,0.0,4.200892989132205e-18,4.200932693801607e-18,0.0,0.0,0.0,1.6263032587282567e-19,2.168404344971009e-19,0.0,3.2526065174565133e-19,3.2526065174565133e-19,4.336808689942018e-19,2.371692252312041e-20,1.0842021724855044e-19,1.3552527156068805e-19,5.082197683525802e-21,5.421010862427522e-20,2.710505431213761e-20,0.0,0.0,2.710505431213761e-20,5.551115123125783e-17,0.0,0.0,5.421010862427522e-20,2.168404344971009e-19,2.168404344971009e-19,0.0,1.6940658945086007e-21,2.710505431213761e-20,0.0,0.0,3.3881317890172014e-21,3.469446951953614e-18,0.0,5.421010862427522e-20,4.163336342344337e-17,4.336808689942018e-19,0.0,0.0,0.0,5.421010862427522e-20,5.082197683525802e-21,5.082197683525802e-21,5.421010862427522e-20,0.0,0.0
3,1.387884135327903e-05,3.066311262455818e-06,0.8185883233701412,5.809501441832482e-06,1.9188828811730794e-05,7.161116505702572e-06,0.8185879691317537,1.0304874440080832e-05,2.162779158334759e-05,2.09206746868229e-05,0.003986795395699934,1.364062111175622e-05,0.003944911004875752,0.8185964678764028,1.8989416173388297e-05,5.01125401762483e-06,1.9895824520910618e-05,0.42276710168662,6.425884753697854e-06,0.00024600352695178284,0.0002455251229865817,1.889182557708107e-05,6.827427261026149e-06,5.218185346840282e-06,8.057504670004345e-06,0.4227663241561396,0.009335429922426218,6.9656914855158486e-06,7.526789187153712e-06,0.00398654272471082,2.5096964032306454e-06,0.0010650203573063662,0.0009390326300840154,0.0006252932728347182,0.00024594979730232656,0.0006258932291719553,2.6197709556029135e-06,1.5799942365561048e-06,0.0005995449467847197,0.0006242601802072306,0.00014376047175983637,0.0005600236547510279,0.0004130596909995109,0.00010257749245082252,3.8179577908033075e-06,0.0009350233725233506,0.0004858641694227193,0.00013958334932260533,0.00010885219792042784,0.00014377605258527563,0.0007564583326488764,3.80812879600659e-06,0.0006255082202177206,0.009185438095841004,0.0004160489754092969,0.003972354311511836,0.0005233052582616629,0.000952471069787262,0.0004833297776461158,0.0008916990066492888,0.00012095583203146853,0.0008912146847249462,0.0005601539731954201,0.0004234985992322916,0.000768670269153347,0.001048173925647466,0.003972350875641547,4.235164736271502e-22,3.3881317890172014e-21,1.6940658945086007e-21,3.3881317890172014e-21,0.0,8.470329472543003e-22,5.594313803435752e-17,5.551115123125783e-17,0.0,2.7755575615628914e-17,1.6940658945086007e-21,0.0,1.6940658945086007e-21,0.0,0.0,8.470329472543003e-22,0.0,8.470329472543003e-22,2.7755575615628914e-17,8.470329472543003e-22,1.6940658945086007e-21,7.089545310341791e-20,3.75237043199727e-20,8.470329472543003e-22,0.0,8.673617379884035e-19,2.710505431213761e-20,1.0842021724855044e-19,0.0,2.710505431213761e-20,5.421010862427522e-20,1.734723475976807e-18,3.3881317890172014e-21,2.710505431213761e-20,0.0,3.3881317890172014e-21,2.710505431213761e-20,1.0842021724855044e-19,2.710505431213761e-20,5.421010862427522e-20,1.6940658945086007e-21,4.336808689942018e-19,4.235164736271502e-22,4.235164736271502e-22,0.0,1.0842021724855044e-19,1.0842021724855044e-19,4.235164736271502e-22,1.0587911840678754e-22,2.710505431213761e-20,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,2.168404344971009e-19,1.734723475976807e-18,0.0,0.0,2.541098841762901e-21,5.421010862427522e-20,1.0587911840678754e-22,1.0587911840678754e-22,5.421010862427522e-20,0.0,2.117582368135751e-22
4,4.6012706066974e-06,0.00044942118540898545,0.0021844474257196878,0.00044905413672918207,3.4239103026156585e-05,0.0001777348512615806,0.00218483191057322,4.5649921076120065e-06,2.6871630207375997e-05,4.258720856047556e-05,1.9627111880216307e-05,4.310275218287216e-06,1.9691516413229682e-05,0.002185575660806729,3.3951814118919456e-05,3.262686390347708e-06,1.1903364715016723e-05,0.0011268249407431095,1.2153762309526757e-05,2.001579909631233e-06,2.2132584352228753e-06,3.436598207129343e-05,1.2513311773991048e-05,3.5594242862196716e-06,3.452898781396228e-05,0.001126223539110936,0.004319698375010506,1.2371328052115821e-05,0.00017851116508948834,1.9653100818789504e-05,0.00044915014767845794,0.0003916264514092221,0.000500118349591827,1.6842056576974041e-06,0.0005247919231991888,1.7080464335933146e-06,5.284378408059427e-08,9.017589216206799e-09,1.613294445253571e-06,1.5004249987712082e-06,0.0009759683165595674,0.0010431393524144932,0.00037913904318399763,0.00018470580318180962,6.581846028680804e-08,0.00012094758111879982,0.0003789979697810684,5.140259461597084e-07,0.00024687510507241206,0.00097586377127475,0.0010413177128913314,4.86717565634621e-09,0.0003998331793346576,0.0007237415172989062,1.3831662696606038e-06,0.0076609096747652095,0.00038051415628406694,0.0014676665162047175,0.0003789951276453777,2.889086408249131e-06,0.00024563574985124047,2.91655657970589e-06,0.0010436294924530917,0.0004986197151927185,0.001398421936198939,0.0007362005476797661,0.007660916030320217,0.0,1.2705494208814505e-21,5.293955920339377e-23,0.0,0.0,3.3881317890172014e-21,1.8677076486957322e-19,2.168404344971009e-19,0.0,5.551115123125783e-17,7.940933880509066e-23,0.0,1.0587911840678754e-22,2.117582368135751e-22,0.0,0.0,2.6469779601696886e-23,2.541098841762901e-21,5.551115123125783e-17,6.617444900424222e-24,3.3881317890172014e-21,2.214699046799284e-21,1.146740996090153e-21,4.235164736271502e-22,1.0842021724855044e-19,1.0842021724855044e-19,2.710505431213761e-20,1.0842021724855044e-19,1.0842021724855044e-19,4.0657581468206416e-20,1.3552527156068805e-20,5.421010862427522e-20,6.776263578034403e-21,2.710505431213761e-20,5.421010862427522e-20,2.710505431213761e-20,2.168404344971009e-19,1.0842021724855044e-19,4.0657581468206416e-20,2.168404344971009e-19,0.0,0.0,4.235164736271502e-22,2.710505431213761e-20,1.0842021724855044e-19,0.0,0.0,1.0587911840678754e-22,2.117582368135751e-22,2.0328790734103208e-20,5.421010862427522e-20,5.421010862427522e-20,7.940933880509066e-23,2.168404344971009e-19,1.0842021724855044e-19,0.0,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,1.0587911840678754e-22,5.293955920339377e-23,2.710505431213761e-20,0.0,0.0
5,6.543292786022698e-08,2.9770780623194217e-06,2.1153083777988335e-06,2.97707808208091e-06,3.3567929172590313e-07,2.9771087130242785e-06,2.1153073524237336e-06,6.545624285866023e-08,4.2845541112863804e-07,3.356792519787745e-07,3.4690500096284855e-06,6.545647054747307e-08,3.4690494256317144e-06,2.1153084782982292e-06,3.356805180497829e-07,6.54379723048511e-08,4.284555884657339e-07,2.11528355023285e-06,4.284555836892296e-07,3.4690473638934827e-06,3.469047363999168e-06,3.3568052071618825e-07,4.28455586294328e-07,6.543797222850691e-08,3.356805178891347e-07,2.1152835502553285e-06,6.7390347351906016e-06,4.2845562624779163e-07,2.977108785992365e-06,3.4690500070819208e-06,2.9770776535945307e-06,7.366662198658185e-10,7.365680453521547e-10,1.2460719927871484e-11,4.861954638094195e-08,4.219683279946077e-11,6.489612300600057e-14,5.866614056231884e-13,4.367976993551664e-11,1.5305619257810976e-11,2.444762347150085e-06,4.861941013425836e-08,1.7717654329604755e-08,2.034571803058704e-08,4.266847052058845e-14,3.779476129990057e-10,6.203849461367839e-09,6.450901843094383e-13,2.1864123647826922e-06,2.4447624305641178e-06,1.1545074298538768e-06,2.3110153229043844e-13,6.706666807128755e-09,8.498232544104689e-06,9.329709777914569e-13,4.797234481922013e-06,1.7648411859903728e-08,7.143214737786198e-08,6.204000648980729e-09,6.394288182366017e-13,2.186408597404252e-06,8.222514813448383e-13,2.0344540077217026e-08,3.775850625098743e-10,3.082517479288362e-06,9.067342633540587e-08,4.7972344820906435e-06,1.3234889800848443e-23,6.462348535570529e-27,4.0389678347315804e-28,1.2924697071141057e-26,1.3234889800848443e-23,0.0,4.367513634279986e-22,2.117582368135751e-22,0.0,1.0587911840678754e-22,2.0194839173657902e-28,0.0,2.0194839173657902e-28,6.617444900424222e-24,0.0,1.6155871338926322e-27,0.0,2.6469779601696886e-23,0.0,8.077935669463161e-28,0.0,3.50262665935706e-25,3.5026972100227827e-25,1.6543612251060553e-24,4.235164736271502e-22,1.6940658945086007e-21,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,6.203854594147708e-25,0.0,0.0,1.0587911840678754e-22,0.0,0.0,2.117582368135751e-22,1.3234889800848443e-23,0.0,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,1.0097419586828951e-28,1.8932661725304283e-29,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,1.262177448353619e-29,0.0,4.235164736271502e-22,0.0,4.235164736271502e-22,1.6940658945086007e-21,8.470329472543003e-22,8.470329472543003e-22,6.462348535570529e-27,2.0679515313825692e-25,1.262177448353619e-29,5.048709793414476e-29,0.0,1.0587911840678754e-22,1.3234889800848443e-23
6,1.8421065877524472e-09,9.145799688087794e-09,2.4564042727331562e-08,9.145799497137347e-09,5.74295334078053e-08,9.145797691715854e-09,2.4564042783023787e-08,1.8421069554543547e-09,4.4776119750185005e-08,5.7429533926174894e-08,3.9818843523288544e-08,1.8421070374781685e-09,3.981884348979038e-08,2.4564042757013913e-08,5.7429533470719216e-08,1.842106917907202e-09,4.477611889670322e-08,2.4564041856693785e-08,4.477611889563703e-08,3.9818843963542654e-08,3.981884396087912e-08,5.742953347955229e-08,4.4776118910779053e-08,1.8421069150227445e-09,5.742953345489603e-08,2.4564041880328605e-08,1.1617003194225556e-08,4.4776118911681064e-08,9.145797858115132e-09,3.981884351692092e-08,9.145799582776813e-09,4.018390350722014e-09,4.018390256301556e-09,4.595301142401333e-16,1.7402591883713594e-09,1.1709060393805583e-15,1.9339277336156756e-17,7.169730771137431e-17,1.1993221527050714e-15,5.011452267295217e-16,7.126892465907774e-09,1.7402596095140898e-09,4.1060177140729327e-10,6.702551203228042e-10,4.222674749199444e-17,2.090905335961233e-09,1.6968025445082463e-10,4.714688018562114e-16,2.094094157575817e-09,7.126892449659786e-09,5.963674345815375e-09,1.1654280036753814e-16,1.9958794013004278e-10,1.627784623444913e-08,1.0043083167859e-15,7.256478460179584e-08,4.1060184439298804e-10,2.1163067847039155e-08,1.696803177918792e-10,6.197270284260588e-16,2.094094075119195e-09,8.946031597794802e-16,6.702559313996926e-10,2.0909050088909506e-09,3.623368602217217e-08,1.657303742085486e-08,7.256478458524068e-08,0.0,5.169878828456423e-26,1.232595164407831e-32,0.0,0.0,8.271806125530277e-25,4.963083675318166e-24,1.6543612251060553e-24,5.169878828456423e-26,0.0,3.944304526105059e-31,8.271806125530277e-25,0.0,5.169878828456423e-26,3.308722450212111e-24,0.0,1.232595164407831e-32,0.0,6.617444900424222e-24,0.0,8.271806125530277e-25,2.1363036325180477e-25,2.1363036325180477e-25,1.0339757656912846e-25,0.0,1.6543612251060553e-24,6.462348535570529e-27,0.0,1.6543612251060553e-24,6.617444900424222e-24,0.0,0.0,1.2924697071141057e-26,0.0,0.0,1.9387045606711586e-26,1.6543612251060553e-24,3.308722450212111e-24,4.1359030627651384e-25,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.9721522630525295e-31,3.0814879110195774e-32,1.6543612251060553e-24,0.0,0.0,6.162975822039155e-33,3.308722450212111e-24,0.0,0.0,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,0.0,0.0,1.232595164407831e-32,6.162975822039155e-33,4.1359030627651384e-25,4.1359030627651384e-25,0.0
7,3.0973417773577974e-09,1.1134342576381751e-08,2.1836330257827006e-08,1.1134342309375236e-08,4.301923982094299e-08,1.113434072133997e-08,2.1836330337599603e-08,3.0973420116326097e-09,3.176574659033547e-08,4.30192401994805e-08,3.264920262071725e-08,3.097342139354816e-09,3.2649202584686496e-08,2.1836330279271313e-08,4.301923991232113e-08,3.0973422381469926e-09,3.176574588566833e-08,2.1836329676499248e-08,3.1765745818746874e-08,3.2649202902590806e-08,3.264920291535489e-08,4.301923991912416e-08,3.1765745834186604e-08,3.0973422257316014e-09,4.301923985448419e-08,2.1836329730809307e-08,1.050190171726633e-08,3.176574585562044e-08,1.1134340936158933e-08,3.264920261260158e-08,1.1134342458110092e-08,5.2377895981914435e-09,5.23778950331236e-09,5.110425803747888e-16,3.547601108813707e-09,1.0037595174819194e-15,7.481043944033554e-17,8.263072126824483e-17,1.0071800533782798e-15,5.027902820552903e-16,1.1973842225003992e-08,3.5476015506890275e-09,5.40013318068567e-10,1.2907897785786834e-09,1.1607374508178283e-16,2.718717884252408e-09,2.750954535069569e-10,6.96665283057806e-17,3.252218113875176e-09,1.197384218710352e-08,8.758525454309622e-09,2.0710470030951692e-16,3.5415290554314155e-10,1.3355273883700367e-08,3.379007780651481e-16,4.9505260010714764e-08,5.400135736665621e-10,2.0751608664884428e-08,2.7509553642727334e-10,1.9053203958000753e-16,3.2522180889767728e-09,3.0549344680481133e-16,1.290790581556729e-09,2.7187175793701324e-09,3.042325599503223e-08,1.5930953523566523e-08,4.950525993324661e-08,8.271806125530277e-25,0.0,0.0,5.169878828456423e-26,0.0,1.6543612251060553e-24,2.0679515313825692e-24,3.308722450212111e-24,5.169878828456423e-26,0.0,0.0,3.308722450212111e-24,0.0,3.101927297073854e-25,0.0,1.232595164407831e-32,0.0,3.308722450212111e-24,0.0,1.5407439555097887e-33,0.0,3.6470941234557266e-25,3.647094108048287e-25,2.0679515313825692e-25,6.617444900424222e-24,0.0,5.169878828456423e-26,0.0,0.0,3.308722450212111e-24,0.0,8.271806125530277e-25,1.2924697071141057e-26,1.2924697071141057e-26,0.0,0.0,1.6543612251060553e-24,4.963083675318166e-24,8.271806125530277e-25,0.0,0.0,0.0,4.1359030627651384e-25,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.9721522630525295e-31,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,6.162975822039155e-33,0.0,6.617444900424222e-24,0.0,0.0,1.6543612251060553e-24,0.0,0.0,1.0339757656912846e-25,1.2924697071141057e-26,6.162975822039155e-32,1.8488927466117464e-32,1.6543612251060553e-24,1.6543612251060553e-24,0.0
8,3.095190978280106e-09,1.0903069950969204e-08,2.1668848642903623e-08,1.0903069683753176e-08,4.326266988460304e-08,1.0903068101688129e-08,2.1668848721078934e-08,3.0951912099222055e-09,3.193856483885863e-08,4.3262670264723004e-08,3.2287067697385064e-08,3.0951913363248263e-09,3.2287067661281826e-08,2.1668848663436754e-08,4.3262669977605576e-08,3.0951914406692546e-09,3.193856413065209e-08,2.1668848060445308e-08,3.1938564064188884e-08,3.228706797873381e-08,3.2287067991027246e-08,4.326266998332387e-08,3.193856407860501e-08,3.0951914266032716e-09,4.326266991962474e-08,2.1668848116820393e-08,9.221543718855867e-09,3.193856410029814e-08,1.0903068310586994e-08,3.228706768926088e-08,1.0903069833032057e-08,5.2606710348163026e-09,5.260670939746889e-09,5.090438768243349e-16,4.161881931237189e-09,9.923217884227304e-16,8.837115704194807e-17,8.232755868586198e-17,9.962236808241293e-16,4.971333620594818e-16,1.1625194835593531e-08,4.161882369034425e-09,3.889759333406292e-10,1.4532838392617698e-09,1.2856969393639863e-16,2.7256199141261574e-09,2.6469484914199335e-10,8.486569131707092e-17,2.8995503940354464e-09,1.1625194795306563e-08,9.044800616356117e-09,2.101562520690391e-16,3.724824520583498e-10,1.3625331479152087e-08,4.185480679784189e-16,5.010410069909975e-08,3.889761902649103e-10,2.023921072607951e-08,2.646949329911283e-10,2.063884363644236e-16,2.899550369350114e-09,3.8610116561353567e-16,1.4532846068405372e-09,2.7256196045011614e-09,3.080730751938803e-08,1.5581592101426768e-08,5.010410062044364e-08,0.0,1.0339757656912846e-25,1.232595164407831e-32,0.0,8.271806125530277e-25,0.0,7.444625512977249e-24,1.6543612251060553e-24,5.169878828456423e-26,0.0,0.0,3.308722450212111e-24,1.9721522630525295e-31,3.101927297073854e-25,3.308722450212111e-24,1.232595164407831e-32,4.930380657631324e-32,0.0,6.617444900424222e-24,1.5407439555097887e-32,6.617444900424222e-24,2.329081007785927e-28,2.329065600346372e-28,2.0679515313825692e-25,0.0,8.271806125530277e-25,3.877409121342317e-26,1.6543612251060553e-24,1.6543612251060553e-24,6.617444900424222e-24,3.308722450212111e-24,1.6543612251060553e-24,2.5849394142282115e-26,1.2924697071141057e-26,1.6543612251060553e-24,5.169878828456423e-26,1.6543612251060553e-24,0.0,1.6543612251060553e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,8.271806125530277e-25,1.6543612251060553e-24,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,1.0339757656912846e-25,0.0,2.465190328815662e-32,6.162975822039155e-33,0.0,8.271806125530277e-25,0.0
9,3.0929317090134245e-09,1.0664438954895816e-08,2.1498027308641326e-08,1.066443868748549e-08,4.3499997090608016e-08,1.0664437111591365e-08,2.1498027385191962e-08,3.0929319380126944e-09,3.2107540935122505e-08,4.34999974723108e-08,3.1920415486781305e-08,3.092932063068891e-09,3.192041545060743e-08,2.1498027328246883e-08,4.3499997185207236e-08,3.0929321729448163e-09,3.210754022338488e-08,2.149802672506414e-08,3.210754015739866e-08,3.192041576755987e-08,3.192041577937683e-08,4.349999718982799e-08,3.210754017078034e-08,3.092932157217949e-09,4.34999971270897e-08,2.1498026783482964e-08,7.944783776411264e-09,3.210754019272858e-08,1.0664437314336842e-08,3.192041547864775e-08,1.0664438837291793e-08,5.279586013485519e-09,5.279585918226493e-09,5.062831807589682e-16,4.769948047247055e-09,9.79844165617151e-16,1.0185180055105296e-16,8.206908321651511e-17,9.842274542041769e-16,4.907123559043459e-16,1.1274649176316496e-08,4.769948480878394e-09,2.3779158984628483e-10,1.615128049509873e-09,1.4098430870129687e-16,2.73214507647096e-09,2.542892275967643e-10,1.0005230694993652e-16,2.5464576510065837e-09,1.1274649133659944e-08,9.324971534451141e-09,2.131321411647226e-16,3.9079894500335483e-10,1.3893289065262595e-08,4.987826571437286e-16,5.0699418656713555e-08,2.3779184804276084e-10,1.972395773882014e-08,2.542893123736259e-10,2.2220791403298896e-16,2.546457626533347e-09,4.662931970992917e-16,1.615128781186238e-09,2.7321447621723295e-09,3.1187048789879884e-08,1.5230356241662913e-08,5.0699418576887396e-08,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,1.2407709188295415e-23,1.6543612251060553e-24,0.0,0.0,1.9721522630525295e-31,0.0,1.9721522630525295e-31,0.0,1.6543612251060553e-24,1.232595164407831e-32,2.465190328815662e-32,3.308722450212111e-24,6.617444900424222e-24,3.0814879110195774e-33,1.6543612251060553e-24,4.444165622400771e-26,4.444165622400771e-26,1.0339757656912846e-25,0.0,2.481541837659083e-24,0.0,8.271806125530277e-25,0.0,6.617444900424222e-24,0.0,0.0,1.2924697071141057e-26,0.0,1.6543612251060553e-24,1.2924697071141057e-26,0.0,1.6543612251060553e-24,0.0,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,3.308722450212111e-24,0.0,9.860761315262648e-32,1.6543612251060553e-24,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,5.169878828456423e-26,3.877409121342317e-26,1.232595164407831e-32,0.0,8.271806125530277e-25,8.271806125530277e-25,0.0
