,Y0Z4,Y4Z0,Y3Z4,Y4Z3,Y2Z4,Y4Z2,Y5Z1,Y1Z5,Y1Z2,Y2Z1,Y5Z2,Y2Z5,Y0Z5,Y5Z0,Y3Z2,Y2Z3,Y3Z1,Y1Z3,Y5Z3,Y3Z5,Y1Z4,Y4Z1,Y0Z1,Y1Z0,Y0Z2,Y2Z0,Y0Z3,Y3Z0,Y5Z4,Y4Z5,standard_x,X4X5,X1X4,Y4Y5,X0X2,X2X4,Y1Y4,Y0Y2,X0X3,X2X3,Y2Y3,Y0Y3,X0X1,X3X5,X1X2,X1X3,X2X5,X3X4,Y1Y2,X4,X0X5,Y1Y3,Y2Y4,X1X5,Y0Y1,X0X4,Y2Y5,Y3Y5,Y1Y5,X2,Y3Y4,X1,X3,X5,X0,Y0Y5,Y0Y4,Y4,Y2,X5Y2,X3Y0,standard_y,Y0,X5Y4,X2Y1,Y5,Y3,Y1,X5Y3,X5Y0,X4Y5,X3Y2,X2Y4,X2Y0,X0Y4,X0Y2,X3Y1,X4Y1,X4Y0,X3Y4,X1Y4,X0Y1,X1Y3,X1Y2,X5Y1,X1Y0,X5Z2,X4Z1,X2Z4,X4Z2,X5Z1,X5Z0,X4Z3,X4Z0,X3Z4,X3Z2,X2Z5,X2Z3,X2Z0,X0Z5,X4Z5,X3Z0,X1Z2,X5Z4,X1Z4,X0Z2,X5Z3,X4Y3,X4Y2,X3Z5,X3Z1,X3Y5,X2Z1,X2Y5,X2Y3,X1Z5,X1Z3,X1Z0,X1Y5,X0Z4,X0Z3,X0Z1,X0Y5,X0Y3
0,0.9137185207492353,0.9135916185279287,0.8391603459910556,0.8390649584406635,0.7810334645037849,0.78098528576206,0.7314961151058603,0.731486718647131,0.6899988956104963,0.6899678378048776,0.6614586882766659,0.6614204186092765,0.5778373916440898,0.5778262098806037,0.5763119559572156,0.5762819942653908,0.5529467158195278,0.5529428577338582,0.43930254727413975,0.43929996926360765,0.38345710111652964,0.3834161876153337,0.3809464910229592,0.38093422579282327,0.23067213552068888,0.2306543258694248,0.16600243822693656,0.16599825170092325,0.15501434906803938,0.1549958184259532,0.10322051669969962,0.03795882651098274,0.03635560927944248,0.03387670554811227,0.031976498686392185,0.030095836212863727,0.029290238814322488,0.02909096530778825,0.029025473447416926,0.028078358692286122,0.027321220922159557,0.027286863273224958,0.027139793699632014,0.027006909966998973,0.02566420430728901,0.025607079244955172,0.02558043599813983,0.024749435472709736,0.023802407770368357,0.02320731078951265,0.02250868776573663,0.022084556455823204,0.021232964697493112,0.020629341994378665,0.020483233393852544,0.02045625293670396,0.02024914330550539,0.020237095642808955,0.019582130455351673,0.019096091733698563,0.017642350435196262,0.016096067618581393,0.01563103297174645,0.015239895163922296,0.013950118422238249,0.012918595120576429,0.011104956300363098,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.3877787807814457e-17,3.469446951953614e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.3010426069826053e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0006584039275841548,0.0006548632687397965,0.6731720087617439,0.000603246147795182,0.5503907907566308,0.0005609812990974822,0.7315239457768561,0.7315282903313982,0.6900384522894825,0.6900173878025677,0.6614844218823175,0.6614681575000587,0.00041371191886502637,0.4228155554238273,0.5763448813317814,0.5763241194167918,0.5529784426566242,0.5529754030029086,0.4393206055955172,0.4393256297020182,0.0025252687222786395,0.00027252017985607865,0.0002720828692161236,0.0025248466423534706,0.00016455749434049732,0.5503902402057024,0.00011838406029474158,0.6731714823876794,0.42281520837713527,0.0001056978575231991,0.051125068521615684,0.0007782121975569505,0.0006642907410734331,0.0007411984485153521,0.0007223614006057269,0.0006020685630656223,0.0006504298606356726,0.0007864567570490943,0.0007133778617554373,0.020581857805548557,0.01978419973663212,0.0007165344986889736,0.0006611215838796087,0.021459963997395973,0.018200497168742558,0.018932787649350864,0.019311955903177698,0.0006054152117933402,0.015246035052667781,0.0006558232141148812,0.0005450972577685099,0.013636501810592803,0.0005493921823176049,0.015296247288726784,0.000645601871566588,0.008923556180677767,0.009922139950895314,0.009416305597158284,0.013400155061795066,0.014721005289936383,0.0004266329057260708,0.012567483382710302,0.012202163081053579,0.012941997276644903,0.000651757294614603,0.0005490668373476209,0.008923173504714062,0.0,5.551115123125783e-17,0.0,0.0,5.838428698834441e-17,5.421010862427522e-20,0.0,2.8189256484623115e-18,0.0,0.0,2.8189256484623115e-18,5.551115123125783e-17,0.0,5.421010862427522e-20,5.551115123125783e-17,2.710505431213761e-20,2.710505431213761e-20,3.903127820947816e-18,2.710505431213761e-20,1.3444106938820255e-17,0.0,3.903127820947816e-18,0.0,2.710505431213761e-20,4.489274620447792e-20,5.551115123125783e-17,5.551115123125783e-17,2.4936649967166602e-18,6.013933925505532e-20,0.0,0.0,4.336808689942018e-19,1.3552527156068805e-20,0.0,0.0,1.3552527156068805e-20,2.710505431213761e-20,0.0,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,1.3552527156068805e-20,1.3552527156068805e-20,8.673617379884035e-19,2.371692252312041e-20,1.734723475976807e-18,0.0,1.3552527156068805e-20,4.336808689942018e-19,5.421010862427522e-20,5.421010862427522e-20,0.0,8.673617379884035e-19,0.0,8.673617379884035e-19,0.0,1.1102230246251565e-16,1.6940658945086007e-20,1.5246593050577406e-19,0.0,2.7755575615628914e-17,5.421010862427522e-20,1.0164395367051604e-20,1.0842021724855044e-19,0.0,2.710505431213761e-20
2,8.068832031244753e-05,9.69912103514086e-05,0.6731941908871393,8.441915723515824e-05,0.550441882854929,8.032845025390373e-05,0.002558120513051625,0.00256441177019465,0.002417250741485002,0.02856207684718451,0.0023091723391852415,0.028552066906851442,3.0465905509035837e-05,0.0014731220078478973,0.576362162021322,0.5763806294466087,0.11365951237537719,0.0019336636460471242,0.0015269125911740525,0.11365136369806134,1.5711111391332633e-05,4.7172986451090315e-07,3.07902961315594e-05,1.4936941893417876e-05,2.683492982037647e-05,0.5504405657294285,1.9462811212280927e-05,0.6731928547651874,0.001472949027921756,1.1779135106224755e-06,0.01871040734158459,0.0004990420019780736,0.00027994164360887374,0.0008489148580181152,0.0015562069238722965,0.0012046752965161364,0.0008479662132437383,0.0013512543859682026,0.0015355853473214857,0.008639185255846962,0.008343141029565421,0.001326721114515806,0.0004983674946540766,0.002673297845461155,0.0024418985385738032,0.00236530854523746,0.0025840113462933653,0.0012253517444661406,0.0021695462202205662,0.0013755814122241726,0.00027923281474055765,0.0017650617112987513,0.0006741736834763583,0.0024861128863802326,0.0008482454154862078,0.011091440630438272,0.002181995776559159,0.0018963510561760214,0.002475600353032713,0.00731874678936385,0.0004989192065155471,0.0024508424472135517,0.009179086880577196,0.002523620032609839,0.0013863073959556739,0.000847859399425014,0.011091474321754584,3.3881317890172014e-21,2.7755575615628914e-17,2.168404344971009e-19,3.3881317890172014e-21,8.315237739900741e-17,3.3881317890172014e-21,0.0,8.089164646278568e-20,2.168404344971009e-19,5.551115123125783e-17,1.0249098661777034e-19,0.0,1.6940658945086007e-21,3.3881317890172014e-21,5.551115123125783e-17,6.776263578034403e-21,0.0,2.7755575615628914e-17,3.3881317890172014e-21,9.275010772434589e-20,1.6940658945086007e-21,5.551115123125783e-17,3.3881317890172014e-21,0.0,7.940933880509066e-23,2.168404344971009e-19,1.0842021724855044e-19,1.3877787807814457e-17,5.293955920339377e-23,0.0,1.0842021724855044e-19,0.0,1.0842021724855044e-19,2.168404344971009e-19,2.710505431213761e-19,0.0,5.421010862427522e-20,4.336808689942018e-19,1.3010426069826053e-18,8.673617379884035e-19,8.673617379884035e-19,0.0,2.168404344971009e-19,1.0842021724855044e-19,0.0,6.776263578034403e-20,5.421010862427522e-20,0.0,4.0657581468206416e-20,1.0842021724855044e-19,1.6940658945086007e-21,5.082197683525802e-21,1.734723475976807e-18,0.0,2.168404344971009e-19,0.0,0.0,8.326672684688674e-17,9.486769009248164e-20,1.3552527156068805e-20,1.0842021724855044e-19,1.3877787807814457e-17,5.421010862427522e-20,0.0,0.0,1.6940658945086007e-21,5.082197683525802e-21
3,1.547457154582855e-05,1.4201266270429962e-05,0.004030521114992679,1.2908359493317817e-05,0.02592501335488266,9.588220860881647e-06,5.1396509543832685e-05,5.2473641217736145e-05,5.249007468627925e-05,0.028552964859757043,5.190093994133553e-05,0.02855114922774151,1.374471924369433e-05,4.354726687791118e-05,0.003454111500369262,0.025947305282795593,0.0006905756551327824,2.4184527861159687e-05,4.203623398157034e-05,0.0006928200730194293,2.416674330138277e-05,2.7083362578793173e-06,1.2605712063101969e-05,2.493884873524924e-05,1.024864623121785e-05,0.025925733152981183,1.5759449104033936e-05,0.004030929327580484,4.3060186661272835e-05,3.1367231278734016e-06,0.004226422452518771,3.465338123786998e-06,1.8846028347264885e-06,5.947841812096136e-06,0.0013514234038064623,0.0004585438178562352,5.914847554928089e-06,0.000548401289466704,0.00045619251157701357,0.001318033836540656,0.001202346172595944,0.0004577979106278793,0.0002489735626989199,0.0001552821839666664,0.0019709531513619222,0.0005554403337695772,0.0018255552926493492,0.0010630431333645838,0.002287074625492173,0.00045733177733686144,5.893609626477866e-05,0.0017998243318847148,0.00021046707344960029,0.0015534551480183229,0.0009021241552708217,0.001769582076301135,0.0023355457329656297,0.001798883487149882,0.0015534519292523948,4.302505718253616e-05,0.001064727143218614,0.002016858021161633,0.0013453981796666702,0.0017796736174823568,0.0013609822733871256,0.0009021665405589527,0.0017695718223519283,0.0,1.734723475976807e-18,3.3881317890172014e-21,4.235164736271502e-22,1.2951133763518252e-18,0.0,5.293955920339377e-23,0.0,3.3881317890172014e-21,4.336808689942018e-19,2.541098841762901e-21,0.0,0.0,0.0,0.0,1.2705494208814505e-21,0.0,2.168404344971009e-19,4.235164736271502e-22,1.6940658945086007e-21,1.0587911840678754e-22,2.168404344971009e-19,0.0,5.955700410381799e-23,1.838408911399104e-22,3.3881317890172014e-21,7.623296525288703e-21,0.0,6.377562522783843e-22,2.168404344971009e-19,0.0,3.3881317890172014e-21,6.776263578034403e-21,1.0842021724855044e-19,1.0842021724855044e-19,2.710505431213761e-20,0.0,1.0842021724855044e-19,0.0,0.0,3.3881317890172014e-21,3.3881317890172014e-21,0.0,5.421010862427522e-20,1.0842021724855044e-19,8.131516293641283e-20,1.0842021724855044e-19,0.0,2.710505431213761e-20,1.0842021724855044e-19,0.0,4.235164736271502e-22,1.0842021724855044e-19,1.0842021724855044e-19,3.3881317890172014e-21,3.3881317890172014e-21,3.3881317890172014e-21,1.0842021724855044e-19,1.6263032587282567e-19,0.0,1.0842021724855044e-19,1.3877787807814457e-17,0.0,2.168404344971009e-19,3.2526065174565133e-19,4.235164736271502e-22,0.0
4,1.0511537680404474e-05,1.6886256495176176e-06,0.00014790203040541326,1.6923186069349247e-06,1.534943086287758e-05,6.878616924581094e-07,1.0854333463239424e-05,4.657094689681064e-06,4.658861068921098e-06,1.6906953145705724e-05,1.081828884804702e-05,1.6894406276678544e-05,7.152494146165481e-06,0.00015701319261631695,0.00010125522831814766,1.5341961433189685e-05,0.0001012528514909502,3.5404984313320527e-06,0.00015701483949035792,0.00010125588732800146,3.5341199126590907e-06,6.823810484212353e-07,7.154118531219081e-06,3.5345510463455946e-06,7.149417545561471e-06,1.534820480257753e-05,1.051587593976293e-05,0.0001478973669923497,0.00015701414269530146,6.813121058205754e-07,0.0001393159765039215,8.487091018135651e-09,2.5285130934767827e-09,1.4711348789800463e-08,3.5545853373221134e-07,1.6164875829673754e-08,2.2791825475846016e-09,2.752724209465596e-05,4.474043455907024e-05,9.756677723731133e-05,0.00010308929575774837,4.473865091115403e-05,1.89568633967772e-08,3.365505323284061e-05,3.8712728359293497e-05,8.176279643988158e-09,0.00013565660787280816,0.00011291895717707303,3.863395082835977e-05,4.475184125950255e-05,7.83536070819942e-06,4.5148379051044455e-08,1.3042258816538732e-09,4.1812070850073474e-05,1.7116018853298978e-08,0.0001051246458328975,0.0001356485844926117,5.6079605353257027e-05,4.183599618772362e-05,9.774553947593567e-06,0.00011291277290888141,0.00013570633345330184,0.00012136617474531165,6.0101074632806465e-05,0.00014288031901558949,4.7894303873506706e-05,0.00010512487037624127,5.293955920339377e-23,1.6940658945086007e-21,0.0,2.117582368135751e-22,2.5940384009662948e-21,8.470329472543003e-22,3.308722450212111e-24,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,1.0587911840678754e-22,1.0587911840678754e-22,0.0,3.308722450212111e-24,2.117582368135751e-22,5.293955920339377e-23,0.0,3.3881317890172014e-21,1.3234889800848443e-23,0.0,2.481541837659083e-24,0.0,8.470329472543003e-22,2.481541837659083e-24,4.9424407631503426e-24,5.293955920339377e-23,3.3881317890172014e-21,1.3552527156068805e-20,5.045958246577065e-24,1.0164395367051604e-20,0.0,8.470329472543003e-22,0.0,6.776263578034403e-21,6.776263578034403e-21,3.3881317890172014e-21,3.3881317890172014e-21,0.0,2.0328790734103208e-20,0.0,0.0,8.470329472543003e-22,0.0,0.0,6.776263578034403e-21,3.3881317890172014e-21,0.0,6.776263578034403e-21,0.0,0.0,6.352747104407253e-22,3.970466940254533e-23,2.710505431213761e-20,6.776263578034403e-21,1.0587911840678754e-22,8.470329472543003e-22,0.0,4.235164736271502e-22,3.3881317890172014e-21,1.3552527156068805e-20,6.776263578034403e-21,6.776263578034403e-21,2.710505431213761e-20,1.3552527156068805e-20,2.710505431213761e-20,1.3234889800848443e-23,0.0
5,5.121562384355696e-07,2.8617700688353067e-10,8.662301916597704e-09,2.8621309367012593e-10,9.759046710066086e-08,1.340863658295725e-10,1.3208407617311486e-05,2.66753101091107e-08,1.1240497723608283e-07,1.0684654334194727e-07,1.3208407594930541e-05,9.759000771215762e-08,5.121562280745301e-07,1.7235408871581075e-07,7.701099651355597e-12,9.759020749783091e-08,7.382953404629223e-12,2.6674444389282288e-08,1.7235406202574752e-07,8.662024068029993e-09,2.6674647511100182e-08,1.340784625571396e-10,5.7519634563981453e-08,2.6674647306232774e-08,5.751961592869682e-08,9.75904662162111e-08,5.121562349230499e-07,8.662302149443628e-09,1.723540893898677e-07,2.862150663662656e-10,4.2334242147027044e-07,2.465212275875453e-13,1.1798640804744603e-13,3.326286183813029e-13,1.828290046678673e-08,6.181872928984926e-14,2.5208337369278715e-13,2.9553756671856895e-08,3.1043872358369565e-13,5.652406097339259e-09,5.65077499186651e-09,3.6727965781974155e-13,1.1621105158702208e-08,5.497712617635009e-07,0.002065995102038265,4.4020238798246e-09,4.36790923979058e-07,3.791719190841393e-08,0.0020659951019819708,1.6865145120237772e-08,3.7917689838621135e-08,4.207965540661048e-09,2.493680350561126e-13,6.988506878666486e-07,2.955782306015152e-08,3.528884986346385e-07,8.952486536122429e-07,5.497721479217939e-07,8.95133353616016e-07,8.018181266363303e-07,3.791719188144173e-08,6.027308018473358e-07,7.787564842761827e-07,3.0685487182657007e-07,8.753970396911932e-08,3.791825570595355e-08,3.5288849752107776e-07,0.0,6.617444900424222e-24,0.0,3.1554436208840472e-30,8.495144890919594e-22,9.926167350636332e-24,1.5777218104420236e-30,1.3877787807814457e-17,8.470329472543003e-22,8.271806125530277e-25,0.0,1.3234889800848443e-23,6.462348535570529e-27,0.0,0.0,1.262177448353619e-29,0.0,2.481541837659083e-24,5.169878828456423e-26,6.617444900424222e-24,0.0,2.481541837659083e-24,5.169878828456423e-26,6.310887241768095e-30,3.0910651754470262e-27,6.617444900424222e-24,2.7755575615628914e-17,0.0,9.638200850889259e-28,2.6469779601696886e-23,1.6543612251060553e-24,0.0,0.0,0.0,5.293955920339377e-23,1.2407709188295415e-24,8.271806125530277e-25,2.6469779601696886e-23,5.293955920339377e-23,0.0,1.0587911840678754e-22,1.0587911840678754e-22,3.308722450212111e-24,1.6543612251060553e-24,2.6469779601696886e-23,2.6469779601696886e-23,5.293955920339377e-23,0.0,0.0,5.293955920339377e-23,7.754818242684634e-26,3.1554436208840472e-30,2.6469779601696886e-23,5.293955920339377e-23,0.0,1.0587911840678754e-22,1.6543612251060553e-24,0.0,7.940933880509066e-23,2.6469779601696886e-23,0.0,0.0,0.0,0.0,1.3234889800848443e-23,6.462348535570529e-27,0.0
6,7.126565364352579e-07,3.5093090117668657e-08,1.935594277894777e-06,3.5088260307967256e-08,1.4686389915323871e-05,3.509412100438526e-08,6.827186835548357e-06,5.408691026042809e-06,5.408735146011175e-06,1.4686391884753944e-05,6.827141561323001e-06,1.468637876401372e-05,7.126587800639323e-07,6.827143072258098e-06,1.935590654399287e-06,1.4686380779103664e-05,1.935593964189478e-06,5.408658701196442e-06,6.827144185153143e-06,1.935584858895841e-06,5.408663965712072e-06,3.509379173907692e-08,7.126573280209043e-07,5.408664112662986e-06,7.126566469874857e-07,1.4686390059984429e-05,7.126571734749359e-07,1.9355942651143634e-06,6.827143337049897e-06,3.508811001484928e-08,1.8515558906323036e-05,7.1464337823276106e-12,5.532374148081303e-12,7.58292696086832e-12,3.6516149641343413e-07,7.114463823635549e-12,5.827610339289692e-12,3.6516270011321455e-07,4.392578374280618e-12,9.612593975815014e-11,9.420560080849232e-11,3.616222817907924e-12,5.679799472975473e-08,7.372310055998544e-06,4.932226511941246e-07,1.288301622850756e-11,4.888897432811049e-07,1.6178494260006696e-07,4.932262205677893e-07,3.836358154440295e-08,4.5010273267933323e-07,1.2036901694550614e-11,4.9770634679326825e-12,2.8993893556253383e-06,5.6805603717013325e-08,4.039165394788978e-07,4.888583673893071e-07,7.3723093076632375e-06,2.8993931479719055e-06,1.1794446319086641e-05,1.6178488078025814e-07,4.1404097064445835e-06,2.232393731567218e-06,6.66255446465866e-06,2.0049376789995037e-06,4.501083116764881e-07,4.0391651918410246e-07,3.308722450212111e-24,8.470329472543003e-22,0.0,0.0,2.0844951436336297e-22,0.0,0.0,6.352747104407253e-22,0.0,2.117582368135751e-22,4.235164736271502e-22,0.0,0.0,4.0389678347315804e-28,0.0,0.0,2.6469779601696886e-23,0.0,5.293955920339377e-23,3.2311742677852644e-27,2.524354896707238e-28,2.117582368135751e-22,0.0,1.5146129380243427e-28,2.0807009778806417e-24,1.6155871338926322e-27,2.117582368135751e-22,1.0587911840678754e-22,2.080828933777252e-24,0.0,3.308722450212111e-24,0.0,3.308722450212111e-24,0.0,0.0,6.617444900424222e-24,3.308722450212111e-24,4.235164736271502e-22,0.0,0.0,1.6940658945086007e-21,0.0,0.0,3.308722450212111e-24,0.0,6.352747104407253e-22,0.0,4.235164736271502e-22,0.0,4.235164736271502e-22,1.3234889800848443e-23,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,2.0679515313825692e-25,2.117582368135751e-22,0.0,6.352747104407253e-22,0.0,0.0,2.117582368135751e-22,0.0,1.3234889800848443e-23,0.0
7,1.824564821985683e-07,2.6119452448655927e-09,5.7637556463408013e-08,2.611938465194526e-09,5.079795622378421e-08,2.611986444125808e-09,8.15664116779506e-08,7.055704297446276e-08,7.055706394489898e-08,5.0797962930950973e-08,8.15664385841005e-08,5.079795842374232e-08,1.824564661793722e-07,8.156653666305929e-08,5.7637543677164215e-08,5.079796394984533e-08,5.7637546558306835e-08,7.055700045783388e-08,8.156653913554726e-08,5.763758321475473e-08,7.055699567962427e-08,2.611984500272377e-09,1.8245660630372593e-07,7.055699432422124e-08,1.8245661055402262e-07,5.079796484756624e-08,1.82456485718242e-07,5.7637554446012676e-08,8.156653695250087e-08,2.611936831167906e-09,6.520589500574767e-08,2.0457904759041276e-14,4.3143244070171976e-14,3.494280620018903e-14,7.622507816076895e-08,9.296599094077317e-15,1.911991904942204e-14,7.622506486689425e-08,3.9091004567050324e-14,1.742559536666244e-11,1.7424161268041093e-11,4.745522437192221e-14,1.159672922315931e-08,1.7569384015950995e-07,5.883477580610533e-08,1.0451924741487877e-12,1.382028186959642e-08,3.2349496858685335e-08,5.8834762985302745e-08,2.2303202106601828e-07,9.013253960618368e-08,1.052117880357168e-12,1.5880548163980116e-16,8.05895781341946e-08,1.1596661667274438e-08,1.4376537881951703e-08,1.382014332163e-08,1.75693822308017e-07,8.058960716505927e-08,4.3303522667499306e-08,3.2349491322108394e-08,1.482066559139013e-07,1.8104729993697249e-07,6.355774058812553e-07,1.0519380130261147e-07,9.013259966749505e-08,1.437654505436145e-08,2.0679515313825692e-25,3.308722450212111e-24,8.271806125530277e-25,6.310887241768095e-30,2.9985297205047253e-23,0.0,0.0,5.293955920339377e-23,0.0,6.617444900424222e-24,1.9852334701272664e-23,6.617444900424222e-24,0.0,1.262177448353619e-29,2.0679515313825692e-25,3.1554436208840472e-30,0.0,0.0,6.617444900424222e-24,3.2311742677852644e-27,7.888609052210118e-30,1.3234889800848443e-23,1.6543612251060553e-24,2.3665827156630354e-30,5.570735300400772e-26,2.4233807008389483e-27,2.6469779601696886e-23,3.308722450212111e-24,5.5704538449987e-26,0.0,0.0,9.926167350636332e-24,2.6469779601696886e-23,0.0,0.0,0.0,0.0,1.3234889800848443e-23,1.3234889800848443e-23,9.926167350636332e-24,1.3234889800848443e-23,1.3234889800848443e-23,1.9852334701272664e-23,0.0,1.3234889800848443e-23,3.3087224502121107e-23,0.0,6.617444900424222e-24,1.3234889800848443e-23,1.0587911840678754e-22,0.0,3.1554436208840472e-30,1.3234889800848443e-23,1.3234889800848443e-23,6.617444900424222e-24,1.3234889800848443e-23,8.271806125530277e-25,3.101927297073854e-25,6.617444900424222e-24,0.0,1.9852334701272664e-23,0.0,0.0,6.617444900424222e-24,0.0,3.308722450212111e-24,0.0
8,3.942736282539711e-08,1.8372504066673066e-10,3.4916173466981736e-08,1.8372500388720705e-10,3.4788369779185114e-08,1.8372370398663072e-10,8.222531189717219e-08,2.1558052769130844e-08,2.1558055903167678e-08,3.478837152510662e-08,8.222530944444411e-08,3.47883711467124e-08,3.942736239348348e-08,8.2225295973193e-08,3.4916172860438245e-08,3.478837030487515e-08,3.49161725877271e-08,2.1558049684600456e-08,8.222529583895381e-08,3.491617394075819e-08,2.1558049735948056e-08,1.8372363588522623e-10,3.942736719735952e-08,2.15580498188607e-08,3.9427366779626407e-08,3.4788369444260915e-08,3.942736275656446e-08,3.491617356468201e-08,8.222529594562388e-08,1.8372482675629565e-10,1.711526212090664e-07,9.74861550780698e-15,1.8232443855664085e-15,6.718698038011789e-15,1.7371987951654765e-08,5.569942219917246e-16,4.139058445982299e-16,1.7371987570521613e-08,2.5298216351767952e-14,6.279398298938157e-10,6.279403930512652e-10,2.453495016917939e-14,2.590885934857856e-09,8.829749208946033e-09,3.377321346751775e-09,1.1523275367825175e-11,7.378628213456969e-09,7.0764909708418794e-09,3.377319941411836e-09,4.3586824047071754e-08,1.9747375376229657e-08,1.152508943350247e-11,3.9342350104884515e-17,4.219443276040949e-08,2.5908807595684013e-09,2.19398274283505e-08,7.378616740299808e-09,8.829747692591566e-09,4.219443111863549e-08,2.3006230234005704e-08,7.0764916696581494e-09,1.6102752389698864e-08,6.083460136005004e-08,1.4159429206130936e-08,1.3462783972109108e-08,1.9747375950310816e-08,2.1939827110021676e-08,1.2924697071141057e-25,3.308722450212111e-24,4.1359030627651384e-25,3.944304526105059e-30,1.2924697071141057e-25,3.308722450212111e-24,7.099748146989106e-30,6.617444900424222e-24,0.0,6.617444900424222e-24,0.0,1.6543612251060553e-24,8.271806125530277e-25,8.283039504820624e-30,8.271806125530277e-25,4.930380657631324e-32,1.6543612251060553e-24,0.0,3.308722450212111e-24,0.0,9.860761315262648e-32,3.308722450212111e-24,2.0679515313825692e-25,6.162975822039155e-32,1.9565320313497362e-25,2.5849394142282115e-26,6.617444900424222e-24,1.6543612251060553e-24,9.225548096554136e-26,1.6791766434826462e-22,3.308722450212111e-24,3.308722450212111e-24,0.0,1.6791766434826462e-22,1.6791766434826462e-22,3.308722450212111e-24,3.308722450212111e-24,0.0,1.3234889800848443e-23,0.0,4.963083675318166e-24,1.6543612251060553e-24,8.271806125530277e-25,6.617444900424222e-24,1.3234889800848443e-23,8.271806125530277e-25,1.6874484496081765e-22,3.308722450212111e-24,1.6543612251060553e-24,1.6791766434826462e-22,2.0679515313825692e-25,4.930380657631324e-32,0.0,1.3234889800848443e-23,1.6543612251060553e-24,1.6543612251060553e-24,8.271806125530277e-25,8.271806125530277e-25,1.6543612251060553e-24,8.271806125530277e-25,4.1359030627651384e-24,4.963083675318166e-24,1.6543612251060553e-24,3.308722450212111e-24,8.271806125530277e-25,0.0,3.944304526105059e-30
