,Y3Z5,Y5Z3,Y2Z3,Y3Z2,Y4Z5,Y5Z4,Y2Z5,Y5Z2,Y0Z2,Y2Z0,Y0Z4,Y4Z0,Y1Z5,Y5Z1,Y1Z3,Y3Z1,Y1Z0,Y0Z1,Y4Z3,Y3Z4,Y1Z4,Y4Z1,Y0Z3,Y3Z0,Y0Z5,Y5Z0,standard_x,Y4Z2,Y2Z4,X0X5,X2X5,X3X4,X2X4,X1X5,X0X3,X3X5,X5,Y2Y4,X1X2,Y0Y5,X1X3,X2X3,Y3Y4,Y3Y5,Y2Y5,X3,X4X5,X2,X0X2,Y1Z2,Y2Z1,Y2Y3,Y0Y3,Y1Y2,X1X4,X0X4,Y1Y4,X4,Y1Y5,Y1Y3,X0X1,X0,Y4Y5,X1,Y0Y2,Y0Y4,Y0Y1,Y4,X2Y1,Y3,Y1,X5Y0,X3Y1,X1Y2,X0Y5,X3Y4,X5Y2,X3Y2,Y2,Y0,X4Y3,X4Y2,X4Y1,X2Y5,X2Y3,X2Y0,X5Y4,X1Y3,X1Y0,X0Y1,standard_y,X5Y1,X2Y4,X0Y4,X1Y5,X0Y2,X2Z0,X5Z4,X4Z1,X3Z2,X3Z1,X2Z1,X2Z5,X4Z0,X3Z0,X0Z2,X4Z3,X5Z2,X2Z4,X1Z0,X0Z4,X3Z4,X1Z5,X1Z3,X0Z5,X4Z2,X1Z4,X0Z3,X1Z2,Y5,X5Z3,X5Z1,X5Z0,X5Y3,X4Z5,X4Y5,X4Y0,X3Z5,X3Y5,X3Y0,X2Z3,X1Y4,X0Z1,X0Y3
0,0.7949676127546648,0.7949226080817864,0.743379976346344,0.743367985598337,0.7369312397207095,0.7368232913699633,0.6248510835244603,0.6248056307270287,0.4880077120671257,0.48795324264183626,0.3387150801858959,0.3387022529616269,0.3110288605043846,0.31096342618260064,0.283841291038922,0.28379764313530226,0.27186660849094907,0.2718595307699867,0.134997408799725,0.1349852754193796,0.11770184616441115,0.11769432462777617,0.08187400847311804,0.08186354942147303,0.07232888500115983,0.07231555102649094,0.05535991045451486,0.03575201286892598,0.0357493761780161,0.020958292024888078,0.020693626632371405,0.019449804758985195,0.018713299247486798,0.017393686330473723,0.017155950424033548,0.01693739433602552,0.016676729176036284,0.01454892739035059,0.014477068094449402,0.014083323502691758,0.013943788916464885,0.013676775979648469,0.013471752936209556,0.013165101491705428,0.013122181405393871,0.012903308116396443,0.012726974991062377,0.011828147760297492,0.011452375885399962,0.011035928177266967,0.01103440910303538,0.010894988890261713,0.010863587573005026,0.010844897892294921,0.009286763909496867,0.009004763509536315,0.007200274640114872,0.006912093275539029,0.00677890040072199,0.005872538850761738,0.005561269213782499,0.004387574138854492,0.0038156599006919636,0.002652057987391118,0.0024236150956415308,0.0022761120178696114,0.0018198558698401515,6.938893903907228e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.9081958235744878e-17,1.9081958235744878e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.0408340855860843e-17,5.204170427930421e-18,1.3010426069826053e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.5236570605778894e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,8.131516293641283e-20,5.421010862427522e-20,5.421010862427522e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00031478007772445607,0.00031367963078690955,0.11852851749575784,0.0002938122238537117,0.601936154425066,0.0002917853858291279,0.11852837261734564,0.0002447749414298321,0.4880103275434917,0.48802146186642104,0.33871726156383786,0.3387144780874171,0.027187766555219636,0.0001214433237965547,0.027187640437397406,0.00011095209911473982,0.2718739693275687,0.27186138246999036,0.6019359549964265,5.26967128239581e-05,0.11770510036111975,0.11769868377003825,0.00954512129904337,3.195002621433788e-05,0.009545008583296627,2.8073609875037377e-05,0.010857284546259617,0.035753355587995334,0.03575446515575193,0.0005945200459516954,0.0006342011901720158,0.0006305929107449856,0.00709841995025894,0.0005893445684636645,0.0005924560673896914,0.003601059444333062,0.0005925694658891138,0.0016226318955256808,0.003301378600590552,0.0002850727792747922,0.0005950973211484197,0.0005513810132148898,0.00035992390835478305,0.003600814630665563,0.000563837926252291,0.0005912154349423577,0.0005541581295293133,0.0024611491778142574,0.001989712192197281,0.011036268658482734,0.011036009503761907,0.0005201247992084204,0.0002804909406194932,0.0025581102999506717,0.005239776446280682,0.006546726162314952,0.001998880477485558,0.004661738919950604,0.00022868041710559544,0.0002381319987918861,0.0035070151176914924,0.004075604969253383,0.0001388276441081688,0.0008425763800728443,0.0003177684886712102,0.0008125660361764599,0.000859288082612092,0.0,4.163336342344337e-17,6.776263578034403e-21,0.0,6.776263578034403e-21,1.3552527156068805e-20,0.0,2.0328790734103208e-20,6.776263578034403e-21,0.0,1.3552527156068805e-20,2.7755575615628914e-17,0.0,1.3552527156068805e-20,2.7755575615628914e-17,0.0,6.776263578034403e-21,6.776263578034403e-21,5.551115123125783e-17,3.3881317890172014e-21,5.082197683525802e-21,3.6076888914410795e-18,6.800357488121694e-18,2.776912814278498e-17,3.3881317890172014e-21,6.938893903907228e-18,6.938893903907228e-18,1.0164395367051604e-20,0.0,2.168404344971009e-19,2.0328790734103208e-20,0.0,0.0,0.0,0.0,0.0,6.505213034913027e-19,2.710505431213761e-20,4.336808689942018e-19,1.0842021724855044e-19,0.0,1.3552527156068805e-20,2.710505431213761e-20,1.0842021724855044e-19,6.776263578034403e-21,0.0,1.3552527156068805e-20,1.6940658945086007e-20,5.421010862427522e-20,2.710505431213761e-20,3.7269449679189215e-20,8.470329472543003e-21,6.776263578034403e-21,0.0,0.0,2.710505431213761e-20,6.938893903907228e-18,1.0842021724855044e-19,0.0,5.551115123125783e-17,2.710505431213761e-20,3.469446951953614e-18,6.776263578034403e-21,5.421010862427522e-20,2.7755575615628914e-17,8.673617379884035e-19,1.3552527156068805e-20
2,3.594632045684164e-05,1.2463364233592644e-05,0.15427332206049482,3.5592302448024315e-05,0.0026051082070881353,1.4074659487173951e-05,0.15427298863788985,9.869809873918857e-06,0.4879927346232269,0.48801041386225336,0.3482493508122524,0.0014588886063700746,0.09051447862257733,5.225032286241235e-06,0.0905151029869534,1.9720703045723574e-05,0.2718731172209067,0.27184681291902135,0.0026048800974459597,3.643272599694094e-05,0.09051738951507673,0.0005059248095795198,0.3482455889940558,5.930932602443575e-06,0.34824508596724113,3.631053044689187e-06,0.010843775878919023,0.00015367176991612288,0.15427362571341427,0.0003076647277081942,0.0003082233131000443,0.00030820501623846596,0.002025816022544343,0.00030770678788617073,0.0016503871629517698,0.001448796848066002,0.00030778367977978157,0.0005358067341335068,0.005064084454167157,8.578582121578787e-05,0.0016545784271737732,0.0015252536617846178,0.00030437867772558074,0.0014487945264476452,0.00016023566407928164,0.001691922201937465,0.0014466785776306183,0.0038980108793362843,0.0028155862103356214,0.011036486162027292,0.01103581809857812,0.0014556499289134278,0.00040994559878003087,0.004271070341529836,0.001991362132049582,0.0015373699267687466,0.0007827361012599028,0.0020334951425685327,8.162642283658165e-05,0.0005395716282485345,0.004793937454064494,0.005742305594190071,0.0014458528033976022,0.0011696701445413804,0.0017406514385683517,0.0010776215521887287,0.0009034625652192024,1.6263032587282567e-19,0.0,1.6940658945086007e-21,8.326672684688674e-17,4.235164736271502e-22,4.235164736271502e-22,2.7755575615628914e-17,0.0,8.470329472543003e-22,8.470329472543003e-22,0.0,2.7755575615628914e-17,0.0,8.470329472543003e-22,1.0842021724855044e-19,5.421010862427522e-20,0.0,1.6940658945086007e-21,2.7755575615628914e-17,1.6940658945086007e-21,8.470329472543003e-22,4.92498595935187e-18,3.882337204937967e-18,1.1085713103780107e-16,4.235164736271502e-22,2.168404344971009e-19,1.0842021724855044e-19,0.0,3.469446951953614e-18,0.0,0.0,4.336808689942018e-19,0.0,2.168404344971009e-19,4.336808689942018e-19,2.168404344971009e-19,3.7947076036992655e-19,1.0842021724855044e-19,4.336808689942018e-19,5.421010862427522e-20,0.0,3.2526065174565133e-19,0.0,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,2.168404344971009e-19,3.3881317890172014e-21,8.131516293641283e-20,0.0,6.776263578034403e-21,8.470329472543003e-22,6.776263578034403e-21,2.710505431213761e-20,0.0,1.3552527156068805e-20,1.6263032587282567e-19,0.0,1.0842021724855044e-19,1.0842021724855044e-19,2.710505431213761e-20,0.0,1.0842021724855044e-19,2.710505431213761e-19,8.673617379884035e-19,3.3881317890172014e-21
3,2.8416302762227876e-05,9.993807350047712e-06,0.0002593712934274575,2.6260678429365518e-05,0.00014954737493219324,1.0355352492630802e-05,0.000258814819767847,3.7484612726595345e-06,0.0008187456217728356,0.0008480505288922698,0.0005745752343866268,6.941137329489943e-05,0.09051374216373582,3.963074787246758e-06,0.09051417629812969,1.961025147490951e-05,0.260833750207168,0.00044977979879086145,0.0001493945327984499,2.8502016750583846e-05,0.0905139995214623,2.6524087989272714e-05,0.0005750094240163169,2.7506747278263392e-05,0.0005745586631338646,3.7007136243488445e-06,0.007976209347032512,6.926534546444096e-05,0.00025884204690923855,4.0103319919374925e-07,4.7395489757691685e-07,0.0002536656308695284,1.6670086685671256e-05,0.00025366488901015815,0.0004356186895573766,0.0006425336617951263,0.0002536900929905661,7.215992034090216e-05,0.003015729217366499,1.6001331722741212e-07,0.0006452898895662252,0.000612497197835405,0.0002536654676324174,0.0006425349120857211,3.0486215494007133e-07,0.0006767560172905392,0.0006253756403705587,0.0029815672518993044,0.0024599133591901266,0.26082710671519926,1.8591706787539776e-05,0.0010471257289339305,0.0010457819536109033,0.0017355672752864559,0.0007641908087079356,3.45561463705174e-06,0.00031936377523801107,0.0007835060898646554,6.650897206771152e-05,0.0004444688490430382,0.0034746513151511556,0.0035082145389362758,0.0006253302182626704,0.0016333675766133813,0.0024575468150115076,7.216095267921914e-05,0.0003476545923771357,1.6940658945086007e-21,1.3552527156068805e-20,0.0,2.7755575615628914e-17,2.117582368135751e-22,4.235164736271502e-22,2.710505431213761e-20,2.6469779601696886e-22,4.235164736271502e-22,0.0,1.6940658945086007e-21,5.421010862427522e-20,2.710505431213761e-20,0.0,1.0587911840678754e-22,0.0,0.0,5.082197683525802e-21,2.7755575615628914e-17,0.0,8.470329472543003e-22,1.2155890499500153e-20,1.6933638714118264e-21,2.7675531002113382e-17,2.117582368135751e-22,1.0587911840678754e-22,0.0,0.0,0.0,2.168404344971009e-19,6.776263578034403e-21,0.0,5.421010862427522e-20,0.0,0.0,1.0842021724855044e-19,5.421010862427522e-20,6.776263578034403e-20,2.168404344971009e-19,6.776263578034403e-20,0.0,0.0,5.421010862427522e-20,1.6263032587282567e-19,0.0,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,2.710505431213761e-20,1.0842021724855044e-19,0.0,1.0842021724855044e-19,4.235164736271502e-22,0.0,2.710505431213761e-20,1.3552527156068805e-20,1.6940658945086007e-21,1.3552527156068805e-20,0.0,5.293955920339377e-23,1.0842021724855044e-19,3.3881317890172014e-21,0.0,4.336808689942018e-19,3.3881317890172014e-21,0.0,3.3881317890172014e-21
4,9.186722250621243e-08,1.4956110639797857e-07,9.002715077480887e-06,1.5937873637965535e-08,8.406842644516728e-06,1.458848656325508e-07,9.002819389285212e-06,1.2204427000559302e-07,4.001879052000119e-06,1.1920837464693709e-05,2.833368304747796e-06,7.5272625225023e-06,4.568768791732294e-06,1.223620559898088e-07,4.568748653505832e-06,1.4290271779949248e-08,8.712587399091241e-06,5.226316755728874e-06,8.406815112607255e-06,9.131389086196597e-08,4.543732541080521e-06,7.71650844039722e-06,2.8319223122639295e-06,2.8031849252980535e-08,2.8319335279355505e-06,1.2222151601825212e-07,0.0017116675640288382,7.564681733107011e-06,8.993270723405008e-06,9.994330655929891e-11,4.9878815239861124e-11,3.5073764619951855e-06,3.70829183556208e-06,6.789300806765385e-11,3.5519816276001617e-09,0.00039543232038675383,3.5069681778407485e-06,3.922555238178977e-05,3.408125750935474e-05,1.0140855941842824e-10,2.2542706520525944e-06,4.8796233588934504e-06,3.507681520213877e-06,0.0003954323232079356,1.0915070474331875e-11,7.59582048755056e-06,7.452155871185069e-06,0.0010486348633161643,0.001186929045897431,8.740488563596556e-06,1.2009773459514241e-05,1.4340206430932201e-05,3.1411007966633975e-09,3.407341611341692e-05,3.947478591095068e-05,1.737266087828388e-09,0.00010325437993212623,0.00043105575275960103,4.1419156755293666e-10,4.43508367290136e-06,0.0011160402148011428,3.4060234606678535e-05,7.452203523081291e-06,0.0010489254302002047,0.0011869255457128281,6.574430035904138e-09,0.0011160325386155286,0.0,0.0,4.963083675318166e-24,8.470329472543003e-22,2.0679515313825692e-25,1.3234889800848443e-23,3.1763735522036263e-22,0.0,0.0,6.203854594147708e-25,0.0,0.0,0.0,6.617444900424222e-24,1.0587911840678754e-22,5.293955920339377e-22,0.0,0.0,1.6940658945086007e-21,3.308722450212111e-24,1.3234889800848443e-23,2.877243778125517e-22,2.8862306495605156e-22,8.65230920730467e-22,4.1359030627651384e-25,1.0587911840678754e-22,2.6469779601696886e-23,0.0,0.0,0.0,2.117582368135751e-22,0.0,8.470329472543003e-22,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,2.710505431213761e-20,4.235164736271502e-22,5.421010862427522e-20,0.0,3.3881317890172014e-21,8.470329472543003e-22,8.131516293641283e-20,5.421010862427522e-20,0.0,0.0,2.710505431213761e-20,0.0,5.421010862427522e-20,1.3234889800848443e-23,0.0,2.117582368135751e-22,2.117582368135751e-22,4.235164736271502e-22,2.710505431213761e-20,0.0,0.0,8.470329472543003e-22,4.235164736271502e-22,0.0,1.6263032587282567e-19,2.117582368135751e-22,3.3881317890172014e-21,0.0
5,5.694234059892585e-08,3.8307876755213293e-08,2.029726275445685e-08,1.0721751550863134e-08,2.970634426428626e-08,3.8302556374160386e-08,2.033240638584986e-08,3.280130209728136e-08,6.4588342391467065e-09,3.5161412553876424e-08,4.835074631266682e-09,1.8484593093223833e-08,2.1470993512529716e-07,3.2801908335778884e-08,2.147166205918422e-07,1.0574374833615343e-08,5.549835707732783e-07,6.46924323765296e-09,2.970750727617545e-08,5.694251402181502e-08,2.1471018561798227e-07,1.848096772765136e-08,4.8395293004620345e-09,1.06341329768196e-08,4.835087969431759e-09,3.2801641602025385e-08,3.427940595200914e-07,1.8485635554223905e-08,2.0332307610348716e-08,2.4655784187890865e-13,9.379139185782533e-14,2.9044532785114016e-07,1.1338471769261337e-08,8.501597946340715e-13,1.5426628521145736e-11,1.3210455223775873e-06,2.905650455439654e-07,1.1941672889810401e-07,9.622582500956453e-07,2.4016988594539937e-13,1.4187310466775588e-06,3.072059653076393e-06,2.904447429477584e-07,1.3210457441596827e-06,1.6687700804372963e-13,3.7037125887201137e-06,3.6134499477719494e-06,6.4841468868738554e-06,8.24757761020352e-06,5.549884443290003e-07,3.517852317351309e-08,9.025223572016595e-06,2.5995870564624556e-11,9.622643741351782e-07,1.2027227774524675e-07,2.3913238688788472e-14,3.143688188822591e-07,1.4295159979066843e-06,2.7694428702540072e-12,2.790845299531518e-06,6.200924374590218e-06,9.622525799101997e-07,3.613450032823979e-06,7.1627317927130274e-06,8.247577558018081e-06,1.803433398926261e-13,6.20092557629569e-06,1.6543612251060553e-24,6.203854594147708e-25,4.1359030627651384e-24,5.293955920339377e-23,4.0389678347315804e-28,1.6543612251060553e-24,8.271806125530277e-25,2.0194839173657902e-28,3.308722450212111e-24,8.077935669463161e-28,2.6469779601696886e-23,0.0,1.2407709188295415e-24,3.308722450212111e-24,0.0,4.1359030627651384e-25,1.6155871338926322e-27,2.6469779601696886e-23,5.293955920339377e-23,9.926167350636332e-24,9.926167350636332e-24,4.795085250003527e-25,4.816731038574967e-25,5.169878828456423e-23,3.6350710512584224e-27,0.0,0.0,0.0,0.0,4.235164736271502e-22,7.940933880509066e-23,0.0,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,8.470329472543003e-22,0.0,4.235164736271502e-22,1.0587911840678754e-22,2.117582368135751e-22,1.852884572118782e-22,8.470329472543003e-22,6.352747104407253e-22,1.0587911840678754e-22,8.470329472543003e-22,6.352747104407253e-22,2.117582368135751e-22,1.0587911840678754e-22,0.0,6.352747104407253e-22,7.940933880509066e-23,2.117582368135751e-22,0.0,1.0587911840678754e-22,1.5881867761018131e-22,1.5881867761018131e-22,0.0,0.0,1.1580528575742387e-23,1.0097419586828951e-28,8.470329472543003e-22,1.6543612251060553e-24,0.0,9.529120656610879e-22,4.1359030627651384e-25,1.0587911840678754e-22,2.5849394142282115e-26
6,5.913611304954875e-08,3.053266569439459e-09,5.1911215457321184e-09,8.654012213263124e-08,6.374002462119128e-09,3.0532727654127015e-09,5.191121317588178e-09,2.6122587160333653e-09,1.2377718886412755e-09,1.8660517270231637e-08,9.3762564570592e-10,3.74107773035839e-09,2.496627735242606e-09,2.6122580237776004e-09,2.4966292825681716e-09,8.654013751235985e-08,8.513217202503793e-09,1.2377807675968446e-09,6.374006639534942e-09,5.9136111261646327e-08,2.4966302471714025e-09,3.741081922309434e-09,9.3762534346783e-10,8.65401229898431e-08,9.376254510684163e-10,2.6122586176818295e-09,1.3086069844106995e-07,3.741077371627169e-09,5.191122154624775e-09,6.922008514423808e-16,1.7945583121335217e-15,9.690657642737739e-08,1.33366711026817e-09,1.0214891401558272e-15,3.8073880540008186e-15,1.0399763540068486e-07,9.689784761947355e-08,1.4053994879267953e-08,6.794243704051672e-08,6.805722367778744e-16,2.737637391959843e-08,4.0350121959840315e-09,9.690656335701908e-08,1.0399762968830642e-07,9.34337814571662e-16,3.5807986860747325e-08,3.4631833340548424e-08,3.0024986788300935e-08,1.059646498479704e-07,8.513215619774056e-09,1.866050247675522e-08,1.2009626844588274e-08,8.582031368759791e-15,6.794243930359748e-08,1.4150161415952358e-08,3.765982383153267e-16,3.699863478148686e-08,1.1675718991870274e-07,4.49555560783798e-15,5.3870016957567316e-08,4.4832975430686744e-08,6.79393325503172e-08,3.463183350782969e-08,8.85637082624283e-08,1.0596464886303357e-07,2.112899307632669e-15,4.483297375159229e-08,8.271806125530277e-25,0.0,6.617444900424222e-24,0.0,0.0,0.0,1.0339757656912846e-25,1.7749370367472766e-30,0.0,4.733165431326071e-30,2.0679515313825692e-25,0.0,2.0679515313825692e-25,2.0679515313825692e-25,3.2311742677852644e-26,0.0,1.5777218104420236e-30,0.0,1.6543612251060553e-24,6.617444900424222e-24,3.101927297073854e-25,5.350012265638966e-25,5.350006634219809e-25,5.790264287871194e-24,3.1554436208840472e-30,2.5849394142282115e-26,1.1832913578315177e-30,7.888609052210118e-31,0.0,9.926167350636332e-24,9.926167350636332e-24,0.0,9.926167350636332e-24,9.926167350636332e-24,9.926167350636332e-24,6.617444900424222e-24,0.0,9.926167350636332e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,6.617444900424222e-24,9.926167350636332e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,3.308722450212111e-24,0.0,3.3087224502121107e-23,6.617444900424222e-24,0.0,3.308722450212111e-24,2.0679515313825692e-25,3.308722450212111e-24,6.617444900424222e-24,6.617444900424222e-24,4.1359030627651384e-25,6.617444900424222e-24,0.0,2.3665827156630354e-30,1.3234889800848443e-23,4.1359030627651384e-25,6.310887241768095e-30,0.0,0.0,0.0,6.310887241768095e-30
7,4.442297603983578e-08,7.82513438706321e-09,5.147002128896505e-09,6.064058884065269e-08,2.6828083460227573e-08,7.825133591559047e-09,5.147002822025969e-09,6.693512331479682e-09,1.4723246355742637e-09,1.5517281182536546e-08,1.1152287760456724e-09,8.470589106327419e-09,1.8019179324121004e-09,6.6935123284474596e-09,1.8019175566092051e-09,6.064058406463395e-08,4.099461883268032e-09,1.4723224554765892e-09,2.68280837926296e-08,4.44229761597048e-08,1.8019177845042283e-09,8.47058990567245e-09,1.115228889251724e-09,6.064058789087485e-08,1.1152288081090897e-09,6.693512308009175e-09,4.371626824011592e-09,8.47058915820944e-09,5.147002896908542e-09,1.1373205716592993e-16,9.875338723950403e-16,2.0746678999074118e-08,2.5169990457950564e-10,2.6459993884684856e-16,5.824902779621688e-16,3.422420786156349e-08,2.0787791576153118e-08,2.6545250576545693e-09,1.823407830358592e-08,1.43345074181596e-16,1.1468323826321808e-08,8.735341917612856e-09,2.0746679754204255e-08,3.42242088825169e-08,1.3397353981350938e-15,1.8897570719881847e-08,1.7647564153940972e-08,2.9028987618172573e-09,6.457127975983512e-08,4.099461822724825e-09,1.551728378996315e-08,2.5562943234758947e-08,1.2584910684887151e-15,1.8234076752686382e-08,2.67161174759243e-09,7.802655939305708e-16,6.988623469760964e-09,3.658784558172916e-08,1.6010689369697155e-15,2.2576829367591268e-08,1.9428088574284524e-09,1.824067752580509e-08,1.764756509978308e-08,5.8187472025999863e-08,6.45712799112641e-08,4.841075851229594e-16,1.9428091812707962e-09,2.481541837659083e-24,2.5849394142282115e-25,6.617444900424222e-24,6.203854594147708e-25,3.1554436208840472e-30,1.550963648536927e-25,1.550963648536927e-25,1.1339875512552045e-30,4.1359030627651384e-25,5.9164567891575885e-31,1.550963648536927e-25,3.308722450212111e-24,5.169878828456423e-25,8.271806125530277e-25,9.693522803355793e-27,6.462348535570529e-27,2.2433231992222523e-30,3.101927297073854e-25,4.1359030627651384e-25,0.0,3.618915179919496e-25,1.4559175667265624e-24,1.455918793158751e-24,9.305781891221561e-25,3.3526588471893e-30,6.462348535570529e-27,2.9582283945787943e-31,2.465190328815662e-30,4.1359030627651384e-25,2.0679515313825692e-25,3.3914405114674135e-23,0.0,1.6543612251060553e-24,0.0,2.0679515313825692e-25,3.308722450212111e-24,0.0,0.0,1.4889251025954498e-23,1.3234889800848443e-23,2.812414082680294e-23,1.6543612251060553e-24,3.308722450212111e-24,1.9025154088719637e-23,3.308722450212111e-24,1.6543612251060553e-23,9.926167350636332e-24,1.819797347616661e-23,0.0,9.926167350636332e-24,1.9025154088719637e-23,8.271806125530277e-24,0.0,3.3087224502121107e-23,3.143286327701505e-23,3.143286327701505e-23,4.1359030627651384e-25,6.617444900424222e-24,0.0,1.0631133293017542e-30,3.308722450212111e-24,4.1359030627651384e-25,3.1554436208840472e-30,1.6543612251060553e-24,2.5849394142282115e-26,1.3234889800848443e-23,3.944304526105059e-30
8,4.4765227088870466e-08,7.4309380048034665e-09,5.2331036032753535e-09,6.089353744773995e-08,2.70880742802363e-08,7.430937160141126e-09,5.233104340374009e-09,6.354784761028013e-09,1.3108226467431098e-09,1.553096023333903e-08,9.927995646096545e-10,8.679042026512672e-09,1.9387980856098534e-09,6.354784763784969e-09,1.9387977077873224e-09,6.089353265835875e-08,4.265941509406869e-09,1.3108204795783222e-09,2.7088074617414493e-08,4.476522723282507e-08,1.938797931071623e-09,8.679042780756829e-09,9.927996653246334e-10,6.089353653733671e-08,9.927995732399888e-10,6.354784707936935e-09,5.082730624744397e-09,8.679042044094684e-09,5.233104442360082e-09,9.178778400002257e-17,9.94101579910504e-16,2.0353533113178347e-08,2.5130228160892024e-10,2.324348617547499e-16,9.980317918799678e-16,3.3841505325849205e-08,2.0406378404172887e-08,2.653096081293743e-09,1.7974962290829644e-08,1.1829608271374591e-16,1.1458352515615301e-08,8.762460770540956e-09,2.0353533802383602e-08,3.38415063169488e-08,1.356540765211262e-15,1.8289080344490885e-08,1.6905930147781223e-08,3.1436437595509827e-09,6.460696491593916e-08,4.2659414784541564e-09,1.5530962848376867e-08,2.5623784926800464e-08,9.148015762931865e-16,1.7974960731746487e-08,2.6687920797203757e-09,7.632376111195834e-16,6.985252589831284e-09,3.619154017359758e-08,1.5171370551143546e-15,2.257001472769104e-08,1.690485205919908e-09,1.798318425905508e-08,1.6905931067474218e-08,5.8231109357528086e-08,6.46069650713302e-08,4.730091181550331e-16,1.6904855099470754e-09,4.963083675318166e-24,3.101927297073854e-25,6.617444900424222e-24,4.1359030627651384e-25,5.127595883936577e-30,2.0679515313825692e-25,5.169878828456423e-25,3.9196526228169024e-30,8.271806125530277e-25,1.232595164407831e-30,1.0339757656912846e-25,0.0,3.101927297073854e-25,1.6543612251060553e-24,3.2311742677852644e-27,6.462348535570529e-27,1.1093356479670479e-30,0.0,0.0,2.6469779601696886e-23,2.5849394142282115e-25,1.582934812844902e-24,1.5829354907722424e-24,1.1683926152311516e-23,1.4988357199199224e-29,0.0,4.930380657631324e-31,5.620633949699709e-30,8.271806125530277e-25,2.68833699079734e-24,9.098986738083304e-24,6.617444900424222e-24,1.9852334701272664e-23,1.4889251025954498e-23,2.68833699079734e-24,8.271806125530277e-24,6.617444900424222e-24,1.4889251025954498e-23,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,1.6543612251060553e-24,4.963083675318166e-24,8.271806125530277e-25,3.308722450212111e-24,4.963083675318166e-24,4.963083675318166e-24,8.271806125530277e-25,3.308722450212111e-24,0.0,0.0,0.0,8.271806125530277e-25,9.098986738083304e-24,1.6543612251060553e-24,1.6543612251060553e-24,3.7223127564886245e-24,3.308722450212111e-24,1.3234889800848443e-23,3.5745259767827097e-31,1.3234889800848443e-23,2.0679515313825692e-24,1.262177448353619e-29,3.308722450212111e-24,1.2924697071141057e-26,3.308722450212111e-24,9.466330862652142e-30
