,Y2Z5,Y5Z2,Y5Z1,Y1Z5,Y4Z0,Y0Z4,Y3Z2,Y2Z3,Y0Z5,Y5Z0,Y4Z1,Y1Z4,Y2Z1,Y1Z2,Y3Z1,Y1Z3,Y0Z1,Y1Z0,Y0Z2,Y2Z0,Y4Z2,Y2Z4,Y3Z4,Y4Z3,Y4Z5,Y5Z4,standard_x,Y3Z5,Y5Z3,Y3Z0,Y0Z3,X4X5,X1X2,X0X1,X2X4,X0X2,Y1Y2,X3X5,Y4Y5,Y0Y1,X1X5,X0X5,X2X5,X1X4,X1X3,Y2Y4,Y0Y2,Y3Y5,X0X3,Y1Y5,X1,X5,Y2Y5,X2,Y0Y5,X3X4,Y1Y4,X2X3,Y0Y3,X0X4,Y1Y3,X0,X4,Y0Y4,Y3Y4,Y2Y3,X3,standard_y,Y2,X3Y2,X2Y5,X5Y0,X4Y3,Y4,X5Y1,X4Y5,X3Y1,X3Y0,X2Y4,X1Y5,X1Y4,X1Y2,X1Y0,Y3,Y1,X5Y3,X2Y3,X0Y3,X4Y1,X2Y1,X1Y3,X0Y1,X1Z4,X0Z4,X5Z2,X1Z0,X4Z1,X4Z0,X2Z3,X1Z5,X1Z3,X0Z2,X0Z1,X4Z5,X4Z2,X3Z4,X3Z2,X2Z4,X2Z0,X1Z2,X0Z5,X5Z3,X3Z5,X3Z0,Y5,Y0,X5Z4,X5Z1,X5Z0,X5Y4,X5Y2,X4Z3,X4Y2,X4Y0,X3Z1,X3Y5,X3Y4,X2Z5,X2Z1,X2Y0,X0Z3,X0Y5,X0Y4,X0Y2
0,0.897120642263515,0.8971121114899366,0.8822709993741258,0.8822709416466359,0.7675199433386888,0.7675068686315105,0.6919713416886051,0.6918433933592851,0.6733405974201085,0.6732730026355771,0.672627871114666,0.6725488467304543,0.6706820337202956,0.6706756121809021,0.47261851031872515,0.47252659587087,0.4507570257088024,0.4507117454736945,0.4365336887680435,0.4364940166174154,0.34557786824057957,0.3455405755399701,0.3169589885515431,0.3169345822703381,0.25113576200220394,0.2511062729760303,0.0983405573267455,0.08377387204184802,0.08375758509390716,0.041629384947329845,0.04162547029219496,0.033055431952973634,0.03251422391945008,0.03139264863567203,0.031295147727300035,0.031007841515634273,0.03095895999770005,0.02904612148862807,0.028939458215145555,0.028459155582429504,0.02657676464337612,0.026385422299627204,0.025410761179881572,0.025273879884514037,0.024724573417054432,0.02461818381143799,0.02401203277775829,0.022909985060184983,0.022461899534574566,0.022279108657560734,0.021078787990497387,0.0210744473057851,0.02061330739572446,0.020440685081964807,0.0197151143754594,0.01935240331985286,0.0189851636045543,0.018978175524787855,0.016297143790672694,0.01584627570412226,0.01540118533741416,0.014383427015624797,0.013247979219261845,0.012729847442693235,0.012201623602436647,0.010398782967123344,0.008115230713611577,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,8.673617379884035e-18,3.469446951953614e-18,3.0357660829594124e-18,2.168404344971009e-18,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.2526065174565133e-19,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00023969143019168766,0.00023899508908554697,0.00023463601116776022,0.211579543389544,0.767517517932301,0.7675583411633147,0.6081936023746577,0.0001904902799518013,0.23679452551728458,0.00018255812100910905,0.6726234430452731,0.6726488083381714,0.00018514749066952759,0.21157705538700133,0.47262233153481437,0.4725943743045605,0.45078292055384894,0.45077594354032136,0.23679222095461308,0.00012332909727141546,0.09444514427603821,9.824554348501671e-05,0.31696041519778934,0.3169297138657123,0.0944428787541699,7.47371056809608e-05,0.045314713838441344,0.6081923017120573,4.136061357748686e-05,0.041629842580732476,0.0416280242209438,0.0023260219206079112,0.0027229331897611984,0.015693077986011144,0.002505499875362598,0.0026756404087691582,0.0026784285436774148,0.002812645298311478,0.0020237661476998825,0.013501941834370616,0.002109947774435522,0.002158311106265142,0.005136468820046106,0.013299082140969986,0.012844182915551582,0.0019192490359178323,0.0019835656888060396,0.0021014990093150554,0.01695413301246553,0.00244380994183605,0.010571973533283631,0.0022893058617700695,0.005137139234307607,0.0025499991882025307,0.0017193426014333246,0.017946838246078435,0.010719215963431786,0.002024128997272897,0.006900297721797422,0.009347299397465755,0.001996983821803794,0.00969500768624633,0.01290960826790388,0.00666806407694601,0.008820296068086216,0.0014230979759130979,0.007298819301034903,9.717161970901333e-17,2.710505431213761e-20,0.0,2.7755575615628914e-17,0.0,0.0,1.1102230246251565e-16,6.776263578034403e-21,2.710505431213761e-20,1.3877787807814457e-17,2.7755575615628914e-17,2.710505431213761e-20,6.776263578034403e-21,0.0,6.776263578034403e-21,2.5751786830000858e-18,0.0,4.163336342344337e-17,1.3552527156068805e-20,0.0,5.551115123125783e-17,1.3877787807814457e-17,6.776263578034403e-21,1.734723475976807e-17,3.0041479312251855e-18,2.168404344971009e-19,0.0,0.0,4.336808689942018e-19,0.0,0.0,1.0842021724855044e-19,1.0842021724855044e-19,6.505213034913027e-19,4.336808689942018e-19,0.0,0.0,6.505213034913027e-19,2.168404344971009e-19,8.673617379884035e-19,5.421010862427522e-20,1.0842021724855044e-19,3.2526065174565133e-19,0.0,0.0,4.336808689942018e-19,2.168404344971009e-19,0.0,2.7755575615628914e-17,1.0842021724855044e-19,0.0,1.0842021724855044e-19,2.710505431213761e-20,0.0,4.336808689942018e-19,1.3552527156068805e-20,2.7755575615628914e-17,0.0,2.710505431213761e-20,0.0,2.168404344971009e-19,2.168404344971009e-19,0.0,5.421010862427522e-20,2.710505431213761e-20,0.0,2.710505431213761e-20
2,3.163599448432657e-06,1.3075277902166714e-06,6.149133514495116e-07,0.21159798512906186,0.0010012343285762683,0.0009662449653588554,0.6081467301868819,5.65566647597066e-06,0.0003135228476794557,6.7124074061970125e-06,0.0008864978344352095,0.22185227041017966,5.735097043782093e-06,0.2115977528353653,0.47257836908830153,0.4726250112001569,0.0005868411148003586,0.2218415729283513,0.00031360936378223574,6.104463453856146e-06,0.00010186417156961663,5.15346634566291e-06,0.2752978519799498,0.000419713120357811,0.00010190288026776951,6.243260388062318e-06,0.026786419990499924,0.6081465831145829,7.474461923207969e-06,0.27529165323342053,5.5125056894729255e-05,0.00019048526044297684,0.0007949409398174258,0.0053062933308267455,0.00012805221613828904,0.00019046426732246126,0.0007746247201181793,0.0007456225242402656,0.00031219725558064454,0.005204149913718822,0.0005032019728625832,0.0001283762605958227,0.007554755893808699,0.004320323691629147,0.008897536303762475,0.0003122620067997446,0.00031230265372661427,0.0007128710314827928,0.004812657413732476,0.0006929209235395968,0.005555289630745596,0.000564468363669331,0.007554749805978456,0.0007340311048704138,0.0003125396348681699,0.004802631464878257,0.0042624648292572745,0.0005525768436032432,0.001789710041390567,0.003786250443687211,0.001475725115859565,0.0047622530699290636,0.004875844331224875,0.003789846408821437,0.0006094347202133051,0.0004777103945049194,0.010294533490060643,5.5456517606159925e-17,8.470329472543003e-22,8.470329472543003e-22,0.0,8.470329472543003e-22,0.0,5.421010862427522e-20,7.411538288475128e-22,1.6940658945086007e-21,6.938893903907228e-18,5.421010862427522e-20,8.470329472543003e-22,1.2705494208814505e-21,0.0,8.470329472543003e-22,3.563080488572167e-21,2.7755575615628914e-17,2.7755575615628914e-17,0.0,8.470329472543003e-22,1.0842021724855044e-19,5.421010862427522e-20,4.235164736271502e-22,4.163336342344337e-17,2.9102281901146896e-20,2.168404344971009e-19,0.0,0.0,0.0,4.336808689942018e-19,4.336808689942018e-19,2.710505431213761e-20,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,4.336808689942018e-19,0.0,0.0,0.0,8.673617379884035e-19,0.0,0.0,2.168404344971009e-19,1.0842021724855044e-19,0.0,8.673617379884035e-19,0.0,4.235164736271502e-22,0.0,2.710505431213761e-20,5.421010862427522e-20,2.710505431213761e-20,0.0,0.0,5.421010862427522e-20,0.0,4.163336342344337e-17,8.673617379884035e-19,0.0,1.0842021724855044e-19,0.0,5.421010862427522e-20,1.6940658945086007e-21,0.0,8.470329472543003e-22,2.7755575615628914e-17,0.0
3,5.07271163891649e-05,3.8828044876145214e-05,3.5838999607006576e-05,0.6842474367496989,5.076303292879256e-05,4.930162818589769e-05,0.002168493384030091,4.946720344130191e-05,2.7112485120613664e-05,6.240246055351796e-06,4.544866615587763e-05,0.22185600312344808,3.88081411308356e-05,0.6842444447310689,0.001679963626811307,0.6842479594440045,3.12956847338461e-05,0.22185496678236397,2.8623316487240068e-05,1.387702398781901e-06,2.7817169305642925e-05,1.379563667103227e-06,0.0009751484543549479,2.780929349800802e-05,2.69716032575712e-05,5.801089019653075e-06,0.014245346980736859,0.00216597379263315,4.190025558199741e-05,0.000975150124037124,2.8610566819319717e-05,0.0005534549133976645,0.0019973963518848735,0.0006265164951729013,1.6771144071708786e-06,2.6067257029502484e-06,0.0017048660697261994,0.0019966819429090327,0.0012478815961769153,0.0009753485921769038,0.001297678108078331,0.0005095068804173376,0.0007882822507435522,0.0005344675583741109,0.0007230220025398871,4.5264367398413374e-06,4.49713236565214e-06,0.001995233466916293,3.2891609319569503e-06,0.0014499215542420566,0.006869360392044343,0.002127931039592061,0.0007882148284857589,0.001997254048733461,0.0012480757701270277,3.4031728919121028e-06,0.0009032842605511651,0.0013326265700750115,2.302443335022513e-05,0.0008124464013074609,0.0011874862780848856,0.0005847878356196666,0.0005773590711737153,0.0008125040634725991,2.2678754447778002e-05,0.0013282160324034273,0.0020886545935736127,2.1345230270808369e-19,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,8.470329472543003e-22,0.0,0.0,9.926167350636332e-24,0.0,2.117582368135751e-22,0.0,1.6940658945086007e-21,1.977142609760732e-21,2.168404344971009e-19,0.0,0.0,0.0,1.0587911840678754e-22,1.6940658945086007e-21,2.541098841762901e-21,1.0842021724855044e-19,2.349244638438883e-21,6.505213034913027e-19,2.710505431213761e-20,0.0,6.505213034913027e-19,5.421010862427522e-20,2.710505431213761e-20,0.0,2.168404344971009e-19,4.336808689942018e-19,8.131516293641283e-20,0.0,0.0,5.421010862427522e-20,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,2.168404344971009e-19,6.505213034913027e-19,2.710505431213761e-20,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,0.0,3.3881317890172014e-21,0.0,0.0,1.0842021724855044e-19,0.0,1.0842021724855044e-19,1.0842021724855044e-19,5.293955920339377e-22,2.7755575615628914e-17,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,2.710505431213761e-20,0.0,1.3877787807814457e-17,2.117582368135751e-22
4,2.295860595300953e-05,1.9878554791677392e-06,3.298912866537437e-06,0.00010364434717177649,2.9579568769373846e-05,4.1146467899851204e-05,2.218589644796637e-05,2.2147147550632218e-05,1.3442736926781283e-05,9.225626342958571e-06,6.880379438518281e-06,3.3874612821098806e-05,2.293173544312187e-05,0.00010618762131497982,2.396083434051579e-05,0.00010660441751946667,1.4638922987430872e-05,2.4907569148595434e-05,1.1524384880517373e-05,6.816650762188088e-06,1.3541016137226288e-05,6.936538402878198e-06,1.3009267771651417e-05,1.3438733428153424e-05,1.2972579500649263e-05,5.8525378248675196e-06,0.007484640977269903,2.269581900649639e-05,2.4711785393026486e-06,1.3143314293768023e-05,1.1464869254538847e-05,0.001141046326652176,5.557666197154466e-07,0.0019101113346212133,1.6695070523698673e-07,2.6262308855614705e-07,6.074840754932012e-07,6.264572334007598e-07,0.0020457220690617436,0.0029165812626704727,0.0007852898081278129,0.0009105443650812316,0.0006383115331133911,0.0013523468880078083,0.00037192976003273175,1.2342458673984716e-07,2.1330512173405165e-07,6.080640165920296e-07,5.441140990795318e-09,0.0007856252504745713,0.0018574098832498972,0.0026195071571024084,0.0006382755604411474,0.001209376103500139,0.0020459794845475877,5.3380184201759315e-08,0.0029170277537946604,0.0007854272838155158,1.7151494252352344e-07,0.0011012807082563195,0.00037179085267279857,0.0023016108351828343,0.0017776377667832407,0.00110139213027108,1.91415192432041e-07,0.0007854195450751941,0.0014339189979511776,2.329340604949326e-21,0.0,2.541098841762901e-21,0.0,0.0,2.117582368135751e-22,1.6940658945086007e-21,8.470329472543003e-22,6.776263578034403e-21,4.235164736271502e-22,5.293955920339377e-23,8.470329472543003e-22,8.470329472543003e-22,6.776263578034403e-21,4.235164736271502e-22,4.1441405376640734e-22,3.3881317890172014e-21,5.929230630780102e-21,0.0,0.0,2.117582368135751e-22,3.3881317890172014e-21,6.352747104407253e-22,1.0587911840678754e-22,1.356877107690653e-22,0.0,0.0,2.168404344971009e-19,5.421010862427522e-20,2.168404344971009e-19,1.6263032587282567e-19,2.168404344971009e-19,2.202285662861181e-20,2.202285662861181e-20,4.336808689942018e-19,2.168404344971009e-19,0.0,0.0,1.0842021724855044e-19,0.0,1.0842021724855044e-19,5.421010862427522e-20,1.8634724839594607e-20,0.0,2.168404344971009e-19,0.0,5.421010862427522e-20,2.117582368135751e-22,1.6940658945086007e-21,2.168404344971009e-19,2.168404344971009e-19,0.0,1.3552527156068805e-20,6.776263578034403e-21,0.0,4.235164736271502e-22,0.0,0.0,0.0,2.117582368135751e-22,0.0,2.168404344971009e-19,8.470329472543003e-22,4.336808689942018e-19,0.0,0.0,4.235164736271502e-22
5,9.658683476267384e-08,2.4057237126649583e-06,2.4057326689743615e-06,2.631907439316561e-06,2.016987370090623e-05,2.0218650612923124e-05,5.657920442026164e-07,9.636500527738822e-08,4.528204261646235e-06,6.426568772308644e-07,1.1747447996770975e-05,9.67249080449304e-07,9.641963921564874e-08,2.631862331130178e-06,5.657204231517142e-07,2.6316631224106606e-06,4.5284456681519134e-06,9.676184264294063e-07,4.528236421930388e-06,1.8935098936135154e-08,1.174754526493544e-05,1.893121875257122e-08,2.709413477154613e-07,1.174757633927419e-05,1.174753424876613e-05,6.425343079051926e-07,2.5188726447945923e-08,5.658014318480445e-07,2.405707772027285e-06,2.7095010558199495e-07,4.528251641044009e-06,4.520803994104105e-06,2.1962913080808988e-10,1.5450238682811677e-05,9.305392007310066e-11,6.925749680155837e-11,1.9197109231888334e-10,2.197211711762703e-10,8.114204952543812e-06,2.359449777035589e-05,3.120151464744877e-06,3.607802704302202e-06,2.3333014069015062e-05,1.093853136459016e-05,2.0103225645567437e-05,1.4363818146841251e-10,8.209011973589218e-11,2.2035202392960166e-10,9.019092874292895e-10,3.1201093063101636e-06,5.293494279643756e-06,1.1978189107390808e-05,2.3333006820047882e-05,5.606945453787612e-06,8.117495225094538e-06,8.828763925825609e-10,2.3600854181303798e-05,3.12066801422813e-06,5.514318921511783e-10,0.0015381381425355746,2.0103260864720223e-05,1.934331161654601e-05,1.797718558557941e-05,0.0015381382320846142,8.88011580973667e-10,3.120667832877476e-06,2.500366819414281e-05,1.7999450129153882e-21,0.0,6.617444900424222e-24,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,1.3234889800848443e-21,1.0339757656912846e-25,6.462348535570529e-27,6.617444900424222e-24,0.0,9.04728794979874e-26,5.1564268436599086e-23,0.0,1.0587911840678754e-22,5.169878828456423e-26,1.3234889800848443e-23,0.0,2.6469779601696886e-23,7.754818242684634e-26,1.4293680984916318e-21,6.10562168528357e-23,1.6940658945086007e-21,1.4293680984916318e-21,0.0,8.470329472543003e-22,1.6940658945086007e-21,8.470329472543003e-22,8.470329472543003e-22,4.235164736271502e-22,8.470329472543003e-22,3.3881317890172014e-21,1.6940658945086007e-21,1.6940658945086007e-21,1.6940658945086007e-21,1.6940658945086007e-21,5.082197683525802e-21,4.235164736271502e-22,6.352747104407253e-22,8.470329472543003e-22,0.0,0.0,1.6940658945086007e-21,4.235164736271502e-21,2.117582368135751e-22,1.6940658945086007e-21,1.6940658945086007e-21,8.470329472543003e-22,1.6940658945086007e-21,0.0,3.3881317890172014e-21,1.6940658945086007e-21,1.2924697071141057e-26,2.7755575615628914e-17,0.0,0.0,7.754818242684634e-26,4.235164736271502e-22,0.0,2.5849394142282115e-26,0.0,0.0,0.0,3.877409121342317e-26
6,3.9633620896785137e-07,3.2037855338782746e-06,3.2037850326608158e-06,2.026127047084419e-07,4.264796243043068e-06,2.824981101134642e-06,1.9234655409781205e-08,3.963332974785394e-07,2.824971719642033e-06,3.2037812858068623e-06,4.26479156931673e-06,2.0260835030397618e-07,3.96332959440303e-07,2.0261278900350703e-07,1.923454847972979e-08,2.0261048023690948e-07,2.8249711246206663e-06,2.026069184639057e-07,2.8249713692641886e-06,3.9633484784879786e-07,4.264790768538105e-06,3.9633484817091093e-07,1.9240775652267678e-08,4.264790714440832e-06,4.264790671133821e-06,3.2037821093718034e-06,1.293297377725233e-06,1.9234682013916458e-08,3.2037850746232235e-06,1.924077627963952e-08,2.824971302471706e-06,1.4279982148589673e-08,6.932971591518293e-12,2.3244182973651738e-07,5.265873315945661e-13,5.437832320024645e-13,6.519370184463526e-12,3.6552378180924724e-12,1.4280660359233322e-08,2.3244149586019537e-07,4.3740415331388936e-07,7.202872686127066e-08,2.0089187584201372e-06,9.196954421283124e-08,2.9570805619656258e-08,5.75948241579319e-14,1.242839856293971e-12,3.90787350484678e-12,5.231965557923023e-12,4.3740576133518727e-07,4.44759954565469e-07,3.05265896938181e-07,2.0089178069892074e-06,3.4578395814823233e-07,7.203035104987856e-08,1.5004644855484935e-11,9.197049498685992e-08,4.746868641253751e-08,4.4841182438817815e-12,5.489555247120863e-07,2.9575640565757675e-08,6.856447612061019e-07,6.849089490589629e-07,5.489563725079768e-07,1.4724758464783133e-11,4.746889013717219e-08,1.967517559262117e-07,1.2010662494269962e-21,0.0,8.271806125530277e-24,5.293955920339377e-23,0.0,8.077935669463161e-28,1.2705494208814505e-21,1.3234889800848443e-23,4.632211430296955e-23,0.0,1.1107161545511846e-27,0.0,1.9852334701272664e-23,5.293955920339377e-23,6.058451752097371e-28,6.108914963723899e-23,3.308722450212111e-24,6.617444900424221e-23,1.1107161545511846e-27,1.6543612251060553e-24,2.0194839173657902e-28,1.3234889800848443e-23,4.0389678347315804e-28,4.235164736271502e-22,6.418971490741171e-23,3.970466940254533e-23,0.0,1.0587911840678754e-22,5.293955920339377e-23,1.0587911840678754e-22,0.0,0.0,2.6469779601696886e-23,3.970466940254533e-23,0.0,5.293955920339377e-23,1.0587911840678754e-22,1.0587911840678754e-22,1.1911400820763599e-22,2.3822801641527197e-22,5.293955920339377e-23,2.6469779601696886e-23,5.293955920339377e-23,1.5881867761018131e-22,1.0587911840678754e-22,2.2499312661442353e-22,1.4558378780933287e-22,4.235164736271502e-22,4.235164736271502e-22,5.293955920339377e-23,1.0587911840678754e-22,5.293955920339377e-23,3.970466940254533e-23,5.293955920339377e-23,1.0587911840678754e-22,4.0389678347315804e-28,3.857922731344038e-17,1.9852334701272664e-22,7.068193710780266e-28,4.0389678347315804e-27,0.0,2.6469779601696886e-23,2.0194839173657902e-28,1.5881867761018131e-22,2.6469779601696886e-23,3.8579174373881177e-17,3.0292258760486853e-28
7,1.0799513795869389e-08,1.0865742196003287e-07,1.0865742160672888e-07,6.710272505271393e-08,3.8260415348104604e-08,1.360051125600469e-08,9.3498160032835e-10,1.0799504786212102e-08,1.3600536667167038e-08,1.0865734651563766e-07,3.826041892070346e-08,6.710274213729968e-08,1.0799505058868702e-08,6.710272507392157e-08,9.349902875705351e-10,6.710271878866339e-08,1.360054020741624e-08,6.710274179157455e-08,1.3600536457993313e-08,1.0799508649927271e-08,3.826041970757205e-08,1.0799508666993362e-08,9.34956761683748e-10,3.826042016313689e-08,3.826041979692712e-08,1.0865734663840082e-07,7.85171698578498e-08,9.349815613320502e-10,1.086574213407124e-07,9.34956722490332e-10,1.3600536379641019e-08,1.7523900348998652e-10,2.3331703596648863e-15,3.5682930565099295e-08,4.787153157509112e-16,1.2984430906564728e-15,3.2562696372943298e-15,7.87866029498739e-15,1.7523898421418866e-10,3.568293858422431e-08,6.890947867155171e-09,1.0607209039306584e-09,1.0905015748396056e-07,1.359199679736628e-08,4.424879473464195e-08,3.6343776700336705e-16,6.091115067617859e-16,7.493570587863524e-15,4.328537526051117e-15,6.89093922467068e-09,1.646170999722444e-09,3.806916247240077e-08,1.0905015665321614e-07,1.3245353598956512e-08,1.0607288769961191e-09,4.03310509749017e-15,1.3592018731718864e-08,7.506670117862845e-10,2.7276898129226192e-15,1.5259215188771745e-08,4.424878204846208e-08,5.906014522785468e-08,4.076998333260983e-08,1.5259217664817404e-08,4.804203264030475e-15,7.506667443779104e-10,1.055866289097011e-08,1.7680985593320967e-23,8.271806125530277e-25,4.1359030627651384e-25,3.308722450212111e-24,4.1359030627651384e-25,3.1554436208840472e-30,2.6469779601696886e-23,1.0339757656912846e-25,4.1359030627651384e-25,3.970466940254533e-23,1.5777218104420236e-30,4.930380657631324e-32,3.101927297073854e-25,3.308722450212111e-24,1.5777218104420236e-30,3.4837672461401445e-24,1.4372263143108856e-23,3.308722450212111e-24,3.1554436208840472e-30,3.877409121342317e-25,9.860761315262648e-32,8.271806125530277e-24,3.944304526105059e-31,0.0,6.0385048109224345e-24,1.9128551665288765e-24,0.0,3.308722450212111e-24,1.809457589959748e-24,3.308722450212111e-24,3.308722450212111e-24,8.271806125530277e-25,1.5509636485369269e-24,1.9128551665288765e-24,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,1.6543612251060553e-24,3.308722450212111e-24,2.481541837659083e-24,8.271806125530277e-25,1.809457589959748e-24,0.0,3.308722450212111e-24,5.790264287871194e-24,1.6543612251060553e-24,2.6469779601696886e-23,8.271806125530277e-25,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,5.169878828456423e-25,3.308722450212111e-24,1.6543612251060553e-23,1.7256332301709633e-31,2.3077399413053612e-17,4.963083675318166e-24,3.1554436208840472e-30,3.1554436208840472e-30,8.271806125530277e-25,8.271806125530277e-25,0.0,3.308722450212111e-24,8.271806125530277e-25,2.3077399413053612e-17,9.860761315262648e-32
8,1.914862910035531e-08,9.394787934560637e-08,9.394787936788552e-08,5.160497937496092e-08,3.339738549913366e-08,1.7774650250046584e-09,8.51163831029131e-10,1.9148631127076425e-08,1.777444340169985e-09,9.39478712267279e-08,3.339738369635834e-08,5.160499654352973e-08,1.914863192260864e-08,5.160497951442835e-08,8.511659666648484e-10,5.160497973358987e-08,1.777441544872838e-09,5.160499491945125e-08,1.7774438880017496e-09,1.9148621428301684e-08,3.339738375793227e-08,1.91486213608245e-08,8.51140184671562e-10,3.339738374575261e-08,3.339738366030528e-08,9.394787106796415e-08,6.548853580613297e-08,8.511637731349157e-10,9.39478798337967e-08,8.511402083870337e-10,1.7774443221314354e-09,3.660261534781846e-10,8.78874163581162e-15,3.4692890296001635e-08,4.3711380972973583e-16,1.581597553602472e-15,6.955664102571903e-15,1.705240553229948e-15,3.6602222082371856e-10,3.469289760569009e-08,2.0233226916360323e-08,2.8948453327798143e-09,2.9007879324733754e-09,1.276390263663362e-08,9.158951136335424e-10,3.6752653669951815e-16,1.1911494230306586e-15,2.5475345097280013e-15,1.938241273049096e-15,2.023322752155045e-08,4.227821025321529e-10,2.1109716341668306e-08,2.9007894958336762e-09,1.8016909099332595e-08,2.8948387019959437e-09,4.680032502021348e-15,1.2763925289144117e-08,2.212924909885459e-09,5.596358321820456e-15,8.532307079461554e-09,9.158861746146047e-10,4.881189725498194e-08,3.260156698319359e-08,8.532308480279136e-09,5.162448555325932e-15,2.212924445419267e-09,1.0574362195875877e-08,1.5974925579930347e-23,1.6543612251060553e-24,1.6026624368214911e-24,3.308722450212111e-24,3.308722450212111e-24,3.1554436208840472e-30,3.308722450212111e-24,0.0,2.0679515313825692e-24,0.0,3.944304526105059e-31,9.860761315262648e-32,8.271806125530277e-25,3.308722450212111e-24,3.944304526105059e-31,1.0867304088603762e-23,8.788794008375919e-25,3.308722450212111e-24,1.9721522630525295e-31,1.4992648602523627e-24,3.944304526105059e-31,3.308722450212111e-24,1.9721522630525295e-31,3.308722450212111e-24,1.1466695819237247e-23,5.350824587452398e-24,0.0,3.308722450212111e-24,5.389598678665821e-24,0.0,6.617444900424222e-24,0.0,5.673942014230924e-24,5.686866711302065e-24,0.0,0.0,0.0,6.617444900424222e-24,8.271806125530277e-25,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,5.699791408373206e-24,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,1.3234889800848443e-23,2.0679515313825692e-25,4.963083675318166e-24,0.0,3.308722450212111e-24,1.2407709188295415e-24,0.0,3.308722450212111e-24,1.4791141972893971e-31,1.3531510151065058e-17,4.963083675318166e-24,6.902532920683853e-31,3.1554436208840472e-30,1.6543612251060553e-24,3.308722450212111e-24,9.860761315262648e-32,3.308722450212111e-24,1.6543612251060553e-24,1.3531523385954859e-17,2.9582283945787943e-31
