,Y3Z4,Y4Z3,Y1Z4,Y4Z1,Y0Z3,Y3Z0,Y5Z4,Y4Z5,Y0Z1,Y1Z0,Y5Z0,Y0Z5,Y2Z3,Y3Z2,Y1Z3,Y3Z1,Y2Z5,Y5Z2,Y2Z0,Y0Z2,Y2Z1,Y1Z2,Y5Z3,Y3Z5,Y0Z4,Y4Z0,Y2Z4,Y4Z2,Y5Z1,Y1Z5,standard_x,X0X4,Y0Y4,X1X3,Y1Y3,X2X4,X3X5,X3X4,X4X5,Y3Y5,X4,X0X1,X2X3,X1X5,Y1Y5,X0X3,X3,Y2Y4,X1X4,X1X2,Y3Y4,X0X2,X0X5,Y0Y3,Y0Y2,Y0Y1,X1,Y2Y3,X0,Y1Y4,Y4Y5,Y0Y5,Y1Y2,X2X5,Y2Y5,X5,X2,standard_y,Y3,X5Y4,X4Y2,X1Y4,Y0,X5Y3,X5Y0,X3Y4,X3Y2,X3Y1,X3Y0,X2Y4,X2Y1,X0Y4,X0Y3,X5Y2,X4Y5,X4Y3,X4Y1,X1Y3,X1Y0,X0Y1,Y5,X2Y5,X1Y2,X0Y5,X4Z1,X3Z4,X4Z5,X4Z3,X4Z0,X1Z0,X3Z0,X2Z1,X1Z4,X0Z5,X0Z1,X3Z2,X4Z2,X2Z4,X1Z5,X0Z4,X5Z3,X5Z4,X5Z0,X2Z5,X2Z0,X5Z2,Y4,Y2,Y1,X5Z1,X5Y1,X4Y0,X3Z5,X3Z1,X3Y5,X2Z3,X2Y3,X2Y0,X1Z3,X1Z2,X1Y5,X0Z3,X0Z2,X0Y2
0,0.9985116453376703,0.9984728455937444,0.9737246751507429,0.9735934102291499,0.8447241501243132,0.8446338585112236,0.6077208098487126,0.6075769737420567,0.5480140445722435,0.5480080514700902,0.5102916245223897,0.510245213548646,0.4446715035956692,0.44456599820788656,0.41540447480906245,0.415364614093261,0.34953894027654264,0.34952515373287063,0.34580440433558496,0.3457593152547739,0.3437869722068269,0.3437383869666846,0.32925950206419075,0.3291943638186634,0.28853587943034315,0.2884938262281609,0.22478819025010305,0.2247261223074044,0.10371924465886008,0.10370867710993062,0.0914608850882438,0.03759054743227841,0.03529980070261436,0.03394477481056664,0.03244750537027871,0.029557992381130646,0.02843919951029216,0.026438087402537877,0.025812334479710455,0.024729334081317174,0.024488716376732552,0.024267898686681652,0.024025495709638942,0.023997511176863717,0.022568466943744217,0.02239778436501954,0.021899022140789058,0.02181958932474927,0.02102502055164833,0.01922123213087582,0.018967359039326583,0.01846419372308225,0.01827689459608365,0.016753405542924604,0.016146435566691434,0.016075456668777938,0.015503536484310024,0.015490314129737896,0.014774618395837033,0.014267670832089359,0.013112805106911958,0.012625381515748497,0.012588491896768226,0.012350502413551703,0.009903642668484829,0.008712106955538628,0.006082884735036512,1.8041124150158794e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.9949319973733282e-17,1.474514954580286e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,3.469446951953614e-18,3.469446951953614e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.2526065174565133e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.003005477406192421,0.003006424523465289,0.5583053011040529,0.0029291915575048186,0.5561841175028241,0.0025486562775247504,0.2784559942973728,0.0018341232073702846,0.5480434950016412,0.5480586773411193,0.5103148332398417,0.5102719733404651,0.21988476251085448,0.001347537471612341,0.5582958354914518,0.0012593005713396864,0.3495457518103646,0.349539609433416,0.3458115216109141,0.3457764013936625,0.34379370422818334,0.3437683121133175,0.27844917999844043,0.0009986094935729448,0.5561774011313414,0.0008945727631853609,0.21987982077037305,0.0006903482504082976,0.1037233713837256,0.10371753304052647,0.034561010057513136,0.0030761023851986835,0.002846955373219195,0.003098071410097516,0.0025928095549619867,0.002609502747231828,0.002931643867229933,0.008131901027888137,0.0023713797522764302,0.001992833887330443,0.002497012119473253,0.012479199974506607,0.0026957663279226904,0.013907866217548862,0.012972381569238542,0.002206611314856584,0.002833465276123966,0.0018329064611977636,0.0022021342618335034,0.010515609979439306,0.008140110133401568,0.012368699388009038,0.0101395582601113,0.0021719632329350036,0.010501001791973955,0.0028263702092244983,0.008698887538139136,0.0015634493217625027,0.010584008526034177,0.0019136938584799887,0.001661841615110371,0.0005841314552512381,0.0025396033565353027,0.007180221501747562,0.00348477670767389,0.005453818947544866,0.00449381765019774,1.251169307048272e-16,2.168404344971009e-19,0.0,1.0842021724855044e-19,8.131516293641283e-20,1.1102230246251565e-16,0.0,0.0,0.0,1.0842021724855044e-19,5.421010862427522e-20,2.168404344971009e-19,2.168404344971009e-19,8.326672684688674e-17,4.336808689942018e-19,2.168404344971009e-19,0.0,1.0842021724855044e-19,0.0,2.168404344971009e-19,1.0842021724855044e-19,9.335639802612275e-18,3.7609983393765045e-18,4.163336342344337e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,1.6263032587282567e-19,0.0,0.0,0.0,0.0,0.0,4.336808689942018e-19,4.336808689942018e-19,8.673617379884035e-19,2.710505431213761e-20,0.0,3.2526065174565133e-19,3.7947076036992655e-19,4.336808689942018e-19,2.168404344971009e-19,3.2526065174565133e-19,0.0,2.168404344971009e-19,0.0,3.2526065174565133e-19,0.0,2.7755575615628914e-17,0.0,0.0,8.326672684688674e-17,1.0842021724855044e-19,0.0,2.168404344971009e-19,0.0,2.168404344971009e-19,1.0842021724855044e-19,5.551115123125783e-17,2.168404344971009e-19,2.168404344971009e-19,5.551115123125783e-17,0.0,4.336808689942018e-19,0.0
2,0.00013600503890880873,9.88903179079372e-05,0.0006003514161983517,9.731829061838466e-05,1.1040996983994016,0.0002510610327050892,0.17472944252120276,5.4313416861280886e-05,1.1040974563636947,0.0005873685521186485,0.5103091879271333,0.5101183973896026,0.5636509480060934,0.00011184117688765501,0.0005946571600792816,0.000130674491939208,0.34951640174268794,0.3495314745020124,0.3457845734201368,0.34567019918137,0.5636483572528466,0.0003626317293041884,0.17471977441698666,7.989321278380649e-05,1.1040953503350583,4.743206367373736e-05,0.5636458151590906,3.228347934558162e-05,0.1747239244150492,0.00010862252780437817,0.033265188807078336,0.002130207712846321,0.0015050976401893845,0.002130695891855599,0.0021298931936894676,0.0021308786217138784,0.004315896237969705,0.000770279894926313,0.002130955229036064,0.0033340144260453515,0.0021317615834882783,3.380832006985362e-05,0.0035155400333163602,0.002864003384505696,0.002501480197798964,0.0017439258302702886,0.0041656607348921244,0.0008526785771364529,0.0012407816921047566,0.0018980705149154124,0.0007709483891961885,0.027362857820173923,0.02130325256736424,0.0014427111656446978,0.022675801066329385,0.00135478690812376,0.002775140610800826,0.001424525884435179,0.022935971685204077,0.0012391740552222797,0.0004697485816626601,0.0016212077891579312,0.0015799117974156745,0.010296914287814037,0.0025563787955783417,0.005942889374622343,0.007908609454831492,1.2493397158822028e-16,0.0,0.0,1.3552527156068805e-20,0.0,1.1102230246251565e-16,2.0328790734103208e-20,1.1102230246251565e-16,5.421010862427522e-20,1.3552527156068805e-20,6.776263578034403e-21,0.0,0.0,2.710505431213761e-20,1.3552527156068805e-20,0.0,0.0,0.0,5.421010862427522e-20,6.776263578034403e-21,0.0,5.320425699941074e-21,1.1143777212314389e-20,1.3877787807814457e-17,6.938893903907228e-17,1.3552527156068805e-20,2.7755575615628914e-17,0.0,4.336808689942018e-19,5.421010862427522e-20,2.168404344971009e-19,0.0,0.0,2.168404344971009e-19,8.673617379884035e-19,1.0842021724855044e-19,0.0,3.469446951953614e-18,2.168404344971009e-19,0.0,8.673617379884035e-19,1.0842021724855044e-19,0.0,4.336808689942018e-19,4.336808689942018e-19,6.505213034913027e-19,4.336808689942018e-19,8.673617379884035e-19,2.168404344971009e-19,6.776263578034403e-21,0.0,2.710505431213761e-20,4.336808689942018e-19,5.421010862427522e-20,0.0,3.2526065174565133e-19,4.336808689942018e-19,0.0,0.0,0.0,1.1102230246251565e-16,3.2526065174565133e-19,0.0,0.0,1.734723475976807e-18,0.0,1.1102230246251565e-16
3,8.47003217780749e-06,5.774203940149908e-06,8.859337861211953e-06,5.813092786141903e-06,0.0032398374804442362,8.506693824475505e-06,0.6850605298101953,3.6605840441836324e-06,0.003240029144419114,8.745784528940213e-06,0.685062005418696,0.0014921357218876234,0.21787602896738636,4.505971206468176e-06,8.758412907685599e-06,8.49131323399922e-06,0.3495626956388548,0.34954042482079606,0.21787175340938106,0.001010743327444079,0.2178759406504844,3.95542910826436e-06,0.6850603273839075,3.2927603719424965e-06,0.003240018344247791,5.796373999453458e-06,0.21787593376717088,1.2165698211035939e-06,0.685060516165537,1.2485625272680018e-06,0.007423445870664691,1.1221114334207006e-06,7.75320515224998e-07,1.126005111745959e-06,1.1257094428144152e-06,0.0003403423847010273,0.0005854618834908213,0.00020572409106863043,0.00034036550494049027,0.0004155569827655277,0.0003403572767187351,0.00020589490639642903,0.000585995847799189,5.1382715785791726e-05,6.76348337840699e-05,0.00040198899529306697,0.0005856400467641231,8.943960318982745e-05,0.0004645314404591339,2.2805343979358983e-06,0.0002057233400112424,0.0009915761474038804,0.0008056456836858024,0.00040238219544689707,0.0006576866237054326,0.0002055992453992883,2.7514747737605843e-05,9.283141292908336e-05,0.0009520659605120943,0.00046453051896954355,1.5621489983884607e-05,0.0001571171354691478,0.00013837620734772775,0.005133214108302447,0.0027695297404509564,0.005902429960376215,0.001574599295055318,5.551030419831057e-17,0.0,4.235164736271502e-22,2.117582368135751e-22,8.470329472543003e-22,0.0,0.0,0.0,2.117582368135751e-22,6.352747104407253e-22,5.293955920339377e-23,0.0,0.0,4.235164736271502e-22,1.0587911840678754e-22,3.3881317890172014e-21,0.0,1.0587911840678754e-22,2.117582368135751e-22,8.470329472543003e-22,5.293955920339377e-23,5.880737167369181e-25,3.9775755236436604e-23,0.0,5.551115123125783e-17,1.0587911840678754e-22,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,2.541098841762901e-21,1.0842021724855044e-19,0.0,8.470329472543003e-22,0.0,5.421010862427522e-20,1.3552527156068805e-20,3.3881317890172014e-21,0.0,8.470329472543003e-21,0.0,4.336808689942018e-19,4.336808689942018e-19,0.0,3.2526065174565133e-19,0.0,0.0,0.0,5.551115123125783e-17,8.470329472543003e-22,0.0,4.235164736271502e-22,0.0,1.3552527156068805e-20,1.0842021724855044e-19,0.0,2.168404344971009e-19,0.0,0.0,8.470329472543003e-22,6.776263578034403e-21,8.470329472543003e-22,0.0,2.710505431213761e-20,1.0842021724855044e-19
4,7.134137997893569e-06,1.0901870589844867e-05,1.2105840466805398e-05,1.0759977543600544e-05,3.0274323060337395e-05,7.18700315339371e-06,0.0012780866114748884,1.083694790220358e-05,3.024739414344432e-05,1.1985727739155512e-05,0.0012783570571091754,2.9599716887556356e-05,0.5674290281433325,4.716947185763268e-06,1.2035947769084906e-05,7.21572247834568e-06,0.5674292851807232,0.0006409817607713503,0.567428138461479,1.3607242620929536e-05,0.567429042962279,1.2405611847121217e-05,0.0012781104363034004,7.238109931310412e-06,3.0277294292985362e-05,1.0848259736497028e-05,0.5674289799134994,1.846003256164388e-06,0.0012780034719282545,1.2470075594402988e-05,0.003956862867340737,3.681923249557241e-08,3.702871021753131e-08,5.320496713967564e-07,5.325985097527137e-07,0.0003725741342293878,1.0789153165248663e-06,0.0007799135335565337,5.314440057328942e-07,7.650756410967751e-07,0.00037261825562901645,1.2512035949838481e-06,0.00036365439803772104,0.00020255372981830625,0.00020210851321575803,0.0001312807030037243,0.000363774762975368,0.00012871501419662234,0.000505303171727493,0.0006572182328721235,0.0007799126615268645,0.0010991644427965454,0.0007095867537991671,0.00013127761837122031,0.0006210964664822756,1.3385881030196322e-06,0.0008565666887656411,4.050254781655439e-05,0.0010992185168364624,0.0005053060519688457,1.667618710344558e-08,0.0007083488253930021,0.0001884433365584223,0.0020063340217493803,0.0002834170957906807,0.0028602493822222986,0.0037887917093249266,2.1726395097072804e-19,4.235164736271502e-22,5.293955920339377e-23,0.0,3.3881317890172014e-21,0.0,2.117582368135751e-22,1.0842021724855044e-19,1.6940658945086007e-21,0.0,5.293955920339377e-23,0.0,8.470329472543003e-22,4.235164736271502e-22,2.6469779601696886e-23,0.0,2.710505431213761e-20,2.6469779601696886e-23,0.0,1.6940658945086007e-21,0.0,3.5939745535400286e-23,1.6182730475027287e-23,2.168404344971009e-19,1.0842021724855044e-19,1.0587911840678754e-22,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,2.710505431213761e-20,2.168404344971009e-19,0.0,0.0,0.0,0.0,6.776263578034403e-21,4.336808689942018e-19,2.710505431213761e-20,2.168404344971009e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,0.0,2.168404344971009e-19,0.0,8.470329472543003e-22,0.0,0.0,2.168404344971009e-19,2.541098841762901e-21,5.293955920339377e-23,0.0,2.710505431213761e-20,2.117582368135751e-22,2.168404344971009e-19,0.0,3.3881317890172014e-21,2.710505431213761e-20,1.0842021724855044e-19,4.235164736271502e-22,0.0,1.3552527156068805e-20,0.0
5,2.8938241314420285e-06,3.000809336155433e-06,2.2105247930308336e-06,3.0003444183725283e-06,2.0520691581070067e-05,2.9342296341883813e-06,8.923808825873525e-06,2.9995307015961046e-06,2.0520730453315957e-05,2.169793549129316e-06,8.920617729589187e-06,2.2129716425550626e-05,0.00045572186462517785,2.929723577307447e-06,2.208870617995998e-06,2.896250509433745e-06,0.00045605841437519514,1.1738093061624606e-05,0.0004559414495597884,2.217448273319582e-05,0.00045571938282153456,1.879852661347184e-06,8.923154567804098e-06,2.936330007556538e-06,2.0521468384421264e-05,3.000041208063826e-06,0.0004557208917951569,3.0013325224628548e-06,8.92220412323138e-06,2.2114146302320265e-06,0.0027878118833512848,4.169312892786937e-09,4.358344218914149e-09,1.849819433640939e-09,1.7500715290424275e-09,4.305274531203672e-08,1.482202980713449e-09,0.000254587241011884,2.5312189174131236e-13,1.5676728955146753e-09,6.990356133037508e-05,3.089340980571475e-08,7.441820104356469e-08,4.306909053640427e-08,5.037596116131649e-08,3.0100949037130905e-05,0.00010619127851308461,8.6889881521478e-09,0.00011945587813529934,0.00012132597500452377,0.00025458722999351666,4.564238797925866e-07,0.0004676073942878596,3.0100963160931524e-05,1.2678136964917544e-07,3.197449350272349e-08,0.00017102722802091536,1.0618844116637703e-08,0.0006831063308013417,0.00011945596221024876,9.890464147343694e-10,0.00046761889955412113,0.00012141222439456445,0.0014585159132394494,0.0014582874234564686,0.0005693723601899886,0.0028964782421400936,8.470329472543003e-22,2.117582368135751e-22,4.1359030627651384e-25,5.293955920339377e-23,6.352747104407253e-22,0.0,8.271806125530277e-25,1.6940658945086007e-21,8.470329472543003e-22,0.0,6.617444900424222e-24,0.0,2.6469779601696886e-23,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,1.9852334701272664e-23,1.6207909842764148e-24,1.6441649328981134e-24,8.470329472543003e-22,0.0,0.0,3.3881317890172014e-21,0.0,0.0,1.3552527156068805e-20,1.3552527156068805e-20,0.0,1.3552527156068805e-20,6.776263578034403e-21,2.168404344971009e-19,2.0328790734103208e-20,5.421010862427522e-20,0.0,1.3552527156068805e-20,6.776263578034403e-21,4.336808689942018e-19,1.3552527156068805e-20,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,2.168404344971009e-19,2.168404344971009e-19,0.0,2.117582368135751e-22,0.0,0.0,5.421010862427522e-20,1.0587911840678754e-22,0.0,6.776263578034403e-21,6.776263578034403e-21,0.0,2.168404344971009e-19,0.0,8.470329472543003e-22,2.0328790734103208e-20,1.3552527156068805e-20,7.940933880509066e-23,1.0842021724855044e-19,0.0,8.470329472543003e-22
6,1.9736823502676996e-08,1.960719522691309e-08,1.6082682158178744e-07,1.9607393313638388e-08,1.31570956328421e-07,1.973668305314798e-08,1.1397610623535843e-07,1.960758657693161e-08,1.3157415550830113e-07,1.6083862674231233e-07,1.1397618906177015e-07,1.3162503324049621e-07,3.84827050096264e-07,1.9736790932583314e-08,1.6082678432005913e-07,1.973607804053314e-08,3.8482567441120534e-07,1.139586123519989e-07,3.8483207746304274e-07,1.3162286174340038e-07,3.848355414493858e-07,1.6081767164074302e-07,1.1397612046945717e-07,1.973663409717147e-08,1.3157093951999832e-07,1.9607427301733622e-08,3.848270714173557e-07,1.9606957667537164e-08,1.1398311366406037e-07,1.6085670525715315e-07,8.563043236977633e-06,5.213341733945848e-13,5.368318333269545e-13,1.5855373364556625e-11,1.7039971702006427e-11,8.653267893884378e-11,1.2561396884161346e-13,1.679871723031756e-05,4.610338563374191e-14,1.3548574238028663e-13,3.24997661126891e-07,2.33159525083259e-10,5.6650712886501796e-11,2.2783898370881184e-10,1.8613374080688803e-10,1.4009595754453246e-07,4.940021882322913e-07,8.506097735643562e-11,5.101116997482433e-07,8.015285396983697e-06,1.6798717230872883e-05,1.3042202267136528e-09,2.330475249776894e-06,1.4009595780635847e-07,1.2883956081424525e-09,2.3298169861314757e-10,1.4526651249308502e-05,5.698198708333913e-11,3.3994327126111174e-06,5.101116162009575e-07,9.866706252302557e-15,2.3304750658874005e-06,8.015280518165985e-06,8.625380802299756e-06,8.625382774104438e-06,5.024427646124737e-06,5.157612928176429e-06,2.9778502051908996e-23,3.308722450212111e-24,0.0,0.0,1.0587911840678754e-22,0.0,1.0097419586828951e-28,0.0,0.0,1.0339757656912846e-25,2.4233807008389483e-27,4.1359030627651384e-25,5.169878828456423e-26,0.0,0.0,0.0,1.6940658945086007e-21,0.0,5.293955920339377e-23,0.0,0.0,3.776332620075382e-28,3.5888718437524614e-27,6.617444900424222e-24,3.3881317890172014e-21,3.970466940254533e-23,6.617444900424222e-24,2.6469779601696886e-23,5.293955920339377e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,4.235164736271502e-22,5.293955920339377e-23,0.0,8.470329472543003e-22,4.235164736271502e-22,0.0,1.0587911840678754e-22,5.293955920339377e-23,8.470329472543003e-22,0.0,2.117582368135751e-22,4.235164736271502e-22,4.235164736271502e-22,8.470329472543003e-22,8.470329472543003e-22,0.0,4.235164736271502e-22,0.0,2.6469779601696886e-23,6.617444900424222e-24,8.470329472543003e-22,2.0679515313825692e-25,0.0,5.293955920339377e-23,5.293955920339377e-23,2.0194839173657902e-28,8.470329472543003e-22,1.0339757656912846e-25,1.6543612251060553e-24,4.235164736271502e-22,4.235164736271502e-22,2.0679515313825692e-25,0.0,0.0,0.0
7,5.85653567232131e-10,5.633343794344217e-10,9.540375837436021e-08,5.633350768531705e-10,6.859530967331751e-10,5.856516985411393e-10,7.571956887059964e-10,5.633343855202866e-10,6.859526703793014e-10,9.540376114542156e-08,7.571957241158494e-10,6.85955830790764e-10,1.6813882350303538e-07,5.856516961488248e-10,9.540375840536206e-08,5.856536921824685e-10,1.6813882385784976e-07,7.571967441876564e-10,1.681388239439044e-07,6.859558007166222e-10,1.681388249689142e-07,9.540376027798698e-08,7.57195699924012e-10,5.85651661271084e-10,6.859531194230815e-10,5.633343383408174e-10,1.6813882351754977e-07,5.633342074871958e-10,7.571969000783904e-10,9.540376056662981e-08,1.490994473043279e-07,2.574897939536913e-16,2.7020886225811534e-16,1.6538927987136022e-14,1.8139540389092426e-14,2.2712079955444914e-12,8.708288182544939e-18,1.6718706305018227e-07,2.048586174587958e-17,1.013015132326229e-17,6.9464669302999564e-09,1.0887796015086168e-15,1.5769138858726302e-12,6.9870001904590905e-12,6.986624610248729e-12,2.9974634355581114e-09,1.0565960228093878e-08,2.267654471830903e-12,3.878947070700124e-09,1.0629599520826749e-07,1.6718706304331567e-07,7.1940194158657605e-12,8.789860162588239e-09,2.997463438104563e-09,7.191832637478913e-12,9.170530305156997e-16,1.8121264982242637e-07,1.5788896027878896e-12,1.3335842072245757e-08,3.878947215234246e-09,2.017395797790781e-17,8.789860160296035e-09,1.062959635795349e-07,2.6072602708826793e-08,2.607260566355118e-08,2.208916625176138e-08,5.847451180189019e-09,4.9682535541466225e-23,0.0,0.0,3.2311742677852644e-27,6.617444900424222e-24,0.0,0.0,2.5849394142282115e-26,4.1359030627651384e-25,3.2311742677852644e-27,0.0,0.0,1.6155871338926322e-27,2.0679515313825692e-25,1.9721522630525295e-31,0.0,5.169878828456423e-26,0.0,8.271806125530277e-25,0.0,0.0,9.244463733058732e-33,8.435573156416093e-32,0.0,0.0,6.203854594147708e-25,0.0,4.1359030627651384e-25,8.271806125530277e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,6.617444900424222e-24,0.0,4.1359030627651384e-25,6.617444900424222e-24,1.6543612251060553e-24,0.0,8.271806125530277e-25,4.1359030627651384e-25,4.1359030627651384e-25,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,5.169878828456423e-26,3.970466940254533e-23,9.926167350636332e-24,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,1.2924697071141057e-26,6.617444900424222e-24,1.3234889800848443e-23,1.2924697071141057e-26,8.271806125530277e-25,0.0,6.462348535570529e-27
8,3.148791765159958e-09,2.9726813212447408e-09,5.1826219051401815e-08,2.9726807468505842e-09,3.664257285546276e-09,3.1487918898285145e-09,7.634169963799813e-10,2.9726815213813836e-09,3.6642571986184502e-09,5.182621878839119e-08,7.634168574408214e-10,3.6642565198926304e-09,7.637930380421214e-08,3.1487920064743994e-09,5.182621876334461e-08,3.1487916997376327e-09,7.637930340773722e-08,7.634177164749669e-10,7.637930347586315e-08,3.664256503501211e-09,7.637930357553412e-08,5.1826220598325844e-08,7.634168677088711e-10,3.1487916899286728e-09,3.664257109661962e-09,2.9726813617503216e-09,7.637930367556615e-08,2.972680716797804e-09,7.634154897533304e-10,5.182621863614964e-08,3.010373025610931e-08,1.473562549574706e-15,1.5282533659666636e-15,1.7284729798209677e-15,1.923636700774148e-15,1.1957614473066944e-11,3.7386045794254736e-16,1.0017098917841298e-08,1.501812785915768e-16,3.7786338015306837e-16,2.9160757111036594e-08,1.6373007310365126e-15,8.220561681633281e-12,9.512338050995847e-12,9.510673223562245e-12,1.2600129619487385e-08,4.4395605808091215e-08,1.1960382080263646e-11,4.9159197483007135e-08,1.1550886305207446e-07,1.001709891662951e-08,3.897620263581045e-11,3.907051196188153e-08,1.2600129620973355e-08,3.89799659615177e-11,1.752605281640297e-15,9.205965849912315e-09,8.21671111300262e-12,5.710444746815872e-08,4.91591971005004e-08,1.5744513782779272e-16,3.9070511969303886e-08,1.1550886264792255e-07,4.78246932946175e-09,4.78246833768811e-09,1.635817259170147e-08,2.0991507265464604e-08,4.8596860987490376e-24,0.0,9.860761315262648e-32,6.462348535570529e-27,8.271806125530277e-25,2.0679515313825692e-25,0.0,0.0,0.0,0.0,7.888609052210118e-31,0.0,0.0,0.0,7.888609052210118e-31,0.0,0.0,9.860761315262648e-32,1.6543612251060553e-24,4.1359030627651384e-25,1.5777218104420236e-30,2.7733391199176196e-32,1.3866695599588098e-32,1.0339757656912846e-25,3.308722450212111e-24,4.1359030627651384e-25,4.1359030627651384e-25,1.6543612251060553e-24,6.617444900424222e-24,3.308722450212111e-24,0.0,1.6543612251060553e-24,0.0,0.0,1.6543612251060553e-24,4.1359030627651384e-25,3.308722450212111e-24,0.0,0.0,0.0,0.0,4.1359030627651384e-25,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,4.1359030627651384e-25,6.617444900424222e-24,1.6543612251060553e-24,1.6543612251060553e-24,6.462348535570529e-27,7.888609052210118e-31,0.0,0.0,3.944304526105059e-31,0.0,2.5849394142282115e-26,5.169878828456423e-26,8.271806125530277e-25,8.271806125530277e-25,3.2311742677852644e-27,0.0,0.0,0.0
9,5.653104481923311e-09,5.271346085824453e-09,3.5188298737471776e-08,5.271346193337357e-09,4.242387603900911e-09,5.653104861452108e-09,9.82005861765283e-10,5.271346287726093e-09,4.242387105868501e-09,3.518829804060434e-08,9.820055992650412e-10,4.242387335019659e-09,4.4454802559343864e-08,5.653105121104951e-09,3.518829809930022e-08,5.653104913517115e-09,4.4454802445050195e-08,9.820065981932512e-10,4.44548023464746e-08,4.242387307137972e-09,4.445480223395662e-08,3.518829803330915e-08,9.820056232104471e-10,5.653104734220012e-09,4.2423873032402975e-09,5.271345987852192e-09,4.44548021530193e-08,5.271346113526207e-09,9.820057713798047e-10,3.518829808105517e-08,1.6515095330700304e-09,2.9149005142362967e-15,3.006157364547496e-15,2.7116340933617153e-15,2.893451176213573e-15,2.127564189332215e-11,6.64916372968218e-16,7.990302581716589e-08,1.7470159264748708e-16,6.739752450142922e-16,4.290087032683033e-08,2.8185933480617156e-15,1.4441747249563119e-11,1.1043163876039238e-11,1.1042930962859155e-11,1.8567927948930863e-08,6.538660499208183e-08,2.1278293933796248e-11,7.368188954681623e-08,1.1089189060304132e-08,7.990302579845525e-08,4.556338840236079e-11,3.788035805312431e-08,1.856792796745881e-08,4.556551240818864e-11,2.9484293447226004e-15,1.563435262784115e-08,1.4438372951125512e-11,5.515340417823291e-08,7.368188914129724e-08,1.9565885005024129e-16,3.788035805470645e-08,1.1089188971546884e-08,1.2046259047835803e-09,1.204625286636316e-09,1.7090615863531005e-08,2.206061218237713e-08,2.895132143935597e-24,0.0,9.860761315262648e-32,1.2924697071141057e-26,2.0679515313825692e-25,0.0,1.9721522630525295e-31,0.0,4.1359030627651384e-25,0.0,7.888609052210118e-31,1.0339757656912846e-25,0.0,0.0,3.1554436208840472e-30,1.0339757656912846e-25,1.6543612251060553e-24,0.0,0.0,1.0339757656912846e-25,1.5777218104420236e-30,1.3019286424057714e-31,6.317050217590134e-32,0.0,3.308722450212111e-24,0.0,0.0,0.0,1.9852334701272664e-23,0.0,3.308722450212111e-24,0.0,8.271806125530277e-25,0.0,1.6543612251060553e-24,8.271806125530277e-25,6.617444900424222e-24,0.0,1.3234889800848443e-23,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,0.0,3.308722450212111e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,4.1359030627651384e-25,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,5.169878828456423e-26,0.0,0.0,6.462348535570529e-27,3.308722450212111e-24,3.308722450212111e-24,5.169878828456423e-26
