,Y1Z3,Y3Z1,Y4Z0,Y0Z4,Y5Z0,Y0Z5,Y3Z0,Y0Z3,Y5Z4,Y4Z5,Y5Z3,Y3Z5,Y2Z0,Y0Z2,Y1Z0,Y0Z1,Y2Z4,Y4Z2,Y1Z4,Y4Z1,Y2Z1,Y1Z2,Y1Z5,Y5Z1,Y4Z3,Y3Z4,Y2Z5,Y5Z2,standard_x,Y2Z3,Y3Z2,X0X1,X3X4,X0X3,Y3Y4,Y0Y1,X1X5,X0X5,X0X4,X3X5,X1X4,X0X2,Y0Y5,X0,Y0Y4,Y1Y5,X2X3,Y0Y3,X2X5,X4X5,Y3Y5,Y4Y5,Y1Y4,X2X4,Y2Y5,Y2Y3,X1X2,X3,X4,X5,X1X3,Y0Y2,Y2Y4,X1,Y1Y3,Y1Y2,X2,standard_y,Y4,Y1,X4Y3,Y5,X4Y5,X4Y1,X2Y4,X1Y4,Y3,X5Y3,X4Y0,X3Y5,X3Y4,X2Y5,X2Y3,X2Y1,X2Y0,X1Y3,Y2,X5Y4,X5Y1,X3Y1,X0Y1,X4Z5,X4Z1,X4Z0,X3Z1,X3Z0,X0Z5,X0Z1,X5Z4,X3Z5,X2Z1,X2Z0,X1Z5,X0Z3,X3Z4,X1Z4,X1Z2,X4Z3,X2Z4,X3Z2,X2Z3,Y0,X5Z3,X5Z2,X5Z1,X5Z0,X5Y2,X5Y0,X4Z2,X4Y2,X3Y2,X3Y0,X2Z5,X1Z3,X1Z0,X1Y5,X1Y2,X1Y0,X0Z4,X0Z2,X0Y5,X0Y4,X0Y3,X0Y2
0,0.9487000454510216,0.9486314793719008,0.8984574438599446,0.8983236481679651,0.8820075337655602,0.8818688279040923,0.8431245357178827,0.843016846313355,0.7762063138648079,0.7761998360075328,0.6104367068812149,0.6104186747915581,0.5856992264039329,0.5855104265477336,0.528824299443065,0.5287185369635611,0.5116323559351539,0.5115436103498927,0.42398123146076894,0.423959573345346,0.36465848590994054,0.3646138589358209,0.3061137675625256,0.3061006850100725,0.27415235992960796,0.2741465494097528,0.1548058189558736,0.15478025846652876,0.1114362008693251,0.09452205097483041,0.09450365239001543,0.03945941885938078,0.03844199018254929,0.03565143623186292,0.033642704195277096,0.03328962682323645,0.03269969317500954,0.032341953935917,0.03231196458286645,0.03193754066188989,0.03153540251164865,0.03004027918149296,0.02929767769457952,0.02919525418969398,0.028796506136784833,0.028626093991175085,0.02820905712604343,0.026839014325206852,0.025939922604543184,0.025927807623041074,0.025234635512789014,0.02338133389644024,0.023190952149778975,0.021741040158614278,0.021663226089231817,0.02149249802976244,0.020912401839290905,0.02068284840947636,0.019270314220386324,0.018714103819837905,0.01854296417323922,0.01737621191886881,0.016540609403522505,0.01586567268110184,0.015673563072414597,0.013275982800230079,0.007708007548828677,3.3306690738754696e-16,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,6.938893903907228e-18,2.168404344971009e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001385714459398443,0.0013812066130436307,0.8985161588474555,0.8984828892123495,0.8820820151319653,0.8820255717147396,0.0012267642450784421,0.31432511333574464,0.776274325390408,0.7762533949572956,0.30435239314682233,0.0008868805898462259,0.5857119332972777,0.5856192010316248,0.000766163453235601,0.31432223241866697,0.5116441995385421,0.5115821366373612,0.0006134578231211942,0.1498090687546741,0.27013965562816217,0.0005272334213524232,0.00044241272794180497,0.30435006750485816,0.14980714103883977,0.0003926284661625952,0.15481012741241912,0.15479552241672295,0.05030458721172212,0.2701383793404146,0.00013113520871337422,0.0017254954989776674,0.001718839518316105,0.0014962244890052213,0.0016707570978015604,0.002112454856880424,0.0016472694579553514,0.017562738817534444,0.01896337066737163,0.001560865319356544,0.0014962416766742305,0.018420121838314894,0.015748811041148968,0.01818428222522671,0.016909278428164608,0.0016820666200603597,0.0017388396801365873,0.001818631808096017,0.019467328202992892,0.01794326486429513,0.0014010239746457644,0.014871146044137001,0.0015219417652704863,0.017095835165543128,0.015020142908996663,0.0012369071134263846,0.00144905848769988,0.0016349714506194986,0.015389782459167795,0.013458770047186845,0.002503811549810595,0.009280178852452662,0.012591226709652077,0.0015366136524985453,0.002501698122681948,0.000981610750224707,0.006443337583258809,1.3856103764364747e-16,5.551115123125783e-17,0.0,1.0842021724855044e-19,5.551115123125783e-17,5.551115123125783e-17,2.710505431213761e-20,2.7755575615628914e-17,1.0842021724855044e-19,2.168404344971009e-19,2.168404344971009e-19,2.7755575615628914e-17,2.710505431213761e-20,5.421010862427522e-20,2.7755575615628914e-17,0.0,2.710505431213761e-20,2.7755575615628914e-17,2.7755575615628914e-17,0.0,2.7755575615628914e-17,2.710505431213761e-20,2.7755575615628914e-17,6.776263578034403e-21,1.3010426069826053e-18,0.0,1.3010426069826053e-18,0.0,0.0,0.0,1.734723475976807e-18,4.336808689942018e-19,2.710505431213761e-19,0.0,0.0,2.710505431213761e-20,1.734723475976807e-18,0.0,2.710505431213761e-20,0.0,2.6020852139652106e-18,0.0,0.0,4.336808689942018e-19,2.7755575615628914e-17,0.0,1.6263032587282567e-19,1.734723475976807e-18,8.673617379884035e-19,2.7755575615628914e-17,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.0,2.168404344971009e-19,1.6263032587282567e-19,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,2.710505431213761e-20,1.0164395367051604e-20,1.734723475976807e-18,6.505213034913027e-19,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0
2,2.7033570324627104e-05,3.4011525045948786e-05,0.0010344101705682157,0.0010372113082427708,0.10580808209107712,0.0010180648582425473,2.560075441308191e-05,0.0003689629023327815,0.10580677503433916,0.0008936840716502728,0.30439907400986344,2.5024720987030752e-05,0.07406807052976097,0.0006761225979475247,9.279987103241021e-06,0.0003689246021293201,0.07406721135036955,0.0005891165047775998,9.141320916473843e-06,0.00016701797211583728,0.2701605121544791,1.541633470965608e-05,1.315885614964509e-05,0.3043985550544484,0.00016665765012381642,2.571438403553155e-05,0.1548211691820866,0.154821086822447,3.640794755687326e-05,0.27016024473630934,8.534451519641712e-06,0.00044856901574600173,0.0004485667174950367,0.0002845870723851893,0.0006531368231198401,0.0006535937630746809,0.0010620267370401756,0.00015840036955700723,0.0021056477599078007,0.0011068251624084154,0.000284642156110289,0.0001592774931192498,0.00014734745289471686,0.0001611380233429598,0.0021057841773256735,0.0008178748667645942,0.0012663025713499066,0.000653397601855619,0.0018150006944211462,1.0638165021818248e-06,0.000577505746989656,0.00015243143684077828,0.0006531398243814825,1.7722607331926006e-06,0.0015100327905603521,0.0006482063970730146,0.0009025456610141537,0.0011843687390852627,1.2564063657376391e-06,0.001191814923263704,0.0035985226478838046,6.182719712192203e-05,6.305115686382864e-05,0.000984553145984167,0.003598535658334014,0.00043502421316719673,0.0011005806312260748,5.505714157152952e-20,8.131516293641283e-20,8.470329472543003e-22,0.0,0.0,0.0,0.0,5.421010862427522e-20,1.2705494208814505e-21,0.0,0.0,2.7755575615628914e-17,1.6940658945086007e-21,0.0,2.7755575615628914e-17,3.3881317890172014e-21,8.470329472543003e-22,5.421010862427522e-20,5.551115123125783e-17,0.0,0.0,4.235164736271502e-22,4.163336342344337e-17,3.9042924912502906e-22,2.710505431213761e-20,1.3552527156068805e-20,0.0,2.168404344971009e-19,2.168404344971009e-19,2.710505431213761e-20,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,2.710505431213761e-20,6.776263578034403e-21,0.0,1.0842021724855044e-19,5.421010862427522e-20,1.3552527156068805e-20,1.3552527156068805e-20,8.131516293641283e-20,0.0,1.0842021724855044e-19,2.710505431213761e-20,0.0,0.0,1.0842021724855044e-19,5.421010862427522e-20,0.0,2.710505431213761e-20,0.0,5.421010862427522e-20,1.6940658945086007e-21,0.0,1.0842021724855044e-19,5.421010862427522e-20,1.0842021724855044e-19,8.470329472543003e-22,2.117582368135751e-22,4.532949756790592e-22,0.0,0.0,0.0,0.0,0.0,0.0
3,3.4442244577238094e-05,1.0067793656186185e-05,0.0003016597193848022,0.00030556579814868695,0.00028194915793119523,0.00019854840041909116,6.913630717589946e-06,0.0001972401968091583,0.0002816787373543214,0.0003179858369037099,0.0008131925038528751,1.0646602146716084e-05,0.07406500847181978,0.00018945947061085855,9.020411168491329e-06,0.00019717551746628993,0.07406437725664144,0.0001610358523084751,8.891091925495451e-06,0.000316393290128952,0.4249750748177944,2.2032497968011514e-05,3.4944169354481864e-05,0.000813114845701045,0.0003164816054347705,7.089835588762062e-06,0.42497437576868324,0.0004116829219155287,0.001180016794520277,0.424975009748087,2.7026003642321546e-06,8.236059870860552e-05,3.784591417928497e-07,1.3500690558840233e-07,7.395965105444524e-07,0.00033062241463351587,0.00024283251209491878,0.0008008401985972805,0.0026441351031904568,0.00042126449841189815,5.467803578760481e-06,0.0009734379008577167,0.0008823418358728022,0.0010086105477394233,0.002643986458654363,0.00024224032415906717,0.00024310966583988315,7.797177180408118e-07,0.0003824819301088372,0.0005386975495296358,0.00042072196057255437,0.0008825590139959311,0.0003307729891326902,0.000985337589645914,0.00023776121531933443,8.12526059797211e-05,0.00032541021824640835,0.00024302791375245786,0.0009486083564668021,0.0009097342803776498,0.0004362592123775248,0.000840939948635373,0.0009058866246696602,0.0004037539384162686,0.00043626490852582625,0.00010958556436246108,0.002874283270517579,2.7742023088472845e-17,2.710505431213761e-20,8.470329472543003e-22,4.235164736271502e-22,5.421010862427522e-20,0.0,4.235164736271502e-22,0.0,1.0587911840678754e-22,8.470329472543003e-22,0.0,2.7755575615628914e-17,3.3881317890172014e-21,8.470329472543003e-22,0.0,0.0,1.6940658945086007e-21,0.0,1.0842021724855044e-19,2.7755575615628914e-17,0.0,2.117582368135751e-22,1.0842021724855044e-19,6.710502719336437e-23,5.421010862427522e-20,1.0842021724855044e-19,1.0842021724855044e-19,1.3552527156068805e-20,3.3881317890172014e-20,0.0,1.0842021724855044e-19,5.421010862427522e-20,0.0,0.0,4.336808689942018e-19,6.776263578034403e-21,1.0842021724855044e-19,6.776263578034403e-21,2.710505431213761e-20,1.0164395367051604e-20,5.421010862427522e-20,2.168404344971009e-19,1.6940658945086007e-21,0.0,1.3552527156068805e-20,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,0.0,8.470329472543003e-22,0.0,4.336808689942018e-19,2.0328790734103208e-20,1.3552527156068805e-20,0.0,6.352747104407253e-22,1.15908683333993e-22,2.710505431213761e-20,2.710505431213761e-20,3.3881317890172014e-21,0.0,0.0,0.0
4,6.958558281814065e-06,1.5107233864274146e-05,6.053235578058858e-05,6.290313437994831e-05,1.4893411769159109e-05,4.891298134703992e-06,1.093574961323123e-05,4.797076003871425e-06,1.5037975381859772e-05,2.770332281362036e-05,3.583212614330383e-05,1.5342427311614796e-05,0.0004560131347272386,4.265205006042821e-06,2.4886065515686292e-06,4.925155205734687e-06,0.0004560231884608504,3.0171184312447926e-05,2.442435940468157e-06,2.8762653444119127e-05,0.002643858940218998,7.60509421850111e-06,6.762322768935315e-06,3.591187907677362e-05,2.883932613581481e-05,1.0852426852563843e-05,0.0026440978427821685,3.5005861308018744e-05,0.005006630723774517,0.0026438183882678576,1.4972886594698162e-05,2.356186967062915e-07,5.859331156483562e-07,4.696628684766911e-07,5.6539548859274e-07,2.0700886723922824e-06,1.5326420956148632e-06,0.0005093494508978443,0.005038983242393156,0.0005273368631298901,2.693318349402681e-07,0.00021724063314837038,0.0004122341824201168,0.0003199687197561671,0.005038987632866107,1.5316367623069961e-06,1.5001211364137223e-06,4.412415729957424e-07,0.0007226796427468866,0.00037808853552071984,0.0005273347976018035,0.0004128030076520796,2.1970113104071645e-06,0.0003032777416792879,0.0007245713218474004,2.872896295899994e-07,0.0003951681359348229,0.0002590033919651968,0.0002389174094927996,0.001351082270988156,0.0007198455594592487,0.0002654545664358988,0.00026519503567126377,0.00021483256820716587,0.0007198476486434997,0.00039437838586103445,0.0026228263633650316,9.105604182983729e-21,1.6940658945086007e-21,2.117582368135751e-22,4.235164736271502e-22,6.776263578034403e-21,0.0,2.117582368135751e-22,3.3881317890172014e-21,2.117582368135751e-22,1.6940658945086007e-21,8.470329472543003e-22,2.7755575615628914e-17,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,1.6940658945086007e-21,5.293955920339377e-23,0.0,1.5296055866268663e-22,0.0,1.3552527156068805e-20,6.776263578034403e-21,2.710505431213761e-20,6.776263578034403e-21,2.710505431213761e-20,2.710505431213761e-20,0.0,2.710505431213761e-20,4.336808689942018e-19,2.168404344971009e-19,2.541098841762901e-21,5.421010862427522e-20,6.776263578034403e-21,1.3552527156068805e-20,8.470329472543003e-22,1.3552527156068805e-20,2.168404344971009e-19,0.0,2.168404344971009e-19,8.470329472543003e-22,2.168404344971009e-19,0.0,0.0,5.421010862427522e-20,0.0,3.3881317890172014e-21,2.710505431213761e-20,1.6940658945086007e-21,4.235164736271502e-22,4.235164736271502e-22,0.0,8.470329472543003e-22,6.776263578034403e-21,5.293955920339377e-23,2.117582368135751e-22,1.3158310970701932e-22,2.710505431213761e-20,0.0,0.0,0.0,8.470329472543003e-22,8.470329472543003e-22
5,6.246376998485558e-06,9.765630682544494e-06,1.0997336525595008e-05,1.7735867154997397e-06,2.2310595652739136e-05,1.771915535514247e-06,9.765619297967989e-06,1.7734254487764228e-06,2.231051954711551e-05,1.0997446990560203e-05,2.2310850213242974e-05,9.764923382393248e-06,3.187747463792981e-05,1.7737076507579662e-06,6.246258208992239e-06,1.773914006323947e-06,3.18774139660306e-05,1.0995928395319024e-05,6.246206462265034e-06,1.0996584538771473e-05,3.187745155170616e-05,6.246307298085887e-06,6.246105328878253e-06,2.231053953140801e-05,1.0997029602451775e-05,9.765560788409052e-06,3.187780600440881e-05,2.23106120370799e-05,5.253194501246207e-05,3.1877425315117265e-05,9.765628981188445e-06,8.127256665761066e-10,7.0919978641873635e-09,6.992964829315777e-10,7.310894681501264e-09,1.0518174980202011e-09,1.520216378284096e-09,6.396816756638357e-06,4.9064475529304384e-06,9.37467704199334e-06,9.363583275079277e-11,9.705891747006084e-08,6.397545925907853e-06,1.8028286524614755e-05,4.906375169153634e-06,2.0332730286149907e-09,1.760082383290038e-09,8.332108981324803e-10,7.940646769984949e-06,4.152711877912097e-08,9.374895685185243e-06,4.208604649299012e-08,6.624956346534409e-11,1.4014080314687161e-06,7.940547912685151e-06,2.2137391445349848e-09,2.256675118603189e-05,7.095320098233922e-06,1.7043652633111547e-05,9.310225570297122e-06,1.7744558349118443e-06,9.657509733396017e-08,1.400871761028479e-06,1.0758259287848089e-05,1.7743767843783325e-06,2.2566443283066125e-05,9.70379910164337e-06,2.117582368135751e-21,8.470329472543003e-22,2.117582368135751e-22,0.0,1.6940658945086007e-21,1.3234889800848443e-23,1.0339757656912846e-25,8.470329472543003e-22,5.169878828456423e-26,0.0,1.6940658945086007e-21,0.0,1.6940658945086007e-21,2.0679515313825692e-25,8.470329472543003e-22,0.0,8.470329472543003e-22,2.117582368135751e-22,1.0587911840678754e-22,3.3881317890172014e-21,1.3234889800848443e-23,1.9387045606711586e-26,1.0587911840678754e-22,2.342768977086676e-27,0.0,3.3881317890172014e-21,3.3881317890172014e-21,4.235164736271502e-22,4.235164736271502e-22,0.0,1.6940658945086007e-21,1.6940658945086007e-21,4.235164736271502e-22,0.0,0.0,8.470329472543003e-22,0.0,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,1.6940658945086007e-21,0.0,1.2705494208814505e-21,0.0,2.117582368135751e-22,8.470329472543003e-22,1.6940658945086007e-21,1.6940658945086007e-21,1.6940658945086007e-21,8.470329472543003e-22,1.6940658945086007e-21,0.0,0.0,1.0339757656912846e-25,2.0679515313825692e-25,0.0,8.470329472543003e-22,0.0,2.5849394142282115e-26,8.470329472543003e-22,6.554497350061658e-27,1.6940658945086007e-21,3.3881317890172014e-21,0.0,4.235164736271502e-22,0.0,1.0587911840678754e-22
6,1.0213540442154309e-07,1.7204831960252214e-07,2.6930755118596135e-07,2.7113349334713422e-08,7.619248265503837e-07,2.711277349444996e-08,1.7204902848789008e-07,2.711403239426163e-08,7.61924826268861e-07,2.693075643018074e-07,7.619224841678232e-07,1.7204789727589385e-07,1.0174566561198682e-06,2.711432363098901e-08,1.0213572865782407e-07,2.7114164814947313e-08,1.0174566847344064e-06,2.693076164780488e-07,1.02135708005281e-07,2.6930709740481936e-07,1.017457552630462e-06,1.021351635198231e-07,1.0213525265064849e-07,7.619223614404516e-07,2.6930721833914293e-07,1.7204900475344613e-07,1.0174570260170192e-06,7.619222685209018e-07,4.754168026941526e-08,1.0174575188271318e-06,1.7204832026352217e-07,1.8472453154444386e-12,4.8254294376778095e-12,5.253082615311456e-13,4.928544038536318e-12,1.9264330596250777e-12,3.082240575313225e-12,1.7529787171250592e-07,1.0495271537727972e-07,1.5070662744718082e-07,8.179499716872429e-13,2.431634461861439e-09,1.7529791484207044e-07,2.254032919649844e-08,1.0495271447580884e-07,2.9818978288506594e-12,1.5042709964450154e-12,4.93893815110927e-13,3.0828727688126254e-07,1.0291533779435937e-09,1.5070560315532002e-07,1.0285349456657337e-09,1.0168752189865004e-12,4.226404306303362e-08,3.08287305785378e-07,2.6765254796792637e-12,3.715491383558716e-07,5.302026017919218e-07,9.412978758241124e-10,2.9612359606296584e-07,6.94732087176409e-08,2.4316961599860343e-09,4.226391978670784e-08,1.1202641911245072e-07,6.947325751716373e-08,3.7154904398823634e-07,3.7016547803849944e-07,3.490702184973777e-22,0.0,1.9852334701272664e-23,0.0,5.293955920339377e-23,4.1359030627651384e-25,5.048709793414476e-29,2.6469779601696886e-23,1.5146129380243427e-28,0.0,2.6469779601696886e-23,0.0,2.6469779601696886e-23,2.0194839173657902e-28,5.293955920339377e-23,2.0194839173657902e-28,3.3087224502121107e-23,1.6543612251060553e-24,0.0,3.1763735522036263e-22,4.1359030627651384e-25,4.3781780239766155e-29,0.0,3.228937107561864e-29,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,0.0,1.9852334701272664e-23,1.9852334701272664e-23,5.293955920339377e-23,5.293955920339377e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.3161057151484775e-23,1.819797347616661e-23,5.293955920339377e-23,2.9778502051908996e-23,1.9852334701272664e-23,1.5509636485369269e-24,7.940933880509066e-23,5.293955920339377e-23,2.6469779601696886e-23,1.6543612251060553e-24,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,5.293955920339377e-23,5.293955920339377e-23,1.34416849539867e-24,2.6469779601696886e-23,3.0292258760486853e-28,0.0,2.6469779601696886e-23,2.9778502051908996e-23,2.3161057151484775e-23,6.310887241768094e-29,4.632211430296955e-23,3.0073781267595565e-29,1.6543612251060553e-23,1.6543612251060553e-23,5.293955920339377e-23,0.0,0.0,3.308722450212111e-24
7,3.4075193017433504e-08,6.500039735355322e-08,1.5048522435550789e-07,7.391599938921304e-09,1.7915225126874844e-07,7.391439689254729e-09,6.50004505129904e-08,7.391579307043357e-09,1.7915225052321757e-07,1.5048519522661314e-07,1.7915215224143068e-07,6.500035522496992e-08,1.6942309970450468e-08,7.391701592970195e-09,3.4075272172500655e-08,7.39159410199809e-09,1.6942300375151782e-08,1.5048516985031516e-07,3.407526822413123e-08,1.5048513824158884e-07,1.6941979873754207e-08,3.407523869729163e-08,3.407518229277149e-08,1.7915213538539488e-07,1.504851517588592e-07,6.500044600220294e-08,1.6942003566495263e-08,1.791521387446143e-07,1.7965035537754785e-07,1.6941985116148608e-08,6.500039741493449e-08,1.166877405591506e-12,3.6254053385793734e-13,3.1473916813067366e-14,3.63808438650042e-13,1.2360865105254402e-12,5.308660580754853e-13,1.0817795644268068e-07,2.0376475067016856e-08,5.3528050248944026e-08,5.525971813781502e-13,1.3911623337968436e-09,1.0817795332680635e-07,8.352185802199732e-09,2.0376473339812266e-08,5.101327125795898e-13,4.1716115264384207e-13,3.922793606457704e-14,6.673885138756815e-08,5.774248335015991e-10,5.3527956116409155e-08,5.773925478413099e-10,6.394141831159889e-13,2.7972997290603002e-08,6.67388523786659e-08,4.762877855055868e-13,1.0870151204239002e-07,2.4169117561570737e-07,4.464636557328029e-08,2.7099192458377853e-08,1.516091330190114e-08,1.3911630517035664e-09,2.797297401181735e-08,6.599220683283108e-08,1.5160921432015454e-08,1.0870150259767543e-07,1.188380397582879e-07,3.523789409475898e-22,1.3234889800848443e-23,0.0,0.0,1.3234889800848443e-23,2.0679515313825692e-25,1.262177448353619e-29,0.0,0.0,6.617444900424222e-24,1.3234889800848443e-23,2.6469779601696886e-23,0.0,2.524354896707238e-29,6.617444900424222e-24,1.262177448353619e-29,3.308722450212111e-24,8.271806125530277e-25,2.481541837659083e-24,3.192917164454687e-22,2.0679515313825692e-25,4.259848888193464e-29,1.6543612251060553e-24,1.2999256752636087e-29,3.308722450212111e-24,9.926167350636332e-24,9.926167350636332e-24,0.0,0.0,1.406207041340147e-23,1.3234889800848443e-23,3.308722450212111e-24,0.0,0.0,0.0,3.308722450212111e-24,1.3234889800848443e-23,5.293955920339377e-23,9.926167350636332e-24,1.6543612251060553e-23,6.617444900424222e-24,0.0,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,6.617444900424222e-24,5.293955920339377e-23,9.926167350636332e-24,1.3234889800848443e-23,0.0,6.310887241768095e-30,0.0,9.926167350636332e-24,9.926167350636332e-24,3.83583615163717e-29,1.3234889800848443e-23,1.4313511346685937e-29,1.406207041340147e-23,1.3234889800848443e-23,0.0,0.0,1.262177448353619e-29,8.271806125530277e-25
8,2.7493145959209375e-08,7.073773255483978e-08,9.263596150407217e-08,5.4099770318961905e-09,1.7151591313712777e-07,5.409823165436045e-09,7.073777642208197e-08,5.409937942474654e-09,1.715159209635367e-07,9.263593697972533e-08,1.7151582842616898e-07,7.073770037947116e-08,1.9041736101872978e-08,5.41003704215221e-09,2.7493214321447556e-08,5.40995061317356e-09,1.90417311294438e-08,9.263591235185974e-08,2.7493211431886633e-08,9.263588797910603e-08,1.90414181132031e-08,2.74931848591748e-08,2.7493134829974653e-08,1.7151581741907605e-07,9.263589959476188e-08,7.073777309731905e-08,1.9041446912058096e-08,1.7151582130014461e-07,1.9627626367210207e-07,1.9041427290421563e-08,7.073773280005175e-08,1.0755387903476793e-12,2.897603972754982e-13,3.631038891774945e-14,2.961058645699107e-13,1.1384166906759059e-12,4.178402799701937e-13,9.737647962223242e-08,6.848306577965871e-10,4.440499221329118e-08,5.018515473873739e-13,1.17168358915278e-09,9.737644564238311e-08,1.140016005172504e-07,6.84826073547409e-10,3.6732147293217826e-13,4.0809170580944e-13,3.747664221534097e-14,6.79652802936061e-08,4.774357279707379e-10,4.4404969226014e-08,4.774023350792544e-10,5.786994405964355e-13,2.6590468484510488e-08,6.796529991499475e-08,4.633113603118631e-13,1.1498995352150277e-07,6.131132416485347e-08,7.340210687575672e-08,1.6449937193673486e-09,1.5558860953045555e-08,1.1716784831929458e-09,2.6590458257270752e-08,1.7200302157525245e-07,1.555886987254643e-08,1.1498994576965528e-07,7.599258199013019e-08,3.221868485894043e-22,0.0,3.308722450212111e-24,0.0,0.0,0.0,3.7865323450608567e-29,1.3234889800848443e-23,3.7865323450608567e-29,0.0,1.3234889800848443e-23,0.0,1.3234889800848443e-23,1.262177448353619e-29,0.0,6.310887241768095e-30,9.926167350636332e-24,8.271806125530277e-25,1.6543612251060553e-24,3.192917164454687e-22,2.0679515313825692e-25,3.155443620884047e-29,1.6543612251060553e-24,5.41413574106251e-29,1.3234889800848443e-23,0.0,0.0,1.9852334701272664e-23,1.9852334701272664e-23,1.3234889800848443e-23,1.9852334701272664e-23,5.169878828456423e-25,1.9852334701272664e-23,6.617444900424222e-24,6.617444900424222e-24,0.0,1.3234889800848443e-23,1.9852334701272664e-23,3.3087224502121107e-23,1.3234889800848443e-23,0.0,1.3234889800848443e-23,6.617444900424222e-24,1.3234889800848443e-23,4.1359030627651384e-25,5.169878828456423e-25,6.203854594147708e-25,4.1359030627651384e-25,4.1359030627651384e-25,0.0,0.0,1.3234889800848443e-23,1.3234889800848443e-23,3.1554436208840472e-30,0.0,6.617444900424222e-24,1.3234889800848443e-23,2.6469779601696886e-23,9.466330862652142e-30,6.617444900424222e-24,5.423399464095012e-29,1.9852334701272664e-23,1.9852334701272664e-23,5.293955920339377e-23,0.0,1.262177448353619e-29,8.271806125530277e-25
