,Y0Z3,Y3Z0,Y2Z0,Y0Z2,Y5Z0,Y0Z5,Y1Z5,Y5Z1,Y4Z2,Y2Z4,Y4Z3,Y3Z4,Y5Z3,Y3Z5,Y1Z2,Y2Z1,Y1Z3,Y3Z1,Y5Z2,Y2Z5,Y2Z3,Y3Z2,Y4Z5,Y5Z4,Y1Z0,Y0Z1,standard_x,X2X3,Y2Y3,X2X5,X0X1,Y0Y1,X3X5,X0X4,Y2Y5,Y3Y5,Y0Y4,X4X5,X0X5,X1X3,X0X3,X0X2,X1X2,X1X4,X3X4,Y0Y5,Y1Y4,X1X5,X3,X0,X2X4,X2,X5,Y0Y3,Y4Z0,Y0Z4,Y1Y3,Y1Y5,Y4Y5,Y0Y2,Y1Y2,X1,X4,Y3Y4,Y4Z1,Y1Z4,Y2Y4,X4Y2,standard_y,Y5,X3Y5,X2Y3,X1Y2,X0Y3,Y0,X2Y0,X1Y3,Y3,Y2,X3Y2,X2Y5,X0Y5,X0Y2,X4Y1,X5Y4,Y1,X5Y1,X5Y0,X0Y1,X3Y4,X2Y4,X4Y0,X3Y1,X3Y0,X1Y4,X0Y4,Y4,X2Y1,X2Z1,X1Y0,X3Z4,X5Z3,X5Z1,X5Z0,X3Z5,X2Z3,X2Z0,X0Z1,X5Z2,X4Z0,X3Z0,X2Z4,X1Z5,X0Z3,X1Z4,X1Z3,X0Z5,X0Z2,X4Z5,X4Z2,X4Z3,X5Z4,X5Y3,X5Y2,X4Z1,X4Y5,X4Y3,X3Z2,X3Z1,X2Z5,X1Z2,X1Z0,X1Y5,X0Z4
0,0.9454689809102264,0.9454579287128206,0.9323771361032425,0.9323671782726434,0.8466808880687225,0.8466560129609635,0.828156363398341,0.8280784179914042,0.8064476232865432,0.8063126764329541,0.761181115199147,0.7610367179395896,0.7284066106146729,0.7283766954725777,0.7142265132992223,0.7141459357103859,0.6797532137918253,0.6796613208933624,0.5358802960152971,0.5358702750570548,0.37812784994360127,0.37811939110928705,0.33884507132682795,0.33879470486911123,0.22412913269664783,0.22410145285805214,0.1299356452105751,0.047833238468629406,0.04742830979801477,0.04221564769128335,0.041395396824125394,0.0402073010472532,0.03883790841258765,0.0387580317390742,0.03859790725292033,0.036486948811281526,0.03522186325409481,0.03451709585797231,0.034334909191010496,0.03394122446972403,0.03353014075902738,0.032531925963222755,0.03148980866561504,0.030537702186868916,0.027963197395158602,0.027641645649960994,0.027585621009283454,0.026728753209433596,0.026099415816362187,0.025320427933893434,0.0250534332551511,0.02460866033274266,0.02336245484452954,0.022786268979935916,0.02275398211930634,0.022749931491068187,0.021870459503555192,0.02143113023310085,0.020296086827739247,0.01979958093776555,0.018371483519923903,0.017089447668089622,0.013455238614957666,0.011612138586086581,0.010572414744394638,0.010571838279439146,0.009966317614796022,2.220446049250313e-16,1.734723475976807e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.42861286636753e-17,2.0816681711721685e-17,1.734723475976807e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,7.806255641895632e-18,7.806255641895632e-18,6.938893903907228e-18,6.938893903907228e-18,3.469446951953614e-18,3.469446951953614e-18,2.6020852139652106e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.2526065174565133e-19,1.6263032587282567e-19,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0027253522191983594,0.0027234109528216383,0.5542486847023576,0.0026876933713116903,0.11827866164783729,0.0024412233252226346,0.8281882593113397,0.8282283283321991,0.8064467177956242,0.8063924164779919,0.7384221794714296,0.002190800171974286,0.11827207549521276,0.0020998106149614088,0.714253428280001,0.7142160962298383,0.4556201589395829,0.0019573691286397417,0.5359763311120704,0.5359223875932592,0.5542432100042118,0.0010936066558171454,0.3388438303579029,0.33885511852502415,0.455616304615757,0.00064686860752631,0.057836785854958564,0.00045805141030727184,0.0004230241774974162,0.02321785361656723,0.0004970992853780646,0.0004038324543694492,0.00038686269203910335,0.0004849787945104676,0.01890933832515964,0.00043150947783301226,0.0003153041807723221,0.022325126274673444,0.00047012637985987616,0.00035351763087236934,0.010877908141868585,0.00037769660423009403,0.021793110671255132,0.027808162988249282,0.00039114695516074367,0.00043119726131793336,0.024464688431105906,0.011608614989888747,0.0004005952579482153,0.0005207616762560277,0.017949134085585582,0.017843968961736234,0.011257088667288615,0.010879543821455662,0.7384188444635658,6.567295997693364e-05,0.00035583165767122946,0.0068919478785836865,0.007385738155682062,0.0003811193953516868,0.004161742587362141,0.014394431704367203,0.013419939587362272,0.00022002323564491424,0.010572370503464407,0.010572211194793103,0.004348255914267952,0.0,1.1085967213664283e-16,1.1102230246251565e-16,2.168404344971009e-19,2.168404344971009e-19,2.7755575615628914e-17,2.7755575615628914e-17,5.421010862427522e-20,5.421010862427522e-20,2.168404344971009e-19,2.168404344971009e-19,5.551115123125783e-17,2.168404344971009e-19,5.551115123125783e-17,2.168404344971009e-19,0.0,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,1.6263032587282567e-19,3.3881317890172014e-21,2.0328790734103208e-20,2.7755575615628914e-17,1.0842021724855044e-19,8.131516293641283e-20,2.7755575615628914e-17,0.0,1.1180834903756764e-19,8.326672684688674e-17,1.3877787807814457e-17,0.0,3.3881317890172014e-21,1.0164395367051604e-20,0.0,2.6020852139652106e-18,4.336808689942018e-19,2.710505431213761e-20,0.0,1.734723475976807e-18,0.0,8.673617379884035e-19,8.673617379884035e-19,2.710505431213761e-20,8.673617379884035e-19,1.734723475976807e-18,0.0,2.0328790734103208e-20,1.3010426069826053e-18,0.0,6.776263578034403e-21,2.168404344971009e-19,1.3010426069826053e-18,8.673617379884035e-19,4.336808689942018e-19,2.168404344971009e-19,1.1102230246251565e-16,8.673617379884035e-19,0.0,2.168404344971009e-19,0.0,2.710505431213761e-20,0.0,1.3010426069826053e-18,4.336808689942018e-19,1.734723475976807e-17,3.3881317890172014e-21
2,0.00028451090789930085,0.0002858361065593495,0.5542820828448427,0.0002804000237372474,0.0004719174921381979,0.00018822779986276436,0.0032948700666221645,0.003288463025140719,0.8064105525613414,0.8064577860659996,0.7383852552201264,0.0002298263378368936,0.000471925319289214,1.5471499461147518e-05,0.0028455169501679202,0.17827500309419164,0.0018113021062029814,1.530388277122263e-05,0.0021367020915951515,0.178262832178067,0.5542820172407616,0.00011275612096314539,0.32825938618823153,0.0013532227031095153,0.0018113059032436206,0.0001880954946394532,0.031960321315356616,0.0001826966362074397,0.0001876166270182094,0.0023016633152727717,0.0001259984484547146,0.00014668423095388764,0.0001262337992030381,0.000171419299447671,0.002642670632158354,0.00014662211295782734,0.00014963294471902606,0.0018913007695083028,7.863249245777218e-05,7.882501497326199e-05,0.014030902619928525,0.00011477046982778811,0.0018040377517699845,0.0021909985825897616,0.00012634534246793203,0.00014651401387867868,0.001777366774944044,0.005476805138965553,0.0001273943904554266,0.0001650582945475304,0.011839250841783402,0.012030583360351187,0.0021679250770072662,0.014030869387976805,0.7383852033373945,6.796029743156721e-06,0.00014687243234000146,0.0054826843845489324,0.0013080722416827658,0.00012770215952144834,0.002414281597218436,0.0020289717760927856,0.015440388416902418,7.231113445690501e-05,0.3282547676949589,5.264826166180346e-05,0.01141473037210691,4.163336342344337e-17,9.723938234479368e-17,0.0,8.470329472543003e-22,1.3552527156068805e-20,0.0,0.0,0.0,2.710505431213761e-20,4.235164736271502e-22,1.3552527156068805e-20,4.163336342344337e-17,6.776263578034403e-21,2.168404344971009e-19,4.235164736271502e-22,1.6940658945086007e-20,5.421010862427522e-20,0.0,1.0842021724855044e-19,0.0,0.0,2.117582368135751e-22,0.0,0.0,1.3552527156068805e-20,0.0,0.0,2.168404344971009e-19,1.3552527156068805e-20,5.551115123125783e-17,1.0842021724855044e-19,0.0,2.117582368135751e-22,0.0,0.0,2.168404344971009e-19,1.6263032587282567e-19,0.0,8.673617379884035e-19,1.3010426069826053e-18,0.0,1.0842021724855044e-19,4.336808689942018e-19,0.0,4.336808689942018e-19,5.421010862427522e-20,3.3881317890172014e-21,5.421010862427522e-20,1.0842021724855044e-19,0.0,3.3881317890172014e-21,1.734723475976807e-18,1.3010426069826053e-18,1.3010426069826053e-18,2.168404344971009e-19,4.235164736271502e-22,0.0,0.0,0.0,2.710505431213761e-20,6.776263578034403e-21,0.0,8.673617379884035e-19,2.710505431213761e-20,1.0842021724855044e-19,0.0,1.376428539288238e-21
3,9.486994751089281e-05,8.883697632890776e-05,0.001596956242398582,8.566516690691936e-05,3.972745168347825e-05,6.03677428266185e-05,0.00017924876062052768,0.00019013833264490675,0.0023193550716646572,0.0023142341328927507,0.002122795963772434,4.0048484623287504e-05,3.881268450678493e-05,5.033231268232227e-06,0.00014907398444722572,0.0005087051006619099,8.838795851447688e-05,2.740171889329685e-06,3.8813181010110407e-05,0.0005103859787906721,0.0015976566240814552,4.231209615646491e-05,0.0009492115038628654,4.000432869685342e-05,8.792029893921901e-05,6.0171096709381704e-05,0.0032570863225700394,0.0015337867104476925,0.001586659547421702,0.0009525580639209532,0.0012575005438522973,0.001461297011230166,0.0012581397502701005,0.0015337381493087047,0.0014802170040486293,0.0014619873580393955,0.0015869851706857372,0.0004929792192206685,0.0007851502981914305,0.0007853649137637595,0.02345935728261466,0.0003616341453358938,0.0004945474648385621,0.0009542342374851184,0.000361171103935054,0.0014620966475671223,0.0014852114958498184,0.007622201975774085,0.0008664979429789355,0.0007101385716433061,0.022378978348880932,0.0017578139743903165,0.0011691312153209912,0.023459391643581448,0.0021234527970602065,8.7043966247104e-05,0.0014623032980056712,0.007622064905605572,0.0014870420644859622,0.0015888991323306906,0.0014815122198999654,0.00028720411411718586,0.0013789711629956583,0.0015902024277381077,0.0009500648073587938,0.00015093811487716717,0.02237896418083967,1.1102230246251565e-16,3.1848438816761693e-19,0.0,0.0,1.0164395367051604e-20,1.2705494208814505e-21,1.1102230246251565e-16,3.3881317890172014e-21,3.705769144237564e-22,8.470329472543003e-22,6.776263578034403e-21,2.710505431213761e-19,3.3881317890172014e-21,1.0164395367051604e-20,6.776263578034403e-21,1.6940658945086007e-21,1.6940658945086007e-21,0.0,3.3881317890172014e-21,2.7755575615628914e-17,0.0,1.806795102363093e-21,1.6940658945086007e-21,5.551115123125783e-17,0.0,0.0,0.0,1.6940658945086007e-21,3.3881317890172014e-21,5.421010862427522e-20,8.470329472543003e-22,2.168404344971009e-19,1.1265165967206546e-22,0.0,1.0842021724855044e-19,2.168404344971009e-19,0.0,1.0842021724855044e-19,5.421010862427522e-20,0.0,1.0842021724855044e-19,1.3552527156068805e-20,1.6263032587282567e-19,5.421010862427522e-20,5.421010862427522e-20,6.776263578034403e-21,2.710505431213761e-20,0.0,1.3552527156068805e-20,0.0,1.3552527156068805e-20,2.168404344971009e-19,2.168404344971009e-19,5.421010862427522e-20,0.0,3.3881317890172014e-21,3.3881317890172014e-21,1.0842021724855044e-19,0.0,0.0,2.710505431213761e-20,0.0,0.0,5.421010862427522e-20,1.3552527156068805e-20,0.0,0.0
4,0.02245235886784565,0.009504341240810425,0.062409098764447744,0.020572851831094523,0.007764003421409687,0.0083226598856468,0.014743067001700192,0.01637908378163987,0.03717615288249458,0.06283379722970042,0.042253243883940333,0.006858017601428665,0.0074612742696536435,0.0020206202151316294,0.019773687527581102,0.015612765890900594,0.014305813661564172,0.0021615108940180386,0.00106889719798091,0.016120691693986923,0.06254710038386807,0.007165245860645772,0.0508494348815179,0.0007161498068092346,0.014088107016256318,0.008287715640325002,0.02946902267385925,0.002098988687865828,0.0021512274803501675,0.029048542436083673,0.014511638392164293,0.018640629213139005,0.003215992685279274,0.00594002294965158,0.016209456174392747,0.00018586273279598857,0.006987705635863093,0.015109857451550697,0.0032812596409075127,0.009088986928787703,2.489673200312195e-05,0.0029729651170784695,0.015230510217869593,0.018178745147249722,0.002136578612028799,0.007726056550195014,0.003862734072487541,0.4318671964343637,0.00756174245342287,0.02436677140468027,0.3604827309678569,0.027685605994412246,0.020670855697140472,9.880204360690528e-05,0.042347315144235106,0.02082380452653817,0.011080033123237402,0.43172539863715376,0.0062667077913800134,0.0044217889123669965,0.0030031208252019417,0.00523802932621247,0.05962081556090309,0.0020099115357608663,0.050216164055685686,0.019144323030217764,0.36107267387559094,1.1102230246251565e-16,1.1058862159352145e-17,0.0,8.673617379884035e-19,0.0,6.505213034913027e-19,0.0,8.673617379884035e-19,0.0,0.0,2.168404344971009e-19,6.938893903907228e-18,0.0,0.0,3.469446951953614e-18,8.673617379884035e-19,8.673617379884035e-19,3.469446951953614e-18,0.0,2.7755575615628914e-17,4.336808689942018e-19,1.7406527066075872e-19,1.734723475976807e-18,0.0,1.734723475976807e-18,0.0,0.0,0.0,1.734723475976807e-18,3.469446951953614e-18,2.6020852139652106e-18,0.0,1.0037340424963459e-19,0.0,1.3010426069826053e-18,1.734723475976807e-18,1.734723475976807e-18,1.3010426069826053e-18,3.469446951953614e-18,3.469446951953614e-18,1.734723475976807e-18,2.6020852139652106e-18,8.673617379884035e-18,4.336808689942018e-19,0.0,8.673617379884035e-19,0.0,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0,3.469446951953614e-18,1.734723475976807e-18,3.469446951953614e-18,8.673617379884035e-19,4.336808689942018e-19,1.734723475976807e-18,6.938893903907228e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,3.469446951953614e-18,6.505213034913027e-19,2.168404344971009e-19,2.7755575615628914e-17,8.673617379884035e-19
5,0.04514313106002146,0.00570866993060819,0.051747061114761045,0.0437286301014822,0.029097054272855916,0.04613170041130532,0.031080982614254956,0.02808821589351064,0.0893920401358793,0.06045770624392041,0.08854861240591626,0.006721495815407125,0.029831199029116184,0.0017919918207018487,0.030392543820759663,0.06156419731254143,0.023176209979387845,0.0026223272919367593,0.035499412965457486,0.06212526534038583,0.05207823171335457,0.007182088965913599,0.0913460268785348,0.03087052937874444,0.022101544974133008,0.04565613430018968,0.25804766862581763,0.0023456222017575364,0.005510885534138385,0.03901275884676439,0.023915463180062546,0.023780069537848468,0.024571172798214087,0.034545963616787065,0.043824932260472196,0.02475178306713042,0.030283445812546227,0.012134421967196257,0.009903866375601502,0.0002465497766330695,0.19825053151230096,0.03367671655894949,0.0025220040590457644,0.011805686810185657,0.03229513047354529,0.006429489942863423,0.012662833800384559,0.0005616846575934011,0.01299694000293583,0.016280050877771075,0.43525367015379923,0.1244721039276415,0.008670761672144452,0.19819442294952833,0.08841461797353753,0.04534169526268718,0.011493257292833455,0.002131830154220016,0.029886900169268073,0.028388550814728807,0.007445749337489858,0.022679635936097536,0.07294817620922718,0.0348507281568525,0.09064606902522857,0.02853536966013525,0.4360358971967866,0.0,1.1275702593849246e-17,1.734723475976807e-18,0.0,5.204170427930421e-18,0.0,0.0,0.0,0.0,1.3010426069826053e-18,8.673617379884035e-19,6.938893903907228e-18,1.734723475976807e-18,3.469446951953614e-18,7.453889935837843e-20,4.336808689942018e-19,5.204170427930421e-18,0.0,1.734723475976807e-18,2.168404344971009e-19,8.673617379884035e-19,6.152635570618424e-19,0.0,5.551115123125783e-17,0.0,8.673617379884035e-19,0.0,3.469446951953614e-18,1.3010426069826053e-18,0.0,3.469446951953614e-18,0.0,5.765117997249582e-19,1.734723475976807e-18,0.0,0.0,0.0,8.673617379884035e-19,0.0,0.0,0.0,1.734723475976807e-18,0.0,1.734723475976807e-18,0.0,1.3010426069826053e-18,1.734723475976807e-18,2.6020852139652106e-18,2.6020852139652106e-18,8.673617379884035e-19,0.0,1.3877787807814457e-17,3.469446951953614e-18,1.3877787807814457e-17,1.734723475976807e-18,8.673617379884035e-19,0.0,0.0,3.469446951953614e-18,0.0,8.673617379884035e-19,0.0,2.7755575615628914e-17,1.734723475976807e-18,8.673617379884035e-19,1.0842021724855044e-19,1.734723475976807e-18
6,0.0024229396299938195,0.0006943429768115463,0.0033472302263759138,0.002424642165188432,0.0007734734610928529,0.0024271700311650933,0.0009050148317700866,0.0007749222672881223,0.0025115564708783024,0.0033467630416189774,0.0025120384821545414,0.0006905844104006921,0.0007730976922753698,0.0006918370544730789,0.0009073348989397782,0.0033477440589330903,0.0009021061126707899,0.0006911192927890628,0.0007741762770710544,0.0033468979494783472,0.0033471735877163636,0.0006906003355087217,0.0025151405918900803,0.0007758947864531363,0.0009030199292213228,0.0024277014998904936,0.0013303600654451637,0.001011729278999355,0.0010114947235260827,0.0008597461370281865,0.00015746110027446746,0.0001573302359805809,0.0004205047267816321,0.0009609003390833456,0.0008603663817447851,0.000421227095550157,0.0009607665105719945,0.00021147124823153745,0.00027268405469770105,0.00025193150713929036,0.0015074728319270105,0.00025661470284964074,0.0004461919482360684,0.0006311894073402916,0.0003917598161638173,0.00027129651722782326,0.0006295630588683051,0.0016920568947011668,0.00039286748271344157,0.00011127238431211074,0.00403807003715496,0.0010103636246499214,0.0006799513416114149,0.0015067416964010493,0.0025122661274388143,0.002425974466576935,0.00025270169652062767,0.001692479878055622,0.00021250817347968508,0.0002504489001005641,0.0004436257341864624,3.309369430138032e-05,0.0007514463783067067,0.00038708996913110297,0.0025159486049044625,0.0009073401654138901,0.004038248057415622,4.336808689942018e-19,3.7947076036992655e-19,0.0,0.0,0.0,2.710505431213761e-20,8.673617379884035e-19,0.0,2.710505431213761e-20,2.710505431213761e-20,5.421010862427522e-20,4.336808689942018e-19,5.421010862427522e-20,0.0,0.0,0.0,2.710505431213761e-20,1.0842021724855044e-19,1.0842021724855044e-19,2.168404344971009e-19,3.3881317890172014e-21,2.7354539739701847e-21,2.710505431213761e-20,4.336808689942018e-19,0.0,0.0,8.673617379884035e-19,1.3552527156068805e-20,5.421010862427522e-20,0.0,5.421010862427522e-20,3.2526065174565133e-19,2.7892215215796984e-21,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,5.421010862427522e-20,2.168404344971009e-19,3.2526065174565133e-19,0.0,5.421010862427522e-20,5.421010862427522e-20,2.710505431213761e-20,1.0842021724855044e-19,5.082197683525802e-21,2.0328790734103208e-20,1.6940658945086007e-21,1.6940658945086007e-21,0.0,6.776263578034403e-21,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,5.421010862427522e-20,2.710505431213761e-20,0.0,1.6940658945086007e-21,0.0,5.421010862427522e-20,1.3552527156068805e-20
7,1.0811916735378461e-05,3.4666451772442786e-06,1.6986077048014876e-05,1.0811910992363987e-05,1.2727296889799537e-05,1.081202421493545e-05,1.4597747916224585e-05,1.2727456577778523e-05,1.5677384978192485e-05,1.698607897221129e-05,1.5677410002212397e-05,3.4665850371297017e-06,1.272730691052006e-05,3.466583959118648e-06,1.4597918902657937e-05,1.698637841371197e-05,1.4597888399873374e-05,3.46663748177502e-06,1.272748483343616e-05,1.6986591501414658e-05,1.6986080619616617e-05,3.4666006051787383e-06,1.5677690358086787e-05,1.272735876517693e-05,1.4597863511741647e-05,1.0811973590368199e-05,1.3624017337849188e-05,6.178497051537883e-06,6.178501276330299e-06,1.2740225031265896e-05,1.5912561847738838e-06,1.5912377440217944e-06,2.695950501051884e-06,5.543179106639595e-06,1.2740181939262386e-05,2.6959846248275125e-06,5.543188106282803e-06,3.675192261572479e-06,1.6422522259844697e-06,1.5236494669716582e-06,6.202437675654092e-06,1.5519729155622222e-06,6.6788396716257235e-06,9.537259747177472e-06,2.3442115083282813e-06,1.6419897318605828e-06,9.537106863948246e-06,1.0392602134912438e-05,1.3458717652492562e-06,2.3295163024441285e-06,4.023986664850044e-06,1.6968968114471692e-07,7.768834965126253e-06,6.202457748692769e-06,1.567740600167275e-05,1.08118828978752e-05,1.5237598230597042e-06,1.0392732805828471e-05,3.675274821185182e-06,1.5519351689108323e-06,6.678980779397489e-06,3.2503895432706496e-07,4.716188562345716e-06,2.344158774306481e-06,1.5677488766673875e-05,1.4597928654579599e-05,4.0240513987123575e-06,1.6940658945086007e-21,2.541098841762901e-21,8.470329472543003e-22,2.117582368135751e-22,0.0,0.0,8.470329472543003e-22,8.470329472543003e-22,0.0,1.0587911840678754e-22,4.235164736271502e-22,1.6940658945086007e-21,4.235164736271502e-22,0.0,0.0,1.0587911840678754e-22,0.0,1.6940658945086007e-21,1.2705494208814505e-21,1.6940658945086007e-21,2.6469779601696886e-23,7.760421546346323e-23,2.117582368135751e-22,1.6940658945086007e-21,2.117582368135751e-22,1.0587911840678754e-22,8.470329472543003e-22,2.117582368135751e-22,0.0,0.0,0.0,2.6469779601696886e-23,7.760780012137226e-23,0.0,8.470329472543003e-22,8.470329472543003e-22,8.470329472543003e-22,1.0587911840678754e-22,0.0,2.6469779601696886e-23,2.117582368135751e-22,0.0,0.0,0.0,0.0,2.6469779601696886e-23,0.0,3.970466940254533e-23,2.6469779601696886e-23,0.0,2.117582368135751e-22,0.0,4.235164736271502e-22,8.470329472543003e-22,8.470329472543003e-22,2.117582368135751e-22,8.470329472543003e-22,0.0,3.3881317890172014e-21,0.0,1.0587911840678754e-22,0.0,0.0,0.0,3.970466940254533e-23,1.6940658945086007e-21,2.117582368135751e-22
8,2.6408210674632568e-08,1.3784763326385463e-08,2.8991538755385e-08,2.6408212357470107e-08,4.379970804475249e-08,2.6408211237907542e-08,4.733680587326532e-08,4.379970808667694e-08,1.1572536120741069e-08,2.899153633642541e-08,1.1572537325639307e-08,1.378476335476919e-08,4.379970779495807e-08,1.3784762155269902e-08,4.733681051840093e-08,2.8991526442133232e-08,4.7336803597096986e-08,1.3784761275279607e-08,4.3799705191497305e-08,2.899152234661928e-08,2.8991538515160714e-08,1.3784763233671685e-08,1.1572521920730741e-08,4.379970559244568e-08,4.733680399905019e-08,2.6408212375544705e-08,1.5811313816966605e-08,3.725665195570809e-08,3.725665186796053e-08,5.02926041260425e-08,1.2484280093377509e-08,1.2484280045758302e-08,1.6733555636033867e-08,3.206943837663019e-08,5.029260032684385e-08,1.6733557177157454e-08,3.206943843492341e-08,1.651628939287702e-08,9.784943145525812e-09,9.28705560152332e-09,3.534317151076289e-08,9.433814573942025e-09,2.6300442394439724e-08,3.8049950299284405e-08,1.4166523062825625e-08,9.78493961893326e-09,3.804994807740063e-08,1.1121330121419896e-07,1.969788962519362e-09,2.795869790043507e-08,5.579300211447081e-09,9.504232679062016e-08,5.664729472507668e-08,3.534317205934799e-08,1.1572537189690211e-08,2.6408211273167237e-08,9.28705961291833e-09,1.1121330368862822e-07,1.6516289532806372e-08,9.433810632990381e-09,2.6300441136908492e-08,1.432237440733006e-09,5.912531173644549e-09,1.4166521073065257e-08,1.1572524382633817e-08,4.733680816416536e-08,5.579301166256065e-09,0.0,2.481541837659083e-24,3.308722450212111e-24,0.0,0.0,1.6543612251060553e-24,0.0,1.6543612251060553e-24,0.0,4.1359030627651384e-25,8.271806125530277e-25,1.6543612251060553e-24,0.0,3.308722450212111e-24,0.0,8.271806125530277e-25,2.481541837659083e-24,6.617444900424222e-24,3.308722450212111e-24,0.0,0.0,1.6441071211034148e-24,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,1.2407709188295415e-24,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,6.617444900424222e-24,1.6441071580812697e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,4.1359030627651384e-25,6.617444900424222e-24,6.617444900424222e-24,1.6543612251060553e-24,3.308722450212111e-24,4.1359030627651384e-25,0.0,0.0,1.0339757656912846e-25,1.6543612251060553e-24,1.550963648536927e-25,0.0,0.0,1.6543612251060553e-24,0.0,4.1359030627651384e-25,0.0,0.0,1.6543612251060553e-24,0.0,4.1359030627651384e-25,6.617444900424222e-24,0.0,2.0679515313825692e-25,0.0,1.3234889800848443e-23,5.169878828456423e-26,1.0339757656912846e-25,0.0,0.0
9,1.179054610415902e-08,1.9433524106383144e-10,4.7422947682400533e-08,1.1790546182879244e-08,3.011992108209859e-08,1.1790546187033911e-08,3.507079146200985e-08,3.011992173299542e-08,3.6694695449179607e-09,4.742294656678793e-08,3.6694700350272043e-09,1.943351261333859e-10,3.011992108715937e-08,1.9433523991547932e-10,3.5070793553469486e-08,4.742294627942913e-08,3.5070792028640325e-08,1.9433540513544374e-10,3.0119919198972425e-08,4.742294542117318e-08,4.742294767528822e-08,1.9433515078359303e-10,3.6694737228271716e-09,3.0119919646930564e-08,3.507079199512609e-08,1.1790546030035888e-08,3.2304339483151016e-08,8.430029905492565e-09,8.430029855826465e-09,2.501958223290703e-08,3.456062409097137e-09,3.456062399483475e-09,3.891328327984358e-09,6.952953564185847e-09,2.5019582038751685e-08,3.8913285145260695e-09,6.95295363022553e-09,9.300990525264495e-09,2.1903345098298546e-09,2.125192583883248e-09,4.628642568448816e-08,2.152716355225034e-09,1.3059710003600306e-08,1.9135849299995262e-08,3.21537212532714e-09,2.1903346274096603e-09,1.913584952414278e-08,1.9328425318172547e-08,4.941491591562764e-09,1.1769591214431715e-08,4.921164000911942e-08,5.1960958675829024e-08,7.581153013010726e-09,4.6286425711009595e-08,3.669470067660034e-09,1.1790546314528179e-08,2.125193172637058e-09,1.9328424804575062e-08,9.300988485576048e-09,2.1527163308773876e-09,1.3059712649060056e-08,3.251565916746612e-09,7.887182543073807e-09,3.215372399712963e-09,3.669472645192447e-09,3.50707926671328e-08,4.921164036922341e-08,0.0,6.617444900424222e-24,0.0,4.1359030627651384e-25,4.1359030627651384e-25,8.271806125530277e-25,0.0,0.0,0.0,1.0339757656912846e-25,0.0,3.308722450212111e-24,2.0679515313825692e-25,0.0,0.0,2.0679515313825692e-25,8.271806125530277e-25,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,2.5849394142282115e-26,1.8484199962920175e-25,0.0,1.3234889800848443e-23,0.0,1.0339757656912846e-25,0.0,2.481541837659083e-24,0.0,0.0,0.0,0.0,1.8484200617736356e-25,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,3.308722450212111e-24,0.0,0.0,8.271806125530277e-25,0.0,0.0,3.308722450212111e-24,1.0339757656912846e-25,8.271806125530277e-25,2.0679515313825692e-25,4.1359030627651384e-25,8.271806125530277e-25,1.6543612251060553e-24,0.0,8.271806125530277e-25,0.0,1.6543612251060553e-24,4.1359030627651384e-25,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,1.0339757656912846e-25,1.0339757656912846e-25,3.308722450212111e-24,0.0
