,Y0Z2,Y2Z0,Y2Z4,Y4Z2,Y1Z4,Y4Z1,Y3Z0,Y0Z3,Y3Z4,Y4Z3,Y1Z3,Y3Z1,Y5Z0,Y0Z5,Y1Z2,Y2Z1,Y5Z4,Y4Z5,Y5Z2,Y2Z5,Y0Z4,Y4Z0,Y1Z0,Y0Z1,Y5Z1,Y1Z5,standard_x,X0X4,X2X3,Y0Y4,Y2Y3,X0X1,Y3Z2,Y2Z3,X1X2,X3X4,X2X4,X4X5,Y0Y1,X3X5,X1X4,X4,X2X5,X0X3,X1X3,X0X2,X1X5,Y1Y4,X2,X0X5,Y2Y5,Y1Y2,X0,X3,Y3Y5,Y2Y4,Y3Y4,Y1Y3,X1,Y1Y5,Y4Y5,Y0Y2,Y0Y5,X5,Y0Y3,Y5Z3,Y3Z5,X3Y2,X5Y4,X2Y4,X0Y4,X0Y1,X3Y5,Y5,X4Y3,X4Y2,X4Y0,X3Y4,X1Y3,X1Y2,X0Y2,Y1,Y2,X5Y0,X4Y5,X2Y1,Y0,X3Y1,X3Y0,X2Y5,X1Y5,X1Y4,X1Y0,X0Y5,X3Z0,X1Z0,X2Z5,X2Z0,X4Z3,X4Z2,X4Z0,X3Z4,X2Z4,X1Z5,X0Z4,X5Z4,X4Z5,X0Z5,X0Z2,X1Z2,X5Z0,X1Z3,X2Z3,X5Z2,X5Z3,X3Z2,X3Z5,standard_y,Y4,Y3,X5Z1,X5Y3,X5Y2,X5Y1,X4Z1,X4Y1,X3Z1,X2Z1,X2Y3,X2Y0,X1Z4,X0Z3,X0Z1,X0Y3
0,0.8472873944723904,0.8472649331087672,0.8355969830114816,0.8355520688462034,0.7886215092252478,0.7885162801517949,0.76363704126755,0.7636324289329803,0.7621426001106866,0.7620768278032852,0.65149596821024,0.651465256940034,0.4953996920314679,0.49532611396775905,0.44941414583369066,0.44937833256428095,0.4453532774267327,0.4452513930113535,0.4327336327134431,0.4326578915908592,0.2550083213802975,0.2549878540088132,0.13433877917130244,0.13433163499577827,0.09385066015058352,0.09384171158905813,0.09106632470785643,0.03664091652504444,0.03394149625079766,0.03233265798355314,0.03155438282386179,0.02868994182598632,0.028340719106297062,0.028339796600800247,0.026779057773007604,0.025924157089965642,0.025744950853165666,0.024079969514681228,0.022520158914357585,0.02229433967045978,0.021961765716154075,0.021648962154266628,0.020718803418930405,0.020529823638960262,0.02016026019402567,0.020003573487340803,0.01897673821925054,0.01896579223897151,0.01806653144468228,0.01778934223095336,0.016684263393440132,0.01663968839305066,0.016299633319420623,0.015897062449534153,0.015824013316465324,0.015697405148535043,0.014664538890446804,0.014333994110612296,0.01275502446696584,0.012273245091306194,0.011271756250312764,0.010190984140459184,0.00989004093117207,0.0063991108729869045,0.0061399988623743115,0.0021058511981698336,0.002105551145972606,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.500145032286355e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,8.673617379884035e-18,6.938893903907228e-18,1.734723475976807e-18,1.734723475976807e-18,1.3010426069826053e-18,1.3010426069826053e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,5.421010862427522e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.2526065174565133e-19,2.168404344971009e-19,2.168404344971009e-19,1.6263032587282567e-19,1.0842021724855044e-19,6.945670167485263e-20,2.710505431213761e-20,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0001816692251982805,0.00018544384689937634,0.0001841640953245749,0.580582529925479,0.788646610297048,0.7885866972956577,0.7353050164926895,0.00016246822265076027,0.7621582840857921,0.7621453077053363,0.6515182604889376,0.6514798567196098,0.0626658293685553,0.00010332839283923493,0.31508242698640776,9.828128199964571e-05,0.4453823918646122,0.4452934364898934,0.06266556422576414,9.148208434883452e-05,5.263143974594489e-05,0.5805819019933971,0.31508199757884237,2.7647292327583935e-05,0.09385702010804128,0.0938454036350306,0.04213811612065536,0.0010992784304755788,0.001105690822525554,0.0011321495502856905,0.0009750284746644763,0.0010328876038511185,0.7353048366714492,1.8829301241307493e-06,0.0007335334533385689,0.020180510608021812,0.0006683526811368718,0.014504887471049938,0.0007660635849408242,0.016859681427731144,0.015362476283317258,0.016227853841035318,0.0007773679519223445,0.0006604537135301027,0.017702334981849144,0.009457256940922901,0.012647381610449225,0.013445359790333365,0.0007577880341930238,0.0009856815635248771,0.0005976097433961774,0.0006008480513393821,0.0010044891370067249,0.014859627539467655,0.008638676570900877,0.0008266231638261224,0.0014910696753141228,0.006851907304573964,0.010812328574173337,0.006158341191875478,0.0005698614336242701,0.009457056613615686,0.0005634980327267596,0.002000583337178793,0.0005871418483420388,0.0021061145238802387,0.0021057297347835038,6.776263578034403e-21,0.0,1.3552527156068805e-20,1.3552527156068805e-20,2.964615315390051e-21,2.0816681711721685e-17,1.3877787807814457e-17,5.551115123125783e-17,1.3552527156068805e-20,1.6940658945086007e-21,0.0,0.0,6.776263578034403e-21,5.551115123125783e-17,1.3877787807814457e-17,1.3552527156068805e-20,1.6940658945086007e-21,6.938893903907228e-18,6.3527471044072525e-21,6.776263578034403e-21,1.3877787807814457e-17,1.6940658945086007e-21,0.0,1.0408340855860843e-17,0.0,1.4823076576950256e-21,5.082197683525802e-21,8.673617379884035e-19,0.0,4.0657581468206416e-20,8.131516293641283e-20,8.673617379884035e-19,0.0,0.0,0.0,6.776263578034403e-20,2.439454888092385e-19,1.3552527156068805e-20,1.0842021724855044e-19,2.168404344971009e-18,0.0,0.0,4.336808689942018e-19,1.0842021724855044e-19,3.2526065174565133e-19,5.421010862427522e-20,5.421010862427522e-20,7.411538288475128e-21,0.0,6.2511031507367365e-19,1.387846543417226e-16,5.551115123125783e-17,5.551115123125783e-17,2.168404344971009e-19,0.0,1.3552527156068805e-20,1.3877787807814457e-17,0.0,1.3877787807814457e-17,8.673617379884035e-19,0.0,0.0,0.0,2.168404344971009e-19,4.0657581468206416e-20,0.0,0.0
2,0.00021172996640046233,0.0001257237115994636,7.771360276964779e-05,0.0015017200476345307,0.002020268248001904,0.002046246991573908,0.7353614267110211,0.00020335735996751411,0.11065498012517186,0.001978534958379131,0.0016759527820517928,0.11064964978861544,0.06266703118727263,0.0001520779792428183,0.0008111198276917644,7.842722030475233e-05,0.35152327313549125,0.001154490443806482,0.06265877690839847,9.084007989461576e-05,5.75986326191427e-05,0.00150237976880674,0.0008125762941900285,5.8582657394483775e-05,0.3515195675457523,0.00024346659756515991,0.007437159149798478,0.0004621703786334432,0.005952679799550935,0.0007927222285140129,0.004880006634360681,0.0003326185872295134,0.735358590106207,5.084895072587147e-05,0.0004688163017474167,0.0030045414915059934,0.00033850833869218666,0.0031279473821089767,0.0007988609975198809,0.01106438417425486,0.002853805401390533,0.0032092798574861825,0.00399623813261104,0.0037475043884468784,0.003023603240284423,0.00993525939886213,0.00294411739241128,0.002860894859798578,0.0038826105188072644,0.005703535719208192,0.0034328743676001333,0.0008018445321428664,0.005818130678851539,0.009251672238212777,0.004300726308426208,0.0007983674384571301,0.0024704284006697346,0.00267836979558545,0.002863598363273045,0.0010878196677388836,0.00037447179071542486,0.009935708029920033,0.003236570070423064,0.0018133498884852764,0.0025836801480604993,0.002110673828543961,0.002110333782505136,0.0,2.168404344971009e-19,3.3881317890172014e-21,6.776263578034403e-21,1.9852334701272664e-21,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,1.0842021724855044e-19,0.0,0.0,5.421010862427522e-20,6.776263578034403e-21,0.0,1.3552527156068805e-20,3.3881317890172014e-21,6.776263578034403e-21,5.421010862427522e-20,3.3881317890172014e-21,6.776263578034403e-21,4.743384504624082e-20,2.7755575615628914e-17,3.3881317890172014e-21,6.776263578034403e-21,1.0842021724855044e-18,0.0,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0,1.0842021724855044e-19,0.0,4.336808689942018e-19,6.776263578034403e-21,4.336808689942018e-19,0.0,0.0,0.0,1.0842021724855044e-19,2.168404344971009e-19,0.0,5.421010862427522e-20,1.0842021724855044e-19,0.0,3.3881317890172014e-21,8.673617379884035e-19,3.3881317890172014e-20,2.790465341434567e-17,2.168404344971009e-19,2.7755575615628914e-17,0.0,0.0,1.3552527156068805e-20,8.131516293641283e-20,2.168404344971009e-19,1.3877787807814457e-17,0.0,2.168404344971009e-19,6.776263578034403e-21,5.551115123125783e-17,1.3552527156068805e-19,0.0,4.336808689942018e-19,0.0
3,2.172615722958474e-05,2.5082802685250883e-05,1.5203934207919897e-05,0.00012746301556210762,7.504164437205593e-05,7.979026292935848e-05,0.002218375221581586,2.2544054918975122e-05,0.0003291432038891046,0.00012677116823845645,9.046105099502243e-05,0.00032909666476927714,0.06056011104677658,1.3054847521320213e-05,9.12056084011269e-05,1.5183127483618185e-05,0.3515222352621,4.377767479784886e-05,0.060559804070937334,1.8311972164026216e-05,3.581305748199527e-06,0.00012742310755654718,9.11611782290386e-05,3.5903992520738573e-06,0.3515221909599047,9.691445241693899e-06,0.0056310358502383116,3.2992989875731484e-07,0.0008785080192644462,5.282059285302645e-07,0.0008777190111989219,2.56239439313979e-07,0.0022181033248651408,2.680458882369615e-05,3.052344875772924e-05,1.8071817537355884e-05,5.496742230921767e-06,0.00026802074616478415,5.131519180381848e-07,0.0026422790610262136,0.0038934304426886824,0.0002802262308741181,0.0007383362329622251,0.000670171354284687,0.00011056175981983453,0.002502983389387259,0.0002723474073909603,0.003893434213742053,0.0007171125699209132,0.0008783828882427077,0.0006503105063337244,0.00015383816382782354,0.0008784805420369567,0.0026357600975997608,0.000361600227141744,0.00015384701407917975,0.00037595208183587297,0.00037597786426869263,0.000260137831945805,0.00015864005070554402,5.454306526154474e-05,0.0025029859580139925,0.00023825555843259467,0.0019400467035006045,0.0006686843764342833,0.06055882106317233,6.240906537265802e-06,1.6940658945086007e-21,6.776263578034403e-21,2.117582368135751e-22,1.0587911840678754e-22,7.858215819253763e-24,0.0,0.0,0.0,0.0,2.6469779601696886e-23,8.470329472543003e-22,2.117582368135751e-22,2.117582368135751e-22,5.421010862427522e-20,0.0,3.3881317890172014e-21,8.470329472543003e-22,0.0,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,0.0,0.0,1.2176098616780567e-21,2.7755575615628914e-17,2.481541837659083e-24,1.6940658945086007e-21,0.0,2.710505431213761e-20,2.710505431213761e-20,1.0842021724855044e-19,5.421010862427522e-20,5.421010862427522e-20,0.0,2.168404344971009e-19,5.421010862427522e-20,6.776263578034403e-21,0.0,1.0842021724855044e-19,1.3552527156068805e-20,1.1064367873509298e-20,0.0,2.710505431213761e-20,5.421010862427522e-20,1.3552527156068805e-20,5.421010862427522e-20,5.421010862427522e-20,1.0842021724855044e-19,0.0,6.988021814847978e-20,3.8116482626443515e-21,6.776263578034403e-21,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,3.3881317890172014e-21,0.0,2.7755575615628914e-17,2.168404344971009e-19,0.0,8.470329472543003e-22,1.0842021724855044e-19,2.710505431213761e-20,1.3552527156068805e-20,0.0,0.0
4,3.0052425415379928e-05,2.0008382643036084e-05,3.1230082699508544e-06,9.047180998278228e-06,6.158383447965539e-05,1.0016635413208858e-05,0.0006633027830886843,2.9930961544913725e-05,0.00010136201703422746,9.06042074837494e-06,7.108516716671562e-05,0.00010114293690377188,0.00010441377435940462,9.167178264898298e-06,7.153072575407872e-05,3.073103973545491e-06,0.0006129134811557661,1.3067320588198788e-05,0.00010427657854663705,4.376577475921662e-06,9.157518485844618e-06,9.058386106994787e-06,7.149102518786305e-05,9.165252429182108e-06,0.0006128619214485088,6.191817810270188e-05,0.0025162703512185774,4.777799126391473e-08,0.0008843154594344934,4.8320725386443e-08,0.0008842929315272183,1.0620006580867316e-07,0.0006630269154061629,2.0516539500040336e-05,1.0998355733797539e-05,1.9400938962123766e-07,3.620152971015755e-08,0.0009990131410532442,2.334544634341137e-07,3.3543487606303006e-06,0.001284010930775448,0.0001344703113238844,0.0003137043606258471,0.0004102630012090703,0.0003331182159376718,0.000948145007566005,0.00013437584119722356,0.001284003394834772,0.0004903327096589807,1.6022094676898455e-06,0.0004169170414503581,0.00014614113976069056,0.0008842536279059161,0.0007246966119816756,5.441608189137592e-06,2.8400632099875476e-07,1.917116380223092e-06,0.0010697670857393667,0.0008843944723135594,0.00013321001134207458,0.0009988049733474743,0.0009481481208789075,5.6130273071414e-07,0.0014358521853094488,0.0004098156437481298,0.00010441218846646424,0.00010134641288678362,8.470329472543003e-22,6.776263578034403e-21,1.0587911840678754e-22,0.0,3.5370049122311396e-23,0.0,5.421010862427522e-20,4.235164736271502e-22,5.293955920339377e-23,0.0,2.117582368135751e-22,0.0,1.0587911840678754e-22,0.0,1.6940658945086007e-20,0.0,0.0,0.0,6.352747104407253e-22,0.0,3.3881317890172014e-21,0.0,1.6940658945086007e-21,8.470329472543003e-22,0.0,1.689096348484747e-23,4.235164736271502e-22,0.0,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,1.3552527156068805e-20,1.3552527156068805e-20,1.3552527156068805e-20,0.0,0.0,0.0,1.0842021724855044e-19,0.0,4.0657581468206416e-20,5.421010862427522e-20,1.3552527156068805e-20,2.710505431213761e-20,1.0842021724855044e-19,2.710505431213761e-20,1.3552527156068805e-20,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,1.2366681029912785e-19,1.6940658945086007e-21,5.421010862427522e-20,0.0,2.6469779601696886e-23,1.6940658945086007e-21,4.235164736271502e-22,1.3552527156068805e-20,2.710505431213761e-20,0.0,5.421010862427522e-20,3.3881317890172014e-21,5.421010862427522e-20,1.0842021724855044e-19,0.0,5.421010862427522e-20,8.470329472543003e-22
5,2.2913969619802826e-07,1.7679049812567504e-05,9.905824121982434e-07,4.6966642634086237e-07,1.5699312905523813e-06,4.712216634445407e-07,3.2274218504954463e-07,2.2925535440908818e-07,2.48214495656027e-07,4.69666823563036e-07,2.0043274969433764e-06,2.482731896416639e-07,3.06833687692607e-06,1.007967244926867e-07,2.004602741801552e-06,9.905876234511128e-07,1.77884635355505e-05,4.710373853026825e-07,3.068340354048681e-06,9.905979576872423e-07,1.0079693998507199e-07,4.6966659932218375e-07,2.0046053676895195e-06,1.0079672488234938e-07,1.7788327374125313e-05,1.569800706920956e-06,8.112718566019874e-06,6.953194529195848e-12,1.6896342666701453e-05,7.257461148173726e-12,1.6896445632429445e-05,8.642275602030945e-12,3.2282700312363014e-07,1.7678398933882743e-05,4.273767689732503e-08,1.1038722489855021e-11,3.561493651883581e-10,1.626681489815324e-05,1.3997475901426297e-10,4.538120568339663e-08,3.38357871774637e-06,1.6530450215798696e-05,1.2216310855167497e-06,9.133869346024698e-06,2.37215984324671e-06,4.991287928353737e-05,1.653434860266468e-05,3.383582814956368e-06,8.721832603065564e-06,8.582368183118829e-10,1.6264858173176002e-06,5.709839154283521e-07,1.689643176086001e-05,5.323860996606607e-05,2.6811616273728077e-07,2.902979371623061e-10,4.162905530503814e-10,7.62954609603555e-06,1.5344620496876957e-05,1.6533913505623785e-05,1.626622115758149e-05,4.99126987035895e-05,2.406751840594553e-10,3.857993455484717e-06,9.133864279520055e-06,3.0683305626019605e-06,2.482123085673083e-07,6.617444900424222e-24,2.117582368135751e-22,2.5849394142282115e-26,2.5849394142282115e-26,4.4174263192016897e-26,0.0,1.6940658945086007e-21,5.169878828456423e-26,3.2311742677852644e-26,2.5849394142282115e-26,2.0679515313825692e-25,6.617444900424222e-24,1.7577588016751838e-24,0.0,2.117582368135751e-22,3.3881317890172014e-21,0.0,4.235164736271502e-22,0.0,4.632211430296955e-23,1.3234889800848443e-23,2.541098841762901e-21,9.926167350636332e-24,1.3234889800848443e-23,0.0,3.6357995150005874e-26,2.5849394142282115e-26,3.3881317890172014e-21,2.541098841762901e-21,8.470329472543003e-22,2.117582368135751e-22,1.6940658945086007e-21,1.6940658945086007e-21,1.6940658945086007e-21,6.776263578034403e-21,8.470329472543003e-22,2.541098841762901e-21,3.3881317890172014e-21,4.235164736271502e-22,5.082197683525802e-21,1.6940658945086007e-21,3.3881317890172014e-21,8.470329472543003e-22,2.117582368135751e-22,2.541098841762901e-21,8.470329472543003e-22,0.0,1.0587911840678754e-22,6.776263578034403e-21,1.0164395367051604e-20,5.287338475438953e-21,1.0587911840678754e-22,5.293955920339377e-23,4.235164736271502e-22,4.1359030627651384e-25,0.0,5.293955920339377e-23,1.6940658945086007e-21,0.0,3.3881317890172014e-21,0.0,6.617444900424222e-24,0.0,1.6940658945086007e-21,2.541098841762901e-21,1.6940658945086007e-21,8.470329472543003e-22
6,1.8368025443714e-08,3.432935817842058e-07,1.0090017567616288e-08,8.369552227221538e-08,1.1342312176242723e-07,8.399824702705665e-08,3.975667719281661e-08,1.836721825217459e-08,2.6907143788032016e-07,8.36953309510935e-08,9.6817192294159e-08,2.690682326186145e-07,5.213373924495984e-08,8.13465118697611e-09,9.68228885504205e-08,1.0089979730719465e-08,2.8174183298987405e-07,8.399425342073367e-08,5.213410412324642e-08,1.0088774692651166e-08,8.134521555951772e-09,8.369544178919168e-08,9.6822937078996e-08,8.134596895528522e-09,2.817408080651957e-07,1.13423826034884e-07,3.456122166243542e-07,5.030188035877409e-13,6.339060039685825e-07,5.271016176419273e-13,6.339053590495006e-07,3.6023540591820475e-12,3.9756735134897066e-08,3.4329419245857915e-07,2.9352765665814893e-08,4.921376743074824e-13,5.320871773345879e-13,3.2585814214362007e-06,8.61024217374892e-13,3.8318544326641614e-08,1.9610531000422284e-07,1.800926798159052e-06,8.341431378966175e-07,4.378856989237815e-07,1.2239259179911435e-06,3.868257151809473e-06,1.8019692392673437e-06,1.9610502209548374e-07,2.2145546583889493e-07,3.639651538699562e-13,1.1107107548578494e-06,3.8981947652600633e-07,6.341541830340704e-07,4.453439889343194e-09,2.4050781662912286e-07,6.989547357918635e-13,6.710479485760694e-12,3.939936058959288e-06,2.5654803090345012e-06,1.8019675348109117e-06,3.2585804808478524e-06,3.86825728549364e-06,5.730137644040247e-13,2.5010263873749495e-07,4.3788576943964744e-07,5.2133765179510326e-08,2.690715549707625e-07,4.1359030627651384e-24,1.3234889800848443e-23,4.0389678347315804e-28,4.0389678347315804e-28,3.1792850928516057e-27,0.0,2.6469779601696886e-23,0.0,2.0194839173657902e-28,0.0,9.693522803355793e-27,9.926167350636332e-24,2.0679515313825692e-25,0.0,6.617444900424222e-24,1.3234889800848443e-23,4.8467614016778965e-27,0.0,0.0,4.1359030627651384e-24,1.3234889800848443e-23,3.970466940254533e-23,6.617444900424222e-24,3.308722450212111e-24,1.3234889800848443e-23,5.022193589940152e-27,1.6155871338926322e-27,1.2705494208814505e-21,2.117582368135751e-22,0.0,5.293955920339377e-23,0.0,0.0,0.0,1.6940658945086007e-21,0.0,4.235164736271502e-22,1.0587911840678754e-22,7.940933880509066e-23,0.0,5.293955920339377e-23,2.6469779601696886e-23,3.1763735522036263e-22,2.6469779601696886e-23,1.0587911840678754e-22,5.293955920339377e-23,7.940933880509066e-23,0.0,1.6940658945086007e-21,1.2705494208814505e-21,3.7223127564886245e-23,1.3234889800848443e-23,2.6469779601696886e-23,2.6469779601696886e-23,0.0,6.617444900424222e-24,1.6543612251060553e-24,1.0587911840678754e-22,3.970466940254533e-23,1.0587911840678754e-21,5.293955920339377e-23,4.1359030627651384e-24,5.293955920339377e-23,4.235164736271502e-22,5.293955920339377e-23,1.0587911840678754e-22,2.6469779601696886e-23
7,3.5427233537927035e-09,4.438039443116029e-08,1.9148749061521963e-09,1.0713601224910706e-08,6.674858528006992e-08,1.0751937632696512e-08,9.732979338264587e-08,3.542730117525639e-09,2.513092514885523e-08,1.0713601075717782e-08,9.118226298822734e-08,2.5130924077400515e-08,1.7247227920171778e-09,1.5634944305628964e-09,9.118226506352375e-08,1.9148743163986114e-09,7.611514627720652e-09,1.0751961108160952e-08,1.7247227127016638e-09,1.9148864030775266e-09,1.563494658408267e-09,1.0713601145517825e-08,9.11822655303633e-08,1.563494624626737e-09,7.611513939876774e-09,6.674861421054122e-08,1.809851782590991e-07,1.5786086977010298e-15,1.0323369434067943e-07,1.6644207165834056e-15,1.0323369286243349e-07,1.7751696405857694e-14,9.732979608811778e-08,4.4380393594668706e-08,1.2581609614227532e-09,1.8560062622825343e-14,6.1026245397038085e-15,7.09643008712682e-08,1.2914945236232244e-14,1.3186442065374433e-09,1.020396930720288e-07,1.3852360825656057e-07,3.578019722569523e-08,5.8972760540639065e-08,7.49768599938513e-09,7.928849389510918e-08,1.3872539436867995e-07,1.020396987099757e-07,4.9310208891132165e-08,4.001404383538142e-15,4.7663532082962886e-08,1.6736131445864876e-08,1.0323446486481418e-07,5.211111746959985e-08,8.283244423865167e-09,6.550441398514992e-16,6.173582418237174e-15,2.449979745784723e-08,4.875783951027388e-08,1.3872538704741333e-07,7.09643000624331e-08,7.928849674491687e-08,2.952601180740776e-15,1.1343638171273377e-07,5.89727677582091e-08,1.7247225417590252e-09,2.5130923248384263e-08,0.0,6.617444900424222e-24,4.733165431326071e-30,0.0,1.4922105209112303e-30,0.0,8.271806125530277e-25,6.310887241768095e-30,7.888609052210118e-31,2.3665827156630354e-30,3.470987982972452e-29,0.0,1.0339757656912846e-25,0.0,9.926167350636332e-24,8.271806125530277e-24,0.0,0.0,0.0,5.169878828456423e-25,2.0679515313825692e-25,0.0,2.0679515313825692e-25,8.271806125530277e-25,1.2407709188295415e-24,1.2772767391176148e-30,1.262177448353619e-29,0.0,1.3234889800848443e-23,9.926167350636332e-24,9.926167350636332e-24,1.3234889800848443e-23,2.6469779601696886e-23,0.0,5.293955920339377e-23,3.308722450212111e-24,1.6543612251060553e-23,0.0,6.617444900424222e-24,0.0,0.0,6.617444900424222e-24,1.4889251025954498e-23,1.3234889800848443e-23,1.6543612251060553e-23,6.617444900424222e-24,6.617444900424222e-24,1.3234889800848443e-23,5.293955920339377e-23,2.6469779601696886e-23,3.101927297073854e-25,0.0,3.308722450212111e-24,1.3234889800848443e-23,2.5849394142282115e-26,4.1359030627651384e-25,8.271806125530277e-25,0.0,4.1359030627651384e-25,3.3087224502121107e-23,0.0,3.101927297073854e-25,6.617444900424222e-24,1.6543612251060553e-23,6.617444900424222e-24,0.0,0.0
8,5.295296652784596e-09,4.3965688638704285e-08,1.727582280011124e-09,1.4430727346025523e-08,6.737951968623997e-08,1.4482404362467939e-08,9.795248762531482e-08,5.295303442000328e-09,2.6827508704802125e-08,1.4430727196887052e-08,9.186044451765073e-08,2.6827507681296524e-08,1.8929670169431597e-09,2.33649507945493e-09,9.186044660053652e-08,1.7275817048949005e-09,8.027376343074774e-09,1.4482427241971329e-08,1.8929669146246585e-09,1.727593772421691e-09,2.3364953071394415e-09,1.4430727266585266e-08,9.186044706421506e-08,2.3364952734040444e-09,8.027375685535667e-09,6.737954861855433e-08,1.8157784471786776e-07,2.0276333537687186e-15,1.0316474011965757e-07,2.1127544287890325e-15,1.0316473865000014e-07,1.9641328412947277e-14,9.795249030782173e-08,4.3965687740146536e-08,1.2542412900739662e-09,1.829010192260302e-14,5.595959455417343e-15,6.861381295500944e-08,1.4249164451097015e-14,1.3165172247786771e-09,1.0196970721986966e-07,1.3819903918248466e-07,3.570128587201749e-08,5.944125311221539e-08,7.405355899835382e-09,8.00207542152315e-08,1.3855111156515744e-07,1.0196971302795011e-07,4.9672873053501036e-08,3.826807743108861e-15,4.75841674771655e-08,1.671854154887503e-08,1.0315595586055138e-07,5.1364825673523586e-08,8.278499069553025e-09,9.698824106184883e-16,4.109811192093316e-15,2.43760982538708e-08,4.740705035638312e-08,1.3855110413726517e-07,6.861381121443027e-08,8.002075708391915e-08,1.9043402080465142e-15,1.1340779869580979e-07,5.944126022437677e-08,1.892966765454217e-09,2.6827506804197338e-08,0.0,0.0,1.5777218104420236e-30,7.888609052210118e-31,2.354256764018957e-30,5.169878828456423e-26,0.0,0.0,7.888609052210118e-31,1.5777218104420236e-30,4.417621069237666e-29,8.271806125530277e-25,4.52364397489937e-26,4.963083675318166e-24,9.926167350636332e-24,1.6543612251060553e-24,0.0,1.3234889800848443e-23,5.169878828456423e-26,4.1359030627651384e-25,4.1359030627651384e-25,3.308722450212111e-24,4.1359030627651384e-25,8.271806125530277e-25,1.2407709188295415e-24,1.9875597026076274e-31,1.8932661725304283e-29,6.617444900424221e-23,1.3234889800848443e-23,3.308722450212111e-24,6.617444900424222e-24,1.3234889800848443e-23,0.0,2.6469779601696886e-23,7.279189390466644e-23,3.308722450212111e-24,1.6543612251060553e-23,1.3234889800848443e-23,6.617444900424222e-24,1.3234889800848443e-23,0.0,9.926167350636332e-24,1.9852334701272664e-23,6.617444900424222e-24,1.3234889800848443e-23,9.926167350636332e-24,9.926167350636332e-24,1.3234889800848443e-23,1.3234889800848443e-23,1.9852334701272664e-23,2.0679515313825692e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,2.5849394142282115e-26,4.1359030627651384e-25,4.1359030627651384e-25,2.6469779601696886e-23,4.1359030627651384e-25,1.9852334701272664e-23,6.617444900424222e-24,4.1359030627651384e-25,3.308722450212111e-24,1.4889251025954498e-23,1.1580528575742387e-23,0.0,3.308722450212111e-24
