,Gate-Error Probability
Seed 31,0.0009190150206696047
Seed 21,0.0005153811569381713
Seed 8,0.0003135177034829254
Seed 68,0.0013226077375198405
Seed 56,0.00011137584146688025
Seed 10,5.001936837372828e-06
Seed 12,0.0001114014048117885
Seed 79,0.0
Seed 43,0.0003132557633039998
Seed 94,0.0003132408159331544
Seed 17,0.0011209156408331076
Seed 62,0.0005153229037047794
Seed 89,0.0005154046647430031
Seed 81,0.0005154122166723781
Seed 80,0.0001111323280618869
Seed 45,0.0
Seed 75,0.0009190904536903949
Seed 7,0.0003138287206606096
Seed 24,0.0007171668867696473
Seed 83,0.00031363884724436145
Seed 87,0.0009190783302638206
Seed 46,0.0005153930551884791
Seed 2,0.0013226505414601197
Seed 78,0.0
Seed 99,5.001071088497444e-06
Seed 70,0.0009190778100594802
Seed 76,0.0003137089572325537
Seed 22,0.0007171816741817435
Seed 5,0.0005156012843870078
Seed 98,0.00011164896789523846
Seed 67,0.000313518334750775
Seed 38,5.001819257219899e-06
Seed 74,0.0
Seed 25,5.00148600237638e-06
Seed 54,0.00031331932044287503
Seed 13,0.0017266707027830956
Seed 3,0.00031369632228997344
Seed 50,0.00031321994078302277
Seed 92,0.0
Seed 48,0.0003136667779716073
Seed 65,0.0007173705646185624
Seed 47,0.0
Seed 44,0.0005153783433155311
Seed 58,0.0005153531532194812
Seed 61,0.00031343167152805867
Seed 71,0.0007172228488535228
Seed 33,0.0
Seed 1,0.0013228342230010156
Seed 72,0.00011151051430608563
Seed 66,0.0003137409496787818
Seed 27,0.0007171300866560819
Seed 35,0.00011115511750421858
Seed 11,0.00031341695014611886
Seed 90,0.0
Seed 59,0.0
Seed 16,0.0001116719805983789
Seed 20,0.0007173034440699276
Seed 64,0.0009191294185630855
Seed 93,0.0005151755945651325
Seed 32,0.0005156617217814913
Seed 40,0.000515481235476964
Seed 84,0.0015246121479718954
Seed 28,0.0005154133051967745
Seed 97,0.0007169548760516819
Seed 51,0.0009190525597243971
Seed 39,0.00011153621970566033
Seed 6,0.0
Seed 15,0.0005155317580850986
Seed 14,0.0025341942790356505
Seed 52,0.000717105288087358
Seed 30,0.0
Seed 9,0.00011121725686336397
Seed 82,0.001928418395482212
Seed 55,0.0
Seed 100,0.00011215148028879336
Seed 60,0.0011208918183880157
Seed 4,0.0005152003583152457
Seed 91,0.0005154682895895949
Seed 42,0.000313199611428251
Seed 34,0.0003135965646696116
Seed 23,0.00031317272493623584
Seed 63,0.0007172431327634684
Seed 41,0.0005153920292044951
Seed 96,0.0007174529428345231
Seed 85,0.0003138673636351357
Seed 57,0.000515457133547203
Seed 19,0.0001114180033413051
Seed 26,0.00011182938843132732
Seed 37,0.0003133817707507543
Seed 73,5.0017610447429816e-06
Seed 49,0.0007170836725627724
Seed 29,0.0003133986059941649
Seed 53,0.0003136448168400142
Seed 18,0.0007171622762427591
Seed 86,0.0009190484886375638
Seed 88,5.001270867657449e-06
Seed 36,0.0007171950354085011
Seed 69,0.0005152675182572709
Seed 95,0.00011138233650567574
Seed 77,0.0011210093764812182
