,Graph Seed,Approximation Ratio,Error
0,1,0.9528307959212461,0.00045257383995584696
1,2,0.9539223782792147,0.0006433828373894081
2,3,0.9755554556800163,0.00043779468089750714
3,4,0.9998390039470895,7.477109993771627e-05
4,5,0.9892503618863157,0.0002103229318858734
5,6,0.9665584098560718,0.000573780729103374
6,7,0.9569285607437163,0.0005125654642661603
7,8,0.9650978457123197,0.0002494143892970893
8,9,0.9655288465312284,0.0006274017521112205
9,10,0.9512989738392683,0.0003905487360193147
10,11,0.9679147427123528,0.00046782640778879824
11,12,0.9533411325602228,0.00041170507076252085
12,13,0.9568823499980142,0.0003837895308212599
13,14,0.9610974530802481,0.0005273986345906074
14,15,0.9653740533688144,0.0004787538438776824
15,16,0.9819953610082506,0.00022340806031658647
16,17,0.9665920309879066,0.0004446563492379609
17,18,0.9722254878898992,0.00024659838703557313
18,19,0.9409212377203299,0.0005940952391752886
19,20,0.999782639424831,7.33509743618948e-05
20,21,0.9585866719219326,0.00038666181038992856
21,22,0.9635767859616895,0.0003176633833496207
22,23,0.9732475177809509,0.0004302952232166272
23,24,0.9706625947004764,0.0003311607152252933
24,25,0.9996701071645328,0.00014097264995075964
25,26,0.9541095554646714,0.0004173289805108336
26,27,0.9671372265647459,0.0004696939123595202
27,28,0.9625196923098389,0.00047851882160137514
28,29,0.9756854830272272,0.00038827501490656745
29,30,0.9604301514972622,0.0004546267844857738
30,31,0.9480064294893715,0.00047042836902940914
31,32,0.9691966254375664,0.00043026002583973683
32,33,0.9709613402797755,0.00024097035182976554
33,34,0.9739761472092572,0.0003551681747852059
34,35,0.965599596498669,0.00042089327727314464
35,36,0.9522375762902311,0.00042322906098621495
36,37,0.9680615215663758,0.0002971554247222563
37,38,0.9788861794434648,0.0004941059801777457
38,39,0.9663372499870758,0.0002775722183008033
39,40,0.9604496163398564,0.0005099530203637618
40,41,0.9566250784831792,0.0004492970151368257
41,42,0.9800908383931736,0.00024729969754037277
42,43,0.9752725910753074,0.00023242631224259974
43,44,0.9747000894857745,0.0003253445180486974
44,45,0.9554332680862755,0.000494235668680322
45,46,0.9824678900181941,0.00020373434056123713
46,47,0.968090013308593,0.0005292303575717973
47,48,0.9579061183513453,0.0004112111436396627
48,49,0.948603490251223,0.00041844888172672053
49,50,0.9882030124653305,0.0002517415863645475
50,51,0.9546640312712432,0.0004594910831417426
51,52,0.9705819760754257,0.00023749898615121185
52,53,0.9612941979043833,0.00044869784778254053
53,54,0.9438616471010506,0.0006751144230553708
54,55,0.963410295017009,0.0006492338370380431
55,56,0.9676152132425464,0.0003415496188245425
56,57,0.9693035874842746,0.00028366602190507955
57,58,0.9644259288012949,0.00027775024262776754
58,59,0.9772298512103447,0.0003360019522648664
59,60,0.964474338669048,0.0005294633845890114
60,61,0.9726749438773988,0.0003797579181658043
61,62,0.9630279460160113,0.0003968520052037073
62,63,0.9658304449926464,0.00033641725490415273
63,64,0.9693420131103782,0.0003297127073700736
64,65,0.9595373025160914,0.0004890704427411739
65,66,0.9792749652076902,0.00026442376212029364
66,67,0.9665428335519777,0.0003959463699621311
67,68,0.9691776394552779,0.0002732625145278396
68,69,0.965532680109538,0.00030845732554864223
69,70,0.9781186362259614,0.00031783681378612307
70,71,0.9996286835914083,9.232531606300593e-05
71,72,0.9744631116641942,0.00032594394394990184
72,73,0.9794458111183271,0.0001417223656511698
73,74,0.9842815088508902,0.00019832568871900626
74,75,0.9994920925382834,0.00019802602889027937
75,76,0.9999027561188948,5.209410086944356e-05
76,77,0.9682949280181662,0.0004489028920228754
77,78,0.9634202470241138,0.00042985797965410145
78,79,0.9693926629938385,0.00040458099305236607
79,80,0.9697045630809796,0.0003375925158884566
80,81,1.0,0.0
81,82,1.0,0.0
82,83,0.9719507289465109,0.0005587221819614731
83,84,0.9998584696294938,4.478999824123011e-05
84,85,0.976961919770448,0.0004102191732007593
85,86,0.9995884934211977,8.612319437052613e-05
86,87,0.9695168666952031,0.00025934325560087986
87,88,0.9655033823357096,0.0004334841933595601
88,89,0.9679285705646975,0.0005105382620003941
89,90,0.9849261645315323,0.000425492859127287
90,91,0.9728604253726942,0.00039518090531653156
91,92,0.9652845182073668,0.0003201322981782341
92,93,0.9699579445252486,0.00036677059720752447
93,94,0.9472031619596138,0.0005097760161728336
94,95,0.9756889181220512,0.00037592281392526925
95,96,0.9634672904081873,0.0004724946635529868
96,97,0.9651947293109577,0.0004590384477701177
97,98,0.9709215261655223,0.0003082344760921948
98,99,0.982455561916329,0.0003716496599431969
99,100,0.9520869546518091,0.0005632629424935165
