Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.6875416251828979,2.3487764534766435e-18,
1,0.7905999783836096,0.3298306638797473,Y1Z5,0.785398137296466,-2.8115844123368097e-08
2,0.8781793581308625,0.6101220140428453,Y3Z4,0.7853981184608679,-1.3020283832117977e-07
3,0.9360366511673872,0.7952900162459922,Y0Z5,0.7853981642727959,-2.2384476835670123e-07
4,0.9552898098442555,0.8569083316076401,Y2Z3,1.5707966076944504,-10.14810964431867
5,0.9552899545018514,0.8569087945736142,standard_x,-2.8629429527100575e-08,4.905409943892736
6,0.9972688892826479,0.9912592814356448,Y3Y4,-0.7853981694357294,2.2060663912925866
7,0.9999844927077247,0.9999503700539811,X2,-0.7854254314767737,-0.003488194512197566
8,0.9999999749286552,0.9999999197610089,Y2Z0,0.030732998881679355,0.009986767749749843
9,0.9999999999980828,0.9999999999938639,standard_x,5.550774504678003e-09,0.010002744855892262
10,0.9999999999999845,0.9999999999999503,X5,-3.733658657946081e-08,0.009999969722502923
11,0.9999999999999845,0.99999999999995,X0X2,-6.678812950939403e-08,0.010000007345065327
12,0.9999999999999851,0.9999999999999528,standard_x,2.278116589748467e-08,0.010000010595845864
