Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.6943467137674091,-6.190140742048062e-18,
1,0.7802106544733661,0.28091940958428885,Y2Z4,0.7853981704960451,2.1849466835719415e-08
2,0.8568373195123234,0.5316174013626179,Y1Z5,0.7853981682645534,1.9670872575369242e-08
3,0.919242770529317,0.73578811971539,Y0Z4,0.7853981707381105,-2.2886587831038378e-07
4,0.9605937575257465,0.8710753515528483,Y3Z0,0.7853982114749657,1.419550138067796e-07
5,0.960595422506106,0.8710807988371875,standard_x,-9.618622007882959e-09,1.7951440799155332
6,0.9999999999970445,0.9999999999903302,X1X5,0.7853981696754139,1.8280469188581188
7,0.9999999999999982,0.9999999999999942,standard_x,-1.3860392831942882e-08,0.010000839902872906
8,0.9999999999999982,0.9999999999999943,standard_x,6.999543237787012e-11,0.01
9,0.9999999999999983,0.9999999999999944,standard_x,6.999543237787012e-11,0.01
10,0.9999999999999983,0.9999999999999946,standard_x,6.999543237787012e-11,0.01
11,0.9999999999999983,0.9999999999999947,standard_x,6.999543237787012e-11,0.01
12,0.9999999999999986,0.9999999999999952,standard_x,9.332724317049349e-11,0.01
