,Gate-Error Probability
Seed 64,0.0
Seed 8,0.0
Seed 71,0.0
Seed 54,0.0
Seed 41,3.0054355066143297e-05
Seed 84,0.0
Seed 60,0.00030120565545866936
Seed 62,0.00030259645298968865
Seed 31,0.0007941489662558847
Seed 13,3.0046246290717753e-05
Seed 55,0.00030314277385924514
Seed 44,0.0003000058115171987
Seed 100,0.000301998464779441
Seed 43,0.00030358206373591655
Seed 83,0.0
Seed 80,0.0
Seed 40,0.0003032656824691489
Seed 66,0.00030352001473635303
Seed 86,0.0
Seed 59,0.0003029654683708974
Seed 53,0.0003017239608299065
Seed 47,0.00030148667378679335
Seed 33,0.0003015899301847431
Seed 72,0.00030017100100452785
Seed 90,0.0
Seed 34,0.0
Seed 4,0.0
Seed 96,0.0003041260880937631
Seed 69,0.00030288923052444007
Seed 42,0.0
Seed 24,0.0
Seed 18,0.00030258309455742226
Seed 15,0.0003042720913448188
Seed 10,0.0007948158399498572
Seed 16,0.0003020992958939346
Seed 22,0.0
Seed 75,5.003305637103372e-06
Seed 1,3.003648864687858e-05
Seed 88,0.00030109584074077846
Seed 23,0.0003019152200335616
Seed 94,0.00030204380380650497
Seed 50,0.0
Seed 56,0.0
Seed 19,0.0003023373469162682
Seed 35,0.00030245532584599117
Seed 58,0.00030347289653720374
Seed 5,0.0003024435190796292
Seed 79,0.0003024930374042898
Seed 27,0.00030190576244091584
Seed 99,0.0
Seed 12,0.0007954589016305694
Seed 39,0.00030193960794768225
Seed 85,0.000302683900998713
Seed 81,0.0
Seed 17,0.0003044686182774815
Seed 52,0.0003006842058360532
Seed 63,0.0003026207721100475
Seed 65,0.0003035650342156555
Seed 61,0.0003031638576763704
Seed 93,0.00030429628568308495
Seed 38,0.0003037583932123478
Seed 37,0.00030436567692971906
Seed 98,0.0003002650923880884
Seed 73,0.00030319457481728016
Seed 14,0.0007948082628655592
Seed 26,0.0
Seed 48,0.0007958006780307614
Seed 45,0.0003068433458973006
Seed 87,0.00030092277645412226
Seed 30,0.000300226268531158
Seed 25,0.0
Seed 11,0.0003039661866266086
Seed 29,0.0
Seed 97,0.00030418365909451353
Seed 82,0.0
Seed 2,0.0
Seed 3,0.0
Seed 21,0.000302046727531261
Seed 46,0.00030113680356903225
Seed 70,0.00030035576818743823
Seed 28,0.0
Seed 51,3.0027008264599267e-05
Seed 6,0.00030274211222279274
Seed 89,0.0003040737370991916
Seed 95,0.0
Seed 77,0.0
Seed 20,0.0
Seed 78,0.000302324565487026
Seed 91,0.0
Seed 67,0.00030267468351922674
Seed 9,0.0
Seed 49,0.0003038706527096187
Seed 7,0.00030411580441366105
Seed 36,0.0007950341064463378
Seed 76,5.003737631109095e-06
Seed 32,0.0003063739879087582
Seed 92,0.00030412427511945675
Seed 68,0.0003020766172336867
Seed 74,0.0
Seed 57,0.0
