,Y4Z1,Y1Z4,Y5Z4,Y4Z5,Y1Z0,Y0Z1,Y4Z0,Y0Z4,Y4Z3,Y3Z4,Y5Z2,Y2Z5,Y3Z0,Y0Z3,Y3Z1,Y1Z3,Y2Z1,Y1Z2,Y2Z0,Y0Z2,Y4Z2,Y2Z4,Y5Z0,Y0Z5,Y5Z3,Y3Z5,Y2Z3,Y3Z2,Y5Z1,Y1Z5,standard_y,Y1,X4Y0,X0Y2,Y4,Y3,Y2,Y0,X5Y3,X5Y2,X5Y1,X5Y0,X4Y2,X4Y1,X3Y4,X3Y2,X2Y4,X2Y3,X2Y1,X4Y5,X1Y2,X0Y5,X1Y5,Y5,X1Y3,X0Y1,X2Y5,X1Y0,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y1,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y4,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9471995219767293,0.9471995219767292,0.9195400200435658,0.9195400200435657,0.8882680764524881,0.888268076452488,0.8597866735427615,0.8597866735427614,0.8431495877420079,0.8431495877420079,0.8250920180563502,0.8250920180563501,0.5886201827742321,0.5886201827742321,0.5837304855736061,0.5837304855736061,0.5157172840235198,0.5157172840235198,0.399994395971013,0.39999439597101294,0.32008415931583384,0.3200841593158338,0.22853920336460062,0.2285392033646006,0.13539117983479798,0.13539117983479798,0.06894367026654055,0.06894367026654051,0.03218138985626773,0.03218138985626769,2.498001805406602e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0013056022250995795,0.001305602225099579,0.8873586607585927,0.0012674768814616086,0.001224372215350193,0.02848221967966093,0.0011851139786744672,0.02848055908336759,0.0011621817286715263,0.25941965669375666,0.8250920180563504,0.8250920180563502,0.5886201827742321,0.5886201827742321,0.25941830120316883,0.0008046032574350072,0.19563342877743473,0.0007108551238901083,0.399994395971013,0.399994395971013,0.000441198059042251,0.1956326347927046,0.22853920336460068,0.22853920336460065,0.13539117983479798,0.13539117983479798,0.06894367026654058,0.0689436702665405,0.8873577566535892,4.435822994869762e-05,4.5102810375396984e-17,0.0,1.0842021724855044e-19,4.163336342344337e-17,0.0,5.551115123125783e-17,0.0,1.0408340855860843e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.0842021724855044e-19,3.8163916471489756e-17,0.0,2.42861286636753e-17,1.0842021724855044e-19,2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0842021724855044e-19,2.710505431213761e-20,5.421010862427522e-20,5.551115123125783e-17,6.776263578034403e-20,1.1102230246251565e-16,5.421010862427522e-20,4.5157444000494887e-20,0.0,3.110199103199384e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2959746043559335e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2616089934766435e-08,3.459220519207417e-05,0.0003126323651981912,1.2247683114615684e-08,3.358092088069895e-05,0.25702059254137144,1.1451806875381357e-08,0.25702059145551537,1.1230211566426033e-08,0.12402793115365528,0.0002906947206339491,1.0207251302537332,0.5886201827742321,0.5886201827742321,0.12402793023074866,2.2067895685259086e-05,1.0207250911946701,1.9496660716174116e-05,0.39999439597101305,0.39999439597101294,4.263315644623586e-09,1.0207250911870172,8.05184614832144e-05,0.2570206038718962,4.770074165920415e-05,0.12402790665016288,0.06894367026654061,0.06894367026654052,0.0003126323649585775,3.45922028941287e-05,1.8040785502416015e-16,3.3881317890172014e-21,0.0,1.1102230246251565e-16,1.6543612251060553e-24,4.163336342344337e-17,1.1102230246251565e-16,2.7755575615628914e-17,0.0,0.0,8.271806125530277e-25,4.235164736271502e-21,4.1359030627651384e-25,8.470329472543003e-22,8.271806125530277e-25,0.0,0.0,6.938893903907228e-17,3.3881317890172014e-21,0.0,1.6940658945086007e-21,2.710505431213761e-20,4.1359030627651384e-25,0.0,2.541098841762901e-21,6.661089498738646e-22,0.0,5.0537608683114915e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.929230630780102e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0
3,5.653268262880903e-10,3.320362666114679e-05,8.074059031651762e-08,3.5778059842266967e-10,2.0614425137789376e-05,0.14297128585501756,5.131553175030691e-10,0.14297128637192658,5.032256345838945e-10,0.19297116127081904,7.507496330835769e-08,0.003611358518656621,0.5886201827742322,0.5886201827742322,0.1929711609044648,1.3546888281249837e-05,0.003611358517930343,3.3203568658341255e-05,0.0014151930907484833,0.14297539860023106,3.577759677603528e-10,0.00361135851792014,2.0794737958484104e-08,0.14297128643804446,1.2319217294474539e-08,0.19297116116305546,0.0002439249319360978,0.19297081639866187,8.074059029319769e-08,3.320362665758829e-05,8.69902940227743e-19,2.541098841762901e-21,0.0,0.0,1.0339757656912846e-25,4.163336342344337e-17,8.673617379884035e-19,4.163336342344337e-17,3.308722450212111e-24,0.0,1.0097419586828951e-28,4.1359030627651384e-25,0.0,1.164670302474663e-21,5.169878828456423e-26,0.0,6.058451752097371e-28,0.0,3.308722450212111e-24,6.617444900424222e-24,1.6543612251060553e-24,6.617444900424222e-24,5.048709793414476e-29,0.0,8.470329472543003e-22,1.863501660020716e-22,0.0,1.4962541635942345e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.286004318963713e-09,0.0003306794633405869,1.103572839746904e-07,5.243993534094011e-09,7.03902243139303e-05,0.0010558450754899595,1.4574065488954458e-10,0.0010558454541136496,1.4533441849380688e-10,0.0014250922942008568,1.0261343154399036e-07,0.003353943085802906,0.00434695918333602,0.004346959183336021,0.0014250920258550544,7.03809467729924e-05,0.003353943085261329,0.00033067896505213634,0.001087787070927118,0.0010558716484958019,5.243934993292475e-09,0.003353943084321432,1.1584910507289457e-08,0.0010558454551712407,1.158367627503339e-08,0.0014250922924771217,0.0010877450525647381,0.001425090096423541,1.1035728081329252e-07,0.000330679463263827,2.3039378883378225e-19,1.3552527156068805e-20,3.2311742677852644e-27,1.6940658945086007e-21,8.271806125530277e-25,1.0842021724855044e-19,0.0,1.0842021724855044e-19,2.5849394142282115e-26,0.0,4.0389678347315804e-28,4.8467614016778965e-27,0.0,1.2705494208814505e-21,1.2924697071141057e-26,1.6940658945086007e-21,0.0,8.470329472543003e-22,1.3234889800848443e-23,0.0,1.3234889800848443e-23,0.0,1.0097419586828951e-28,0.0,5.293955920339377e-23,1.2145791244237657e-23,0.0,2.466757500449276e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2311742677852644e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5881867761018131e-22,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2705494208814505e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.1664741321152975e-12,2.6632386346759562e-05,4.5452171676009996e-13,1.3636682107696542e-12,5.5571226462093305e-06,6.487249512877994e-07,3.7709879757102956e-14,6.487249528040687e-07,3.770987971753137e-14,8.755097638687028e-07,4.221715890599592e-13,4.2945196410845006e-06,2.678860290246165e-06,2.6795360676418045e-06,8.75509762784048e-07,5.557122645932813e-06,4.294519641092512e-06,2.6632386346692165e-05,1.3797874769768825e-06,6.487249528307707e-07,1.3636682107445004e-12,4.29451964108448e-06,4.733788020368644e-14,6.487249528040756e-07,4.733788020176345e-14,8.755097638686921e-07,1.37978747695656e-06,8.755097638664489e-07,4.545217166737001e-13,2.6632386346759494e-05,1.3234889295977463e-21,8.470329472543003e-22,0.0,3.2311742677852644e-27,0.0,5.293955920339377e-23,4.235164736271502e-22,0.0,4.81482486096809e-35,0.0,3.851859888774472e-34,1.2037062152420224e-35,3.851859888774472e-34,4.963083675318166e-24,0.0,1.6155871338926322e-27,1.5407439555097887e-33,8.077935669463161e-28,1.6155871338926322e-27,0.0,8.077935669463161e-28,0.0,4.81482486096809e-35,5.048709793414476e-29,0.0,7.123621113412569e-28,1.3234889800848443e-23,8.252473908800726e-28,4.841711223132589e-06,8.73354902380068e-12,1.969151733280041e-19,2.271303178584282e-18,1.5044173920515713e-08,2.405936149993796e-18,4.1373215946751945e-13,2.5460306998369758e-18,1.5362780032193948e-08,2.7423181861930756e-11,5.741569610875794e-12,1.7953437886919664e-19,2.5480091484414226e-18,0.0002499769909492521,1.1615570772044364e-12,3.062342644295498e-11,0.0,3.1554436208840472e-30,6.310887241768095e-30,0.0,3.1554436208840472e-30,0.0,7.636207840155505e-14,2.524354896707238e-29,0.0,5.048709793414476e-29,0.0,1.262177448353619e-29,3.851859888774472e-34,8.733549023800815e-12,2.892220389983423e-13,0.0,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,6.617444900424222e-24,1.925929944387236e-34,0.0,3.469446951953614e-18,4.556040097369001e-19,2.786452877798851e-18,1.7488014091827416e-07,5.293955920339377e-23,0.0,0.0,5.293955920339377e-23,0.0,0.0,1.504417392058804e-08,2.6933205316187855e-18,3.008397948780931e-12,4.865432626379616e-07,1.0587911840678754e-22,0.0,2.117582368135751e-22,1.0587911840678754e-22,0.0,8.271806125530277e-24,2.6841116489078335e-18,1.536278003244749e-08,3.186325625486312e-11,1.029780298047681e-11,4.013042562960932e-06,2.6469779601696886e-23,2.6469779601696886e-23,6.617444900424222e-24,1.3234889800848443e-23,0.0,0.0,6.938893903907228e-18,4.687033087921909e-19,3.2451087740169667e-18,0.00024997699106664635,2.806125890074717e-12,3.199430134095089e-11,1.672456221995386e-07
6,1.53020259621089e-14,4.3991875374516015e-07,4.2530604265489705e-13,2.1270638885596323e-14,4.3991872626599785e-07,2.2799742003991724e-07,2.163502137042215e-14,2.279974200395122e-07,2.1635021370549573e-14,1.8015834913726252e-06,4.231634268102841e-13,1.8392737019722743e-07,1.801580757551194e-06,2.279750040846469e-07,1.801583491372265e-06,4.399187262652531e-07,1.8392737019720086e-07,4.3991875374515136e-07,1.8393021770702227e-07,2.2799742003950703e-07,2.1270638885506273e-14,1.8392737019717166e-07,4.303819939433364e-13,2.279974200392965e-07,4.303819939435136e-13,1.8015834913728446e-06,1.8393021770615493e-07,1.801583491372578e-06,4.253060426549784e-13,4.399187537451913e-07,3.970467098026714e-23,1.3234889800848443e-23,0.0,0.0,1.5777218104420236e-30,0.0,0.0,2.6469779601696886e-23,0.0,2.6469779601696886e-23,0.0,4.81482486096809e-35,0.0,1.5881867761018131e-22,0.0,5.048709793414476e-29,1.504632769052528e-36,1.0097419586828951e-28,1.262177448353619e-29,0.0,1.5777218104420236e-30,0.0,1.2037062152420224e-35,0.0,0.0,2.775895773845568e-30,2.6469779601696886e-23,7.625356626921172e-30,3.555254780510958e-07,1.6710771996515607e-13,2.758794924092778e-19,7.083370653189387e-19,1.227977658027197e-07,5.444679432004439e-20,4.677475179250039e-13,1.7081330456071991e-19,4.438722902665273e-07,3.4546790404758284e-13,7.954775108283982e-14,1.1926697325570218e-19,8.921510348381237e-20,2.9127203238693894e-07,1.6235708588634232e-13,8.514832932201955e-14,0.0,2.524354896707238e-29,0.0,2.524354896707238e-29,2.524354896707238e-29,0.0,2.719239473493281e-13,2.524354896707238e-29,0.0,5.048709793414476e-29,5.048709793414476e-29,2.524354896707238e-29,0.0,1.6710771996499786e-13,4.556929962167166e-13,5.293955920339377e-23,0.0,5.293955920339377e-23,0.0,0.0,1.8055593228630336e-35,5.048709793414476e-29,5.293955920339377e-23,3.6229269175529965e-19,3.0284092395045854e-19,5.154627776557424e-07,1.3234889800848443e-23,3.970466940254533e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,5.048709793414476e-29,1.2279776580273797e-07,4.507207084934379e-20,4.0190942711222197e-13,1.6171883246900822e-07,0.0,5.293955920339377e-23,5.293955920339377e-23,1.0587911840678754e-22,1.0587911840678754e-22,0.0,1.3931274649226844e-19,4.438722902665439e-07,1.7199172394374814e-12,1.7449885307520993e-13,9.591085200222391e-07,0.0,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,2.407412430484045e-35,5.293955920339377e-23,7.545807912265166e-20,2.677140381183534e-19,2.9127204692473493e-07,1.2234246911697817e-13,3.3348353275601925e-13,7.359929577055095e-08
7,7.062357413860856e-17,9.044098124891299e-08,1.930934018116006e-15,9.817031754763891e-17,9.044086949566887e-08,5.376459551905923e-09,9.984485549825271e-17,5.3764595519055864e-09,9.984485549825246e-17,8.20168820062537e-08,1.9212066072916135e-15,3.71966898618275e-08,8.201682687160106e-08,5.375571155417938e-09,8.201688200625258e-08,9.044086949566836e-08,3.719668986182775e-08,9.044098124891267e-08,3.719786915792985e-08,5.376459551906009e-09,9.817031754762192e-17,3.71966898618275e-08,1.9539808247593565e-15,5.376459551905579e-09,1.953980824759363e-15,8.20168820062537e-08,3.7197869157929585e-08,8.20168820062532e-08,1.930934018116022e-15,9.044098124891299e-08,2.033782021272921e-31,3.308722450212111e-24,0.0,3.944304526105059e-31,6.162975822039155e-33,0.0,3.308722450212111e-24,0.0,2.350988701644575e-38,0.0,1.1754943508222875e-38,2.938735877055719e-39,0.0,0.0,1.4693679385278594e-39,7.888609052210118e-31,1.4693679385278594e-39,3.944304526105059e-31,7.888609052210118e-31,7.888609052210118e-31,4.930380657631324e-32,2.938735877055719e-39,2.350988701644575e-38,1.9721522630525295e-31,0.0,1.1953217951549161e-32,0.0,3.031139091067409e-32,2.194654692138759e-07,6.947829323325015e-15,1.0135361001212964e-22,1.4614978421446336e-22,2.756718527580648e-09,5.081962176292331e-23,3.940079976030392e-15,1.594339512788119e-22,9.964708820175223e-09,9.52229505943289e-15,3.307330315463512e-15,1.0872052728146847e-23,3.1976067801839706e-25,5.859125123853648e-09,3.287839467690073e-15,4.088151703243777e-16,0.0,9.860761315262648e-32,0.0,0.0,0.0,0.0,1.2345633137165648e-15,1.9721522630525295e-31,9.860761315262648e-32,4.930380657631324e-31,0.0,0.0,2.938735877055719e-39,6.947829323325012e-15,2.1031556427542073e-15,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,5.877471754111438e-39,3.944304526105059e-31,0.0,2.069969946304485e-24,1.416390488958908e-22,1.2154610689129294e-08,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,6.617444900424222e-24,6.617444900424222e-24,3.944304526105059e-31,2.7567185275806645e-09,4.2069506156031475e-23,3.4056409637490682e-15,3.2705611715243475e-08,6.617444900424222e-24,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,8.271806125530277e-25,1.3003184644604614e-22,9.96470882017524e-09,2.1666789061505997e-14,7.255159579270496e-15,1.9717905042140505e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,4.01529045062857e-24,4.3510321965494206e-23,5.859125049591574e-09,3.0970148958952263e-15,1.6205344957741235e-15,1.7354186349489803e-09
8,3.5467601600096637e-09,1.1107289142168352e-08,4.931900682090808e-09,3.5467601840168174e-09,1.1107266356094617e-08,1.0797857046833487e-08,3.546760183167155e-09,1.0797857046833414e-08,3.5467601831671627e-09,5.703134605588425e-08,4.931900680407566e-09,1.1623540635870192e-08,5.703123674745891e-08,1.0797238821501558e-08,5.7031346055884263e-08,1.1107266356094656e-08,1.1623540698408173e-08,1.1107289158030523e-08,1.1623854504738422e-08,1.0797857046833457e-08,3.5467601840168e-09,1.1623540698408165e-08,4.931900670723625e-09,1.0797857046833417e-08,4.93190067072361e-09,5.7031346055884243e-08,1.1623854504738354e-08,5.703134605588418e-08,4.931900682090807e-09,1.110728915803054e-08,8.68539643180679e-24,2.0679515313825692e-24,4.930380657631324e-32,9.860761315262648e-32,4.1359030627651384e-25,6.617444900424222e-24,8.271806125530277e-25,8.271806125530277e-25,0.0,8.271806125530277e-25,3.944304526105059e-31,0.0,9.860761315262648e-32,3.308722450212111e-24,6.162975822039155e-33,9.860761315262648e-32,4.930380657631324e-32,3.944304526105059e-31,4.930380657631324e-32,9.860761315262648e-32,0.0,0.0,1.9721522630525295e-31,4.1359030627651384e-25,4.930380657631324e-32,1.36347170240766e-32,0.0,1.7777008689831635e-32,2.874746950798605e-08,8.876630541200623e-16,1.0113677860438175e-15,6.101513630307665e-17,2.2478746387191878e-09,2.339811688620511e-17,2.6088420857148346e-15,3.3956369172878963e-16,4.02315829758974e-09,1.7026975434841153e-15,6.643137010100636e-16,1.5691517012711005e-16,6.578860803403811e-16,1.1071856704517957e-08,4.4217770479632414e-16,1.922713799453211e-16,1.6543612251060553e-24,1.6543612251060553e-24,4.963083675318166e-24,1.6543612251060553e-24,1.6543612251060553e-24,9.860761315262648e-32,2.701701316026959e-08,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,0.0,0.0,6.162975822039155e-33,8.894198036926125e-16,2.2999990559258696e-08,0.0,0.0,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,2.465190328815662e-32,5.293955920339377e-23,2.1206017087104383e-15,7.544676891008105e-16,2.455876673719623e-09,3.308722450212111e-24,1.6543612251060553e-24,3.308722450212111e-24,0.0,0.0,1.9721522630525295e-31,2.2478742477735633e-09,3.063029644729644e-16,2.3629786781877615e-15,2.478219265619106e-08,3.308722450212111e-24,0.0,9.926167350636332e-24,6.617444900424222e-24,6.617444900424222e-24,3.308722450212111e-24,3.521385269171522e-16,4.023158331803067e-09,4.3183650920478016e-16,9.741619761238811e-16,5.274914442952935e-08,0.0,0.0,1.6543612251060553e-24,0.0,0.0,4.930380657631324e-32,5.293955920339377e-23,5.736321075949178e-16,1.0012041801560174e-15,1.1071856226603654e-08,1.4526452079130038e-16,9.271128565929607e-16,9.153294235515682e-09
9,7.010653854990843e-09,1.8329328932900766e-09,9.70344942528524e-09,7.0106538697518575e-09,1.8329195180771418e-09,1.119491650341218e-08,7.010653867968338e-09,1.1194916503412117e-08,7.0106538679683535e-09,5.704899626507029e-08,9.703449424600123e-09,9.888117277277178e-09,5.704888323263329e-08,1.1194297120171631e-08,5.7048996265070294e-08,1.8329195180771697e-09,9.888117351628688e-09,1.832932910045386e-09,9.888353933565273e-09,1.1194916503412163e-08,7.010653869751826e-09,9.88811735162868e-09,9.703449413745934e-09,1.119491650341212e-08,9.703449413745902e-09,5.7048996265070274e-08,9.88835393356522e-09,5.70489962650702e-08,9.703449425285232e-09,1.8329329100454053e-09,6.772541265277914e-24,9.822769774067204e-25,4.930380657631324e-32,9.860761315262648e-32,1.6543612251060553e-24,6.617444900424222e-24,0.0,8.271806125530277e-25,4.930380657631324e-32,0.0,1.9721522630525295e-31,0.0,9.860761315262648e-32,1.6543612251060553e-24,2.465190328815662e-32,0.0,4.930380657631324e-32,1.9721522630525295e-31,9.860761315262648e-32,9.860761315262648e-32,1.232595164407831e-32,3.697785493223493e-32,9.860761315262648e-32,1.6543612251060553e-24,2.465190328815662e-31,2.4780677638180995e-32,0.0,1.172775469123034e-32,3.020026200048487e-08,1.0146776665921004e-15,8.903117823337556e-16,5.322362002155604e-17,1.5789339483963872e-09,2.0026933448210026e-16,2.8173385175079107e-15,3.580246716061804e-16,5.055808783029929e-10,1.9352540647088907e-15,6.533246594377807e-16,2.290357320507658e-16,7.433588930708427e-16,1.396906820380764e-08,7.338448664273605e-16,1.1924234802898578e-16,3.308722450212111e-24,4.963083675318166e-24,1.6543612251060553e-24,4.963083675318166e-24,4.963083675318166e-24,9.860761315262648e-32,2.5692133304473248e-08,3.308722450212111e-24,4.963083675318166e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,1.8488927466117464e-32,1.0181898257087392e-15,2.2190759466000727e-08,4.1359030627651384e-25,8.271806125530277e-25,1.0339757656912846e-24,4.1359030627651384e-25,4.1359030627651384e-25,9.860761315262648e-32,3.697785493223493e-32,0.0,1.9679503839464675e-15,7.47866259915463e-16,2.004600580605624e-09,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,3.944304526105059e-31,1.5789334987867336e-09,1.1698225880462237e-16,2.5724326529153934e-15,2.5524279699080717e-08,6.617444900424222e-24,8.271806125530277e-24,6.617444900424222e-24,6.617444900424222e-24,9.926167350636332e-24,1.6543612251060553e-24,3.452338308160438e-16,5.055808459593893e-10,2.2332110342700667e-16,1.0912231196565474e-15,5.387471059164618e-08,0.0,8.271806125530277e-25,1.6543612251060553e-24,8.271806125530277e-25,8.271806125530277e-25,2.465190328815662e-32,0.0,5.730396025942383e-16,1.041834461007726e-15,1.396906770548503e-08,4.3898572428822573e-16,9.13018523759346e-16,8.663199541970733e-09
