,Y0Z1,Y1Z0,Y5Z4,Y4Z5,Y4Z3,Y3Z4,Y3Z0,Y0Z3,Y2Z4,Y4Z2,Y2Z0,Y0Z2,Y5Z3,Y3Z5,Y2Z1,Y1Z2,Y0Z4,Y4Z0,Y3Z1,Y1Z3,Y5Z1,Y1Z5,Y4Z1,Y1Z4,Y5Z2,Y2Z5,Y5Z0,Y0Z5,Y2Z3,Y3Z2,standard_y,X3Y1,X5Y0,X0Y4,Y2,X4Y3,X4Y1,X2Y4,Y1,Y0,X5Y2,X4Y2,X4Y0,X1Y4,X1Y5,Y5,X0Y5,X3Y4,X5Y4,X3Y5,X3Y2,X2Y1,X0Y2,Y4,Y3,X2Y5,X0Y3,X0Y1,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y1,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y3,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y3,X1Y2,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9123433593597492,0.912343359359749,0.9067741641712168,0.9067741641712168,0.621708295014622,0.6217082950146219,0.5658014545064805,0.5658014545064803,0.5534088231622267,0.5534088231622266,0.4943497473001628,0.4943497473001628,0.367860484111846,0.367860484111846,0.3553800593899251,0.35538005938992506,0.3532949006790988,0.35329490067909874,0.17284269922539558,0.17284269922539552,0.16107466505215678,0.16107466505215678,0.1218917726565018,0.12189177265650172,0.11908428131617588,0.11908428131617586,0.11361649700856731,0.11361649700856721,0.03297005310680126,0.03297005310680118,1.5959455978986625e-16,1.3877787807814457e-16,1.1102230246251565e-16,9.020562075079397e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,4.163336342344337e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0006165878132714546,0.0006165878132714546,0.9067741641712168,0.906774164171217,0.621708295014622,0.6217082950146218,0.39295879475355777,0.0003823848532473358,0.5534088231622266,0.5534088231622266,0.13896976906917508,0.0003340957398900876,0.36786048411184596,0.367860484111846,0.13896957501448243,0.00024017603838678283,0.00023876682831620752,0.2314031558592931,0.3929586260677437,0.00011681205421400928,0.04745819399044258,0.00010885887914791021,0.23140304733985184,8.237795648646603e-05,0.11908428131617586,0.11908428131617588,0.04745813125860875,7.678528782325662e-05,0.032970053106801234,0.03297005310680119,1.3904892862126594e-17,5.421010862427522e-20,0.0,6.776263578034403e-21,0.0,0.0,2.710505431213761e-20,1.3877787807814457e-17,2.710505431213761e-20,5.421010862427522e-20,1.3877787807814457e-17,0.0,0.0,6.776263578034403e-21,1.3552527156068805e-20,0.0,1.3552527156068805e-20,5.551115123125783e-17,2.7755575615628914e-17,6.938893903907228e-18,0.0,0.0,0.0,4.163336342344337e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3552527156068805e-20,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.728901731746365e-06,5.728901731746364e-06,0.0005366397426199297,0.0005366397426199298,0.00036793436845023033,0.25384787532275355,0.3929587552844925,3.552852003900706e-06,0.43432456270017106,0.0003275139281199234,0.138969687917244,3.104183413340933e-06,0.00021770421270686887,0.2538477020287972,0.13896968790049163,2.231547384852801e-06,1.505019049844959e-06,0.0001369471252837052,0.3929587552699301,1.0853357222953555e-06,2.8086308688122778e-05,2.460423042325287e-07,0.00013694712527816092,2.4604199307134334e-07,7.047549500266239e-05,0.434324444932722,2.80863086849178e-05,1.5050185364105563e-06,0.032970053106801234,0.03297005310680121,4.164585715941537e-17,0.0,2.0679515313825692e-25,2.5849394142282115e-26,1.3877787807814457e-17,5.421010862427522e-20,2.0679515313825692e-25,0.0,2.117582368135751e-22,8.470329472543003e-22,0.0,0.0,2.0679515313825692e-25,1.0339757656912846e-25,0.0,1.3552527156068805e-20,1.550963648536927e-25,4.0657581468206416e-20,0.0,3.3881317890172014e-21,1.3877787807814457e-17,0.0,0.0,0.0,5.551115123125783e-17,6.776263578034403e-21,1.0587911840678754e-22,1.619333434887417e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,1.6193334348863527e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.7801324772980174e-06,5.7801324772980174e-06,0.00038462059926534927,4.263154487416089e-06,2.9229312131735334e-06,0.22087932997212328,0.39295875528455376,3.5846234088780146e-06,0.004181885024124415,2.601824578886244e-06,0.0013380667720116716,1.6135353315852433e-06,0.00017962110646776048,0.22087921593428378,0.0013380667718474735,2.4997337888330037e-06,1.6133197619042677e-06,1.087930515249893e-06,0.39295875526972984,1.0950413449138962e-06,2.317315673607445e-05,2.499640873239745e-06,1.087930515205057e-06,2.499640927918602e-06,0.0003845973795364193,0.004181884252219107,2.317315673338262e-05,1.613319741198416e-06,0.0003174514758923687,0.22086603456190723,9.740878893424454e-21,2.117582368135751e-22,2.0679515313825692e-25,1.6155871338926322e-27,0.0,1.0587911840678754e-22,5.6545549686242126e-27,1.6940658945086007e-20,0.0,0.0,1.0587911840678754e-22,3.3881317890172014e-21,0.0,4.0389678347315804e-28,5.169878828456423e-26,1.0164395367051604e-20,0.0,0.0,2.168404344971009e-19,3.3881317890172014e-21,1.0842021724855044e-19,0.0,1.6543612251060553e-24,4.235164736271502e-22,0.0,7.940933880509066e-23,2.117582368135751e-22,2.714314558749556e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.505213034913027e-19,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,4.963083675318166e-24,2.714314558965552e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7.636708104064592e-09,2.213202820956183e-06,0.0001570316996975412,7.003519221037898e-09,3.0145500231697886e-09,0.0006177569257263277,0.0010990377073785734,4.73600263386949e-09,1.6826721072947538e-05,4.274282928705927e-09,4.106672031948807e-06,2.131709161851248e-09,8.279675304793805e-05,0.00061775687256087,4.1066720318070935e-06,1.1808603826741405e-06,2.131709157240187e-09,3.0145242525392217e-09,0.0010990377073693213,2.2131901184750468e-06,8.279650322635486e-05,1.18086037765732e-06,3.0145242525341536e-09,1.180860381963941e-06,0.0001570316995440584,1.6826720555213045e-05,8.279650322643804e-05,2.1317091526762465e-09,4.1066459786036985e-06,0.0006177569251243061,1.0810278668848322e-19,4.1359030627651384e-25,0.0,0.0,0.0,8.077935669463161e-28,7.888609052210118e-31,1.3552527156068805e-20,3.1763735522036263e-22,0.0,1.550963648536927e-25,6.776263578034403e-21,0.0,7.888609052210118e-31,1.2924697071141057e-26,0.0,5.048709793414476e-29,1.2116903504194741e-27,3.1763735522036263e-22,1.6543612251060553e-24,1.6543612251060553e-24,6.462348535570529e-27,0.0,2.0679515313825692e-25,1.0842021724855044e-19,2.0679515313825692e-25,2.117582368135751e-22,9.889207110615088e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.203854594147708e-25,4.8467614016778965e-27,9.889207110343146e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.462517931459133e-10,8.870797547893309e-08,2.1432407558578458e-07,5.450076430401496e-13,2.330067528090004e-13,8.147482607612148e-09,1.4510352007004465e-08,2.462533358605119e-10,9.634555604605406e-07,3.308910848016562e-13,2.3471992304180448e-07,4.1519707258660406e-11,1.1249641773433681e-07,8.147482607610833e-09,2.347199230417914e-07,4.7144552788405e-08,4.151970725836603e-11,2.33006752809e-13,1.4510352021967186e-08,8.870797548564363e-08,1.1249641773433654e-07,4.714455278831148e-08,2.330067528089994e-13,4.71445527883118e-08,2.1432407558509774e-07,9.634555604604847e-07,1.1249641773433673e-07,4.1519707258365865e-11,2.3471992304180426e-07,8.147482607586062e-09,1.8999304694577354e-23,1.2924697071141057e-26,0.0,0.0,1.3234889800848443e-23,7.52316384526264e-37,3.009265538105056e-36,0.0,0.0,2.5849394142282115e-26,6.310887241768095e-30,2.6469779601696886e-23,0.0,1.504632769052528e-36,0.0,6.617444900424222e-24,1.5407439555097887e-33,3.76158192263132e-37,3.308722450212111e-24,1.4791141972893971e-31,1.5777218104420236e-30,6.310887241768095e-30,1.232595164407831e-32,0.0,8.271806125530277e-25,2.524354896707238e-29,6.617444900424222e-24,1.8403279512597817e-25,1.355178526454341e-08,4.201731702829324e-08,8.967536624474898e-16,1.9710757392870343e-21,5.536301074674156e-14,2.3656916354678418e-08,2.7004536915242805e-15,2.4331968469570325e-15,2.0819990477955224e-21,3.720061508437149e-11,1.728601017115797e-14,6.11133816569516e-18,2.944341773586374e-23,9.29800878108083e-09,5.0153495307878826e-17,6.431660059743795e-10,0.0,0.0,1.6543612251060553e-24,0.0,0.0,7.888609052210118e-31,7.888609052210118e-31,2.1650539664231086e-08,6.310887241768095e-30,6.310887241768095e-30,3.1554436208840472e-30,6.310887241768095e-30,6.310887241768095e-30,3.308722450212111e-24,4.2017317028302365e-08,7.749960876055346e-14,5.169878828456423e-26,5.169878828456423e-26,0.0,0.0,0.0,1.3234889800848443e-23,1.1329584127579288e-15,3.2884606659164473e-21,7.510369023292659e-10,0.0,1.6543612251060553e-24,0.0,0.0,0.0,6.310887241768095e-30,0.0,7.943724470858187e-14,2.36569163547547e-08,3.4975151285452673e-15,4.436910100130197e-08,2.0679515313825692e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,1.2924697071141057e-26,3.155443620884047e-29,1.840327943556062e-25,4.220225276841768e-15,1.3824707660901282e-20,3.7200392975641145e-11,2.5353139920134545e-14,8.453589176955978e-09,3.2311742677852644e-27,0.0,0.0,1.6155871338926322e-27,0.0,1.41999426863211e-17,4.140578835020518e-23,9.298008780347318e-09,9.59343688986365e-17,6.431660040148058e-10,3.7772507149010663e-11
6,3.1754723754212584e-12,1.1360871054304834e-09,4.591200096070708e-08,2.211796250310701e-15,9.909417492183258e-16,1.0122655754015217e-08,1.8008993956335277e-08,3.1754967743807112e-12,1.862690220552601e-08,1.337949455831406e-15,4.327542324263026e-09,5.470990824057048e-13,2.4207636497305422e-08,1.0122655754015142e-08,4.327542324263026e-09,6.061629231398691e-10,5.470990824056956e-13,9.909417492183236e-16,1.8008993956337712e-08,1.1360871055373247e-09,2.4207636497305402e-08,6.061629231398646e-10,9.909417492183236e-16,6.061629231398648e-10,4.5912000960706934e-08,1.862690220552596e-08,2.4207636497305402e-08,5.470990824056953e-13,4.3275423242630185e-09,1.0122655754015172e-08,2.0679516299901823e-24,1.0097419586828951e-28,1.2037062152420224e-35,3.587324068671532e-43,1.2407709188295415e-24,0.0,0.0,3.308722450212111e-24,0.0,0.0,2.465190328815662e-32,1.6543612251060553e-24,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,5.169878828456423e-26,0.0,4.930380657631324e-32,0.0,1.504632769052528e-36,9.860761315262648e-32,1.6543612251060553e-24,0.0,1.0339757656912846e-25,4.8142107589460223e-26,2.3219605980314176e-08,2.22228879985972e-08,5.1514980817094003e-23,4.1809951615743025e-23,3.5450627547431883e-15,1.09449802909426e-15,9.537309886644826e-16,1.4430219883779877e-24,7.823719824133565e-24,1.0309127533637069e-19,8.520678450347319e-17,3.63902951353285e-27,1.6449629891901734e-26,2.5727343827283013e-17,2.2231623400942894e-19,1.7274111261772735e-16,4.930380657631324e-32,0.0,4.930380657631324e-32,9.860761315262648e-32,9.860761315262648e-32,1.9721522630525295e-31,3.0814879110195774e-33,1.0012725559370742e-15,7.395570986446986e-32,1.9721522630525295e-31,2.9582283945787943e-31,1.9721522630525295e-31,1.9721522630525295e-31,3.618915179919496e-25,2.222288799859727e-08,2.5237878234342085e-15,2.465190328815662e-32,1.232595164407831e-32,2.465190328815662e-32,0.0,0.0,1.0339757656912846e-25,6.503039597085861e-23,1.3877874795365602e-22,2.0174930109071868e-16,8.271806125530277e-25,8.271806125530277e-25,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,1.4791141972893971e-31,1.2037062152420224e-35,2.879774450568125e-15,1.0944980006551564e-15,1.1515537479850138e-15,2.321960468282556e-08,0.0,0.0,7.703719777548943e-34,7.703719777548943e-34,7.703719777548943e-34,1.0097419586828951e-28,1.5407439555097887e-33,4.8142107589460223e-26,2.4956460928754115e-24,4.317797837074515e-24,1.0309051443101693e-19,6.897183216329911e-17,2.338205867553801e-17,6.018531076210112e-36,6.018531076210112e-36,0.0,0.0,0.0,8.423003916738822e-27,1.3723967554230148e-26,2.5727343824768793e-17,1.1376382654457374e-19,1.7274111261765823e-16,1.047052796594023e-19
7,4.205946692385657e-11,1.5047886649223212e-08,1.5122619670228663e-08,2.5319022472759654e-17,3.1338562142457255e-18,1.2393953598713224e-09,2.2049809938036176e-09,4.205950649244723e-11,3.777921632075313e-10,3.431085520765148e-17,3.084487364193202e-10,7.246464893422882e-12,7.973577108460312e-09,1.2393953598713214e-09,3.0844873641931905e-10,8.028848241169254e-09,7.2464648934227725e-12,3.1338562142457247e-18,2.204980994231298e-09,1.504788664939647e-08,7.973577108460312e-09,8.028848241169202e-09,3.13385621424573e-18,8.028848241169202e-09,1.5122619670228667e-08,3.7779216320753164e-10,7.973577108460312e-09,7.246464893422774e-12,3.084487364193202e-10,1.2393953598713185e-09,4.652890941758921e-25,1.6155871338926322e-27,9.62964972193618e-35,0.0,5.169878828456423e-26,2.8698592549372254e-42,2.2958874039497803e-41,8.271806125530277e-25,8.271806125530277e-25,0.0,0.0,0.0,3.587324068671532e-43,1.7219155529623352e-41,0.0,1.6543612251060553e-24,2.407412430484045e-35,1.1479437019748901e-41,2.5849394142282115e-26,3.851859888774472e-33,1.925929944387236e-34,0.0,0.0,3.851859888774472e-34,4.1359030627651384e-25,3.851859888774472e-34,0.0,1.1627470779287502e-26,2.2983199941124512e-08,2.199662889232185e-08,1.694973995953114e-23,3.8806100226786486e-26,4.5277130164183665e-17,3.725980147727902e-15,1.1558378822003627e-16,1.696646296633553e-24,2.5874106068779287e-23,8.0103511568884e-18,1.1171042043201159e-15,5.972190225870285e-26,5.809094586158742e-26,1.999108264082628e-15,2.9146323189442144e-18,1.240760590168649e-16,0.0,3.944304526105059e-31,0.0,3.944304526105059e-31,3.944304526105059e-31,0.0,1.232595164407831e-32,3.66844475105464e-15,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,2.199662889232185e-08,2.877244275223256e-16,3.697785493223493e-32,0.0,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,0.0,1.789277442266742e-23,6.893426962876743e-25,1.449120229417949e-16,0.0,0.0,0.0,0.0,0.0,3.851859888774472e-34,0.0,1.7162624484871359e-16,3.7259801487372875e-15,1.3955816293990876e-16,2.2983197648778022e-08,4.930380657631324e-32,0.0,9.860761315262648e-32,0.0,1.9721522630525295e-31,0.0,3.0814879110195774e-33,1.1627470779287502e-26,2.922854907162551e-23,3.888015621556885e-24,8.010343917738662e-18,9.04255743198279e-16,1.8168705101559454e-15,1.925929944387236e-34,0.0,1.5407439555097887e-33,1.925929944387236e-34,7.703719777548943e-34,3.779224042917221e-26,2.7861952867212437e-26,1.999108264058709e-15,1.4914867727144163e-18,1.240760589456992e-16,8.135798527065988e-18
8,3.932797714140414e-09,1.350703765250684e-08,2.63832204421316e-09,3.950502525367615e-09,1.965446213841819e-09,1.5281364535763517e-09,2.5445994393165264e-09,3.932797629120782e-09,7.423486444070927e-10,3.950502801485059e-09,8.293365736653312e-10,1.3046565170368376e-09,1.787942080466262e-09,1.5281364535763499e-09,8.293365736653326e-10,6.720273616714667e-09,1.3046565170368365e-09,1.965446213841818e-09,2.5445992230825575e-09,1.3507037987014024e-08,1.787942080466262e-09,6.720273616714637e-09,1.9654462138418188e-09,6.7202736167146355e-09,2.6383225298002466e-09,7.423484419530137e-10,1.7879420804662615e-09,1.3046565170368373e-09,8.293365736653315e-10,1.528136453576348e-09,1.550963648536927e-25,2.0679515313825692e-25,3.697785493223493e-32,0.0,1.550963648536927e-25,2.465190328815662e-32,4.930380657631324e-32,0.0,4.1359030627651384e-25,0.0,1.0339757656912846e-25,0.0,2.465190328815662e-32,1.8488927466117464e-32,3.697785493223493e-32,1.0339757656912846e-25,1.8488927466117464e-32,1.232595164407831e-32,5.169878828456423e-26,2.465190328815662e-32,2.465190328815662e-32,1.232595164407831e-31,3.697785493223493e-32,0.0,0.0,3.101927297073854e-25,0.0,5.941150061420951e-26,7.032717430192291e-08,1.4668699451154021e-08,6.484349641423891e-17,6.693507650689106e-17,2.507678057028713e-08,1.3300487103456114e-08,1.2008304544100114e-16,4.091063089935735e-17,1.730526147114439e-16,2.5385590511683572e-08,1.0496310948621275e-15,2.6048528173141875e-17,1.1589571331624656e-16,1.5872604705174032e-08,2.940528181720669e-17,6.62690056271567e-09,1.6543612251060553e-24,0.0,1.2407709188295415e-24,1.6543612251060553e-24,1.6543612251060553e-24,3.697785493223493e-32,2.465190328815662e-32,1.3350595573635734e-08,8.271806125530277e-25,1.6543612251060553e-24,8.271806125530277e-25,4.963083675318166e-24,4.963083675318166e-24,1.550963648536927e-25,1.466869946521445e-08,2.504355772179596e-08,4.1359030627651384e-25,4.1359030627651384e-25,2.0679515313825692e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,1.0144440061688282e-16,1.7939882530525045e-16,6.590015217387701e-09,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,2.465190328815662e-32,2.465190328815662e-32,2.5076780630725167e-08,1.3300487241355742e-08,1.082778003226366e-16,1.5639778416105675e-08,0.0,8.271806125530277e-25,0.0,1.2407709188295415e-24,0.0,2.0679515313825692e-25,0.0,5.94114975327216e-26,2.012811627248682e-16,4.4026395254616646e-16,2.53855906603023e-08,7.062279948094372e-16,1.5616994709601625e-08,0.0,0.0,0.0,0.0,0.0,1.0577244308525023e-16,1.5393913609121463e-16,1.587260477463628e-08,4.829423942424833e-17,6.626900273963841e-09,2.536578949560756e-08
9,1.1550917918975567e-08,1.9698568643571456e-08,9.491758223158658e-10,1.1633885068777107e-08,5.723596308138318e-09,7.410020347711939e-10,7.673261426285472e-10,1.1550917749893868e-08,1.1459871071508268e-08,1.1633885372528129e-08,4.027165548895589e-09,3.791014430699466e-09,1.7807426121206078e-09,7.410020347711925e-10,4.027165548895563e-09,8.984145779798917e-09,3.791014430699461e-09,5.723596308138312e-09,7.673259768579927e-10,1.9698569009764475e-08,1.7807426121206074e-09,8.984145779798863e-09,5.723596308138313e-09,8.984145779798861e-09,9.491764358002602e-10,1.1459871303182692e-08,1.780742612120607e-09,3.791014430699464e-09,4.027165548895585e-09,7.410020347711921e-10,4.652890945610781e-24,2.0679515313825692e-24,2.465190328815662e-32,6.008901426488176e-32,1.6543612251060553e-24,0.0,1.4791141972893971e-31,0.0,2.481541837659083e-24,8.271806125530277e-25,0.0,2.0679515313825692e-25,9.860761315262648e-32,4.3140830754274083e-32,4.930380657631324e-32,3.101927297073854e-25,1.4791141972893971e-31,1.8488927466117464e-32,1.0339757656912846e-25,0.0,1.232595164407831e-32,1.9721522630525295e-31,4.930380657631324e-32,4.1359030627651384e-25,2.0679515313825692e-25,8.271806125530277e-25,3.308722450212111e-24,1.4838893017711922e-25,8.137146708804433e-08,1.2237472614254563e-08,5.4157457483338016e-17,1.3712356891287877e-16,2.5590293868753225e-08,1.5319860136285645e-08,1.2278491617504303e-16,8.63044730359596e-17,2.564168936665757e-16,2.5985840236780504e-08,1.1759336012510532e-15,1.2349334353153843e-17,3.5632120455570384e-16,2.0940301010489227e-08,6.567740907885966e-17,7.429752967173491e-09,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,1.232595164407831e-32,1.5357829525020507e-08,0.0,6.617444900424222e-24,1.2407709188295415e-24,6.617444900424222e-24,6.617444900424222e-24,1.0339757656912846e-25,1.2237472771621618e-08,2.54196425703941e-08,2.0679515313825692e-24,0.0,4.1359030627651384e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,2.2879618337497073e-17,1.2089798168205766e-16,7.412155986565638e-09,3.308722450212111e-24,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,4.930380657631324e-32,2.465190328815662e-32,2.559029374508491e-08,1.531985993554614e-08,2.3350573883020714e-16,1.3091080536898034e-08,2.895132143935597e-24,2.481541837659083e-24,8.271806125530277e-25,1.2407709188295415e-24,0.0,2.481541837659083e-24,9.860761315262648e-32,1.4838869290255007e-25,4.187402728067149e-16,5.964754320205634e-16,2.5985840383382488e-08,3.543534474261733e-16,2.0392371119291366e-08,4.963083675318166e-24,4.963083675318166e-24,9.926167350636332e-24,4.963083675318166e-24,8.271806125530277e-24,1.0560421688486373e-16,4.517365861797349e-16,2.0940300879015076e-08,6.666734681513412e-16,7.4297524321856455e-09,2.5880548423670753e-08
