,Y4Z3,Y3Z4,Y2Z5,Y5Z2,Y5Z4,Y4Z5,Y1Z2,Y2Z1,Y5Z0,Y0Z5,Y3Z1,Y1Z3,Y3Z0,Y0Z3,Y0Z1,Y1Z0,Y5Z1,Y1Z5,Y0Z2,Y2Z0,Y3Z2,Y2Z3,Y4Z2,Y2Z4,Y4Z0,Y0Z4,Y4Z1,Y1Z4,Y3Z5,Y5Z3,standard_y,Y2,Y1,X2Y0,X0Y2,X1Y2,X5Y3,X4Y3,X4Y2,X3Y5,X3Y2,X2Y5,X2Y3,Y4,X3Y4,X1Y4,X5Y1,X4Y1,X3Y1,X2Y1,X1Y5,X2Y4,X0Y4,X1Y0,X0Y1,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y3,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9965569925394553,0.9965569925394553,0.9528169091459118,0.9528169091459116,0.8601610372862911,0.8601610372862911,0.8235888725334455,0.8235888725334454,0.81332125135732,0.81332125135732,0.6534725339011759,0.6534725339011758,0.5780913011344705,0.5780913011344704,0.5714025946899135,0.5714025946899134,0.5206693596399246,0.5206693596399246,0.42888905467511473,0.42888905467511457,0.32777281162209315,0.32777281162209315,0.24999667668640035,0.24999667668640035,0.2060982321395018,0.20609823213950174,0.1602295565188197,0.16022955651881965,0.044556382450433085,0.04455638245043308,1.8041124150158794e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002960009321019046,0.002960009321019046,0.9528169091459116,0.9528169091459116,0.8156048513812022,0.002554881162849328,0.8235888725334455,0.8235888725334453,0.81332125135732,0.81332125135732,0.0019409675571573828,0.4932436841806108,0.0017170675160259967,0.37199397812730334,0.5714025946899133,0.5714025946899133,0.5206693596399246,0.5206693596399244,0.4288890546751146,0.4288890546751144,0.0009735625607379435,0.07777723771110226,0.0007425490952904357,0.0777746890772863,0.0006121603608679907,0.37199051894158464,0.00047591957544733865,0.4932400948102724,0.00013234296518063876,0.8156008605276585,1.1099519740820352e-16,0.0,5.551115123125783e-17,0.0,0.0,9.71445146547012e-17,0.0,2.7755575615628914e-17,4.336808689942018e-19,0.0,0.0,1.1102230246251565e-16,0.0,8.131516293641283e-20,8.326672684688674e-17,2.710505431213761e-20,5.551115123125783e-17,5.421010862427522e-20,0.0,2.7755575615628914e-17,5.551115123125783e-17,0.0,5.421010862427522e-20,4.3973463993800786e-17,3.798017649638458e-17,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00017774018078134252,0.00017774018078134252,0.0014488645705640316,0.0014488645705640316,0.0012402180079537106,0.00010882546200898747,0.3029201148553461,0.0012523589019784614,0.0012367458367575723,0.38443269253400325,0.0001165496074793118,0.49324297993082655,0.00010310504380680894,0.3719930722729859,0.5714025946899136,0.5714025946899136,0.0007917359367989817,0.302918560717151,0.38443125637654735,0.0006521737282963283,5.051286464698034e-05,0.0001182673093047416,0.00010882523309354707,0.00011826729533109034,3.6758496817972846e-05,0.3719930598003569,2.857762331243872e-05,0.4932429669887969,5.0512787872392036e-05,0.0012402179860726557,1.1055304620973677e-16,1.0842021724855044e-19,1.1102230246251565e-16,1.0842021724855044e-19,1.0842021724855044e-19,2.710505431213761e-20,1.3234889800848443e-23,2.7755575615628914e-17,0.0,1.3234889800848443e-23,0.0,0.0,1.3234889800848443e-23,1.6940658945086007e-21,5.551115123125783e-17,0.0,2.710505431213761e-20,3.3881317890172014e-21,3.3881317890172014e-21,8.131516293641283e-20,5.421010862427522e-20,0.0,3.3881317890172014e-21,1.1093330224154188e-17,1.5104727565911745e-17,0.0,3.2526065174565133e-19,0.0,0.0,0.0,3.3881317890172014e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0
3,0.00013997154210928608,0.00013997154210928603,0.0009373580425488619,0.0009373580425488617,0.0008023719728567179,8.5700731684948e-05,0.0003802588504178197,0.0003882963892288197,0.0002879041988811913,0.0004825826540787756,1.058774483525922e-05,0.0006191738866904487,1.0587608543954474e-05,0.00046696740842530653,0.0007172885991466309,0.0007172885991466311,0.00028790316487665904,0.00038025803384176106,0.0004825818994922151,0.0003882954184065046,3.977920345405844e-05,7.651426754919734e-05,8.570065623055923e-05,7.651426194264504e-05,6.442508536885735e-06,0.00046696739871533445,6.442467997133868e-06,0.0006191738766150471,3.977917814785969e-05,0.0008023719640775323,1.8761779781682753e-19,1.6263032587282567e-19,5.421010862427522e-20,5.293955920339377e-23,0.0,5.293955920339377e-23,1.6543612251060553e-24,3.469446951953614e-17,0.0,3.308722450212111e-24,1.3234889800848443e-23,5.551115123125783e-17,0.0,2.964615315390051e-21,6.938893903907228e-18,0.0,5.293955920339377e-23,6.617444900424222e-24,0.0,7.940933880509066e-23,5.293955920339377e-23,1.6543612251060553e-24,1.6543612251060553e-24,1.8261744374829548e-17,9.493832383844903e-18,0.0,2.710505431213761e-20,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.7229139962907514e-08,3.7391420618160736e-08,4.0757186529486766e-08,4.039612595892406e-08,3.4493839006969476e-08,2.2651679836510965e-08,8.204080954167773e-10,1.675583591126305e-08,1.2304519561161856e-08,1.0425262923754546e-09,2.8003110323267644e-09,1.3379040472444423e-09,2.8003110323267644e-09,1.0086977686713898e-09,1.5523491733385656e-09,1.5512064396724087e-09,1.2304519561161856e-08,8.204080954167877e-10,1.0425262923754641e-09,1.675583591126305e-08,1.0529010577740624e-08,3.2967828954171662e-09,2.2651679836510935e-08,3.296782895417148e-09,1.6964698266836087e-09,1.0086977686713881e-09,1.6964698266836087e-09,1.3379040472444407e-09,1.0529010577740607e-08,3.4493839006969456e-08,2.223047896236262e-24,3.308722450212111e-24,5.169878828456423e-26,0.0,0.0,0.0,0.0,1.3877787807814457e-17,9.860761315262648e-32,4.930380657631324e-32,0.0,5.551115123125783e-17,4.930380657631324e-32,9.305781891221561e-25,4.163336342344337e-17,1.5407439555097887e-33,0.0,3.0814879110195774e-33,3.0814879110195774e-33,1.8488927466117464e-32,3.0814879110195774e-33,1.232595164407831e-32,1.5407439555097887e-33,5.200229703733093e-18,3.295580531936199e-17,2.05586280293011e-08,0.0,9.491713354164933e-17,3.665736511021129e-16,0.08116519372842179,2.0679515313825692e-25,0.12653836216948178,3.6002111836878077e-16,1.0297158543479914e-16,1.9460865246910016e-17,1.1905541431384074e-17,1.1717696290735093e-17,1.8108539434348315e-17,9.305236300564402e-18,1.8337457910061196e-17,9.566828890731356e-18,2.945476481470013e-17,0.04867122063583671,0.0,0.0,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,1.232595164407831e-32,0.0,1.232595164407831e-32,7.104054704787228e-09,3.877409121342317e-26,2.5849394142282115e-26,3.877409121342317e-26,8.271806125530277e-25,8.271806125530277e-25,0.0,6.162975822039155e-33,3.3140068566933994e-16,5.1421874251115896e-09,1.4217166778255163e-25,0.0,1.4217166778255163e-25,8.271806125530277e-25,8.271806125530277e-25,6.162975822039155e-33,4.550185866943412e-16,0.08116519372842179,4.0645164435984766e-09,4.1359030627651384e-25,1.2924697071141057e-25,2.5849394142282115e-26,4.1359030627651384e-25,4.1359030627651384e-25,0.12653836216948183,4.655134319308853e-16,3.431188996412187e-16,4.595284067526554e-09,1.2924697071141057e-26,1.9387045606711586e-26,6.462348535570529e-27,3.2311742677852644e-27,0.0,3.0814879110195774e-33,4.0436548806565144e-17,2.306413214260533e-17,1.893091608751452e-17,2.257141140093846e-17,1.803563915919092e-10,0.0,0.0,6.462348535570529e-27,1.2924697071141057e-26,0.0,0.0,6.162975822039155e-33,2.908036327673418e-17,2.240869244961897e-17,2.0643511995714137e-17,3.1449988031722505e-17,0.04867122063583671,1.6705822013084081e-10
5,4.627291470783778e-08,5.0618210283457555e-08,9.48241478408537e-05,7.800129373763385e-05,5.625341234670401e-05,3.598644218306222e-08,2.3238251147767325e-09,5.4472724797695186e-05,3.852155859133208e-05,9.999967714490383e-09,8.401148957441116e-09,1.1486097540439526e-09,8.401148957441109e-09,8.027884589026447e-09,7.515502837335245e-09,7.851408283256122e-09,3.8521558591332104e-05,2.3238251114019663e-09,9.99996770898901e-09,5.4472724797695186e-05,3.437173114463055e-08,6.806355185535525e-05,3.598644212406484e-08,6.806355185535535e-05,1.9553744783743633e-08,8.027884589026437e-09,1.9553744783743633e-08,1.1486097540439348e-09,3.437173137178579e-08,5.6253412346704e-05,3.3860638374858188e-21,6.776263578034403e-21,4.1359030627651384e-25,2.0194839173657902e-28,1.0097419586828951e-28,2.524354896707238e-29,1.0097419586828951e-28,2.7755575615628914e-17,1.0097419586828951e-28,5.99534287967969e-29,2.0194839173657902e-28,6.938893903907228e-18,5.048709793414476e-29,3.308722450212111e-24,5.551115123125783e-17,4.930380657631324e-32,1.0097419586828951e-28,1.232595164407831e-32,1.232595164407831e-32,1.262177448353619e-29,1.5146129380243427e-28,1.0097419586828951e-28,0.0,9.955006592258313e-18,9.955006592258323e-18,0.00018370612892733797,3.3881317890172014e-21,7.129610077489582e-12,9.127430263660118e-13,0.09635788044963056,0.0,6.04481218228637e-05,1.542059693346247e-12,7.487247865276597e-12,2.1486150522363165e-12,7.047784843767321e-16,3.3896078706064313e-16,2.838688361298544e-13,2.0380503407688582e-12,4.631786065612082e-16,2.542208154063155e-16,6.0213037768098e-13,0.07816411126590876,1.6543612251060553e-24,8.470329472543003e-22,8.470329472543003e-22,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,7.900320633941042e-05,0.0,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,1.232595164407831e-32,7.852048754865582e-12,5.183422292983673e-08,3.308722450212111e-24,5.686866711302065e-25,0.0,6.617444900424222e-24,6.617444900424222e-24,2.465190328815662e-32,2.3959197889993174e-12,0.09635788044963056,6.106032634477736e-08,3.3881317890172014e-21,0.0,3.3881317890172014e-21,0.0,0.0,6.044851077790206e-05,2.117573563834783e-12,7.495668400398879e-12,0.00010460484186135911,5.169878828456423e-26,4.1359030627651384e-25,4.1359030627651384e-25,2.5849394142282115e-25,6.203854594147708e-25,1.232595164407831e-32,4.092996529185992e-13,1.0240417308017036e-15,1.105387549893208e-15,6.717565911615423e-13,6.7119134616532416e-09,2.481541837659083e-24,0.0,0.0,1.6543612251060553e-24,8.271806125530277e-25,0.0,4.930380657631324e-32,2.6308332494997726e-13,8.283249078589228e-16,1.051134177441953e-15,7.85941639995078e-13,0.07816411126590865,8.101909244509741e-09
6,0.00011329012402872216,4.5517616357921697e-05,3.951015851460568e-05,2.6509809097737355e-07,8.586664261602514e-06,0.00011402865346564435,6.291521530430105e-09,9.084489197356248e-05,1.2318283999262341e-05,7.94949219236753e-09,1.2335092209048675e-05,2.304206145143484e-09,1.2335092209048807e-05,8.847091054119406e-09,1.3339812784796049e-08,1.2697238723614007e-08,1.2318283999262246e-05,6.291521399688531e-09,7.949492131651353e-09,9.084489197356248e-05,4.6725190112285476e-05,4.126792893012653e-05,0.00011402865251428264,4.1267928805482513e-05,4.891778608655262e-05,8.847091039006118e-09,4.891778608655266e-05,2.304206165320865e-09,4.67251897440361e-05,8.586664053007608e-06,9.318603190716133e-21,6.776263578034403e-21,4.1359030627651384e-25,0.0,5.048709793414476e-29,2.524354896707238e-29,2.0679515313825692e-25,0.0,4.1359030627651384e-25,0.0,8.271806125530277e-25,1.3877787807814457e-17,4.1359030627651384e-25,0.0,4.336808689942018e-19,0.0,0.0,5.048709793414476e-29,1.8932661725304283e-29,6.310887241768095e-30,2.0194839173657902e-28,4.1359030627651384e-25,0.0,5.792911513845388e-19,5.79291157846895e-19,5.311982288859858e-05,0.0,6.464490068144275e-09,7.744707133762689e-09,0.00031099632479561295,2.541098841762901e-21,0.0686492337441678,1.0574009133309078e-08,3.84114283969901e-09,3.1742137882050675e-12,1.8957512455755351e-13,3.894820490325975e-12,1.0634263404795445e-12,5.411041490736807e-13,3.767584579683333e-12,1.6716575642565495e-12,8.210306130455058e-13,0.47423715146152373,8.271806125530277e-25,1.6940658945086007e-21,1.6940658945086007e-21,8.470329472543003e-22,0.0,0.0,0.0,0.0,4.0389678347315804e-28,9.001315044510525e-06,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,5.692130929228967e-09,1.821187486287268e-05,3.3881317890172014e-21,4.235164736271502e-22,0.0,6.776263578034403e-21,6.776263578034403e-21,4.0389678347315804e-28,7.0703730074581114e-09,0.0003109970027069253,4.3535827462336534e-05,1.3552527156068805e-20,0.0,3.3881317890172014e-21,6.776263578034403e-21,6.776263578034403e-21,0.06864923298100525,6.903380637300806e-09,4.673400269151543e-09,0.0001059112572805395,1.7933017186208217e-25,7.754818242684634e-26,2.3264454728053903e-25,8.56261180963095e-26,8.271806125530277e-25,0.0,4.885842121140064e-13,1.0169712341763057e-12,2.216794559820337e-12,1.4180535413399913e-12,1.5390950468328824e-08,0.0,0.0,0.0,3.308722450212111e-24,3.308722450212111e-24,1.0097419586828951e-28,4.0389678347315804e-28,1.9149013616197742e-12,2.950252499101184e-12,9.795538428959922e-13,2.0222545585233284e-12,0.4742371514615244,2.9656160773902696e-08
7,0.00035867832873380534,0.0005365502488728032,2.039010287832569e-05,5.262050056178879e-06,5.2839942447334946e-06,0.00035864034437952156,1.300916654326777e-07,2.0360245671807328e-05,5.270728232374027e-06,1.291924584097923e-07,0.0005352277819119509,1.3129501202026672e-07,0.0005352277818959186,1.131299421104152e-07,1.1378092506529366e-07,1.3369209946046783e-07,5.2707282324803584e-06,1.30091665948926e-07,1.2919245783201148e-07,2.0360245671894457e-05,0.000534314759402072,2.0382491223693763e-05,0.00035864034441760947,2.0382451159424424e-05,0.00035781621799109637,1.1312602622697982e-07,0.00035781621798466185,1.312915179928673e-07,0.0005343147592052708,5.283963685258971e-06,1.6874484496081765e-21,1.6940658945086007e-21,6.617444900424222e-24,3.2311742677852644e-27,6.462348535570529e-27,3.2311742677852644e-27,0.0,0.0,0.0,0.0,1.6543612251060553e-24,1.734723475976807e-18,3.308722450212111e-24,5.421010862427522e-20,0.0,1.0339757656912846e-25,3.2311742677852644e-27,5.169878828456423e-25,3.101927297073854e-25,2.0194839173657902e-28,6.462348535570529e-27,3.308722450212111e-24,2.5849394142282115e-26,9.283428353745133e-21,9.28094702964541e-21,0.003106902071524501,0.0,4.354408346888298e-09,5.748782656783499e-08,0.0010176186646672154,5.421010862427522e-20,0.009210821100872731,3.8737825542250845e-08,4.167429736112234e-09,6.387022270301731e-11,2.87244216092639e-10,7.728385935647329e-09,2.1868409591690115e-11,2.9030132171019105e-11,5.280416539404081e-09,1.4722249492263e-09,8.161455259221455e-11,7.081164055308678e-05,0.0,0.0,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,0.0,1.734723475976807e-18,6.462348535570529e-27,6.629145421339699e-06,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,1.6543612251060553e-24,0.0,6.5368121027428454e-09,0.0022773525528303716,5.421010862427522e-20,5.421010862427522e-20,0.0,5.421010862427522e-20,5.421010862427522e-20,1.0339757656912846e-25,5.4801005311568186e-08,0.0010177981637427614,0.0008085255470883508,0.0,2.541098841762901e-21,2.541098841762901e-21,8.470329472543003e-22,8.470329472543003e-22,0.00921082114923407,4.2184443574386284e-08,8.235074230581272e-09,1.2572317192322003e-05,0.0,0.0,2.117582368135751e-22,1.0587911840678754e-22,5.293955920339377e-23,1.0339757656912846e-25,2.897131006047039e-11,1.1564072723467842e-10,8.38146786259561e-09,2.3027834324094502e-11,1.047969398845118e-06,5.293955920339377e-23,0.0,5.293955920339377e-23,1.0587911840678754e-22,5.293955920339377e-23,0.0,0.0,2.3324117156253505e-11,5.3522805046769e-09,1.4746940605203858e-09,8.268635229442906e-11,7.081164034354734e-05,7.745395932718788e-07
8,2.1100919402683297e-07,6.442137643922753e-06,4.839121828608448e-05,1.4050320662340206e-05,1.4050316987339649e-05,2.1056662692666154e-07,3.0517885506002516e-08,4.838741796314621e-05,1.4049625710426535e-05,7.626505457168375e-08,6.44356052894361e-06,3.061272126324362e-08,6.443560528911255e-06,7.628964842037038e-08,7.626337065057345e-08,3.0508184449075604e-08,1.404962571043673e-05,3.051788604915203e-08,7.62650537141216e-08,4.8387417963174375e-05,6.443493623512622e-06,4.839205020087185e-05,2.10566604126547e-07,4.839205018107889e-05,2.1106920387386639e-07,7.628964812707874e-08,2.1106920388492747e-07,3.061272101591467e-08,6.443493612744325e-06,1.4050316973208188e-05,8.569591146049367e-22,0.0,3.308722450212111e-24,1.6155871338926322e-27,3.2311742677852644e-27,1.2116903504194741e-27,0.0,3.3881317890172014e-21,0.0,5.169878828456423e-26,2.5849394142282115e-26,6.776263578034403e-21,2.5849394142282115e-26,0.0,3.3881317890172014e-21,4.0389678347315804e-28,9.693522803355793e-27,0.0,3.0292258760486853e-28,3.0292258760486853e-28,1.2924697071141057e-26,2.5849394142282115e-26,0.0,2.3459095038948065e-21,2.3459607870288905e-21,1.2133091290040693e-05,0.0,2.682917148489805e-10,2.0871923568560365e-09,5.968930592636728e-05,8.470329472543003e-22,2.401143778214901e-05,1.416598589630637e-09,2.4132064212074613e-10,2.6526596141702e-11,1.8730803085911648e-13,4.281971818880071e-11,1.768736333283004e-11,1.7051545117880736e-11,2.7407012555925907e-11,7.78035217616115e-12,7.78094427974856e-11,1.624192224874729e-05,1.3234889800848443e-23,8.470329472543003e-22,1.6940658945086007e-21,8.470329472543003e-22,8.470329472543003e-22,8.470329472543003e-22,0.0,3.3881317890172014e-21,6.462348535570529e-27,1.3119785588015325e-05,6.776263578034403e-21,0.0,3.3881317890172014e-21,1.0164395367051604e-20,1.0164395367051604e-20,0.0,0.0,3.443076016321871e-10,3.372169324870097e-05,1.6940658945086007e-21,8.470329472543003e-22,8.470329472543003e-22,0.0,0.0,2.0194839173657902e-28,1.996676548596804e-09,5.968926350045631e-05,1.2618238934974857e-05,1.6940658945086007e-21,1.6940658945086007e-21,1.6940658945086007e-21,1.6940658945086007e-21,1.6940658945086007e-21,2.4011649090590312e-05,1.5422505621034588e-09,3.771296291481136e-10,2.0466722367188917e-05,0.0,3.970466940254533e-23,1.3234889800848443e-23,2.6469779601696886e-23,3.970466940254533e-23,2.0194839173657902e-28,1.098926882876254e-12,2.0149570538251805e-12,4.565147758705162e-11,1.891645936435052e-11,3.805005635859712e-07,5.293955920339377e-23,2.6469779601696886e-23,2.6469779601696886e-23,0.0,2.6469779601696886e-23,0.0,0.0,1.2835882876408416e-11,2.7722469503847446e-11,7.819653164733908e-12,7.865486284091275e-11,1.6241922228399322e-05,2.398323748449186e-07
9,1.8702208157127673e-08,1.6715748016343648e-08,3.0555252651219264e-08,9.888840197384887e-09,9.88883746146638e-09,1.8702209207546188e-08,3.807829644525811e-09,3.055525232852223e-08,9.888840680303947e-09,2.5590109858801012e-08,1.6715750532543377e-08,3.807803463289821e-09,1.671575053253713e-08,2.55900798477341e-08,2.559009006086258e-08,3.807834182062977e-09,9.88884068030357e-09,3.807829644525824e-09,2.559010985880096e-08,3.0555252328523316e-08,1.671574964897444e-08,3.055525183875348e-08,1.8702209207546132e-08,3.055525183875333e-08,1.8702209495304996e-08,2.559007984773332e-08,1.8702209495306994e-08,3.8078034632892e-09,1.6715749648974428e-08,9.888837461466285e-09,2.895132143935597e-24,3.308722450212111e-24,4.1359030627651384e-25,2.465190328815662e-32,6.162975822039155e-33,9.860761315262648e-32,0.0,0.0,2.465190328815662e-32,0.0,9.860761315262648e-32,0.0,4.930380657631324e-32,0.0,1.3234889800848443e-23,3.944304526105059e-31,3.944304526105059e-31,1.1832913578315177e-30,3.944304526105059e-31,2.1570415377137042e-32,3.944304526105059e-31,0.0,7.888609052210118e-31,1.5302272994926655e-26,1.5301678267759828e-26,2.854267832339378e-08,8.271806125530277e-25,7.568439032730878e-16,4.348178715439552e-15,4.614890697798946e-09,0.0,1.7205309918682408e-07,2.874736659057617e-15,6.646845778943598e-16,1.2586824939483757e-16,1.4898266947926923e-15,3.395770485067797e-14,2.5972727770389625e-15,1.5473680718513071e-15,1.9837088876359685e-14,6.303936397802612e-15,1.1995070182152256e-14,6.028171872134752e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,0.0,5.989030763774258e-09,6.617444900424222e-24,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,0.0,0.0,9.203146010127052e-16,1.140310445511614e-07,0.0,6.617444900424222e-24,6.617444900424222e-24,0.0,0.0,0.0,4.1577527264457656e-15,4.614890166407489e-09,4.558413861743235e-08,0.0,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,1.7205309927077436e-07,3.162522174814652e-15,9.470964501491097e-16,8.043347769220073e-09,6.617444900424222e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,6.617444900424222e-24,1.5777218104420236e-30,3.7861784374832535e-15,2.757133225444173e-15,3.570910967285018e-14,2.7990490980921065e-15,9.087660708907709e-08,6.617444900424222e-24,3.308722450212111e-24,6.617444900424222e-24,3.308722450212111e-24,0.0,3.944304526105059e-31,9.860761315262648e-32,9.272603158299333e-16,2.0080921250336207e-14,6.340569238367701e-15,1.213826020432499e-14,6.028171210410505e-09,5.422827628911722e-08
