,Y3Z4,Y4Z3,Y5Z2,Y2Z5,Y3Z1,Y1Z3,Y3Z0,Y0Z3,Y0Z5,Y5Z0,Y4Z0,Y0Z4,Y4Z1,Y1Z4,Y3Z2,Y2Z3,Y2Z0,Y0Z2,Y2Z1,Y1Z2,Y3Z5,Y5Z3,Y5Z4,Y4Z5,Y1Z0,Y0Z1,Y5Z1,Y1Z5,Y4Z2,Y2Z4,standard_y,X5Y3,X1Y5,Y0,X3Y2,X1Y3,Y5,Y4,X5Y4,X3Y4,X2Y4,X2Y3,X1Y4,X1Y2,X0Y4,X0Y3,X5Y1,Y2,X5Y2,X4Y5,X4Y1,X4Y0,X3Y5,X2Y5,X2Y0,X0Y5,X3Y1,X5Y0,X1Y0,X0Y1,standard_x,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y1,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9470780060029439,0.9470780060029437,0.9329624000750505,0.9329624000750505,0.8000204571334277,0.8000204571334277,0.7707838056590222,0.7707838056590222,0.7319589730332557,0.7319589730332556,0.7055132269340281,0.7055132269340278,0.5329014146425715,0.5329014146425713,0.45594588118356716,0.45594588118356716,0.45492700451402135,0.45492700451402124,0.43351443489540376,0.43351443489540376,0.3353507759400101,0.33535077594001006,0.3094059291400342,0.3094059291400342,0.14566925510413034,0.14566925510413026,0.08015370917850195,0.08015370917850193,0.047887516459941715,0.04788751645994171,1.249000902703301e-16,1.1102230246251565e-16,1.1102230246251565e-16,9.71445146547012e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0013025760605432147,0.0013025760605432147,0.9329624000750505,0.9329624000750506,0.0011003185469430096,0.26711954651549286,0.0010601075378607356,0.06527124600798113,0.7319589730332559,0.7319589730332559,0.000970336797999721,0.06526984970830035,0.0007329328956466856,0.2671182858217822,0.0006270911012277796,0.4080584100162208,0.45492700451402146,0.45492700451402135,0.43351443489540387,0.43351443489540387,0.0004612290538427843,0.02594513943986513,0.025944529621135165,0.00042554547115803885,0.1456692551041303,0.1456692551041303,0.08015370917850209,0.08015370917850195,6.586271895685363e-05,0.40805793348446817,2.7863995832877464e-17,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.0,5.421010862427522e-20,2.7755575615628914e-17,1.0842021724855044e-19,0.0,0.0,1.0842021724855044e-19,1.0842021724855044e-19,8.131516293641283e-20,5.551115123125783e-17,0.0,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.0,5.421010862427522e-20,0.0,1.3552527156068805e-20,1.0842021724855044e-19,0.0,0.0,1.3877787807814457e-17,6.776263578034403e-21,0.0,1.7254636853276435e-17,2.64481405568725e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.131516293641283e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,2.7440839019577984e-05,2.7440839019577987e-05,0.0009821355892364347,0.000982135589236435,2.317996240797439e-05,0.26711904271454306,2.2332853467110463e-05,0.06527057902113505,0.2770322205923079,0.0007705379736837015,2.0441689875352756e-05,0.06527057840145571,1.5440398615345655e-05,0.2671190421550458,3.4941535412293234e-06,0.0004295656957538659,0.0004789046178088233,0.27703156294395265,0.0004563634664422136,0.3533607701297232,3.4941408373691386e-06,2.7312309183143242e-05,2.731230889824062e-05,7.5772907254169244e-06,0.1456692551041303,0.14566925510413026,8.437833120303806e-05,0.3533604855084399,7.577284989254718e-06,0.00042956569553123387,1.3881175939603474e-17,1.6543612251060553e-24,5.421010862427522e-20,1.3877787807814457e-17,8.271806125530277e-25,8.470329472543003e-22,5.421010862427522e-20,1.6940658945086007e-21,3.308722450212111e-24,2.7755575615628914e-17,3.308722450212111e-24,0.0,3.3881317890172014e-21,6.776263578034403e-20,1.6940658945086007e-21,0.0,0.0,5.421010862427522e-20,2.7755575615628914e-17,8.271806125530277e-25,4.235164736271502e-22,4.235164736271502e-22,8.271806125530277e-25,2.7755575615628914e-17,5.421010862427522e-20,0.0,4.235164736271502e-22,0.0,2.779467654369646e-19,5.7942626942781815e-18,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0
3,5.022366304345404e-05,5.0223663043454034e-05,0.0014229471292970565,7.141197764718759e-07,3.602998582208449e-05,0.0001225390834352367,4.087475993466324e-05,0.0652705797170142,0.42270163878776446,0.0012213042857776967,3.7413453123864855e-05,0.0652705776411974,4.2128156768833606e-05,0.00012253908257545192,3.602998068507051e-05,3.123411492559413e-07,3.48215931047666e-07,0.42270018939619314,3.3182605356855144e-07,0.000162101932525894,3.602998004109592e-05,4.3290067188712304e-05,4.329006567602813e-05,4.21281422913483e-05,6.682480136432899e-05,0.42270017557395645,0.0014229469514257297,0.00016210160450840422,4.212815525452098e-05,3.123411487136794e-07,5.293955920339377e-23,9.926167350636332e-24,2.6469779601696886e-23,0.0,3.2311742677852644e-27,1.6543612251060553e-24,0.0,0.0,6.617444900424222e-24,1.3877787807814457e-17,1.6155871338926322e-27,6.462348535570529e-27,0.0,8.131516293641283e-20,3.3881317890172014e-21,6.776263578034403e-21,3.308722450212111e-24,5.293955920339377e-23,0.0,6.617444900424222e-24,1.0339757656912846e-25,0.0,0.0,0.0,1.3234889800848443e-23,1.0842021724855044e-19,5.169878828456423e-25,0.0,1.9031768100089874e-21,4.323952248564874e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8467614016778965e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.940933880509066e-23,0.0,0.0,0.0,0.0,0.0,0.0
4,5.824440812036593e-05,5.824440812036592e-05,6.841756239298509e-08,8.133630341333927e-12,5.618424151285194e-06,6.87615431290892e-08,5.618489951358195e-06,7.922279192706129e-05,0.0005130576610410146,5.8722254171636274e-08,5.46763639313907e-06,7.922278853851523e-05,5.467704459383922e-06,6.876154248022707e-08,5.61842415128864e-06,6.942987070199248e-12,8.133612946734238e-12,0.0005130576582803705,7.37611424187842e-12,1.2845981967996904e-07,5.618424256007557e-06,2.0814553529928463e-09,2.081455255174836e-09,5.467704341012245e-06,1.2845978009129615e-07,0.0005130576582803653,6.841756239298239e-08,1.284598194730388e-07,5.467704459381932e-06,6.942987053987942e-12,5.0954317655330835e-21,2.0194839173657902e-28,0.0,0.0,0.0,0.0,6.617444900424222e-24,8.470329472543003e-22,4.0389678347315804e-28,1.3877787807814457e-17,0.0,4.930380657631324e-32,2.0194839173657902e-28,0.0,0.0,0.0,9.860761315262648e-32,8.077935669463161e-28,0.0,4.0389678347315804e-28,4.0389678347315804e-28,6.617444900424222e-24,4.0389678347315804e-28,6.462348535570529e-27,1.9721522630525295e-31,0.0,1.2116903504194741e-27,0.0,1.1981032532041952e-27,1.1779003218145788e-27,0.0,0.0,0.0,0.0,4.235164736271502e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3.839053288770394e-06,3.839078794280705e-06,1.7283390089967101e-10,1.6108198781908183e-15,3.670274747626014e-07,4.95761709185248e-09,3.6702747476398493e-07,4.422839939875792e-08,2.8692996179735045e-07,1.7281895861184928e-10,3.5717808516649233e-07,4.422839939055311e-08,3.571780851679267e-07,4.9576170916491e-09,3.670274747626026e-07,1.3741643888811856e-15,1.6108198762789073e-15,2.869299617765377e-07,1.4602036421192327e-15,9.278301529222669e-09,3.6702747476265425e-07,2.759369683359262e-12,2.75936968279185e-12,3.571780851678676e-07,9.278301529221665e-09,2.869299617765377e-07,1.7283390089967096e-10,9.278301529222555e-09,3.57178085167926e-07,1.3741643888671226e-15,1.0710696462854594e-22,1.232595164407831e-32,9.62964972193618e-35,0.0,3.76158192263132e-37,3.1554436208840472e-30,1.2924697071141057e-26,5.293955920339377e-23,0.0,0.0,7.52316384526264e-37,1.504632769052528e-36,1.5777218104420236e-30,6.617444900424222e-24,0.0,1.0097419586828951e-28,4.81482486096809e-35,0.0,3.944304526105059e-31,0.0,3.1554436208840472e-30,1.0097419586828951e-28,4.930380657631324e-32,0.0,1.925929944387236e-34,0.0,0.0,0.0,1.565986319161255e-32,4.155786157231482e-33,7.241519224736165e-07,5.860338091810561e-17,8.525685763892511e-17,0.003249372985087607,1.5881867761018131e-22,4.395780438263507e-16,1.2917393750537256e-21,5.018717724908355e-22,3.9532435668358306e-19,1.469695463663878e-14,1.4199673878455708e-14,5.734650796557636e-09,1.2407709188295415e-24,5.402287852437049e-09,5.812859455412466e-13,5.220754848073776e-13,6.796119050165871e-19,2.0349791557479476e-16,6.563322731438818e-28,6.563322731438818e-28,1.6155871338926322e-27,1.6155871338926322e-27,1.6155871338926322e-27,2.762821402086279e-11,2.6469779601696886e-23,0.0,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,0.0,3.76158192263132e-37,1.5861187329986158e-16,3.6791508485639656e-07,0.0,6.617444900424222e-24,0.0,0.0,0.0,1.0097419586828951e-28,1.6351699593832889e-16,0.003249372985087612,3.6809345787194027e-07,0.0,2.465190328815662e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,9.926167350636332e-24,4.395780438956664e-16,2.6897453603052877e-21,2.9411007642618634e-21,1.9726924285456612e-16,0.0,2.5849394142282115e-26,5.169878828456423e-26,2.5849394142282115e-26,0.0,6.49302882932132e-19,1.488405189765596e-14,1.6667106180163856e-14,5.7346507965576375e-09,5.965209750733378e-10,0.0,0.0,0.0,0.0,0.0,1.925929944387236e-34,5.402287862609029e-09,6.280967028126128e-13,5.564436560367705e-13,6.796673359908387e-19,3.5073569600394584e-16,1.2425513213042046e-08
6,1.1767706242444318e-07,1.200314054457999e-07,4.391106159429572e-09,1.834104943484662e-14,1.176801126749776e-07,2.6311386983531083e-09,1.1768011268700541e-07,5.1611906997434265e-06,5.161233667999381e-06,4.3831053025746715e-09,1.2003440093110062e-07,5.1611906997409345e-06,1.2003440094383306e-07,2.6311386983488007e-09,1.1768011267497748e-07,9.017265106710545e-14,1.83410458290564e-14,5.1612336183145825e-06,4.313364396485709e-14,2.631534509592643e-09,1.1768011267232891e-07,4.389043052890631e-09,4.389043052891382e-09,1.2003440094614636e-07,2.6315345087798783e-09,5.1612336183145825e-06,4.391106159429579e-09,2.631534508982249e-09,1.200344009438332e-07,9.017265106710037e-14,4.1358399538927207e-25,0.0,3.0814879110195774e-33,0.0,6.018531076210112e-36,7.888609052210118e-30,4.1359030627651384e-25,0.0,0.0,0.0,3.009265538105056e-36,2.407412430484045e-35,9.860761315262648e-32,9.926167350636332e-24,2.0194839173657902e-28,3.7865323450608567e-29,0.0,6.310887241768095e-30,2.524354896707238e-29,3.697785493223493e-32,1.9721522630525295e-31,8.077935669463161e-28,3.944304526105059e-31,0.0,2.465190328815662e-32,0.0,1.5777218104420236e-30,1.3234889800848443e-23,2.116944227872286e-31,1.4976154938948211e-31,3.540106878425003e-06,6.257114179898507e-16,2.017817292268961e-15,2.286793332946724e-06,0.0,2.1306423498666394e-13,8.700946259612607e-20,1.2827608781352749e-20,9.618389686528324e-17,2.6499960387311085e-15,1.1231864315039401e-14,2.511000104513914e-06,0.0,5.995925295890987e-06,3.897604934658512e-12,5.470821609130154e-13,8.413283004223567e-17,1.822744633249801e-14,8.271806125530277e-25,0.0,0.0,0.0,0.0,8.356657912831858e-09,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.117582368135751e-22,6.018531076210112e-36,2.300607326252213e-16,3.949754980156126e-07,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,5.048709793414476e-29,1.1353493755579326e-15,2.2867933329466307e-06,3.8756972785743206e-07,0.0,2.524354896707238e-29,2.524354896707238e-29,5.048709793414476e-29,5.048709793414476e-29,9.926167350636332e-24,2.1306423312211685e-13,1.174402038401958e-19,1.0278237085767256e-19,2.725381610349281e-13,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,0.0,4.1359030627651384e-25,1.1783184029595911e-16,3.420373383650256e-15,5.273020887893747e-15,2.5110001045139166e-06,6.453755490862849e-09,0.0,4.235164736271502e-22,4.235164736271502e-22,0.0,0.0,1.232595164407831e-32,5.995925332148254e-06,6.468180373633537e-12,1.980382448722499e-12,8.300507817087252e-17,1.8748235014798887e-14,2.772371793417492e-06
7,1.3752242876215142e-08,1.401607254937932e-08,1.0488967789415683e-10,1.633894893237767e-14,1.3752248985216462e-08,4.75708927456822e-09,1.375224898521541e-08,1.2049277333766712e-08,1.2049274570920587e-08,1.0488953821776993e-10,1.4016078546368924e-08,1.2049277333766666e-08,1.401607854636903e-08,4.7570892745681786e-09,1.375224898521635e-08,1.539071655579386e-14,1.633894893295039e-14,1.204927458643924e-08,1.2217686499347124e-14,4.757081599115329e-09,1.37522489852154e-08,1.0488949060700381e-10,1.0488949060700394e-10,1.4016078546368937e-08,4.75708159911444e-09,1.2049274586439243e-08,1.0488967789415796e-10,4.757081599114443e-09,1.401607854636912e-08,1.539071655579387e-14,2.8951297773528812e-24,0.0,5.7777898331617076e-34,8.271806125530277e-25,0.0,1.9721522630525295e-31,0.0,8.271806125530277e-25,0.0,0.0,4.70197740328915e-38,9.4039548065783e-38,0.0,1.0339757656912846e-25,9.860761315262648e-32,3.0814879110195774e-33,7.703719777548943e-34,2.3665827156630354e-30,9.860761315262648e-32,7.222237291452134e-35,2.465190328815662e-32,0.0,0.0,1.9721522630525295e-31,7.703719777548943e-34,1.6543612251060553e-24,3.944304526105059e-31,8.271806125530277e-25,5.3829053386031924e-33,4.625229836301444e-33,8.535320558426502e-08,1.5789372744641608e-18,4.530966124221348e-19,2.3950250394955373e-09,8.271806125530277e-25,8.656194444989206e-16,3.0000022106056493e-22,6.717305796266397e-23,9.71275146725958e-18,4.938508382011157e-16,2.803411151076678e-16,8.993523073753274e-08,4.1359030627651384e-25,3.0140823272078224e-08,5.729212595515373e-16,1.1605611263828546e-16,8.728070408357957e-18,9.223877372149877e-17,2.5849394142282115e-26,2.5849394142282115e-26,2.5849394142282115e-26,2.5849394142282115e-26,2.5849394142282115e-26,3.0841191112669444e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.350988701644575e-38,9.50530765833507e-19,3.3273812178814065e-08,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,2.011251473014409e-18,2.3950250394955373e-09,3.264748844863966e-08,1.5777218104420236e-30,3.1554436208840472e-30,0.0,1.5777218104420236e-30,1.5777218104420236e-30,2.0679515313825692e-25,8.656194442236559e-16,9.673389027966802e-22,7.997470535032238e-22,1.5330653656896894e-14,4.1359030627651384e-25,1.2407709188295415e-24,0.0,1.2407709188295415e-24,1.2407709188295415e-24,9.22556237033748e-18,6.217281302869555e-16,8.149844927891911e-16,8.99352307375325e-08,1.2489019195742405e-08,8.271806125530277e-25,4.1359030627651384e-25,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,3.014082326863351e-08,1.117713562935521e-15,4.1960485882354996e-16,8.72796859163125e-18,7.11591526397127e-17,7.251313002849254e-09
8,7.716016666222056e-09,7.864044456398343e-09,1.0778062907211429e-10,2.4012323929610542e-15,7.716020018736813e-09,1.5418644379380515e-09,7.716020018736826e-09,4.608199939323731e-09,4.608198876907163e-09,1.0778064315067646e-10,7.864047747443811e-09,4.6081999393237244e-09,7.864047747443646e-09,1.5418644379380474e-09,7.716020018736806e-09,2.494926884492655e-15,2.4012323928881e-15,4.608198879550538e-09,2.492485438032241e-15,1.5418618803363473e-09,7.716020018736826e-09,1.0778061494149234e-10,1.0778061494149239e-10,7.864047747443811e-09,1.5418618803363432e-09,4.608198879550538e-09,1.0778062907211442e-10,1.5418618803363432e-09,7.86404774744365e-09,2.4949268844926562e-15,1.1309109937248425e-24,7.703719777548943e-34,4.81482486096809e-35,4.1359030627651384e-25,1.1754943508222875e-38,4.930380657631324e-32,6.462348535570529e-27,8.271806125530277e-25,1.925929944387236e-34,6.617444900424222e-24,0.0,1.1754943508222875e-38,9.244463733058732e-33,3.101927297073854e-25,1.232595164407831e-32,0.0,3.851859888774472e-34,0.0,1.232595164407831e-32,2.407412430484045e-35,1.8488927466117464e-32,0.0,0.0,0.0,0.0,8.271806125530277e-25,4.930380657631324e-32,4.1359030627651384e-25,7.362566894438056e-34,1.9378240796566473e-34,3.794441868041955e-08,9.102895332966163e-19,2.608353521550922e-19,1.5113256293652205e-09,0.0,1.0730060824013476e-16,6.850371061663781e-23,5.446125337724967e-23,3.235238271305807e-18,8.980908772205147e-17,5.0981152584040564e-17,1.056931664008429e-09,1.0339757656912846e-25,5.362042938888094e-09,1.2293758639457934e-16,2.490335656469743e-17,2.9066966668434986e-18,1.1433752255741289e-17,2.5849394142282115e-26,0.0,0.0,0.0,0.0,3.16947464281206e-10,1.6543612251060553e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,6.617444900424222e-24,1.1754943508222875e-38,5.481187766954427e-19,1.866904507503126e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.1600397672900475e-18,1.5113256293652203e-09,1.8317631599435734e-08,3.944304526105059e-31,3.944304526105059e-31,0.0,3.944304526105059e-31,3.944304526105059e-31,2.0679515313825692e-25,1.0730060819843329e-16,1.9771245215372795e-22,7.487673310046102e-23,5.660558404038596e-15,0.0,0.0,0.0,2.0679515313825692e-25,4.1359030627651384e-25,3.072683287939608e-18,1.1306416952261192e-16,1.4820893148367595e-16,1.0569316640084307e-09,4.047932209865802e-09,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,5.3620429375341085e-09,2.398392905909795e-16,9.003894243888556e-17,2.9067205709933343e-18,8.820758530484209e-18,2.773237079073638e-09
9,7.600549213496277e-09,7.749180477373848e-09,1.5746710071884922e-10,1.9029264369053103e-10,7.60055252575613e-09,1.5688005139533358e-09,7.600552525756144e-09,4.4417989702489676e-09,4.441797951823589e-09,1.5746708812788543e-10,7.749183727932999e-09,4.441798970248962e-09,7.749183727932833e-09,1.5688005139533325e-09,7.600552525756124e-09,1.9029254912024067e-10,1.9029264369053082e-10,4.441797942730275e-09,1.9029255204545672e-10,1.5687979200672606e-09,7.600552525756144e-09,1.5746711480569579e-10,1.5746711480569584e-10,7.749183727933e-09,1.5687979208131297e-09,4.4417979427302755e-09,1.574671007188492e-10,1.5687979208131297e-09,7.749183727932838e-09,1.9029254912024064e-10,2.972680326362443e-25,3.0814879110195774e-33,5.7777898331617076e-34,4.1359030627651384e-25,7.703719777548943e-34,4.930380657631324e-32,2.5849394142282115e-26,0.0,1.5407439555097887e-33,6.617444900424222e-24,0.0,1.5407439555097887e-33,6.162975822039155e-33,2.0679515313825692e-25,0.0,4.81482486096809e-35,0.0,1.2924697071141057e-26,0.0,1.5407439555097887e-33,1.232595164407831e-32,0.0,1.5407439555097887e-33,1.232595164407831e-32,1.5407439555097887e-33,8.271806125530277e-25,0.0,8.271806125530277e-25,5.216756226050481e-34,6.127782700687689e-34,4.4267077943177927e-08,4.14788906652849e-18,2.8954225229024484e-18,1.5016448148870926e-09,0.0,1.0557772795320608e-16,4.781574146577724e-18,3.692461670417471e-18,1.9610500086377774e-18,9.606947062102538e-17,2.882681883592288e-17,1.0344683252304289e-09,1.0339757656912846e-25,5.327107843434614e-09,1.5362352681679363e-16,2.2954111542406592e-17,8.901990017936037e-18,8.6832626630773e-18,0.0,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,1.370796734442026e-09,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,1.5407439555097887e-33,8.596641438741145e-18,1.9804424139999315e-08,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,7.703719777548943e-34,7.2297055355902e-18,1.5016448148865456e-09,1.9455540475613015e-08,0.0,1.0339757656912846e-25,2.0679515313825692e-25,1.0339757656912846e-25,1.0339757656912846e-25,0.0,1.0558180911286759e-16,7.86820504475099e-18,6.687947282048663e-18,1.433671437756167e-09,0.0,0.0,4.1359030627651384e-25,0.0,4.1359030627651384e-25,7.366215235074816e-18,1.2091441006506157e-16,1.843029396354252e-16,1.034468320183525e-09,4.357274398203071e-09,4.1359030627651384e-25,2.0679515313825692e-25,0.0,0.0,0.0,1.5407439555097887e-33,5.327107851801506e-09,2.670826983637428e-16,8.871219465414663e-17,1.207154023128912e-18,1.0287161868884463e-17,2.1546292428356673e-09
