,Y3Z1,Y1Z3,Y4Z0,Y0Z4,Y0Z5,Y5Z0,Y3Z0,Y0Z3,Y5Z4,Y4Z5,Y3Z5,Y5Z3,Y2Z0,Y0Z2,Y1Z0,Y0Z1,Y4Z2,Y2Z4,Y4Z1,Y1Z4,Y2Z1,Y1Z2,Y1Z5,Y5Z1,Y4Z3,Y3Z4,Y2Z5,Y5Z2,Y3Z2,Y2Z3,X5Y1,X3Y4,X3Y0,X2Y0,X1Y4,X0Y3,Y4,X3Y1,X1Y5,X1Y3,standard_y,Y2,Y1,X5Y3,X5Y2,X5Y0,X4Y1,X3Y5,X3Y2,X2Y5,X2Y3,X1Y2,X0Y1,X1Y0,Y5,X2Y4,X0Y5,X0Y4,standard_x,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y3,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y1,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.948840439800687,0.9488404398006869,0.8986446412645934,0.898644641264593,0.8821865274686768,0.8821865274686767,0.8433262052335756,0.8433262052335756,0.7763774630051202,0.7763774630051202,0.6105853468289091,0.6105853468289089,0.5857468547498617,0.5857468547498617,0.5289353829404122,0.5289353829404122,0.5116781206617862,0.5116781206617862,0.4240745302698916,0.4240745302698913,0.36469580199250756,0.36469580199250756,0.3061837653900229,0.3061837653900228,0.2742295663585874,0.2742295663585874,0.1548233486450737,0.15482334864507363,0.09453289645946558,0.0945328964594655,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0013469041651421848,0.0013469041651421845,0.8986446412645932,0.898644641264593,0.8821865274686767,0.8821865274686769,0.0011971239112039303,0.31439135521051687,0.7763774630051201,0.7763774630051201,0.0008667420910004593,0.3044018899276868,0.5857468547498617,0.5857468547498617,0.0007508378021105104,0.3143899726181669,0.5116781206617862,0.5116781206617862,0.14984524020534587,0.0006019850411004991,0.2701630007776082,0.0005176953617372815,0.0004346359741890512,0.3044009662568853,0.14984453664422437,0.0003892761413195082,0.1548233486450736,0.15482334864507363,0.00013419195329717956,0.27016253809171004,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,1.0842021724855044e-19,1.0842021724855044e-19,1.942890293094024e-16,1.3877787807814457e-17,5.421010862427522e-20,0.0,2.500170209751573e-16,5.551115123125783e-17,0.0,2.168404344971009e-19,2.7755575615628914e-17,8.326672684688674e-17,2.710505431213761e-20,1.0842021724855044e-19,5.421010862427522e-20,5.551115123125783e-17,2.168404344971009e-19,5.421010862427522e-20,2.371692252312041e-20,2.371692252312041e-20,2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,6.804183898008069e-05,6.804183898008067e-05,0.00043258260962277407,0.00043258260962277396,0.00042466013004810324,0.10580915441436778,4.081021676985624e-05,0.00015133902400614745,0.10580896225374561,0.0003737265806497789,4.378539120998715e-05,0.30440158222614555,0.07406879337091687,0.00028196229229104344,7.519629535739676e-06,0.00015133902230769373,0.00024630765773139547,0.07406866622365735,7.213121055435123e-05,7.519621617795437e-06,0.270162905776105,2.615252469751197e-05,2.1956596271717688e-05,0.30440157986894956,7.213120969005756e-05,4.081020748480667e-05,0.15482334864507363,0.15482334864507363,6.779002927580464e-06,0.27016290459533654,2.117582368135751e-22,2.481541837659083e-24,1.6543612251060553e-24,4.0657581468206416e-20,0.0,3.308722450212111e-24,8.131516293641283e-20,1.3877787807814457e-17,6.352747104407253e-22,1.3877787807814457e-17,5.5420518705901617e-17,2.7755575615628914e-17,2.541098841762901e-21,0.0,0.0,4.0657581468206416e-20,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,7.237830359838992e-25,2.0679515313825692e-25,2.7755575615628914e-17,5.421010862427522e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,2.710505431213761e-20,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0
3,3.9293377696955485e-09,2.206484210641319e-06,0.00037305930839373434,0.0003730593083937343,0.0002357122589611982,0.00012762262540817016,2.3567429430582556e-09,0.00023571189762632125,0.00012762245302829408,0.00038450778146748314,2.528555871229027e-09,0.0003671566763795599,0.07406877817874093,0.00024316432379687324,3.6002709594157953e-07,0.00023571189762752038,0.0002124157615246803,0.07406868361499955,0.0003845075922709618,3.600268139936717e-07,0.4249861415577224,1.2521386331883523e-06,2.2064810762518004e-06,0.0003671566763730423,0.00038450759227115294,2.356742544267402e-09,0.42498605765679165,0.0001867415597693094,3.9147960495330036e-10,0.4249861415559283,7.754818242684634e-26,5.048709793414476e-29,1.0097419586828951e-28,0.0,1.0339757656912846e-25,0.0,0.0,2.710505431213761e-20,9.04728794979874e-26,2.710505431213761e-20,1.3619115195379324e-20,0.0,6.617444900424221e-23,2.117582368135751e-22,2.710505431213761e-20,0.0,1.2924697071141057e-25,0.0,0.0,0.0,0.0,2.6469779601696886e-23,3.7939334627255435e-26,2.736468192615897e-26,2.710505431213761e-20,2.710505431213761e-20,2.6469779601696886e-23,5.551115123125783e-17,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,3.970466940254533e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.940933880509066e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7.40055040657151e-13,1.6432842258023114e-10,0.0003114814196480153,0.0003114814196480153,6.2219614118768695e-06,4.064225799004403e-07,4.929873577020397e-13,6.221961416434188e-06,4.0642219721201667e-07,0.0001436863310951883,5.289274747196936e-13,1.7639250387153534e-06,8.397959576640286e-05,6.222218411792369e-06,2.6813107810076785e-11,6.22196141643503e-06,0.00014368601074538838,8.397952102317528e-05,0.0001436863310922727,2.6813093171818265e-11,0.00048185188340270574,9.325334700337587e-11,1.6432842257786375e-10,1.7639250387152788e-06,0.0001436863310922779,4.929872995483485e-13,0.00048185188340173224,1.7639246694226328e-06,7.400544597095243e-13,0.00048185188340269696,3.0814879110195774e-33,2.465190328815662e-32,4.622231866529366e-33,1.3234889800848443e-23,3.1554436208840472e-30,4.930380657631324e-32,1.3552527156068805e-20,1.0339757656912846e-25,2.465190328815662e-32,1.0339757656912846e-25,8.7879708667312e-21,0.0,4.0389678347315804e-27,1.3234889800848443e-23,0.0,0.0,1.5777218104420236e-30,0.0,0.0,1.0339757656912846e-25,9.860761315262648e-32,1.6543612251060553e-24,1.1852221043640074e-30,1.5357523950731745e-31,1.0587911840678754e-22,0.0,1.0339757656912846e-25,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.658681209898652e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,2.6469779601696886e-23,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0
5,6.034453114645059e-16,2.7509334773179432e-11,2.9351882703497186e-06,2.94277149594621e-06,5.830841444803165e-08,1.5608164306168511e-09,4.0033769339271196e-16,5.830841444803228e-08,1.5608164304864149e-09,1.3453501277501113e-06,4.297359590939877e-16,6.78770985729549e-09,9.368744048168935e-08,5.8308414451026404e-08,2.837088683318851e-12,5.8308414448032566e-08,1.3453501277463903e-06,9.368744047423115e-08,1.3453501277501081e-06,2.8370886831801062e-12,5.384967475742383e-07,2.7492276972884118e-11,2.7509334773179432e-11,6.787709857295477e-09,1.3453501277501107e-06,4.0033769338848244e-16,5.384967475738343e-07,6.7877098572936984e-09,6.034453109355555e-16,5.384967475738343e-07,1.6550960459577808e-35,9.4039548065783e-38,4.70197740328915e-38,2.0194839173657902e-28,0.0,1.88079096131566e-37,0.0,1.1832913578315177e-30,2.1064858766735392e-35,1.1832913578315177e-30,1.9853445565338635e-23,5.293955920339377e-23,1.1107161545511846e-27,3.308722450212111e-24,0.0,6.310887241768095e-30,6.162975822039155e-33,3.308722450212111e-24,4.81482486096809e-35,3.944304526105059e-31,0.0,5.169878828456423e-25,6.128641836103544e-35,2.7800504132070412e-33,0.0,0.0,3.1554436208840472e-30,5.551115123125783e-17,5.631979638443321e-07,9.237675636843527e-15,3.423743518821683e-09,5.324740276654325e-22,1.4791141972893971e-31,2.7912987650436917e-16,7.562234378127411e-13,1.0960010995465888e-19,8.192504044300448e-20,8.634959078778513e-18,7.144593924154245e-16,2.394744765932726e-09,1.0641469177812282e-14,0.018699401048181734,3.399609626800017e-22,5.790029010198449e-13,1.657011668826256e-17,3.3087224502121107e-23,1.2924697071141057e-26,2.5849394142282115e-26,0.0,0.0,0.0,0.0,3.2851321104618135e-10,0.0,0.0,0.0,0.0,0.0,3.1554436208840472e-30,0.0,3.0292258760486853e-28,2.7755575615628914e-17,9.285145794354306e-15,3.211967377073164e-07,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,0.0,0.0,3.4237435188216833e-09,7.482828479641782e-22,1.016576677851056e-16,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,0.0,1.0339757656912846e-25,3.420586495446845e-16,9.016718902114869e-13,1.0967203863660666e-19,2.3595616777847467e-08,2.524354896707238e-29,1.0097419586828951e-28,2.524354896707238e-29,2.524354896707238e-29,1.0097419586828951e-28,9.41218328061226e-20,1.884315947538547e-17,7.144593924183688e-16,2.3947447672236314e-09,2.810309976505757e-12,0.0,2.481541837659083e-24,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,1.0097419586828951e-28,1.1659693812898535e-14,0.01869940104826673,6.434209710988961e-22,6.499260697387316e-13,2.0520274818187947e-17,2.6527113991213574e-07
6,7.237145539791941e-16,1.1375474671113121e-10,1.5633332617084264e-05,0.00016692093217883568,0.00016692003337683052,2.9843448539459834e-10,1.0152115019881574e-15,0.00016692003337683058,2.984344260099793e-10,1.562535863884526e-05,7.841869555103646e-16,2.988169350012172e-10,2.3618278492454503e-06,0.00016692003345400208,1.1365326649144077e-10,0.00016692003337682624,1.5625358094837217e-05,2.3618278157961235e-06,1.562535863884936e-05,1.1365326227461218e-10,2.3626008140754866e-06,1.1518973147520885e-10,1.1375474671113124e-10,2.9881693500092045e-10,1.5625358638845272e-05,1.0152114947365505e-15,2.3626008140711777e-06,2.98816935875446e-10,7.2371447289064625e-16,2.3626008140711794e-06,4.81482486096809e-35,2.407412430484045e-35,0.0,5.169878828456423e-26,1.9721522630525295e-31,0.0,0.0,5.5220263365470826e-30,4.81482486096809e-35,7.099748146989106e-30,2.1172592507089723e-22,2.117582368135751e-22,6.462348535570529e-27,0.0,3.1554436208840472e-30,2.524354896707238e-29,1.9721522630525295e-31,0.0,1.925929944387236e-34,2.524354896707238e-29,9.62964972193618e-35,6.617444900424222e-24,6.017932923154631e-31,6.38718156513376e-31,2.5849394142282115e-26,2.0679515313825692e-25,2.524354896707238e-29,0.0,3.5457849034157314e-05,8.078916020432714e-15,2.2577778068395053e-08,8.10561603102637e-19,0.0,2.3682240191818516e-13,1.145677438952586e-08,2.1734495768307547e-18,7.287780356057276e-19,4.806240017808076e-15,6.613382631042488e-14,1.0900350999644398e-07,4.721830365883378e-12,5.2670360104521596e-05,8.313449196368297e-20,1.2593000457982902e-09,1.3462995394532789e-14,0.0,4.1359030627651384e-25,0.0,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,4.839472345997123e-09,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,0.0,1.2037062152420224e-35,0.0,0.0,1.4800329493125785e-13,1.3497639416069677e-07,1.9721522630525295e-31,1.9721522630525295e-31,0.0,0.0,0.0,2.2577778068395043e-08,7.43800942737804e-19,1.8330909439570634e-15,3.3881317890172014e-21,0.0,0.0,3.3881317890172014e-21,3.3881317890172014e-21,1.3234889800848443e-23,2.1779959117945088e-13,1.0863860800089606e-08,2.142028873287327e-18,3.052170564707575e-05,1.6155871338926322e-27,4.8467614016778965e-27,1.6155871338926322e-27,1.6155871338926322e-27,1.6155871338926322e-27,1.8745394181206826e-18,3.2183565676976727e-15,6.613382631011821e-14,1.090035123749965e-07,5.092900792540578e-11,0.0,0.0,4.235164736271502e-22,0.0,0.0,1.2924697071141057e-26,3.3147643840479374e-12,5.267032682724389e-05,1.0800450594579144e-19,3.3795178777881703e-09,1.3037630251993128e-14,5.0759083227472375e-06
7,8.743100872392135e-16,9.107817449223425e-11,6.254735817829411e-06,4.0884467731825397e-07,4.0883475402004745e-07,4.699794764701865e-10,1.1277278528502206e-15,4.0883475402004633e-07,4.699794761057408e-10,6.254733804651609e-06,9.519204519356813e-16,4.699845116277075e-10,1.770975060804452e-08,4.0883475403139017e-07,9.107991606391701e-11,4.088347540198308e-07,6.254733804602518e-06,1.7709750719769877e-08,6.254733804652508e-06,9.107991604653208e-11,1.7709914097478424e-08,9.105340913529015e-11,9.107817449223427e-11,4.699845116274951e-10,6.2547338046516096e-06,1.1277278527288727e-15,1.7709914100334365e-08,4.699845116278889e-10,8.743100887726666e-16,1.770991410033439e-08,0.0,6.018531076210112e-36,3.009265538105056e-36,0.0,0.0,0.0,0.0,8.628166150854817e-32,0.0,7.395570986446986e-32,2.6473010874572284e-23,0.0,3.2311742677852644e-27,0.0,9.860761315262648e-32,0.0,0.0,0.0,4.81482486096809e-35,0.0,7.222237291452134e-35,0.0,4.004224711463172e-33,2.0772209346193606e-32,0.0,2.0194839173657902e-28,0.0,0.0,2.1447548374165934e-06,4.32276946423718e-14,1.6121195792762562e-08,2.919871215466672e-20,9.860761315262648e-32,4.8728633364721015e-15,6.422499289985484e-11,1.9832669030367474e-18,7.266261070922495e-19,2.1129554174582742e-16,1.3926893515782049e-15,8.273268678824312e-08,1.5410123138092413e-13,5.912565420602341e-07,1.9491306034608846e-20,2.0882249461580627e-11,1.5398014301466584e-14,2.6469779601696886e-23,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,4.8258619285046045e-09,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,1.9721522630525295e-31,0.0,4.0389678347315804e-28,0.0,1.994181468137837e-14,7.683615717705266e-07,9.860761315262648e-32,0.0,1.9721522630525295e-31,1.9721522630525295e-31,0.0,1.612119579276255e-08,1.4380662871506968e-20,1.3594418762612333e-15,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,4.4974597385738795e-15,5.919704531223112e-11,1.984002809846606e-18,6.492557087747013e-07,3.2311742677852644e-27,1.6155871338926322e-27,1.6155871338926322e-27,0.0,3.2311742677852644e-27,1.6537731917054501e-18,3.0780276042276416e-16,1.3926893517806597e-15,8.273268674696468e-08,5.180486912536195e-11,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,5.048709793414476e-29,1.558723466472602e-13,5.912522539119714e-07,1.3815951759783603e-20,2.0607260938306178e-11,1.540224060693421e-14,2.03052664257784e-06
8,4.755006267251956e-16,3.3035441950822047e-11,3.289849448211375e-08,1.9361298376385438e-07,1.936129928793317e-07,7.043279796755842e-10,6.133274138951679e-16,1.9361299287932767e-07,7.043279792000962e-10,3.2898528094127996e-08,5.177118865741105e-16,7.043281283269126e-10,5.214110233830732e-10,1.9361299287931192e-07,3.3035457252597996e-11,1.9361299287929985e-07,3.289852809402184e-08,5.214110265379959e-10,3.2898528093987124e-08,3.3035457245348146e-11,5.214110252941785e-10,3.3035177360588835e-11,3.303544195082206e-11,7.043281283268706e-10,3.289852809412702e-08,6.133274139074716e-16,5.21411025670158e-10,7.04328128326871e-10,4.755006267497387e-16,5.214110256701597e-10,1.2037062152420224e-35,3.009265538105056e-36,0.0,0.0,6.162975822039155e-33,0.0,3.308722450212111e-24,1.925929944387236e-34,0.0,2.1185229388259594e-33,2.3107742776066318e-23,1.0339757656912846e-25,1.6155871338926322e-27,8.271806125530277e-25,0.0,2.524354896707238e-29,6.162975822039155e-33,8.271806125530277e-25,1.2037062152420224e-35,2.465190328815662e-32,3.611118645726067e-35,0.0,2.9562428794686123e-33,2.5743016912180414e-33,5.169878828456423e-26,6.310887241768095e-30,2.524354896707238e-29,6.617444900424222e-24,2.776259750418161e-06,1.1863700879848695e-14,5.850322894738196e-09,2.0811925622067056e-20,0.0,2.1499257866056186e-16,1.542712419274637e-12,1.078400802436538e-18,3.9480781188384157e-19,1.6611229097825668e-16,6.144548759139544e-17,3.0024044726554176e-08,2.8983242036373786e-13,2.891414594167355e-09,1.2231282552863746e-20,5.981540197025994e-13,5.4569226747214515e-15,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,7.888609052210118e-31,7.232291477502614e-09,0.0,1.0587911840678754e-22,0.0,0.0,0.0,1.9721522630525295e-31,1.504632769052528e-36,1.262177448353619e-29,6.617444900424222e-24,1.1248485994897374e-14,7.601414882001434e-07,0.0,4.930380657631324e-32,9.860761315262648e-32,1.9721522630525295e-31,9.860761315262648e-32,5.850322894738188e-09,1.2235897285449932e-20,7.3935184075313215e-16,0.0,0.0,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,1.6543612251060553e-24,1.984295609707939e-16,1.5439858518689904e-12,1.0784125852058188e-18,1.9114079769616843e-08,8.077935669463161e-28,2.4233807008389483e-27,1.6155871338926322e-27,8.077935669463161e-28,8.077935669463161e-28,8.989243526155394e-19,1.572719049904911e-16,6.144548763133848e-17,3.0024044726113335e-08,1.8785777937260282e-11,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,2.897835764547008e-13,2.8913880849386496e-09,8.897395920125243e-21,5.938111522407696e-13,5.455803134221627e-15,2.0279812654715466e-06
9,2.1400586531514991e-07,4.2388798061974865e-08,4.887295140265209e-08,1.9670297191628868e-07,1.9670298000227756e-07,1.6254950539774237e-08,2.1400586659801456e-07,1.9670298000349803e-07,1.6254950535904047e-08,4.887298969730767e-08,2.1400586705950138e-07,1.6254952118686604e-08,7.608012040326434e-09,1.9670298000138865e-07,4.238879792506996e-08,1.9670298000342296e-07,4.8872989693793964e-08,7.608012012218842e-09,4.887298969689669e-08,4.2388797925357556e-08,7.608014590966427e-09,4.238879738835272e-08,4.238879806197911e-08,1.6254953150326425e-08,4.8872989696954144e-08,2.1400586659802284e-07,7.608011489168675e-09,1.6254953150333334e-08,2.1400586531514954e-07,7.608011489171451e-09,3.194886666145098e-29,3.7865323450608567e-29,0.0,5.048709793414476e-29,7.888609052210118e-30,1.5146129380243427e-28,9.926167350636332e-24,1.262177448353619e-29,2.524354896707238e-29,1.4593926746588718e-29,8.271806125530277e-24,0.0,1.6543612251060553e-24,4.1359030627651384e-25,9.466330862652142e-30,8.077935669463161e-28,7.888609052210118e-30,4.1359030627651384e-25,0.0,6.902532920683853e-30,1.262177448353619e-29,3.308722450212111e-24,5.677006327546008e-29,5.728337426871111e-29,0.0,7.573064690121713e-28,8.077935669463161e-28,1.3234889800848443e-23,1.4784252873155175e-08,1.6814346254957973e-13,3.9334599071667265e-09,1.1129190975320518e-14,0.0,3.478965767977505e-14,1.5827669224472843e-11,4.123715919728093e-14,3.5115537075648733e-14,1.7815932752253714e-14,2.0849216740714417e-14,2.018673039479155e-08,3.910168495406287e-12,8.457451968288846e-09,1.0976411499871922e-13,6.0899133488498435e-12,8.501913353319053e-14,0.0,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,1.5777218104420236e-29,8.384565203481655e-08,6.617444900424222e-24,1.3234889800848443e-23,0.0,6.617444900424222e-24,6.617444900424222e-24,0.0,5.048709793414476e-29,6.058451752097371e-28,1.3234889800848443e-23,1.5691368123588243e-13,8.194595686265431e-08,1.0587911840678754e-22,1.0587911840678754e-22,2.117582368135751e-22,1.0587911840678754e-22,1.0587911840678754e-22,3.933462425879677e-09,2.954654442719986e-14,1.0375985806731159e-06,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,3.4778829415417214e-14,1.5823058827623982e-11,3.273401230016882e-14,6.316325994583053e-08,5.293955920339377e-23,2.6469779601696886e-23,0.0,0.0,0.0,4.2098684791578293e-14,8.682422360848328e-15,1.3798702304886312e-14,2.018673118626378e-08,4.681777355813884e-07,1.0587911840678754e-22,0.0,2.117582368135751e-22,0.0,1.0587911840678754e-22,2.524354896707238e-29,3.83752170155368e-12,8.457471714529302e-09,2.121483426819495e-13,6.112063251972001e-12,8.771449984487691e-14,1.556055018499342e-06
