,Y4Z2,Y2Z4,Y3Z0,Y0Z3,Y5Z2,Y2Z5,Y4Z5,Y5Z4,Y2Z0,Y0Z2,Y3Z2,Y2Z3,Y1Z0,Y0Z1,Y3Z5,Y5Z3,Y4Z3,Y3Z4,Y0Z5,Y5Z0,Y0Z4,Y4Z0,Y5Z1,Y1Z5,Y1Z3,Y3Z1,Y2Z1,Y1Z2,Y1Z4,Y4Z1,standard_y,Y3,X3Y2,X1Y3,X1Y2,X5Y2,X5Y0,X4Y3,X4Y2,X4Y1,X1Y5,Y4,X5Y3,X5Y1,X4Y0,X3Y4,X2Y4,X2Y0,X1Y4,X0Y5,X0Y3,Y5,X4Y5,X3Y5,X2Y1,X0Y4,X0Y2,X1Y0,X0Y1,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y1,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.989492910377551,0.9894929103775509,0.8620366164792732,0.8620366164792732,0.6935102614314381,0.6935102614314381,0.6913096284123794,0.6913096284123793,0.5419720091045961,0.5419720091045961,0.5137132085026757,0.5137132085026754,0.40853587925449375,0.4085358792544937,0.40504773531925614,0.4050477353192561,0.37842657112328093,0.37842657112328093,0.22515952057814673,0.22515952057814664,0.1766656441954439,0.17666564419544384,0.15669033508336383,0.15669033508336383,0.1166505334428638,0.11665053344286366,0.029097253268111134,0.02909725326811108,0.008805625887066904,0.008805625887066862,9.71445146547012e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0026673147565173957,0.0026673147565173952,0.8620366164792732,0.862036616479273,0.0022031447120892827,0.0018694526607638835,0.0018635205506255955,0.0021981133306028027,0.0014609603791425672,0.36530700677764216,0.13528801229353193,0.0013847848805043556,0.40853587925449375,0.40853587925449364,0.4050477353192561,0.40504773531925614,0.0010201010707901552,0.13528477093658467,0.2251595205781467,0.22515952057814664,0.36530439579536866,0.0004762266356737808,0.15669033508336383,0.15669033508336383,0.11665053344286382,0.11665053344286369,7.843566356280769e-05,0.02029165937398664,0.020291521663771846,2.3736780347403575e-05,2.757939276260002e-17,0.0,1.0842021724855044e-19,2.7755575615628914e-17,2.168404344971009e-19,5.421010862427522e-20,5.551115123125783e-17,0.0,2.7755575615628914e-17,1.6263032587282567e-19,0.0,1.3552527156068805e-20,0.0,1.3877787807814457e-17,1.0842021724855044e-19,6.776263578034403e-20,0.0,1.0842021724855044e-19,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.0,8.131516293641283e-20,1.3877787807814457e-17,5.421010862427522e-20,1.6940658945086007e-20,9.486769009248164e-20,1.8431701630049592e-18,3.9048218868423246e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6263032587282567e-19,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0657581468206416e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00038653245515616035,0.00038653245515616035,0.00012177004211580067,0.00012177004211580064,0.0022006857650166693,0.0002709107071063316,0.0002700510586188756,0.0022005801051957516,1.1038932611816317e-05,5.1602649158009484e-05,1.9110398250359453e-05,1.1038928497409687e-05,0.29188534697545104,5.770918574876045e-05,5.721645559579475e-05,0.17988821698752352,7.881526618673946e-05,1.9110388635028772e-05,3.180570729762456e-05,0.17988821069995264,5.160264141265518e-05,7.88152640233341e-05,0.15669033508336383,0.15669033508336383,0.29188534173567204,1.647788516012495e-05,1.1366461170229262e-05,0.020291628052901127,0.02029162516096445,3.4398025065342805e-06,1.3867623412447405e-17,0.0,8.271806125530277e-25,6.776263578034403e-21,1.0164395367051604e-20,3.3881317890172014e-21,0.0,1.6543612251060553e-24,6.938893903907228e-18,0.0,0.0,1.3552527156068805e-20,0.0,0.0,3.308722450212111e-24,1.2407709188295415e-24,2.0816681711721685e-17,1.6543612251060553e-24,0.0,1.6940658945086007e-21,2.7755575615628914e-17,1.3877787807814457e-17,6.776263578034403e-21,1.6940658945086007e-21,3.3881317890172014e-21,5.169878828456423e-25,1.8611563782443123e-24,4.9669610844395084e-23,4.380922502620316e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0007567195140763735,0.0007567195140763734,2.1283570372375855e-05,1.698522871923776e-08,0.0022008351753061185,0.0005303653442419678,0.0005286823994412747,0.0022004302192914346,6.412052948619897e-07,7.197853222753624e-09,3.862944292388023e-06,6.412056149099237e-07,0.00020141638163994927,8.049629466429208e-09,1.1565632702061318e-05,0.3365785125465076,0.00016103179347828921,3.862936843170548e-06,4.436454185616017e-09,0.3365785123534744,7.197849082087479e-09,0.00016103179330797962,0.3365785068303689,0.00010812464818178325,0.00020141638149221125,2.1283563718998956e-05,6.412157381333853e-07,1.4002301730118574e-05,1.4002294081742044e-05,0.00016103175817507853,3.324687036034384e-20,5.082197683525802e-21,8.271806125530277e-25,0.0,1.1580528575742387e-23,7.623296525288703e-21,0.0,0.0,1.3877787807814457e-17,1.3234889800848443e-23,6.776263578034403e-21,0.0,0.0,0.0,4.0389678347315804e-28,6.203854594147708e-25,1.3877787807814457e-17,4.0389678347315804e-28,2.3161057151484775e-23,2.0679515313825692e-25,1.3552527156068805e-20,0.0,0.0,0.0,1.3234889800848443e-23,7.699282434957075e-28,1.262177448353619e-28,2.2040601344256207e-23,2.2040441168514592e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4775713707188285e-20,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0016128428699012506,0.0016128428699012506,7.773382617221156e-10,8.186127356249335e-13,1.170090937610015e-06,0.0011290336458416638,0.0007835964073773631,1.1691132207057936e-06,0.001129033485994184,4.695483976833624e-13,1.4108644190923668e-10,0.0011290334859931387,2.9384653803898574e-07,5.251133368913057e-13,4.224107608836704e-10,0.0001788863612136222,0.0007835961997531909,1.410852059882531e-10,8.186125382543747e-13,0.0001788863612131377,4.695471706345215e-13,0.0007835961997527358,0.00017888636121313504,2.9384652553025347e-07,2.9384653803852104e-07,7.773382617218966e-10,0.0011290334859939215,1.3292357215196217e-08,1.329232423250324e-08,0.0007835961997525615,1.3552527257043e-20,0.0,2.0194839173657902e-28,4.930380657631324e-32,7.754818242684634e-26,1.90768528770042e-23,4.930380657631324e-32,0.0,1.3877787807814457e-17,5.169878828456423e-26,0.0,0.0,2.117582368135751e-22,3.2311742677852644e-27,1.9721522630525295e-31,5.048709793414476e-29,0.0,4.930380657631324e-32,2.5849394142282115e-26,1.232595164407831e-32,6.462348535570529e-27,1.3552527156068805e-20,0.0,0.0,7.754818242684634e-26,5.084455053182303e-32,8.011868568650901e-32,2.9977992656591466e-23,2.9977992656591466e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.256059015801307e-08,2.247604034344673e-08,3.259464529055091e-14,5.541166580037862e-15,2.1649345528296903e-10,1.5654510838039316e-08,1.0878505897545463e-08,2.1649345528290562e-10,1.5654510838039985e-08,3.1696707865680093e-15,5.883999421817463e-15,1.5654510838039237e-08,8.795417428085996e-09,3.5459545836666554e-15,1.764250681586293e-14,3.314942630882756e-08,1.0878505897545365e-08,5.88399942181746e-15,5.541166580037817e-15,3.314942630882293e-08,3.1696707865680093e-15,1.0878505897545038e-08,3.314942630882293e-08,8.795417428085264e-09,8.795417428085278e-09,3.2594645290550894e-14,1.5654510838039985e-08,3.9706722571196955e-10,3.9706722571196945e-10,1.0878505897545034e-08,7.031035206700735e-24,0.0,0.0,4.70197740328915e-38,1.232595164407831e-32,3.389636702121535e-32,2.350988701644575e-38,0.0,0.0,6.162975822039155e-33,0.0,8.271806125530277e-25,0.0,2.465190328815662e-32,0.0,3.5264830524668625e-38,0.0,1.1754943508222875e-38,6.162975822039155e-33,0.0,4.930380657631324e-32,3.308722450212111e-24,9.860761315262648e-32,0.0,6.162975822039155e-33,1.4693679385278594e-39,0.0,1.8701359755921335e-23,5.4664699550728925e-24,4.600585832566936e-09,3.4060377337664235e-16,2.121657542107182e-08,1.8134928352514715e-22,3.082579350917211e-16,0.004491042593702816,2.056438574766414e-22,3.308722450212111e-24,2.0286164352667754e-17,2.217456440450368e-17,7.179190839548242e-23,2.964270623995644e-17,1.2407709188295415e-24,7.095511942462407e-23,1.3605751709909458e-23,3.2950180504914505e-17,2.8942985539061746e-24,2.5715869043751573e-08,0.0,1.6155871338926322e-26,1.0339757656912846e-25,6.462348535570529e-27,0.0,0.0,0.0,1.1162078467835766e-09,0.0,0.0,0.0,0.0,0.0,3.6404527120322926e-16,2.7734540497821287e-09,1.9721522630525295e-31,9.860761315262648e-32,9.860761315262648e-32,1.9721522630525295e-31,1.9721522630525295e-31,3.5264830524668625e-38,0.0,2.1216575421071967e-08,2.4608669030942536e-22,3.237845714614873e-15,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,4.930380657631324e-32,9.4039548065783e-38,3.539137565183839e-16,0.004491042593702851,2.5718988644805425e-22,3.3389583329058016e-09,3.877409121342317e-26,3.2311742677852644e-27,1.2924697071141057e-26,3.2311742677852644e-27,1.2924697071141057e-26,2.2810058650994194e-17,6.38072154252267e-17,9.598501564216244e-23,7.630722133709252e-17,3.956148488007754e-10,9.860761315262648e-32,0.0,4.930380657631324e-32,2.465190328815662e-32,4.930380657631324e-32,1.057791867868981e-22,3.8918483139800673e-23,3.295018050493223e-17,3.2368728967538754e-23,2.571586904375158e-08,6.166909274800258e-16
6,1.6379717279823175e-06,2.8554023006709997e-06,1.3761825497713835e-12,5.027082175895412e-13,7.885697336134562e-08,2.8553455311227195e-06,1.63785133693657e-06,7.885697336665627e-08,2.85534553176917e-06,4.972740451271328e-13,1.4130289017612994e-12,2.855345531122733e-06,6.169830178425834e-08,6.054295941177001e-13,7.574005511569335e-13,7.885699741474094e-08,1.6378513369362402e-06,1.4130289018083544e-12,5.027082175895389e-13,7.885699737554123e-08,4.972740451277243e-13,1.637851336168627e-06,7.885699737554131e-08,6.169830176980496e-08,6.169830176980454e-08,1.3761825497713572e-12,2.855345531769121e-06,6.16981763205309e-08,6.169817632004267e-08,1.6378513361686194e-06,8.933530420733525e-23,2.0194839173657902e-28,4.622231866529366e-33,0.0,0.0,2.524354896707238e-29,4.81482486096809e-35,0.0,0.0,1.5777218104420236e-29,0.0,1.0587911840678754e-22,1.0587911840678754e-22,3.944304526105059e-31,7.703719777548943e-34,3.0814879110195774e-33,0.0,3.851859888774472e-34,1.262177448353619e-29,0.0,0.0,6.617444900424222e-24,2.0194839173657902e-28,1.0587911840678754e-22,1.262177448353619e-29,1.925929944387236e-34,2.8888949165808538e-34,2.0044590548963485e-22,2.0044590548963485e-22,9.947465667151157e-07,5.170684755775739e-13,7.007935161864752e-06,7.732127260080348e-18,4.532034094073976e-13,6.937015181402401e-06,2.6867763337024317e-17,2.117582368135751e-22,4.443527559762502e-15,3.007298611007822e-13,1.6181241456882987e-19,3.992659845370878e-13,9.926167350636332e-24,2.680325623904091e-19,5.499158460057042e-18,2.567897424300051e-16,9.564884105859042e-18,2.0130255847317604e-05,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24,0.0,0.0,0.0,6.386896205224094e-08,2.117582368135751e-22,4.235164736271502e-22,0.0,2.117582368135751e-22,2.117582368135751e-22,2.155273616201396e-13,2.5509457604991705e-06,1.0097419586828951e-28,0.0,0.0,2.0194839173657902e-28,2.0194839173657902e-28,6.018531076210112e-36,0.0,7.007935161864871e-06,1.7621424111087126e-17,1.888406508484136e-12,0.0,4.235164736271502e-22,0.0,2.117582368135751e-22,2.117582368135751e-22,5.048709793414476e-29,1.5407439555097887e-33,6.223684130506482e-13,6.937012993982868e-06,2.296030578835956e-17,3.473098813180035e-06,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,0.0,1.599058283307661e-15,3.535731631897105e-13,5.814017893286329e-21,7.288776808945556e-13,8.719614738439355e-09,2.0194839173657902e-28,0.0,0.0,0.0,2.0194839173657902e-28,4.230235510363261e-20,3.1210586930063558e-18,2.5678974814381386e-16,1.4887419873062502e-17,2.013025584731782e-05,3.0488370625158987e-12
7,5.256769225778927e-08,1.0113237697520848e-07,4.013856791286203e-14,3.980333886976502e-14,4.386959644654763e-08,1.0113217057274677e-07,5.2567084772026403e-08,4.386959644654971e-08,1.0113217057266719e-07,3.944461759330561e-14,4.024453293476283e-14,1.0113217057274691e-07,6.24067816242067e-08,6.32090642060293e-14,1.8174694645709883e-14,4.386959143946835e-08,5.256708477202254e-08,4.024453293476234e-14,3.980333886976621e-14,4.386959143943007e-08,3.944461759330611e-14,5.256708477190152e-08,4.3869591439430125e-08,6.240678162420302e-08,6.240678162420289e-08,4.013856791286106e-14,1.0113217057266541e-07,6.240670790141554e-08,6.240670790141512e-08,5.256708477190128e-08,9.926173661523574e-24,0.0,7.52316384526264e-37,7.52316384526264e-37,7.888609052210118e-31,3.944304526105059e-31,7.52316384526264e-37,1.504632769052528e-36,2.117582368135751e-22,1.9721522630525295e-31,1.9721522630525295e-31,3.308722450212111e-24,0.0,7.888609052210118e-31,0.0,1.504632769052528e-36,2.117582368135751e-22,3.76158192263132e-37,1.9721522630525295e-31,1.504632769052528e-36,0.0,3.308722450212111e-24,3.1554436208840472e-30,0.0,0.0,7.52316384526264e-37,7.52316384526264e-37,2.811103740921075e-24,2.811103740921075e-24,2.983490131139643e-08,1.27127092182576e-15,4.239265071640723e-07,1.502796768504417e-20,7.889743527680934e-15,5.7266249756037046e-08,6.426253087781328e-20,6.617444900424222e-24,2.304123080350767e-15,8.524861426454949e-15,3.1074364004174204e-21,9.986803686303344e-15,3.308722450212111e-24,9.452843524442665e-21,2.433819255006065e-20,2.1326343097198632e-16,3.7720988127668543e-20,1.6100405986628617e-07,6.310887241768095e-30,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,3.806315563293021e-08,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,3.876319174262941e-15,7.337432677923362e-08,3.1554436208840472e-30,6.310887241768095e-30,6.310887241768095e-30,0.0,0.0,3.76158192263132e-37,9.860761315262648e-32,4.239265071640756e-07,1.0091142061464386e-20,7.024166156413893e-14,0.0,1.9852334701272664e-23,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,7.52316384526264e-37,1.025495392557149e-14,5.72662536085907e-08,6.027918924765679e-20,8.77107709843035e-08,2.0679515313825692e-25,4.1359030627651384e-25,2.0679515313825692e-25,2.0679515313825692e-25,4.1359030627651384e-25,6.794987729003792e-16,1.0097399221489029e-14,1.903380082647774e-21,1.8438351617501177e-14,6.108239148580467e-09,7.888609052210118e-31,7.888609052210118e-31,0.0,7.888609052210118e-31,0.0,1.3253504765684665e-20,3.25305924047452e-20,2.1326343098238654e-16,3.9949888698369675e-20,1.6100405986628797e-07,2.097661718633619e-14
8,1.1199694542017001e-08,1.9523978493382586e-08,1.2295656516010258e-14,3.263584805548299e-14,1.0633531458296626e-08,1.952397104853079e-08,1.1199674394605492e-08,1.0633531458296656e-08,1.9523971048532275e-08,3.2273999346466514e-14,1.2316367796948805e-14,1.952397104853079e-08,7.052445931391486e-08,4.89683867209882e-14,1.200175238711643e-14,1.0633531217594767e-08,1.119967439460545e-08,1.2316367796948824e-14,3.263584805548304e-14,1.0633531217592802e-08,3.22739993464665e-14,1.1199674394604105e-08,1.0633531217592815e-08,7.052445931391645e-08,7.052445931391645e-08,1.2295656516010015e-14,1.9523971048531832e-08,7.052444388984358e-08,7.052444388984355e-08,1.1199674394604036e-08,2.3665827156630354e-30,2.3665827156630354e-30,9.4039548065783e-38,0.0,1.9721522630525295e-31,0.0,0.0,1.410593220986745e-37,0.0,2.465190328815662e-32,0.0,8.271806125530277e-25,0.0,4.930380657631324e-32,1.88079096131566e-37,0.0,0.0,9.4039548065783e-38,1.4791141972893971e-31,0.0,2.465190328815662e-32,8.271806125530277e-25,1.9721522630525295e-31,3.308722450212111e-24,1.4791141972893971e-31,0.0,3.76158192263132e-37,8.391400558768292e-25,8.391400558768292e-25,7.656283626689042e-09,4.766711867185049e-16,3.3274774912256005e-08,1.8544438942026026e-22,4.178073233752909e-16,2.567084517425703e-08,1.6246902188244473e-21,0.0,6.848900970445614e-16,2.350272160768142e-15,7.578536699986355e-22,3.1202552186318572e-15,0.0,9.759593855590948e-22,3.3644230996604942e-21,3.959305672953981e-17,6.5330147196169014e-21,8.716562105474296e-08,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,0.0,0.0,8.612642917542512e-09,1.6543612251060553e-24,4.963083675318166e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.986470400841509e-16,1.744157251856437e-08,3.0814879110195774e-32,0.0,0.0,0.0,0.0,4.70197740328915e-38,2.465190328815662e-32,3.3274774912256204e-08,3.268474505107851e-22,9.479671618250692e-16,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,0.0,9.4039548065783e-38,5.737635623091849e-16,2.5670845276545417e-08,1.5096941117246384e-21,2.3744512500169205e-08,0.0,8.271806125530277e-25,0.0,0.0,0.0,2.4645326871996027e-16,2.7633128463873797e-15,9.432831544233836e-22,5.696070478159006e-15,9.965999437142465e-09,0.0,1.5777218104420236e-30,0.0,0.0,0.0,1.5681542500289755e-21,4.930172540458373e-21,3.959305672897615e-17,7.061559318113065e-21,8.7165621054745e-08,1.3822482907260448e-14
9,1.3363983715114889e-08,2.5708942689125297e-08,1.2313130932699021e-14,2.658991053944593e-14,1.0239055796045588e-08,2.5708933981268906e-08,1.3363956847767251e-08,1.0239055796045644e-08,2.570893398127176e-08,2.6290632936728222e-14,1.2356609125700208e-14,2.5708933981268906e-08,5.768965813361897e-08,3.900591452986836e-14,1.1845446607683459e-14,1.0239055563306282e-08,1.3363956847767198e-08,1.235660912570021e-14,2.658991053944597e-14,1.023905556330428e-08,2.6290632936728257e-14,1.3363956847766113e-08,1.023905556330429e-08,5.7689658133620744e-08,5.768965813362073e-08,1.2313130932698873e-14,2.5708933981271375e-08,5.768964547182097e-08,5.768964547182094e-08,1.3363956847766063e-08,8.271806125530277e-25,0.0,4.70197740328915e-38,4.70197740328915e-38,1.9721522630525295e-31,0.0,0.0,4.70197740328915e-38,2.6469779601696886e-23,2.465190328815662e-32,1.4791141972893971e-31,0.0,0.0,4.930380657631324e-32,1.88079096131566e-37,2.82118644197349e-37,0.0,1.88079096131566e-37,4.930380657631324e-32,9.4039548065783e-38,0.0,8.271806125530277e-25,0.0,3.308722450212111e-24,2.9582283945787943e-31,1.88079096131566e-37,1.88079096131566e-37,9.214011221519433e-25,9.214011221519433e-25,4.0508521100248816e-10,7.535923984137056e-17,1.4364449869383437e-08,6.552625390276105e-23,4.681323865355908e-16,3.162916606705096e-08,1.986242898645173e-21,1.6543612251060553e-24,4.971154043373203e-16,2.003325905477762e-15,6.799040166951764e-22,2.3467700036000414e-15,1.6543612251060553e-24,1.3418499583090948e-21,3.874606857696183e-21,4.601651384076713e-17,7.074156388944278e-21,3.3026591688366366e-08,0.0,0.0,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,0.0,8.884013339420346e-09,1.6543612251060553e-24,0.0,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,2.300774009867902e-16,1.8652498992901193e-08,1.9721522630525295e-31,9.860761315262648e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,1.1754943508222875e-38,2.465190328815662e-32,1.4364449869383617e-08,2.5587077749532e-22,8.388829460760654e-16,0.0,1.6543612251060553e-24,3.308722450212111e-24,0.0,0.0,1.232595164407831e-32,3.5264830524668625e-38,6.084487444608139e-16,3.162916631601057e-08,1.8646664377514384e-21,2.229577877520139e-08,4.1359030627651384e-25,2.0679515313825692e-25,4.1359030627651384e-25,0.0,0.0,1.465919537647492e-16,2.3728492278824008e-15,9.527503348309645e-22,4.332746264150008e-15,5.64582115871181e-09,0.0,0.0,0.0,0.0,9.860761315262648e-32,1.8023300654830517e-21,5.2258682479162825e-21,4.6016513840427975e-17,7.715456950298357e-21,3.302659168836565e-08,1.5517062248166336e-15
