,Y5Z4,Y4Z5,Y1Z5,Y5Z1,Y3Z1,Y1Z3,Y4Z0,Y0Z4,Y3Z2,Y2Z3,Y5Z2,Y2Z5,Y4Z3,Y3Z4,Y2Z1,Y1Z2,Y4Z2,Y2Z4,Y2Z0,Y0Z2,Y1Z4,Y4Z1,Y5Z3,Y3Z5,Y0Z1,Y1Z0,Y5Z0,Y0Z5,Y0Z3,Y3Z0,X3Y4,X5Y3,X0Y3,X1Y5,X2Y1,standard_y,Y5,Y3,X4Y5,X3Y5,X3Y2,X2Y5,X2Y4,X2Y3,X0Y2,Y1,X0Y1,X1Y3,X5Y4,X4Y1,X4Y0,X1Y4,X1Y2,X1Y0,X0Y4,Y0,X5Y1,X3Y1,X3Y0,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9967179468102468,0.9967179468102467,0.9678678919644728,0.9678678919644725,0.9263574247603645,0.9263574247603645,0.8212222158432814,0.8212222158432811,0.7314719162578773,0.7314719162578773,0.6289233814359761,0.628923381435976,0.5860643734085744,0.5860643734085744,0.5523286406385723,0.5523286406385723,0.5481151083373057,0.5481151083373057,0.5022089895031561,0.502208989503156,0.39737875423051217,0.3973787542305121,0.3602211057154072,0.3602211057154072,0.24351776270933706,0.243517762709337,0.23139951253383598,0.23139951253383595,0.16193751429080594,0.16193751429080586,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,7.632783294297951e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0029669220429624854,0.0029669220429624854,0.5704908982635322,0.002881044324058623,0.9263574247603644,0.9263574247603645,0.0024445253565999886,0.589823728491794,0.7314719162578773,0.7314719162578773,0.0018721110116342067,0.0808107014440379,0.001744532958020397,0.22584486360110692,0.5523286406385723,0.5523286406385723,0.0016315696955302426,0.08080548674384005,0.5022089895031558,0.5022089895031558,0.5704848497340933,0.0011828740408503275,0.00107226717679523,0.22584067121902426,0.24351776270933695,0.2435177627093369,0.0006888050091447929,0.5898190650022117,0.16193751429080588,0.16193751429080583,1.0842021724855044e-19,0.0,0.0,5.421010862427522e-20,1.3877787807814457e-17,8.294146619514109e-17,2.168404344971009e-19,1.1102230246251565e-16,0.0,0.0,5.551115123125783e-17,0.0,2.168404344971009e-19,1.1102230246251565e-16,5.551115123125783e-17,4.163336342344337e-17,1.7421879538244856e-18,6.938893903907228e-18,0.0,8.131516293641283e-20,5.421010862427522e-20,3.2526065174565133e-19,8.326672684688674e-17,7.65008394224562e-18,0.0,1.3877787807814457e-17,2.710505431213761e-20,2.7755575615628914e-17,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0002541256822914523,0.0002541256822914523,0.0005232196352029906,0.00015492717186638803,0.0008496014223907907,0.0008496014223907907,0.0002093808550171544,0.5898227108306084,0.0006708637118684213,0.17914350791488565,0.00016035186677228758,0.08080829091401992,4.810779653066653e-05,0.00020713038648821175,0.17914296798055312,0.0005065638663554659,0.0001397487888386431,0.08080825265681518,0.502208989503156,0.5022089895031558,0.0005232195945052468,4.810769107524469e-05,0.00015492702945430387,0.00020713035827962098,0.08158031652539022,0.00022334039976933963,5.8998194216087094e-05,0.5898226766173136,0.08158014600106442,0.00014851971690677408,1.3234889800848443e-23,0.0,5.421010862427522e-20,0.0,1.3552527156068805e-20,9.030048844088645e-17,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,4.743384504624082e-20,6.783541697098393e-21,3.469446951953614e-18,0.0,4.963083675318166e-24,1.6940658945086007e-21,1.9852334701272664e-23,2.710505431213761e-20,1.9031689037702036e-20,6.776263578034403e-21,2.0816681711721685e-17,0.0,3.469446951953614e-18,1.3552527156068805e-20,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,5.082197683525802e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0
3,3.1646381468702534e-05,2.816560346898436e-07,0.0003032807019740229,2.5126386816207117e-05,0.0003451423968257125,0.00034514239682571237,2.320638387759054e-07,0.004030783293108572,0.00027253192303526786,0.1791433139553258,2.6006179687137804e-05,0.5830055354099148,5.3319448334602273e-08,2.381142478702327e-05,0.1791432248493096,0.0002057866928791532,1.5488827953979981e-07,0.5830055348329767,0.5830153750861884,0.0034320408361718686,0.0003032807016167192,5.331942904578946e-08,2.512638300453562e-05,2.3811424537185442e-05,0.0005575104954806686,0.00030327785689059994,3.16451956187857e-05,0.004030783286958672,0.0005575103031624673,2.3808051005074675e-05,6.462348535570529e-27,0.0,4.235164736271502e-22,0.0,2.710505431213761e-20,2.77724898047944e-17,3.3881317890172014e-21,0.0,4.336808689942018e-19,0.0,2.710505431213761e-20,0.0,0.0,0.0,1.0842021724855044e-19,1.3552527156068805e-20,1.6452417126263006e-23,2.7755575615628914e-17,8.673617379884035e-19,1.1309109937248425e-26,1.6940658945086007e-21,6.462348535570529e-27,3.3881317890172014e-20,2.8911995200975673e-23,0.0,0.0,2.0679515313825692e-25,0.0,1.0587911840678754e-22,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0
4,0.00012258520524077862,1.493685326544942e-09,4.188300583311693e-05,5.342672511573717e-05,0.00014825665594111277,0.00014825665594111272,4.093103444492158e-10,8.732423636522523e-08,0.00012729392902390842,0.0015560886956964093,0.00012258475280270425,0.005064251130468092,2.827649980617572e-10,0.00012728989835964914,0.0015560885528818074,4.18747550646026e-05,4.092329262405432e-10,0.005064251107810561,0.005064251108342251,7.435287958829682e-08,4.188300479753305e-05,2.827649791871762e-10,5.342672362027386e-05,0.0001272898974219576,1.2078092324966301e-08,4.188300477709256e-05,0.00012258520523312577,8.732423576284551e-08,1.20780915561944e-08,0.0001272898983676383,6.310887241768095e-30,8.271806125530277e-25,4.8467614016778965e-27,8.271806125530277e-25,5.293955920339377e-23,2.9137928215669103e-19,6.776263578034403e-21,4.0657581468206416e-20,0.0,1.6543612251060553e-24,0.0,5.293955920339377e-23,4.0389678347315804e-28,0.0,0.0,0.0,6.187516988117091e-28,1.1102230246251565e-16,0.0,6.310887241768095e-30,1.3234889800848443e-23,9.466330862652142e-30,5.293955920339377e-23,1.849748649439258e-28,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.3621268306053427e-05,1.2336068718876615e-10,8.497595385645703e-06,1.0130783023277763e-05,3.006527059753442e-05,3.032237134536257e-05,3.349124557566895e-11,3.4140262255887645e-08,2.57553952578635e-05,4.755312468805752e-08,2.362126830848934e-05,1.5523909618509023e-07,2.3128627151854312e-11,2.575539525757013e-05,4.755312450503078e-08,8.497595376963659e-06,3.3490370924751754e-11,1.552399612496022e-07,1.5523986539093725e-07,3.414043154701233e-08,8.497595377711303e-06,2.312862708688849e-11,1.013078301137344e-05,2.575539525036734e-05,2.5200076593317805e-09,8.497595376965177e-06,2.3621268305785084e-05,3.414026225333e-08,2.520007652555675e-09,2.575539525786271e-05,1.9721522630525295e-31,5.169878828456423e-26,1.0097419586828951e-28,0.0,4.0389678347315804e-28,1.3020016712040723e-23,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,6.310887241768095e-30,0.0,0.0,0.0,2.622410157884648e-30,0.0,4.235164736271502e-22,9.860761315262648e-32,1.6543612251060553e-24,4.930380657631324e-32,8.077935669463161e-28,1.6060469313455538e-29,1.6543612251060553e-24,2.0679515313825692e-25,0.0,5.551115123125783e-17,2.524354896707238e-29,1.1887080772595626e-05,7.821649558911989e-07,8.077935669463161e-27,2.7483270427861643e-10,4.607677395132817e-16,8.460708771656671e-09,6.053430775799896e-15,8.274439229561737e-13,1.3234889800848443e-23,1.4622737549916577e-10,1.142357260313519e-15,0.1115287550532636,1.9918577945290823e-12,1.7504630500988756e-14,4.406505881073421e-09,2.5850301209967e-13,3.7446522213636153e-07,2.6540647067313466e-14,4.235164736271502e-22,0.0,0.0,4.235164736271502e-22,4.235164736271502e-22,3.308722450212111e-24,0.0,3.955932497873662e-06,1.2116903504194741e-27,8.077935669463161e-28,1.2116903504194741e-27,8.077935669463161e-28,4.0389678347315804e-28,3.944304526105059e-31,6.310887241768095e-30,7.821649559116611e-07,1.3715790898634104e-11,0.0,4.235164736271502e-22,4.235164736271502e-22,0.0,0.0,2.7815405453943337e-10,1.0297555454748694e-15,4.881700281747415e-06,0.0,1.2407709188295415e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,2.117582368135751e-22,8.460323273632865e-09,6.186339222685882e-15,1.3170071996454861e-12,9.918762429200685e-09,1.0587911840678754e-22,0.0,1.0587911840678754e-22,1.0587911840678754e-22,3.1763735522036263e-22,1.9105756992833226e-10,1.328765718191989e-15,0.11152875506867893,2.072039772802788e-12,3.0432796972964807e-06,1.0339757656912846e-25,1.0339757656912846e-25,4.1359030627651384e-25,1.0339757656912846e-25,8.271806125530277e-25,2.524354896707238e-29,1.74880914263604e-14,4.406505881081831e-09,3.08594698564488e-13,3.7446522191101683e-07,2.1352733923605425e-13,3.764182542029976e-09
6,6.827061610933504e-05,6.213200673245631e-11,0.0001675266149077883,6.823745259994964e-05,9.970098709554919e-05,0.00016741187008163704,8.251270766390364e-10,4.704057705241854e-09,9.975617943969392e-05,1.1420992923108016e-05,6.82706141644269e-05,1.1419754802963827e-05,1.830120461838831e-10,9.975617947416857e-05,1.142099750453193e-05,0.00016752661702183367,8.251334304975096e-10,1.1419777447731986e-05,1.1419777170423131e-05,4.6400097190554904e-09,0.00016752661695614975,1.8301214457956706e-10,6.823747030834198e-05,9.975618099224647e-05,4.6984407726446756e-09,0.00016752661696144323,6.827061611281796e-05,4.704057874066156e-09,4.698441680983221e-09,9.975617945994289e-05,1.0097419586828951e-28,0.0,1.6155871338926322e-27,8.271806125530277e-25,8.271806125530277e-25,2.0328790734103208e-20,6.776263578034403e-21,6.776263578034403e-21,4.235164736271502e-22,1.3234889800848443e-23,8.271806125530277e-25,2.6469779601696886e-23,2.0194839173657902e-28,2.0679515313825692e-25,8.470329472543003e-22,2.0328790734103208e-20,9.917856104792291e-28,0.0,0.0,1.5146129380243427e-28,1.3234889800848443e-23,7.573064690121713e-29,8.271806125530277e-25,9.966557429606605e-28,0.0,0.0,1.2407709188295415e-24,6.776263578034403e-21,8.077935669463161e-28,0.0012451316993502997,8.2562778549196e-06,0.0,7.265109137228881e-08,2.8183136346292785e-13,2.580250715472737e-07,1.0144819932373266e-12,3.7216813733342964e-09,0.0,1.2276233820587287e-08,8.481247866999448e-13,0.000606548115375865,1.6644484177121474e-08,9.299800138056994e-13,3.965590073323354e-07,6.778301373192025e-13,1.2851848386172237e-05,8.025921477477621e-12,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.00012469064150261378,0.0,2.0679515313825692e-25,1.0339757656912846e-25,0.0,1.550963648536927e-25,0.0,2.0194839173657902e-28,8.256277860468531e-06,2.0616112534733954e-09,0.0,1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-20,5.421010862427522e-20,7.646536526709477e-08,3.9111563994084743e-13,0.0005053151024337519,1.6940658945086007e-21,8.470329472543003e-22,0.0,0.0,0.0,8.470329472543003e-22,2.559196259426406e-07,1.0355578217304687e-12,6.966970916377909e-09,1.3436934709599342e-05,5.421010862427522e-20,0.0,1.0842021724855044e-19,0.0,5.421010862427522e-20,1.483055091608666e-08,7.740922013919023e-13,0.0006065481833105553,1.3130822139002583e-08,0.0008511620494596027,6.617444900424222e-24,1.3234889800848443e-23,6.617444900424222e-24,0.0,0.0,0.0,9.660194344220723e-13,3.9655900733807287e-07,3.761180732871021e-12,1.2851847861710007e-05,8.042968316806604e-12,8.968413878689183e-08
7,1.3651018360261505e-07,4.665740692425555e-08,1.0482227580510042e-07,1.3651032051656388e-07,1.5717156108495485e-08,1.0482228113578895e-07,4.6657391124836637e-08,3.027046821885253e-08,1.5717135531160962e-08,1.97044802117542e-07,1.365101835695974e-07,1.9704481113958352e-07,4.665740141977234e-08,1.571713553116471e-08,1.9704480211761288e-07,1.0482227580506924e-07,4.665739118115967e-08,1.9704481082906637e-07,1.9704480701334028e-07,3.027047146991237e-08,1.048222758051095e-07,4.6657401419764625e-08,1.3651032051657002e-07,1.5717135531133893e-08,3.027046841085828e-08,1.0482227580511432e-07,1.3651018354744086e-07,3.027046836438096e-08,3.027046841085898e-08,1.5717135531163983e-08,1.5777218104420236e-30,5.048709793414476e-29,7.888609052210118e-31,9.466330862652142e-30,5.048709793414476e-29,2.6469779601696886e-23,1.3234889800848443e-23,0.0,4.963083675318166e-24,5.048709793414476e-29,3.1554436208840472e-30,0.0,6.310887241768095e-30,3.1554436208840472e-30,3.308722450212111e-24,0.0,2.0002978471773756e-30,2.6469779601696886e-23,3.308722450212111e-24,0.0,0.0,1.262177448353619e-29,1.262177448353619e-29,2.033742357751719e-30,5.169878828456423e-26,3.308722450212111e-24,9.466330862652142e-30,2.6469779601696886e-23,2.3665827156630354e-30,8.677660680265141e-07,4.01443771212633e-08,3.308722450212111e-24,2.5586876343632477e-13,2.3233461009593827e-15,8.43682603076625e-10,1.0726045747717702e-13,3.872619155039477e-14,1.3234889800848443e-23,2.7511032332849154e-14,6.222765703374625e-14,5.356548357127486e-07,4.379371046827992e-13,4.7184970476529664e-14,1.3053845593452302e-09,4.748399352799181e-15,6.245874369167023e-08,2.3333855139946544e-14,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,0.0,0.0,8.410771186875465e-07,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,1.5777218104420236e-30,1.262177448353619e-29,4.014439249365906e-08,3.176260951395375e-07,9.926167350636332e-24,9.926167350636332e-24,3.308722450212111e-24,9.926167350636332e-24,9.926167350636332e-24,2.5734957326189397e-13,1.9791787418976942e-15,3.6620530397320666e-08,1.3234889800848443e-23,1.3234889800848443e-23,6.617444900424222e-24,0.0,0.0,3.308722450212111e-24,8.438383386075886e-10,1.4414035826034717e-13,4.308783345036525e-14,7.960601414965396e-08,5.293955920339377e-23,3.970466940254533e-23,7.940933880509066e-23,3.970466940254533e-23,2.6469779601696886e-23,7.780526124312881e-14,6.428704590112064e-14,5.356548349475705e-07,4.019344793816661e-13,4.3082296982334674e-07,5.293955920339377e-23,0.0,0.0,0.0,0.0,6.310887241768095e-30,2.5882879666903847e-14,1.3053849479539855e-09,3.9571912008053675e-15,6.245872158866258e-08,2.319107661154031e-14,2.5611236856975147e-07
8,1.5106320373814708e-07,7.245195627571567e-08,3.076833198184354e-08,1.5106320420653666e-07,8.773265972876887e-08,3.076833099186768e-08,7.245195629000613e-08,4.732742850271187e-08,8.773265986953704e-08,3.2593615593999854e-08,1.5106320373649573e-07,3.259361556418894e-08,7.245195627308108e-08,8.773265986953693e-08,3.2593615594e-08,3.0768331981842414e-08,7.245195628937266e-08,3.2593615567599875e-08,3.2593615571835384e-08,4.7327428495369016e-08,3.076833198184273e-08,7.245195627308119e-08,1.510632042065357e-07,8.77326598695355e-08,4.7327428500899916e-08,3.076833198184296e-08,1.5106320373822225e-07,4.732742850091039e-08,4.732742850089991e-08,8.773265986953678e-08,1.064962222048366e-29,2.68212707775144e-29,4.141519752410312e-29,8.973292796889009e-30,4.220405842932413e-29,6.617444900424222e-24,1.3234889800848443e-23,6.617444900424222e-24,2.5849394142282115e-26,2.68212707775144e-29,3.135722098253522e-29,0.0,7.888609052210118e-30,4.092215945833999e-30,1.550963648536927e-25,6.617444900424222e-24,1.3725212382058314e-29,0.0,5.169878828456423e-26,1.6171648557030742e-29,0.0,1.34106353887572e-29,4.890937612370273e-29,1.3684212607826723e-29,0.0,6.617444900424222e-24,1.0452406994178406e-29,8.271806125530277e-25,5.640355472330234e-29,2.2280727386542158e-07,3.8587144398980346e-10,6.617444900424222e-24,9.331677484855108e-15,1.3728271631469962e-14,9.725957307746544e-11,1.5414394666798007e-14,7.849510431746592e-15,6.617444900424222e-24,1.4558270380554868e-14,6.170319118647586e-15,9.446785373202011e-09,1.6000889044160316e-14,3.3323987657068585e-15,1.5621062704494326e-10,2.412752843797457e-15,6.277615107226891e-10,6.464966216492764e-15,1.3234889800848443e-23,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,0.0,3.3132158019282496e-29,9.526330541106183e-08,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,0.0,7.296963373294359e-30,1.5777218104420236e-29,3.858705571082063e-10,1.4142831099640804e-08,6.948317145445432e-23,6.948317145445432e-23,6.948317145445432e-23,6.28657265540301e-23,6.28657265540301e-23,9.324012271540578e-15,1.4023125044381271e-14,5.595014028258732e-08,1.737079286361358e-23,1.819797347616661e-23,1.819797347616661e-23,1.9852334701272664e-23,1.9852334701272664e-23,1.0339757656912846e-25,9.725558395099817e-11,1.4614429201758685e-14,9.905633950800428e-15,1.1263475892525218e-08,3.970466940254533e-23,4.632211430296955e-23,3.970466940254533e-23,4.632211430296955e-23,4.632211430296955e-23,1.2363486355623091e-14,6.802000721666629e-15,9.446786340084099e-09,1.488957192467418e-14,6.186080011894844e-08,4.756288522179909e-23,4.839006583435212e-23,4.756288522179909e-23,4.7976475528075605e-23,4.756288522179909e-23,3.076557530361946e-29,2.1079340139432695e-15,1.5621059828722003e-10,1.8575670871248486e-15,6.277611627593431e-10,6.493071541494532e-15,6.853672845708417e-09
9,1.2910279218468376e-07,6.962725912206309e-08,2.321944082425787e-08,1.2910279260613694e-07,7.684989513480277e-08,2.321943985012052e-08,6.962725913938064e-08,4.619935510656446e-08,7.684989527385408e-08,3.335662053756063e-08,1.2910279218291917e-07,3.335662050530196e-08,6.962725912031458e-08,7.684989527385398e-08,3.335662053756062e-08,2.3219440824256525e-08,6.962725913877088e-08,3.335662050929291e-08,3.3356620513349536e-08,4.619935509935967e-08,2.3219440824256862e-08,6.962725912031456e-08,1.2910279260613604e-07,7.68498952738525e-08,4.619935510494854e-08,2.3219440824257147e-08,1.29102792184759e-07,4.6199355104960187e-08,4.61993551049485e-08,7.684989527385379e-08,9.860761315262648e-30,3.155443620884047e-29,1.5777218104420236e-29,8.184431891667997e-30,2.129924444096732e-29,9.926167350636332e-24,0.0,1.9852334701272664e-23,2.5849394142282115e-26,2.997671439839845e-29,2.603240987229339e-29,1.2924697071141057e-26,1.8932661725304283e-29,1.0846837446788912e-29,0.0,1.6543612251060553e-23,1.2771893052853082e-30,1.6543612251060553e-24,0.0,1.34106353887572e-29,2.5849394142282115e-26,1.6566079009641248e-29,2.4454688061851366e-29,1.3256315713429994e-30,0.0,6.617444900424222e-24,1.1635698352009924e-29,1.6543612251060553e-24,2.997671439839845e-29,2.8674719084841024e-07,3.321634746935647e-10,1.3234889800848443e-23,1.8851283442785126e-14,1.2743888726384041e-14,8.500915951262642e-11,8.69683600941268e-15,7.595909018671847e-15,6.617444900424222e-24,1.3860749599410176e-14,2.6183305242797227e-15,1.2018315017224362e-08,1.1590771080377663e-14,1.081686196008449e-15,1.4487027058668953e-10,3.1028088365405255e-16,5.790364860299611e-10,6.165045480489143e-15,2.6469779601696886e-23,2.6469779601696886e-23,0.0,0.0,0.0,0.0,3.2343297114061484e-29,1.234003954074023e-07,2.150669592637872e-23,1.819797347616661e-23,1.819797347616661e-23,1.6543612251060553e-23,1.6543612251060553e-23,7.888609052210118e-30,3.1554436208840472e-30,3.3216246487932437e-10,2.4522444716571605e-08,5.293955920339377e-23,3.970466940254533e-23,4.632211430296955e-23,5.293955920339377e-23,5.293955920339377e-23,1.8885931765270534e-14,1.3058359302441312e-14,7.015362842813584e-08,5.790264287871194e-24,6.617444900424222e-24,7.444625512977249e-24,8.271806125530277e-24,8.271806125530277e-24,1.0339757656912846e-25,8.50048148938905e-11,7.802825099091586e-15,9.798763205425512e-15,8.749022134095968e-09,4.632211430296955e-23,4.632211430296955e-23,4.301339185275744e-23,4.301339185275744e-23,4.963083675318166e-23,1.1966471654382795e-14,3.2366772320237943e-15,1.2018315896984975e-08,1.0474332505427317e-14,6.507155232922084e-08,1.4889251025954498e-23,1.406207041340147e-23,1.4889251025954498e-23,1.4889251025954498e-23,1.4889251025954498e-23,2.997671439839845e-29,2.529526619277975e-15,1.4487022512367395e-10,3.1147497198017843e-16,5.790361106348789e-10,6.193178813181578e-15,1.234819210117563e-08
