,Y5Z2,Y2Z5,Y3Z0,Y0Z3,Y5Z1,Y1Z5,Y3Z5,Y5Z3,Y3Z2,Y2Z3,Y1Z0,Y0Z1,Y4Z1,Y1Z4,Y1Z3,Y3Z1,Y5Z4,Y4Z5,Y4Z0,Y0Z4,Y4Z2,Y2Z4,Y4Z3,Y3Z4,Y2Z1,Y1Z2,Y0Z2,Y2Z0,Y0Z5,Y5Z0,standard_y,X5Y4,X5Y3,X5Y0,X4Y3,X2Y3,X1Y3,X0Y4,X1Y4,Y5,Y4,Y1,Y0,X5Y1,X4Y1,X3Y0,X2Y5,X2Y0,X0Y5,X0Y3,X0Y1,X3Y1,X2Y1,X4Y2,X1Y2,X3Y2,X0Y2,X1Y5,X5Y2,X1Y0,standard_x,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8637801669945346,0.8637801669945346,0.8377419709538758,0.8377419709538758,0.821377968203548,0.821377968203548,0.8196446032004606,0.8196446032004605,0.8171021370471873,0.8171021370471871,0.7915259359614659,0.7915259359614659,0.6315916054226252,0.6315916054226252,0.5022333095999483,0.502233309599948,0.46043640375370687,0.46043640375370687,0.31747977244224945,0.3174797724422494,0.1026215321064795,0.1026215321064795,0.09579963227952204,0.09579963227952204,0.06968006273885705,0.06968006273885696,0.031033736141028605,0.031033736141028525,0.012018149857676123,0.012018149857676103,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.9081958235744878e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.0408340855860843e-17,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00013877710016196117,0.00013877710016196117,0.837741970953876,0.8377419709538758,0.00013196465596197602,0.7516979063639975,0.002542476698975844,0.00013168616916887487,0.0025424555747571597,0.0001312776901443577,0.7915259359614659,0.7915259359614659,0.6315916054226252,0.631591605422625,0.5022333095999483,0.5022333095999483,7.397487388981192e-05,0.35781487297168374,0.31747977244224945,0.31747977244224934,0.3578148657047324,1.64874341691211e-05,0.09579963227952205,0.09579963227952201,1.11949746191189e-05,0.7516978948638037,0.019015586438461404,4.985958318339857e-06,0.019015585882824076,1.9308662670078708e-06,1.6653175962787897e-16,0.0,0.0,0.0,0.0,2.0328790734103208e-20,2.7755575615628914e-17,0.0,4.163336342344337e-17,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,6.776263578034403e-21,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,0.0,4.570263682937342e-17,8.326672684688674e-17,0.0,5.082197683525802e-21,3.3881317890172014e-21,5.929230630780102e-21,3.3881317890172014e-21,1.0587911840678754e-21,0.0,2.65572436634155e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.4091479632284778e-06,2.4091479632284778e-06,4.003089906330241e-05,4.003089906330241e-05,2.29088503620487e-06,0.7516979054649621,1.2148992125210418e-07,2.2525310252528345e-06,1.21489920947906e-07,2.192403992876903e-06,0.28929262693490176,3.782249898782253e-05,0.6315916054226252,0.6315916054226252,0.2892926254578573,2.39988583834852e-05,1.2841918194985678e-06,0.3578148716476265,0.22168014027209884,1.5170543157584775e-05,0.35781487164543657,2.862191845848149e-07,0.22168013980027068,4.577716699231939e-06,1.9434294469742323e-07,0.7516979054614963,9.086461482567686e-07,2.1924039901762682e-06,9.086461482487662e-07,2.2525310226046537e-06,8.326492690187383e-17,1.0587911840678754e-22,0.0,0.0,3.3881317890172014e-21,1.2924697071141057e-26,1.6940658945086007e-21,1.6940658945086007e-21,1.3877787807814457e-17,0.0,0.0,8.326672684688674e-17,0.0,1.0587911840678754e-22,1.3877787807814457e-17,0.0,0.0,0.0,6.462348535570529e-27,0.0,6.109513653221956e-23,6.776263578034403e-21,0.0,0.0,1.0587911840678754e-22,1.6155871338926322e-27,8.077935669463161e-28,2.117582368135751e-22,1.1102230246251565e-16,1.2374248015990828e-21,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1763735522036263e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7.814276127176746e-13,5.8914043783761046e-08,2.1217635140791545e-06,2.1217635140791545e-06,7.430680274423231e-13,9.16611465566428e-06,1.2655756027815616e-06,7.306275780758034e-13,1.2655756027815694e-06,5.8318174169146784e-08,3.5275998017360965e-06,2.0528724692927204e-06,0.2737767338019995,7.701552749811125e-06,3.5275998016854973e-06,1.2655756028766086e-06,4.165385285983254e-13,0.2737767337284417,0.22168014016303472,8.040864860323505e-07,0.27377673372844147,7.613460070383952e-09,0.22168014016170923,2.426333781527591e-07,5.8914043778612396e-08,9.166114655664252e-06,2.0528724691472544e-06,5.831817416894496e-08,2.0528724691472595e-06,7.306275780733905e-13,2.7755042911263942e-17,5.048709793414476e-29,1.925929944387236e-34,3.851859888774472e-34,1.0587911840678754e-22,1.262177448353619e-29,0.0,5.293955920339377e-23,1.0587911840678754e-22,5.048709793414476e-29,2.7755575615628914e-17,3.1763735522036263e-22,0.0,6.617444900424222e-24,0.0,0.0,0.0,2.524354896707238e-29,1.925929944387236e-34,0.0,2.498168437265834e-28,0.0,1.262177448353619e-29,3.308722450212111e-24,7.573064690121713e-29,0.0,1.262177448353619e-29,6.617444900424222e-24,1.6940658945086007e-21,8.117625430299749e-28,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.1484467022938522e-14,1.679336183223615e-08,1.0647514585035823e-06,1.0634696310719882e-06,4.769121322428491e-15,1.0383720387209871e-10,5.105589705105449e-07,1.0727669223717455e-14,5.105589705105451e-07,1.4693388363664855e-08,3.9768523624008506e-11,6.230289205171139e-07,5.363223305884024e-05,8.710000842053332e-11,3.97685236238643e-11,5.105589705106758e-07,4.7691209992106124e-15,5.36322330587914e-05,4.341541080960678e-05,6.23028893248217e-07,5.36322330587914e-05,1.679336158279236e-08,4.341541080954066e-05,5.105589560485207e-07,1.6793361832232207e-08,1.0383720387209871e-10,6.230289205169682e-07,1.4693388363651901e-08,6.230289205169683e-07,1.0727669223708428e-14,3.439416986995489e-21,0.0,0.0,0.0,1.2924697071141057e-26,2.3665827156630354e-30,6.162975822039155e-33,0.0,6.617444900424222e-24,0.0,3.3881317890172014e-21,0.0,5.293955920339377e-23,2.0194839173657902e-28,9.926167350636332e-24,0.0,0.0,0.0,0.0,0.0,2.3562990547715998e-33,1.8488927466117464e-32,9.62964972193618e-35,0.0,9.62964972193618e-35,0.0,1.5777218104420236e-30,2.0194839173657902e-28,0.0,3.783387746413031e-33,2.199243281415395e-06,2.2293393613526835e-19,2.9311217030836257e-21,2.0057728701864682e-11,0.0,1.1068810113706451e-08,2.288596495884316e-13,1.904532455630322e-15,1.6543612251060553e-24,6.893116613922123e-13,1.1360548487562355e-08,2.5509523005788554e-17,2.854469355434195e-19,3.0027572490978285e-21,1.5008541177613203e-11,0.0007951282235475958,1.2968295146729504e-15,2.133944324255431e-17,0.0,9.860761315262648e-32,0.0,1.9721522630525295e-31,4.930380657631324e-32,2.053014084464862e-15,0.0,0.0,0.0,0.0,0.0,1.925929944387236e-34,1.2924697071141057e-26,6.640664036681521e-19,2.4327285815622264e-06,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,6.462348535570529e-27,4.114286037672673e-21,2.8117983641459037e-11,1.1033296182570215e-07,2.0679515313825692e-25,0.0,0.0,0.0,0.0,5.048709793414476e-29,1.1068810113706486e-08,4.912455503362873e-13,4.045422220501622e-15,2.686192212213713e-09,4.0389678347315804e-28,4.0389678347315804e-28,1.6155871338926322e-27,4.0389678347315804e-28,1.6155871338926322e-27,6.893116613924302e-13,1.1360550521195677e-08,4.0641550459201705e-17,6.647905675663808e-19,1.456478083278617e-11,1.3234889800848443e-23,1.3234889800848443e-23,0.0,0.0,1.3234889800848443e-23,4.2211950625207326e-21,3.5980479313778325e-11,0.0007951282236132685,5.764136745497363e-15,3.5670207923416846e-17,1.2048070883673451e-07
5,1.3209771994694516e-14,1.3568997021643875e-08,9.338881684999458e-08,2.696538393174399e-07,6.406025349223376e-15,2.60480588934487e-14,9.339411108666296e-08,1.0005353284729773e-14,9.339411108667506e-08,1.3582923434892232e-08,1.9815192690302175e-14,2.6965538798499015e-07,3.972634879202285e-09,1.411121922139252e-14,1.9815192690305845e-14,9.339411108666397e-08,6.406025349226037e-15,3.972634879202035e-09,3.973161807149963e-09,2.696553879851484e-07,3.972634879192594e-09,1.3568997021820695e-08,3.9731618071469486e-09,9.339411108652611e-08,1.3568997021643968e-08,2.6048058893449046e-14,2.696553879849986e-07,1.358292343489733e-08,2.69655387984989e-07,1.0005353284731304e-14,7.03103599556164e-24,0.0,7.52316384526264e-37,0.0,1.262177448353619e-29,6.310887241768095e-30,1.504632769052528e-36,5.048709793414476e-29,1.6543612251060553e-24,7.888609052210118e-31,4.1359030627651384e-25,1.5777218104420236e-30,0.0,0.0,0.0,0.0,3.308722450212111e-24,2.3665827156630354e-30,3.76158192263132e-37,1.0587911840678754e-22,2.928707941769402e-37,3.009265538105056e-36,0.0,1.5777218104420236e-30,7.52316384526264e-37,1.5777218104420236e-30,3.1554436208840472e-30,0.0,3.308722450212111e-24,1.0059091283434134e-37,3.27005481055897e-07,2.1192656445879724e-20,5.4017959669638034e-21,8.228678054080048e-15,6.617444900424222e-24,2.3784689069693352e-08,1.6704541848455034e-13,3.3016932145753814e-14,8.271806125530277e-25,5.843469581229109e-13,1.0476901953189542e-08,4.748656338068554e-20,3.0652155360225537e-20,1.3305883566133329e-20,2.0471898285005503e-13,4.3397000192675354e-08,2.616407944459019e-13,1.9796321154663368e-21,0.0,5.9164567891575885e-31,3.944304526105059e-31,0.0,3.944304526105059e-31,1.0268788322852686e-14,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,1.725499130747936e-20,3.7660991825450603e-08,0.0,0.0,0.0,1.3234889800848443e-23,1.3234889800848443e-23,3.76158192263132e-37,0.0,4.46146681302276e-21,5.79986074514445e-14,1.4359685966018016e-07,2.0679515313825692e-25,0.0,0.0,0.0,0.0,1.5777218104420236e-30,2.3784689069689253e-08,1.7510984686473752e-13,1.9230014227071435e-14,1.049200140208312e-09,7.888609052210118e-31,1.5777218104420236e-30,0.0,7.888609052210118e-31,3.1554436208840472e-30,5.843469581229095e-13,1.047690195316514e-08,5.245415307966091e-20,1.2111605505440675e-20,3.720280031176367e-14,5.293955920339377e-23,5.293955920339377e-23,0.0,0.0,5.293955920339377e-23,1.418723919310723e-21,3.547206181001125e-13,4.339698645537803e-08,2.0200606900823713e-13,1.481831930448321e-20,5.093125596157481e-07
6,5.023069569783669e-17,4.2888429380085547e-10,4.897096961258416e-09,1.4140015849235972e-08,2.4359101912307483e-17,4.094398620788917e-16,4.897359983237778e-09,3.804577879439951e-17,4.8973599832377785e-09,4.2932299124552923e-10,3.114674715534651e-16,1.4140095049840388e-08,5.190598293193895e-10,2.2180900932106413e-16,3.114674715534649e-16,4.8973599832377785e-09,2.435910191230766e-17,5.190598293193892e-10,5.191146680234228e-10,1.414009504984053e-08,5.19059829319388e-10,4.288842938009508e-10,5.19114668023454e-10,4.8973599832376445e-09,4.2888429380085547e-10,4.094398620788917e-16,1.4140095049840388e-08,4.29322991245524e-10,1.4140095049840388e-08,3.804577879439949e-17,8.013311845143785e-25,1.8367099231598242e-40,9.183549615799121e-41,0.0,0.0,0.0,2.938735877055719e-39,3.944304526105059e-31,1.550963648536927e-25,3.0814879110195774e-33,5.169878828456423e-26,3.697785493223493e-32,0.0,9.860761315262648e-32,1.550963648536927e-25,0.0,0.0,6.162975822039155e-33,1.8367099231598242e-40,1.0587911840678754e-22,5.919101353727291e-40,0.0,3.6734198463196485e-40,1.232595164407831e-32,3.6734198463196485e-40,0.0,6.162975822039155e-33,9.860761315262648e-32,0.0,6.222083758049937e-41,2.4188458443971706e-08,1.0529120343543608e-23,2.4250239730872684e-24,1.271044975221321e-16,8.271806125530277e-25,2.861402894008123e-09,6.898582972307047e-16,3.799616609977214e-16,2.5849394142282115e-26,2.4132150887248433e-15,1.260417558250487e-09,4.9390832038734005e-23,1.5228875243205724e-23,3.754800902438156e-24,1.5088894600480515e-15,1.580945211069851e-08,4.4256970720682464e-16,1.0424808571774583e-23,3.0814879110195774e-33,0.0,1.5407439555097887e-33,0.0,0.0,3.904754814818862e-17,0.0,0.0,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,0.0,8.57277870489582e-24,4.920676876656375e-09,0.0,8.271806125530277e-25,0.0,0.0,0.0,1.8367099231598242e-40,0.0,3.023618410631846e-25,4.680897250391287e-16,7.53036554956326e-09,0.0,6.462348535570529e-27,0.0,6.462348535570529e-27,6.462348535570529e-27,1.232595164407831e-32,2.8614028940081226e-09,7.231628113452424e-16,3.5710898177424287e-16,3.316599248673449e-11,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,1.232595164407831e-32,4.930380657631324e-32,2.4132150887248433e-15,1.2604175582504369e-09,5.37914463805477e-23,6.0174010935382246e-24,5.847770325266784e-16,1.6543612251060553e-24,0.0,0.0,0.0,0.0,5.0390152335040745e-25,2.904349537277601e-15,1.5809452365158443e-08,4.802922789539785e-16,1.467244585813943e-23,1.1704249479535851e-08
7,1.183652467306369e-15,4.295308439430929e-10,4.2260678483394624e-09,1.6720663834423932e-08,1.124341855112386e-15,5.297594721448798e-16,4.226377280637716e-09,1.17104860541581e-15,4.226377280637715e-09,4.299332841146458e-10,6.329445734624093e-16,1.6720734618160247e-08,4.678025680623158e-10,7.090044506696844e-16,6.329445734624099e-16,4.2263772806377165e-09,1.1243418551123785e-15,4.678025680623058e-10,4.677678223143303e-10,1.6720734618160154e-08,4.678025680623044e-10,4.295308439432047e-10,4.677678223143597e-10,4.2263772806377e-09,4.29530843943129e-10,5.29759472144877e-16,1.6720734618160247e-08,4.2993328411464236e-10,1.6720734618160247e-08,1.1710486054158096e-15,7.754800986352333e-26,4.70197740328915e-38,0.0,0.0,0.0,2.465190328815662e-32,2.938735877055719e-39,0.0,0.0,9.860761315262648e-32,1.0339757656912846e-25,7.395570986446986e-32,0.0,0.0,1.0339757656912846e-25,0.0,0.0,1.232595164407831e-32,1.4693679385278594e-39,1.0587911840678754e-22,1.5338069385224088e-39,1.4693679385278594e-39,2.350988701644575e-38,2.465190328815662e-32,2.350988701644575e-38,0.0,6.162975822039155e-33,0.0,4.1359030627651384e-25,2.995847148003342e-39,2.044884029375082e-08,1.1886697413237967e-22,1.7304455468439365e-23,1.7468273404331385e-16,0.0,2.514408229913232e-09,6.470793379274598e-16,3.2299156450658117e-16,2.5849394142282115e-26,1.8571287300946646e-15,1.0885126836827145e-09,8.621338709271231e-24,9.250217727920418e-24,5.549005965952748e-23,1.18922698657977e-15,4.774410683591983e-08,4.469585598261394e-16,1.7191295205706316e-23,3.944304526105059e-31,0.0,0.0,3.944304526105059e-31,3.944304526105059e-31,5.509608406989498e-15,0.0,0.0,0.0,4.1359030627651384e-25,4.1359030627651384e-25,1.1754943508222875e-38,0.0,3.484242196398404e-23,4.925817839783158e-09,8.271806125530277e-25,0.0,8.271806125530277e-25,0.0,0.0,0.0,1.232595164407831e-32,4.0006115881118956e-23,4.637050382910671e-16,7.926401339516203e-09,1.6155871338926322e-27,1.6155871338926322e-27,1.6155871338926322e-27,1.6155871338926322e-27,1.6155871338926322e-27,0.0,2.514408229913212e-09,6.804690626651789e-16,2.9938070558653723e-16,2.3734064617102675e-11,1.9721522630525295e-31,3.944304526105059e-31,0.0,1.9721522630525295e-31,1.9721522630525295e-31,1.8571287300946654e-15,1.0885126836827946e-09,3.288730064985802e-23,3.812186334433905e-24,5.273082329777994e-15,1.6543612251060553e-24,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,7.371204416777657e-23,3.9532904060512813e-16,4.7744107091532165e-08,4.706403666821513e-16,1.4803498956486174e-23,7.572876267143618e-09
8,2.2748794151632943e-15,4.297839317134127e-10,3.878306531091693e-09,1.757764018180495e-08,2.2244986232862297e-15,1.3744244757036473e-15,3.878632183728584e-09,2.262083548402735e-15,3.878632183728584e-09,4.3015084803139045e-10,1.4801721532159429e-15,1.757770662845096e-08,4.421545085285337e-10,1.5492356579645703e-15,1.4801721532159435e-15,3.8786321837285845e-09,2.224498623286209e-15,4.421545085285225e-10,4.4207504348657416e-10,1.7577706628450748e-08,4.4215450852852107e-10,4.297839317135181e-10,4.420750434866026e-10,3.878632183728628e-09,4.2978393171345487e-10,1.3744244757036445e-15,1.757770662845096e-08,4.3015084803138807e-10,1.757770662845096e-08,2.262083548402735e-15,3.8774101074184488e-25,4.70197740328915e-38,2.938735877055719e-39,9.183549615799121e-40,4.930380657631324e-32,2.465190328815662e-32,0.0,0.0,1.0339757656912846e-25,1.9721522630525295e-31,5.169878828456423e-26,9.860761315262648e-32,0.0,9.860761315262648e-32,1.0339757656912846e-25,0.0,0.0,0.0,1.4693679385278594e-39,0.0,5.436529359290096e-40,2.938735877055719e-39,1.1754943508222875e-38,0.0,1.1754943508222875e-38,2.465190328815662e-32,6.162975822039155e-33,9.860761315262648e-32,0.0,1.6439206105767926e-39,1.833671333518104e-08,2.864662325999382e-22,2.4763799132777045e-23,1.9551956923369652e-16,4.1359030627651384e-25,2.334250787665639e-09,6.117133935313704e-16,2.6949960306136877e-16,2.5849394142282115e-26,1.4674022144799901e-15,9.98990665302237e-10,1.4780338474172854e-23,3.0462733130214474e-23,5.648457331919903e-23,2.526365133753601e-15,6.370637457342898e-08,4.3650680919113e-16,2.25831510352148e-23,0.0,0.0,0.0,0.0,0.0,5.159967250545033e-15,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,2.350988701644575e-38,0.0,3.827865250583506e-23,4.928189394547601e-09,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,3.6734198463196485e-40,1.232595164407831e-32,4.369495344782206e-23,4.579098498879421e-16,8.102220520144916e-09,0.0,1.6155871338926322e-27,0.0,0.0,0.0,4.930380657631324e-32,2.3342507876656205e-09,6.451460909350113e-16,2.455466115587045e-16,1.9010033012051725e-11,0.0,1.9721522630525295e-31,1.9721522630525295e-31,0.0,0.0,1.4674022144799901e-15,9.989906653023929e-10,3.4454372332937e-23,1.5245412751616568e-23,5.099227337062185e-15,0.0,0.0,0.0,8.271806125530277e-25,0.0,7.38988574899272e-23,8.853998388351618e-16,6.370637482653304e-08,4.525864467719709e-16,1.5861913905863583e-23,5.287283128281885e-09
9,3.2731755129055393e-15,4.299895571057855e-10,3.523248559440198e-09,1.8123768374300388e-08,3.23238094710324e-15,2.1783626280116127e-15,3.5235854184287077e-09,3.2601995266627063e-15,3.523585418428707e-09,4.303105837948282e-10,2.2866426855471546e-15,1.8123830404922333e-08,4.1649435226895985e-10,2.3485940146814184e-15,2.2866426855471554e-15,3.523585418428708e-09,3.2323809471032086e-15,4.164943522689478e-10,4.163703629619353e-10,1.8123830404922015e-08,4.164943522689463e-10,4.29989557105882e-10,4.1637036296196253e-10,3.5235854184288115e-09,4.2998955710583244e-10,2.1783626280116095e-15,1.8123830404922333e-08,4.3031058379482696e-10,1.8123830404922333e-08,3.2601995266627063e-15,2.584949274989527e-26,4.70197740328915e-38,0.0,2.938735877055719e-39,4.930380657631324e-32,2.465190328815662e-32,0.0,3.944304526105059e-31,2.0679515313825692e-25,1.9721522630525295e-31,5.169878828456423e-26,9.860761315262648e-32,0.0,9.860761315262648e-32,0.0,0.0,4.1359030627651384e-25,2.465190328815662e-32,0.0,0.0,5.9008763176961e-40,7.346839692639297e-40,2.350988701644575e-38,2.465190328815662e-32,1.1754943508222875e-38,0.0,1.232595164407831e-32,1.9721522630525295e-31,4.1359030627651384e-25,4.4627157667174576e-41,1.611569808205988e-08,4.346648295817773e-22,3.141991937508878e-23,2.1425440280054533e-16,0.0,2.1500652140677568e-09,5.676502881497175e-16,2.023982623936809e-16,2.5849394142282115e-26,1.0225586067655406e-15,9.073414139267701e-10,2.0331416574886006e-23,4.974863413828537e-23,5.0108132345154987e-23,3.7839712393056324e-15,7.966357680847533e-08,4.178268380938975e-16,2.730760138812185e-23,3.944304526105059e-31,3.944304526105059e-31,3.944304526105059e-31,3.944304526105059e-31,3.944304526105059e-31,4.596938792899008e-15,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,3.944304526105059e-31,1.0178151939742367e-22,4.930428289248562e-09,0.0,0.0,0.0,0.0,0.0,9.183549615799121e-40,2.465190328815662e-32,4.6450289338773464e-23,4.496293495983701e-16,8.262790819873503e-09,8.077935669463161e-28,8.077935669463161e-28,1.6155871338926322e-27,0.0,0.0,2.465190328815662e-32,2.1500652140677402e-09,6.011259470001579e-16,1.781282609781262e-16,1.428025554488453e-11,1.9721522630525295e-31,0.0,3.944304526105059e-31,1.9721522630525295e-31,0.0,1.0225586067655406e-15,9.073414139269969e-10,3.582121892530583e-23,3.2804571042019423e-23,4.787390626284876e-15,2.0679515313825692e-25,2.0679515313825692e-25,0.0,0.0,2.0679515313825692e-25,6.66426990489689e-23,2.1133914073388313e-15,7.96635770570362e-08,4.260653794951433e-16,1.6661147015802908e-23,2.908189333063511e-09
