,Y5Z2,Y2Z5,Y2Z1,Y1Z2,Y0Z1,Y1Z0,Y0Z5,Y5Z0,Y3Z5,Y5Z3,Y4Z2,Y2Z4,Y2Z0,Y0Z2,Y4Z0,Y0Z4,Y0Z3,Y3Z0,Y1Z3,Y3Z1,Y1Z5,Y5Z1,Y1Z4,Y4Z1,Y5Z4,Y4Z5,Y4Z3,Y3Z4,Y2Z3,Y3Z2,standard_y,Y1,X2Y0,X3Y0,X4Y5,X4Y3,X3Y4,X2Y4,Y4,Y3,Y2,X5Y2,X5Y0,X4Y0,X3Y2,X3Y1,X2Y3,X1Y4,X1Y2,X0Y3,X1Y0,X5Y3,X5Y1,X4Y1,X3Y5,X1Y5,X0Y4,X1Y3,X0Y1,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y1,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.992596950931832,0.992596950931832,0.9886060277444721,0.9886060277444721,0.9659191880249441,0.965919188024944,0.7676600630784518,0.7676600630784517,0.7590465364808303,0.7590465364808301,0.6432199124652143,0.6432199124652143,0.5597559139989046,0.5597559139989046,0.5232794754292152,0.5232794754292152,0.47367188821064365,0.47367188821064354,0.4205655582795726,0.42056555827957254,0.3746875347064149,0.3746875347064148,0.23093618522963222,0.2309361852296321,0.21091020892880558,0.21091020892880558,0.2072168217777952,0.2072168217777952,0.06769746793327758,0.0676974679332775,2.914335439641036e-16,2.220446049250313e-16,1.6653345369377348e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.204170427930421e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002793481785444865,0.002793481785444865,0.0027822500652380545,0.6139199768741259,0.965919188024944,0.965919188024944,0.20790636582266764,0.0021604382338772507,0.6913493366427931,0.0021361970455114065,0.4323105387821702,0.0018102242887409552,0.0015753301967964329,0.20790110899525152,0.5232794754292152,0.5232794754292152,0.47367188821064377,0.4736718882106436,0.42056555827957254,0.42056555827957265,0.6139145779644406,0.0010544892390138855,0.23093618522963222,0.23093618522963216,0.0005935680403348848,0.4323071562594971,0.2072168217777952,0.2072168217777952,0.00019052208795807224,0.6913460625745105,5.5402731014009277e-17,5.551115123125783e-17,2.168404344971009e-19,1.1102230246251565e-16,2.168404344971009e-19,2.7755575615628914e-17,4.163336342344337e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,2.168404344971009e-19,1.3877787807814457e-16,1.0842021724855044e-19,0.0,1.0842021724855044e-19,0.0,6.4313358800446906e-18,0.0,0.0,0.0,1.0842021724855044e-19,0.0,1.3877787807814457e-17,1.3877787807814457e-17,1.3138936849792292e-17,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00012140386925667547,0.00012140386925667547,5.245249331083492e-05,0.0011622896043122551,0.001828708270647298,0.001828708270647298,0.00039361061390404253,4.8064289270707423e-05,0.6913490690539154,9.283847425497449e-05,0.4323097051139719,7.867179733214798e-05,5.245215391247115e-05,0.0003936105951065525,0.29234370407502,0.0009906889897632653,0.0008967703616232102,0.05310708365337774,0.0007962278048827742,0.05310548103353027,0.001162289585006704,4.806403887001293e-05,0.0004372155736803303,0.2923423523971275,2.5796286605205685e-05,0.4323096987252612,0.20721682177779524,0.20721682177779518,8.280032029379104e-06,0.6913490628700467,4.509603411181895e-17,0.0,0.0,0.0,0.0,1.0408340855860843e-17,0.0,0.0,5.551115123125783e-17,1.0408340855860843e-17,3.3881317890172014e-21,0.0,0.0,1.0842021724855044e-19,6.776263578034403e-21,1.0842021724855044e-19,1.6940658945086007e-21,5.421010862427522e-20,2.6469779601696886e-23,5.421010862427522e-20,9.36549356220083e-18,1.6940658945086007e-21,1.9852334701272664e-23,1.0842021724855044e-19,0.0,6.617444900424222e-24,2.710505431213761e-20,1.0842021724855044e-19,9.365497057817839e-18,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9852334701272664e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0
3,7.901778547283656e-09,3.2709029245195785e-05,1.516626959900874e-05,0.000685930416373227,0.0006404674454126373,0.0006404674454126371,0.0001762213435186137,3.1283418131508223e-09,0.00015562385953325926,6.042550939455304e-09,0.6395265200665944,2.2747443668897324e-05,1.5166257561733524e-05,0.00017622134387261122,0.2923433409657732,0.0003469684348545725,0.0001762213549684213,1.1954346643025395e-05,0.0006859304127341938,1.1954302392927434e-05,0.0006859304159823332,3.1283398140588526e-09,0.00015312575880161794,0.29234317516821484,1.6789954500186933e-09,0.6395265196620534,0.6395265139592373,4.66448615184375e-05,3.270902829518792e-05,0.00015562385941688252,2.7871619336197906e-17,0.0,3.308722450212111e-24,0.0,0.0,1.6940658945086007e-21,1.3552527156068805e-20,2.541098841762901e-21,2.7755575615628914e-17,4.235164736271502e-21,3.3881317890172014e-21,0.0,8.077935669463161e-28,0.0,2.0679515313825692e-25,0.0,3.101927297073854e-25,0.0,4.1359030627651384e-25,1.3234889800848443e-23,2.7097720074003266e-17,0.0,2.0194839173657902e-28,5.421010862427522e-20,1.6940658945086007e-21,0.0,1.3552527156068805e-20,9.926167350636332e-24,2.7097713943611375e-17,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0
4,1.678595188180355e-10,7.1154173254421535e-09,3.299220883436398e-09,0.00022782032724222317,0.00027385550488550226,0.00027385550488550215,7.300917560023083e-05,8.438697136226359e-11,1.9424513251842627e-05,1.6299774477208133e-10,0.000495280758325805,4.948405954675347e-09,3.2992204046853857e-09,7.300917559560806e-05,0.0002264050126744891,7.300924268278697e-05,7.300917552041555e-05,1.1480126502574269e-06,0.00022782032723475584,1.148011873322805e-06,0.00022782032723226618,8.438696150303712e-11,0.00022782021965237018,0.00022640498919872067,1.6785944131517573e-10,0.0004952807583010858,0.000495280758260355,1.942451011269644e-05,7.115417323536242e-09,1.9424513251181853e-05,1.355377438933617e-20,1.3552527156068805e-20,2.0194839173657902e-28,4.1359030627651384e-25,6.310887241768095e-30,2.0679515313825692e-25,0.0,4.235164736271502e-22,0.0,0.0,1.2407709188295415e-24,1.6543612251060553e-24,0.0,1.3234889800848443e-23,6.310887241768095e-30,4.1359030627651384e-25,1.5777218104420236e-30,6.617444900424222e-24,1.5146129380243427e-28,4.1359030627651384e-25,5.498184465267676e-18,2.117582368135751e-22,3.1554436208840472e-30,6.617444900424222e-24,2.117582368135751e-22,1.5777218104420236e-30,0.0,7.237830359838992e-25,5.498184845174723e-18,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3.6469559442612024e-14,6.10320054854562e-11,1.630744818398743e-11,2.8443965531717394e-08,3.459253122282359e-08,3.429127157615478e-08,9.142036730925666e-09,1.824972932681814e-14,4.149510728110234e-07,3.540079441630337e-14,7.433677389884356e-09,6.10316713183268e-11,1.6307448183987393e-11,9.142036730925607e-09,3.387095109878774e-09,9.14203673092561e-09,9.1420367309211e-09,2.4326248496767772e-08,2.8443965531717407e-08,2.4326248496767508e-08,2.844396553171726e-08,1.8249729326818108e-14,2.8443965531717394e-08,3.3870951098787684e-09,3.6469559442359526e-14,7.433677387284716e-09,7.433677387284434e-09,4.1495107281102194e-07,6.103200548544907e-11,4.1495107281102194e-07,7.029421197288653e-24,0.0,0.0,0.0,1.5407439555097887e-33,1.7256332301709633e-31,2.9582283945787943e-31,1.3234889800848443e-23,4.1359030627651384e-25,6.617444900424222e-24,1.6155871338926322e-27,3.944304526105059e-31,9.4039548065783e-38,2.465190328815662e-32,3.0814879110195774e-33,0.0,3.851859888774472e-34,2.465190328815662e-32,9.62964972193618e-35,1.1832913578315177e-30,4.00397531376341e-17,3.308722450212111e-24,4.70197740328915e-38,2.465190328815662e-32,0.0,9.4039548065783e-38,1.232595164407831e-32,0.0,4.00397531376341e-17,2.883533798083058e-08,1.5777218104420236e-30,7.372283207446391e-18,9.815937368187653e-09,3.0557161730243443e-16,7.212119598607942e-16,1.3905416523675937e-08,5.6313964540747816e-18,5.487444798202905e-22,9.630560265147474e-17,3.7523458818139976e-16,2.3033573814179137e-19,2.508639394500124e-22,3.2703694756602965e-17,3.4941787517041625e-15,6.15769441431283e-19,0.11237361144576569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.316976377089778e-15,2.5849394142282115e-26,2.5849394142282115e-26,2.5849394142282115e-26,0.0,0.0,0.0,7.372307273218542e-18,5.759155590623016e-10,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,0.0,9.815937368188321e-09,4.0633084624940326e-16,3.75180657982803e-08,8.077935669463161e-28,8.077935669463161e-28,0.0,0.0,0.0,0.0,4.81482486096809e-35,7.21211960123976e-16,1.3905416523716469e-08,6.875665759368763e-18,1.0385265650164205e-11,4.1359030627651384e-25,2.0679515313825692e-25,2.0679515313825692e-25,0.0,2.0679515313825692e-25,5.750539294388891e-22,1.1107063869183056e-16,3.5084035789055227e-15,5.247199990696831e-19,5.656535370676993e-09,1.0339757656912846e-25,1.0339757656912846e-25,0.0,1.0339757656912846e-25,0.0,4.70197740328915e-38,0.0,4.1837207936531845e-22,6.12088679233921e-17,4.037265463557442e-15,6.96001238667012e-19,0.11237361144576571,3.5917164232084916e-09
6,1.639092320235505e-11,4.436133418526275e-09,4.483239717902756e-09,1.4058774594436155e-06,2.015212253128981e-06,1.4054322987398606e-06,2.01594181126877e-06,1.7463198770768887e-11,1.5910342152999943e-06,4.5783668073888936e-11,4.2321993782421945e-05,4.191369275927247e-09,4.4832397180416874e-09,2.0159418113344795e-06,4.2323620829884756e-05,2.0159418079405604e-06,2.015941811281011e-06,1.5908835243249454e-06,1.4058774594267539e-06,1.5908835243125292e-06,1.4058774594517007e-06,1.7463198771076417e-11,1.405877468772043e-06,4.2323620830228665e-05,1.6390924491745188e-11,4.23219938095505e-05,4.2321993808931894e-05,1.5910342091268732e-06,4.436133418417971e-09,1.591034215082168e-06,1.5758113786561956e-22,5.293955920339377e-23,1.262177448353619e-29,8.077935669463161e-28,1.5777218104420236e-30,1.5146129380243427e-28,3.2311742677852644e-27,4.235164736271502e-22,0.0,1.0587911840678754e-22,1.2407709188295415e-24,6.462348535570529e-27,6.162975822039155e-33,6.462348535570529e-27,3.1554436208840472e-30,1.6155871338926322e-27,3.1554436208840472e-30,2.5849394142282115e-26,0.0,1.5146129380243427e-28,9.348738705684388e-21,4.235164736271502e-22,4.930380657631324e-32,1.2924697071141057e-26,0.0,2.465190328815662e-32,1.2924697071141057e-26,1.6155871338926322e-27,9.348738753452073e-21,4.1475449449576825e-05,3.2311742677852644e-27,7.78552892788733e-16,1.3788503940385736e-05,2.9497536691268154e-10,1.2352293852215818e-10,9.74638459115239e-06,2.7101832177405134e-14,4.438855485046336e-17,5.225170102519831e-10,1.8911849616795137e-11,2.071962234071119e-15,1.0498151346678472e-16,1.421505530049337e-10,5.52155120666008e-12,7.095266093660794e-15,0.0005784015921316356,0.0,9.693522803355793e-27,3.2311742677852644e-27,0.0,3.2311742677852644e-27,3.2311742677852644e-27,1.5777218104420236e-30,5.4712062077114105e-11,3.3881317890172014e-21,6.776263578034403e-21,3.3881317890172014e-21,3.3881317890172014e-21,3.3881317890172014e-21,0.0,1.9796495286267302e-15,4.8493613010768e-05,0.0,0.0,4.235164736271502e-22,8.470329472543003e-22,8.470329472543003e-22,1.3788503940539752e-05,2.7868767789514784e-10,4.714849806831596e-06,4.1359030627651384e-25,4.1359030627651384e-25,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,7.888609052210118e-31,1.2352293827295761e-10,9.746384227108219e-06,5.841521910111232e-15,6.989996848562396e-09,2.117582368135751e-22,2.117582368135751e-22,0.0,0.0,2.117582368135751e-22,1.7203642121275973e-16,4.6558100676747175e-10,1.900434533137727e-11,1.0235437388979234e-15,4.259116101704415e-06,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,1.5651489307419005e-16,1.9794897726676383e-10,4.657385410578705e-12,2.166313611591264e-14,0.0005784015926137146,7.4669619815318705e-06
7,2.2494710870836108e-13,1.199610311749574e-09,1.2004125216744667e-09,3.462242598230977e-07,4.972529614990429e-07,3.462236653200937e-07,4.972542093497593e-07,2.398926564997117e-13,7.855018690591244e-08,6.276130949724338e-13,2.4672837031975204e-06,1.1956550070052454e-09,1.2004125216766902e-09,4.972542093510076e-07,2.467287723421167e-06,4.972542093481512e-07,4.972542093497667e-07,7.855010302872213e-08,3.4622425982324125e-07,7.855010302868447e-08,3.462242598232563e-07,2.3989265649996836e-13,3.4622425983094163e-07,2.4672877234223926e-06,2.2494710973951658e-13,2.467283705282196e-06,2.467283705282108e-06,7.855018690408488e-08,1.1996103117495026e-09,7.85501869050856e-08,3.309756425977802e-22,1.3234889800848443e-23,3.944304526105059e-31,0.0,0.0,8.874685183736383e-31,6.310887241768095e-30,1.0587911840678754e-22,4.235164736271502e-22,0.0,1.0339757656912846e-25,1.262177448353619e-29,0.0,1.0097419586828951e-28,0.0,1.262177448353619e-29,4.930380657631324e-32,1.0097419586828951e-28,4.930380657631324e-32,2.3665827156630354e-30,2.488409826591839e-22,1.0587911840678754e-22,1.925929944387236e-34,2.0194839173657902e-28,0.0,1.4444474582904269e-34,4.0389678347315804e-28,3.7865323450608567e-29,2.4884096447224223e-22,5.9615790343637886e-06,0.0,7.401405095936601e-18,3.8224166260121405e-06,8.500888435688935e-13,3.5606117933381574e-13,2.701806535781386e-06,3.5733722909672163e-16,1.5179500792707706e-19,7.532296545571545e-12,2.3070721947241417e-13,1.4704713349832728e-17,3.559948324729112e-19,2.046631728123452e-12,6.766141584026259e-14,3.98581580227846e-16,9.239212208497659e-09,1.0587911840678754e-22,1.0097419586828951e-28,5.048709793414476e-29,0.0,0.0,0.0,0.0,7.492074350579709e-13,4.235164736271502e-22,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,0.0,9.605026596273923e-18,2.828808546417982e-06,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,3.8224166260122455e-06,8.032178562321417e-13,2.3302734323988366e-07,0.0,2.0679515313825692e-25,4.1359030627651384e-25,0.0,0.0,0.0,1.4791141972893971e-31,3.5606117838759215e-13,2.701806529892422e-06,6.557460789791417e-17,1.948694945839483e-09,0.0,1.0587911840678754e-22,0.0,0.0,0.0,5.839367690934698e-19,6.7107527284802116e-12,2.319373670673208e-13,1.148743187379511e-16,1.0524565124525944e-06,1.0587911840678754e-22,1.0587911840678754e-22,0.0,0.0,0.0,2.407412430484045e-35,0.0,5.294779943935025e-19,2.851313067188686e-12,5.703665109915966e-14,1.4047768003667242e-15,9.239241357085805e-09,1.845338686514924e-06
8,1.0691828025517981e-08,1.1417558675212737e-08,1.1417558558634605e-08,4.449188155353451e-08,5.532493220254567e-08,4.449188319087801e-08,5.532492939600606e-08,1.0691828073400918e-08,1.75726908792427e-08,1.0691828747156707e-08,2.4682904596293155e-08,1.141755872878421e-08,1.1417558558634357e-08,5.532492939600605e-08,2.468290376226563e-08,5.532492939600606e-08,5.5324929396005957e-08,1.7572690364785216e-08,4.449188155353451e-08,1.757269036478529e-08,4.4491881553534487e-08,1.0691828073400904e-08,4.449188155353437e-08,2.4682903762265657e-08,1.0691828025517978e-08,2.4682904349969803e-08,2.4682904349969803e-08,1.7572690008770816e-08,1.1417558675212727e-08,1.7572690008770816e-08,9.926167350636332e-24,4.963083675318166e-24,7.888609052210118e-31,0.0,6.162975822039155e-32,9.860761315262648e-32,1.9721522630525295e-31,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.232595164407831e-31,7.888609052210118e-31,0.0,0.0,7.888609052210118e-31,1.9721522630525295e-31,3.944304526105059e-31,4.930380657631324e-32,7.888609052210118e-31,6.069746209559602e-24,1.6543612251060553e-24,9.860761315262648e-32,7.888609052210118e-31,1.6543612251060553e-24,9.860761315262648e-32,4.930380657631324e-32,5.9164567891575885e-31,6.0697465485232724e-24,1.2190258150781933e-07,0.0,7.967376133248029e-16,6.199859724532045e-08,6.823164774604036e-16,2.915337508181406e-16,4.382275251408022e-08,7.267987583377659e-16,9.243440990573445e-16,9.045959409358279e-15,3.720615494934573e-15,5.440013523161454e-16,2.3563978727879873e-16,3.864991623210765e-16,2.70587783948327e-15,4.988871877827296e-16,4.658614818958577e-08,6.617444900424222e-24,0.0,0.0,0.0,6.617444900424222e-24,6.617444900424222e-24,4.3140830754274083e-32,5.4601024673758324e-08,1.0339757656912846e-25,1.0339757656912846e-25,2.0679515313825692e-25,3.101927297073854e-25,3.101927297073854e-25,3.308722450212111e-24,1.5385506036813105e-15,1.2572905629978183e-09,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,6.199859803912649e-08,6.063493306097252e-16,2.1796669823715557e-08,0.0,0.0,0.0,6.617444900424222e-24,6.617444900424222e-24,7.395570986446986e-32,4.930380657631324e-32,2.918769965703281e-16,4.3822753302085154e-08,1.5718589573564293e-15,5.6348011455290085e-08,4.963083675318166e-24,1.6543612251060553e-24,8.271806125530277e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.0706581953581975e-15,8.291775909900554e-15,3.749901365060624e-15,7.479628798222133e-16,5.788474182472445e-08,0.0,0.0,0.0,0.0,0.0,7.888609052210118e-31,7.888609052210118e-31,1.638295371445594e-15,1.3790881042736982e-15,2.1549018371119747e-15,1.0463936898266093e-15,4.658614726432453e-08,1.5442749655142555e-07
9,3.911289507160463e-09,4.178388129955754e-09,4.1783880660259096e-09,1.9611241263516394e-08,3.130309619535681e-08,1.9611241190071384e-08,3.130309747306674e-08,3.9112895206955336e-09,9.023325090039085e-09,3.911289965232478e-09,2.6060195700506934e-08,4.178388530614946e-09,4.178388066025896e-09,3.130309747306674e-08,2.6060195674602036e-08,3.130309747306672e-08,3.130309747306677e-08,9.023324885938037e-09,1.961124126351637e-08,9.023324885938057e-09,1.9611241263516394e-08,3.911289520695524e-09,1.9611241263516533e-08,2.6060195674602155e-08,3.911289507160452e-09,2.606019566004805e-08,2.6060195660048028e-08,9.023324947135263e-09,4.178388129955753e-09,9.023324947135276e-09,2.895132143935597e-24,2.481541837659083e-24,1.9721522630525295e-31,0.0,4.930380657631324e-32,0.0,4.930380657631324e-32,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,0.0,2.465190328815662e-32,0.0,2.834968878138011e-31,1.4791141972893971e-31,1.9721522630525295e-31,0.0,9.860761315262648e-32,3.697785493223493e-32,0.0,1.6778845889135834e-25,0.0,4.930380657631324e-32,1.9721522630525295e-31,8.271806125530277e-25,4.930380657631324e-32,2.9582283945787943e-31,3.944304526105059e-31,1.6778847121731e-25,2.495960239901026e-07,4.1359030627651384e-25,9.005232589055672e-17,2.782294340443717e-08,1.4210790925260257e-15,5.498008440494911e-16,1.9666217668807374e-08,1.2541643986000823e-16,7.58714829585673e-17,6.519428918653036e-15,2.108069806925265e-15,7.866580789899914e-17,1.8559081528818452e-16,1.0603659727872312e-15,1.4432676089562726e-15,3.055804648886298e-18,4.9271007341075495e-08,0.0,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,1.997416605215087e-08,0.0,0.0,0.0,6.617444900424222e-24,6.617444900424222e-24,8.271806125530277e-25,4.679360609167618e-16,4.069081681599423e-08,3.308722450212111e-24,6.617444900424222e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,2.7822943622990564e-08,1.3419929205650135e-15,3.7864470856968616e-08,3.308722450212111e-24,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,3.0814879110195774e-33,4.930380657631324e-32,5.498471475563413e-16,1.9666218073713683e-08,3.6019310034797076e-16,2.0615873171376487e-08,9.926167350636332e-24,3.308722450212111e-24,1.6543612251060553e-23,9.926167350636332e-24,3.308722450212111e-24,4.05639630972025e-17,5.761018421527293e-15,2.1393817140107796e-15,1.2834610500099945e-16,8.79126761368824e-08,6.617444900424222e-24,3.308722450212111e-24,6.617444900424222e-24,0.0,6.617444900424222e-24,0.0,1.9721522630525295e-31,4.232637057453174e-16,1.0181181368535176e-15,1.7361262965422163e-15,2.575437593109692e-16,4.9271006857367074e-08,4.253802095672999e-08
