,Y4Z1,Y1Z4,Y3Z2,Y2Z3,Y4Z0,Y0Z4,Y4Z2,Y2Z4,Y4Z3,Y3Z4,Y3Z5,Y5Z3,Y5Z4,Y4Z5,Y3Z0,Y0Z3,Y3Z1,Y1Z3,Y5Z1,Y1Z5,Y0Z5,Y5Z0,Y2Z5,Y5Z2,Y1Z2,Y2Z1,Y2Z0,Y0Z2,Y1Z0,Y0Z1,Y4,X2Y4,standard_y,X1Y2,Y3,X5Y4,X1Y4,X0Y4,X2Y3,X5Y3,X0Y3,X4Y1,X4Y2,X1Y5,X1Y3,X0Y5,Y2,X0Y2,X5Y1,X3Y1,X4Y0,X2Y1,X5Y0,X2Y0,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y3,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3Y2,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.7575924853950116,0.7575924853950116,0.7406551989400061,0.7406551989400061,0.683864273453267,0.683864273453267,0.6621666555152632,0.6621666555152632,0.5356617475477887,0.5356617475477887,0.4477509299372837,0.4477509299372836,0.41257008317805066,0.41257008317805066,0.3928373615507426,0.39283736155074256,0.23180235707395025,0.23180235707395025,0.1474012209602784,0.1474012209602784,0.13869093321463083,0.13869093321463077,0.13657852434493017,0.13657852434493012,0.11244356285938735,0.11244356285938722,0.11239886108023578,0.11239886108023578,0.01227824739797545,0.01227824739797545,1.1102230246251565e-16,1.1102230246251565e-16,6.245004513516506e-17,6.245004513516506e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.5612511283791264e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,5.204170427930421e-18,5.204170427930421e-18,3.469446951953614e-18,3.469446951953614e-18,1.734723475976807e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.203213797073917e-06,5.2032137970739176e-06,0.740655198940006,0.7406551989400059,4.696841760650069e-06,0.671586026055581,4.547820555721151e-06,0.5497230926585279,3.6789733915485487e-06,0.30385939047930555,0.4477509299372836,0.44775092993728355,0.2651688622212487,2.8335686935076642e-06,0.3928373615507425,0.39283736155074256,0.3038593904612047,1.5920395803458357e-06,0.2651688622080416,1.0123649341719192e-06,0.13869093321463075,0.13869093321463077,0.13657852434493017,0.13657852434493012,7.722725725784568e-07,0.5497230926402585,0.11239886108023579,0.11239886108023575,8.432811504422755e-08,0.6715860260391622,0.0,8.470329472543003e-22,1.1102239510674426e-16,5.293955920339377e-23,5.551115123125783e-17,8.470329472543003e-22,8.326672684688674e-17,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,1.0587911840678754e-22,1.0587911840678754e-22,2.7755575615628914e-17,0.0,0.0,6.28657265540301e-23,6.617444900424222e-24,1.1911400820763599e-22,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.26442286059391e-23,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.2705494208814505e-21,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0
2,1.8626167803560948e-08,1.8626167803560948e-08,2.077386246442978e-05,2.077386246442978e-05,1.681348608620282e-08,0.6715860260552915,3.110249498412261e-09,1.5418607655354054e-05,3.1102494868283605e-09,8.522634007380124e-06,1.2558497192957795e-05,0.31117240564607573,0.26516886221777225,1.01434474973662e-08,1.1018283988857321e-05,0.2804385005147182,8.522634007380118e-06,2.9345551514225786e-09,0.26516886221777214,3.624006215722145e-09,0.13869093321463077,0.13869093321463075,3.830748078723979e-06,0.31117240541623337,2.934555148093461e-09,1.5418607655354047e-05,3.1525580115836103e-06,0.2804385003159866,3.018729736331577e-10,0.6715860260552913,0.0,5.048709793414476e-29,8.326926859196336e-17,6.310887241768095e-30,8.470329472543003e-22,0.0,0.0,0.0,0.0,8.470329472543003e-22,8.470329472543003e-22,5.551115123125783e-17,0.0,7.237830359838992e-25,5.048709793414476e-29,2.7755575615628914e-17,1.6940658945086007e-21,0.0,3.7481621506309067e-25,5.9164567891575885e-30,1.809457589959748e-25,1.9721522630525295e-30,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-25,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,5.048709793414476e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.302853447284229e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2896060691249975e-25,0.0,0.0,0.0,0.0,0.0,0.0
3,1.2812466566739756e-12,2.609989550197452e-08,2.4199511718809546e-07,2.419951171880954e-07,1.1565568968440385e-12,3.243391597111259e-05,2.1394614322456942e-13,1.4288744459300456e-07,2.1394614322446133e-13,2.907187373810077e-08,1.4629417158797047e-07,0.3111724055923608,0.12647792916488015,6.977419257793401e-13,2.9071874003561198e-08,1.35436390967679e-05,2.9071873738100847e-08,4.179783368360218e-09,0.12647792916487988,5.1617911851405024e-09,6.698010231481767e-06,0.12647792869390706,4.462445690184875e-08,0.3111724055923297,4.179783368359576e-09,1.4288744459300445e-07,1.4288744434071807e-07,1.35436390967666e-05,2.609989547053451e-08,3.243391597111258e-05,1.0097419586828951e-28,2.407412430484045e-35,1.9025255062915505e-23,7.888609052210118e-31,3.308722450212111e-24,1.0097419586828951e-28,1.6940658945086007e-21,1.6543612251060553e-24,0.0,3.308722450212111e-24,4.0389678347315804e-28,3.3881317890172014e-21,0.0,4.1359030627651384e-25,4.930380657631324e-32,1.6940658945086007e-21,1.3234889800848443e-23,1.6155871338926322e-27,2.481541837659083e-24,0.0,1.6543612251060553e-24,3.944304526105059e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.481541837659083e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,1.2037062152420224e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.407412430484045e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2124165813618415e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2279740892277428e-29,0.0,0.0,0.0,0.0,0.0,0.0
4,5.1434793937333057e-14,3.5375574540369786e-08,1.496663679887446e-11,8.197621065921001e-09,4.642920655130952e-14,9.606361215862563e-07,3.659907944565793e-14,5.934705949678797e-09,3.659907944565793e-14,1.7980039539432563e-12,9.047834342242208e-12,0.0004633546837296776,0.00018833334749121197,3.65991009775177e-14,1.7980039539576588e-12,2.0275582825950422e-07,1.7980039539432648e-12,1.3309972171525696e-09,0.00018833334749121126,1.3310112543375473e-09,2.0275516359784467e-07,0.00018833334749059674,8.19760786797984e-09,0.0004633546837296776,1.3309972171525696e-09,5.934705949678787e-09,5.9347059496696055e-09,2.0275582825950416e-07,3.5375574540332404e-08,9.606361215862552e-07,6.310887241768095e-30,0.0,1.3550459400174927e-20,1.232595164407831e-32,2.0194839173657902e-28,0.0,5.293955920339377e-23,0.0,0.0,2.0679515313825692e-25,7.703719777548943e-34,5.293955920339377e-23,2.938735877055719e-38,0.0,1.8055593228630336e-35,5.169878828456423e-26,4.1359030627651384e-25,7.888609052210118e-31,3.2311742677852644e-27,9.62964972193618e-35,0.0,0.0,1.0339757656912846e-25,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,9.183549615799121e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.211184981595018e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2324400963641473e-31,0.0,0.0,0.0,0.0,0.0,0.0
5,5.79672091774034e-16,1.3126779820441569e-08,1.192049909915223e-11,8.159177269255522e-09,5.226971632100179e-16,2.9438630258068742e-08,4.1129413593240654e-16,5.896579435406918e-09,4.1129413593240654e-16,8.799111306986626e-13,1.1920514365617004e-11,1.194927876476119e-09,4.852929516790118e-10,4.1129413593240654e-16,8.799111306986693e-13,6.186608772498169e-09,8.799111306986632e-13,4.911499315662998e-10,4.852929516790116e-10,4.911499315662998e-10,6.186608772498169e-09,4.852929516790104e-10,8.159177269289352e-09,1.1949278765560771e-09,4.911499315662998e-10,5.896579435406917e-09,5.89657943540691e-09,6.1866087724981674e-09,1.3126779820441555e-08,2.9438630258068742e-08,0.0,7.346839692639297e-40,2.0194839173657902e-28,6.162975822039155e-33,2.0194839173657902e-28,3.6734198463196485e-40,8.271806125530277e-25,0.0,2.0679515313825692e-25,0.0,2.407412430484045e-35,0.0,9.183549615799121e-41,1.5407439555097887e-33,2.256949153578792e-36,0.0,0.0,0.0,1.5407439555097887e-33,0.0,8.271806125530277e-25,6.162975822039155e-33,0.0,4.930380657631324e-32,3.8454183250388275e-09,0.0,9.895314617680378e-26,5.576590654555347e-10,2.6345785239058722e-27,1.739972288886565e-12,4.924499116263708e-25,1.4349670147515725e-10,3.2627719742054412e-18,3.122650383052246e-09,1.4638477696328033e-20,2.1932595862298285e-17,0.0,8.924438234897435e-18,1.7936623705936915e-09,4.404609134314493e-20,6.188390103355761e-17,7.951923926906843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.334498071477851e-11,6.162975822039155e-33,6.162975822039155e-33,0.0,6.162975822039155e-33,6.162975822039155e-33,4.591774807899561e-41,8.96831017167883e-44,3.54955716481008e-25,1.0287904376484506e-16,1.262177448353619e-29,0.0,3.7865323450608567e-29,0.0,0.0,0.0,0.0,2.0679515313825692e-25,4.81482486096809e-35,5.576590654525452e-10,2.9275873290114033e-27,1.4314025207136965e-12,5.169878828456423e-26,5.169878828456423e-26,5.169878828456423e-26,5.169878828456423e-26,5.169878828456423e-26,4.0389678347315804e-28,1.7399713381602124e-12,1.5146904427394654e-24,1.4349670146882095e-10,7.534076501659182e-10,6.462348535570529e-27,1.0339757656912846e-25,6.462348535570529e-27,5.816113682013476e-26,0.0,7.717946473436259e-34,5.0198061226617804e-18,3.1226503830522462e-09,3.641923622541475e-20,2.931642570431795e-17,9.81565932006412e-10,0.0,0.0,0.0,1.0339757656912846e-25,0.0,7.155142737136587e-34,1.1729095921187624e-17,1.793662370593693e-09,8.894695634890577e-20,7.006969868715428e-17,8.217852272677595e-17,2.0685310617933886e-09
6,1.6681038056070855e-16,1.316347905433054e-08,1.2005935387583129e-11,8.197616772727374e-09,1.5112028240340711e-16,8.3703470492751e-09,1.1946496212262895e-16,5.9347043292568355e-09,1.1946496212262895e-16,8.988760623538835e-13,1.2006184989156089e-11,1.9540116487987806e-08,7.942199955611798e-09,1.1946496212262908e-16,8.988760623538841e-13,1.7292401022718538e-09,8.988760623538841e-13,4.952755204192e-10,7.942199955611794e-09,4.952755204192096e-10,1.7292401022718438e-09,7.942199955611798e-09,8.197616773283893e-09,1.954011648806792e-08,4.952755204192e-10,5.934704329256834e-09,5.934704329256834e-09,1.7292401022718534e-09,1.316347905433054e-08,8.370347049275099e-09,3.697785493223493e-32,0.0,2.0677496199686875e-24,1.232595164407831e-32,2.0194839173657902e-28,7.346839692639297e-40,8.271806125530277e-25,0.0,0.0,2.0679515313825692e-25,0.0,8.271806125530277e-25,2.2958874039497803e-41,2.465190328815662e-32,7.52316384526264e-37,1.232595164407831e-32,4.1359030627651384e-25,1.232595164407831e-32,2.465190328815662e-32,0.0,0.0,1.8488927466117464e-32,0.0,0.0,2.887094626277421e-09,8.271806125530277e-25,1.8923813167820666e-24,7.56100898170291e-17,9.144230488023735e-28,2.3676816754452223e-19,4.526792579157433e-25,3.17969308567983e-16,7.249024477906528e-24,2.320836784018314e-09,2.007226787371769e-27,2.9915862044114253e-24,8.271806125530277e-25,1.3778722145232224e-16,2.4378378067025606e-16,4.7345954938305963e-20,4.9706300929187716e-17,5.655406209205347e-17,8.271806125530277e-25,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,8.077935669463161e-28,9.596770503268347e-17,3.0814879110195774e-33,1.5407439555097887e-33,1.5407439555097887e-33,3.0814879110195774e-33,0.0,1.8367099231598242e-40,1.793662034335766e-43,3.129693977044689e-24,4.3366053638713554e-17,9.027796614315168e-36,1.2037062152420224e-35,1.504632769052528e-35,1.2037062152420224e-35,1.2037062152420224e-35,2.0679515313825692e-25,0.0,3.308722450212111e-24,0.0,7.56100898104042e-17,9.829121012388966e-28,1.9435060830539934e-19,1.232595164407831e-32,1.232595164407831e-32,0.0,1.232595164407831e-32,1.232595164407831e-32,0.0,2.367660619048129e-19,7.645906795786822e-25,3.1796930856712355e-16,1.0223276854335338e-16,3.851859888774472e-34,6.162975822039155e-33,3.851859888774472e-34,3.851859888774472e-34,0.0,1.766702897919122e-33,1.1140586902969988e-23,2.3208367840183145e-09,4.96842834977568e-27,3.992498009266506e-24,1.3308172782299323e-16,2.0679515313825692e-25,0.0,2.0679515313825692e-25,2.0679515313825692e-25,0.0,6.527219828043726e-34,2.1781951160772364e-16,2.437837807348899e-16,3.9117867472911975e-20,4.798341812000256e-17,5.379588307194033e-17,2.8870942518235163e-09
7,4.850199408456949e-17,1.3126779836494995e-08,1.1919733334683055e-11,8.159177286135483e-09,4.152149506705797e-17,2.5759121661596908e-09,3.620806744115459e-17,5.8965794521713265e-09,3.620806744115459e-17,8.798353184699617e-13,1.1919916564158175e-11,1.4341630984977035e-08,5.824529306260799e-09,3.6208067441154604e-17,8.798353184699619e-13,4.3671422813028355e-10,8.798353184699623e-13,4.911499333704105e-10,5.824529306260796e-09,4.911499333704154e-10,4.367142281302824e-10,5.824529306260799e-09,8.159177286541493e-09,1.4341630985056987e-08,4.911499333704105e-10,5.896579452171325e-09,5.8965794521713265e-09,4.3671422813028355e-10,1.3126779836494995e-08,2.57591216615969e-09,3.0814879110195774e-33,0.0,1.0339757687727725e-24,1.8488927466117464e-32,0.0,1.8367099231598242e-40,1.0339757656912846e-25,0.0,0.0,0.0,8.46355932592047e-37,0.0,1.4349296274686127e-42,1.232595164407831e-32,7.52316384526264e-37,0.0,4.1359030627651384e-25,1.5407439555097887e-33,2.465190328815662e-32,6.018531076210112e-36,0.0,0.0,6.162975822039155e-33,1.5407439555097887e-33,6.240308754502595e-10,4.1359030627651384e-25,1.4863060216743596e-24,5.576589436980162e-10,1.0070155444202549e-27,1.739877620014668e-12,4.531973581465782e-25,1.7222598316490864e-09,3.916007054382232e-17,2.4491262943200244e-09,1.4637540034884846e-20,2.1932591129977095e-17,8.271806125530277e-25,1.0895124873777793e-16,1.7936619807665325e-09,4.637358554134122e-20,5.1013622117830014e-17,5.962300900703162e-17,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,5.202301912598715e-10,0.0,3.0814879110195774e-33,4.622231866529366e-33,3.0814879110195774e-33,6.162975822039155e-33,1.1479437019748901e-41,5.605193857299268e-45,2.5080199935275508e-24,4.9583366687235975e-17,2.524354896707238e-29,2.0194839173657902e-28,2.524354896707238e-29,2.0194839173657902e-28,2.0194839173657902e-28,0.0,0.0,1.6543612251060553e-24,1.504632769052528e-36,5.576589436621402e-10,1.098900152721241e-27,1.4313176489067026e-12,5.169878828456423e-26,5.169878828456423e-26,0.0,5.169878828456423e-26,5.169878828456423e-26,0.0,1.739866209314154e-12,8.38879690187385e-25,1.7222598316427506e-09,7.534074858917845e-10,4.52364397489937e-26,1.0339757656912846e-25,6.462348535570529e-27,4.52364397489937e-26,1.0339757656912846e-25,1.7696883780637222e-35,6.024814666191208e-17,2.4491262943200244e-09,3.6416809968195456e-20,2.9316419358788186e-17,9.81565717622455e-10,0.0,2.0679515313825692e-25,1.0339757656912846e-25,2.0679515313825692e-25,0.0,3.1102056053521505e-34,1.6402962841279006e-16,1.7936619807665325e-09,4.307331810705593e-20,5.0190740276863866e-17,5.730749559223861e-17,2.877802902992097e-09
8,5.540653857809661e-17,1.316347905433054e-08,1.2005834080717698e-11,8.197616772852136e-09,5.0521211754476386e-17,2.778912291105171e-09,4.0141834090519514e-17,5.934704329330501e-09,4.014183409051952e-17,8.98876062353847e-13,1.2006017410595309e-11,1.4352021590636769e-08,5.833467027190294e-09,4.014183409051954e-17,8.988760623538472e-13,5.516341633223099e-10,8.988760623538476e-13,4.952755204192047e-10,5.83346702719029e-09,4.952755204192096e-10,5.516341633223083e-10,5.833467027190294e-09,8.197616773260887e-09,1.435202159071688e-08,4.952755204192047e-10,5.934704329330499e-09,5.934704329330501e-09,5.516341633223099e-10,1.316347905433054e-08,2.7789122911051703e-09,3.0814879110195774e-33,9.183549615799121e-41,8.26978667242779e-25,1.232595164407831e-32,2.0194839173657902e-28,1.8367099231598242e-40,1.0339757656912846e-25,8.271806125530277e-25,1.6543612251060553e-24,0.0,2.256949153578792e-36,1.0339757656912846e-25,2.2958874039497803e-41,2.465190328815662e-32,7.52316384526264e-36,6.162975822039155e-33,4.1359030627651384e-25,0.0,0.0,6.018531076210112e-36,1.6543612251060553e-24,1.232595164407831e-32,1.232595164407831e-32,0.0,2.6909027129367403e-09,0.0,1.411311247877928e-24,1.2214325969061768e-16,8.522812787982754e-28,3.824798673842559e-19,4.219175039943572e-25,3.8279784266593425e-16,9.526199876762965e-24,2.1631246608641894e-09,3.242526327776554e-27,4.8327159754580795e-24,4.1359030627651384e-25,1.0079773197322134e-16,3.9381709055553073e-16,4.412843625084929e-20,4.632851649565228e-17,5.271093916284327e-17,0.0,0.0,6.162975822039155e-33,6.162975822039155e-33,0.0,0.0,4.0389678347315804e-28,1.3444872410292814e-16,3.0814879110195774e-33,3.0814879110195774e-33,4.622231866529366e-33,0.0,0.0,0.0,2.2420775429197073e-44,2.1437109908537072e-24,4.041912050927866e-17,6.018531076210112e-36,0.0,6.018531076210112e-36,0.0,0.0,0.0,4.484155085839415e-44,0.0,3.009265538105056e-36,1.2214325968325147e-16,9.161163854406853e-28,3.139586536317749e-19,0.0,2.465190328815662e-32,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,3.8247769194308913e-19,7.126330398693422e-25,3.8279784266454586e-16,1.6515049194706475e-16,1.5407439555097887e-33,6.162975822039155e-33,1.0785207688568521e-32,1.5407439555097887e-33,6.162975822039155e-33,2.8123628875026302e-34,1.382884945901513e-23,2.1631246608641903e-09,8.026134911564634e-27,6.4496249170532726e-24,2.1498501116191617e-16,1.0339757656912846e-25,2.0679515313825692e-25,1.0339757656912846e-25,2.0679515313825692e-25,0.0,7.134167050636621e-34,1.526988935098271e-16,3.9381709057637086e-16,3.6459589340751736e-20,4.4722712093571405e-17,5.014019188940829e-17,2.6909021582473507e-09
9,4.850199293490258e-17,1.3126779836495002e-08,1.1919733334680937e-11,8.159177286135486e-09,4.152149403380034e-17,2.5759121076001647e-09,3.6208066622667423e-17,5.8965794521713265e-09,3.6208066622667423e-17,8.798353184699617e-13,1.1919916564154653e-11,1.4341630875405489e-08,5.824529261760788e-09,3.6208066622667436e-17,8.798353184699619e-13,4.3671421598505387e-10,8.798353184699623e-13,4.911499333704134e-10,5.824529261760785e-09,4.911499333704183e-10,4.3671421598505273e-10,5.824529261760788e-09,8.159177286541496e-09,1.4341630875485444e-08,4.911499333704134e-10,5.896579452171325e-09,5.8965794521713265e-09,4.3671421598505387e-10,1.3126779836495002e-08,2.5759121076001647e-09,3.0814879110195774e-33,9.183549615799121e-41,6.203854624962587e-25,1.232595164407831e-32,0.0,0.0,1.0339757656912846e-25,0.0,0.0,4.1359030627651384e-25,2.82118644197349e-37,0.0,4.304788882405838e-42,1.232595164407831e-32,7.52316384526264e-36,6.162975822039155e-33,8.271806125530277e-25,0.0,4.930380657631324e-32,0.0,0.0,0.0,1.232595164407831e-32,3.0814879110195774e-33,6.240308711545016e-10,4.1359030627651384e-25,1.4863060114591098e-24,5.576589436980157e-10,1.0070155379832755e-27,1.7398776200142091e-12,4.53197356535039e-25,1.722259818490838e-09,3.91600702446352e-17,2.4491262847554896e-09,1.4637540034882165e-20,2.1932591129977058e-17,0.0,1.0895124785510157e-16,1.7936619807665288e-09,4.6373585388207955e-20,5.101362192446485e-17,5.962300876769734e-17,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,5.202301872852574e-10,4.622231866529366e-33,0.0,0.0,0.0,6.162975822039155e-33,0.0,5.605193857299268e-45,2.508019962604272e-24,4.958336642005451e-17,3.7865323450608567e-29,0.0,3.7865323450608567e-29,0.0,0.0,4.1359030627651384e-25,6.726232628759122e-44,1.6543612251060553e-24,3.009265538105056e-36,5.576589436621397e-10,1.0989001455993725e-27,1.431317648906384e-12,1.0339757656912846e-25,1.0339757656912846e-25,0.0,1.0339757656912846e-25,1.0339757656912846e-25,4.0389678347315804e-28,1.7398662093137822e-12,8.388796860859146e-25,1.7222598184845024e-09,7.534074858917829e-10,4.52364397489937e-26,0.0,6.462348535570529e-27,4.52364397489937e-26,0.0,1.74896478000071e-34,6.024814620160987e-17,2.4491262847554896e-09,3.641680996818957e-20,2.9316419358788137e-17,9.815657176224537e-10,0.0,2.0679515313825692e-25,1.0339757656912846e-25,2.0679515313825692e-25,0.0,1.184279334384761e-34,1.6402962681829904e-16,1.7936619807665288e-09,4.3073317875750805e-20,5.0190740069587206e-17,5.730749535154113e-17,2.8778028947217227e-09
