,Y0Z2,Y2Z0,Y2Z4,Y4Z2,Y1Z4,Y4Z1,Y3Z0,Y0Z3,Y4Z3,Y3Z4,Y1Z3,Y3Z1,Y5Z0,Y0Z5,Y2Z1,Y1Z2,Y5Z4,Y4Z5,Y2Z5,Y5Z2,Y4Z0,Y0Z4,Y0Z1,Y1Z0,Y1Z5,Y5Z1,Y3Z2,Y2Z3,Y5Z3,Y3Z5,standard_y,Y3,X4Y2,X1Y5,X1Y3,Y2,X5Y4,X4Y3,X3Y2,X1Y0,Y5,Y1,X3Y0,X4Y1,Y0,X5Y0,X4Y0,X3Y5,X3Y1,X2Y5,X2Y0,X1Y4,X0Y5,X0Y1,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y2,X5Y1,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2Y3,X2Y1,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y3,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8474337369372327,0.8474337369372326,0.8357651039198698,0.8357651039198697,0.7887233511355134,0.7887233511355132,0.7637746189766139,0.7637746189766139,0.7622800824579419,0.7622800824579419,0.651592972722763,0.6515929727227628,0.49543508709194095,0.49543508709194095,0.4494910647887381,0.4494910647887381,0.4453871940548014,0.4453871940548014,0.43276706790505337,0.4327670679050533,0.2550690257394217,0.2550690257394217,0.13436424411240122,0.1343642441124012,0.09385958677423492,0.09385958677423481,0.028347476522006365,0.028347476522006355,0.002106053351110665,0.002106053351110644,1.249000902703301e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.204170427930421e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.748411241446658e-05,6.748411241446658e-05,6.655489835566259e-05,0.5806960789892074,0.7887233511355132,0.7887233511355132,0.7354271425444905,6.082204424928605e-05,0.762280082457942,0.7622800824579421,0.651592972722763,0.6515929727227631,0.06266802055908247,3.945322879428856e-05,3.579454560675368e-05,0.3151268211023719,0.44538719405480154,0.44538719405480154,3.446275524188488e-05,0.06266801761598831,0.5806960755304482,2.0312038636387842e-05,1.0699894704378183e-05,0.3151268192511145,0.09385958677423492,0.0938595867742349,0.7354271400328716,2.257408702173511e-06,0.002106053351110692,0.0021060533511107144,1.8735182947138967e-16,1.1102230246251565e-16,0.0,1.0408340855860843e-17,8.326672684688674e-17,3.3881317890172014e-21,5.551115123125783e-17,5.551115123125783e-17,3.3881317890172014e-21,2.117582368135751e-21,6.938893903907228e-18,2.7755575615628914e-17,1.6940658945086007e-21,2.7755575615628914e-17,1.6940658945086007e-21,8.470329472543003e-22,8.470329472543003e-22,6.938893903907228e-18,4.163336342344337e-17,1.6940658945086007e-21,5.551115123125783e-17,0.0,8.470329472543003e-22,1.7470054537119944e-21,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,3.3881317890172014e-21,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,4.6910644983335766e-05,4.691064498333575e-05,2.1383182910389548e-05,0.0038618123503068123,0.0052452594236294045,0.0052452594236294045,0.73542714249804,4.22796006772011e-05,0.005069403334136292,0.11070151879836687,0.004333299091023807,0.11067025298206057,0.06266801984995168,2.7425364922165578e-05,2.1381609598931424e-05,0.0020956928997868064,0.35152968285346736,0.002961965527477352,2.395630643210608e-05,0.06266801842780664,0.0038618123391919944,6.6819130468632685e-06,6.681436332694883e-06,0.0020956928938377396,0.0006241959000158101,0.35151775816848146,0.73542714128439,1.5692063571877597e-06,0.002106053351110693,0.0021060533511107022,5.412540532954979e-19,0.0,0.0,1.7618285302889447e-19,2.168404344971009e-19,0.0,0.0,4.336808689942018e-19,3.3881317890172014e-21,9.512577044359818e-24,0.0,1.0842021724855044e-19,2.117582368135751e-21,4.163336342344337e-17,8.470329472543003e-22,4.235164736271502e-22,1.6543612251060553e-23,2.7755575615628914e-17,2.168404344971009e-19,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.6940658945086007e-21,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,1.6940658945086007e-21,4.963083675318166e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,4.235164736271502e-22,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
3,7.491056947320812e-11,2.2950804619291473e-06,1.0823402327948236e-06,0.00021832354837240467,0.00012822035550587768,0.00012822035550587768,2.3201108154195e-05,6.751535744080382e-11,0.00021832354838688487,3.4919350344271395e-06,0.00015715669554529398,3.491934445021816e-06,0.060561965838523815,4.3794957521068426e-11,1.0823401852073627e-06,0.00015715669551803112,0.35152760852082787,7.240524104840419e-05,1.2126137259275203e-06,0.06056196583488831,0.00021832354837219501,1.0669936384060972e-11,1.0669935929172472e-11,0.00015715669551807438,1.5258467454400829e-05,0.35152760139521666,2.32011081540969e-05,2.2950804607079892e-06,0.06056196580629017,6.644134919270026e-08,2.7762034241043934e-17,0.0,0.0,8.470329472543003e-22,2.0679515313825692e-25,3.1763735522036263e-22,1.3552527156068805e-20,2.0679515313825692e-25,0.0,1.232595164407831e-32,2.7755575615628914e-17,6.776263578034403e-21,1.1580528575742387e-23,2.7755575615628914e-17,8.077935669463161e-28,2.4233807008389483e-27,3.944304526105059e-31,0.0,5.169878828456423e-26,1.0587911840678754e-22,8.470329472543003e-22,1.3877787807814457e-17,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,8.077935669463161e-27,3.877409121342317e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5777218104420236e-30,4.4667753077863494e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5.049032480521065e-11,2.392764188126821e-06,1.3581247168954947e-07,5.127327758154754e-07,8.790110443978376e-05,3.0112545931891345e-07,1.4999328276386028e-05,4.550589256626122e-11,5.127327758293591e-07,2.214554015418719e-06,0.00012229114482588613,2.2145537850338283e-06,0.00018277986010752448,2.232656279136826e-11,1.3581249161549367e-07,0.00012229114481699698,0.001060932651884972,1.7004368285968116e-07,1.3582336860815398e-07,0.0001827798600955985,5.127327758149402e-07,2.2326395601685344e-11,2.232639555115348e-11,0.00012229114481703354,8.790059595533637e-05,0.0010609326388630602,1.4999328276317096e-05,2.392764187594713e-06,0.00018277986006686492,2.2145435382798926e-06,5.8762910715767086e-21,8.470329472543003e-22,1.0097419586828951e-28,4.963083675318166e-24,0.0,0.0,1.3552527156068805e-20,4.0389678347315804e-28,4.8467614016778965e-27,3.798099830133965e-32,0.0,6.776263578034403e-21,0.0,1.0842021724855044e-19,0.0,4.733165431326071e-30,1.925929944387236e-34,0.0,2.5849394142282115e-26,2.0679515313825692e-25,4.235164736271502e-22,1.0842021724855044e-19,6.310887241768095e-30,1.9576163350091313e-31,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,4.1359030627651384e-25,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5146129380243427e-28,3.2311742677852644e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2768460443017574e-13,2.6351304277472876e-07,1.4857290473288558e-08,1.1928196865999602e-09,4.1543853142912816e-07,1.0929580066911274e-09,3.472776664218672e-07,1.1492265040247708e-13,1.1928196865999631e-09,5.100149807612583e-08,5.806212483368766e-07,5.100149807600453e-08,2.2235733241510673e-09,5.6132516895422557e-14,1.4857290473338692e-08,5.806212483368519e-07,1.2922073890360345e-08,1.092950541677055e-09,1.4857290473288757e-08,2.2235733241493025e-09,1.192819686599945e-09,5.6132516895422506e-14,5.613251689541957e-14,5.80621248336854e-07,4.154385313998813e-07,1.2922073590165271e-08,3.4727766642184774e-07,2.6351304277469716e-07,2.2235733241508005e-09,5.100149807612582e-08,1.0339126568188669e-25,2.6469779601696886e-23,2.465190328815662e-32,2.5849394142282115e-26,6.310887241768095e-30,2.6469779601696886e-23,5.293955920339377e-23,2.465190328815662e-32,1.8932661725304283e-29,1.481332497368816e-36,0.0,5.293955920339377e-23,1.3234889800848443e-23,8.271806125530277e-25,6.310887241768095e-30,1.410593220986745e-37,5.877471754111438e-39,0.0,6.310887241768095e-30,3.944304526105059e-31,0.0,8.271806125530277e-25,1.88079096131566e-37,5.370905347526991e-37,8.115827419004969e-08,1.480944572389424e-07,1.0339757656912846e-25,2.948268545859596e-16,3.274665575011641e-17,1.2733446593814138e-15,3.942559660581427e-17,1.9548702639479364e-14,2.134137196755573e-10,9.74446665995707e-10,1.693588957533188e-14,5.603840205286551e-15,4.570377218828894e-22,5.599684520734219e-23,2.912010668840415e-08,3.066422066647208e-08,1.2993042760948369e-20,5.169878828456423e-26,2.5849394142282115e-26,2.5849394142282115e-26,5.169878828456423e-26,2.5849394142282115e-26,1.1832913578315177e-30,3.944304526105059e-31,2.5849394142282115e-26,4.679336791246002e-10,2.5849394142282115e-26,0.0,2.5849394142282115e-26,0.0,0.0,5.293955920339377e-23,1.4809445724705777e-07,3.0177392678177805e-10,1.6543612251060553e-24,4.963083675318166e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,4.930380657631324e-32,1.1832596471379502e-15,1.221463761471478e-16,2.6145727188012598e-08,1.6543612251060553e-24,0.0,1.6543612251060553e-24,0.0,0.0,0.0,9.466330862652142e-30,6.310887241768095e-30,1.4007624996856526e-15,9.495923125734693e-17,2.0023287214990756e-14,2.1702403163032383e-08,1.3234889800848443e-23,6.617444900424222e-24,3.308722450212111e-24,0.0,0.0,0.0,2.1341633582143826e-10,9.744469761315921e-10,4.8768566170612574e-14,3.097219116080212e-14,8.576773603822627e-08,1.5777218104420236e-30,1.5777218104420236e-30,7.888609052210118e-31,0.0,1.5777218104420236e-30,2.350988701644575e-38,0.0,1.3234889800848443e-23,9.08797278871147e-22,6.11165904376026e-23,2.9120106688407174e-08,3.0664220666474064e-08,2.268270506660512e-20,2.192914644450837e-14
6,0.042321568257323944,0.26921521080842514,0.08230208598725376,0.11579902294099415,0.07382657331921977,0.013798041576510968,0.04722806775588515,0.0320532372968381,0.11178440254592675,0.006297845421482547,0.06603445683256834,0.0077877167285251864,0.018972015712275872,0.012799142448436322,0.2521296272893019,0.07294988946888603,0.04500153527055467,0.09988161466207254,0.07646334398908516,0.016500472244529746,0.11286103154810626,0.012057318639765575,0.026547328120671433,0.0685697993246206,0.08898899685424183,0.03487951536407391,0.045930811087218096,0.26653107232992773,0.019116078545310958,0.0027195551511209216,6.938893903907228e-18,1.734723475976807e-18,3.469446951953614e-18,2.7755575615628914e-17,6.938893903907228e-18,0.0,5.551115123125783e-17,1.734723475976807e-18,0.0,1.5415999640028266e-19,3.469446951953614e-18,6.938893903907228e-18,0.0,1.3877787807814457e-17,1.734723475976807e-18,4.336808689942018e-19,0.0,3.469446951953614e-18,6.938893903907228e-18,1.734723475976807e-18,0.0,6.938893903907228e-18,2.168404344971009e-19,3.1848438816761693e-19,0.0861335162378814,0.0029763335593749937,6.938893903907228e-18,0.00626274143736707,0.005820326817468094,0.0040080694098995895,0.002900866177717828,0.0003988532396411768,0.033376613413653874,0.039627350815917416,0.019291419447026587,0.0015148967861145905,0.00024840484565893906,0.0010200103775147187,0.0013855986263720528,0.022906757134181114,0.0005790884783685242,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,1.0842021724855044e-19,1.734723475976807e-18,0.0,3.469446951953614e-17,0.002063650376035914,8.673617379884035e-19,0.0,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,0.0,0.0005773128705670576,0.014278217592078465,0.0,0.0,1.0842021724855044e-19,2.168404344971009e-19,1.0842021724855044e-18,0.0,0.004770990068652638,0.004027684150460346,0.0034064377035648036,3.469446951953614e-18,0.0,0.0,3.469446951953614e-18,3.469446951953614e-18,1.734723475976807e-18,2.168404344971009e-18,1.734723475976807e-18,0.004938345414603687,0.005421692802537011,0.0008580176495652358,0.027737682469402343,0.0,5.204170427930421e-18,1.734723475976807e-18,0.0,0.0,1.0408340855860843e-17,0.025049263313299895,0.03918139437316384,0.01436644872310682,0.0025866744593940863,0.04645923769498325,5.421010862427522e-20,0.0,0.0,0.0,2.168404344971009e-19,4.336808689942018e-19,3.469446951953614e-18,1.3877787807814457e-17,0.0004415674216461992,0.0013885927754150361,0.0015411086575187547,0.02294196142966854,0.00028722843086517497,0.0036844088461115464
7,2.262673806366745e-09,0.00337026283155962,0.0025500418881859457,6.532404237821014e-05,0.0006626928453942445,6.541226011355788e-05,7.584524315029523e-10,1.8400210211411364e-09,6.531617770273661e-05,1.953180951914125e-09,0.000601926447885186,2.0812056874116585e-09,1.830652574662192e-05,1.7496475717395058e-09,0.0033702612500778385,0.0006019826727230075,5.314014046214278e-05,5.233577071444705e-05,0.0025500418011155253,1.829242999980875e-05,6.531617770346145e-05,1.7496477847128426e-09,1.8401114827368833e-09,0.0006019264478820511,0.0006626827702930151,1.8307423838190577e-05,7.593282483503173e-10,0.003370262831556015,1.8306525746656856e-05,1.9531506675241263e-09,6.268043809681823e-20,0.0,0.0,6.776263578034403e-21,4.235164736271502e-22,0.0,5.551115123125783e-17,2.5849394142282115e-26,1.2924697071141057e-26,5.303851214657063e-28,1.6940658945086007e-21,5.421010862427522e-20,1.6940658945086007e-21,0.0,0.0,2.524354896707238e-29,1.0097419586828951e-28,0.0,2.117582368135751e-22,5.293955920339377e-23,0.0,3.3881317890172014e-21,0.0,7.9058644215468555e-28,0.01625636908996712,0.09514327314823845,6.776263578034403e-21,1.901608376398018e-10,2.1089253944382004e-10,1.5228008678030583e-06,1.6036205227284207e-06,1.6380942715799084e-10,4.3500787424337296e-05,6.803674092301307e-05,9.465353304890747e-07,4.5737496849385974e-05,5.181881969226837e-12,7.1159783686135715e-12,3.898929643949382e-05,1.2835450173319607e-06,1.8430385315855284e-10,4.235164736271502e-22,0.0,4.235164736271502e-22,8.470329472543003e-22,8.470329472543003e-22,0.0,1.0587911840678754e-22,1.6940658945086007e-21,5.0896760869838334e-06,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0951432696530766,1.1460354958582494e-05,0.0,2.0679515313825692e-25,1.0339757656912846e-25,0.0,5.169878828456423e-26,0.0,1.4963710344378685e-10,6.801862318193468e-11,2.033615961574542e-09,8.673617379884035e-19,0.0,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,0.0,1.2924697071141057e-26,1.6940658945086007e-21,2.465456173356232e-06,2.0488259733530495e-06,1.2481190334184704e-10,0.015293843235179003,2.710505431213761e-20,5.421010862427522e-20,8.131516293641283e-20,8.131516293641283e-20,2.710505431213761e-20,4.235164736271502e-22,3.5159774013101943e-05,6.803547222232828e-05,9.465360333366411e-07,4.105822374648187e-05,0.0009561433480999386,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,4.235164736271502e-22,3.848690082644526e-12,5.906307431924747e-12,3.898929643900007e-05,1.2835467017248522e-06,1.4355057839624376e-10,1.3861432545457616e-08
8,7.802993700211924e-09,8.637492605328975e-05,8.638010696082561e-05,0.0005620889224854564,1.66008546215559e-05,0.0005621033189246042,4.526903068576126e-09,1.1868760605764484e-08,0.0005620889164726837,4.253771342785811e-09,1.6489563751259373e-05,1.2457411820083408e-08,0.00011755830049029684,7.777333764025562e-09,8.637492671584491e-05,1.648956390079611e-05,0.0001175401660602879,0.0005620901536786046,8.63801065242552e-05,0.00011755830142119809,0.0005620889235366537,7.777332329599082e-09,1.1868760509233521e-08,1.648956385092907e-05,1.65031484951302e-05,0.00011755404424303566,4.526903059468501e-09,8.637492634944248e-05,0.00011755830072250763,4.2530215356587226e-09,9.825499470088629e-20,8.271806125530277e-25,7.754818242684634e-25,1.0587911840678754e-22,0.0,6.776263578034403e-21,6.776263578034403e-21,1.2407709188295415e-24,0.0,3.6569557784024834e-30,0.0,3.3881317890172014e-21,0.0,1.3552527156068805e-20,1.6543612251060553e-24,1.0097419586828951e-28,4.0389678347315804e-28,2.0679515313825692e-25,1.3552527156068805e-20,2.0679515313825692e-25,1.6940658945086007e-21,2.710505431213761e-20,2.0194839173657902e-28,1.9582855674529414e-30,0.00025454878454050033,2.284634055328778e-05,1.0842021724855044e-19,8.893973987682435e-09,2.3239105474304484e-08,1.1032476631846669e-08,2.180093213594333e-08,1.378326773392545e-12,2.277779925534466e-07,8.813803370482486e-05,0.00010731408728496312,2.4036091946667248e-09,1.5485150749323234e-12,1.524240205066979e-12,2.6457695149934575e-09,2.2069063280647908e-05,6.110057839274611e-13,0.0,0.0,0.0,6.776263578034403e-21,6.776263578034403e-21,4.1359030627651384e-25,0.0,1.0587911840678754e-22,6.783734736839886e-05,2.710505431213761e-20,0.0,5.421010862427522e-20,0.0,0.0,0.0,2.2844312581420783e-05,0.0002951504404490792,8.271806125530277e-25,8.271806125530277e-25,1.2407709188295415e-24,0.0,0.0,8.271806125530277e-25,8.670987502044353e-09,1.2296154167050034e-09,8.186875593290836e-09,6.776263578034403e-21,3.3881317890172014e-21,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,1.6543612251060553e-24,2.524354896707238e-29,1.0339757656912846e-25,9.18870058848341e-09,2.4102740308452005e-08,1.5618196794353539e-12,3.517318283345081e-05,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,1.2705494208814505e-21,8.470329472543003e-22,3.877409121342317e-26,2.2657215258124102e-07,8.813925378081154e-05,0.00010731408721371643,1.4926380225143135e-09,7.927654107479214e-06,2.0679515313825692e-25,2.0679515313825692e-25,1.0339757656912846e-25,0.0,1.0339757656912846e-25,0.0,8.271806125530277e-25,0.0,2.7374227545945027e-12,1.9626018615475775e-12,2.6457695222569842e-09,2.206906333577257e-05,3.726059591738177e-13,1.6503905583491623e-09
9,2.336876649083873e-13,6.905273572568272e-07,6.905295625013898e-07,1.1334496310033707e-06,8.297812593053437e-07,1.1334496729177981e-06,3.16151849205569e-13,2.418933005014577e-13,1.133449631015649e-06,3.087535728483095e-13,8.297690577182208e-07,1.666463997921359e-12,1.5025361506400573e-06,2.3236152764934187e-13,6.90527357253655e-07,8.297690577165246e-07,1.5025398860062152e-06,1.133450014219404e-06,6.905295625041683e-07,1.502536150617582e-06,1.1334496310118866e-06,2.3236152767676894e-13,2.4189330048253244e-13,8.297690577180279e-07,8.297812371552661e-07,1.502536156761672e-06,3.1615184920414833e-13,6.905273572566243e-07,1.5025361506403578e-06,3.087535769810955e-13,1.0587904267614064e-22,1.0097419586828951e-28,4.0389678347315804e-28,1.2924697071141057e-26,2.6469779601696886e-23,5.293955920339377e-23,0.0,0.0,3.851859888774472e-34,4.381655192690077e-36,0.0,5.293955920339377e-23,2.0194839173657902e-28,0.0,2.524354896707238e-29,0.0,3.851859888774472e-34,4.930380657631324e-32,5.293955920339377e-23,0.0,1.3234889800848443e-23,0.0,3.851859888774472e-34,6.635665610391813e-36,5.555466383742146e-06,2.3061311263269753e-06,1.0587911840678754e-22,1.9752577362857633e-15,5.1909506680774e-15,2.93726208082741e-11,4.1610771056728755e-12,3.0552410010625307e-18,1.0467337934288779e-11,4.36289463435116e-09,4.811291257257292e-07,3.706593749810394e-12,2.6085143167990104e-18,5.516255298556829e-18,5.322312461392425e-12,9.901427802515433e-08,1.8407251106160836e-18,1.0587911840678754e-22,0.0,5.293955920339377e-23,0.0,0.0,4.930380657631324e-32,1.6155871338926322e-27,1.9387045606711586e-26,8.674945343331584e-07,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,0.0,2.306135562843195e-06,3.7734841825339102e-06,2.0194839173657902e-28,1.0097419586828951e-28,2.0194839173657902e-28,2.0194839173657902e-28,3.0292258760486853e-28,3.944304526105059e-31,1.927696842856442e-15,2.6980701484380306e-16,2.508955661038316e-12,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,2.0194839173657902e-28,0.0,0.0,3.4217118189694444e-11,4.3062715750051906e-12,2.8415487404467476e-18,2.617536067223672e-06,0.0,1.6543612251060553e-24,4.963083675318166e-24,3.308722450212111e-24,0.0,5.048709793414476e-29,1.1781748098556589e-11,4.354412307595476e-09,4.811291257940409e-07,3.014054909686419e-12,3.194324775777733e-08,5.048709793414476e-29,5.048709793414476e-29,0.0,0.0,0.0,7.703719777548943e-34,4.0389678347315804e-28,0.0,1.1506645698494169e-18,3.662248781683378e-18,5.3223124613920715e-12,9.901427802528943e-08,1.6103987599017146e-19,7.048439481889218e-14
