,Y5Z0,Y0Z5,Y5Z2,Y2Z5,Y5Z1,Y1Z5,Y0Z2,Y2Z0,Y1Z2,Y2Z1,Y3Z5,Y5Z3,Y5Z4,Y4Z5,Y1Z0,Y0Z1,Y3Z2,Y2Z3,Y4Z1,Y1Z4,Y0Z4,Y4Z0,Y4Z3,Y3Z4,Y3Z1,Y1Z3,Y3Z0,Y0Z3,Y2Z4,Y4Z2,standard_y,Y2,Y0,X5Y0,X0Y5,X0Y2,Y1,X3Y1,Y5,X5Y4,X5Y2,X4Y5,X4Y2,X4Y0,X3Y5,X2Y5,X2Y4,X2Y1,X1Y2,Y4,X3Y0,X1Y5,X0Y4,X0Y3,X1Y3,X4Y1,standard_x,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y1,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3Y2,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y3,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y4,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9617911699198027,0.9617911699198027,0.8961816708493071,0.8961816708493071,0.8797493185344203,0.8797493185344203,0.87786790373901,0.8778679037390099,0.664318734454616,0.6643187344546159,0.6412660792617743,0.6412660792617741,0.6195798568958071,0.619579856895807,0.4586067093870614,0.4586067093870613,0.4407622204637107,0.4407622204637107,0.3483892327332404,0.3483892327332403,0.2824261461537927,0.2824261461537926,0.12987407341084578,0.12987407341084578,0.12837236942357588,0.12837236942357588,0.03184648040898256,0.031846480408982414,0.028632026370587003,0.028632026370586927,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.2551405187698492e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0017039150670126197,0.0017039150670126193,0.0015876808807342305,0.018315144744229184,0.0015585692257601784,0.42114332883668976,0.001555236099903484,0.018312360736657124,0.664318734454616,0.664318734454616,0.6094196488293221,0.0011360708733782151,0.0010976514303726835,0.3371541539520242,0.4211412285609313,0.0008124704264261956,0.44076222046371066,0.4407622204637107,0.3483892327332404,0.34838923273324035,0.000500347872594715,0.3371527384382874,0.12987407341084578,0.1298740734108458,0.12837236942357577,0.12837236942357588,0.6094185925169788,5.641941774607065e-05,0.02863202637058701,0.028632026370586934,8.332093695551102e-17,0.0,5.421010862427522e-20,2.7755575615628914e-17,2.7755575615628914e-17,1.0842021724855044e-19,2.7755575615628914e-17,0.0,0.0,0.0,2.168404344971009e-19,3.2526065174565133e-19,1.1102230246251565e-16,0.0,1.0842021724855044e-19,1.0842021724855044e-19,8.326672684688674e-17,2.7755575615628914e-17,0.0,0.0,1.0842021724855044e-19,5.421010862427522e-20,5.421010862427522e-20,6.776263578034403e-20,5.551115123125783e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-17,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,2.668153783851046e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.922263668027336e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0006103886460214227,0.0006103886460214227,1.0428591017241755e-05,2.615126217926401e-06,1.0428579526625977e-05,6.013676389743727e-05,0.0002660788366616498,2.6150752029256683e-06,9.486090758310421e-05,9.486090758310418e-05,0.6094196052661103,0.0004069714363178221,0.000393208548571217,0.3371537676176509,6.0136725411346065e-05,0.0002660788280144014,0.31238985234890426,6.293831875125034e-05,0.3197572066545599,4.974798556055814e-05,0.0001792381946761232,0.33715358596957673,0.12987407341084578,0.12987407341084584,0.31238984654651925,1.8330838557656048e-05,0.6094194697131319,2.0210967479569895e-05,4.088489254615177e-06,0.31975720281078995,8.331416069193298e-17,0.0,2.710505431213761e-20,0.0,2.7755575615628914e-17,6.617444900424222e-24,6.776263578034403e-21,1.6940658945086007e-21,2.710505431213761e-20,0.0,0.0,0.0,1.3552527156068805e-20,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,2.7755575615628914e-17,5.551115123125783e-17,0.0,2.710505431213761e-20,3.308722450212111e-24,0.0,2.710505431213761e-20,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,8.530300066953098e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.04728794979874e-25,0.0,0.0,0.0,0.0,0.0,0.0
3,7.841571312157356e-07,0.00023504970139867596,1.3397447027461554e-08,2.416156389661795e-07,1.3397447027224702e-08,1.6744864739927825e-07,0.00010597103472354737,2.416156633248307e-07,3.799532845673649e-07,3.799532845673649e-07,0.0019657859229463394,5.228300953332722e-07,5.051491200350568e-07,0.20728032202046154,1.6744862529336438e-07,0.00010597103472349214,0.001007666264388241,2.416170049609819e-07,0.3197572063626582,1.9925922064138624e-07,7.138507294279183e-05,0.20728029735626813,0.2072778923159132,0.0004189307749884892,0.0010076662643879407,1.6744701230051667e-07,0.0019657858535905813,0.00023504839480278805,1.637592303076488e-08,0.3197572063625965,5.551116446614763e-17,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,2.524354896707238e-29,5.293955920339377e-23,0.0,1.3552527156068805e-20,6.776263578034403e-21,2.524354896707238e-29,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,2.6469779601696886e-23,3.7865323450608567e-29,1.3552527156068805e-20,0.0,5.169878828456423e-26,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8932661725304283e-29,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.550963648536927e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.293659689434746e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3966611191624975e-27,0.0,0.0,0.0,0.0,0.0,0.0
4,3.5618174619586684e-09,0.0002715077311121172,2.3553511028948936e-09,8.139815100754026e-09,2.3553511028948928e-09,1.0046851177216472e-11,0.00020486531973961465,8.139816195680085e-09,2.2797095154784716e-11,1.2248531277788944e-08,7.730048331114303e-06,2.374811487468624e-09,2.3553546453884838e-09,0.0003691635581822777,1.004684940750407e-11,0.0002048653197396146,5.609796464914158e-06,8.139815101465613e-09,0.000569485274647189,1.1955499788881882e-11,0.0002048652563793334,0.0003691634995719907,0.0003691635581153653,5.609792793267592e-06,5.609796464914157e-06,1.0046851175699476e-11,7.730047967221336e-06,0.00027150773108877967,1.2248510102083152e-08,0.0005694852746471889,8.478593200732864e-22,8.271806125530277e-25,0.0,3.1763735522036263e-22,2.117582368135751e-22,2.0194839173657902e-28,8.077935669463161e-28,1.8488927466117464e-32,0.0,0.0,6.162975822039155e-33,2.0194839173657902e-28,0.0,1.3234889800848443e-23,6.776263578034403e-21,7.703719777548943e-33,0.0,0.0,5.421010862427522e-20,0.0,0.0,6.018531076210112e-36,1.3234889800848443e-23,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,4.270075094245476e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82203781185417e-31,0.0,0.0,0.0,0.0,0.0,0.0
5,9.335367388987636e-16,5.959308880988719e-07,6.140782554676036e-16,8.08326335114172e-09,6.140782554676034e-16,4.93944573542483e-12,4.479674589154125e-07,8.08326335114704e-09,1.726046964712178e-11,1.2191042204678853e-08,9.234173218587595e-10,6.191930783442741e-16,6.140782554684832e-16,3.596198787783103e-07,4.939445735420568e-12,4.479674589154124e-07,6.689536436780497e-10,8.08326335114172e-09,5.550922348495753e-07,1.72710305778146e-11,4.479674589152801e-07,3.596198787780295e-07,3.596198787783103e-07,6.689536436776323e-10,6.689536436780496e-10,4.93944573542483e-12,9.234173218585451e-10,5.959308880988719e-07,1.2191042225239302e-08,5.550922348496998e-07,5.304235093478769e-23,0.0,5.293955920339377e-23,2.5849394142282115e-26,3.877409121342317e-26,7.888609052210118e-31,6.058451752097371e-28,1.128474576789396e-36,0.0,4.70197740328915e-38,2.204051907791789e-39,9.4039548065783e-38,0.0,0.0,3.970466940254533e-23,1.1020259538958945e-39,0.0,0.0,1.0587911840678754e-22,0.0,4.930380657631324e-32,7.174648137343064e-43,0.0,2.465190328815662e-32,7.52316384526264e-37,1.0339757656912846e-25,1.1404654936371299e-07,1.1885305915836988e-22,5.840544003304897e-08,5.5773953388602e-17,1.0339757656912846e-25,4.823487077905039e-24,1.8362342787121953e-12,5.956523680410144e-20,6.760439626096607e-27,7.92123571511802e-10,4.308114569786227e-21,1.0650504795521206e-07,5.716478131968566e-11,7.212259096870398e-14,1.8071628713741385e-16,1.3263138950285837e-15,4.066010436568849e-18,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,0.0,0.0,1.3234889800848443e-23,1.793662034335766e-43,1.7074851820532025e-16,1.6543612251060553e-24,1.6543612251060553e-24,0.0,0.0,0.0,0.0,2.6187320690097276e-22,2.5226051262900525e-08,0.0,0.0,1.2924697071141057e-26,1.2924697071141057e-26,1.2924697071141057e-26,0.0,1.5407439555097887e-33,5.840544003304897e-08,1.809804855781182e-16,8.617054600548428e-11,0.0,1.0339757656912846e-25,0.0,1.0339757656912846e-25,1.0339757656912846e-25,7.703719777548943e-34,0.0,5.1813851790198044e-24,1.8345743025126144e-12,2.2701169286607986e-18,1.120472509318235e-09,0.0,5.048709793414476e-29,0.0,5.048709793414476e-29,0.0,1.0339757656912846e-25,3.182373295968428e-36,8.058874940450155e-27,7.921235693391314e-10,4.910835398167138e-21,1.0650504795520681e-07,1.9020215909780325e-12,6.617444900424222e-24,0.0,6.617444900424222e-24,0.0,0.0,2.9673799422792472e-36,5.716478131975699e-11,1.5532710275727737e-13,1.9749313240737857e-16,1.870637504898563e-15,4.125591072974729e-18,8.761575689633121e-08
6,9.479432153901985e-17,3.678803260959788e-09,1.1821405514157767e-16,1.2915239478334181e-08,1.1821405514157752e-16,7.683565203881863e-12,5.277750734126642e-09,1.2915239478334183e-08,2.7635664340671045e-11,1.9614135613656715e-08,9.782066971457947e-09,8.675763514619818e-17,1.1821405514157754e-16,8.965660047743905e-09,7.683565203881805e-12,5.2777507341266374e-09,7.048278254381527e-09,1.2915239478334183e-08,1.386375174234593e-08,2.7635234718651714e-11,5.2777507341266374e-09,8.965660047743895e-09,8.965660047743902e-09,7.04827825438152e-09,7.0482782543815234e-09,7.683565203881861e-12,9.782066971457934e-09,3.678803260959788e-09,1.961413561282857e-08,1.3863751742015749e-08,8.271806125530277e-25,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,9.183549615799121e-41,7.346839692639297e-40,9.183549615799121e-41,1.6155871338926322e-27,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,7.174648137343064e-43,0.0,1.232595164407831e-32,1.2037062152420224e-35,4.1359030627651384e-25,4.008477482399409e-08,9.306187884320578e-24,3.228101523626521e-08,2.988376166546107e-17,0.0,2.7135073518317276e-23,5.953310373775471e-12,2.0562644736022335e-18,2.333059892193897e-26,2.5796393217866103e-09,1.4594756658076597e-19,5.313103943689668e-09,1.2263833655470837e-09,8.128288526512048e-16,4.6874216697303165e-16,1.3138762767847602e-15,1.7195345622176267e-18,4.930380657631324e-32,2.465190328815662e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,0.0,7.174648137343064e-43,7.190691585529862e-16,2.0679515313825692e-25,1.0339757656912846e-25,0.0,0.0,0.0,2.465190328815662e-32,2.3645307396288772e-23,1.2627716520015553e-09,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,2.465190328815662e-32,0.0,3.2281015236265214e-08,9.709294907176816e-17,1.8423062225873648e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6430428276086114e-23,5.953445604594645e-12,7.901617502258462e-17,3.637302115452394e-09,0.0,1.0097419586828951e-28,0.0,2.0194839173657902e-28,0.0,4.1359030627651384e-25,4.657517974190551e-35,3.5848683707690616e-26,2.579639321963111e-09,1.6705768612830148e-19,5.313103943717621e-09,6.164965989110804e-12,0.0,6.617444900424222e-24,0.0,0.0,6.617444900424222e-24,4.7219872099582743e-35,1.2263833655470882e-09,1.655918470005988e-15,7.183145974399084e-16,1.279367188557968e-15,1.945353079154127e-18,4.313637668380241e-08
7,9.479432153901985e-17,3.678803260959788e-09,1.1821405514157767e-16,1.2915239478334181e-08,1.1821405514157752e-16,7.683565203881863e-12,5.277750734126642e-09,1.2915239478334183e-08,2.7635664340671045e-11,1.9614135613656715e-08,9.782066971457947e-09,8.675763514619818e-17,1.1821405514157754e-16,8.965660047743905e-09,7.683565203881805e-12,5.2777507341266374e-09,7.048278254381527e-09,1.2915239478334183e-08,1.386375174234593e-08,2.7635234718651714e-11,5.2777507341266374e-09,8.965660047743895e-09,8.965660047743902e-09,7.04827825438152e-09,7.0482782543815234e-09,7.683565203881861e-12,9.782066971457934e-09,3.678803260959788e-09,1.961413561282857e-08,1.3863751742015749e-08,8.271806125530277e-25,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,9.183549615799121e-41,7.346839692639297e-40,9.183549615799121e-41,1.6155871338926322e-27,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,7.174648137343064e-43,0.0,1.232595164407831e-32,1.2037062152420224e-35,4.1359030627651384e-25,4.008477482399409e-08,9.306187884320578e-24,3.228101523626521e-08,2.988376166546107e-17,0.0,2.7135073518317276e-23,5.953310373775471e-12,2.0562644736022335e-18,2.333059892193897e-26,2.5796393217866103e-09,1.4594756658076597e-19,5.313103943689668e-09,1.2263833655470837e-09,8.128288526512048e-16,4.6874216697303165e-16,1.3138762767847602e-15,1.7195345622176267e-18,4.930380657631324e-32,2.465190328815662e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,0.0,7.174648137343064e-43,7.190691585529862e-16,2.0679515313825692e-25,1.0339757656912846e-25,0.0,0.0,0.0,2.465190328815662e-32,2.3645307396288772e-23,1.2627716520015553e-09,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,2.465190328815662e-32,0.0,3.2281015236265214e-08,9.709294907176816e-17,1.8423062225873648e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6430428276086114e-23,5.953445604594645e-12,7.901617502258462e-17,3.637302115452394e-09,0.0,1.0097419586828951e-28,0.0,2.0194839173657902e-28,0.0,4.1359030627651384e-25,4.657517974190551e-35,3.5848683707690616e-26,2.579639321963111e-09,1.6705768612830148e-19,5.313103943717621e-09,6.164965989110804e-12,0.0,6.617444900424222e-24,0.0,0.0,6.617444900424222e-24,4.7219872099582743e-35,1.2263833655470882e-09,1.655918470005988e-15,7.183145974399084e-16,1.279367188557968e-15,1.945353079154127e-18,4.313637668380241e-08
8,6.715417805129095e-17,3.6788032483104898e-09,9.931448667750867e-17,1.2915239372668792e-08,9.931448667750856e-17,7.683570674378261e-12,5.2777507219650434e-09,1.2915239372668795e-08,2.7635674503409847e-11,1.961413545536175e-08,9.782066976755999e-09,5.911748813150169e-17,9.931448667750858e-17,8.965660046503617e-09,7.683570674378203e-12,5.277750721965038e-09,7.048278259418034e-09,1.2915239372668795e-08,1.3863751740987209e-08,2.76352448813942e-11,5.277750721965038e-09,8.965660046503607e-09,8.965660046503614e-09,7.048278259418028e-09,7.048278259418031e-09,7.68357067437826e-12,9.782066976755983e-09,3.6788032483104898e-09,1.9614135454533602e-08,1.3863751740657028e-08,3.722716653272098e-24,3.308722450212111e-24,4.1359030627651384e-25,0.0,0.0,0.0,4.0389678347315804e-28,6.018531076210112e-36,0.0,1.8367099231598242e-40,7.346839692639297e-40,1.3775324423698682e-40,1.6155871338926322e-27,6.162975822039155e-33,0.0,1.4693679385278594e-39,1.6155871338926322e-27,3.308722450212111e-24,1.6543612251060553e-24,8.271806125530277e-25,1.232595164407831e-32,7.174648137343064e-43,0.0,0.0,1.2037062152420224e-35,4.1359030627651384e-25,4.008477523860231e-08,1.0853530023672041e-23,3.228101523477466e-08,2.98837634901147e-17,0.0,3.095478304550577e-23,5.953404100837885e-12,2.0562645154658892e-18,2.4868632660814958e-26,2.579639242837423e-09,1.459484431554412e-19,5.313103913697257e-09,1.2263834219392563e-09,8.12828852002581e-16,6.174230789788968e-16,1.3138762776563152e-15,1.7195351086845286e-18,0.0,0.0,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,2.0679515313825692e-25,1.4349296274686127e-42,8.663042541939107e-16,1.0339757656912846e-25,0.0,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,0.0,3.003555849433182e-23,1.2627716221035748e-09,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,3.2281015234774674e-08,9.709295105923972e-17,1.8423062793622456e-09,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,3.697785493223493e-32,0.0,3.109365526908241e-23,5.9535393316555474e-12,7.901617496690963e-17,3.6373020278796437e-09,6.058451752097371e-28,0.0,6.058451752097371e-28,4.0389678347315804e-28,6.058451752097371e-28,4.1359030627651384e-25,5.778681154049106e-36,3.987854262255302e-26,2.579639243013926e-09,1.6705922893006099e-19,5.31310391372521e-09,6.165060133718827e-12,0.0,0.0,0.0,0.0,0.0,4.704848697473715e-36,1.2263834219392617e-09,1.6559184696832189e-15,8.669955090659841e-16,1.2793671952821198e-15,1.9453538201835318e-18,4.31363766827853e-08
9,3.934999416639874e-14,3.678785209499273e-09,2.6853050890162353e-14,1.2915122586873768e-08,2.685305089016233e-14,7.691392226547619e-12,5.2777333786268925e-09,1.291512258687377e-08,2.7650239957721945e-11,1.961396119966089e-08,9.782074532235384e-09,3.935802755514785e-14,2.6853050890162356e-14,8.965644538945834e-09,7.691392226547561e-12,5.2777333786268875e-09,7.04828544191363e-09,1.291512258687377e-08,1.3863728558798574e-08,2.764981034013508e-11,5.2777333786268875e-09,8.965644538945824e-09,8.96564453894583e-09,7.0482854419136234e-09,7.048285441913627e-09,7.691392226547616e-12,9.782074532231455e-09,3.6787852094999505e-09,1.9613961198832508e-08,1.3863728558468001e-08,2.4827566834531234e-24,1.6543612251060553e-24,0.0,1.0339757656912846e-25,1.0339757656912846e-25,4.930380657631324e-32,1.2116903504194741e-27,1.2037062152420224e-35,3.1554436208840472e-30,0.0,1.410593220986745e-37,9.4039548065783e-38,0.0,6.162975822039155e-33,2.0679515313825692e-25,1.410593220986745e-37,1.6155871338926322e-27,1.6543612251060553e-24,1.6543612251060553e-24,8.271806125530277e-25,1.5777218104420236e-30,1.3775324423698682e-40,0.0,0.0,2.407412430484045e-35,4.1359030627651384e-25,4.008535890792606e-08,2.2174884049486463e-21,3.228101310913909e-08,2.988631980205588e-17,0.0,5.4781262024962586e-21,6.087082317060899e-12,2.056338968776967e-18,2.2286306045772832e-24,2.5795334261485183e-09,1.4719956143283793e-19,5.313053000333833e-09,1.2264638418706657e-09,8.128266907701836e-16,2.1264877289059458e-13,1.3138639605188824e-15,1.7202676638681914e-18,1.262177448353619e-29,1.262177448353619e-29,0.0,1.262177448353619e-29,6.310887241768095e-30,2.0679515313825692e-25,4.591774807899561e-41,2.1083580144169709e-13,0.0,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,0.0,9.143049510303366e-21,1.2627270500502907e-09,0.0,2.0679515313825692e-25,1.0339757656912846e-25,1.0339757656912846e-25,1.0339757656912846e-25,2.465190328815662e-32,0.0,3.22810131091412e-08,9.709563657004253e-17,1.8423872450707549e-09,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,4.930380657631324e-32,6.6811804233397886e-21,6.087217545981873e-12,7.90166624667064e-17,3.6371866895838192e-09,2.0194839173657902e-28,1.0097419586828951e-28,2.0194839173657902e-28,2.0194839173657902e-28,2.0194839173657902e-28,4.1359030627651384e-25,4.923747808536678e-35,5.795344757177473e-24,2.5795334263290025e-09,1.6926059420948222e-19,5.313053000363334e-09,6.299334360250251e-12,0.0,0.0,0.0,0.0,0.0,4.678839593525107e-35,1.2264638418718296e-09,1.6559154920327353e-15,2.128983456847803e-13,1.2793557367669754e-15,1.9463639727547694e-18,4.313637523232771e-08
