,Y1Z5,Y5Z1,Y2Z1,Y1Z2,Y3Z4,Y4Z3,Y1Z4,Y4Z1,Y3Z1,Y1Z3,Y2Z3,Y3Z2,Y2Z4,Y4Z2,Y0Z4,Y4Z0,Y2Z0,Y0Z2,Y5Z4,Y4Z5,Y5Z0,Y0Z5,Y3Z0,Y0Z3,Y5Z2,Y2Z5,Y0Z1,Y1Z0,Y5Z3,Y3Z5,standard_y,Y4,X5Y2,X0Y2,X1Y5,X1Y0,Y5,Y2,Y1,X4Y3,X4Y2,X3Y5,X3Y2,X1Y4,X0Y5,X0Y1,X5Y1,X1Y2,X5Y0,Y0,X3Y1,X3Y0,X4Y1,X2Y1,X1Y3,standard_x,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y4,X2Y3,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.926522186722162,0.9265221867221618,0.8614862992115147,0.8614862992115147,0.7842725419704123,0.7842725419704122,0.7442839657199809,0.7442839657199805,0.5604352660118785,0.5604352660118785,0.4949178783910771,0.49491787839107704,0.46853772940170113,0.468537729401701,0.44568579117984475,0.4456857911798446,0.43458775374134107,0.43458775374134095,0.36338618940235357,0.36338618940235357,0.25608781709102313,0.25608781709102313,0.24624977102096177,0.24624977102096174,0.12795722422850875,0.12795722422850875,0.07080892705907259,0.07080892705907255,0.06949969168348513,0.06949969168348512,2.0816681711721685e-16,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.0408340855860843e-17,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0008556419134109225,0.0008556419134109225,0.7335291295471518,0.0007955813643733906,0.7842725419704124,0.7842725419704122,0.0006873451771324763,0.38089793127454447,0.4909356039647921,0.0005175611660740093,0.49491787839107704,0.49491787839107704,0.468537729401701,0.468537729401701,0.44568579117984464,0.4456857911798446,0.43458775374134107,0.43458775374134095,0.00033558662583929295,0.3808974589364158,0.0002364967325738711,0.18527892022663978,0.24624977102096174,0.2462497710209618,0.00011816831344424494,0.7335287076238017,0.18527878082973023,6.539194279820055e-05,6.418286580260689e-05,0.49093533534484446,8.327011497867576e-17,0.0,5.421010862427522e-20,1.1102230246251565e-16,4.163336342344337e-17,2.371692252312041e-20,0.0,1.1102230246251565e-16,3.3881317890172014e-21,0.0,5.551115123125783e-17,0.0,0.0,2.710505431213761e-20,5.421010862427522e-20,1.3552527156068805e-20,4.163336342344337e-17,0.0,4.0657581468206416e-20,2.7755575615628914e-17,3.7269449679189215e-20,2.7755575615628914e-17,3.3881317890172014e-21,1.0164395367051604e-20,2.0328790734103208e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,5.551115123125783e-17,2.7755575615628914e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0007299374119208476,0.0007299374119208476,0.7335291146925116,0.0006787005089175385,0.0017655948325829463,0.0017655948325829463,0.00014484173462579205,0.0008574969908130548,0.0011052195567987095,0.0001448391298790942,0.0263813362968478,0.0011141846767257686,0.026378894832756367,0.0010547963235119852,0.19943664417307572,0.001003350860513057,0.43458775374134095,0.43458775374134095,0.00023153129107115136,0.0008574962169499087,0.00020175240389352423,0.1852789120063839,0.0005543701965480088,0.19943489075982554,0.00010080790986815463,0.7335288076343245,0.18527881055913675,5.578504832274533e-05,0.00023153042685604522,0.001105219116700684,5.530447519212778e-17,5.421010862427522e-20,5.421010862427522e-20,0.0,1.3877787807814457e-17,1.7671589338550247e-20,5.421010862427522e-20,5.551115123125783e-17,1.0164395367051604e-20,1.3877787807814457e-17,1.0842021724855044e-19,0.0,2.168404344971009e-19,5.293955920339377e-23,0.0,2.5879392364184233e-20,1.3877787807814457e-17,0.0,6.776263578034403e-21,0.0,9.26442286059391e-23,2.710505431213761e-20,2.6469779601696886e-23,0.0,6.617444900424221e-23,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0
3,1.4226014346671987e-09,2.9048755714784632e-05,3.096189037432419e-05,1.322743980411559e-09,4.0292407562275405e-05,4.0292407562275405e-05,2.822851182267248e-10,4.502547893651615e-06,2.0459290632623306e-07,2.822851155829351e-10,1.1134927407438014e-06,2.0459295144516925e-07,1.1134926870747069e-06,4.502547932527192e-06,0.19943602048386408,2.2897338083284507e-05,1.8343728758293576e-05,0.6198666434388101,1.069047288888868e-05,4.502547915376208e-06,9.315500664990492e-06,0.6198666431454707,1.2651209375717134e-05,0.1994360195707016,2.9048755680614577e-05,3.096189034669261e-05,0.6198666432167206,1.0872149924204498e-10,1.069047286810736e-05,2.0459291091556556e-07,5.551453940828328e-17,8.470329472543003e-22,0.0,0.0,8.470329472543003e-22,5.66865677573288e-26,1.6940658945086007e-21,0.0,4.52364397489937e-26,6.938893903907228e-18,2.0679515313825692e-25,1.0339757656912846e-25,2.0679515313825692e-25,1.5777218104420236e-30,1.6940658945086007e-21,5.142692105851577e-26,4.235164736271502e-22,1.2705494208814505e-21,1.6940658945086007e-21,5.551115123125783e-17,7.888609052210118e-31,3.3881317890172014e-21,1.5777218104420236e-30,1.2705494208814505e-21,1.5777218104420236e-30,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,3.877409121342317e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2705494208814505e-21,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0
4,1.099277440580629e-10,1.932388183028643e-05,9.784100434010784e-09,9.381037773056327e-11,2.2303411055726277e-06,2.2303411055726273e-06,2.1812832004143257e-11,1.0182203238543775e-06,6.889670312861157e-07,2.18128320035173e-11,3.5186884336272814e-10,6.889670312420191e-07,3.518688433107628e-10,1.0182203238303053e-06,0.0004108097776051956,1.0182235415013067e-06,5.796703054981756e-09,0.0012768369417419734,5.384739877309552e-06,1.0182203233365312e-06,1.932386074314709e-05,0.0012768369416939714,6.889685409469232e-07,0.0004108097775994322,1.9323881829979742e-05,9.784100431795475e-09,0.0012768369417312068,9.381014306478375e-11,5.3847398772774795e-06,6.88967031104115e-07,1.6915811214966738e-21,0.0,0.0,4.235164736271502e-22,0.0,3.668387511519671e-30,1.6940658945086007e-21,2.481541837659083e-24,3.2311742677852644e-27,0.0,1.5777218104420236e-30,0.0,3.1554436208840472e-30,1.5407439555097887e-33,0.0,3.452062350786752e-30,2.117582368135751e-22,8.271806125530277e-25,0.0,0.0,1.232595164407831e-32,2.0679515313825692e-25,0.0,4.1359030627651384e-25,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2311742677852644e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5777218104420236e-30,1.5777218104420236e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.431700815906108e-26,0.0,0.0,0.0,0.0,0.0,0.0
5,4.180728592762917e-12,2.875052710752353e-06,1.9924183772335373e-09,3.5593398547632545e-12,8.2248476227794e-07,8.216255718198054e-07,8.226842507110238e-13,3.7326550967761706e-07,2.526538537341882e-07,8.226842507078151e-13,4.437873843697307e-11,2.526538537331185e-07,4.4378738436079e-11,3.7326550967703197e-07,6.613670380621638e-09,3.732655096770323e-07,1.9924349991858655e-09,2.0627115578541526e-08,7.928945132971497e-07,3.7326550967337914e-07,2.875052710749319e-06,2.0627116291831008e-08,2.526538537331187e-07,6.613670380608947e-09,2.8750527107493196e-06,1.992418377224418e-09,2.0627116291844534e-08,3.559339854907278e-12,7.928945132965028e-07,2.5265385373269083e-07,1.8487496787979755e-22,0.0,0.0,0.0,1.0587911840678754e-22,1.5480858662765548e-31,2.117582368135751e-22,4.1359030627651384e-25,1.0097419586828951e-28,6.938893903907228e-18,1.9721522630525295e-31,0.0,0.0,1.5723412436598918e-34,0.0,4.240472646870601e-32,5.293955920339377e-23,1.5777218104420236e-30,0.0,0.0,1.925929944387236e-34,0.0,1.925929944387236e-34,0.0,0.0,4.783062876111193e-07,4.65606466206906e-13,3.5020545855027476e-13,0.0013404331752566304,2.6469779601696886e-23,1.4219614799151068e-15,4.809369453925295e-16,4.36858352233043e-16,1.4257384649202568e-07,7.509816770157355e-19,7.977332745947609e-19,7.438667619075693e-15,4.235200516074884e-15,1.7269152505886355e-15,2.456618321633023e-15,1.4900241548006667e-07,1.5034917266534639e-15,2.6469779601696886e-23,0.0,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,0.0,0.0,3.2818368152723436e-07,6.617444900424222e-24,3.308722450212111e-24,0.0,0.0,0.0,2.0194839173657902e-28,1.5777218104420236e-30,6.450520486713308e-13,7.810665295691745e-08,0.0,3.308722450212111e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,5.604511366726251e-13,0.0013404331752765936,7.083600149663682e-08,2.5849394142282115e-26,3.2311742677852644e-27,6.462348535570529e-27,2.5849394142282115e-26,2.5849394142282115e-26,3.944304526105059e-31,0.0,9.860761315262648e-32,0.0,1.476366464374073e-15,5.171439426838766e-16,4.8841606272966825e-16,2.339231801935073e-10,5.048709793414476e-29,0.0,2.524354896707238e-29,5.048709793414476e-29,5.048709793414476e-29,1.425738464924439e-07,1.210579142161174e-18,1.292479538409749e-18,7.438666528974556e-15,6.909788197186721e-13,1.0339757656912846e-25,5.169878828456423e-26,0.0,0.0,2.0679515313825692e-25,3.944304526105059e-31,3.944304526105059e-31,8.189098519986052e-15,3.734799963816694e-15,4.189184188352804e-15,1.490024154781744e-07,1.5034820955458773e-15,1.4131838317044768e-09
6,1.0222069184611545e-13,7.72995996021264e-08,6.12938465406658e-10,7.397824195311804e-14,8.447060784775787e-08,2.6055195084046328e-08,1.0251667131726831e-13,2.6054807127662412e-08,8.447047109925408e-08,1.0251667131727544e-13,6.12937191499004e-10,8.447047109925487e-08,6.129371914990027e-10,2.6054807127648294e-08,2.8141207026819045e-07,2.6054807127668825e-08,6.128726112872643e-10,2.814121486133049e-07,7.730011786233502e-08,2.6054807127655616e-08,7.729959960216389e-08,2.814121486041534e-07,8.447047109921909e-08,2.814120702681407e-07,7.729959960211974e-08,6.129384654069239e-10,2.8141214860415365e-07,7.397824218625504e-14,7.730011786234524e-08,8.44704710992849e-08,3.2570236619275465e-24,3.308722450212111e-24,0.0,0.0,0.0,5.486170976925975e-33,0.0,5.169878828456423e-26,0.0,2.6469779601696886e-23,6.162975822039155e-33,0.0,3.0814879110195774e-33,6.018531076210112e-36,0.0,5.483346711125021e-33,0.0,5.048709793414476e-29,1.262177448353619e-29,0.0,3.009265538105056e-36,2.524354896707238e-29,3.009265538105056e-36,0.0,0.0,7.414958511106983e-07,9.90227904021045e-14,5.274379459190971e-14,1.2570849025639476e-07,6.617444900424222e-24,3.079019976349334e-16,2.708577126040781e-16,1.4004554640063382e-16,3.135461140468446e-09,4.6586816984633084e-20,1.0707761139080835e-20,8.663081171841203e-14,2.508150915094191e-14,1.1598705725538661e-15,9.5854024830972e-14,5.686136625718264e-08,1.9090131349189617e-16,0.0,0.0,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,0.0,0.0,4.459878436044592e-07,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,6.310887241768095e-30,9.153606627787793e-14,7.026058903971916e-08,0.0,2.6469779601696886e-23,0.0,0.0,0.0,2.6469779601696886e-23,2.3415362904968837e-14,1.2570849025645882e-07,2.2778225299915076e-07,6.462348535570529e-27,6.462348535570529e-27,1.2924697071141057e-26,6.462348535570529e-27,6.462348535570529e-27,0.0,9.244463733058732e-33,1.5407439555097887e-33,5.293955920339377e-23,4.684555770578621e-16,2.6931157903369296e-16,6.758513842270219e-18,8.655303503606482e-11,3.7865323450608567e-29,0.0,0.0,1.262177448353619e-29,0.0,3.135461140410592e-09,2.1696542442107828e-20,1.0079684052971728e-20,8.663081158656892e-14,2.7509102808594033e-13,2.6469779601696886e-23,0.0,0.0,2.6469779601696886e-23,2.6469779601696886e-23,1.5777218104420236e-30,0.0,3.722097804288345e-14,1.2056952822863304e-14,3.1934569703620345e-14,5.686136618017852e-08,1.9101998718061891e-16,4.529433935216627e-07
7,1.270270158639755e-08,1.2183222277914036e-08,5.03433346653763e-09,1.2702701591742093e-08,1.6836460956316288e-08,1.011778358668559e-08,1.2702701586308214e-08,1.0117738413097493e-08,1.683642031833727e-08,1.2702701586308155e-08,5.034333467698433e-09,1.6836420318337316e-08,5.034333467698413e-09,1.0117738413097476e-08,2.2214513519875383e-08,1.0117738413097556e-08,5.034333474988405e-09,2.2214527976863824e-08,1.2183196423893255e-08,1.0117738413097546e-08,1.2183222278106141e-08,2.2214527976887507e-08,1.6836420318337197e-08,2.221451351987527e-08,1.2183222278106055e-08,5.034333466537607e-09,2.221452797688748e-08,1.2702701591741935e-08,1.2183196423893313e-08,1.683642031833739e-08,1.1580528575742387e-23,8.271806125530277e-25,5.9164567891575885e-31,5.169878828456423e-26,3.2311742677852644e-27,6.885966458392524e-31,3.308722450212111e-24,0.0,2.481541837659083e-24,5.293955920339377e-23,0.0,7.888609052210118e-31,7.703719777548943e-32,1.9721522630525295e-31,1.4174844390690056e-31,1.223051990295155e-30,1.6155871338926322e-27,0.0,1.9721522630525295e-31,4.963083675318166e-24,1.4791141972893971e-31,3.944304526105059e-31,7.395570986446986e-32,3.944304526105059e-31,0.0,1.7066024850848472e-07,2.0821052337884732e-15,2.010069195429557e-15,3.3007789467926824e-08,1.6543612251060553e-24,1.050098396302353e-15,1.0879772005947168e-15,1.4241236757214892e-16,4.521966187455087e-12,3.032189070987475e-16,2.3847610358821665e-15,6.219911049202342e-16,6.078534174751641e-16,6.735483292227854e-17,2.2190758879505193e-16,8.200509865005261e-11,3.038135628714754e-16,0.0,6.617444900424222e-24,6.617444900424222e-24,0.0,0.0,5.9164567891575885e-31,7.888609052210118e-31,3.1671633476498735e-08,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,6.409494854920721e-31,1.9721522630525295e-31,1.6472174676829949e-15,5.499835855025148e-08,4.963083675318166e-24,3.308722450212111e-24,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,2.6469779601696886e-23,1.539314938342651e-15,3.300779008063322e-08,2.9063012910469155e-08,9.926167350636332e-24,0.0,0.0,1.3234889800848443e-23,1.3234889800848443e-23,5.9164567891575885e-31,3.944304526105059e-31,0.0,5.169878828456423e-26,1.3700730654639437e-15,1.093616570274419e-15,7.06575495539835e-16,4.193817284747428e-08,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24,1.3234889800848443e-23,4.522917484507704e-12,2.9249179214455754e-16,3.3637569802732332e-15,6.843445827686229e-16,6.601256451623952e-08,6.617444900424222e-24,0.0,6.617444900424222e-24,1.3234889800848443e-23,0.0,1.9721522630525295e-31,3.944304526105059e-31,2.1567418699432014e-16,5.93331506560999e-16,9.008568514132007e-16,8.20055879181725e-11,1.3185160921889021e-15,6.844579898148737e-08
8,9.274992924266096e-09,3.109143933715938e-09,3.6603854388124846e-09,9.274992912971325e-09,5.4368231981604984e-09,4.8998338367008896e-09,9.274992924425106e-09,4.899818160983043e-09,5.436805310536484e-09,9.274992924425103e-09,3.660385423757293e-09,5.4368053105364845e-09,3.6603854237572896e-09,4.8998181609830394e-09,7.386075182211795e-09,4.899818160983041e-09,3.6603854756979157e-09,7.386078426551261e-09,3.109135561227532e-09,4.899818160983043e-09,3.1091439288577664e-09,7.386078428522348e-09,5.436805310536484e-09,7.3860751822117886e-09,3.1091439288577664e-09,3.6603854388124838e-09,7.386078428522348e-09,9.274992912971325e-09,3.1091355612275343e-09,5.436805310536484e-09,3.9291079096268815e-24,1.2407709188295415e-24,6.162975822039155e-33,1.6543612251060553e-24,1.2924697071141057e-25,3.6153080956537834e-31,4.1359030627651384e-25,6.203854594147708e-25,2.0679515313825692e-24,2.6469779601696886e-23,3.697785493223493e-31,0.0,5.705567460247186e-33,2.5268200870360534e-31,0.0,1.9397205107482319e-31,1.550963648536927e-25,4.3140830754274083e-32,1.1940765655200862e-32,0.0,1.1093356479670479e-31,2.465190328815662e-32,9.860761315262648e-32,6.471124613141112e-32,2.9582283945787943e-31,4.450146736251417e-08,1.334599353758873e-16,1.2513452565902495e-16,3.387441417715447e-08,8.271806125530277e-25,2.4150662605327913e-17,3.757985891257979e-16,7.054922601544569e-17,1.5285517204417474e-11,4.6948886220673104e-17,3.879936855651131e-16,7.317085238530518e-17,4.0534712079032684e-17,6.890910692705234e-18,3.339710375416748e-16,1.9406839540374137e-10,1.3901797589187e-16,2.0679515313825692e-25,4.1359030627651384e-25,2.0679515313825692e-25,2.0679515313825692e-25,2.0679515313825692e-25,3.697785493223493e-32,4.930380657631324e-32,2.132482338392855e-09,6.617444900424222e-24,3.308722450212111e-24,6.617444900424222e-24,4.963083675318166e-24,4.963083675318166e-24,6.162975822039155e-32,7.703719777548943e-32,1.5503614906458945e-16,1.9166289302304746e-08,3.308722450212111e-24,4.1359030627651384e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,1.0834318265278842e-16,3.387441421211001e-08,1.3908996837485277e-08,4.1359030627651384e-24,8.271806125530277e-25,8.271806125530277e-25,3.308722450212111e-24,3.308722450212111e-24,6.162975822039155e-33,4.190823558986625e-31,4.930380657631324e-32,8.271806125530277e-25,4.0463398274105965e-17,3.7564737436204043e-16,9.326487519588515e-17,1.3509798354978763e-08,5.790264287871194e-24,4.1359030627651384e-24,4.1359030627651384e-24,2.481541837659083e-24,2.481541837659083e-24,1.5285478766586214e-11,7.132321470904753e-17,3.7589994907315526e-16,8.705489286446223e-17,2.2041708633426153e-08,9.305781891221561e-25,9.305781891221561e-25,9.305781891221561e-25,1.0339757656912846e-24,1.0339757656912846e-24,2.3881531310401725e-32,3.697785493223493e-32,2.5434650106879632e-17,3.9330263893069735e-17,2.7511640034891474e-16,1.9406835932039354e-10,2.4203759398213364e-16,1.5601855708969313e-09
9,2.2516963453161595e-08,7.769508258777633e-09,9.142567449426176e-09,2.2516963429425985e-08,9.876072595693477e-10,8.850899207638126e-09,2.2516963453552143e-08,8.850895637300807e-09,9.875797335211625e-10,2.2516963453552137e-08,9.142567433984681e-09,9.875797335211625e-10,9.142567433984681e-09,8.850895637300804e-09,4.101660774555123e-09,8.850895637300807e-09,9.142567474961626e-09,4.101660626981787e-09,7.769481778200429e-09,8.850895637300807e-09,7.769508245524406e-09,4.1016606325446845e-09,9.875797335211625e-10,4.1016607745551215e-09,7.769508245524406e-09,9.14256744942617e-09,4.1016606325446845e-09,2.2516963429425985e-08,7.769481778200429e-09,9.875797335211638e-10,2.9985297205047253e-24,0.0,1.355854680848614e-31,0.0,1.2924697071141057e-25,7.699840912514169e-32,8.271806125530277e-25,1.6543612251060553e-24,8.271806125530277e-25,7.940933880509066e-23,3.4512664603419266e-31,2.465190328815662e-32,1.9567448234974316e-31,2.2186712959340957e-31,2.465190328815662e-31,3.617262792148987e-31,7.754818242684634e-26,5.17689969051289e-31,2.4960052079258577e-31,8.271806125530277e-25,3.697785493223493e-31,7.395570986446986e-32,1.0168910106364605e-31,8.011868568650901e-32,6.656013887802287e-31,5.7467863887982876e-08,8.903194820681295e-17,4.749155891973443e-17,3.31523474721664e-08,5.169878828456423e-25,3.562908658100602e-17,3.8287910474862487e-16,1.4930089284855131e-18,4.726613615919867e-11,2.1778508050980016e-16,5.816263773780097e-16,1.6681867653284236e-16,7.100453182784926e-17,8.442226191352811e-17,1.4266007047103466e-16,1.7953714605772944e-09,4.250809439757314e-16,7.651420666115506e-24,7.858215819253763e-24,7.858215819253763e-24,7.858215819253763e-24,7.858215819253763e-24,3.6130445756704545e-31,7.395570986446986e-32,3.7044790695486954e-09,3.308722450212111e-24,3.308722450212111e-24,4.963083675318166e-24,4.963083675318166e-24,4.963083675318166e-24,2.318819653042232e-31,7.395570986446986e-32,1.6114491171651624e-16,1.691987626504722e-08,2.0679515313825692e-24,2.481541837659083e-24,2.895132143935597e-24,2.895132143935597e-24,2.895132143935597e-24,5.293955920339377e-23,2.1612056339689936e-17,3.315234743852879e-08,5.807636968357845e-09,0.0,8.271806125530277e-25,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,1.355854680848614e-31,3.4512664603419266e-31,2.157041537713704e-31,0.0,1.038460183612831e-16,3.817161529632022e-16,4.102817216942687e-17,1.4041567972623437e-08,2.481541837659083e-24,2.481541837659083e-24,2.481541837659083e-24,2.481541837659083e-24,2.481541837659083e-24,4.7266365869603795e-11,1.6743758673409586e-16,4.440065577158595e-16,1.4457470318126564e-16,2.6763075383068318e-08,4.1359030627651384e-24,4.1359030627651384e-24,4.1359030627651384e-24,3.308722450212111e-24,4.963083675318166e-24,7.703719777548943e-32,0.0,7.99231344727059e-17,8.010170209832715e-17,1.3349321683230804e-16,1.7953714709387684e-09,3.5657872508018535e-16,9.25546030515043e-09
