,Y3Z1,Y1Z3,Y4Z0,Y0Z4,Y5Z4,Y4Z5,Y3Z4,Y4Z3,Y3Z2,Y2Z3,Y5Z1,Y1Z5,Y2Z1,Y1Z2,Y1Z0,Y0Z1,Y3Z5,Y5Z3,Y2Z5,Y5Z2,Y2Z0,Y0Z2,Y0Z3,Y3Z0,Y1Z4,Y4Z1,Y4Z2,Y2Z4,Y5Z0,Y0Z5,standard_y,X5Y3,X4Y3,X4Y2,X1Y4,X0Y3,X2Y1,Y5,Y2,Y1,X4Y0,X3Y5,X3Y4,X3Y0,X2Y4,X2Y3,X0Y2,X4Y1,X1Y3,X1Y0,X5Y1,X3Y1,X1Y5,X1Y2,X0Y4,X0Y1,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y2,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8982979700319382,0.8982979700319382,0.8665618499863412,0.8665618499863412,0.725065368582209,0.725065368582209,0.7034803922937473,0.703480392293747,0.6166500426836183,0.6166500426836183,0.5542704681782862,0.5542704681782861,0.5027820800522085,0.5027820800522083,0.4630073578150215,0.46300735781502145,0.4520209204500258,0.45202092045002573,0.3790196043954357,0.3790196043954356,0.37331193139504204,0.37331193139504204,0.13853941251445523,0.1385394125144552,0.08081464718300105,0.08081464718300096,0.04089576548481158,0.040895765484811525,0.006435054081123326,0.0064350540811233085,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,3.469446951953614e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.734723475976807e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0004288928607241334,0.0004288928607241333,0.8665618499863416,0.8665618499863414,0.7250653685822093,0.7250653685822093,0.00033587710089501093,0.6226657543219609,0.0002944199026330126,0.11386801993827067,0.10224959924938823,0.0002646367404163652,0.11386789234593372,0.00024005358113717544,0.00022106311809047793,0.3244679610912221,0.0002158176375173982,0.10224948455277796,0.3790196043954357,0.37901960439543575,0.37331193139504204,0.3733119313950421,0.3244678925272095,6.614571883564758e-05,3.8584997823713774e-05,0.6226656649283883,0.04089576548481158,0.040895765484811566,0.0064350540811233155,0.006435054081123378,1.7349945265199285e-16,2.710505431213761e-20,2.710505431213761e-20,5.551115123125783e-17,0.0,0.0,0.0,6.938893903907228e-18,2.7755575615628914e-17,2.710505431213761e-20,0.0,0.0,4.0657581468206416e-20,1.3552527156068805e-20,0.0,2.710505431213761e-20,6.938893903907228e-18,2.0328790734103208e-20,0.0,2.541098841762901e-21,1.3552527156068805e-20,0.0,5.082197683525802e-21,1.3552527156068805e-20,0.0,1.9481757786848908e-20,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0898556326686087e-05,1.0898556326686087e-05,0.00015453466178259293,0.00015453466178259293,0.718630314603409,0.00012930148206488534,6.854118921327884e-06,0.00011104047602226105,7.481476579315715e-06,0.1138679626684139,0.10224954776152817,6.724659432821545e-06,0.11386796258602569,6.0999790740956065e-06,4.636934444289985e-06,5.7862625949529e-05,5.48412177998125e-06,0.10224954768746697,0.3790196043954356,0.3790196043954357,0.3324161665605114,6.657301271507471e-05,5.7862625941633814e-05,6.85411875888767e-06,4.636934339377295e-06,0.0001110404760119673,7.292974284103563e-06,0.33241615997422136,0.7186303029718677,1.1475682964750402e-06,7.631555096524432e-17,8.470329472543003e-22,4.1359030627651384e-25,6.776263578034403e-21,2.0679515313825692e-25,2.0679515313825692e-25,1.0587911840678754e-21,5.551115123125783e-17,2.0816681711721685e-17,4.235164736271502e-22,5.551115123125783e-17,8.470329472543003e-22,2.5849394142282115e-25,0.0,0.0,0.0,1.6940658945086007e-21,1.0339757656912846e-25,0.0,3.2311742677852644e-27,8.470329472543003e-22,5.551115123125783e-17,0.0,6.352747104407253e-22,0.0,1.6155871338926322e-26,0.0,0.0,6.776263578034403e-21,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,2.0816681711721685e-17,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.745274936456274e-06,1.7452749364562735e-06,1.4670919963495692e-09,1.618000949133578e-05,6.467657618208342e-05,1.2275379986948706e-09,2.1938884332704185e-07,1.054175107139715e-09,1.1980700168142946e-06,0.11386796263235902,9.202437650944815e-06,1.8194249197615925e-06,0.11386796263024626,9.768395255120888e-07,1.819424918403993e-06,6.103628510860918e-06,2.1938883532499512e-07,9.202437650773882e-06,0.711435768893337,3.411168416289882e-05,0.7114357687108197,7.022442065254825e-06,6.103628510839562e-06,2.193888431929786e-07,1.819424918407585e-06,1.0541751071372087e-09,6.923666236663412e-11,0.7114357687045939,6.467657617043523e-05,1.6180009424826544e-05,2.7754622600165676e-17,1.2924697071141057e-26,0.0,6.462348535570529e-26,1.9721522630525295e-31,0.0,1.0587911840678754e-22,1.6940658945086007e-21,2.7755575615628914e-17,0.0,0.0,6.462348535570529e-27,1.9721522630525295e-31,1.6155871338926322e-27,0.0,2.117582368135751e-22,2.117582368135751e-22,1.9721522630525295e-31,0.0,2.42304699247484e-28,1.6155871338926322e-26,0.0,1.2924697071141057e-26,0.0,6.776263578034403e-21,5.016640674997489e-28,0.0,0.0,1.0339757656912846e-25,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.2080341176354414e-07,3.2247436177087626e-07,2.558655777240952e-10,1.7737728856646163e-05,1.7858110731811551e-09,2.014335659022067e-10,2.598239991506924e-07,1.8317646537307761e-10,2.598240004292054e-07,1.3641216132018912e-05,2.528029449764975e-10,1.5471596010765678e-07,1.3641216132010205e-05,1.5471595640156333e-07,1.5471596015140265e-07,4.599573713938502e-06,2.598239991201336e-07,2.528029449763357e-10,8.56521718444002e-05,9.383473811931481e-10,8.56521718436441e-05,1.773772880375512e-05,4.599573713937946e-06,2.5982399911302464e-07,1.5471596013290834e-07,1.8317646537306254e-10,2.0143356425988095e-10,8.565217184319676e-05,1.7858110729897137e-09,1.7737728855098915e-05,5.915905268099756e-21,4.930380657631324e-32,1.232595164407831e-32,7.888609052210118e-31,0.0,0.0,4.8467614016778965e-27,1.0339757656912846e-25,6.776263578034403e-21,1.3234889800848443e-23,1.6940658945086007e-21,0.0,6.162975822039155e-33,2.0194839173657902e-28,1.5777218104420236e-30,0.0,2.5849394142282115e-26,4.622231866529366e-33,5.551115123125783e-17,6.809348882712919e-29,8.628166150854817e-32,5.551115123125783e-17,2.465190328815662e-32,1.6155871338926322e-27,0.0,5.43705794202925e-29,3.991824204923988e-06,2.40556412053472e-10,1.2924697071141057e-26,2.0153944399615267e-16,1.7144609971474306e-18,2.6469779601696886e-23,2.376489319845329e-06,4.7804420224682066e-15,3.2148461603211634e-12,5.728850000812333e-17,2.273376228331604e-17,0.13501037115889078,1.0467750553995333e-11,5.764264128913194e-15,4.113364838651934e-06,1.5286432252686928e-12,1.14336053646926e-10,1.6568519890750386e-13,8.470329472543003e-22,0.0,0.0,1.2924697071141057e-26,1.2924697071141057e-26,6.462348535570529e-27,1.0339757656912846e-25,8.470329472543003e-22,7.888609052210118e-31,1.6712734633422297e-10,0.0,0.0,8.077935669463161e-27,0.0,0.0,0.0,2.405564120986164e-10,4.794518071146998e-11,0.0,3.308722450212111e-24,3.308722450212111e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,2.1943940807205464e-16,2.2382574373839784e-17,4.819565874080552e-08,8.470329472543003e-22,2.117582368135751e-22,8.470329472543003e-22,8.470329472543003e-22,4.235164736271502e-22,0.0,5.169878828456423e-26,2.376489322095193e-06,7.029233253589958e-15,6.8546307601875e-12,6.260824440974271e-06,1.6543612251060553e-24,1.6543612251060553e-24,2.481541837659083e-24,3.308722450212111e-24,3.308722450212111e-24,1.8556817389178908e-16,2.924407250784781e-17,0.13501037115889136,1.103461767055217e-11,3.586964130565455e-08,0.0,3.1763735522036263e-22,2.117582368135751e-22,1.0587911840678754e-22,0.0,1.9721522630525295e-31,6.015872639296611e-15,4.113364838693216e-06,1.6978840281344231e-12,1.6980727641870002e-10,1.2226318134433335e-12,2.3529463539311203e-06
5,2.5937184086082987e-08,3.0335222184549565e-08,1.4055791149332499e-08,3.901718972076699e-05,3.7211414685707933e-08,4.078247779934464e-08,2.5936579568263447e-08,2.4833382612794316e-10,2.5936577855348233e-08,0.00021911148578250596,3.61048321506567e-08,3.0334119137733493e-08,0.00021911148578250629,3.0334122348230635e-08,3.03341187299349e-08,3.90049257472987e-05,2.5936578788983437e-08,3.610483215065667e-08,0.0002191141816045358,8.5192394278073e-09,0.00021911418150195007,3.9017157928378406e-05,3.9004925747298706e-05,2.5936580681809266e-08,3.033411993478497e-08,2.4833382612798866e-10,4.078247286129143e-08,0.0002191141825300839,3.721141135731124e-08,3.9017180762999014e-05,2.7102986360606228e-20,0.0,0.0,0.0,0.0,4.0389678347315804e-28,4.0389678347315804e-28,0.0,2.710505431213761e-20,3.308722450212111e-24,6.776263578034403e-21,0.0,3.944304526105059e-31,4.0389678347315804e-28,1.6155871338926322e-27,1.0097419586828951e-28,0.0,4.930380657631324e-32,1.6940658945086007e-21,1.8112836305244193e-28,0.0,1.6940658945086007e-21,2.465190328815662e-32,1.0097419586828951e-28,3.3881317890172014e-21,1.1138138413385958e-28,0.00037433453080760966,1.2683643767636723e-07,4.1359030627651384e-25,1.3808827691866118e-15,2.675020323331635e-15,4.963083675318166e-24,0.0003233403712125365,4.211136504424943e-12,1.0292339201364102e-11,3.522689172678465e-15,5.877173926792614e-16,7.786633031908125e-05,1.9641631028592817e-11,1.740370807359503e-11,0.0001495769270584449,4.379086271132629e-12,9.054738526905004e-08,1.0761314332562139e-11,0.0,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,3.308722450212111e-24,6.776263578034403e-21,1.6155871338926322e-27,7.784540639570275e-08,6.617444900424222e-24,6.617444900424222e-24,0.0,1.3234889800848443e-23,1.3234889800848443e-23,0.0,1.268364429645132e-07,8.815577778237654e-08,3.308722450212111e-24,0.0,0.0,3.308722450212111e-24,3.308722450212111e-24,8.077935669463161e-28,1.4335468812815735e-15,3.287602312230172e-15,4.524383789110511e-08,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,8.131516293641283e-20,8.131516293641283e-20,6.776263578034403e-21,0.0,0.00032334037549229836,1.711677399968242e-11,1.2122524237253716e-11,0.00026405488501053925,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,2.050648265256039e-15,9.819354290262884e-16,7.78663303190677e-05,1.760337689014911e-11,5.673861804014944e-08,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,1.9811500642007774e-11,0.0001495769309278269,4.786487073808673e-12,1.6680141990774996e-07,1.2628603191731998e-11,0.0006385017086454668
6,1.1102605024347079e-08,1.2678457266241225e-08,7.272704482116324e-14,1.520399100573669e-08,1.8803907462641458e-13,7.274578501201813e-15,1.1102602935552141e-08,7.047365378850421e-14,1.1102602935549072e-08,3.881755425370437e-07,1.8343371162822293e-13,1.2678453604416928e-08,3.8817554253704377e-07,1.2678453604420703e-08,1.267845360441891e-08,1.5203898586653255e-08,1.1102602935550007e-08,1.834337116282229e-13,3.8817557699537713e-07,3.827131749258752e-15,3.881755769953876e-07,1.5203991005670388e-08,1.520389858665326e-08,1.1102602935552005e-08,1.2678453604419092e-08,7.047365378850421e-14,7.274578501211885e-15,3.8817557699538687e-07,1.880390746264105e-13,1.5203991005704084e-08,5.376674612683404e-23,1.88079096131566e-37,0.0,1.2037062152420224e-35,3.76158192263132e-37,0.0,0.0,0.0,5.293955920339377e-23,0.0,1.3234889800848443e-23,1.88079096131566e-37,0.0,0.0,1.504632769052528e-36,4.930380657631324e-32,1.262177448353619e-29,1.88079096131566e-37,0.0,5.710845246211386e-33,2.82118644197349e-37,1.6543612251060553e-24,4.70197740328915e-38,2.9582283945787943e-31,0.0,8.347230384582181e-33,3.095548446241214e-07,9.295290820446283e-14,6.310887241768095e-30,3.165171882725748e-21,1.5425633127942416e-21,8.271806125530277e-25,7.878072597811564e-07,1.3216646503119023e-20,6.174777228999919e-15,4.705636641898188e-21,8.324304267770518e-22,1.0525088305837155e-06,1.0994640519049719e-14,8.791283244921668e-21,3.459115292992715e-07,5.523108845691123e-15,1.1508649728536338e-14,4.235390985275631e-16,0.0,0.0,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,6.310887241768095e-30,0.0,0.0,3.0751115199153136e-13,6.310887241768095e-30,6.310887241768095e-30,0.0,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,9.295290820447775e-14,1.103679597559997e-13,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,3.944304526105059e-31,3.2838248659934636e-21,1.248966527828321e-21,1.363585977289378e-08,2.6469779601696886e-23,0.0,2.6469779601696886e-23,0.0,0.0,0.0,1.262177448353619e-29,7.878072597811829e-07,3.282803390496117e-20,6.7089902175011404e-15,3.961989021666127e-07,2.481541837659083e-24,2.481541837659083e-24,0.0,1.6543612251060553e-24,0.0,3.37589530781944e-21,4.524860997335714e-22,1.052508830580637e-06,1.0160392799479165e-14,1.7603325872719383e-08,0.0,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24,3.009265538105056e-36,2.9465758397750943e-20,3.4591152929927203e-07,5.500419719563356e-15,1.9138678453307663e-15,3.179166860884885e-16,5.5405289775989893e-08
7,1.0782221819182029e-08,1.2312599921026331e-08,6.460612744977342e-16,4.678029361019471e-09,6.322634005802949e-16,1.7622803245155518e-16,1.0782221676545244e-08,5.569843943281234e-16,1.0782221676545227e-08,4.7167326271991034e-08,6.167783929280369e-16,1.231259965492483e-08,4.7167326271991034e-08,1.2312599654924886e-08,1.2312599654924816e-08,4.678030391107598e-09,1.0782221676545244e-08,6.167783929280367e-16,4.7167326706067454e-08,1.2868202990792649e-17,4.7167326706067454e-08,4.678029361019577e-09,4.678030391107596e-09,1.0782221676545207e-08,1.2312599654924833e-08,5.569843943281233e-16,1.7622803245155592e-16,4.7167326706067454e-08,6.322634005802935e-16,4.678029361019476e-09,2.0679514820787626e-24,0.0,3.6734198463196485e-40,2.938735877055719e-39,0.0,9.860761315262648e-32,1.232595164407831e-32,4.930380657631324e-32,3.308722450212111e-24,4.1359030627651384e-25,4.1359030627651384e-25,3.6734198463196485e-40,0.0,0.0,7.346839692639297e-40,6.162975822039155e-33,3.944304526105059e-31,1.4693679385278594e-39,0.0,3.6920065242225605e-33,0.0,1.6543612251060553e-24,1.8367099231598242e-40,1.232595164407831e-32,4.1359030627651384e-25,9.19633605560019e-33,8.072759285801543e-08,2.1560407981560397e-15,0.0,1.0335482103685652e-23,8.031853338830854e-24,8.271806125530277e-25,2.1800013297764e-08,1.2167269669974455e-23,7.286476760329119e-16,1.536566672149275e-23,6.3403001236118624e-24,3.6160109413449e-08,1.297410341482834e-15,3.41112196619163e-23,9.57197445324678e-09,1.6314538249815034e-15,7.898903331655046e-16,2.094529690543767e-16,0.0,9.860761315262648e-32,0.0,0.0,0.0,0.0,0.0,0.0,5.877471754111438e-39,1.0339764681622508e-15,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,0.0,2.1560407981560397e-15,5.719464885038247e-16,8.271806125530277e-25,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,4.930380657631324e-32,1.0722928542033414e-23,4.4288461179624564e-24,1.3242372836364157e-08,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,0.0,8.271806125530277e-25,7.888609052210118e-31,2.1800013297764014e-08,1.582209192928322e-23,7.916868707450006e-16,4.8142230589997586e-08,1.6543612251060553e-24,0.0,0.0,3.308722450212111e-24,1.6543612251060553e-24,1.1023567671853036e-23,5.301960625661325e-24,3.616010941054538e-08,1.1989658637014941e-15,1.7095351520898857e-08,0.0,6.617444900424222e-24,6.617444900424222e-24,0.0,0.0,5.877471754111438e-39,5.918895536941296e-23,9.571974453246784e-09,1.6144466400691335e-15,2.292750090899561e-15,2.8509699253274787e-16,6.292308616325086e-08
8,2.1099783491815868e-08,2.083639950906768e-08,1.181002231917148e-08,4.268131503017006e-09,3.6194614927719286e-09,1.1810021856377464e-08,2.1099783216256677e-08,1.1810022317748687e-08,2.1099783216256667e-08,4.6497196022164026e-08,3.6194615067544884e-09,2.0836398864710968e-08,4.6497196022163986e-08,2.0836398864710975e-08,2.0836398864710955e-08,4.268133007266239e-09,2.109978321625666e-08,3.619461506754482e-09,4.649719644268908e-08,3.6194619065202024e-09,4.649719641545008e-08,4.26813152146104e-09,4.268133007266214e-09,2.1099783216256674e-08,2.0836398864710965e-08,1.1810022317748677e-08,1.1810021856377408e-08,4.6497196415450065e-08,3.619461492771949e-09,4.268131521460942e-09,3.308722450212111e-24,0.0,1.9721522630525295e-31,0.0,5.423418723394456e-31,9.860761315262648e-32,1.0477058897466563e-31,0.0,3.308722450212111e-24,0.0,0.0,1.9721522630525295e-31,1.4791141972893971e-31,3.944304526105059e-31,9.860761315262648e-32,4.930380657631324e-32,7.888609052210118e-31,1.9721522630525295e-31,3.308722450212111e-24,1.3709547543449108e-31,1.4791141972893971e-31,3.308722450212111e-24,1.7256332301709633e-31,9.860761315262648e-32,0.0,1.6278920696798951e-31,1.6956792314473033e-07,1.4025700797001995e-15,0.0,9.448265988548176e-16,4.183709331467893e-16,0.0,1.8760775450924216e-08,7.243094285750597e-16,9.657955294123748e-16,3.0514254390863653e-16,9.944395684253129e-16,2.5799816397979522e-08,9.1665056823554e-16,5.351795373475928e-16,6.52843934041181e-09,9.043505431254587e-16,6.518228691852976e-16,6.001496711931193e-16,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,3.944304526105059e-31,8.271806125530277e-25,1.0014835710813626e-32,3.0019807456254934e-08,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,1.462656705342051e-15,5.3480691597050494e-08,3.308722450212111e-24,3.308722450212111e-24,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,4.930380657631324e-32,8.453611378723342e-16,5.020842471232023e-16,4.957760606094551e-08,0.0,0.0,1.6543612251060553e-24,0.0,0.0,8.271806125530277e-25,0.0,1.8760774942725537e-08,2.4648213369215715e-15,2.1605272247021846e-15,1.4466947312509363e-08,3.308722450212111e-24,3.308722450212111e-24,6.617444900424222e-24,3.308722450212111e-24,0.0,2.673650734332213e-16,1.1586447176529345e-15,2.579981640500361e-08,1.7746740806173954e-15,4.651924604793231e-08,4.1359030627651384e-25,1.2407709188295415e-24,8.271806125530277e-25,4.1359030627651384e-25,4.1359030627651384e-25,6.162975822039155e-33,5.075648169445743e-16,6.528439289392261e-09,9.127708936224533e-16,4.403069211774103e-16,6.318337863053407e-16,4.4375192950564514e-09
9,1.2785850060357187e-08,1.4473875843976367e-08,6.313229019727282e-16,4.904971802492653e-09,8.129706220126691e-16,1.676354375689945e-16,1.278584978930625e-08,6.303275368281847e-16,1.2785849789306243e-08,4.5146325950927647e-08,7.991182947617865e-16,1.44738752301813e-08,4.514632595092761e-08,1.447387523018132e-08,1.4473875230181284e-08,4.9049732347248035e-09,1.2785849789306243e-08,7.991182947617857e-16,4.5146326373874934e-08,4.121048414256969e-16,4.514632634652713e-08,4.904971820642652e-09,4.904973234724779e-09,1.278584978930625e-08,1.4473875230181297e-08,6.303275368281843e-16,1.6763539177316978e-16,4.514632634652711e-08,8.129706025526276e-16,4.904971820642553e-09,1.2031574885267313e-24,9.860761315262648e-32,0.0,0.0,3.944304526105059e-31,1.9721522630525295e-31,2.465190328815662e-32,4.930380657631324e-32,0.0,0.0,1.6543612251060553e-24,2.9582283945787943e-31,1.9721522630525295e-31,0.0,2.465190328815662e-32,1.232595164407831e-31,7.888609052210118e-31,3.944304526105059e-31,3.308722450212111e-24,1.534729241116799e-31,1.7256332301709633e-31,3.308722450212111e-24,1.9721522630525295e-31,0.0,0.0,1.5483235247167916e-31,1.7169326137323588e-07,2.138687206216585e-15,4.512037858831306e-25,4.116683785094211e-16,1.8296227358491138e-16,1.6543612251060553e-24,2.0444312318310648e-08,7.64462494779862e-16,8.8332849062562485e-16,2.1296156736638735e-16,3.8686833892714603e-16,3.303532578523659e-08,6.472110928386198e-16,5.323205989511515e-16,8.213635823604965e-09,1.233848136380595e-15,1.0493238844896639e-16,4.2457472287070014e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,3.697785493223493e-32,3.0237217830153514e-08,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,0.0,2.138687230719435e-15,5.476916100681443e-08,6.617444900424222e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,1.9721522630525295e-31,3.269613785895568e-16,2.9093785195866397e-16,5.2341779898994606e-08,0.0,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,8.271806125530277e-25,9.860761315262648e-31,2.0444311801931842e-08,2.622804276893136e-15,2.1555498903158612e-15,1.8250782349128213e-08,1.6543612251060553e-24,1.6543612251060553e-24,4.963083675318166e-24,8.271806125530277e-24,1.6543612251060553e-24,1.767939495887272e-16,6.17275685094267e-16,3.303532580334351e-08,1.542459130698731e-15,4.887435640316728e-08,4.1359030627651384e-25,8.271806125530277e-25,6.203854594147708e-25,8.271806125530277e-25,4.1359030627651384e-25,3.697785493223493e-32,5.03916299331369e-16,8.213635774771954e-09,1.24224320287067e-15,1.0333682011069302e-16,4.565397352702099e-16,3.7215285832342637e-09
