,Y4Z0,Y0Z4,Y4Z3,Y3Z4,Y4Z2,Y2Z4,Y1Z5,Y5Z1,Y1Z2,Y2Z1,Y2Z5,Y5Z2,Y5Z0,Y0Z5,Y2Z3,Y3Z2,Y3Z1,Y1Z3,Y3Z5,Y5Z3,Y4Z1,Y1Z4,Y0Z1,Y1Z0,Y2Z0,Y0Z2,Y3Z0,Y0Z3,Y5Z4,Y4Z5,standard_y,Y2,X3Y4,X2Y4,Y1,Y0,X5Y2,X5Y1,X4Y5,X4Y0,X3Y2,X0Y5,X0Y2,X0Y1,X5Y4,X4Y1,X2Y1,X2Y0,X1Y3,X1Y0,X3Y1,standard_x,Y5,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1Y4,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.913833434772713,0.913833434772713,0.8392980174596141,0.839298017459614,0.7812095675548225,0.7812095675548225,0.7316242066268129,0.7316242066268128,0.6901326573152673,0.6901326573152672,0.6615809723574217,0.6615809723574216,0.577939025285932,0.577939025285932,0.5764279589751975,0.5764279589751973,0.5530594756959841,0.5530594756959841,0.43939451090100756,0.4393945109010075,0.38354406395527285,0.38354406395527285,0.3810206899957715,0.3810206899957714,0.2307191863104752,0.23071918631047517,0.16603672431413524,0.1660367243141352,0.1550494207938402,0.1550494207938402,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0006392676414897921,0.0006392676414897921,0.0005871267604275303,0.6732613337716196,0.0005464912737453539,0.5504904376971,0.7316242066268127,0.7316242066268125,0.690132657315267,0.690132657315267,0.6615809723574215,0.6615809723574215,0.42288964242984073,0.00040429437527785125,0.5764279589751973,0.5764279589751973,0.5530594756959839,0.5530594756959839,0.43939451090100756,0.43939451090100745,0.0002683063453823834,0.0025234671882753386,0.00026654113165928473,0.002523280113304163,0.5504901900966953,0.000161398461105579,0.6732610877846485,0.0001161501660085215,0.4228894630810131,0.00010846405239034511,8.047490625273657e-17,1.1102230246251565e-16,0.0,2.710505431213761e-20,2.4936649967166602e-17,2.710505431213761e-20,0.0,2.4936649967166602e-18,0.0,9.107298248878237e-18,5.551115123125783e-17,0.0,0.0,4.235164736271502e-21,0.0,1.3552527156068805e-20,3.903127820947816e-18,0.0,5.551115123125783e-17,8.470329472543003e-22,2.168404344971009e-18,0.0,1.1102230246251565e-16,0.0,5.421010862427522e-20,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,5.421010862427522e-20,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7704895589362195e-18,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00010985961265141085,0.00010985961265141085,0.00010089908246806849,0.6732612943452991,9.391578073797969e-05,0.5504903829115781,3.4414012202034264e-05,3.441401220203426e-05,3.246233992088846e-05,0.02855168568973837,0.0285516841943666,3.1119330728972635e-05,1.9891807728398357e-05,2.3673211399433835e-05,0.5764279589751973,0.5764279589751973,0.11366496528106923,2.6014715440874724e-05,0.11366496418313873,2.0668162593159306e-05,2.74692652449565e-05,1.1869415500424161e-07,2.367321127189693e-05,1.186938951238265e-07,0.5504903755991435,2.7736696289320695e-05,0.6732612870805144,1.9960672837054578e-05,1.9891807479250927e-05,2.7469265173326233e-05,1.1101487768933738e-16,1.1102230246251565e-16,6.776263578034403e-21,0.0,1.045556294267027e-21,5.082197683525802e-21,3.3881317890172014e-21,2.7755575615628914e-17,4.1359030627651384e-25,2.7755575615628914e-17,2.7755575615628914e-17,4.1359030627651384e-25,2.117582368135751e-22,2.5849394142282115e-26,0.0,3.101927297073854e-25,9.926167350636332e-23,3.3881317890172014e-21,0.0,4.52364397489937e-26,2.779326858178173e-22,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,2.0679515313825692e-25,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7.145034606133359e-09,7.549056027571769e-07,6.562260857854896e-09,0.00521452475847148,6.108081825885402e-09,0.025920288179176798,5.3491010418796325e-08,5.349101041879631e-08,5.0457451828999716e-08,0.028551684957847316,0.0285516849578437,4.8369961470259676e-08,6.304294364103527e-08,1.9878900577800684e-07,0.025954089302871262,0.004464533895165539,0.0008803547435869798,4.025117831767626e-08,0.0008803547435869592,6.304297983568363e-08,1.7865423506971783e-09,4.024995994469977e-08,1.9878900577800422e-07,4.024995994470764e-08,0.02592028817939871,2.329109556659022e-07,0.005214524758467512,7.548729051149534e-07,6.304294364102433e-08,1.7865423506971683e-09,2.1681479189811174e-19,0.0,2.6469779601696886e-23,4.1359030627651384e-25,1.6543612251060553e-24,2.6469779601696886e-23,0.0,2.7755575615628914e-17,0.0,0.0,2.168404344971009e-19,3.1554436208840472e-30,9.926167350636332e-24,9.49877676368399e-31,0.0,3.0814879110195774e-32,3.308722450212111e-24,0.0,1.2924697071141057e-26,4.065126537459977e-31,1.2924697071141057e-26,0.0,3.308722450212111e-24,0.0,8.271806125530277e-25,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,1.5777218104420236e-30,0.0,0.0,0.0,0.0,0.0,0.0,7.940933880509066e-23,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,2.465190328815662e-32,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,2.5849394142282115e-25,0.0,0.0,0.0,0.0,0.0,0.0
4,2.11318488346376e-13,1.0207474999033825e-07,1.9382535509590072e-13,1.1501826901315126e-06,1.271271841057716e-13,5.22081268548656e-06,9.083996159025749e-11,4.334398534787322e-08,8.563721860458598e-11,5.746998154629314e-06,5.746998154576524e-06,4.33439680521211e-08,5.375773030301602e-07,5.8152185235921214e-08,5.220812685819099e-06,7.886738895108778e-07,7.886738657164169e-07,6.819553669167916e-11,7.886738657165558e-07,5.375773030301737e-07,1.2712717941804614e-13,6.819553669157764e-11,5.815218523590185e-08,6.819553669157787e-11,5.220812685487385e-06,5.815218532910167e-08,1.1501826901314965e-06,1.0207474999012145e-07,5.375773030301585e-07,1.2712717941803518e-13,3.2094607767057474e-22,4.235164736271502e-22,0.0,4.622231866529366e-33,0.0,3.308722450212111e-24,0.0,3.3881317890172014e-21,3.009265538105056e-36,1.3234889800848443e-23,0.0,1.5777218104420236e-30,2.524354896707238e-28,3.712027690691447e-34,0.0,7.346839692639297e-40,2.6469779601696886e-23,4.0389678347315804e-28,1.232595164407831e-32,1.969559579241954e-34,7.703719777548943e-34,8.740337855515835e-08,0.0,2.526241071018438e-20,0.0,6.14308145213218e-14,7.778872285330071e-09,1.0587911840678754e-22,1.313973238589383e-11,6.567651683821764e-18,2.5784448744666108e-11,1.9723193153576944e-06,8.44611373154225e-24,3.074323510753989e-17,1.7520659551757526e-08,3.4644620046261047e-15,8.047977667332385e-08,4.5016436374089205e-14,8.132768264318201e-13,1.5519430661124031e-18,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,1.6543612251060553e-24,0.0,1.5777218104420236e-30,4.677783370990592e-08,6.310887241768095e-30,0.0,3.1554436208840472e-30,0.0,0.0,0.0,3.851859888774472e-34,3.250108750413872e-20,4.320254140418141e-14,6.617444900424222e-24,0.0,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,5.048709793414476e-29,1.262177448353619e-29,6.840285960333636e-14,7.778872285374244e-09,1.1441103720510472e-07,0.0,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,1.2924697071141057e-26,2.1962037065063863e-11,9.29570652541173e-18,2.6556039180156672e-11,2.995046732325395e-08,4.0389678347315804e-28,0.0,0.0,4.0389678347315804e-28,0.0,0.0,7.346839692639297e-40,0.0,1.972319315372572e-06,1.0539177381400189e-23,4.2588278048760366e-17,1.752066241748965e-08,1.6476845604987494e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7249059460697626e-15,8.047977667332703e-08,4.5176513776625906e-14,1.767579261381422e-12,3.4069432942604686e-18,1.0163772215148007e-08
5,1.2045047827674077e-15,4.800851528129045e-08,1.1062612052357043e-15,1.3822621212405624e-08,7.285220062920503e-16,3.7205351953655033e-09,5.917151080964413e-14,7.4403031127094496e-09,5.985098102055495e-14,4.099605619573996e-09,4.099605619579907e-09,7.440303112257902e-09,9.159564452744866e-08,2.7454309712098155e-08,3.7205351953653858e-09,9.500913901927122e-09,9.500913901926045e-09,2.1085141852852316e-14,9.500913901926094e-09,9.159564452744858e-08,7.285220063045713e-16,2.1085141852852285e-14,2.7454309712097897e-08,2.10851418528524e-14,3.7205351953655463e-09,2.7454309712125197e-08,1.3822621212405579e-08,4.8008515281290434e-08,9.159564452744858e-08,7.285220063045691e-16,8.874685183736383e-31,0.0,1.6543612251060553e-24,4.70197740328915e-38,7.888609052210118e-31,3.308722450212111e-24,0.0,0.0,2.938735877055719e-39,0.0,3.944304526105059e-31,4.930380657631324e-32,1.9721522630525295e-31,1.0022135386416708e-37,0.0,1.1210387714598537e-44,0.0,0.0,1.88079096131566e-37,7.803097409337991e-38,0.0,1.499392341357967e-08,3.308722450212111e-24,1.0479164705992892e-28,9.860761315262648e-32,5.377748456515135e-22,1.5680957125957775e-14,0.0,1.0498252010761885e-12,9.567762920641152e-21,8.056267474776934e-14,7.326187788405e-08,2.6177716268874845e-27,3.176774398668985e-20,1.280724892186034e-14,1.1872041003787057e-21,4.1457325133079115e-15,1.0953429852514782e-21,9.96514794810749e-14,5.839379983432757e-20,1.5777218104420236e-30,1.5777218104420236e-30,0.0,3.1554436208840472e-30,1.5777218104420236e-30,4.930380657631324e-32,0.0,3.422677987804398e-14,0.0,4.70197740328915e-38,0.0,0.0,9.4039548065783e-38,1.6543612251060553e-24,9.4039548065783e-38,1.3442373210847053e-28,1.0473066911064601e-21,0.0,0.0,3.944304526105059e-31,7.888609052210118e-31,7.888609052210118e-31,2.465190328815662e-32,4.930380657631324e-32,5.986110025102535e-22,1.5680957125957787e-14,5.902447572222728e-15,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,3.944304526105059e-31,1.0253385924336975e-12,7.471944886578429e-21,7.62367150980253e-14,1.4992944112261508e-08,3.7865323450608567e-29,0.0,5.048709793414476e-29,1.262177448353619e-29,0.0,1.6543612251060553e-24,2.2420775429197073e-44,1.6543612251060553e-24,7.326187788394438e-08,2.7613183928174275e-27,2.819791762349625e-20,1.2807405260844628e-14,1.0399452303862034e-12,0.0,0.0,1.5777218104420236e-30,0.0,0.0,4.1359030627651384e-25,4.930380657631324e-32,1.9597276064018172e-21,4.145732513307948e-15,1.0992045158023281e-21,1.742168226626876e-15,6.696450733342613e-20,2.0514683727031182e-14
6,7.125495927971789e-16,3.524242783358131e-17,7.891845006385327e-16,2.4101573724543962e-08,3.718615580820354e-16,3.4511654196456107e-09,1.1008921456375896e-09,2.2041313660556224e-08,4.7091405741305115e-09,3.901670204623492e-09,3.4511659123040135e-09,2.204131326303545e-08,1.205916754796282e-09,1.7995662884197535e-16,3.451165419645616e-09,4.999018477019513e-10,4.99901847701929e-10,1.1008914146986677e-09,2.4101573718054664e-08,1.2059167547962795e-09,3.718615580820346e-16,1.1008914146986644e-09,6.55177624522919e-16,1.1008914146986694e-09,3.451165419645615e-09,6.551776189209923e-16,2.410157372454395e-08,3.524242783358137e-17,1.2059167547962795e-09,7.125495898855911e-16,1.6543613976693784e-24,0.0,4.963083675318166e-24,0.0,0.0,4.930380657631324e-32,0.0,8.271806125530277e-25,0.0,0.0,9.860761315262648e-32,2.0679515313825692e-25,0.0,2.2800949036694217e-32,1.4693679385278594e-39,7.346839692639297e-40,0.0,4.930380657631324e-32,1.232595164407831e-32,1.5509811337730084e-32,0.0,2.031626043284781e-09,0.0,3.914266695935843e-23,1.232595164407831e-31,1.0741679252707932e-16,5.2616706667208525e-09,1.6543612251060553e-24,3.462352639875911e-08,4.386416521129949e-23,9.306814258038137e-16,3.36741870759278e-08,5.1656649505762425e-23,9.786731897448141e-16,0.020654947187811554,4.682964110255719e-09,4.605976943251195e-17,2.658845696225255e-23,1.145466026668329e-15,1.1774723494966373e-15,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,3.3847788887607974e-08,1.232595164407831e-32,0.0,2.465190328815662e-32,0.0,1.232595164407831e-32,8.271806125530277e-24,1.4693679385278594e-39,2.6406473417633207e-23,1.3651711480397844e-16,1.0339757656912846e-25,0.0,2.0679515313825692e-25,0.0,2.0679515313825692e-25,2.465190328815662e-32,7.346839692639297e-40,1.005777417394567e-16,5.261670666720853e-09,2.693995476490716e-09,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,0.0,1.6067533755339925e-08,2.9867583966347304e-23,9.8630250210601e-16,1.71649970161247e-08,0.0,2.481541837659083e-24,8.271806125530277e-25,0.0,8.271806125530277e-25,4.1359030627651384e-25,4.5917748078995606e-40,1.3877787807814457e-17,2.563750218506399e-08,3.880469829473699e-23,8.286576712855422e-16,0.020654947187811447,1.7345161726227787e-08,0.0,1.232595164407831e-32,1.232595164407831e-32,2.465190328815662e-32,0.0,0.0,7.346839692639297e-40,4.682964110255703e-09,4.60597694325111e-17,2.8555125164058954e-23,9.087298969020769e-16,8.627881694494278e-16,2.8502146270302783e-16
7,1.4132099835665967e-13,2.2724924096230476e-11,6.636676963456311e-14,1.2745173129651186e-06,1.1925638233322618e-13,7.42117296391974e-06,2.0753684496218754e-06,2.2757575246271965e-05,2.075038878795498e-06,7.421069923686927e-06,7.4210368449455175e-06,2.2757565893305952e-05,2.2754190044064296e-05,1.0034734669994238e-11,7.4211729639376245e-06,1.2745339407382791e-06,1.274533940835075e-06,2.07416134091582e-06,1.2745173134702416e-06,2.2754190044061626e-05,1.1925638233309483e-13,2.0741613409224192e-06,2.278330347814521e-11,2.0741613409228554e-06,7.421172963919986e-06,2.2783297773035616e-11,1.274517312965092e-06,2.2724924096187992e-11,2.2754190044063158e-05,1.4132099410570676e-13,3.176373678421371e-22,0.0,1.3234889800848443e-23,3.851859888774472e-34,2.117582368135751e-22,0.0,2.117582368135751e-22,0.0,0.0,3.2311742677852644e-27,8.077935669463161e-28,2.6469779601696886e-23,2.0194839173657902e-28,3.136559059635262e-29,2.311115933264683e-33,0.0,0.0,0.0,0.0,8.022822426277224e-29,4.0389678347315804e-28,0.00013535364914628385,0.0,4.480629212066035e-17,1.262177448353619e-29,1.5536331819116542e-11,7.61338713942568e-08,1.0587911840678754e-22,3.748847981580653e-06,1.2968573509127349e-18,3.1207273939039036e-11,8.333853438333051e-06,1.4257453433795198e-19,2.6961709161399997e-12,9.73463560838833e-05,2.0159867679064154e-07,6.790931118765427e-12,7.606375069567677e-17,3.9651403974657e-13,3.050952899156957e-13,0.0,1.3552527156068805e-20,1.3552527156068805e-20,0.0,0.0,0.0,2.6469779601696886e-23,0.00013578250424160513,1.8932661725304283e-29,6.310887241768095e-30,6.310887241768095e-30,1.8932661725304283e-29,1.8932661725304283e-29,0.0,1.925929944387236e-34,3.377714618865714e-17,7.55616496714258e-14,1.0587911840678754e-22,0.0,1.0587911840678754e-22,1.0587911840678754e-22,1.0587911840678754e-22,3.2311742677852644e-27,3.0814879110195774e-33,3.35429217002986e-11,7.613387139416662e-08,1.3452183817715932e-06,2.117582368135751e-22,2.117582368135751e-22,0.0,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,8.077935669463161e-28,3.750695118686631e-06,8.811186649016264e-19,3.3360662451207866e-11,2.4842981500357392e-06,0.0,0.0,0.0,2.6469779601696886e-23,2.6469779601696886e-23,2.117582368135751e-22,0.0,0.0,8.33403824687936e-06,4.81845187666341e-19,1.1730582053777045e-12,9.73463483769289e-05,7.102344305379671e-07,0.0,8.077935669463161e-28,8.077935669463161e-28,1.6155871338926322e-27,0.0,0.0,6.162975822039155e-33,2.0159867549397592e-07,6.790931118779655e-12,7.003836329537372e-17,1.4162259811124315e-13,1.3955049797607733e-12,9.68203346471812e-12
8,1.9394970667980045e-13,5.485328391065326e-11,9.844246311573973e-14,5.156771689372017e-07,1.6625517761884148e-13,1.341693121883365e-06,3.7587375896864164e-07,1.344022285359659e-06,3.758723499477915e-07,1.3416921706292203e-06,1.3416922432883835e-06,1.344022553067549e-06,1.344029553897775e-06,5.528863798118841e-11,1.3416931218836512e-06,5.156772555656932e-07,5.156772555670669e-07,3.7587255204267737e-07,5.156771689576629e-07,1.3440295539035137e-06,1.6625517761879024e-13,3.758725520429067e-07,5.487187132631521e-11,3.758725520435392e-07,1.3416931218836997e-06,5.4871870863703875e-11,5.15677168937096e-07,5.485328391066168e-11,1.3440295539037068e-06,1.939497064031593e-13,2.6463317253161315e-23,0.0,0.0,4.81482486096809e-35,2.6469779601696886e-23,6.462348535570529e-27,2.6469779601696886e-23,1.3234889800848443e-23,1.5407439555097887e-33,4.0389678347315804e-28,4.0389678347315804e-28,5.293955920339377e-23,0.0,9.858198096933434e-30,0.0,7.222237291452134e-35,2.6469779601696886e-23,0.0,1.262177448353619e-29,1.5143696406100537e-29,1.262177448353619e-29,7.011439939631655e-07,0.0,6.678848512972686e-19,0.0,1.634554977810619e-11,2.5527507658799923e-07,0.0,6.439562617691301e-07,1.9193188759214047e-19,1.871954487017714e-12,1.4796869672444129e-06,2.8483763959290373e-19,2.502605825271974e-13,1.1382822093559997e-07,6.591368618466543e-07,2.017459133030488e-12,3.1694801440517765e-18,4.4089436014907305e-15,5.535163225874115e-15,0.0,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,3.639039560086167e-08,0.0,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,6.310887241768095e-30,0.0,4.81482486096809e-35,2.314266698906617e-18,6.81239688141469e-14,5.293955920339377e-23,5.293955920339377e-23,0.0,1.0587911840678754e-22,1.0587911840678754e-22,0.0,0.0,1.6625156798569676e-11,2.552750765879475e-07,6.788925367016342e-07,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,2.0194839173657902e-28,6.439539459861804e-07,2.781609195095567e-19,2.0270015474317397e-12,6.978128636704904e-08,1.6543612251060553e-24,1.6543612251060553e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,1.3234889800848443e-23,2.407412430484045e-35,2.6469779601696886e-23,1.4796865305433408e-06,3.4752115404855346e-19,4.675112586363906e-14,1.1382777010720006e-07,5.5610639352871347e-08,6.462348535570529e-27,3.2311742677852644e-27,0.0,0.0,3.2311742677852644e-27,4.0389678347315804e-28,3.0814879110195774e-33,6.591368618795179e-07,2.0174591330189393e-12,6.844708406580523e-18,1.0155790293423061e-13,6.10446802483067e-13,3.1640550878448066e-11
9,1.5815968945214946e-16,2.2021590630610533e-12,7.429034282187153e-17,1.1449430912193829e-08,1.3340775310111895e-16,9.962172973315352e-08,2.796655936643418e-08,1.3789497331712882e-06,2.7966512746951476e-08,9.962169051084253e-08,9.962169338112678e-08,1.378949735238893e-06,1.3789535747550784e-06,2.2250753355860707e-12,9.962172973315354e-08,1.1449431873456071e-08,1.144943187345619e-08,2.7966481739817335e-08,1.1449430914802603e-08,1.3789535747550892e-06,1.3340775310112029e-16,2.796648173981734e-08,2.202955400656869e-12,2.7966481739817434e-08,9.962172973315356e-08,2.2029554005452654e-12,1.1449430912193826e-08,2.202159063061053e-12,1.3789535747550894e-06,1.5815968933867507e-16,1.1332374393209074e-22,6.617444900424222e-24,1.6543612251060553e-24,5.877471754111438e-39,8.271806125530277e-25,0.0,3.308722450212111e-24,8.271806125530277e-25,0.0,1.262177448353619e-29,0.0,0.0,0.0,7.025815087431409e-32,7.52316384526264e-37,1.4693679385278594e-38,0.0,0.0,6.162975822039155e-33,6.630143927716917e-32,4.930380657631324e-32,1.3580091991022696e-07,1.0587911840678754e-22,3.569872451555419e-21,1.232595164407831e-32,3.650292491058302e-13,9.483549843158902e-09,1.6543612251060553e-24,4.843330069953784e-08,1.9439173158009298e-23,3.651268039048226e-15,9.582589849846437e-09,9.187333652114939e-25,3.342062866964467e-16,4.5405599790646306e-09,2.5116316550430232e-08,6.162383856235314e-14,1.5949375427463592e-20,1.7305600435937318e-15,2.628810624739689e-15,0.0,0.0,0.0,0.0,0.0,5.048709793414476e-29,0.0,1.0466757928823804e-07,6.162975822039155e-33,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,4.9183692873105316e-21,8.467905031142037e-17,8.271806125530277e-25,0.0,0.0,0.0,0.0,5.048709793414476e-29,6.018531076210112e-36,3.695583415870944e-13,9.483549843158902e-09,1.2081657438748513e-08,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,4.843328502767042e-08,1.2479925417445189e-23,3.898761148825577e-15,2.6884160174590883e-08,0.0,8.271806125530277e-25,0.0,4.1359030627651384e-25,0.0,1.6543612251060553e-24,2.938735877055719e-39,1.3234889800848443e-23,9.582601570900892e-09,5.678299636335401e-24,1.1318777431436128e-16,4.540561024839906e-09,7.830728831016092e-09,0.0,1.0097419586828951e-28,2.0194839173657902e-28,0.0,0.0,0.0,3.009265538105056e-36,2.5116316552376714e-08,6.162383856235263e-14,7.203073214057504e-21,1.3205660339234522e-15,2.1718405062192103e-15,1.7482450134252188e-12
