,Y1Z2,Y2Z1,Y0Z4,Y4Z0,Y5Z3,Y3Z5,Y2Z4,Y4Z2,Y4Z1,Y1Z4,Y5Z1,Y1Z5,Y1Z3,Y3Z1,Y5Z2,Y2Z5,Y0Z2,Y2Z0,Y0Z1,Y1Z0,Y4Z5,Y5Z4,Y0Z3,Y3Z0,Y3Z2,Y2Z3,Y4Z3,Y3Z4,Y0Z5,Y5Z0,Y3,Y5,X2Y3,X0Y4,X0Y3,X0Y2,X1Y0,X0Y1,Y4,Y0,X5Y4,X4Y2,X3Y5,X3Y4,X3Y2,X2Y5,X5Y1,X2Y1,standard_y,Y1,X5Y0,X1Y4,X1Y2,X3Y1,X1Y3,X1Y5,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y3,X4Y1,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9876105507362525,0.9876105507362524,0.920024012676327,0.9200240126763268,0.8613314138109518,0.8613314138109517,0.8194173185392595,0.8194173185392594,0.8039949881475503,0.8039949881475503,0.8031057995895189,0.8031057995895189,0.7041144439033413,0.7041144439033411,0.6529689056798653,0.6529689056798653,0.6302190543188853,0.6302190543188851,0.4761582622293458,0.47615826222934565,0.44003630577221475,0.4400363057722147,0.40396096956847294,0.4039609695684727,0.20136711521936546,0.20136711521936546,0.1474309569583241,0.1474309569583241,0.016851620402270027,0.016851620402269923,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.0408340855860843e-16,1.0408340855860843e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002592679579056889,0.002592679579056889,0.9200240126763268,0.9200240126763268,0.8613314138109516,0.8613314138109516,0.0021511379631561356,0.015425100841899159,0.015419506798404148,0.002110651193307187,0.15013914394585443,0.0021083168915780074,0.0018484443474872444,0.5027480225658665,0.1501341265234784,0.0017141768546855276,0.1540624328618918,0.0016544538444298945,0.1540586204460287,0.0012500127727077383,0.44003630577221464,0.4400363057722146,0.4039609695684729,0.40396096956847277,0.5027449024076636,0.0005286298401061425,0.14743095695832403,0.1474309569583241,0.016851620402270007,0.016851620402269965,5.551115123125783e-17,1.3877787807814457e-17,3.2526065174565133e-19,2.168404344971009e-17,5.551115123125783e-17,0.0,4.743384504624082e-20,6.776263578034403e-21,5.551115123125783e-17,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,6.938893903907228e-18,1.3931997916438732e-17,2.710505431213761e-19,1.3877787807814457e-17,0.0,6.938893903907228e-18,0.0,2.168404344971009e-19,1.1858461261560205e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00020539884608518165,0.00020539884608518165,0.0007373828112415967,0.0007373828112415965,0.8613314138109516,0.8613314138109516,3.9348654892005165e-05,1.2360736247106436e-05,1.2360708107550023e-05,6.818205472853248e-05,0.15013690803135626,0.00016702636924750423,0.0001464385877427493,0.5027473330389252,0.15013687654095292,0.0001358015663726597,0.0001234769810366936,3.9348558057725915e-05,0.00012347696185920748,6.818196921555859e-05,0.00035268123845462706,0.4231846907824637,0.00032376750092182255,0.2565300599630348,0.5027473134561526,4.187943625625066e-05,0.00011816327835805532,0.2565298828631938,1.3506272722224741e-05,0.42318454403606576,5.551115123125783e-17,5.551115123125783e-17,1.3552527156068805e-20,0.0,8.131516293641283e-20,0.0,1.3648480107124957e-23,9.512577044359818e-24,0.0,1.3552527156068805e-20,5.421010862427522e-20,0.0,4.163336342344337e-17,1.0842021724855044e-19,1.3552527156068805e-20,0.0,6.776263578034403e-21,6.938893903907228e-18,1.1104601938503877e-16,1.0164395367051604e-20,0.0,1.3234889800848443e-23,1.3877787807814457e-17,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,2.710505431213761e-20,9.926167350636332e-24,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0
3,2.9271016679603816e-05,2.9271016679603812e-05,3.711591086021091e-05,3.7115910860210905e-05,0.0001256115051323238,0.0001256115051323238,5.607499391971388e-06,6.2217273168424e-07,6.221727029192688e-07,9.716496322084102e-06,2.1895081212081703e-05,2.933927589605683e-06,2.9339271145800154e-06,7.331771215559e-05,2.189508111881707e-05,1.3384672322436887e-05,6.215171077303969e-06,5.607499357008842e-06,6.215171057700253e-06,9.716496291209175e-06,1.1804381138263326e-05,6.171476440734719e-05,1.5616892500079634e-05,3.741082757921694e-05,7.331771209759201e-05,1.3384672053178601e-05,1.1804380886244547e-05,3.741082751378175e-05,1.561689231955438e-05,6.171476435312703e-05,6.776263578034403e-21,1.6940658945086007e-21,0.0,1.3877787807814457e-17,2.0679515313825692e-25,1.0339757656912846e-25,8.614981234455542e-28,3.7661694877588504e-27,0.0,8.470329472543003e-22,2.0679515313825692e-25,1.0339757656912846e-25,0.0,2.0679515313825692e-25,0.0,2.0679515313825692e-25,5.169878828456423e-26,0.0,5.505714157152952e-21,4.235164736271502e-22,1.550963648536927e-25,0.0,2.7755575615628914e-17,5.169878828456423e-25,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,2.0679515313825692e-25,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0
4,6.05496322983139e-07,6.0438053272939e-07,4.511813156532946e-07,4.517773929977885e-07,8.627647975217288e-09,8.612463733329433e-09,1.1468879120453766e-07,7.508825864638347e-09,7.508825864489812e-09,1.9924138854608816e-07,1.493006228263311e-09,6.010239848752533e-08,6.010239848752528e-08,5.002232678128548e-09,1.4930062282605822e-09,2.742180480798436e-07,7.49275152410519e-08,1.1468879120443157e-07,7.492751524095002e-08,1.9924138854599403e-07,1.4258619400574671e-07,4.2149123813767e-09,1.88510055567016e-07,2.5476171152497614e-09,5.002232678126837e-09,2.742180480798436e-07,1.4258619400574671e-07,2.547617115249094e-09,1.8851005556701598e-07,4.214912381376146e-09,4.1359030627651384e-25,1.0339757656912846e-25,3.944304526105059e-31,0.0,0.0,0.0,1.2980774327123098e-31,1.4180518050090834e-30,0.0,0.0,0.0,5.048709793414476e-29,2.7755575615628914e-17,1.9721522630525295e-31,3.944304526105059e-31,0.0,1.9721522630525295e-31,0.0,3.360421238496675e-23,3.3087224502121107e-23,9.860761315262648e-32,1.262177448353619e-29,6.938893903907228e-18,3.944304526105059e-31,4.930380657631324e-32,2.9582283945787943e-31,2.3616575378295073e-07,1.380530900320116e-16,0.05853907318623816,7.284803832779795e-16,1.2808269705107576e-15,8.974097146404483e-14,1.478078538423492e-15,0.0,1.694061384291727e-15,7.634224066001992e-14,9.876621762299927e-16,0.014350446920121742,7.170971143531876e-16,0.04807876533892795,7.174824820507493e-17,6.266621991649573e-14,7.904641880199749e-14,2.5849394142282115e-26,1.0339757656912846e-25,0.0,0.0,2.5849394142282115e-26,0.0,7.888609052210118e-31,9.489595139319618e-10,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,1.6543612251060553e-24,4.930380657631324e-32,1.9721522630525295e-31,0.0,0.0,8.086461507969068e-16,4.593898392944923e-08,1.0339757656912846e-25,0.0,2.0679515313825692e-25,1.0339757656912846e-25,0.0,9.860761315262648e-32,0.05853907318623816,1.0821971711756949e-15,1.0658233350699526e-09,3.308722450212111e-24,0.0,6.617444900424222e-24,0.0,0.0,2.524354896707238e-29,1.262177448353619e-29,1.6067228794192093e-15,9.409607649276192e-14,1.6785507126186e-15,7.474391663297133e-08,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,0.0,3.308722450212111e-24,1.784763715889515e-15,8.43444090333507e-14,1.585211490063929e-15,0.014350446920132588,6.726630529874596e-08,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,3.308722450212111e-24,0.0,9.81528558435355e-16,0.04807876533892841,9.33094580172275e-16,9.229582228366179e-14,9.053582652701074e-14,5.0231330770786166e-08
5,1.0730775350459583e-05,1.31022857974412e-07,4.279327956320935e-06,6.996736608383278e-07,2.9383168540644826e-05,3.7261173508598786e-05,7.482016464275602e-06,5.467164686296069e-07,5.467164536215857e-07,2.4660963650614367e-05,1.3372176685704414e-05,2.0587601071701002e-05,2.0587601079426634e-05,3.495641635375391e-05,1.3372176653612437e-05,1.1210655616423461e-05,9.916454431982124e-06,7.482016452876488e-06,9.91645439597715e-06,2.466096362618921e-05,7.157307405583125e-07,2.959218740800623e-05,6.453631193552263e-06,1.79758175839224e-05,3.495641633726013e-05,1.1210655619964381e-05,7.157307398970654e-07,1.797581756248525e-05,6.453631195254325e-06,2.959218738942542e-05,6.776263578034403e-21,2.541098841762901e-21,0.0,0.0,0.0,5.169878828456423e-26,2.418891497918966e-26,2.1121184837384987e-26,5.293955920339377e-23,0.0,0.0,5.169878828456423e-26,1.3877787807814457e-17,6.462348535570529e-27,0.0,2.5849394142282115e-26,1.2924697071141057e-26,4.163336342344337e-17,1.0746730518288936e-20,8.470329472543003e-22,5.169878828456423e-26,0.0,1.3877787807814457e-17,2.5849394142282115e-26,1.2924697071141057e-26,2.5849394142282115e-26,0.00014499008012868584,2.049822634374996e-10,0.0004091893480625691,1.3719533036043115e-09,1.1315225273945837e-09,5.447104407360596e-10,1.4450282300337536e-09,6.352747104407253e-22,5.172169979057744e-10,1.2572941000992898e-09,8.105382773178151e-10,0.11533199769657604,1.5219944909215088e-09,0.12634936950331294,2.2312395343888733e-10,1.068962680867937e-09,8.185941508956425e-10,1.5881867761018131e-22,1.0587911840678754e-22,0.0,1.0587911840678754e-22,5.293955920339377e-23,1.3877787807814457e-17,1.2924697071141057e-26,1.5129356967646309e-06,1.6940658945086007e-21,1.6940658945086007e-21,6.776263578034403e-21,3.3881317890172014e-21,1.6940658945086007e-21,6.462348535570529e-27,3.2311742677852644e-27,2.5849394142282115e-26,2.7755575615628914e-17,2.3025244431864607e-10,3.801849793746955e-05,1.0587911840678754e-22,1.0587911840678754e-22,0.0,0.0,5.293955920339377e-23,1.2924697071141057e-26,0.00040918935887017263,1.4007549590797272e-09,1.53469456767707e-06,0.0,1.6940658945086007e-21,1.6940658945086007e-21,0.0,3.3881317890172014e-21,2.5849394142282115e-26,0.0,4.5563064889459104e-10,3.043128473708257e-10,5.171506051157678e-10,3.266429424848918e-05,2.541098841762901e-21,0.0,2.541098841762901e-21,4.235164736271502e-22,1.6940658945086007e-21,2.809137596364678e-10,5.169652832244985e-10,3.0642672103045013e-10,0.11533199755108145,3.7361999878168824e-05,1.6940658945086007e-21,0.0,0.0,3.3881317890172014e-21,0.0,2.5849394142282115e-26,1.389676233674613e-09,0.12634936955309883,3.238291000704516e-10,9.828641520166032e-10,7.66916617587592e-10,3.389765780011657e-05
6,2.366697413070356e-06,2.031961972988932e-06,0.0002605318752666675,0.0003292277094085511,1.5401689590888106e-05,4.602943203217522e-06,1.2162177648810917e-06,0.00014678524311975238,0.00014678524311844234,1.656560481635361e-06,2.2085953896219386e-06,1.6331172117175165e-06,1.633117211189815e-06,3.857907972868886e-07,2.208595389436372e-06,9.223775659053496e-07,0.00010378415909770792,1.2162176946615513e-06,0.00010378415909874687,1.65656063578069e-06,0.00031475403557316636,1.6050835388018246e-05,0.0002530586313559119,2.366600779532317e-06,3.857907971823349e-07,9.223775649106303e-07,0.0003147540354806525,2.366602097158654e-06,0.00025305863132192466,1.6050835984955418e-05,3.1763735522036263e-22,8.470329472543003e-22,6.462348535570529e-27,0.0,8.271806125530277e-25,0.0,1.814216183865427e-27,3.411209595628843e-27,1.3552527156068805e-20,0.0,8.271806125530277e-25,2.5849394142282115e-26,0.0,8.271806125530277e-25,0.0,3.2311742677852644e-27,1.6155871338926322e-27,2.7755575615628914e-17,1.4399560103323106e-20,1.0587911840678754e-22,1.0339757656912846e-25,1.2924697071141057e-26,2.7755575615628914e-17,3.2311742677852644e-27,8.077935669463161e-28,2.4233807008389483e-27,0.00025159058451053285,2.4881515648968677e-09,0.019889644990452992,7.886548986305236e-09,4.662070808094356e-11,5.368033039026037e-10,5.216883080149644e-11,2.117582368135751e-22,2.8853964323734836e-11,3.195497891248933e-10,9.525632668253154e-11,0.38634628119071823,1.1402427166726755e-08,3.692557562866964e-05,4.417217169792053e-09,5.166408199116646e-10,8.763483337513855e-11,2.117582368135751e-21,0.0,1.6940658945086007e-21,0.0,4.235164736271502e-22,1.3877787807814457e-17,3.2311742677852644e-27,1.9571406271583798e-05,1.3552527156068805e-20,1.3552527156068805e-20,1.3552527156068805e-20,1.3552527156068805e-20,6.776263578034403e-21,4.1359030627651384e-25,8.271806125530277e-25,1.2924697071141057e-26,6.938893903907228e-18,1.4236534321101823e-09,0.00013538832214585937,0.0,0.0,0.0,3.3881317890172014e-21,3.3881317890172014e-21,0.0,0.0198896447347587,1.0409190812154614e-08,3.261453046237662e-05,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,1.2924697071141057e-26,3.334929652586817e-11,3.065870318082791e-10,9.19979854878857e-11,7.224561178751673e-07,1.3234889800848443e-23,2.6469779601696886e-23,1.3234889800848443e-23,1.3234889800848443e-23,5.293955920339377e-23,1.2312691983896833e-11,3.6925583802168714e-10,8.48304590795888e-11,0.3863462811885926,8.522447831220888e-07,0.0,6.776263578034403e-21,0.0,6.776263578034403e-21,0.0,0.0,1.2741202320170652e-08,3.692132028280023e-05,6.804861269650392e-09,2.3233019980285848e-10,9.573414691056962e-11,6.559102653171033e-05
7,4.976248291794176e-06,1.571981698689261e-05,0.00029930346000830695,0.0004253844353422346,2.1649255894172323e-05,5.3392539624705576e-05,1.5703292178411238e-05,0.00042528502821284625,0.00042528502837384317,4.96300804597326e-06,2.1684360169515588e-05,5.011795234625095e-06,5.01179512208304e-06,5.3419306565143074e-05,2.1684360158741492e-05,1.5735642897949464e-05,0.0002992393932866126,1.5703298363042696e-05,0.0002992393933160661,4.963011008905004e-06,0.00042509232219293766,2.1670257056167738e-05,0.00029936852980813004,5.3404671221854864e-05,5.3419306531935276e-05,1.5735642846795128e-05,0.00042509232357031644,5.34046687624319e-05,0.00029936853151454337,2.16702664415255e-05,3.3881317890172014e-21,1.6940658945086007e-21,0.0,5.421010862427522e-20,0.0,1.550963648536927e-25,6.182667756607944e-25,5.990696587170365e-25,2.710505431213761e-20,2.710505431213761e-20,3.308722450212111e-24,1.6543612251060553e-24,0.0,3.308722450212111e-24,0.0,1.0339757656912846e-25,1.0339757656912846e-25,0.0,3.3881317890172014e-21,0.0,8.271806125530277e-25,4.1359030627651384e-25,1.3552527156068805e-20,6.462348535570529e-27,2.5849394142282115e-26,2.0679515313825692e-25,0.0009391686754967046,9.820115035217396e-09,0.0031525033306677628,7.633570707245148e-10,1.0769453115629595e-09,6.5678217841352895e-09,2.0331081904072066e-10,1.6940658945086007e-21,1.892906840124769e-09,7.331226964114809e-10,6.289246335035738e-10,7.436164513707633e-05,3.6634323505818816e-08,0.0004806260818447961,1.6600357095227058e-08,5.8135798840978035e-09,8.046467732288535e-09,0.0,0.0,3.3881317890172014e-21,3.3881317890172014e-21,3.3881317890172014e-21,0.0,2.5849394142282115e-26,4.658895850605164e-05,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,6.617444900424222e-24,3.308722450212111e-24,2.0679515313825692e-25,5.421010862427522e-20,8.587002370928471e-09,0.00048128331814057605,4.235164736271502e-22,4.235164736271502e-22,8.470329472543003e-22,4.235164736271502e-22,4.235164736271502e-22,0.0,0.0031525035189046897,9.691549036216031e-10,4.640561018733534e-06,1.6940658945086007e-21,0.0,1.6940658945086007e-21,1.6940658945086007e-21,1.6940658945086007e-21,0.0,2.5849394142282115e-26,4.623066973147984e-13,6.307788996535362e-09,2.848246840028087e-10,1.9101199586797304e-05,2.117582368135751e-22,2.117582368135751e-22,4.235164736271502e-22,6.352747104407253e-22,6.352747104407253e-22,1.5701910255459858e-09,1.4781571341128154e-09,8.766728086442197e-10,7.436162101260227e-05,6.612965729523033e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.708939640568629e-08,0.00048061870025802196,1.2697633856940931e-08,3.7451766980756535e-09,8.0531880669423e-09,0.0004741195895271263
8,1.0228452076085995e-06,3.204016068639979e-06,3.877016798692405e-06,6.245286722493509e-06,1.1156992696889408e-06,3.557952829705029e-06,3.203651405581467e-06,6.245177967878494e-06,6.245177967954991e-06,1.0222374500877118e-06,1.1160226729509856e-06,1.0224215358383992e-06,1.0224215357080408e-06,3.558563403335097e-06,1.116022672942284e-06,3.203885101032977e-06,3.877188393478156e-06,3.2036514059263717e-06,3.877188393486368e-06,1.022237450294243e-06,6.245756267715527e-06,1.1158569536681442e-06,3.877421812142046e-06,3.558203993172624e-06,3.5585634032788835e-06,3.203885100983799e-06,6.245756267816455e-06,3.5582039931006856e-06,3.877421812275349e-06,1.115856953861118e-06,2.117582368135751e-22,1.0587911840678754e-22,0.0,3.3881317890172014e-21,6.462348535570529e-27,5.048709793414476e-29,8.768798379062864e-28,8.615547894437793e-28,4.235164736271502e-22,8.470329472543003e-22,3.2311742677852644e-27,3.2311742677852644e-27,8.470329472543003e-22,1.2924697071141057e-26,6.462348535570529e-27,0.0,0.0,0.0,2.117582368135751e-22,1.0587911840678754e-22,2.0194839173657902e-28,8.077935669463161e-28,1.3552527156068805e-20,1.0097419586828951e-28,6.058451752097371e-28,1.6155871338926322e-27,1.1321551041106276e-05,1.75006990445465e-11,6.197413861467161e-06,1.1900499061689385e-11,1.4663472123939914e-11,3.889303355743626e-11,1.3868263593168668e-11,0.0,1.1911671895660975e-11,8.042475119340494e-13,8.221114547422713e-12,1.2383652499989036e-05,4.542192497188099e-11,8.369611711336701e-05,2.972329766789252e-11,1.7759305442124268e-11,4.598141416265688e-11,2.117582368135751e-22,0.0,0.0,0.0,0.0,8.470329472543003e-22,4.0389678347315804e-28,3.351546923713355e-06,1.6940658945086007e-21,8.470329472543003e-22,0.0,0.0,0.0,3.2311742677852644e-27,3.2311742677852644e-27,0.0,3.3881317890172014e-21,1.6015683350468017e-11,9.063029923010607e-06,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,0.0,6.197413892358561e-06,1.4191763040021841e-11,9.133743837134291e-07,4.235164736271502e-22,0.0,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,3.2311742677852644e-27,1.0097419586828951e-28,5.318238410204127e-13,3.805600279967123e-11,1.4861553898130084e-11,3.031295924157798e-06,1.5881867761018131e-22,0.0,0.0,1.5881867761018131e-22,1.5881867761018131e-22,7.880150784299032e-12,3.2732718191697763e-12,1.1184498209280458e-11,1.2383653963716363e-05,1.0605331880216548e-06,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,4.5860635020667685e-11,8.369611451954368e-05,2.4845355504298277e-11,1.143114461910549e-11,4.5816590916367484e-11,8.788522770275048e-06
9,6.572270614820856e-08,2.059276811164072e-07,4.468650053708019e-08,7.199554939239183e-08,1.2943490513549481e-08,4.138343707273463e-08,2.0592766625529665e-07,7.199550437741102e-08,7.199550437741465e-08,6.572274575266026e-08,1.294347052832075e-08,6.572281243991547e-08,6.572281243991434e-08,4.1383427149215165e-08,1.2943470528320335e-08,2.0592770860052385e-07,4.4686458523996585e-08,2.0592766625529954e-07,4.4686458523996976e-08,6.572274575266203e-08,7.199550172777052e-08,1.2943454631832985e-08,4.468646939070736e-08,4.1383411341893106e-08,4.1383427149212465e-08,2.0592770860052343e-07,7.19955017277707e-08,4.1383411341892993e-08,4.468646939070757e-08,1.2943454631833286e-08,0.0,0.0,1.5777218104420236e-30,0.0,3.944304526105059e-31,2.465190328815662e-31,6.632081491381957e-31,5.7789106449846975e-31,0.0,3.308722450212111e-24,3.944304526105059e-31,6.310887241768095e-30,0.0,3.944304526105059e-31,3.1554436208840472e-30,7.888609052210118e-31,7.888609052210118e-31,3.308722450212111e-24,3.3087224502121107e-23,3.308722450212111e-24,2.465190328815662e-32,1.1832913578315177e-30,0.0,4.930380657631324e-32,9.860761315262648e-32,2.3665827156630354e-30,4.968988229581817e-07,2.3527608391593463e-15,1.1355442211029312e-07,1.600214276705653e-15,1.096095532373902e-14,2.888231779547525e-14,1.0396632001761208e-14,2.6469779601696886e-23,8.892929669103799e-15,5.825946986861794e-16,6.1426641635241315e-15,5.761458349062562e-08,6.096251063202225e-15,4.407048977937976e-07,3.993131703635551e-15,1.315260432542302e-14,3.411959768549521e-14,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,0.0,3.944304526105059e-31,3.898651544035947e-08,0.0,1.3234889800848443e-23,0.0,6.617444900424222e-24,6.617444900424222e-24,3.944304526105059e-31,0.0,7.888609052210118e-31,0.0,2.153177112221148e-15,1.0458183480368901e-07,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,0.0,3.944304526105059e-31,1.135544221144066e-07,1.9078102261171175e-15,1.0664946775353265e-08,0.0,0.0,2.6469779601696886e-23,0.0,0.0,3.1554436208840472e-30,1.9721522630525295e-31,3.9686833327959453e-16,2.8261976281618293e-14,1.1137298682771493e-14,1.9456540452110209e-07,3.308722450212111e-24,0.0,3.308722450212111e-24,0.0,3.308722450212111e-24,5.880485518594145e-15,2.4172461837563054e-15,8.355813820918942e-15,5.761457744955189e-08,6.804486965162917e-08,6.617444900424222e-24,6.617444900424222e-24,1.9852334701272664e-23,0.0,6.617444900424222e-24,0.0,6.155730398865739e-15,4.40704898138745e-07,3.338614045973463e-15,8.45891179074189e-15,3.399614860372327e-14,1.0138514531675525e-07
