,Y4Z1,Y1Z4,Y2Z0,Y0Z2,Y5Z0,Y0Z5,Y3Z0,Y0Z3,Y5Z4,Y4Z5,Y5Z3,Y3Z5,Y2Z1,Y1Z2,Y5Z2,Y2Z5,Y4Z2,Y2Z4,Y1Z0,Y0Z1,Y2Z3,Y3Z2,Y5Z1,Y1Z5,Y0Z4,Y4Z0,Y4Z3,Y3Z4,Y3Z1,Y1Z3,X3Y4,X5Y0,X2Y3,Y2,X5Y4,X5Y3,X5Y2,X4Y5,X3Y2,X3Y0,X2Y4,X2Y0,X1Y4,X1Y2,X0Y5,X0Y4,X2Y1,Y5,Y3,X5Y1,X4Y3,X3Y5,X3Y1,X2Y5,X1Y5,X0Y3,X4Y1,X0Y1,standard_y,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y3,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9529720601244589,0.9529720601244589,0.9267885077263207,0.9267885077263207,0.8717081122454375,0.8717081122454373,0.8434467391322423,0.8434467391322422,0.8322405233765764,0.8322405233765763,0.6866773048712229,0.6866773048712229,0.6364617457506916,0.6364617457506916,0.5885140140252596,0.5885140140252594,0.4240801565062293,0.4240801565062292,0.376962302390386,0.376962302390386,0.3059009802694441,0.305900980269444,0.25568366821646726,0.25568366821646715,0.21404576995204339,0.21404576995204325,0.1243916494838736,0.12439164948387355,0.042392126158200844,0.04239212615820078,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001454742214044479,0.0014547422140444785,0.9267885077263207,0.9267885077263206,0.8717081122454375,0.8717081122454373,0.8434467391322422,0.843446739132242,0.5765571530700484,0.0012704416763658936,0.6866773048712229,0.6866773048712229,0.21238208336164457,0.0009715791342791871,0.5885140140252596,0.5885140140252596,0.000647371871246288,0.21238084767077753,0.0005754449656363222,0.16291678183386613,0.3059009802694441,0.305900980269444,0.5765558854746948,0.0003903092663048903,0.16291609322054892,0.000326747687908315,0.0001898878163911561,0.08199957271887734,0.08199937839068736,6.471293130816428e-05,2.168404344971009e-19,0.0,5.551115123125783e-17,8.326672684688674e-17,1.0842021724855044e-19,2.7755575615628914e-17,1.1102230246251565e-16,5.421010862427522e-20,8.326672684688674e-17,2.7755575615628914e-17,0.0,4.163336342344337e-17,6.938893903907228e-18,5.421010862427522e-20,0.0,1.0842021724855044e-19,0.0,0.0,2.7755575615628914e-17,5.421010862427522e-20,0.0,1.1102230246251565e-16,2.710505431213761e-20,0.0,0.0,1.3877787807814457e-17,0.0,3.3881317890172014e-21,2.7701365507004638e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,4.6212005517638955e-05,4.6212005517638955e-05,0.0008603965893688802,0.0008603965893688803,0.28319435182820046,0.000809261962625283,0.5375458906845403,0.0007830251363863292,0.5765568554607321,4.035743047205207e-05,0.6866773048712229,0.6866773048712231,0.000197167308330119,1.2583786783523208e-05,0.2831937225754777,0.0005463549086353677,1.0185098702264422e-05,0.00019716730717250137,1.2583765606152792e-05,0.00015124575662053897,0.000283987293664358,0.5375453953967559,0.5765568541815926,1.2398742398435495e-05,0.00015124575597543353,1.0185085367442597e-05,6.032063092748214e-06,0.08199952337551591,0.08199952317941792,2.0557005287976343e-06,6.776263578034403e-21,5.421010862427522e-20,2.710505431213761e-20,1.3552527156068805e-19,3.3881317890172014e-21,5.551115123125783e-17,5.421010862427522e-20,0.0,2.710505431213761e-20,2.710505431213761e-20,0.0,1.3877787807814457e-17,2.42861286636753e-17,3.308722450212111e-24,5.421010862427522e-20,0.0,0.0,0.0,2.7755575615628914e-17,1.2705494208814505e-21,0.0,0.0,2.117582368135751e-21,1.0842021724855044e-19,1.6940658945086007e-21,6.776263578034403e-21,2.42861286636753e-17,3.101927297073854e-25,2.7921594073290756e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-21,1.34416849539867e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0
3,1.499014479649598e-05,1.4990144796495978e-05,0.00022351716002890826,0.00022351716002890826,7.632690625726085e-05,6.815911776540599e-06,0.00014488014829022527,6.81589675237198e-06,0.000155394475573946,1.1134384338642867e-05,0.0001850743057135415,0.00018507430571354153,5.1220887275064565e-05,4.081897631300576e-06,7.632689481154836e-05,6.815887837305666e-05,3.3038177001668217e-06,5.122088724342143e-05,4.081897167696402e-06,3.929120867891456e-05,6.815887053828788e-05,0.00014488013928125104,0.00015539447553767054,3.3550523212447625e-06,3.929120866128081e-05,3.3038174082477144e-06,1.1134383792095852e-05,2.2100635541110456e-05,2.2100635535549258e-05,3.3550521509468775e-06,0.0,0.0,3.308722450212111e-24,1.3552527156068805e-20,0.0,2.7755575615628914e-17,3.308722450212111e-24,2.0679515313825692e-25,6.617444900424222e-24,8.271806125530277e-25,0.0,0.0,1.214306433183765e-17,1.0339757656912846e-25,3.308722450212111e-24,0.0,1.0339757656912846e-25,1.3552527156068805e-20,1.3552527156068805e-20,1.0339757656912846e-25,0.0,0.0,1.0339757656912846e-25,3.308722450212111e-24,5.169878828456423e-26,8.271806125530277e-25,1.734723475976807e-18,8.601103753648265e-27,1.6093625997831706e-20,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.101927297073854e-25,3.4452959234399307e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.734723475976807e-17,0.0,0.0,0.0,0.0,0.0,0.0
4,2.0081919788613037e-08,2.02133387905371e-08,5.892091764032055e-09,5.90075012246075e-09,3.152304878072642e-08,1.783879040682673e-10,6.006723661214812e-08,1.783879040681996e-10,6.434114713050521e-08,1.485511530459199e-08,7.673754368925635e-08,7.68728339922241e-08,1.3391910449132556e-09,5.457724627053884e-09,3.152304878072642e-08,1.7826655434996868e-09,4.387529960195518e-09,1.3391910449132546e-09,5.457724627053884e-09,1.028607712244127e-09,1.7826655434996514e-09,6.006723661214812e-08,6.434114713050518e-08,4.484905245174037e-09,1.0286077122441259e-09,4.387529960195517e-09,1.4855115304591863e-08,9.13694263061112e-09,9.136942630611107e-09,4.484905245173997e-09,1.9721522630525295e-31,2.465190328815662e-32,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,4.930380657631324e-32,1.232595164407831e-32,1.232595164407831e-32,1.3877787807814457e-17,5.204170427930421e-18,0.0,0.0,0.0,3.0814879110195774e-33,6.617444900424222e-24,1.6543612251060553e-24,2.465190328815662e-32,4.930380657631324e-32,0.0,9.860761315262648e-32,4.930380657631324e-32,0.0,6.162975822039155e-33,1.734723475976807e-18,4.6726451458162876e-35,5.169878828456423e-24,1.210505697975181e-08,1.28532352208757e-16,0.0,0.030901688004622615,2.364469901732005e-16,1.2716384474479642e-16,2.6876714937891926e-17,1.65888503178061e-16,3.5633563905348917e-16,0.02469280612141958,7.354017326463479e-17,2.1876437403101372e-17,6.203854594147708e-25,1.458197306593801e-16,2.0689121711106e-17,1.2347330367392152e-16,0.006713299086253434,2.152002114138295e-17,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,9.93421891841072e-09,0.0,2.0679515313825692e-25,0.0,2.0679515313825692e-25,1.0339757656912846e-25,0.0,6.162975822039155e-33,3.7909082509449485e-16,3.087074489356588e-09,0.0,1.6543612251060553e-24,8.271806125530277e-25,0.0,8.271806125530277e-25,0.03090168800462332,5.738827076422406e-16,8.62578621936441e-09,5.169878828456423e-26,5.169878828456423e-26,6.462348535570529e-26,0.0,0.0,1.8259974720510878e-16,3.762060337780957e-17,1.7333056876038106e-16,6.279001377451812e-10,7.754818242684634e-26,1.0339757656912846e-25,2.5849394142282115e-26,0.0,0.0,0.0,3.9725319143970645e-33,5.301347639890638e-16,0.0246928061214196,4.342226375434088e-16,2.987306838715445e-17,2.1739635521377665e-09,1.3328593854614215e-26,1.0339757656912846e-25,1.3328593854614215e-26,1.2924697071141057e-26,5.169878828456423e-26,6.938893903907228e-18,1.9517559387528953e-16,3.491827967647895e-17,1.5801660164916842e-16,0.006713299086253436,3.057707023924267e-17,5.660099787837822e-10
5,5.8549947551459475e-08,8.87511019806726e-08,9.194393485778643e-07,9.092428461117225e-07,1.063651237124305e-06,2.496625428568148e-07,2.8482172811961222e-08,2.4966254302825087e-07,5.056420014079479e-07,9.411313930154608e-08,4.5076826773211013e-07,8.227680424980269e-09,8.936656444621589e-07,8.730107470687395e-08,1.063651237121049e-06,9.148489921035333e-07,6.162407217105176e-08,8.936656444621525e-07,8.730107470686388e-08,6.599888378947737e-07,9.148489921930453e-07,2.8482172813290667e-08,5.056420014079047e-07,8.229700073473054e-08,6.599888378947422e-07,6.162407217098987e-08,9.411313930456747e-08,5.701511508646441e-07,5.701511508646359e-07,8.229700073409027e-08,6.058451752097371e-28,0.0,4.0389678347315804e-28,5.293955920339377e-23,5.048709793414476e-29,0.0,8.077935669463161e-28,2.524354896707238e-29,1.2116903504194741e-27,8.077935669463161e-28,2.524354896707238e-29,0.0,2.7755575615628914e-17,4.733165431326071e-30,2.0194839173657902e-28,1.262177448353619e-29,1.262177448353619e-29,0.0,5.293955920339377e-23,1.0097419586828951e-28,4.0389678347315804e-28,0.0,2.0194839173657902e-28,0.0,2.524354896707238e-28,1.6155871338926322e-27,0.0,1.1045198465274136e-30,4.632211430296955e-23,2.5447421012015084e-06,6.230044377929743e-13,6.617444900424222e-24,4.481060318697991e-05,1.4696232202069397e-12,3.0236551136711844e-12,1.415427870798278e-13,1.9831492058449063e-11,4.563070879754726e-13,0.045188635786616596,1.8420316395343995e-12,8.37871316215338e-14,0.0,9.384042288739936e-12,1.0614442181125885e-14,1.0922442754821018e-11,0.037180219914456525,2.8107670236295988e-14,5.293955920339377e-23,1.2705494208814505e-21,4.235164736271502e-22,8.470329472543003e-22,4.235164736271502e-22,8.470329472543003e-22,1.912893966716853e-06,6.617444900424222e-24,3.308722450212111e-24,0.0,4.1359030627651384e-24,4.963083675318166e-24,0.0,1.5777218104420236e-30,8.851062487773858e-13,1.4000454193009942e-08,0.0,8.470329472543003e-22,0.0,4.235164736271502e-22,8.470329472543003e-22,4.4810592344256706e-05,3.04740125934904e-13,1.363055404616923e-06,5.293955920339377e-23,5.293955920339377e-23,1.0587911840678754e-22,0.0,5.293955920339377e-23,1.6977222919891109e-12,1.8775130864891997e-14,2.1340268400954315e-11,7.447524873701954e-07,4.1359030627651384e-25,2.0679515313825692e-24,4.1359030627651384e-25,3.308722450212111e-24,6.617444900424222e-24,5.048709793414476e-29,2.848929772172553e-30,4.695686907265529e-13,0.04518863578660244,1.636123439356189e-12,3.896448312463688e-14,7.814010561241969e-08,1.0587911840678754e-22,1.0587911840678754e-22,1.0587911840678754e-22,6.617444900424222e-24,0.0,0.0,1.2257115863109563e-11,1.2406961030582745e-14,1.6415404342393168e-11,0.037180219915134594,1.138845169857336e-13,1.1860114003119733e-06
6,6.4392034134935344e-06,1.2001258684834844e-05,6.435082521936547e-07,1.7854806350884294e-06,7.174554331830891e-09,9.417226335151388e-07,5.402172034930024e-09,9.417226335151384e-07,4.094856416865827e-09,7.737568514063924e-06,4.9010812911000145e-09,4.059828474813768e-09,1.629982420079417e-06,7.173637622906122e-07,7.1745543318236415e-09,1.3928058559736334e-06,3.666054400517587e-05,1.6299824179459246e-06,7.17363762131511e-07,9.62933005630767e-07,1.3928058559736337e-06,5.4021720348600094e-09,4.0948564143488806e-09,1.0899622342373675e-05,9.629330046320517e-07,3.666054400525136e-05,7.737568514063934e-06,5.9696933583354185e-09,5.969693329863321e-09,1.0899622342373663e-05,5.048709793414476e-29,1.5777218104420236e-30,1.262177448353619e-29,2.117582368135751e-22,5.048709793414476e-29,0.0,1.262177448353619e-29,2.524354896707238e-29,0.0,6.310887241768095e-30,0.0,0.0,8.673617379884035e-19,1.6155871338926322e-27,3.1554436208840472e-30,0.0,1.6155871338926322e-27,4.1359030627651384e-25,4.1359030627651384e-25,2.524354896707238e-29,5.048709793414476e-29,0.0,0.0,6.310887241768095e-30,1.262177448353619e-29,2.524354896707238e-29,8.673617379884035e-19,1.1044385238313527e-27,1.2184370422906098e-21,4.101522740752254e-05,4.681844036880623e-13,8.470329472543003e-22,0.03107187970978177,9.342873750015467e-13,9.607155159017202e-14,6.165559554179827e-11,8.097040301051427e-14,8.04721956120048e-13,2.605274357969537e-05,1.1865260871629449e-12,5.7406570129591714e-11,5.293955920339377e-23,1.7024060843895e-13,2.50423551887321e-11,7.231204866626541e-15,0.2257403700592548,3.461852345461611e-11,2.117582368135751e-22,1.6543612251060553e-24,1.6543612251060553e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.2586153501464947e-08,0.0,1.6940658945086007e-21,0.0,1.6940658945086007e-21,1.6940658945086007e-21,1.6155871338926322e-27,6.462348535570529e-27,6.120547160774743e-13,2.255783655140754e-05,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.031071879709781328,2.9033233441379537e-13,8.922415692209743e-09,2.117582368135751e-22,3.1763735522036263e-22,1.0587911840678754e-22,1.0587911840678754e-22,0.0,1.640730021849364e-14,1.7401576280404487e-11,8.166480771364735e-14,1.2114114412515665e-06,8.470329472543003e-22,8.470329472543003e-22,8.470329472543003e-22,0.0,8.470329472543003e-22,3.1554436208840472e-30,1.823517562213766e-27,1.0093423625816925e-12,2.605193911233937e-05,1.5207259260697725e-12,3.922043056621081e-11,1.5761230536497932e-05,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,5.5183972834503415e-14,1.4363448638613988e-11,6.905977611385392e-15,0.22574037006207606,4.983655219692006e-11,1.488412616174759e-06
7,5.9119347599369164e-05,5.093562769727049e-05,8.854203645249024e-05,4.516347341739315e-05,6.313685476721775e-06,3.796119718116803e-05,7.53347948373236e-05,3.796119630304172e-05,6.4156540879523905e-06,5.842904797642051e-05,6.281038936864272e-06,7.516008143204609e-05,8.649267380655452e-05,4.805648471529873e-05,6.31368494623442e-06,8.626802204368954e-05,5.9244291674206466e-05,8.64926770632366e-05,4.805648672275512e-05,4.4266671466668155e-05,8.62680227708751e-05,7.533479576594681e-05,6.415653330885987e-06,4.6487838939726666e-05,4.42666731038387e-05,5.9244287727120135e-05,5.84290479589049e-05,7.481839209802838e-05,7.48183924740082e-05,4.648783858377146e-05,1.6543612251060553e-24,0.0,0.0,6.776263578034403e-21,5.169878828456423e-26,3.469446951953614e-18,0.0,5.169878828456423e-26,1.6543612251060553e-24,4.1359030627651384e-25,3.308722450212111e-24,0.0,1.0842021724855044e-19,2.481541837659083e-24,1.6543612251060553e-24,0.0,1.6543612251060553e-24,0.0,6.776263578034403e-21,7.754818242684634e-26,8.271806125530277e-25,3.469446951953614e-18,0.0,4.1359030627651384e-25,1.0339757656912846e-25,4.1359030627651384e-25,0.0,8.479299286910116e-26,6.776263578034403e-21,0.00013705207927915754,4.053745562468221e-09,6.776263578034403e-21,0.06203267651485046,5.328627290342127e-09,6.1075665342932985e-09,7.011747134888989e-08,4.39669988696943e-09,5.220589476983821e-09,0.010068549390954678,1.0310300357822991e-08,6.086887654445681e-09,0.0,1.5781976240283654e-09,1.3442800939818757e-08,3.1364416013266625e-09,0.0005459390073361447,1.3277998376151494e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.3858229327376957e-05,0.0,1.3552527156068805e-20,2.710505431213761e-20,0.0,0.0,0.0,8.271806125530277e-25,3.661152165144387e-09,0.00021633856170232704,6.776263578034403e-21,1.0164395367051604e-20,3.3881317890172014e-21,6.776263578034403e-21,6.776263578034403e-21,0.06203267711638387,4.177716570875487e-09,4.442916695107294e-05,1.3552527156068805e-20,4.0657581468206416e-20,1.3552527156068805e-20,1.3552527156068805e-20,1.3552527156068805e-20,1.1778953915641607e-09,6.9417500347567e-08,2.2450501059226747e-09,0.00015723586685539496,2.541098841762901e-21,8.470329472543003e-22,0.0,8.470329472543003e-22,8.470329472543003e-22,0.0,7.682690230707738e-26,9.526635058132777e-09,0.01006853081079314,8.520369195632379e-09,5.470705604475127e-09,1.2184811779865443e-05,6.776263578034403e-21,2.0328790734103208e-20,0.0,6.776263578034403e-21,6.776263578034403e-21,0.0,2.725353801330166e-09,1.0468553404413441e-08,2.090057863003735e-10,0.0005459379973260573,5.5103136581773166e-09,9.633551027605599e-05
8,4.905217131835721e-05,1.0815237661202811e-05,3.6953025101195424e-05,1.4812042682143693e-05,1.118793662140659e-06,1.4877139706208621e-05,0.0003288792884459244,1.4877132475524535e-05,8.334415223819468e-07,4.905469291207797e-05,7.901312070989361e-07,0.0003288491858727176,3.6932080480797826e-05,1.0710909831362706e-05,1.1187939212530734e-06,3.696918890879897e-05,4.922807575384924e-05,3.6932080743565024e-05,1.0710909904393531e-05,1.4853989456252437e-05,3.696919519183071e-05,0.00032887928856026435,8.334410191748096e-07,1.0758989745277092e-05,1.4853989584739804e-05,4.922807555797406e-05,4.905469343613598e-05,0.00032877907649874003,0.00032877907675628705,1.0758986205996126e-05,0.0,1.6543612251060553e-24,0.0,6.776263578034403e-21,1.550963648536927e-25,2.710505431213761e-20,2.0679515313825692e-25,0.0,0.0,4.1359030627651384e-25,0.0,0.0,2.710505431213761e-20,2.0679515313825692e-25,1.6543612251060553e-24,0.0,3.101927297073854e-25,0.0,5.421010862427522e-20,2.0679515313825692e-24,4.963083675318166e-24,2.710505431213761e-20,0.0,8.271806125530277e-25,1.6543612251060553e-24,0.0,1.3552527156068805e-20,1.1625151189262482e-26,6.437450399132683e-20,0.00023622177122146486,1.1444616192523038e-08,3.3881317890172014e-21,3.1748847446512028e-06,1.4311652425346303e-09,1.0755597614426422e-08,9.808859521900148e-09,5.141994633566397e-09,7.855467888875435e-09,0.0008469710013121053,3.536036905031206e-08,5.698723505695376e-10,8.470329472543003e-22,1.5650348982158773e-08,1.5881258205026636e-09,6.030890049744783e-09,9.883116864574612e-05,1.0970572590490503e-09,8.470329472543003e-22,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,0.0001129646803134927,6.776263578034403e-21,6.776263578034403e-21,6.776263578034403e-21,2.0328790734103208e-20,2.0328790734103208e-20,5.169878828456423e-26,5.169878828456423e-26,1.1763107871098723e-08,9.82257693784829e-05,0.0,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,3.159563519208016e-06,5.4268599754799575e-09,0.00026810239776299354,0.0,6.776263578034403e-21,3.3881317890172014e-21,6.776263578034403e-21,6.776263578034403e-21,4.048894323917252e-09,9.60022423160662e-09,8.752677988837112e-09,4.3312626802825715e-05,5.293955920339377e-23,2.117582368135751e-22,1.0587911840678754e-22,0.0,1.0587911840678754e-22,0.0,6.12711654721862e-27,1.7388343443036106e-08,0.0008469673421764926,2.76946538774277e-08,5.776106360684821e-10,9.266610673004797e-07,3.3881317890172014e-21,1.6940658945086007e-21,0.0,3.3881317890172014e-21,0.0,5.421010862427522e-20,1.799058551147761e-08,1.0083315358395526e-09,2.1336265464312573e-10,9.883098856867774e-05,3.079730022703764e-10,2.524425012900633e-05
9,5.223776276603366e-07,1.5889767839971662e-07,7.960724774058885e-07,3.3850300722614194e-07,1.0904228154573292e-09,3.38503714891797e-07,3.3674949654076594e-08,3.385037148917953e-07,1.090420383177324e-09,5.223775867855772e-07,1.0903468298642791e-09,3.3674949335657295e-08,7.96072712934278e-07,1.5889998939764437e-07,1.0904228154601544e-09,7.960720992814868e-07,5.223721933580204e-07,7.960727129354699e-07,1.5889998939829013e-07,3.385034389937346e-07,7.960720992814881e-07,3.367494965409363e-08,1.0904203831589402e-09,1.5890280095312405e-07,3.385034389945321e-07,5.22372193356422e-07,5.223775867855772e-07,3.3674953947479895e-08,3.367495394748713e-08,1.5890280095312358e-07,0.0,0.0,0.0,5.293955920339377e-23,3.944304526105059e-31,0.0,0.0,7.888609052210118e-31,6.310887241768095e-30,7.888609052210118e-31,0.0,2.117582368135751e-22,1.3234889800848443e-23,1.5146129380243427e-28,0.0,1.262177448353619e-29,1.5146129380243427e-28,0.0,3.308722450212111e-24,3.944304526105059e-31,1.5777218104420236e-30,4.235164736271502e-22,0.0,0.0,3.1554436208840472e-30,0.0,1.3234889800848443e-23,2.110610898527305e-29,4.301339185275744e-23,1.0316298505452098e-06,1.56850709893127e-14,5.293955920339377e-23,3.155285137605027e-07,9.431849882122353e-15,2.470114590665483e-14,3.5744119519179473e-12,7.351465997825208e-15,1.5325934393878656e-14,1.8646709422459973e-07,4.523420225876087e-14,5.825010224802766e-14,1.9852334701272664e-23,1.9358557384994963e-14,5.784081062411582e-13,1.5431430741242025e-14,8.452325024505495e-07,4.805607990984591e-13,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,1.0631724663235963e-08,2.117582368135751e-22,2.117582368135751e-22,0.0,0.0,0.0,0.0,3.1554436208840472e-30,1.5860197925433397e-14,1.5520964329102876e-06,1.6543612251060553e-24,1.6543612251060553e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,3.155285139326817e-07,1.5127553336706177e-15,2.1785093911426e-08,1.0587911840678754e-22,0.0,0.0,1.0587911840678754e-22,1.0587911840678754e-22,7.582917587886464e-15,3.463730366471676e-12,1.535959848794308e-15,1.2388696109084837e-06,6.617444900424222e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,0.0,1.5777218104420236e-30,9.335786775393218e-30,2.7755566318367875e-14,1.864661450587275e-07,3.4381898415025566e-14,6.555374746248557e-14,3.176289205641273e-08,1.0587911840678754e-22,5.293955920339377e-23,5.293955920339377e-23,1.0587911840678754e-22,0.0,0.0,2.4952974243381832e-14,4.632086155372883e-13,1.7008634937927522e-16,8.452325725702416e-07,1.6796265943480802e-13,6.75486767238803e-07
